矮胖型,ai'pang'xing
被盖中央束,bei'gai'zhong'yang'shu
背肌,bei'ji
背阔肌,bei'kuo'ji
背阔肌腱下囊,bei'kuo'ji'jian'xia'nang
背内侧核,bei'nei'ce'he
背屈,bei'qu
背外侧被盖区,bei'wai'ce'bei'gai'qu
背外侧核,bei'wai'ce'he
背外侧束,bei'wai'ce'shu
贲门,ben'men
贲门部,ben'men'bu
贲门淋巴环,ben'men'lin'ba'huan
贲门切迹,ben'men'qie'ji
鼻背,bi'bei
鼻背动脉,bi'bei'dong'mai
鼻部,bi'bu
壁层,bi'ceng
鼻唇沟,bi'chun'gou
鼻唇淋巴结,bi'chun'lin'ba'jie
臂丛,bi'cong
鼻堤,bi'di
鼻腭长神经,bi'e'chang'shen'jing
鼻腭短神经,bi'e'duan'shen'jing
鼻额静脉,bi'e'jing'mai
鼻腭神经,bi'e'shen'jing
壁腹膜,bi'fu'mo
鼻副软骨,bi'fu'ruan'gu
鼻根,bi'gen
鼻根点,bi'gen'dian
鼻骨,bi'gu
鼻骨间缝,bi'gu'jian'feng
鼻骨孔,bi'gu'kong
鼻骨中隔,bi'gu'zhong'ge
鼻后棘,bi'hou'ji
鼻后孔,bi'hou'kong
臂后皮神经,bi'hou'pi'shen'jing
臂后区,bi'hou'qu
鼻后上内侧支,bi'hou'shang'nei'ce'zhi
鼻后上外侧支,bi'hou'shang'wai'ce'zhi
鼻后外侧动脉,bi'hou'wai'ce'dong'mai
鼻后下支,bi'hou'xia'zhi
鼻嵴,bi'ji
鼻棘,bi'ji
鼻肌,bi'ji
比肌力,bi'ji'li
鼻甲海绵丛,bi'jia'hai'mian'cong
鼻甲嵴,bi'jia'ji
鼻尖,bi'jian
鼻睫根,bi'jie'gen
鼻睫神经,bi'jie'shen'jing
臂筋膜,bi'jin'mo
闭孔,bi'kong
鼻孔,bi'kong
闭孔动脉,bi'kong'dong'mai
闭孔沟,bi'kong'gou
闭孔后结节,bi'kong'hou'jie'jie
闭孔嵴,bi'kong'ji
闭孔筋膜,bi'kong'jin'mo
闭孔静脉,bi'kong'jing'mai
闭孔淋巴结,bi'kong'lin'ba'jie
闭孔膜,bi'kong'mo
闭孔内肌,bi'kong'nei'ji
闭孔内肌腱下囊,bi'kong'nei'ji'jian'xia'nang
闭孔内肌神经,bi'kong'nei'ji'shen'jing
闭孔内肌坐骨囊,bi'kong'nei'ji'zuo'gu'nang
闭孔前结节,bi'kong'qian'jie'jie
闭孔神经,bi'kong'shen'jing
闭孔外肌,bi'kong'wai'ji
闭孔支,bi'kong'zhi
鼻泪管,bi'lei'guan
鼻泪管口,bi'lei'guan'kou
鼻毛,bi'mao
鼻面,bi'mian
闭膜管,bi'mo'guan
比目鱼肌,bi'mu'yu'ji
比目鱼肌腱弓,bi'mu'yu'ji'jian'gong
比目鱼肌线,bi'mu'yu'ji'xian
臂内侧肌间隔,bi'nei'ce'ji'jian'ge
臂内侧皮神经,bi'nei'ce'pi'shen'jing
鼻内侧支,bi'nei'ce'zhi
鼻内支,bi'nei'zhi
鼻黏膜,bi'nian'mo
鼻黏膜嗅区,bi'nian'mo'xiu'qu
鼻旁窦,bi'pang'dou
臂旁核,bi'pang'he
臂旁内侧核,bi'pang'nei'ce'he
臂旁外侧核,bi'pang'wai'ce'he
鼻前棘,bi'qian'ji
臂前区,bi'qian'qu
鼻前庭,bi'qian'ting
鼻前外侧支,bi'qian'wai'ce'zhi
鼻腔,bi'qiang
鼻切迹,bi'qie'ji
鼻区,bi'qu
鼻软骨,bi'ruan'gu
闭塞部,bi'se'bu
鼻上颌缝,bi'shang'he'feng
臂外侧肌间隔,bi'wai'ce'ji'jian'ge
臂外侧上皮神经,bi'wai'ce'shang'pi'shen'jing
臂外侧下皮神经,bi'wai'ce'xia'pi'shen'jing
鼻外侧支,bi'wai'ce'zhi
鼻外静脉,bi'wai'jing'mai
鼻外支,bi'wai'zhi
鼻腺,bi'xian
壁胸膜,bi'xiong'mo
鼻咽,bi'yan
鼻咽道,bi'yan'dao
鼻烟壶,bi'yan'hu
鼻翼,bi'yi
鼻翼大软骨,bi'yi'da'ruan'gu
鼻翼小软骨,bi'yi'xiao'ruan'gu
鼻阈,bi'yu
鼻缘,bi'yuan
鼻中隔,bi'zhong'ge
鼻中隔后支,bi'zhong'ge'hou'zhi
鼻中隔前支,bi'zhong'ge'qian'zhi
鼻中隔软骨,bi'zhong'ge'ruan'gu
鼻中膈支,bi'zhong'ge'zhi
鼻中隔支,bi'zhong'ge'zhi
扁骨,bian'gu
扁肌,bian'ji
扁平足,bian'ping'zu
扁桃体,bian'tao'ti
扁桃体囊,bian'tao'ti'nang
扁桃体上窝,bian'tao'ti'shang'wo
扁桃体窝,bian'tao'ti'wo
扁桃体小窝,bian'tao'ti'xiao'wo
扁桃体隐窝,bian'tao'ti'yin'wo
扁桃体支,bian'tao'ti'zhi
变异,bian'yi
边缘动脉,bian'yuan'dong'mai
边缘系,bian'yuan'xi
边缘系统,bian'yuan'xi'tong
边缘叶,bian'yuan'ye
杓关节面,biao'guan'jie'mian
杓横肌,biao'heng'ji
杓会厌襞,biao'hui'yan'bi
杓会厌部,biao'hui'yan'bu
杓间襞,biao'jian'bi
杓间切迹,biao'jian'qie'ji
表面解剖学,biao'mian'jie'pou'xue
表皮,biao'pi
杓斜肌,biao'xie'ji
表在蛋白,biao'zai'dan'bai
杓状会厌襞,biao'zhuang'hui'yan'bi
杓状软骨,biao'zhuang'ruan'gu
杓状软骨底,biao'zhuang'ruan'gu'di
杓状软骨尖,biao'zhuang'ruan'gu'jian
髌底,bin'di
髌骨,bin'gu
髌尖,bin'jian
髌面,bin'mian
髌内侧支持带,bin'nei'ce'zhi'chi'dai
髌前腱下囊,bin'qian'jian'xia'nang
髌前筋膜下囊,bin'qian'jin'mo'xia'nang
髌前皮下囊,bin'qian'pi'xia'nang
髌韧带,bin'ren'dai
髌上囊,bin'shang'nang
髌外侧支持带,bin'wai'ce'zhi'chi'dai
髌网,bin'wang
髌下滑膜襞,bin'xia'hua'mo'bi
髌下皮下囊,bin'xia'pi'xia'nang
髌下深囊,bin'xia'shen'nang
髌下支,bin'xia'zhi
髌下脂体,bin'xia'zhi'ti
冰冻蚀刻,bing'dong'shi'ke
柄胸结合,bing'xiong'jie'he
柄胸联合,bing'xiong'lian'he
玻璃体,bo'li'ti
玻璃体动脉,bo'li'ti'dong'mai
玻璃体房,bo'li'ti'fang
玻璃体管,bo'li'ti'guan
玻璃体基质,bo'li'ti'ji'zhi
玻璃体膜,bo'li'ti'mo
玻璃体窝,bo'li'ti'wo
玻璃体液,bo'li'ti'ye
薄束,bo'shu
薄束核,bo'shu'he
薄束结节,bo'shu'jie'jie
不规则骨,bu'gui'ze'gu
苍白球,cang'bai'qiu
苍白球支,cang'bai'qiu'zhi
侧部,ce'bu
侧副沟,ce'fu'gou
侧副管,ce'fu'guan
侧副隆起,ce'fu'long'qi
侧副韧带,ce'fu'ren'dai
侧副三角,ce'fu'san'jiao
侧副支,ce'fu'zhi
侧角,ce'jiao
侧块,ce'kuai
侧脑室,ce'nao'shi
侧脑室脉络丛,ce'nao'shi'mai'luo'cong
侧脑室脉络丛支,ce'nao'shi'mai'luo'cong'zhi
侧脑室内侧静脉,ce'nao'shi'nei'ce'jing'mai
侧脑室外侧静脉,ce'nao'shi'wai'ce'jing'mai
侧脑室下静脉,ce'nao'shi'xia'jing'mai
侧屈,ce'qu
侧缘,ce'yuan
侧柱,ce'zhu
肠丛,chang'cong
肠干,chang'gan
长骨,chang'gu
肠管旁淋巴结,chang'guan'pang'lin'ba'jie
长肌,chang'ji
肠肌丛,chang'ji'cong
长脚,chang'jiao
肠面,chang'mian
长纽,chang'niu
长屈肌,chang'qu'ji
长屈肌腱沟,chang'qu'ji'jian'gou
长屈肌腱鞘,chang'qu'ji'jian'qiao
长伸肌,chang'shen'ji
长伸肌腱鞘,chang'shen'ji'jian'qiao
长收肌,chang'shou'ji
长头,chang'tou
肠系膜,chang'xi'mo
肠系膜根,chang'xi'mo'gen
肠系膜间丛,chang'xi'mo'jian'cong
肠系膜淋巴结,chang'xi'mo'lin'ba'jie
肠系膜上丛,chang'xi'mo'shang'cong
肠系膜上动脉,chang'xi'mo'shang'dong'mai
肠系膜上静脉,chang'xi'mo'shang'jing'mai
肠系膜上淋巴结,chang'xi'mo'shang'lin'ba'jie
肠系膜上神经节,chang'xi'mo'shang'shen'jing'jie
肠系膜下丛,chang'xi'mo'xia'cong
肠系膜下动脉,chang'xi'mo'xia'dong'mai
肠系膜下静脉,chang'xi'mo'xia'jing'mai
肠系膜下淋巴结,chang'xi'mo'xia'lin'ba'jie
肠系膜下神经节,chang'xi'mo'xia'shen'jing'jie
肠系膜中央淋巴结,chang'xi'mo'zhong'yang'lin'ba'jie
肠脂垂,chang'zhi'chui
长中央动脉,chang'zhong'yang'dong'mai
车轴关节,che'zhou'guan'jie
成骨细胞,cheng'gu'xi'bao
成纤维细胞,cheng'xian'wei'xi'bao
尺侧,chi'ce
尺侧返动脉,chi'ce'fan'dong'mai
尺侧副韧带,chi'ce'fu'ren'dai
尺侧上副动脉,chi'ce'shang'fu'dong'mai
尺侧腕屈肌,chi'ce'wan'qu'ji
尺侧腕伸肌,chi'ce'wan'shen'ji
尺侧腕伸肌腱鞘,chi'ce'wan'shen'ji'jian'qiao
尺侧下副动脉,chi'ce'xia'fu'dong'mai
赤道,chi'dao
尺动脉,chi'dong'mai
尺骨,chi'gu
耻骨,chi'gu
尺骨粗隆,chi'gu'cu'long
耻骨弓,chi'gu'gong
耻骨弓状韧带,chi'gu'gong'zhuang'ren'dai
尺骨冠突,chi'gu'guan'tu
耻骨后间隙,chi'gu'hou'jian'xi
尺骨滑车切迹,chi'gu'hua'che'qie'ji
耻骨嵴,chi'gu'ji
耻骨肌,chi'gu'ji
耻骨肌线,chi'gu'ji'xian
耻骨间盘,chi'gu'jian'pan
耻骨结节,chi'gu'jie'jie
尺骨茎突,chi'gu'jing'tu
耻骨联合,chi'gu'lian'he
耻骨联合面,chi'gu'lian'he'mian
耻骨膀胱肌,chi'gu'pang'guang'ji
耻骨膀胱韧带,chi'gu'pang'guang'ren'dai
耻骨前列腺肌,chi'gu'qian'lie'xian'ji
耻骨前列腺韧带,chi'gu'qian'lie'xian'ren'dai
尺骨桡切迹,chi'gu'rao'qie'ji
耻股韧带,chi'gu'ren'dai
耻骨韧带,chi'gu'ren'dai
耻骨上韧带,chi'gu'shang'ren'dai
耻骨上支,chi'gu'shang'zhi
耻骨梳,chi'gu'shu
耻骨梳韧带,chi'gu'shu'ren'dai
尺骨体,chi'gu'ti
耻骨体,chi'gu'ti
尺骨头,chi'gu'tou
耻骨下角,chi'gu'xia'jiao
耻骨下支,chi'gu'xia'zhi
耻骨阴道肌,chi'gu'yin'dao'ji
尺骨鹰嘴,chi'gu'ying'zui
耻骨支,chi'gu'zhi
耻骨直肠肌,chi'gu'zhi'chang'ji
尺静脉,chi'jing'mai
尺切迹,chi'qie'ji
耻区,chi'qu
尺神经,chi'shen'jing
尺神经沟,chi'shen'jing'gou
尺神经交通支,chi'shen'jing'jiao'tong'zhi
尺神经手背支,chi'shen'jing'shou'bei'zhi
尺神经掌支,chi'shen'jing'zhang'zhi
尺头,chi'tou
匙突,chi'tu
齿突,chi'tu
齿突凹,chi'tu'ao
齿突尖,chi'tu'jian
齿突尖韧带,chi'tu'jian'ren'dai
尺腕掌侧韧带,chi'wan'zhang'ce'ren'dai
耻尾肌,chi'wei'ji
迟牙,chi'ya
齿状核,chi'zhuang'he
齿状核门,chi'zhuang'he'men
齿状红核束,chi'zhuang'hong'he'shu
齿状回,chi'zhuang'hui
齿状丘脑束,chi'zhuang'qiu'nao'shu
齿状韧带,chi'zhuang'ren'dai
齿状线,chi'zhuang'xian
耻坐支不长合,chi'zuo'zhi'bu'chang'he
初级骨化中心,chu'ji'gu'hua'zhong'xin
杵臼关节,chu'jiu'guan'jie
触觉小珠,chu'jue'xiao'zhu
处女膜,chu'nv'mo
处女膜痕,chu'nv'mo'hen
出球小动脉,chu'qiu'xiao'dong'mai
传出神经纤维,chuan'chu'shen'jing'xian'wei
传出神经元,chuan'chu'shen'jing'yuan
传导路,chuan'dao'lu
传导通路,chuan'dao'tong'lu
穿动脉,chuan'dong'mai
穿静脉,chuan'jing'mai
穿皮神经,chuan'pi'shen'jing
传入神经纤维,chuan'ru'shen'jing'xian'wei
传入神经元,chuan'ru'shen'jing'yuan
穿支,chuan'zhi
锤骨,chui'gu
锤骨柄,chui'gu'bing
锤骨后襞,chui'gu'hou'bi
锤骨颈,chui'gu'jing
锤骨前襞,chui'gu'qian'bi
锤骨前韧带,chui'gu'qian'ren'dai
锤骨上韧带,chui'gu'shang'ren'dai
锤骨头,chui'gu'tou
锤骨外侧韧带,chui'gu'wai'ce'ren'dai
垂体,chui'ti
垂体柄,chui'ti'bing
垂体门静脉,chui'ti'men'jing'mai
垂体上动脉,chui'ti'shang'dong'mai
垂体窝,chui'ti'wo
垂体下动脉,chui'ti'xia'dong'mai
锤凸,chui'tu
锤纹,chui'wen
垂直,chui'zhi
垂直板,chui'zhi'ban
垂直轴,chui'zhi'zhou
唇部,chun'bu
唇后连合,chun'hou'lian'he
唇联合,chun'lian'he
唇面,chun'mian
唇前连合,chun'qian'lian'he
唇腺,chun'xian
唇支,chun'zhi
次级骨化中心,ci'ji'gu'hua'zhong'xin
次裂,ci'lie
粗隆,cu'long
粗线,cu'xian
大肠,da'chang
大多角骨,da'duo'jiao'gu
大多角骨结节,da'duo'jiao'gu'jie'jie
大骨盆,da'gu'pen
大角,da'jiao
大角咽部,da'jiao'yan'bu
大结节,da'jie'jie
大结节嵴,da'jie'jie'ji
达克谢维奇核,da'ke'xie'wei'qi'he
大孔,da'kong
大菱形肌,da'ling'xing'ji
大脑,da'nao
大脑半球,da'nao'ban'qiu
大脑部,da'nao'bu
大脑大静脉,da'nao'da'jing'mai
大脑导水管,da'nao'dao'shui'guan
大脑动脉环,da'nao'dong'mai'huan
大脑轭,da'nao'e
大脑弓状纤维,da'nao'gong'zhuang'xian'wei
大脑沟,da'nao'gou
大脑横裂,da'nao'heng'lie
大脑后动脉,da'nao'hou'dong'mai
大脑回,da'nao'hui
大脑脚,da'nao'jiao
大脑脚底,da'nao'jiao'di
大脑脚静脉,da'nao'jiao'jing'mai
大脑脚支,da'nao'jiao'zhi
大脑静脉,da'nao'jing'mai
大脑镰,da'nao'lian
大脑面,da'nao'mian
大脑内静脉,da'nao'nei'jing'mai
大脑皮质,da'nao'pi'zhi
大脑前动脉,da'nao'qian'dong'mai
大脑前静脉,da'nao'qian'jing'mai
大脑浅静脉,da'nao'qian'jing'mai
大脑上静脉,da'nao'shang'jing'mai
大脑深静脉,da'nao'shen'jing'mai
大脑水管,da'nao'shui'guan
大脑髓质,da'nao'sui'zhi
大脑外侧窝,da'nao'wai'ce'wo
大脑外侧窝池,da'nao'wai'ce'wo'chi
大脑窝,da'nao'wo
大脑下静脉,da'nao'xia'jing'mai
大脑叶,da'nao'ye
大脑中动脉,da'nao'zhong'dong'mai
大脑中浅静脉,da'nao'zhong'qian'jing'mai
大脑中深静脉,da'nao'zhong'shen'jing'mai
大脑纵裂,da'nao'zong'lie
大收肌,da'shou'ji
大体解剖学,da'ti'jie'pou'xue
大唾液腺,da'tuo'ye'xian
大网膜,da'wang'mo
大细胞部,da'xi'bao'bu
大翼,da'yi
大阴唇,da'yin'chun
大隐静脉,da'yin'jing'mai
大圆肌,da'yuan'ji
大圆肌腱下囊,da'yuan'ji'jian'xia'nang
大转子,da'zhuan'zi
带旁核,dai'pang'he
带状层,dai'zhuang'ceng
单动关节,dan'dong'guan'jie
单骨脚,dan'gu'jiao
单关节,dan'guan'jie
单极神经元,dan'ji'shen'jing'yuan
胆碱能神经元,dan'jian'neng'shen'jing'yuan
单孔,dan'kong
单膜脚,dan'mo'jiao
胆囊,dan'nang
胆囊底,dan'nang'di
胆囊动脉,dan'nang'dong'mai
胆囊管,dan'nang'guan
胆囊颈,dan'nang'jing
胆囊静脉,dan'nang'jing'mai
胆囊淋巴结,dan'nang'lin'ba'jie
胆囊三角,dan'nang'san'jiao
胆囊体,dan'nang'ti
胆囊窝,dan'nang'wo
单位膜,dan'wei'mo
胆小管,dan'xiao'guan
单小叶,dan'xiao'ye
单羽状肌,dan'yu'zhuang'ji
单轴关节,dan'zhou'guan'jie
胆总管,dan'zong'guan
胆总管括约肌,dan'zong'guan'kuo'yue'ji
岛部,dao'bu
岛长回,dao'chang'hui
岛动脉,dao'dong'mai
岛短回,dao'duan'hui
岛盖部,dao'gai'bu
岛环状沟,dao'huan'zhuang'gou
岛回,dao'hui
导静脉,dao'jing'mai
岛静脉,dao'jing'mai
道上棘,dao'shang'ji
道上小凹,dao'shang'xiao'ao
导水管周围灰质,dao'shui'guan'zhou'wei'hui'zhi
岛叶,dao'ye
岛阈,dao'yu
岛中央沟,dao'zhong'yang'gou
镫骨,deng'gu
镫骨襞,deng'gu'bi
镫骨底,deng'gu'di
镫骨环状韧带,deng'gu'huan'zhuang'ren'dai
镫骨肌,deng'gu'ji
镫骨肌神经,deng'gu'ji'shen'jing
镫骨肌支,deng'gu'ji'zhi
镫骨膜,deng'gu'mo
镫骨头,deng'gu'tou
底部,di'bu
骶丛,di'cong
骶粗隆,di'cu'long
骶段,di'duan
底段上静脉,di'duan'shang'jing'mai
底段下静脉,di'duan'xia'jing'mai
底段总静脉,di'duan'zong'jing'mai
第二肝门,di'er'gan'men
第二鼓膜,di'er'gu'mo
第二肋,di'er'lei
第二肋间后动脉,di'er'lei'jian'hou'dong'mai
第二螺旋板,di'er'luo'xuan'ban
第二趾,di'er'zhi
第二趾背内侧神经,di'er'zhi'bei'nei'ce'shen'jing
骶副交感核,di'fu'jiao'gan'he
骶骨,di'gu
骶骨底,di'gu'di
骶骨岬,di'gu'jia
骶骨尖,di'gu'jian
骶管,di'guan
骶管裂孔,di'guan'lie'kong
骶后孔,di'hou'kong
骶棘肌,di'ji'ji
骶棘韧带,di'ji'ren'dai
骶岬,di'jia
骶岬淋巴结,di'jia'lin'ba'jie
骶角,di'jiao
骶结节,di'jie'jie
骶结节韧带,di'jie'jie'ren'dai
骶静脉丛,di'jing'mai'cong
骶淋巴结,di'lin'ba'jie
骶内脏神经,di'nei'zang'shen'jing
骶盆面,di'pen'mian
骶髂骨间韧带,di'qia'gu'jian'ren'dai
骶髂关节,di'qia'guan'jie
骶髂后韧带,di'qia'hou'ren'dai
骶髂前韧带,di'qia'qian'ren'dai
骶前孔,di'qian'kong
底丘脑,di'qiu'nao
底丘脑核,di'qiu'nao'he
底丘脑束,di'qiu'nao'shu
骶区,di'qu
骶曲,di'qu
第三腓骨肌,di'san'fei'gu'ji
第三肝门,di'san'gan'men
第三脑室,di'san'nao'shi
第三脑室脉络丛,di'san'nao'shi'mai'luo'cong
第三脑室脉络丛支,di'san'nao'shi'mai'luo'cong'zhi
第三脑室脉络组织,di'san'nao'shi'mai'luo'zu'zhi
第三掌骨茎突,di'san'zhang'gu'jing'tu
第三枕神经,di'san'zhen'shen'jing
第三趾,di'san'zhi
第三转子,di'san'zhuan'zi
骶神经,di'shen'jing
骶神经节,di'shen'jing'jie
第四脑室,di'si'nao'shi
第四脑室带,di'si'nao'shi'dai
第四脑室盖,di'si'nao'shi'gai
第四脑室脉络丛,di'si'nao'shi'mai'luo'cong
第四脑室脉络丛支,di'si'nao'shi'mai'luo'cong'zhi
第四脑室脉络组织,di'si'nao'shi'mai'luo'zu'zhi
第四脑室髓纹,di'si'nao'shi'sui'wen
第四脑室外侧孔,di'si'nao'shi'wai'ce'kong
第四脑室外侧隐窝静脉,di'si'nao'shi'wai'ce'yin'wo'jing'mai
第四脑室正中孔,di'si'nao'shi'zheng'zhong'kong
第四趾,di'si'zhi
骶外侧动脉,di'wai'ce'dong'mai
骶外侧嵴,di'wai'ce'ji
骶外侧静脉,di'wai'ce'jing'mai
骶外侧支,di'wai'ce'zhi
骶尾关节,di'wei'guan'jie
骶尾后浅韧带,di'wei'hou'qian'ren'dai
骶尾后深韧带,di'wei'hou'shen'ren'dai
骶尾前韧带,di'wei'qian'ren'dai
骶尾外侧韧带,di'wei'wai'ce'ren'dai
第五跖骨粗隆,di'wu'zhi'gu'cu'long
骶翼,di'yi
第一肋,di'yi'lei
第一肋间后动脉,di'yi'lei'jian'hou'dong'mai
第一肋胸肋结合,di'yi'lei'xiong'lei'jie'he
第一跖骨粗隆,di'yi'zhi'gu'cu'long
骶正中动脉,di'zheng'zhong'dong'mai
骶正中嵴,di'zheng'zhong'ji
骶正中静脉,di'zheng'zhong'jing'mai
骶正中孔,di'zheng'zhong'kong
骶中间嵴,di'zhong'jian'ji
骶椎,di'zhui
骶椎腰化,di'zhui'yao'hua
电突触,dian'tu'chu
蝶鞍,die'an
蝶导静脉孔,die'dao'jing'mai'kong
蝶顶窦,die'ding'dou
蝶顶缝,die'ding'feng
蝶窦,die'dou
蝶窦口,die'dou'kou
蝶窦中隔,die'dou'zhong'ge
蝶轭,die'e
蝶腭动脉,die'e'dong'mai
蝶额缝,die'e'feng
蝶腭孔,die'e'kong
蝶腭切迹,die'e'qie'ji
蝶骨,die'gu
蝶骨部,die'gu'bu
蝶骨大翼,die'gu'da'yi
蝶骨小翼,die'gu'xiao'yi
蝶嵴,die'ji
蝶棘,die'ji
蝶甲,die'jia
蝶角,die'jiao
蝶犁缝,die'li'feng
蝶鳞缝,die'lin'feng
蝶颧缝,die'quan'feng
蝶筛缝,die'shai'feng
蝶筛结合,die'shai'jie'he
蝶筛隐窝,die'shai'yin'wo
蝶上颌缝,die'shang'he'feng
蝶突,die'tu
叠瓦状,die'wa'zhuang
蝶下颌韧带,die'xia'he'ren'dai
蝶小舌,die'xiao'she
蝶囟,die'xin
蝶岩结合,die'yan'jie'he
蝶岩裂,die'yan'lie
蝶岩软骨结合,die'yan'ruan'gu'jie'he
蝶缘,die'yuan
蝶枕结合,die'zhen'jie'he
蝶枕软骨结合,die'zhen'ruan'gu'jie'he
蝶嘴,die'zui
顶部,ding'bu
顶导静脉,ding'dao'jing'mai
定点,ding'dian
顶盖脊髓束,ding'gai'ji'sui'shu
顶盖前区,ding'gai'qian'qu
顶盖延髓束,ding'gai'yan'sui'shu
顶骨,ding'gu
顶核,ding'he
顶核桥延束,ding'he'qiao'yan'shu
顶间骨,ding'jian'gu
顶结节,ding'jie'jie
顶孔,ding'kong
顶盲端,ding'mang'duan
顶内沟,ding'nei'gou
耵聍,ding'ning
耵聍腺,ding'ning'xian
顶切迹,ding'qie'ji
顶区,ding'qu
顶乳突缝,ding'ru'tu'feng
顶上小叶,ding'shang'xiao'ye
顶下沟,ding'xia'gou
顶下小叶,ding'xia'xiao'ye
顶叶,ding'ye
顶叶后动脉,ding'ye'hou'dong'mai
顶叶静脉,ding'ye'jing'mai
顶叶前动脉,ding'ye'qian'dong'mai
顶叶支,ding'ye'zhi
顶缘,ding'yuan
顶枕动脉,ding'zhen'dong'mai
顶枕缝,ding'zhen'feng
顶枕沟,ding'zhen'gou
顶枕颞桥束,ding'zhen'nie'qiao'shu
顶枕支,ding'zhen'zhi
顶支,ding'zhi
动点,dong'dian
动静脉吻合,dong'jing'mai'wen'he
动脉,dong'mai
动脉导管,dong'mai'dao'guan
动脉导管三角,dong'mai'dao'guan'san'jiao
动脉弓,dong'mai'gong
动脉沟,dong'mai'gou
动脉环,dong'mai'huan
动脉韧带,dong'mai'ren'dai
动脉韧带淋巴结,dong'mai'ren'dai'lin'ba'jie
动脉网,dong'mai'wang
动脉圆锥,dong'mai'yuan'zhui
动脉圆锥支,dong'mai'yuan'zhui'zhi
动脉周围丛,dong'mai'zhou'wei'cong
动眼神经,dong'yan'shen'jing
动眼神经副核,dong'yan'shen'jing'fu'he
动眼神经根,dong'yan'shen'jing'gen
动眼神经沟,dong'yan'shen'jing'gou
动眼神经核,dong'yan'shen'jing'he
动眼神经支,dong'yan'shen'jing'zhi
窦房结,dou'fang'jie
窦房结支,dou'fang'jie'zhi
豆钩韧带,dou'gou'ren'dai
豆核襻,dou'he'pan
豆核束,dou'he'shu
窦汇,dou'hui
窦样管,dou'yang'guan
豆掌韧带,dou'zhang'ren'dai
豆状核,dou'zhuang'he
豆状核后部,dou'zhuang'he'hou'bu
豆状核下部,dou'zhuang'he'xia'bu
豆状乳头,dou'zhuang'ru'tou
豆状突,dou'zhuang'tu
独立带,du'li'dai
独立缘,du'li'yuan
断层解剖学,duan'ceng'jie'pou'xue
短骨,duan'gu
短肌,duan'ji
段间部,duan'jian'bu
短脚,duan'jiao
断面解剖学,duan'mian'jie'pou'xue
端脑,duan'nao
段内部,duan'nei'bu
短纽,duan'niu
短屈肌,duan'qu'ji
短伸肌,duan'shen'ji
短收肌,duan'shou'ji
短头,duan'tou
短中央动脉,duan'zhong'yang'dong'mai
对称突触,dui'chen'tu'chu
对耳轮,dui'er'lun
对耳轮横沟,dui'er'lun'heng'gou
对耳轮脚,dui'er'lun'jiao
对耳轮窝,dui'er'lun'wo
对耳屏,dui'er'ping
对耳屏耳轮裂,dui'er'ping'er'lun'lie
对耳屏肌,dui'er'ping'ji
堆积,dui'ji
对掌运动,dui'zhang'yun'dong
多巴胺能神经元,duo'ba'an'neng'shen'jing'yuan
多腹肌,duo'fu'ji
多极神经元,duo'ji'shen'jing'yuan
多裂肌,duo'lie'ji
