百分数,bai'fen'shu
样本空间,yang'ben'kong'jian
样本容量,yang'ben'rong'liang
异常值,yi'chang'zhi
移动平均值,yi'dong'ping'jun'zhi
一致性,yi'zhi'xing
因变量,yin'bian'liang
因素因子,yin'su'yin'zi
因子得分,yin'zi'de'fen
因子分析,yin'zi'fen'xi
游程,you'cheng
游程检验,you'cheng'jian'yan
优化的,you'hua'de
优化设计,you'hua'she'ji
有效度,you'xiao'du
有效数字,you'xiao'shu'zi
有效性,you'xiao'xing
预测,yu'ce
预测区间,yu'ce'qu'jian
预测值,yu'ce'zhi
原点,yuan'dian
诊断,zhen'duan
真值,zhen'zhi
正交的,zheng'jiao'de
正态分布,zheng'tai'fen'bu
正相关,zheng'xiang'guan
直方图,zhi'fang'tu
质量控制,zhi'liang'kong'zhi
指数,zhi'shu
指数的,zhi'shu'de
指数分布,zhi'shu'fen'bu
秩统计量,zhi'tong'ji'liang
秩相关,zhi'xiang'guan
置信区间,zhi'xin'qu'jian
众数,zhong'shu
中位数,zhong'wei'shu
重心,zhong'xin
中心化杠杆值,zhong'xin'hua'gang'gan'zhi
中心趋势,zhong'xin'qu'shi
逐步回归,zhu'bu'hui'gui
主成分分析,zhu'cheng'fen'fen'xi
主效应,zhu'xiao'ying
转换,zhuan'huan
自变量,zi'bian'liang
自由度,zi'you'du
总共和,zong'gong'he
组间的,zu'jian'de
组间相关,zu'jian'xiang'guan
组内的,zu'nei'de
组内相关,zu'nei'xiang'guan
最大值,zui'da'zhi
最小二乘法,zui'xiao'er'cheng'fa
最小二乘估计,zui'xiao'er'cheng'gu'ji
最小显著差数,zui'xiao'xian'zhu'cha'shu
最小值,zui'xiao'zhi
最优配制,zui'you'pei'zhi
