哎呀我要飞跃,ai'ya'wo'yao'fei'yue
红旗卷起农奴戟,hong'qi'juan'qi'nong'nu'ji
红旗漫卷西风,hong'qi'man'juan'xi'feng
红旗跃过汀江,hong'qi'yue'guo'ting'jiang
红霞万朵百重衣,hong'xia'wan'duo'bai'zhong'yi
红雨随心翻作浪,hong'yu'sui'xin'fan'zuo'lang
后来有千里,hou'lai'you'qian'li
忽报人间曾伏虎,hu'bao'ren'jian'ceng'fu'hu
虎踞龙盘今胜昔,hu'ju'long'pan'jin'sheng'xi
华佗无奈小虫何,hua'tuo'wu'nai'xiao'chong'he
换了人间,huan'le'ren'jian
唤起工农千百万,huan'qi'gong'nong'qian'bai'wan
环球同此凉热,huan'qiu'tong'ci'liang're
浣溪沙和柳亚子先生,huan'xi'sha'he'liu'ya'zi'xian'sheng
黄鹤知何去,huang'he'zhi'he'qu
黄洋界上炮声隆,huang'yang'jie'shang'pao'sheng'long
会昌城外高峰,hui'chang'cheng'wai'gao'feng
挥斥方遒,hui'chi'fang'qiu
会当水击三千,hui'dang'shui'ji'san'qian
挥手从兹去,hui'shou'cong'zi'qu
火树银花不夜天,huo'shu'yin'hua'bu'ye'tian
记得当年草上飞,ji'de'dang'nian'cao'shang'fei
几行陈迹,ji'hang'chen'ji
寂寞嫦娥舒广袖,ji'mo'chang'e'shu'guang'xiu
寂寞开无主,ji'mo'kai'wu'zhu
极目楚天舒,ji'mu'chu'tian'shu
几声抽泣,ji'sheng'chou'qi
几声凄厉,ji'sheng'qi'li
鸡声歇,ji'sheng'xie
激扬文字,ji'yang'wen'zi
加强团结,jia'qiang'tuan'jie
坚持原则,jian'chi'yuan'ze
减字木兰花,jian'zi'mu'lan'hua
江河横溢,jiang'he'heng'yi
江山如此多娇,jiang'shan'ru'ci'duo'jiao
江天水一泓,jiang'tian'shui'yi'hong
搅得周天寒彻,jiao'de'zhou'tian'han'che
教育及时堪赞赏,jiao'yu'ji'shi'kan'zan'shang
截断巫山云雨,jie'duan'wu'shan'yun'yu
桀犬吠尧堪笑止,jie'quan'fei'yao'kan'xiao'zhi
借问君去何方,jie'wen'jun'qu'he'fang
借问瘟君欲何往,jie'wen'wen'jun'yu'he'wang
金猴奋起千钧棒,jin'hou'fen'qi'qian'jun'bang
今日长缨在手,jin'ri'chang'ying'zai'shou
今日得宽余,jin'ri'de'kuan'yu
今日欢呼孙大圣,jin'ri'huan'hu'sun'da'sheng
今日武将军,jin'ri'wu'jiang'jun
今日向何方,jin'ri'xiang'he'fang
金沙水拍云崖暖,jin'sha'shui'pai'yun'ya'nuan
今宵月,jin'xiao'yue
今又重阳,jin'you'chong'yang
今朝更好看,jin'zhao'geng'hao'kan
今朝霜重东门路,jin'zhao'shuang'zhong'dong'men'lu
惊回首,jing'hui'shou
惊侬晓梦残,jing'nong'xiao'meng'can
旌旗奋,jing'qi'fen
精逃白骨累三遭,jing'tao'bai'gu'lei'san'zao
旧貌变新颜,jiu'mao'bian'xin'yan
九万里,jiu'wan'li
九嶷山上白云飞,jiu'yi'shan'shang'bai'yun'fei
久有凌云志,jiu'you'ling'yun'zhi
俱往矣,ju'wang'yi
橘子洲头,ju'zi'zhou'tou
军阀重开战,jun'fa'chong'kai'zhan
军叫工农革命,jun'jiao'gong'nong'ge'ming
君今不幸离人世,jun'jin'bu'xing'li'ren'shi
君行吾为发浩歌,jun'xing'wu'wei'fa'hao'ge
开天辟地君真健,kai'tian'pi'di'jun'zhen'jian
看红妆素裹,kan'hong'zhuang'su'guo
看孙悟空三打白骨精,kan'sun'wu'kong'san'da'bai'gu'jing
看万山红遍,kan'wan'shan'hong'bian
可上九天揽月,ke'shang'jiu'tian'lan'yue
可下五洋捉鳖,ke'xia'wu'yang'zhuo'bie
枯木朽株齐努力,ku'mu'xiu'zhu'qi'nu'li
苦情重诉,ku'qing'zhong'su
快马加鞭未下鞍,kuai'ma'jia'bian'wei'xia'an
狂飙为我从天落,kuang'biao'wei'wo'cong'tian'luo
匡庐一带不停留,kuang'lu'yi'dai'bu'ting'liu
昆鸡长笑老鹰非,kun'ji'chang'xiao'lao'ying'fei
鲲鹏击浪从兹始,kun'peng'ji'lang'cong'zi'shi
鲲鹏展翅,kun'peng'zhan'chi
喇叭声咽,la'ba'sheng'yan
赖以拄其间,lai'yi'zhu'qi'jian
兰闺索莫翻身早,lan'gui'suo'mo'fan'shen'zao
浪遏飞舟,lang'e'fei'zhou
浪淘沙北戴河,lang'tao'sha'bei'dai'he
浪下三吴起白烟,lang'xia'san'wu'qi'bai'yan
牢骚太盛防肠断,lao'sao'tai'sheng'fang'chang'duan
泪飞顿作倾盆雨,lei'fei'dun'zuo'qing'pen'yu
冷眼向洋看世界,leng'yan'xiang'yang'kan'shi'jie
离别这个地方已有三十二年了,li'bie'zhe'ge'di'fang'yi'you'san'shi'er'nian'le
立马曾挥北地鞭,li'ma'ceng'hui'bei'di'bian
李淑一原词,li'shu'yi'yuan'ci
离天三尺三,li'tian'san'chi'san
良宵盛会喜空前,liang'xiao'sheng'hui'xi'kong'qian
寥廓江天万里霜,liao'kuo'jiang'tian'wan'li'shuang
列嶂青且蒨,lie'zhang'qing'qie'qian
临江仙,lin'jiang'xian
零落成泥辗作尘,ling'luo'cheng'ni'zhan'zuo'chen
零落匪所思,ling'luo'fei'suo'si
流遍了郊原血,liu'bian'le'jiao'yuan'xue
六盘山上高峰,liu'pan'shan'shang'gao'feng
柳亚子先生即席赋浣溪沙,liu'ya'zi'xian'sheng'ji'xi'fu'huan'xi'sha
柳亚子原诗,liu'ya'zi'yuan'shi
六亿神州尽舜尧,liu'yi'shen'zhou'jin'shun'yao
六月天兵征腐恶,liu'yue'tian'bing'zheng'fu'e
六载无消息,liu'zai'wu'xiao'xi
路隘林深苔滑,lu'ai'lin'shen'tai'hua
陆游原词,lu'you'yuan'ci
乱云飞渡仍从容,luan'yun'fei'du'reng'cong'rong
略输文采,lue'shu'wen'cai
落花时节读华章,luo'hua'shi'jie'du'hua'zhang
绿水青山枉自多,lv'shui'qing'shan'wang'zi'duo
绿杨树下养精神,lv'yang'shu'xia'yang'jing'shen
马嘶人语长亭白,ma'si'ren'yu'chang'ting'bai
马蹄声碎,ma'ti'sheng'sui
蚂蚁缘槐夸大国,ma'yi'yuan'huai'kua'da'guo
埋骨何须桑梓地,mai'gu'he'xu'sang'zi'di
漫江碧透,man'jiang'bi'tou
满江红和郭沫若同志,man'jiang'hong'he'guo'mo'ruo'tong'zhi
满衫清泪滋,man'shan'qing'lei'zi
漫天皆白,man'tian'jie'bai
莽昆仑,mang'kun'lun
茫茫九派流中国,mang'mang'jiu'pai'liu'zhong'guo
梅花欢喜漫天雪,mei'hua'huan'xi'man'tian'xue
民国奇耻,min'guo'qi'chi
鸣鸡一声唱,ming'ji'yi'sheng'chang
命令昨颁,ming'ling'zuo'ban
名世于今五百年,ming'shi'yu'jin'wu'bai'nian
莫道君行早,mo'dao'jun'xing'zao
莫道昆明池水浅,mo'dao'kun'ming'chi'shui'qian
木落翠微冥,mu'luo'cui'wei'ming
暮色苍茫看劲松,mu'se'cang'mang'kan'jin'song
哪个虫儿敢作,na'ge'chong'er'gan'zuo
那容百族共骈阗,na'rong'bai'zu'gong'pian'tian
泥牛入海无消息,ni'niu'ru'hai'wu'xiao'xi
念奴娇昆仑,nian'nu'jiao'kun'lun
念奴娇鸟儿问答,nian'nu'jiao'niao'er'wen'da
年少峥嵘屈贾才,nian'shao'zheng'rong'qu'jia'cai
鸟啼枫径寂,niao'ti'feng'jing'ji
宁化,ning'hua
牛郎欲问瘟神事,niu'lang'yu'wen'wen'shen'shi
农民个个同仇,nong'min'ge'ge'tong'chou
盘空识健翎,pan'kong'shi'jian'ling
攀险呼俦侣,pan'xian'hu'chou'lv
炮火连天,pao'huo'lian'tian
蚍蜉撼树谈何易,pi'fu'han'shu'tan'he'yi
霹雳一声暴动,pi'li'yi'sheng'bao'dong
骗了无涯过客,pian'le'wu'ya'guo'ke
偏师借重黄公略,pian'shi'jie'zhong'huang'gong'lue
凭割断愁思恨缕,ping'ge'duan'chou'si'hen'lv
平浪宫前友谊多,ping'lang'gong'qian'you'yi'duo
菩萨蛮大柏地,pu'sa'man'da'bai'di
菩萨蛮黄鹤楼,pu'sa'man'huang'he'lou
菩萨蛮惊梦,pu'sa'man'jing'meng
七百里驱十五日,qi'bai'li'qu'shi'wu'ri
汽笛一声肠已断,qi'di'yi'sheng'chang'yi'duan
旗号镰刀斧头,qi'hao'lian'dao'fu'tou
起宏图,qi'hong'tu
七绝为女民兵题照,qi'jue'wei'nv'min'bing'ti'zhao
七绝咏蛙,qi'jue'yong'wa
七律答友人,qi'lv'da'you'ren
七律到韶山,qi'lv'dao'shao'shan
七律登庐山,qi'lv'deng'lu'shan
七律冬云,qi'lv'dong'yun
七律洪都,qi'lv'hong'du
凄清如许,qi'qing'ru'xu
齐声唤,qi'sheng'huan
岂销铄,qi'xiao'shuo
恰同学少年,qia'tong'xue'shao'nian
千村薜荔人遗矢,qian'cun'bi'li'ren'yi'shi
千刀当剐唐僧肉,qian'dao'dang'gua'tang'seng'rou
乾坤赤吊罗荣桓同志,qian'kun'chi'diao'luo'rong'huan'tong'zhi
千里冰封,qian'li'bing'feng
千里来寻故地,qian'li'lai'xun'gu'di
千秋功罪,qian'qiu'gong'zui
前头捉了张辉瓒,qian'tou'zhuo'le'zhang'hui'zan
千载德犹馨,qian'zai'de'you'xin
枪林逼,qiang'lin'bi
雀儿答道,qiao'er'da'dao
桥锁玉潭舟,qiao'suo'yu'tan'zhou
俏也不争春,qiao'ye'bu'zheng'chun
秦皇岛外打鱼船,qin'huang'dao'wai'da'yu'chuan
琴绝最伤情,qin'jue'zui'shang'qing
沁园春雪,qin'yuan'chun'xue
清光不令青山失,qing'guang'bu'ling'qing'shan'shi
清流,qing'liu
清平乐会昌,qing'ping'le'hui'chang
清平乐蒋桂战争,qing'ping'le'jiang'gui'zhan'zheng
清平乐六盘山,qing'ping'le'liu'pan'shan
青山着意化为桥,qing'shan'zhuo'yi'hua'wei'qiao
清溪却向青滩泄,qing'xi'que'xiang'qing'tan'xie
秋收时节暮云愁,qiu'shou'shi'jie'mu'yun'chou
去去思君深,qu'qu'si'jun'shen
屈指行程二万,qu'zhi'xing'cheng'er'wan
全无敌,quan'wu'di
冉冉望君来,ran'ran'wang'jun'lai
热风吹雨洒江天,re'feng'chui'yu'sa'jiang'tian
热泪欲零还住,re'lei'yu'ling'huan'zhu
人或为鱼鳖,ren'huo'wei'yu'bie
人间正道是沧桑,ren'jian'zheng'dao'shi'cang'sang
人六亿,ren'liu'yi
人民解放军占领南京,ren'min'jie'fang'jun'zhan'ling'nan'jing
人民五亿不团圆,ren'min'wu'yi'bu'tuan'yuan
人生无处不青山,ren'sheng'wu'chu'bu'qing'shan
人生易老天难老,ren'sheng'yi'lao'tian'nan'lao
人世难逢开口笑,ren'shi'nan'feng'kai'kou'xiao
人妖颠倒是非淆,ren'yao'dian'dao'shi'fei'xiao
人有病,ren'you'bing
人猿相揖别,ren'yuan'xiang'yi'bie
日落衡云西,ri'luo'heng'yun'xi
如梦令元旦,ru'meng'ling'yuan'dan
弱水望邻封,ruo'shui'wang'lin'feng
飒爽英姿五尺枪,sa'shuang'ying'zi'wu'chi'qiang
洒向人间都是怨,sa'xiang'ren'jian'dou'shi'yuan
三军过后尽开颜,san'jun'guo'hou'jin'kai'yan
三千毛瑟精兵,san'qian'mao'se'jing'bing
三十八年过去,san'shi'ba'nian'guo'qu
三十一年还旧国,san'shi'yi'nian'hai'jiu'guo
僧是愚氓犹可训,seng'shi'yu'meng'you'ke'xun
山川奇气曾钟此,shan'chuan'qi'qi'ceng'zhong'ci
山头鼓角相闻,shan'tou'gu'jiao'xiang'wen
山舞银蛇,shan'wu'yin'she
山下旌旗在望,shan'xia'jing'qi'zai'wang
山下山下,shan'xia'shan'xia
上疆场彼此弯弓月,shang'jiang'chang'bi'ci'wan'gong'yue
稍逊风骚,shao'xun'feng'sao
谁与共平生,shei'yu'gong'ping'sheng
神女应无恙,shen'nv'ying'wu'yang
胜似春光,sheng'si'chun'guang
胜似闲庭信步,sheng'si'xian'ting'xin'bu
剩有游人处,sheng'you'you'ren'chu
试看天地翻覆,shi'kan'tian'di'fan'fu
十六字令,shi'liu'zi'ling
世披靡矣扶之直,shi'pi'mi'yi'fu'zhi'zhi
是人寰,shi'ren'huan
诗人兴会更无前,shi'ren'xing'hui'geng'wu'qian
世上无难事,shi'shang'wu'nan'shi
世事纷纭从君理,shi'shi'fen'yun'cong'jun'li
十万工农下吉安,shi'wan'gong'nong'xia'ji'an
逝者如斯夫,shi'zhe'ru'si'fu
收拾金瓯一片,shou'shi'jin'ou'yi'pian
数风流人物,shu'feng'liu'ren'wu
曙光初照演兵场,shu'guang'chu'zhao'yan'bing'chang
霜晨月,shuang'chen'yue
谁持彩练当空舞,shui'chi'cai'lian'dang'kong'wu
水调歌头游泳,shui'diao'ge'tou'you'yong
水调歌头重上井冈山,shui'diao'ge'tou'zhong'shang'jing'gang'shan
谁人曾与评说,shui'ren'ceng'yu'ping'shuo
谁主沉浮,shui'zhu'chen'fu
说项依刘我大难,shuo'xiang'yi'liu'wo'da'nan
四海翻腾云水怒,si'hai'fan'teng'yun'shui'nu
思君君不来,si'jun'jun'bu'lai
送瘟神,song'wen'shen
送纵宇一郎东行,song'zong'yu'yi'lang'dong'xing
算人间知己吾与汝,suan'ren'jian'zhi'ji'wu'yu'ru
岁岁重阳,sui'sui'chong'yang
索句渝州叶正黄,suo'ju'yu'zhou'ye'zheng'huang
踏遍青山人未老,ta'bian'qing'shan'ren'wei'lao
她在丛中笑,ta'zai'cong'zhong'xiao
太平世界,tai'ping'shi'jie
太阳出,tai'yang'chu
弹洞前村壁,tan'dong'qian'cun'bi
谈笑凯歌还,tan'xiao'kai'ge'hai
弹指一挥间,tan'zhi'yi'hui'jian
唐宗宋祖,tang'zong'song'zu
桃花源里可耕田,tao'hua'yuan'li'ke'geng'tian
陶令不知何处去,tao'ling'bu'zhi'he'chu'qu
天兵怒气冲霄汉,tian'bing'nu'qi'chong'xiao'han
天地转,tian'di'zhuan
天翻地覆慨而慷,tian'fan'di'fu'kai'er'kang
天高云淡,tian'gao'yun'dan
天垮下来擎得起,tian'kua'xia'lai'qing'de'qi
天连五岭银锄落,tian'lian'wu'ling'yin'chu'luo
天马凤凰春树里,tian'ma'feng'huang'chun'shu'li
天堑变通途,tian'qian'bian'tong'tu
天若有情天亦老,tian'ruo'you'qing'tian'yi'lao
天生一个仙人洞,tian'sheng'yi'ge'xian'ren'dong
天欲堕,tian'yu'duo
天知否,tian'zhi'fou
听雄鸡一唱遍寰中,ting'xiong'ji'yi'chang'bian'huan'zhong
铜铁炉中翻火焰,tong'tie'lu'zhong'fan'huo'yan
同心干,tong'xin'gan
头颅早悔平生贱,tou'lu'zao'hui'ping'sheng'jian
头上高山,tou'shang'gao'shan
土豆烧熟了,tu'dou'shao'shu'le
万方乐奏有于阗,wan'fang'le'zou'you'yu'tian
万户萧疏鬼唱歌,wan'hu'xiao'shu'gui'chang'ge
万花纷谢一时稀,wan'hua'fen'xie'yi'shi'xi
万类霜天竞自由,wan'lei'shuang'tian'jing'zi'you
万里长江横渡,wan'li'chang'jiang'heng'du
万里长空且为忠魂舞,wan'li'chang'kong'qie'wei'zhong'hun'wu
万里雪飘,wan'li'xue'piao
万马战犹酣,wan'ma'zhan'you'han
万木霜天红烂漫,wan'mu'shuang'tian'hong'lan'man
万水千山只等闲,wan'shui'qian'shan'zhi'deng'xian
万丈长缨要把鲲鹏缚,wan'zhang'chang'ying'yao'ba'kun'peng'fu
望长城内外,wang'chang'cheng'nei'wai
望断南飞雁,wang'duan'nan'fei'yan
望灵荐杯酒,wang'ling'jian'bei'jiu
往事越千年,wang'shi'yue'qian'nian
微风拂晓,wei'feng'fu'xiao
为民立极,wei'min'li'ji
为问何时猜得,wei'wen'he'shi'cai'de
魏武挥鞭,wei'wu'hui'bian
为营步步嗟何及,wei'ying'bu'bu'jie'he'ji
为有牺牲多壮志,wei'you'xi'sheng'duo'zhuang'zhi
惟馀莽莽,wei'yu'mang'mang
问苍茫大地,wen'cang'mang'da'di
闻鸡久听南天雨,wen'ji'jiu'ting'nan'tian'yu
问讯吴刚何所有,wen'xun'wu'gang'he'suo'you
嗡嗡叫,weng'weng'jiao
我返自崖君去矣,wo'fan'zi'ya'jun'qu'yi
我怀郁如焚,wo'huai'yu'ru'fen
我失骄杨君失柳,wo'shi'jiao'yang'jun'shi'liu
握手珠眶涨,wo'shou'zhu'kuang'zhang
我欲因之梦寥廓,wo'yu'yin'zhi'meng'liao'kuo
我自岿然不动,wo'zi'kui'ran'bu'dong
无车弹铗怨冯谖,wu'che'tan'jia'yuan'feng'xuan
五帝三皇神圣事,wu'di'san'huang'shen'sheng'shi
无端散出一天愁,wu'duan'san'chu'yi'tian'chou
吴刚捧出桂花酒,wu'gang'peng'chu'gui'hua'jiu
五岭逶迤腾细浪,wu'ling'wei'yi'teng'xi'lang
