白石一社,bai'shi'yi'she
市中级人民法院,shi'zhong'ji'ren'min'fa'yuan
师专,shi'zhuan
师专新校区,shi'zhuan'xin'xiao'qu
收费站,shou'fei'zhan
守望,shou'wang
朱提大道路口,shu'shi'da'dao'lu'kou
双院子,shuang'yuan'zi
水果批发大市场,shui'guo'pi'fa'da'shi'chang
水平六社,shui'ping'liu'she
水塘坝,shui'tang'ba
水塘卫生院,shui'tang'wei'sheng'yuan
太平村,tai'ping'cun
太平村二社,tai'ping'cun'er'she
太平村一社,tai'ping'cun'yi'she
太平盛世水岸小区,tai'ping'sheng'shi'shui'an'xiao'qu
太平卫生院,tai'ping'wei'sheng'yuan
桃园村公所,tao'yuan'cun'gong'suo
特殊教育学校,te'shu'jiao'yu'xue'xiao
体育馆,ti'yu'guan
望海楼,wang'hai'lou
望海楼路口,wang'hai'lou'lu'kou
威力淀粉厂,wei'li'dian'fen'chang
温泉,wen'quan
屋基桥,wu'ji'qiao
污水处理厂,wu'shui'chu'li'chang
湘通混凝土公司,xiang'tong'hun'ning'tu'gong'si
小北门,xiao'bei'men
小石桥,xiao'shi'qiao
小湾仔,xiao'wan'zai
小湾子,xiao'wan'zi
新街,xin'jie
新民,xin'min
新民乡政府,xin'min'xiang'zheng'fu
烟厂,yan'chang
烟厂活动中心,yan'chang'huo'dong'zhong'xin
养护段家属区,yang'hu'duan'jia'shu'qu
杨家湾,yang'jia'wan
养征稽查大院,yang'zheng'ji'cha'da'yuan
液化气站,ye'hua'qi'zhan
移动全球通大楼,yi'dong'quan'qiu'tong'da'lou
迎水砂石料厂,ying'shui'sha'shi'liao'chang
迎水小学,ying'shui'xiao'xue
渔洞金龙水电站,yu'dong'jin'long'shui'dian'zhan
渔洞水库,yu'dong'shui'ku
渔洞水库管理局,yu'dong'shui'ku'guan'li'ju
裕康商业广场,yu'kang'shang'ye'guang'chang
月牙路,yue'ya'lu
章家梁子,zhang'jia'liang'zi
张家天井,zhang'jia'tian'jing
招呼站,zhao'hu'zhan
昭交集团,zhao'jiao'ji'tuan
昭师附小,zhao'shi'fu'xiao
昭通财校,zhao'tong'cai'xiao
昭通电视台,zhao'tong'dian'shi'tai
昭通技校,zhao'tong'ji'xiao
昭通日报社,zhao'tong'ri'bao'she
昭通市财校,zhao'tong'shi'cai'xiao
昭通制药厂,zhao'tong'zhi'yao'chang
昭苑小区,zhao'yuan'xiao'qu
职业中学,zhi'ye'zhong'xue
中级人民法院,zhong'ji'ren'min'fa'yuan
中医院,zhong'yi'yuan
综合批发大市场,zong'he'pi'fa'da'shi'chang
