阿部敦,a'bu'dun
巴蒂,ba'di
巴尔特,ba'er'te
巴黎篇,ba'li'pian
八束,ba'shu
霸王大系龙骑,ba'wang'da'xi'long'qi
八云滨路,ba'yun'bin'lu
百变小樱,bai'bian'xiao'ying
白川直也,bai'chuan'zhi'ye
百鬼夜行抄,bai'gui'ye'xing'chao
百合趣味,bai'he'qu'wei
白虎,bai'hu
柏木胧,bai'mu'long
柏木优,bai'mu'you
白色巨塔,bai'se'ju'ta
白色猎人,bai'se'lie'ren
白色相簿,bai'se'xiang'bu
白色相簿第二季,bai'se'xiang'bu'di'er'ji
白色相册,bai'se'xiang'ce
白色之春,bai'se'zhi'chun
白石,bai'shi
白石凉子,bai'shi'liang'zi
白石涼子,bai'shi'liang'zi
白石美帆,bai'shi'mei'fan
白石奈亚美,bai'shi'nai'ya'mei
白石稔,bai'shi'ren
白藤杏子,bai'teng'xing'zi
拜托了老师,bai'tuo'le'lao'shi
白雪霙,bai'xue'ying
白夜行,bai'ye'xing
百枝真理矢,bai'zhi'zhen'li'shi
白昼之月,bai'zhou'zhi'yue
坂本昌行,ban'ben'chang'xing
半场友惠,ban'chang'you'hui
板谷由夏,ban'gu'you'xia
半海一晃,ban'hai'yi'huang
斑鸠,ban'jiu
坂口宪二,ban'kou'xian'er
板橋渉,ban'qiao'she
半田,ban'tian
棒球大联盟,bang'qiu'da'lian'meng
棒球英豪,bang'qiu'ying'hao
浜田贤二,bang'tian'xian'er
保阪,bao'ban
保村真,bao'cun'zhen
保尔,bao'er
爆烈鼻毛真拳,bao'lie'bi'mao'zhen'quan
爆球,bao'qiu
宝生舞,bao'sheng'wu
宝石宠物,bao'shi'chong'wu
豹头王传说,bao'tou'wang'chuan'shuo
爆丸,bao'wan
爆旋陀螺,bao'xuan'tuo'luo
爆炸头武士,bao'zha'tou'wu'shi
保志,bao'zhi
保志总一朗,bao'zhi'zong'yi'lang
暴走猎人,bao'zou'lie'ren
暴走兄妹,bao'zou'xiong'mei
北川弘美,bei'chuan'hong'mei
北川景子,bei'chuan'jing'zi
北村一辉,bei'cun'yi'hui
北村祐作,bei'cun'you'zuo
北斗神拳,bei'dou'shen'quan
北斗神拳拉奥外传天之霸,bei'dou'shen'quan'la'ao'wai'zhuan'tian'zhi'ba
贝可,bei'ke
背叛知道我的名字,bei'pan'zhi'dao'wo'de'ming'zi
被迫归来的分侦探,bei'po'gui'lai'de'fen'zhen'tan
背骑少女,bei'qi'shao'nv
北山宏光,bei'shan'hong'guang
笨笨姐弟,ben'ben'jie'di
笨笨森林日志,ben'ben'sen'lin'ri'zhi
本多阳子,ben'duo'yang'zi
本仮屋唯佳,ben'fan'wu'wei'jia
本间枣,ben'jian'zao
本间治基,ben'jian'zhi'ji
本木雅弘,ben'mu'ya'hong
本田贵子,ben'tian'gui'zi
奔向地球,ben'xiang'di'qiu
本乡奏多,ben'xiang'zou'duo
崩月法泉,beng'yue'fa'quan
崩月散鹤,beng'yue'san'he
崩月夕乃,beng'yue'xi'nai
比嘉爱未,bi'jia'ai'wei
碧奇魂,bi'qi'hun
比泉秋名,bi'quan'qiu'ming
比泉生活协商事务所,bi'quan'sheng'huo'xie'shang'shi'wu'suo
必杀仕事人,bi'sha'shi'shi'ren
彼氏彼女的故事,bi'shi'bi'nv'de'gu'shi
蝙蝠侠双人夹击,bian'fu'xia'shuang'ren'jia'ji
变身少年变身侦探,bian'shen'shao'nian'bian'shen'zhen'tan
变形金刚之头领战士,bian'xing'jin'gang'zhi'tou'ling'zhan'shi
别府步,bie'fu'bu
滨崎步,bin'qi'bu
滨田良郎,bin'tian'liang'lang
滨田翔子,bin'tian'xiang'zi
兵部京介,bing'bu'jing'jie
冰上恋人,bing'shang'lian'ren
兵藤葵,bing'teng'kui
兵藤五月,bing'teng'wu'yue
波尔菲的漫长旅途,bo'er'fei'de'man'chang'lv'tu
伯爵与妖精,bo'jue'yu'yao'jing
玻璃假面,bo'li'jia'mian
玻璃面具,bo'li'mian'ju
薄樱鬼,bo'ying'gui
柏原崇,bo'yuan'chong
波子汽水,bo'zi'qi'shui
不公正抽签,bu'gong'zheng'chou'qian
不开心的基因,bu'kai'xin'de'ji'yin
不可思议的课堂,bu'ke'si'yi'de'ke'tang
不可思议猫森林,bu'ke'si'yi'mao'sen'lin
不可思议游戏,bu'ke'si'yi'you'xi
布莱金伯斯,bu'lai'jin'bo'si
不良少年回母校,bu'liang'shao'nian'hui'mu'xiao
不能结婚的男人,bu'neng'jie'hun'de'nan'ren
布尼布尼,bu'ni'bu'ni
不破尚,bu'po'shang
簿樱鬼,bu'ying'gui
菜菜子解体诊书,cai'cai'zi'jie'ti'zhen'shu
彩虹的浪漫,cai'hong'de'lang'man
彩虹满载,cai'hong'man'zai
彩云国物语,cai'yun'guo'wu'yu
喰灵零,can'ling'ling
苍井优,cang'jing'you
苍井优个谎言,cang'jing'you'ge'huang'yan
苍天航路,cang'tian'hang'lu
苍天之拳,cang'tian'zhi'quan
苍之流星,cang'zhi'liu'xing
苍之瞳的少女,cang'zhi'tong'de'shao'nv
曹操孟徳,cao'cao'meng'de
草剪刚,cao'jian'gang
草彅刚,cao'jian'gang
草间野分,cao'jian'ye'fen
草莓百分百,cao'mei'bai'fen'bai
草莓棉花糖,cao'mei'mian'hua'tang
草野,cao'ye
草野博纪,cao'ye'bo'ji
侧耳倾听,ce'er'qing'ting
曾我萤娜,ceng'wo'ying'na
柴崎幸,chai'qi'xing
忏绝望先生,chan'jue'wang'xian'sheng
忏再见绝望先生,chan'zai'jian'jue'wang'xian'sheng
长谷川純,chang'gu'chuan'chun
长谷川纯,chang'gu'chuan'chun
长谷川京子,chang'gu'chuan'jing'zi
长今的梦,chang'jin'de'meng
长濑凑,chang'lai'cou
长濑智也,chang'lai'zhi'ye
长濑准一,chang'lai'zhun'yi
常盘贵子,chang'pan'gui'zi
常盘奈津子,chang'pan'nai'jin'zi
长野博,chang'ye'bo
长泽雅美,chang'ze'ya'mei
长冢京三,chang'zhong'jing'san
朝比奈茜,chao'bi'nai'qian
朝比奈薰,chao'bi'nai'xun
朝仓信长,chao'cang'xin'chang
朝倉音姫,chao'cang'yin'zhen
朝倉由夢,chao'cang'you'meng
超级机器人大战,chao'ji'ji'qi'ren'da'zhan
超级奶爸,chao'ji'nai'ba
超级英雄金刚狼钢铁侠,chao'ji'ying'xiong'jin'gang'lang'gang'tie'xia
超能力大战,chao'neng'li'da'zhan
超能奇兵,chao'neng'qi'bing
巢山尚治,chao'shan'shang'zhi
超时空要塞,chao'shi'kong'yao'sai
超时空要塞边界,chao'shi'kong'yao'sai'bian'jie
超寿兰,chao'shou'lan
潮与虎,chao'yu'hu
超元气三姐妹,chao'yuan'qi'san'jie'mei
超智游戏,chao'zhi'you'xi
陈柏霖,chen'bo'lin
沉睡的森林,chen'shui'de'sen'lin
城岛茂,cheng'dao'mao
成宫宽贵,cheng'gong'kuan'gui
成海璃子,cheng'hai'li'zi
城崎绘美,cheng'qi'hui'mei
城市猎人,cheng'shi'lie'ren
城市猎人之海滩城市,cheng'shi'lie'ren'zhi'hai'tan'cheng'shi
成田剑,cheng'tian'jian
成田离婚,cheng'tian'li'hun
城田优,cheng'tian'you
橙条琉妃,cheng'tiao'liu'fei
橙条瑠妃,cheng'tiao'liu'fei
成为王子的正确方法,cheng'wei'wang'zi'de'zheng'que'fang'fa
赤坂晃,chi'ban'huang
池袋西口公园,chi'dai'xi'kou'gong'yuan
池端慎之介,chi'duan'shen'zhi'jie
赤间直哉,chi'jian'zhi'zai
赤沙印记,chi'sha'yin'ji
池田努,chi'tian'nu
池田铁洋,chi'tian'tie'yang
赤西,chi'xi
赤西仁,chi'xi'ren
赤小胖,chi'xiao'pang
池胁千鹤,chi'xie'qian'he
赤夜萌香,chi'ye'meng'xiang
重返少年时,chong'fan'shao'nian'shi
铳墓,chong'mu
虫孽,chong'nie
虫师,chong'shi
冲田总司,chong'tian'zong'si
宠物情人,chong'wu'qing'ren
宠物小精灵神奇宝贝,chong'wu'xiao'jing'ling'shen'qi'bao'bei
冲一利,chong'yi'li
虫之歌,chong'zhi'ge
初瓣,chu'ban
初恋限定,chu'lian'xian'ding
初体验,chu'ti'yan
雏形明子,chu'xing'ming'zi
厨艺小天王,chu'yi'xiao'tian'wang
初音岛,chu'yin'dao
出租魔法使,chu'zu'mo'fa'shi
川澄绫子,chuan'cheng'ling'zi
川岛得爱,chuan'dao'de'ai
川嶋亚美,chuan'dao'ya'mei
传颂之物,chuan'song'zhi'wu
川田知子,chuan'tian'zhi'zi
穿越时空之壁,chuan'yue'shi'kong'zhi'bi
穿越宇宙的少女,chuan'yue'yu'zhou'de'shao'nv
川之光,chuan'zhi'guang
川中子雅人,chuan'zhong'zi'ya'ren
创圣大天使,chuang'sheng'da'tian'shi
创圣的大天使,chuang'sheng'de'da'tian'shi
纯爱物语,chun'ai'wu'yu
纯白相簿,chun'bai'xiang'bu
唇膏,chun'gao
春华,chun'hua
纯情房东俏房客,chun'qing'fang'dong'qiao'fang'ke
纯情罗曼史,chun'qing'luo'man'shi
春日夏树,chun'ri'xia'shu
淳子杰克逊,chun'zi'jie'ke'xun
赐让君女神的祝福,ci'rang'jun'nv'shen'de'zhu'fu
从天而降的三亿二千万,cong'tian'er'jiang'de'san'yi'er'qian'wan
从天而降一亿颗星,cong'tian'er'jiang'yi'yi'ke'xing
丛雨九十九,cong'yu'jiu'shi'jiu
丛雨十瑚,cong'yu'shi'hu
催眠,cui'mian
村川绘梨,cun'chuan'hui'li
村上信五,cun'shang'xin'wu
村上银子,cun'shang'yin'zi
大奥,da'ao
大仓忠义,da'cang'zhong'yi
大川透,da'chuan'tou
大地翔,da'di'xiang
大耳朵图图,da'er'duo'tu'tu
大耳猴啊啦啦,da'er'hou'a'la'la
大公,da'gong
大和和纪,da'he'he'ji
大后寿寿花,da'hou'shou'shou'hua
打击天使,da'ji'tian'shi
大激突,da'ji'tu
大江户火箭,da'jiang'hu'huo'jian
大滝秀治,da'long'xiu'zhi
达露谢娜,da'lu'xie'na
大门寺咲,da'men'si'xiao
大门寺笑,da'men'si'xiao
大门寺优,da'men'si'you
达米亚,da'mi'ya
大魔法卡,da'mo'fa'ka
大浦龙宇一,da'pu'long'yu'yi
大桥望,da'qiao'wang
大泉洋,da'quan'yang
大杉涟,da'shan'lian
大神与七位伙伴,da'shen'yu'qi'wei'huo'ban
大兴奋,da'xing'fen
大雄的南海大冒险,da'xiong'de'nan'hai'da'mao'xian
大雄的太阳王传说,da'xiong'de'tai'yang'wang'chuan'shuo
大雄的宇宙漂流记,da'xiong'de'yu'zhou'piao'liu'ji
大雄与机器人王国,da'xiong'yu'ji'qi'ren'wang'guo
大雄与神奇的风之,da'xiong'yu'shen'qi'de'feng'zhi
大野智,da'ye'zhi
大原,da'yuan
大泽隆夫,da'ze'long'fu
大正野球娘,da'zheng'ye'qiu'niang
大冢宁宁,da'zhong'ning'ning
大佐,da'zuo
逮捕令,dai'bu'ling
戴英,dai'ying
代永翼,dai'yong'yi
单车新人王,dan'che'xin'ren'wang
蛋蛋,dan'dan
弹道,dan'dao
蛋糕上的草莓,dan'gao'shang'de'cao'mei
蛋黄酱萝莉,dan'huang'jiang'luo'li
当按下开关时,dang'an'xia'kai'guan'shi
稻草人,dao'cao'ren
辺诚一,dao'cheng'yi
稻村圭子,dao'cun'gui'zi
岛津由乃,dao'jin'you'nai
盗梦侦探,dao'meng'zhen'tan
稻森弓弦,dao'sen'gong'xian
稻森泉,dao'sen'quan
稻垣吾郎,dao'yuan'wu'lang
道子与哈金,dao'zi'yu'ha'jin
地球少女,di'qiu'shao'nv
地球最强新娘,di'qiu'zui'qiang'xin'niang
第十七小队,di'shi'qi'xiao'dui
地下城与勇士,di'xia'cheng'yu'yong'shi
地下巧克力,di'xia'qiao'ke'li
第一神拳,di'yi'shen'quan
地狱老师,di'yu'lao'shi
地狱少女,di'yu'shao'nv
地狱少女三鼎,di'yu'shao'nv'san'ding
堤真一,di'zhen'yi
电波少女,dian'bo'shao'nv
电波系彼女,dian'bo'xi'bi'nv
淀川由浩,dian'chuan'you'hao
钿女,dian'nv
电童战士,dian'tong'zhan'shi
典韦,dian'wei
电影少女动画版,dian'ying'shao'nv'dong'hua'ban
钉宫理惠,ding'gong'li'hui
顶级播音员,ding'ji'bo'yin'yuan
町田慎吾,ding'tian'shen'wu
町屋翔太,ding'wu'xiang'tai
东地宏树,dong'di'hong'shu
东方妖妖梦,dong'fang'yao'yao'meng
东风,dong'feng
东风揺花,dong'feng'yao'hua
东干久,dong'gan'jiu
动画进行时,dong'hua'jin'xing'shi
冬季恋歌,dong'ji'lian'ge
东京爱情故事,dong'jing'ai'qing'gu'shi
东京巴比伦,dong'jing'ba'bi'lun
东京大学物语,dong'jing'da'xue'wu'yu
东京地下城,dong'jing'di'xia'cheng
东京地震,dong'jing'di'zhen
东京地震级,dong'jing'di'zhen'ji
东京教父,dong'jing'jiao'fu
东京猫猫,dong'jing'mao'mao
东京魔人学院剑风帖,dong'jing'mo'ren'xue'yuan'jian'feng'tie
东京塔,dong'jing'ta
东铃,dong'ling
冬弥,dong'mi
冬日花园,dong'ri'hua'yuan
东山纪之,dong'shan'ji'zhi
东堂明,dong'tang'ming
动物侦探,dong'wu'zhen'tan
东新良和,dong'xin'liang'he
东月西阳,dong'yue'xi'yang
东之伊甸,dong'zhi'yi'dian
董卓仲颖,dong'zhuo'zhong'ying
斗牌传说,dou'pai'chuan'shuo
豆芽纹,dou'ya'wen
都筑巧,dou'zhu'qiao
都筑乙女,dou'zhu'yi'nv
渡边久美子,du'bian'jiu'mei'zi
赌博默示录,du'bo'mo'shi'lu
渡部笃郎,du'bu'du'lang
渡辺大,du'dao'da
渡辺哲,du'dao'zhe
毒蛇信条,du'she'xin'tiao
渡哲也,du'zhe'ye
碓氷愁生,dui'bing'chou'sheng
碓冰拓海,dui'bing'tuo'hai
敦贺莲,dun'he'lian
多部未华子,duo'bu'wei'hua'zi
堕天使,duo'tian'shi
饿沙罗鬼,e'sha'luo'gui
恶作剧之吻,e'zuo'ju'zhi'wen
二番,er'fan
二宫和也,er'gong'he'ye
二见瑛理子,er'jian'ying'li'zi
二阶堂高嗣,er'jie'tang'gao'si
二十面相,er'shi'mian'xiang
二十面相的女儿,er'shi'mian'xiang'de'nv'er
二十面相娘,er'shi'mian'xiang'niang
二十面相少女,er'shi'mian'xiang'shao'nv
二条乃梨子,er'tiao'nai'li'zi
二条亚矢,er'tiao'ya'shi
儿玉清,er'yu'qing
法兰契斯卡,fa'lan'qi'si'ka
法鲁切,fa'lu'qie
法提娜,fa'ti'na
法伊,fa'yi
饭岛尚人,fan'dao'shang'ren
饭岛直子,fan'dao'zhi'zi
反町隆史,fan'ding'long'shi
范恩格朗兹,fan'en'ge'lang'zi
凡尔赛玫瑰,fan'er'sai'mei'gui
饭田恭平,fan'tian'gong'ping
非常老爸,fei'chang'lao'ba
飞篮扣杀,fei'lan'kou'sha
飞轮少年,fei'lun'shao'nian
废弃公主,fei'qi'gong'zhu
飞天少女猪,fei'tian'shao'nv'zhu
飞田展男,fei'tian'zhan'nan
飞羽爱美,fei'yu'ai'mei
分钟侦探,fen'zhong'zhen'tan
逢坂大河,feng'ban'da'he
风花,feng'hua
风间俊介,feng'jian'jun'jie
风间千景,feng'jian'qian'jing
蜂蜜与四叶草,feng'mi'yu'si'ye'cao
风茉莉冬马,feng'mo'li'dong'ma
风魔小次郎,feng'mo'xiao'ci'lang
风魔小太郎,feng'mo'xiao'tai'lang
峰女壁女,feng'nv'bi'nv
丰崎爱生,feng'qi'ai'sheng
风人物语,feng'ren'wu'yu
风心灵之息,feng'xin'ling'zhi'xi
风音,feng'yin
风之花园,feng'zhi'hua'yuan
风之圣痕,feng'zhi'sheng'hen
风中奇缘,feng'zhong'qi'yuan
服部绚子,fu'bu'xuan'zi
服部柊十郎,fu'bu'zhong'shi'lang
孵蛋萝莉,fu'dan'luo'li
夫妇道,fu'fu'dao
斧厚他,fu'hou'ta
福井裕佳梨,fu'jing'yu'jia'li
腐女警察,fu'nv'jing'cha
父女七日变,fu'nv'qi'ri'bian
福山润,fu'shan'run
福山雅治,fu'shan'ya'zhi
福田麻由子,fu'tian'ma'you'zi
福田沙纪,fu'tian'sha'ji
福星小子,fu'xing'xiao'zi
福圆美里,fu'yuan'mei'li
福原香织,fu'yuan'xiang'zhi
感觉到了吗初吻,gan'jue'dao'le'ma'chu'wen
感应少年,gan'ying'shao'nian
甘字,gan'zi
甘字五郎,gan'zi'wu'lang
冈本圭人,gang'ben'gui'ren
冈本健一,gang'ben'jian'yi
冈本丽,gang'ben'li
冈本信彦,gang'ben'xin'yan
冈仓天司郎,gang'cang'tian'si'lang
冈帝士,gang'di'shi
钢壳的雷吉奥斯,gang'ke'de'lei'ji'ao'si
钢壳都市雷吉欧斯,gang'ke'du'shi'lei'ji'ou'si
钢炼,gang'lian
钢琴恋曲,gang'qin'lian'qu
钢琴之森,gang'qin'zhi'sen
钢森,gang'sen
冈田义徳,gang'tian'yi'de
冈田义德,gang'tian'yi'de
冈田准一,gang'tian'zhun'yi
钢铁的莱茵巴雷尔,gang'tie'de'lai'yin'ba'lei'er
钢铁三国志,gang'tie'san'guo'zhi
钢铁神兵,gang'tie'shen'bing
钢铁天使,gang'tie'tian'shi
钢铁新娘,gang'tie'xin'niang
钢之炼金术士,gang'zhi'lian'jin'shu'shi
钢之炼金术师,gang'zhi'lian'jin'shu'shi
高达,gao'da
高岛礼子,gao'dao'li'zi
高嶋政伸,gao'dao'zheng'shen
高冈苍佑,gao'gang'cang'you
高槻忍,gao'gui'ren
高锅八夜子,gao'guo'ba'ye'zi
高机动幻想,gao'ji'dong'huan'xiang
高岭的自行车,gao'ling'de'zi'xing'che
高木,gao'mu
高木雄也,gao'mu'xiong'ye
高桥克典,gao'qiao'ke'dian
高桥美佳子,gao'qiao'mei'jia'zi
高桥美咲,gao'qiao'mei'xiao
高桥孝浩,gao'qiao'xiao'hao
高桥由美子,gao'qiao'you'mei'zi
高上美夜子,gao'shang'mei'ye'zi
高上升,gao'shang'sheng
高上透,gao'shang'tou
高畑淳子,gao'tian'chun'zi
高校教师,gao'xiao'jiao'shi
高校女忍者,gao'xiao'nv'ren'zhe
高须,gao'xu
高垣彩阳,gao'yuan'cai'yang
格斗教师,ge'dou'jiao'shi
格斗美神武龙重生,ge'dou'mei'shen'wu'long'chong'sheng
葛野久远,ge'ye'jiu'yuan
歌姫,ge'zhen
格子武,ge'zi'wu
给深爱的你,gei'shen'ai'de'ni
根谷美智子,gen'gu'mei'zhi'zi
根源者,gen'yuan'zhe
更科,geng'ke
更科郁斗,geng'ke'yu'dou
宫部红叶,gong'bu'hong'ye
宫城庸,gong'cheng'yong
宫川大辅,gong'chuan'da'fu
攻壳机动队,gong'ke'ji'dong'dui
宫崎骏,gong'qi'jun
宫崎羽衣,gong'qi'yu'yi
宮崎羽衣,gong'qi'yu'yi
宫前佳奈子,gong'qian'jia'nai'zi
工藤靜香,gong'teng'jing'xiang
宫田俊哉,gong'tian'jun'zai
宫野真守,gong'ye'zhen'shou
宫原永海,gong'yuan'yong'hai
宫泽里惠,gong'ze'li'hui
公主公主,gong'zhu'gong'zhu
公主恋人,gong'zhu'lian'ren
公主时间,gong'zhu'shi'jian
工作狂,gong'zuo'kuang
谷村美月,gu'cun'mei'yue
古谷徹,gu'gu'che
古谷一行,gu'gu'yi'hang
骨女,gu'nv
谷崎一郎,gu'qi'yi'lang
谷山纪章,gu'shan'ji'zhang
古手川唯,gu'shou'chuan'wei
古田新太,gu'tian'xin'tai
古畑中学生,gu'tian'zhong'xue'sheng
古尾谷雅人,gu'wei'gu'ya'ren
谷原章介,gu'yuan'zhang'jie
怪化猫,guai'hua'mao
怪兽家长,guai'shou'jia'zhang
怪胎刑警,guai'tai'xing'jing
怪谈餐厅,guai'tan'can'ting
怪物,guai'wu
怪物王女,guai'wu'wang'nv
怪医黑杰克,guai'yi'hei'jie'ke
怪医美女,guai'yi'mei'nv
馆博,guan'bo
贯地谷志保里,guan'di'gu'zhi'bao'li
灌篮高手,guan'lan'gao'shou
观世透,guan'shi'tou
关西,guan'xi
关羽云长,guan'yu'yun'chang
观月亚理莎,guan'yue'ya'li'sha
观月亚里莎,guan'yue'ya'li'sha
光明之泪,guang'ming'zhi'lei
广末凉子,guang'mo'liang'zi
光能使者,guang'neng'shi'zhe
广桥凉,guang'qiao'liang
广石伦,guang'shi'lun
光速蒙面侠,guang'su'meng'mian'xia
光之美少女,guang'zhi'mei'shao'nv
鬼公子炎魔,gui'gong'zi'yan'mo
龟梨,gui'li
龟梨和也,gui'li'he'ye
鬼泣,gui'qi
鬼太郎,gui'tai'lang
桧丸,gui'wan
鬼眼狂刀,gui'yan'kuang'dao
贵志,gui'zhi
国村隼,guo'cun'sun
国分博,guo'fen'bo
国分太一,guo'fen'tai'yi
国拟人第期,guo'ni'ren'di'qi
国仲凉子,guo'zhong'liang'zi
国仲涼子,guo'zhong'liang'zi
哈金,ha'jin
哈密瓜,ha'mi'gua
海岸物语,hai'an'wu'yu
海底娇娃蓝华,hai'di'jiao'wa'lan'hua
骇客根源,hai'ke'gen'yuan
海猫鸣泣之时,hai'mao'ming'qi'zhi'shi
海物语你的存在,hai'wu'yu'ni'de'cun'zai
还以为要死了,hai'yi'wei'yao'si'le
海贼王,hai'zei'wang
寒蝉鸣泣之时,han'chan'ming'qi'zhi'shi
寒蝉鸣泣之时解,han'chan'ming'qi'zhi'shi'jie
好想告诉你,hao'xiang'gao'su'ni
河合,he'he
河合龙之介,he'he'long'zhi'jie
河合堂太,he'he'tang'tai
河合亚芽里,he'he'ya'ya'li
河合翼,he'he'yi
河合郁人,he'he'yu'ren
赫萝,he'luo
赫梦,he'meng
和泉麻美,he'quan'ma'mei
何润东,he'run'dong
鹤田真由,he'tian'zhen'you
和田正人,he'tian'zheng'ren
和也,he'ye
河原木志穗,he'yuan'mu'zhi'sui
黑部朋与,hei'bu'peng'yu
黑川智花,hei'chuan'zhi'hua
黑谷友香,hei'gu'you'xiang
黑礁,hei'jiao
黒巻节子,hei'juan'jie'zi
黑猫,hei'mao
黑猫先生,hei'mao'xian'sheng
黑木瞳,hei'mu'tong
黑乃胡梦,hei'nai'hu'meng
黑崎凉子,hei'qi'liang'zi
黑崎龙之介,hei'qi'long'zhi'jie
黑色皮革手册,hei'se'pi'ge'shou'ce
黑神,hei'shen
黑塔利亚,hei'ta'li'ya
黑血兄弟,hei'xue'xiong'di
黑之契约者,hei'zhi'qi'yue'zhe
黑之契约者流星的双子,hei'zhi'qi'yue'zhe'liu'xing'de'shuang'zi
黑执事,hei'zhi'shi
黑塚,hei'zhong
黑主理事长,hei'zhu'li'shi'zhang
黑主优姬,hei'zhu'you'ji
横山裕,heng'shan'yu
横尾涉,heng'wei'she
轰八千代,hong'ba'qian'dai
弘濑琢磨,hong'lai'zuo'mo
红莲之蓬莱岛,hong'lian'zhi'peng'lai'dao
宏莫雷诺斯,hong'mo'lei'nuo'si
红皮伊舟,hong'pi'yi'zhou
轰旗神佳,hong'qi'shen'jia
红线,hong'xian
红翼,hong'yi
红真九郎,hong'zhen'jiu'lang
后藤麻衣,hou'teng'ma'yi
后天的方向,hou'tian'de'fang'xiang
猴兔超人,hou'tu'chao'ren
胡兵,hu'bing
蝴蝶玫瑰,hu'die'mei'gui
户松遥,hu'song'yao
户田恵梨香,hu'tian'hui'li'xiang
户冢祥太,hu'zhong'xiang'tai
胡子小鸡,hu'zi'xiao'ji
花蝴蝶,hua'hu'die
花井梓,hua'jing'zi
华丽的挑战,hua'li'de'tiao'zhan
华丽一族,hua'li'yi'zu
华莫雷诺斯,hua'mo'lei'nuo'si
花神旺里,hua'shen'wang'li
花田光,hua'tian'guang
花田少年史,hua'tian'shao'nian'shi
滑头鬼之孙,hua'tou'gui'zhi'sun
化物语,hua'wu'yu
花咲茜,hua'xiao'qian
华园光,hua'yuan'guang
化作一瞬的风,hua'zuo'yi'shun'de'feng
怀兹,huai'zi
幻灵镇魂曲,huan'ling'zhen'hun'qu
幻影少年,huan'ying'shao'nian
荒川爆笑团,huang'chuan'bao'xiao'tuan
皇冠之泪花冠的大地,huang'guan'zhi'lei'hua'guan'de'da'di
黄昏腕轮传说,huang'hun'wan'lun'chuan'shuo
皇家国教骑士团,huang'jia'guo'jiao'qi'shi'tuan
黄金宝贝,huang'jin'bao'bei
煌罗万象,huang'luo'wan'xiang
荒神莉花,huang'shen'li'hua
惠比寿,hui'bi'shou
灰翅,hui'chi
惠理佳,hui'li'jia
毁灭世界的六人,hui'mie'shi'jie'de'liu'ren
毁灭者战记,hui'mie'zhe'zhan'ji
会长是女仆大人,hui'zhang'shi'nv'pu'da'ren
混沌武士,hun'dun'wu'shi
魂连,hun'lian
婚纱小天使,hun'sha'xiao'tian'shi
魂兽,hun'shou
魂狩,hun'shou
霍顿奇遇记,huo'dun'qi'yu'ji
火下省吾,huo'xia'sheng'wu
火影忍者,huo'ying'ren'zhe
极道鲜师,ji'dao'xian'shi
机动新撰组,ji'dong'xin'zhuan'zu
机动战士高达,ji'dong'zhan'shi'gao'da
基尔可,ji'er'ke
吉高由里子,ji'gao'you'li'zi
姬宫千子,ji'gong'qian'zi
机魂末世录,ji'hun'mo'shi'lu
机甲兵团,ji'jia'bing'tuan
机甲桃太郎,ji'jia'tao'tai'lang
吉濑美智子,ji'lai'mei'zhi'zi
极乐天师,ji'le'tian'shi
鹡鸰,ji'ling
鹡鸰女神,ji'ling'nv'shen
基鲁,ji'lu
吉鲁卡梅斯,ji'lu'ka'mei'si
机器人,ji'qi'ren
