阿炳,a'bing
凹透镜,ao'tou'jing
凹凸光,ao'tu'guang
凹凸透镜,ao'tu'tou'jing
澳洲摇滚,ao'zhou'yao'gun
罢罢罢来休休休,ba'ba'ba'lai'xiu'xiu'xiu
巴巴变,ba'ba'bian
八宝妆,ba'bao'zhuang
把笔,ba'bi
巴比禄,ba'bi'lu
巴比特,ba'bi'te
八步景,ba'bu'jing
八岔,ba'cha
把场,ba'chang
八大,ba'da
八答仓,ba'da'cang
八大锤,ba'da'chui
拔镫,ba'deng
拔镫录,ba'deng'lu
八段锦,ba'duan'jin
八法,ba'fa
八方行笔,ba'fang'xing'bi
八分,ba'fen
八锋,ba'feng
拔根芦柴花,ba'gen'lu'chai'hua
巴根汝,ba'gen'ru
八卦衣,ba'gua'yi
八关斋记,ba'guan'zhai'ji
巴赫,ba'he
扒豁子,ba'huo'zi
八件衣,ba'jian'yi
八角鼓,ba'jiao'gu
芭蕉延寿,ba'jiao'yan'shou
八诀,ba'jue
巴拉吉列夫,ba'la'ji'lie'fu
巴拉曼,ba'la'man
巴拉满,ba'la'man
八蜡庙,ba'la'miao
巴朗孜阔木,ba'lang'zi'kuo'mu
巴陵戏,ba'ling'xi
八六拍,ba'liu'pai
巴骆和,ba'luo'he
巴洛克流行,ba'luo'ke'liu'xing
巴洛克美术,ba'luo'ke'mei'shu
巴洛克式,ba'luo'ke'shi
巴洛克时期,ba'luo'ke'shi'qi
八面出锋,ba'mian'chu'feng
灞桥挑袍,ba'qiao'tiao'pao
八琼室金石补正,ba'qiong'shi'jin'shi'bu'zheng
八琼室金石文字补正,ba'qiong'shi'jin'shi'wen'zi'bu'zheng
八三拍,ba'san'pai
巴桑顿珠,ba'sang'dun'zhu
八声甘州,ba'sheng'gan'zhou
八体,ba'ti
霸王鞭,ba'wang'bian
霸王别姬,ba'wang'bie'ji
霸王庄,ba'wang'zhuang
把位,ba'wei
巴慰祖,ba'wei'zu
巴乌,ba'wu
巴西文集,ba'xi'wen'ji
钯相纸,ba'xiang'zhi
八星镜,ba'xing'jing
罢宴,ba'yan
巴依尔,ba'yi'er
八音,ba'yin
八永,ba'yong
把贼当就了香葫芦,ba'zei'dang'jiu'le'xiang'hu'lu
把贼剐剁熬成油,ba'zei'gua'duo'ao'cheng'you
八阵图,ba'zhen'tu
扒字调,ba'zi'diao
把子功,ba'zi'gong
八字针,ba'zi'zhen
白斑,bai'ban
百宝嵌,bai'bao'qian
白葆亭,bai'bao'ting
败笔,bai'bi
白逼宫,bai'bi'gong
白长命,bai'chang'ming
白诚仁,bai'cheng'ren
白登云,bai'deng'yun
白帝城,bai'di'cheng
白迪瀚,bai'di'han
白度母,bai'du'mu
白垩,bai'e
白俄嘎,bai'e'ga
白粉层,bai'fen'ceng
白凤鸣,bai'feng'ming
白芙蓉冻万,bai'fu'rong'dong'wan
拜共廖,bai'gong'liao
拜观,bai'guan
白光,bai'guang
白贵元,bai'gui'yuan
白鹤子,bai'he'zi
白桦,bai'hua
白化放大,bai'hua'fang'da
百圾碎,bai'ji'sui
白甲白盔白旗号,bai'jia'bai'kui'bai'qi'hao
白加黑减,bai'jia'hei'jian
白家林,bai'jia'lin
白键,bai'jian
白鉴堂,bai'jian'tang
白蕉,bai'jiao
白金汉,bai'jin'han
白金扩展,bai'jin'kuo'zhan
白金像纸,bai'jin'xiang'zhi
白金照片,bai'jin'zhao'pian
白剧,bai'ju
白俊龙,bai'jun'long
百钧弩发,bai'jun'nu'fa
白良关,bai'liang'guan
百凉楼,bai'liang'lou
百灵达,bai'ling'da
白绫记,bai'ling'ji
白龙岩,bai'long'yan
白马坡,bai'ma'po
白蟒台,bai'mang'tai
白毛女,bai'mao'nv
白门楼,bai'men'lou
白面具藏戏,bai'mian'ju'zang'xi
白描,bai'miao
百鸟引,bai'niao'yin
百诺,bai'nuo
白平衡,bai'ping'heng
白平衡包围曝光,bai'ping'heng'bao'wei'bao'guang
白朴,bai'pu
百骑劫魏营,bai'qi'jie'wei'ying
摆砌末,bai'qie'mo
白全福,bai'quan'fu
白锐,bai'rui
白色荧光灯,bai'se'ying'guang'deng
白沙茅龙笔,bai'sha'mao'long'bi
白沙先生行状,bai'sha'xian'sheng'xing'zhuang
白蛇传,bai'she'zhuan
稗史集传,bai'shi'ji'chuan
白石神君碑,bai'shi'shen'jun'bei
白石印集,bai'shi'yin'ji
百石斋西泠八家印谱,bai'shi'zhai'xi'ling'ba'jia'yin'pu
百寿图,bai'shou'tu
拜书,bai'shu
摆台,bai'tai
白太常,bai'tai'chang
百体书,bai'ti'shu
百微,bai'wei
白文,bai'wen
百戏,bai'xi
白先生看病,bai'xian'sheng'kan'bing
白晓芳,bai'xiao'fang
白秀华,bai'xiu'hua
白秀珍,bai'xiu'zhen
白煦,bai'xu
白雪石,bai'xue'shi
白雪易,bai'xue'yi
白英杰,bai'ying'jie
白永蔚,bai'yong'wei
白釉,bai'you
白玉,bai'yu
白玉蟾,bai'yu'chan
白玉钿,bai'yu'dian
白玉楼,bai'yu'lou
白玉霜,bai'yu'shuang
拜月亭,bai'yue'ting
白云笔,bai'yun'bi
白云鹏,bai'yun'peng
拜占庭美术,bai'zhan'ting'mei'shu
拜占庭式,bai'zhan'ting'shi
白振奇,bai'zhen'qi
百珍腔,bai'zhen'qiang
拜中岳命诗,bai'zhong'yue'ming'shi
白昼间一路曾行走,bai'zhou'jian'yi'lu'ceng'xing'zou
百砖考,bai'zhuan'kao
百字令,bai'zi'ling
白字戏,bai'zi'xi
百字折桂令,bai'zi'zhe'gui'ling
百字知秋令,bai'zi'zhi'qiu'ling
白族,bai'zu
半鹌鹑,ban'an'chun
半霸,ban'ba
半把位,ban'ba'wei
半草书,ban'cao'shu
班德贵,ban'de'gui
斑笛,ban'di
班底,ban'di
伴读书,ban'du'shu
半反射镜,ban'fan'she'jing
瓣根,ban'gen
板鼓,ban'gu
班鼓,ban'gu
半光,ban'guang
板光,ban'guang
半光纸,ban'guang'zhi
班规,ban'gui
板贵兴,ban'gui'xing
板胡,ban'hu
拌灰头,ban'hui'tou
瓣尖,ban'jian
半减七和弦半音阶,ban'jian'qi'he'xian'ban'yin'jie
斒斓,ban'lan
班锣,ban'luo
半逆光,ban'ni'guang
斑漆,ban'qi
板腔体,ban'qiang'ti
伴清灯叩古罄千年苦修,ban'qing'deng'kou'gu'qing'qian'nian'ku'xiu
斑洒金,ban'sa'jin
半色镜,ban'se'jing
般涉调,ban'she'tiao
半身镜,ban'shen'jing
板式,ban'shi
半顺光,ban'shun'guang
班松麟,ban'song'lin
半通,ban'tong
半透明漆,ban'tou'ming'qi
半透射镜,ban'tou'she'jing
半涂银镜,ban'tu'yin'jing
斑文填漆,ban'wen'tian'qi
板眼,ban'yan
半影,ban'ying
半远景,ban'yuan'jing
帮半句,bang'ban'ju
邦波蒂,bang'bo'di
梆笛,bang'di
梆胡,bang'hu
傍角儿,bang'jue'er
傍流,bang'liu
蚌盘,bang'pan
帮腔,bang'qiang
帮腔手法,bang'qiang'shou'fa
膀书,bang'shu
榜书,bang'shu
帮数字,bang'shu'zi
帮一音,bang'yi'yin
帮一字,bang'yi'zi
帮整句,bang'zheng'ju
帮重句帮整段,bang'zhong'ju'bang'zheng'duan
傍妆台,bang'zhuang'tai
梆子,bang'zi
梆子吹打,bang'zi'chui'da
梆子腔,bang'zi'qiang
保安族,bao'an'zu
抱抱子,bao'bao'zi
包长春,bao'chang'chun
鲍昌熙,bao'chang'xi
保持平衡性,bao'chi'ping'heng'xing
保持音,bao'chi'yin
保持着的,bao'chi'zhe'de
包春生,bao'chun'sheng
鲍鼎,bao'ding
包栋,bao'dong
宝丰金石志,bao'feng'jin'shi'zhi
包袱,bao'fu
包袱瓶,bao'fu'ping
鲍复兴,bao'fu'xing
宝刚,bao'gang
保谷,bao'gu
曝光,bao'guang
曝光表,bao'guang'biao
曝光标度,bao'guang'biao'du
曝光标准,bao'guang'biao'zhun
曝光补偿,bao'guang'bu'chang
曝光不足,bao'guang'bu'zu
曝光窗,bao'guang'chuang
曝光过度,bao'guang'guo'du
曝光控制,bao'guang'kong'zhi
曝光模式,bao'guang'mo'shi
曝光时间,bao'guang'shi'jian
曝光锁,bao'guang'suo
曝光锁定,bao'guang'suo'ding
曝光调定,bao'guang'tiao'ding
曝光因素,bao'guang'yin'su
曝光正确,bao'guang'zheng'que
曝光值,bao'guang'zhi
曝光指数,bao'guang'zhi'shu
包国庆,bao'guo'qing
饱和,bao'he
饱和度,bao'he'du
保护壳,bao'hu'ke
宝鸡县金石志,bao'ji'xian'jin'shi'zhi
薄金,bao'jin
宝晋斋法帖,bao'jin'zhai'fa'tie
宝卷,bao'juan
鲍康,bao'kang
宝刻丛编,bao'ke'cong'bian
宝刻类编,bao'ke'lei'bian
鲍老儿,bao'lao'er
鲍老衮,bao'lao'gun
鲍老三台衮,bao'lao'san'tai'gun
鲍利安,bao'li'an
宝莲灯,bao'lian'deng
薄料色漆,bao'liao'se'qi
薄料髹涂,bao'liao'xiu'tu
包龙图打坐在开封府,bao'long'tu'da'zuo'zai'kai'feng'fu
包络,bao'luo
鲍罗丁,bao'luo'ding
报名一锣,bao'ming'yi'luo
保母砖志,bao'mu'zhuan'zhi
宝山,bao'shan
保山渔鼓,bao'shan'yu'gu
宝烧,bao'shao
薄绍之,bao'shao'zhi
包世臣,bao'shi'chen
包首,bao'shou
宝寿华,bao'shou'hua
曝书亭金石文字跋尾,bao'shu'ting'jin'shi'wen'zi'ba'wei
曝书亭书画跋,bao'shu'ting'shu'hua'ba
宝素斋金石书画编年录,bao'su'zhai'jin'shi'shu'hua'bian'nian'lu
宝铁斋金石跋尾,bao'tie'zhai'jin'shi'ba'wei
宝铁斋金石文跋尾,bao'tie'zhai'jin'shi'wen'ba'wei
包头,bao'tou
薄透镜,bao'tou'jing
包围曝光,bao'wei'bao'guang
包文年,bao'wen'nian
薄文秀,bao'wen'xiu
鲍贤伦,bao'xian'lun
宝鸭斋金石拓存,bao'ya'zhai'jin'shi'tuo'cun
宝鸭斋题跋,bao'ya'zhai'ti'ba
宝砚斋印谱,bao'yan'zhai'yin'pu
刨洋芋,bao'yang'yu
薄银,bao'yin
包银,bao'yin
爆音,bao'yin
宝音德力格尔,bao'yin'de'li'ge'er
宝印斋印式,bao'yin'zhai'yin'shi
爆釉,bao'you
鲍元恺,bao'yuan'kai
抱月瓶,bao'yue'ping
宝章待访录,bao'zhang'dai'fang'lu
薄照相纸,bao'zhao'xiang'zhi
鲍振方,bao'zhen'fang
宝真斋法书赞,bao'zhen'zhai'fa'shu'zan
鲍正兰,bao'zheng'lan
鲍志强,bao'zhi'qiang
鲍仲梅,bao'zhong'mei
抱柱联,bao'zhu'lian
报子,bao'zi
报子旗,bao'zi'qi
碑跋,bei'ba
碑版广例,bei'ban'guang'li
北碑,bei'bei
北碑南帖论,bei'bei'nan'tie'lun
北碑体,bei'bei'ti
碑别字,bei'bie'zi
碑别字补,bei'bie'zi'bu
碑别字新编,bei'bie'zi'xin'bian
悲怆的,bei'chuang'de
背带,bei'dai
背凳,bei'deng
北狄乐,bei'di'le
贝雕,bei'diao
贝多芬,bei'duo'fen
贝尔格,bei'er'ge
背工音,bei'gong'yin
倍减,bei'jian
北磵集,bei'jian'ji
倍减音程,bei'jian'yin'cheng
北江诗话,bei'jiang'shi'hua
北京出土元代螺钿残漆盘,bei'jing'chu'tu'yuan'dai'luo'dian'can'qi'pan
北京单弦,bei'jing'dan'xian
背景光,bei'jing'guang
北京京腔,bei'jing'jing'qiang
北京琴书,bei'jing'qin'shu
北京图书馆藏善拓题跋辑录,bei'jing'tu'shu'guan'cang'shan'tuo'ti'ba'ji'lu
北京图书馆藏石刻叙录,bei'jing'tu'shu'guan'cang'shi'ke'xu'lu
北京图书馆藏中国历代石刻拓本汇编,bei'jing'tu'shu'guan'cang'zhong'guo'li'dai'shi'ke'ta'ben'hui'bian
北京杨倭漆,bei'jing'yang'wo'qi
北昆,bei'kun
孛老,bei'lao
杯栳,bei'lao
桮栳,bei'lao
蓓蕾漆,bei'lei'qi
悲栗,bei'li
贝里奥,bei'li'ao
贝利尼,bei'li'ni
背临,bei'lin
碑录,bei'lu
北路梆子,bei'lu'bang'zi
倍率镜,bei'lv'jing
倍率色差,bei'lv'se'cha
北美所见甲隶选粹考释,bei'mei'suo'jian'jia'li'xuan'cui'kao'shi
碑铭所见前秦至隋初的关中部族,bei'ming'suo'jian'qian'qin'zhi'sui'chu'de'guan'zhong'bu'zu
背抛钩,bei'pao'gou
北曲,bei'qu
桮圈,bei'quan
碑薮,bei'sou
陂塘青,bei'tang'qing
悲调,bei'tiao
碑帖跋,bei'tie'ba
碑帖鉴别常识,bei'tie'jian'bie'chang'shi
碑帖鉴定,bei'tie'jian'ding
碑帖叙录,bei'tie'xu'lu
背娃进府,bei'wa'jin'fu
背娃入府,bei'wa'ru'fu
北魏屏风漆画,bei'wei'ping'feng'qi'hua
贝威扬,bei'wei'yang
北魏郑文公碑考,bei'wei'zheng'wen'gong'bei'kao
碑文摘奇,bei'wen'zhai'qi
背夏布,bei'xia'bu
碑学,bei'xue
贝义渊,bei'yi'yuan
柸油,bei'you
背羽,bei'yu
倍增,bei'zeng
倍增音程,bei'zeng'yin'cheng
背纸,bei'zhi
被中画腹,bei'zhong'hua'fu
倍重音,bei'zhong'yin
背朱,bei'zhu
贲巴壶,ben'ba'hu
本符,ben'fu
本嗓,ben'sang
本戏,ben'xi
本影,ben'ying
本应当随母亲镐京避难,ben'ying'dang'sui'mu'qin'hao'jing'bi'nan
蹦蹦,beng'beng
崩登仓,beng'deng'cang
崩浪雷登,beng'lang'lei'deng
毕毕,bi'bi
毕伯涛,bi'bo'tao
壁坼,bi'che
笔触,bi'chu
觱达,bi'da
筚达,bi'da
笔都,bi'dou
笔端,bi'duan
笔断意连,bi'duan'yi'lian
笔法,bi'fa
笔法雅言,bi'fa'ya'yan
笔锋,bi'feng
笔峰,bi'feng
笔腹,bi'fu
笔格,bi'ge
笔工,bi'gong
笔管,bi'guan
毕闳,bi'hong
笔划,bi'hua
碧葭精舍印存,bi'jia'jing'she'yin'cun
闭键,bi'jian
笔谏,bi'jian
笔尖,bi'jian
笔交,bi'jiao
避就,bi'jiu
毕开文,bi'kai'wen
比克,bi'ke
臂窠巨书,bi'ke'ju'shu
臂窠书,bi'ke'shu
闭口烧,bi'kou'shao
毕来德,bi'lai'de
毕郎叨,bi'lang'dao
觱篥,bi'li
必栗,bi'li
笔力,bi'li
筚篥,bi'li
比例加厚,bi'li'jia'hou
比例减薄,bi'li'jian'bao
比列,bi'lie
笔帽,bi'mao
笔墨,bi'mo
笔墨丹青,bi'mo'dan'qing
笔墨技巧,bi'mo'ji'qiao
笔墨意境,bi'mo'yi'jing
笔屏,bi'ping
荸荠瓶,bi'qi'ping
比色密度,bi'se'mi'du
闭塞音,bi'se'yin
逼上梁山,bi'shang'liang'shan
笔圣,bi'sheng
笔省,bi'sheng
笔势,bi'shi
避暑山庄藏汉铜印,bi'shu'shan'zhuang'cang'han'tong'yin
笔顺,bi'shun
笔髓,bi'sui
笔髓论,bi'sui'lun
笔錔,bi'ta
笔套,bi'tao
笔筒,bi'tong
笔头,bi'tou
笔王,bi'wang
笔位,bi'wei
笔惟软则奇怪生焉,bi'wei'ruan'ze'qi'guai'sheng'yan
笔洗,bi'xi
笔序,bi'xu
毕学祥,bi'xue'xiang
笔砚,bi'yan
泌阳出土的秦代云纹圆漆盒,bi'yang'chu'tu'de'qin'dai'yun'wen'yuan'qi'he
笔意,bi'yi
笔意赞,bi'yi'zan
蔽隐与渐灭,bi'yin'yu'jian'mie
毕英麟,bi'ying'lin
毕英奇,bi'ying'qi
碧玉箫,bi'yu'xiao
碧玉簪,bi'yu'zan
毕沅,bi'yuan
毕渊明,bi'yuan'ming
臂运,bi'yun
笔札,bi'zha
笔阵图,bi'zhen'tu
笔直则圆,bi'zhi'ze'yuan
笔冢,bi'zhong
壁中书,bi'zhong'shu
比竹,bi'zhu
编辫子,bian'bian'zi
匾额,bian'e
边锋,bian'feng
变格定弦,bian'ge'ding'xian
变格终止,bian'ge'zhong'zhi
变宫,bian'gong
变化半音,bian'hua'ban'yin
变化拍子,bian'hua'pai'zi
变化全音,bian'hua'quan'yin
变化音,bian'hua'yin
变化音程,bian'hua'yin'cheng
编辑卡,bian'ji'ka
边建国,bian'jian'guo
变焦倍率,bian'jiao'bei'lv
变焦倍数,bian'jiao'bei'shu
变焦比,bian'jiao'bi
变焦放大,bian'jiao'fang'da
变焦环,bian'jiao'huan
变焦镜头,bian'jiao'jing'tou
变焦滤镜,bian'jiao'lv'jing
变焦器,bian'jiao'qi
变焦头可变焦距的镜头,bian'jiao'tou'ke'bian'jiao'ju'de'jing'tou
卞竞武,bian'jing'wu
边景昭,bian'jing'zhao
变九宫格,bian'jiu'gong'ge
边款,bian'kuan
变脸,bian'lian
卞留念,bian'liu'nian
边鸾,bian'luan
编码胶卷,bian'ma'jiao'juan
边平山,bian'ping'shan
编曲,bian'qu
辨色,bian'se
边寿民,bian'shou'min
变速记号,bian'su'ji'hao
鞭挞金属,bian'ta'jin'shu
变头,bian'tou
变图,bian'tu
变涂,bian'tu
变尾,bian'wei
边文进,bian'wen'jin
编席绣,bian'xi'xiu
边线,bian'xian
汴绣,bian'xiu
变音记号,bian'yin'ji'hao
卞永誉,bian'yong'yu
边缘锐度,bian'yuan'rui'du
边缘效应,bian'yuan'xiao'ying
便照,bian'zhao
编针,bian'zhen
边振新,bian'zhen'xin
变徵,bian'zhi
编织针,bian'zhi'zhen
编钟,bian'zhong
鞭子鼓,bian'zi'gu
辫子股针,bian'zi'gu'zhen
变奏曲,bian'zou'qu
卞祖善,bian'zu'shan
表白,biao'bai
表背,biao'bei
裱褙,biao'bei
表层显影,biao'ceng'xian'ying
表花,biao'hua
裱画,biao'hua
镖囊,biao'nang
镖旗,biao'qi
标旗,biao'qi
表情,biao'qing
表现主义,biao'xian'zhu'yi
表演,biao'yan
表演程式,biao'yan'cheng'shi
表演艺术,biao'yan'yi'shu
表演艺术家,biao'yan'yi'shu'jia
标准草书,biao'zhun'cao'shu
标准底片,biao'zhun'di'pian
标准光圈,biao'zhun'guang'quan
标准灰板,biao'zhun'hui'ban
标准镜头,biao'zhun'jing'tou
标准音,biao'zhun'yin
别宫祭江,bie'gong'ji'jiang
鬓残,bin'can
宾得,bin'de
宾福,bin'fu
滨虹草堂藏古鉨印,bin'hong'cao'tang'cang'gu'ni'yin
斌庆社,bin'qing'she
缤纹针,bin'wen'zhen
邠州石室录,bin'zhou'shi'shi'lu
宾主揖让,bin'zhu'yi'rang
病笔,bing'bi
冰裂技法,bing'lie'ji'fa
并录,bing'lu
并题,bing'ti
冰纹针,bing'wen'zhen
丙烯,bing'xi
波表,bo'biao
拨不断,bo'bu'duan
菠菜叶,bo'cai'ye
拨镫法,bo'deng'fa
伯恩斯坦,bo'en'si'tan
卜儿,bo'er
搏拊,bo'fu
波腹,bo'fu
播海令,bo'hai'ling
帛画,bo'hua
波节,bo'jie
卜金钱,bo'jin'qian
擘窠,bo'ke
擘窠书,bo'ke'shu
拨蜡,bo'la
勃拉姆斯,bo'la'mu'si
波拉片,bo'la'pian
玻璃白,bo'li'bai
玻璃漆,bo'li'qi
玻璃丝板胎,bo'li'si'ban'tai
菠萝漆,bo'luo'qi
波罗漆,bo'luo'qi
波沫技法,bo'mo'ji'fa
剥膜胶片,bo'mo'jiao'pian
伯姆式按键,bo'mu'shi'an'jian
博山炉,bo'shan'lu
伯山诗话,bo'shan'shi'hua
卜商读书帖,bo'shang'du'shu'tie
伯绍刚,bo'shao'gang
帛书,bo'shu
拨弦,bo'xian
卜宪旬,bo'xian'xun
铂相纸,bo'xiang'zhi
波音,bo'yin
钵盂,bo'yu
伯远帖,bo'yuan'tie
拨针绣,bo'zhen'xiu
拨奏,bo'zou
拨奏气鸣乐器,bo'zou'qi'ming'yue'qi
不拜门,bu'bai'men
补笔,bu'bi
补笔点,bu'bi'dian
补笔符,bu'bi'fu
步步娇,bu'bu'jiao
步蟾宫,bu'chan'gong
补偿显影,bu'chang'xian'ying
布城,bu'cheng
补充液,bu'chong'ye
不搭调,bu'da'diao
布姑,bu'gu
布光,bu'guang
补画绣,bu'hua'xiu
补寰宇访碑录,bu'huan'yu'fang'bei'lu
补寰宇访碑录校勘记,bu'huan'yu'fang'bei'lu'jiao'kan'ji
布局,bu'ju
不堪回首忆旧游,bu'kan'hui'shou'yi'jiu'you
补刻本,bu'ke'ben
不可见光,bu'ke'jian'guang
不空和尚碑,bu'kong'he'shang'bei
布朗族,bu'lang'zu
布累,bu'lei
布里顿,bu'li'dun
布列松,bu'lie'song
布列兹,bu'lie'zi
布鲁克纳,bu'lu'ke'na
布鲁斯音阶,bu'lu'si'yin'jie
补罗迦室印谱,bu'luo'jia'shi'yin'pu
补敏,bu'min
布漆,bu'qi
布漆胎,bu'qi'tai
补色,bu'se
补色律,bu'se'lv
部首,bu'shou
布特尕,bu'te'ga
不完满终止,bu'wan'man'zhong'zhi
不完全小节,bu'wan'quan'xiao'jie
不完全协和音程,bu'wan'quan'xie'he'yin'cheng
不稳定音程,bu'wen'ding'yin'cheng
不稳定音级,bu'wen'ding'yin'ji
布纹纸,bu'wen'zhi
不协和音程,bu'xie'he'yin'cheng
布心纸胎,bu'xin'zhi'tai
步虚词,bu'xu'ci
布衣戏,bu'yi'xi
布帐,bu'zhang
补助光,bu'zhu'guang
不子,bu'zi
布自,bu'zi
擦痕,ca'hen
擦染,ca'ran
擦奏,ca'zou
擦奏弦鸣乐器,ca'zou'xian'ming'yue'qi
采柏园古印泽存,cai'bai'yuan'gu'yin'ze'cun
蔡卞,cai'bian
采茶,cai'cha
采茶歌,cai'cha'ge
蔡大礼,cai'da'li
裁刀,cai'dao
彩调,cai'diao
采勾金,cai'gou'jin
采古来能书人名,cai'gu'lai'neng'shu'ren'ming
采光,cai'guang
蔡国声,cai'guo'sheng
彩虹镜,cai'hong'jing
蔡鸿茹,cai'hong'ru
菜花黄,cai'hua'huang
蔡华义,cai'hua'yi
蔡慧蘋,cai'hui'pin
蔡嘉,cai'jia
蔡家庄,cai'jia'zhuang
踩蹻,cai'jiao
蔡孑人,cai'jie'ren
蔡金鹏,cai'jin'peng
蔡金台,cai'jin'tai
彩锦绣,cai'jin'xiu
蔡京,cai'jing
彩剧,cai'ju
蔡良玉,cai'liang'yu
彩楼春,cai'lou'chun
蔡茂友,cai'mao'you
蔡明远帖送裴将军诗帖,cai'ming'yuan'tie'song'pei'jiang'jun'shi'tie
菜鸟,cai'niao
彩排,cai'pai
蔡培生,cai'pei'sheng
彩屏法,cai'ping'fa
彩屏干版,cai'ping'gan'ban
彩漆,cai'qi
彩腔,cai'qiang
彩全景畸变,cai'quan'jing'ji'bian
才让旺堆,cai'rang'wang'dui
蔡汝霖,cai'ru'lin
彩色放大,cai'se'fang'da
彩色负片,cai'se'fu'pian
彩色合成,cai'se'he'cheng
彩色灰雾,cai'se'hui'wu
彩色扩印,cai'se'kuo'yin
彩色蒙罩,cai'se'meng'zhao
彩色片,cai'se'pian
彩色平衡,cai'se'ping'heng
彩色摄影,cai'se'she'ying
彩色污染,cai'se'wu'ran
彩色显影,cai'se'xian'ying
彩色相纸,cai'se'xiang'zhi
彩色正片,cai'se'zheng'pian
彩烧,cai'shao
蔡师祥,cai'shi'xiang
蔡司,cai'si
彩陶埙,cai'tao'xun
蔡条,cai'tiao
猜调,cai'tiao
蔡文芳,cai'wen'fang
蔡文献,cai'wen'xian
蔡希综,cai'xi'zong
彩匣子,cai'xia'zi
蔡祥麟,cai'xiang'lin
蔡襄自书诗帖,cai'xiang'zi'shu'shi'tie
彩鞋,cai'xie
采样器,cai'yang'qi
采样坦克,cai'yang'tan'ke
蔡毅,cai'yi
蔡毅强,cai'yi'qiang
蔡有邻,cai'you'lin
蔡玉衡,cai'yu'heng
蔡云,cai'yun
蔡云林,cai'yun'lin
蔡志诚,cai'zhi'cheng
蔡忠惠公文集,cai'zhong'hui'gong'wen'ji
参军戏,can'jun'xi
参考光,can'kao'guang
参数自动化,can'shu'zi'dong'hua
蚕头,can'tou
蚕头凤尾,can'tou'feng'wei
蚕头雁尾,can'tou'yan'wei
粲正,can'zheng
仓仓锣,cang'cang'luo
藏锋,cang'feng
藏峰逆入,cang'feng'ni'ru
苍胡腔,cang'hu'qiang
苍涧轩碑跋,cang'jian'xuan'bei'ba
藏剧,cang'ju
藏款,cang'kuan
藏泉记,cang'quan'ji
苍润轩碑跋记,cang'run'xuan'bei'ba'ji
苍苔技法,cang'tai'ji'fa
藏头护尾,cang'tou'hu'wei
苍霞草,cang'xia'cao
苍玉洞宋人题名,cang'yu'dong'song'ren'ti'ming
苍玉洞题名石刻,cang'yu'dong'ti'ming'shi'ke
藏针,cang'zhen
藏针绣,cang'zhen'xiu
藏舟,cang'zhou
曹安和,cao'an'he
曹霸,cao'ba
