阿拔斯一世,a'ba'si'yi'shi
八旗通志,ba'qi'tong'zhi
八旗制度,ba'qi'zhi'du
跋沙,ba'sha
巴士底狱,ba'shi'di'yu
巴托罗缪,ba'tuo'luo'miu
八一九事件,ba'yi'jiu'shi'jian
跋祗,ba'zhi
白俄罗斯,bai'e'luo'si
百工衙,bai'gong'ya
白军,bai'jun
百科全书派,bai'ke'quan'shu'pai
白里安凯洛公约,bai'li'an'kai'luo'gong'yue
白鹭城,bai'lu'cheng
百年翻译运动,bai'nian'fan'yi'yun'dong
百年战争,bai'nian'zhan'zheng
百日王朝,bai'ri'wang'chao
拜上帝会,bai'shang'di'hui
拜上帝教,bai'shang'di'jiao
白衣大食,bai'yi'da'shi
拜占庭,bai'zhan'ting
拜占庭帝国,bai'zhan'ting'di'guo
拜占庭人,bai'zhan'ting'ren
拜占庭首都,bai'zhan'ting'shou'du
版籍奉还,ban'ji'feng'huan
斑鸠寺,ban'jiu'si
班田收授法,ban'tian'shou'shou'fa
板垣征四郎,ban'yuan'zheng'si'lang
般遮罗,ban'zhe'luo
保持中立,bao'chi'zhong'li
爆发革命,bao'fa'ge'ming
爆发了,bao'fa'le
爆发时间,bao'fa'shi'jian
包瑞德上校,bao'rui'de'shang'xiao
保守党,bao'shou'dang
保守主义,bao'shou'zhu'yi
包衣,bao'yi
保元之乱,bao'yuan'zhi'luan
北爱尔兰,bei'ai'er'lan
北爱兰郡,bei'ai'lan'jun
被保留,bei'bao'liu
倍倍尔,bei'bei'er
北部的,bei'bu'de
贝当政府,bei'dang'zheng'fu
北德意志联邦,bei'de'yi'zhi'lian'bang
贝杜因人,bei'du'yin'ren
贝多芬,bei'duo'fen
北方战争,bei'fang'zhan'zheng
北非战争,bei'fei'zhan'zheng
贝拉库恩,bei'la'ku'en
北美大陆,bei'mei'da'lu
被迫承认,bei'po'cheng'ren
被迫签署,bei'po'qian'shu
被任命为,bei'ren'ming'wei
被推翻,bei'tui'fan
北洋大臣,bei'yang'da'chen
北洋海军,bei'yang'hai'jun
被英国,bei'ying'guo
贝冢,bei'zhong
本草纲目,ben'cao'gang'mu
本能寺之变,ben'neng'si'zhi'bian
本尼迪克特,ben'ni'di'ke'te
彼得大帝,bi'de'da'di
彼得格勒十月武装起义,bi'de'ge'le'shi'yue'wu'zhuang'qi'yi
彼得一世,bi'de'yi'shi
彼得一世改革,bi'de'yi'shi'gai'ge
比克人,bi'ke'ren
比利时,bi'li'shi
俾斯麦,bi'si'mai
编户齐民,bian'hu'qi'min
别洛韦日,bie'luo'wei'ri
并定居,bing'ding'ju
病没,bing'mei
波茨坦会议,bo'ci'tan'hui'yi
波茨坦协定,bo'ci'tan'xie'ding
伯恩施坦,bo'en'shi'tan
伯尔尼国际,bo'er'ni'guo'ji
柏拉图,bo'la'tu
伯里克利,bo'li'ke'li
伯利克里,bo'li'ke'li
玻利瓦尔,bo'li'wa'er
柏林市,bo'lin'shi
柏林战役,bo'lin'zhan'yi
伯罗奔尼撒,bo'luo'ben'ni'sa
伯罗奔尼撒同盟,bo'luo'ben'ni'sa'tong'meng
伯罗奔尼撒战争,bo'luo'ben'ni'sa'zhan'zheng
波罗地海三国,bo'luo'di'hai'san'guo
波旁王朝,bo'pang'wang'chao
波士顿倾茶事件,bo'shi'dun'qing'cha'shi'jian
波斯帝国,bo'si'di'guo
波斯帝国的兴起,bo'si'di'guo'de'xing'qi
波斯人,bo'si'ren
波斯湾,bo'si'wan
波斯鱼鳞阵,bo'si'yu'lin'zhen
博学鸿词科,bo'xue'hong'ci'ke
波兹南事件,bo'zi'nan'shi'jian
布尔什维克,bu'er'shi'wei'ke
布尔什维克党,bu'er'shi'wei'ke'dang
布哈林,bu'ha'lin
布里埃纳军校,bu'li'ai'na'jun'xiao
不列颠,bu'lie'dian
布列斯特和约,bu'lie'si'te'he'yue
布鲁诺,bu'lu'nuo
布匿战争,bu'ni'zhan'zheng
财产损失,cai'chan'sun'shi
蔡特金,cai'te'jin
采邑,cai'yi
参加的,can'jia'de
察举制,cha'ju'zhi
查理曼帝国,cha'li'man'di'guo
查士丁尼,cha'shi'ding'ni
查田运动,cha'tian'yun'dong
柴明达,chai'ming'da
常备军,chang'bei'jun
常捷军,chang'jie'jun
长期持续,chang'qi'chi'xu
长期国会,chang'qi'guo'hui
常任理事国,chang'ren'li'shi'guo
长沙会战,chang'sha'hui'zhan
超级大国,chao'ji'da'guo
朝鲜人民革命军,chao'xian'ren'min'ge'ming'jun
朝鲜三国时代,chao'xian'san'guo'shi'dai
朝鲜三一运动,chao'xian'san'yi'yun'dong
车底,che'di
彻底失败,che'di'shi'bai
车尔尼雪夫斯基,che'er'ni'xue'fu'si'ji
城邦国家,cheng'bang'guo'jia
承继人,cheng'ji'ren
称王,cheng'wang
成型于,cheng'xing'yu
承宣布政使司,cheng'xuan'bu'zheng'shi'si
冲锋队,chong'feng'dui
筹办夷务始末,chou'ban'yi'wu'shi'mo
出现的,chu'xian'de
春秋三传,chun'qiu'san'chuan
嵯峨野,cuo'e'ye
大宝律令,da'bao'lv'ling
大不列颠,da'bu'lie'dian
大不列颠岛,da'bu'lie'dian'dao
大德寺,da'de'si
大东亚共荣圈,da'dong'ya'gong'rong'quan
达尔文,da'er'wen
达芬奇,da'fen'qi
大幅度提高,da'fu'du'ti'gao
大公称号,da'gong'cheng'hao
大规模杀伤性武器,da'gui'mo'sha'shang'xing'wu'qi
大和国家,da'he'guo'jia
大化革新,da'hua'ge'xin
达拉第,da'la'di
大流士,da'liu'shi
大流士一世,da'liu'shi'yi'shi
大陆封锁政策,da'lu'feng'suo'zheng'ce
大陆会议,da'lu'hui'yi
大陆交通,da'lu'jiao'tong
大明宫含元殿遗址,da'ming'gong'han'yuan'dian'yi'zhi
大清朝廷,da'qing'chao'ting
大清洗,da'qing'xi
大日本帝国宪法,da'ri'ben'di'guo'xian'fa
大食,da'shi
大卫李嘉图,da'wei'li'jia'tu
大西洋共同体,da'xi'yang'gong'tong'ti
大西洋宪章,da'xi'yang'xian'zhang
大宪章,da'xian'zhang
大萧条,da'xiao'tiao
大选获胜,da'xuan'huo'sheng
大英博物馆,da'ying'bo'wu'guan
大英帝国,da'ying'di'guo
大英帝国殖民体系,da'ying'di'guo'zhi'min'ti'xi
大政翼赞会,da'zheng'yi'zan'hui
戴高乐,dai'gao'le
代号为,dai'hao'wei
戴季陶主义,dai'ji'tao'zhu'yi
戴克里先,dai'ke'li'xian
但丁,dan'ding
丹麦海盗帝国,dan'mai'hai'dao'di'guo
丹麦人,dan'mai'ren
担任首脑,dan'ren'shou'nao
当今世界,dang'jin'shi'jie
党卫军,dang'wei'jun
当选为,dang'xuan'wei
当选总统,dang'xuan'zong'tong
党章中,dang'zhang'zhong
到达北京,dao'da'bei'jing
道格拉斯,dao'ge'la'si
到卡,dao'ka
道威斯计划,dao'wei'si'ji'hua
德奥合并,de'ao'he'bing
的版图,de'ban'tu
的部落,de'bu'luo
的承认,de'cheng'ren
德川幕府,de'chuan'mu'fu
的顶点,de'ding'dian
德国独立社会民主党,de'guo'du'li'she'hui'min'zhu'dang
德国各地,de'guo'ge'di
的国家,de'guo'jia
德国农民战争,de'guo'nong'min'zhan'zheng
德国社会民主党,de'guo'she'hui'min'zhu'dang
德国十一月革命,de'guo'shi'yi'yue'ge'ming
德国宗教改革,de'guo'zong'jiao'gai'ge
德黑兰会议,de'hei'lan'hui'yi
的皇帝,de'huang'di
的建立,de'jian'li
的军队,de'jun'dui
的口号,de'kou'hao
德雷福斯案件,de'lei'fu'si'an'jian
的利益,de'li'yi
的领主,de'ling'zhu
的入侵,de'ru'qin
的首都,de'shou'du
的统治,de'tong'zhi
德先生,de'xian'sheng
的邀请,de'yao'qing
的一半,de'yi'ban
德意志邦联,de'yi'zhi'bang'lian
德意志帝国,de'yi'zhi'di'guo
德意志第三帝国,de'yi'zhi'di'san'di'guo
德意志联邦共和国,de'yi'zhi'lian'bang'gong'he'guo
德意志民主共和国,de'yi'zhi'min'zhu'gong'he'guo
的语言,de'yu'yan
的战争,de'zhan'zheng
的政权,de'zheng'quan
登基,deng'ji
邸店,di'dian
第二半国际,di'er'ban'guo'ji
第二次世界大战,di'er'ci'shi'jie'da'zhan
第二次世界大战中,di'er'ci'shi'jie'da'zhan'zhong
第二共和国,di'er'gong'he'guo
第二国际,di'er'guo'ji
第二经济大国,di'er'jing'ji'da'guo
第二王朝,di'er'wang'chao
第二战场,di'er'zhan'chang
缔结条约,di'jie'tiao'yue
狄克西,di'ke'xi
狄克西使团,di'ke'xi'shi'tuan
蒂拉克,di'la'ke
地理单元,di'li'dan'yuan
地面攻势,di'mian'gong'shi
第三共和国,di'san'gong'he'guo
第三国际,di'san'guo'ji
第三王朝,di'san'wang'chao
第四点计划,di'si'dian'ji'hua
第四共和国,di'si'gong'he'guo
第四国际,di'si'guo'ji
第四条款,di'si'tiao'kuan
第五共和国,di'wu'gong'he'guo
第五纵队,di'wu'zong'dui
迪亚兹,di'ya'zi
第一部宪法,di'yi'bu'xian'fa
第一次世界大战,di'yi'ci'shi'jie'da'zhan
第一次世界大战后,di'yi'ci'shi'jie'da'zhan'hou
第一大党,di'yi'da'dang
第一共和国,di'yi'gong'he'guo
第一国际,di'yi'guo'ji
第一届,di'yi'jie
第一届大陆会议,di'yi'jie'da'lu'hui'yi
第一王朝,di'yi'wang'chao
第一位国王,di'yi'wei'guo'wang
第一执政,di'yi'zhi'zheng
地中海的,di'zhong'hai'de
地中海西部,di'zhong'hai'xi'bu
地中海沿岸,di'zhong'hai'yan'an
奠边府,dian'bian'fu
奠边府战役,dian'bian'fu'zhan'yi
点石斋画报,dian'shi'zhai'hua'bao
典型的,dian'xing'de
丁村文化,ding'cun'wen'hua
东部的,dong'bu'de
东大寺,dong'da'si
东德,dong'de
东方杂志,dong'fang'za'zhi
东京审判,dong'jing'shen'pan
东山文化,dong'shan'wen'hua
东条英机,dong'tiao'ying'ji
东西本愿寺,dong'xi'ben'yuan'si
东西教会的分裂,dong'xi'jiao'hui'de'fen'lie
东学道起义,dong'xue'dao'qi'yi
东印度公司,dong'yin'du'gong'si
督办政务处,du'ban'zheng'wu'chu
独裁统治,du'cai'tong'zhi
渡槽,du'cao
都铎王朝,du'duo'wang'chao
渡海征服,du'hai'zheng'fu
独立的,du'li'de
独立国家,du'li'guo'jia
独立国家联合体,du'li'guo'jia'lian'he'ti
独立国家联合体协议,du'li'guo'jia'lian'he'ti'xie'yi
独立国家联合体协议议定书,du'li'guo'jia'lian'he'ti'xie'yi'yi'ding'shu
独立外交政策,du'li'wai'jiao'zheng'ce
独立为,du'li'wei
独立宣言,du'li'xuan'yan
独立战争,du'li'zhan'zheng
独立自主,du'li'zi'zhu
杜桑卢维杜尔,du'sang'lu'wei'du'er
度田,du'tian
读通鉴论,du'tong'jian'lun
短期国会,duan'qi'guo'hui
对外贸易,dui'wai'mao'yi
对外主张,dui'wai'zhu'zhang
敦刻尔克撤退,dun'ke'er'ke'che'tui
多边自主,duo'bian'zi'zhu
多国部队,duo'guo'bu'dui
多国联盟,duo'guo'lian'meng
多利亚人,duo'li'ya'ren
堕民,duo'min
夺取政权,duo'qu'zheng'quan
多研究些问题少谈些主义,duo'yan'jiu'xie'wen'ti'shao'tan'xie'zhu'yi
厄尔图格鲁尔,e'er'tu'ge'lu'er
俄国帝国主义特点,e'guo'di'guo'zhu'yi'te'dian
俄国二月革命,e'guo'er'yue'ge'ming
俄国废除农奴制,e'guo'fei'chu'nong'nu'zhi
俄国立宪民主党,e'guo'li'xian'min'zhu'dang
俄国社会革命党,e'guo'she'hui'ge'ming'dang
俄国十二月武装起义,e'guo'shi'er'yue'wu'zhuang'qi'yi
俄国斯拉夫派,e'guo'si'la'fu'pai
俄国吞并乌克兰,e'guo'tun'bing'wu'ke'lan
俄罗斯帝国,e'luo'si'di'guo
俄罗斯帝国法令全集,e'luo'si'di'guo'fa'ling'quan'ji
俄罗斯独立,e'luo'si'du'li
俄罗斯联邦,e'luo'si'lian'bang
俄美公司,e'mei'gong'si
遏制战略,e'zhi'zhan'lue
恩格斯,en'ge'si
恩科,en'ke
恩里克,en'li'ke
二二六事件,er'er'liu'shi'jian
二七惨案,er'qi'can'an
二条城,er'tiao'cheng
二月革命,er'yue'ge'ming
法德友好条约,fa'de'you'hao'tiao'yue
发动了,fa'dong'le
发动叛乱,fa'dong'pan'luan
法国,fa'guo
法国巴黎高等军事学校,fa'guo'ba'li'gao'deng'jun'shi'xue'xiao
法国抵抗运动,fa'guo'di'kang'yun'dong
法国二月革命,fa'guo'er'yue'ge'ming
法国共和历,fa'guo'gong'he'li
法国凯旋门,fa'guo'kai'xuan'men
法国人民阵线,fa'guo'ren'min'zhen'xian
法国三级会议,fa'guo'san'ji'hui'yi
法国资产阶级革命,fa'guo'zi'chan'jie'ji'ge'ming
法兰克王国的兴起,fa'lan'ke'wang'guo'de'xing'qi
法兰西第二帝国,fa'lan'xi'di'er'di'guo
法兰西第二共和国,fa'lan'xi'di'er'gong'he'guo
法兰西第三共和国,fa'lan'xi'di'san'gong'he'guo
法兰西第三共和国宪法,fa'lan'xi'di'san'gong'he'guo'xian'fa
法兰西第一帝国,fa'lan'xi'di'yi'di'guo
法兰西第一共和国,fa'lan'xi'di'yi'gong'he'guo
法兰西共和国,fa'lan'xi'gong'he'guo
法兰西民族,fa'lan'xi'min'zu
法老,fa'lao
法隆寺,fa'long'si
法西斯,fa'xi'si
法西斯党,fa'xi'si'dang
反对党,fan'dui'dang
凡尔登条约,fan'er'deng'tiao'yue
凡尔登战役,fan'er'deng'zhan'yi
凡尔赛和约,fan'er'sai'he'yue
凡尔赛华盛顿体系,fan'er'sai'hua'sheng'dun'ti'xi
反法西斯人民阵线运动,fan'fa'xi'si'ren'min'zhen'xian'yun'dong
反英大起义,fan'ying'da'qi'yi
访问日本,fang'wen'ri'ben
方志,fang'zhi
非暴力不合作运动,fei'bao'li'bu'he'zuo'yun'dong
费边社,fei'bian'she
废除农奴制,fei'chu'nong'nu'zhi
费尔巴哈,fei'er'ba'ha
废藩置县,fei'fan'zhi'xian
非国大,fei'guo'da
飞脚屋,fei'jiao'wu
腓尼基,fei'ni'ji
腓尼基语,fei'ni'ji'yu
腓尼基字母,fei'ni'ji'zi'mu
飞鸟文化,fei'niao'wen'hua
废奴运动,fei'nu'yun'dong
飞钱,fei'qian
吠舍,fei'she
腓特烈大帝,fei'te'lie'da'di
斐扬俱乐部,fei'yang'ju'le'bu
非洲北海岸,fei'zhou'bei'hai'an
分裂为,fen'lie'wei
分支机构,fen'zhi'ji'gou
丰臣秀吉,feng'chen'xiu'ji
封建割据,feng'jian'ge'ju
封建国家,feng'jian'guo'jia
封建政权,feng'jian'zheng'quan
封建制度,feng'jian'zhi'du
封泥,feng'ni
冯诺伊曼,feng'nuo'yi'man
佛本生经,fo'ben'sheng'jing
佛教,fo'jiao
佛朗哥,fo'lang'ge
佛罗伦萨共和国,fo'luo'lun'sa'gong'he'guo
府兵制度,fu'bing'zhi'du
伏尔泰,fu'er'tai
富国强兵,fu'guo'jiang'bing
伏见城,fu'jian'cheng
弗拉基米尔,fu'la'ji'mi'er
富兰克林,fu'lan'ke'lin
富兰克林罗斯福,fu'lan'ke'lin'luo'si'fu
弗朗西斯培根,fu'lang'xi'si'pei'gen
傅立叶,fu'li'ye
福利制度,fu'li'zhi'du
富裕阶层,fu'yu'jie'ceng
府院之争,fu'yuan'zhi'zheng
盖得,gai'de
该国的,gai'guo'de
改国号为,gai'guo'hao'wei
改年号为,gai'nian'hao'wei
盖世太保,gai'shi'tai'bao
盖尤斯,gai'you'si
甘地,gan'di
甘地欧文协定,gan'di'ou'wen'xie'ding
甘蒲闍,gan'pu'du
甘石星经,gan'shi'xing'jing
冈比西,gang'bi'xi
冈比西斯,gang'bi'xi'si
高技术条件,gao'ji'shu'tiao'jian
高卢,gao'lu
高墨达,gao'mo'da
高墨达暴动,gao'mo'da'bao'dong
高速增长,gao'su'zeng'zhang
高支持率,gao'zhi'chi'lv
哥白尼,ge'bai'ni
歌德,ge'de
隔海相望,ge'hai'xiang'wang
格拉古兄弟改革,ge'la'gu'xiong'di'gai'ge
葛兰西,ge'lan'xi
格利哥里历,ge'li'ge'li'li
格隆,ge'long
哥伦布,ge'lun'bu
革命军,ge'ming'jun
戈培尔,ge'pei'er
哥萨克,ge'sa'ke
各省总督,ge'sheng'zong'du
哥特人,ge'te'ren
蛤御门之变,ge'yu'men'zhi'bian
共产国际,gong'chan'guo'ji
共产主义义务星期六,gong'chan'zhu'yi'yi'wu'xing'qi'liu
共产主义者同盟,gong'chan'zhu'yi'zhe'tong'meng
工党,gong'dang
工党领袖,gong'dang'ling'xiu
公共开支,gong'gong'kai'zhi
公共浴室,gong'gong'yu'shi
共和国大议长,gong'he'guo'da'yi'zhang
工联主义,gong'lian'zhu'yi
工人阶级解放斗争协会,gong'ren'jie'ji'jie'fang'dou'zheng'xie'hui
公社田,gong'she'tian
共同发表,gong'tong'fa'biao
工业发展,gong'ye'fa'zhan
共有六,gong'you'liu
共有五,gong'you'wu
共主联邦模式,gong'zhu'lian'bang'mo'shi
古埃及是,gu'ai'ji'shi
古埃及统一王国的建立,gu'ai'ji'tong'yi'wang'guo'de'jian'li
古巴比伦王国,gu'ba'bi'lun'wang'guo
古城名,gu'cheng'ming
古罗马帝国,gu'luo'ma'di'guo
古罗马人,gu'luo'ma'ren
古王国,gu'wang'guo
古希腊文明,gu'xi'la'wen'ming
古意大利,gu'yi'da'li
瓜分波兰,gua'fen'bo'lan
寡头政治,gua'tou'zheng'zhi
关白,guan'bai
关东军,guan'dong'jun
关之原会战,guan'zhi'yuan'hui'zhan
光复领土,guang'fu'ling'tu
光荣革命,guang'rong'ge'ming
广田弘毅,guang'tian'hong'yi
广田三原则,guang'tian'san'yuan'ze
光绪朝东华录,guang'xu'chao'dong'hua'lu
桂离宫,gui'li'gong
贵霜帝国,gui'shuang'di'guo
国大党,guo'da'dang
过渡政府,guo'du'zheng'fu
国会纵火案,guo'hui'zong'huo'an
国际裁军会议,guo'ji'cai'jun'hui'yi
国际反法西斯同盟,guo'ji'fan'fa'xi'si'tong'meng
国际歌,guo'ji'ge
国际合作,guo'ji'he'zuo
国际联盟,guo'ji'lian'meng
国际新秩序,guo'ji'xin'zhi'xu
国际纵队,guo'ji'zong'dui
国家考古公园,guo'jia'kao'gu'gong'yuan
国家名称,guo'jia'ming'cheng
国家主权宣言,guo'jia'zhu'quan'xuan'yan
国教,guo'jiao
国民经济,guo'min'jing'ji
国民生产总值,guo'min'sheng'chan'zong'zhi
国民运动,guo'min'yun'dong
国王任命,guo'wang'ren'ming
哈德良长城,ha'de'liang'chang'cheng
哈得逊河,ha'de'xun'he
哈拉巴文化,ha'la'ba'wen'hua
哈拉帕文化,ha'la'pa'wen'hua
哈里发,ha'li'fa
哈里斯河,ha'li'si'he
海盗帝国,hai'dao'di'guo
海地革命,hai'di'ge'ming
海护王,hai'hu'wang
海兰泡,hai'lan'pao
海兰泡惨案,hai'lan'pao'can'an
海上霸权,hai'shang'ba'quan
海上贸易,hai'shang'mao'yi
海上强国,hai'shang'qiang'guo
海兽葡萄镜,hai'shou'pu'tao'jing
海湾战争,hai'wan'zhan'zheng
海湾战争爆发,hai'wan'zhan'zheng'bao'fa
汉堡工人起义,han'bao'gong'ren'qi'yi
汉帝国,han'di'guo
汉穆拉比,han'mu'la'bi
汉穆拉比法典,han'mu'la'bi'fa'dian
好人政府,hao'ren'zheng'fu
好望角,hao'wang'jiao
和北非,he'bei'fei
赫尔岑,he'er'cen
荷兰的,he'lan'de
荷兰东印度公司,he'lan'dong'yin'du'gong'si
荷兰联合东印度公司,he'lan'lian'he'dong'yin'du'gong'si
荷兰联省共和国,he'lan'lian'sheng'gong'he'guo
荷兰人,he'lan'ren
荷兰人的,he'lan'ren'de
荷兰三色旗,he'lan'san'se'qi
荷兰士兵,he'lan'shi'bing
荷兰使团,he'lan'shi'tuan
荷马时代,he'ma'shi'dai
荷马时代末期,he'ma'shi'dai'mo'qi
荷马史诗,he'ma'shi'shi
和平条约,he'ping'tiao'yue
和平友好条约,he'ping'you'hao'tiao'yue
赫梯,he'ti
赫梯国家,he'ti'guo'jia
赫梯人,he'ti'ren
赫梯王国,he'ti'wang'guo
赫梯语,he'ti'yu
赫梯族,he'ti'zu
和同开弥,he'tong'kai'mi
和雅典,he'ya'dian
黑暗时代,hei'an'shi'dai
黑格尔,hei'ge'er
洪堡,hong'bao
洪门,hong'men
红衫军,hong'shan'jun
胡安,hu'an
胡佛,hu'fo
胡格诺战争,hu'ge'nuo'zhan'zheng
呼罗珊地区,hu'luo'shan'di'qu
胡尼,hu'ni
胡司战争,hu'si'zhan'zheng
胡志明,hu'zhi'ming
互助论,hu'zhu'lun
华俄道胜银行,hua'e'dao'sheng'yin'hang
华夫脱,hua'fu'tuo
华夫脱党,hua'fu'tuo'dang
华沙条约组织,hua'sha'tiao'yue'zu'zhi
华盛顿,hua'sheng'dun
华盛顿会议,hua'sheng'dun'hui'yi
华氏城,hua'shi'cheng
滑铁卢,hua'tie'lu
滑铁卢战役,hua'tie'lu'zhan'yi
淮军,huai'jun
黄肠题凑,huang'chang'ti'cou
黄帝内经,huang'di'nei'jing
皇家炮兵少尉,huang'jia'pao'bing'shao'wei
黄金时期,huang'jin'shi'qi
黄金诏书,huang'jin'zhao'shu
皇太子,huang'tai'zi
恢复君主制,hui'fu'jun'zhu'zhi
辉格党,hui'ge'dang
毁灭了,hui'mie'le
货币供应量,huo'bi'gong'ying'liang
获得通过,huo'de'tong'guo
霍梅尼,huo'mei'ni
霍特普司克摩伊,huo'te'pu'si'ke'mo'yi
击败西班牙,ji'bai'xi'ban'ya
笈多王朝,ji'duo'wang'chao
基辅国,ji'fu'guo
积极参与,ji'ji'can'yu
积极态度,ji'ji'tai'du
姬路城,ji'lu'cheng
吉伦特派,ji'lun'te'pai
基洛夫,ji'luo'fu
基马尔革命,ji'ma'er'ge'ming
季米特洛夫,ji'mi'te'luo'fu
季诺维也夫,ji'nuo'wei'ye'fu
基齐尔,ji'qi'er
吉塞,ji'sai
吉斯林,ji'si'lin
基佐,ji'zuo
加尔文教,jia'er'wen'jiao
加尔文教派,jia'er'wen'jiao'pai
加富尔,jia'fu'er
加里波第,jia'li'bo'di
伽里略,jia'li'lue
加洛林王朝,jia'luo'lin'wang'chao
加玛,jia'ma
加茂川,jia'mao'chuan
加盟共和国,jia'meng'gong'he'guo
加米涅夫,jia'mi'nie'fu
迦腻色迦,jia'ni'se'jia
加入欧盟,jia'ru'ou'meng
加入欧元,jia'ru'ou'yuan
加入协约国,jia'ru'xie'yue'guo
迦尸,jia'shi
迦太基,jia'tai'ji
迦太基人,jia'tai'ji'ren
迦太基遗址,jia'tai'ji'yi'zhi
迦太基战争,jia'tai'ji'zhan'zheng
健驮罗,jian'tuo'luo
建州女真,jian'zhou'nv'zhen
江北大营,jiang'bei'da'ying
将领结盟,jiang'ling'jie'meng
江南大营,jiang'nan'da'ying
教阶制,jiao'jie'zhi
焦瑟,jiao'se
焦土抗战,jiao'tu'kang'zhan
解放黑奴宣言,jie'fang'hei'nu'xuan'yan
解放黑人奴隶的宣言,jie'fang'hei'ren'nu'li'de'xuan'yan
杰斐逊,jie'fei'xun
解负令,jie'fu'ling
结束时间,jie'shu'shi'jian
阶梯金字塔建筑群,jie'ti'jin'zi'ta'jian'zhu'qun
金奔巴,jin'ben'ba
近代,jin'dai
近东文明,jin'dong'wen'ming
金阁寺,jin'ge'si
进攻性行动,jin'gong'xing'xing'dong
觐见皇帝,jin'jian'huang'di
金属冶炼,jin'shu'ye'lian
今天的,jin'tian'de
今土耳其,jin'tu'er'qi
今突尼斯,jin'tu'ni'si
近卫文麿,jin'wei'wen'mi
晋作爰田,jin'zuo'yuan'tian
京都偶人,jing'du'ou'ren
京都御所,jing'du'yu'suo
经济派,jing'ji'pai
经济实力,jing'ji'shi'li
经济特科,jing'ji'te'ke
经济中,jing'ji'zhong
经济组织,jing'ji'zu'zhi
净瑠璃,jing'liu'li
京师大学堂,jing'shi'da'xue'tang
经义,jing'yi
经院哲学,jing'yuan'zhe'xue
九国公约,jiu'guo'gong'yue
旧金山体制,jiu'jin'shan'ti'zhi
九章算术,jiu'zhang'suan'shu
局部战争,ju'bu'zhan'zheng
聚乐第,ju'le'di
居里夫妇,ju'li'fu'fu
俱卢,ju'lu
居鲁士,ju'lu'shi
举行了,ju'xing'le
居延汉简,ju'yan'han'jian
