阿崩买火石过先知,a'beng'mai'huo'shi'guo'xian'zhi
驳脚,bo'jiao
跛脚鹩哥自有飞来蜢,bo'jiao'liao'ge'zi'you'fei'lai'meng
剥迳,bo'jing
钵酒,bo'jiu
博拉,bo'la
薄笠,bo'li
波楼,bo'lou
博乱,bo'luan
菠萝弹,bo'luo'dan
波罗盖,bo'luo'gai
博懵,bo'meng
薄面,bo'mian
搏命,bo'ming
薄皮,bo'pi
搏棋,bo'qi
薄切切,bo'qie'qie
博傻,bo'sha
搏晒老命距,bo'shai'lao'ming'ju
薄身,bo'shen
驳水喉,bo'shui'hou
膊头,bo'tou
钵头,bo'tou
波拖,bo'tuo
波箱,bo'xiang
波裇,bo'xu
薄削,bo'xue
伯爷公,bo'ye'gong
伯爷婆,bo'ye'po
擘一字,bo'yi'zi
砵仔糍,bo'zai'ci
钵仔糕,bo'zai'gao
波珠,bo'zhu
玻珠,bo'zhu
波子,bo'zi
驳嘴,bo'zui
卜卜脆,bu'bu'cui
卜卜斋,bu'bu'zhai
步操,bu'cao
不单止,bu'dan'zhi
布甸,bu'dian
步级,bu'ji
布冧,bu'lin
不溜,bu'liu
补那,bu'na
不时,bu'shi
布碎,bu'sui
埗头,bu'tou
布头布尾,bu'tou'bu'wei
簿仔,bu'zai
布障,bu'zhang
擦鞋,ca'xie
猜呈寻,cai'cheng'xun
菜胆,cai'dan
菜干,cai'gan
啋过你,cai'guo'ni
菜脚,cai'jiao
踩紧你条尾,cai'jin'ni'tiao'wei
菜栏,cai'lan
猜枚,cai'mei
菜牌,cai'pai
菜脯,cai'pu
踩亲条尾距,cai'qin'tiao'wei'ju
睬佢都傻,cai'qu'dou'sha
财神咭,cai'shen'ji
彩数,cai'shu
踩水影,cai'shui'ying
踩台,cai'tai
菜薳,cai'wei
菜心,cai'xin
踩雪屐,cai'xue'ji
蚕虫,can'chong
惨过南海潮,can'guo'nan'hai'chao
餐卡,can'ka
惨情,can'qing
伧鸡,cang'ji
伧鸡婆,cang'ji'po
曹白,cao'bai
槽肥,cao'fei
草龟,cao'gui
草花头,cao'hua'tou
嘈交,cao'jiao
草龙,cao'long
草苺,cao'mei
草蜢,cao'meng
草皮,cao'pi
嘈暄巴闭,cao'xuan'ba'bi
草纸,cao'zhi
扠吖我答案,cha'a'wo'da'an
茶包,cha'bao
茶杯碟,cha'bei'die
镲督铮,cha'du'zheng
差馆,cha'guan
茶果,cha'guo
茶居,cha'ju
茶寮,cha'liao
茶楼,cha'lou
茶色,cha'se
叉烧,cha'shao
叉烧包,cha'shao'bao
查实,cha'shi
插苏,cha'su
差唔多,cha'wu'duo
搽药,cha'yao
茶仔,cha'zai
搽脂荡粉,cha'zhi'dang'fen
拆窦,chai'dou
拆家,chai'jia
柴台,chai'tai
柴哇哇,chai'wa'wa
柴鱼,chai'yu
潺菜,chan'cai
铲地皮,chan'di'pi
搀眼,chan'yan
唱大戏,chang'da'xi
唱碟,chang'die
肠粉,chang'fen
长脚蜢,chang'jiao'meng
长赖赖,chang'lai'lai
长毛贼,chang'mao'zei
长命债长命还,chang'ming'zhai'chang'ming'hai
长气,chang'qi
畅散纸,chang'san'zhi
长生板,chang'sheng'ban
常时,chang'shi
长鱼,chang'yu
长圆形,chang'yuan'xing
焯菜心,chao'cai'xin
炒更,chao'geng
炒股票,chao'gu'piao
炒老细鱿鱼,chao'lao'xi'you'yu
潮流兴,chao'liu'xing
炒埋一碟,chao'mai'yi'die
炒米饼,chao'mi'bing
巢咪巢掹,chao'mi'chao'meng
炒面,chao'mian
巢摸巢酸,chao'mo'chao'suan
巢皮,chao'pi
朝行晩拆,chao'xing'wan'chai
炒友,chao'you
炒鱿鱼,chao'you'yu
车车溺,che'che'ni
扯大缆,che'da'lan
车古,che'gu
车轨,che'gui
扯哈,che'ha
扯哈晓晓声,che'ha'xiao'xiao'sheng
彻叻,che'le
车厘子,che'li'zi
车路,che'lu
车牌,che'pai
扯头缆,che'tou'lan
扯线,che'xian
扯线公仔,che'xian'gong'zai
揊牙膏,che'ya'gao
车叶,che'ye
彻夜不眠,che'ye'bu'mian
车转,che'zhuan
车转面,che'zhuan'mian
捵床捵席,chen'chuang'chen'xi
捵地,chen'di
陈皮,chen'pi
趁圩,chen'xu
晨早,chen'zao
埕埕合合,cheng'cheng'he'he
埕埕塔塔,cheng'cheng'ta'ta
承惠,cheng'hui
承你贵言,cheng'ni'gui'yan
成日,cheng'ri
成日唔出窟,cheng'ri'wu'chu'ku
撑艇仔,cheng'ting'zai
承闻,cheng'wen
呈寻切,cheng'xun'qie
成只雀距,cheng'zhi'que'ju
吃吖啦,chi'a'la
粚餐,chi'can
粚车距转,chi'che'ju'zhuan
粚粚,chi'chi
粚窦,chi'dou
粚对联,chi'dui'lian
匙羹,chi'geng
匙羹白,chi'geng'bai
尺公,chi'gong
吃火锅,chi'huo'guo
吃锦米烧荷柴,chi'jin'mi'shao'he'chai
吃距餐讲距餐,chi'ju'can'jiang'ju'can
粚脷根,chi'li'gen
迟嚟先上岸,chi'li'xian'shang'an
粚孖筋,chi'ma'jin
粚埋吖,chi'mai'a
迟迈迟嘞,chi'mai'chi'le
吃姩,chi'nian
尺婆,chi'po
吃清光,chi'qing'guang
褫甩,chi'shuai
粚头婆,chi'tou'po
粚网,chi'wang
粚线,chi'xian
粚牙,chi'ya
豉油,chi'you
池鱼,chi'yu
豉汁,chi'zhi
粚总掣,chi'zong'che
冲菜,chong'cai
冲茶,chong'cha
虫虫蚁蚁,chong'chong'yi'yi
充大头鬼,chong'da'tou'gui
冲滚水,chong'gun'shui
冲凉,chong'liang
舂落潭,chong'luo'tan
舂下舂下,chong'xia'chong'xia
臭吖臭,chou'a'chou
臭粑粑,chou'ba'ba
臭崩崩,chou'beng'beng
臭草,chou'cao
臭臭胺胺,chou'chou'an'an
丑丑丑割个耳仔冇血流,chou'chou'chou'ge'ge'er'zai'mao'xue'liu
丑丑丑扭个头浸酒,chou'chou'chou'niu'ge'tou'jin'jiu
丑到冇人有距丑,chou'dao'mao'ren'you'ju'chou
丑怪,chou'guai
丑鬼,chou'gui
臭亨亨,chou'heng'heng
臭狐,chou'hu
臭花,chou'hua
抽筋菜,chou'jin'cai
丑颈,chou'jing
丑命人信石妈,chou'ming'ren'xin'shi'ma
臭青,chou'qing
臭屎丸,chou'shi'wan
丑死怪,chou'si'guai
丑死鬼,chou'si'gui
臭丸,chou'wan
丑心,chou'xin
臭腥,chou'xing
抽油,chou'you
除吖,chu'a
除吖笨仲有精,chu'a'ben'zhong'you'jing
初不初,chu'bu'chu
储藏室,chu'cang'shi
初初,chu'chu
除大赤脚,chu'da'chi'jiao
除大赤肋,chu'da'chi'lei
锄大地,chu'da'di
出痘,chu'dou
出骨,chu'gu
除脚,chu'jiao
出界,chu'jie
出街,chu'jie
出嚟,chu'li
初嚟甫到,chu'li'fu'dao
出粮,chu'liang
出鹩哥,chu'liao'ge
出猫仔,chu'mao'zai
出门,chu'men
出面,chu'mian
出年,chu'nian
出年时,chu'nian'shi
出奇,chu'qi
储钱,chu'qian
出山,chu'shan
除衫,chu'shan
出声,chu'sheng
出生证明,chu'sheng'zheng'ming
出世,chu'shi
初时,chu'shi
出术,chu'shu
出双入对,chu'shuang'ru'dui
出水,chu'shui
出水纸,chu'shui'zhi
穿煲,chuan'bao
穿窿,chuan'long
串女,chuan'nv
串仔,chuan'zai
船仔旁,chuan'zai'pang
窗钩,chuang'gou
窗花,chuang'hua
床荐,chuang'jian
床脚尾烧炮仗,chuang'jiao'wei'shao'pao'zhang
窗门,chuang'men
床铺被席,chuang'pu'bei'xi
床下底破柴撞板,chuang'xia'di'po'chai'zhuang'ban
窗枝,chuang'zhi
吹爆,chui'bao
吹水,chui'shui
吹须睩眼,chui'xu'lu'yan
吹胀,chui'zhang
春袋,chun'dai
蠢到冇人有距蠢,chun'dao'mao'ren'you'ju'chun
蠢钝,chun'dun
春牯,chun'gu
淳品,chun'pin
淳善,chun'shan
啜汽水,chuo'qi'shui
慈姑椗,ci'gu'ding
茨菇丁,ci'gu'ding
茨菇椗,ci'gu'ding
次货,ci'huo
糍盘,ci'pan
刺身,ci'shen
祠堂,ci'tang
瓷罂,ci'ying
糍仔,ci'zai
葱度,cong'du
凑埋,cou'mai
凑仔,cou'zai
凑仔婆,cou'zai'po
捽玻璃,cu'bo'li
粗胆,cu'dan
粗口,cu'kou
粗食粗大,cu'shi'cu'da
粗嚡,cu'xie
捽眼,cu'yan
灒刀,cuan'dao
灒酒,cuan'jiu
啐笃口水讲过,cui'du'kou'shui'jiang'guo
啐笃痰,cui'du'tan
催衡晒,cui'heng'shai
催命,cui'ming
脆皮鸡,cui'pi'ji
错有错着,cuo'you'cuo'zhao
大安指拟,da'an'zhi'ni
打靶,da'ba
打靶鬼,da'ba'gui
大白菜,da'bai'cai
打白鸽转,da'bai'ge'zhuan
耷保,da'bao
打包踭,da'bao'zheng
大被冚过头,da'bei'kan'guo'tou
大髀,da'bi
大鼻,da'bi
打鼻鼾,da'bi'han
打边炉,da'bian'lu
褡膊,da'bo
大脖子,da'bo'zi
打玻子,da'bo'zi
打卜成,da'bu'cheng
大菜,da'cai
大菜糕,da'cai'gao
大床,da'chuang
搭错线,da'cuo'xian
打大赤脚,da'da'chi'jiao
打大赤肋,da'da'chi'lei
打大翻,da'da'fan
打大交,da'da'jiao
搭艔,da'dao
打倒褪,da'dao'tui
大到无了赖距大,da'dao'wu'le'lai'ju'da
打底,da'di
打地铺,da'di'pu
打地气,da'di'qi
耷低头,da'di'tou
大地鱼,da'di'yu
大癫大废,da'dian'da'fei
大碟,da'die
打定输数,da'ding'shu'shu
大豆芽菜,da'dou'ya'cai
大肚,da'du
大肚腩,da'du'nan
大肚婆,da'du'po
大番薯,da'fan'shu
大份,da'fen
打斧头,da'fu'tou
大哥大,da'ge'da
打功夫,da'gong'fu
鎉钩,da'gou
大估,da'gu
大姑,da'gu
打估,da'gu
打关斗,da'guan'dou
打关煎斗,da'guan'jian'dou
大柜,da'gui
大鬼,da'gui
打国技,da'guo'ji
大汗,da'han
打喊露,da'han'lu
打横,da'heng
打横嚟,da'heng'li
大揈,da'hong
大喉榄,da'hou'lan
大后日,da'hou'ri
大后日晚,da'hou'ri'wan
大话,da'hua
大话糍,da'hua'ci
大花大朵,da'hua'da'duo
大镬,da'huo
打火咸霉,da'huo'xian'mei
大偈,da'ji
大吉利事,da'ji'li'shi
大吉利是,da'ji'li'shi
大蕉,da'jiao
打交,da'jiao
大觉昏,da'jiao'hun
大芥菜,da'jie'cai
打紧,da'jin
大襟衫,da'jin'shan
大金鱼缸,da'jin'yu'gang
大旧,da'jiu
打救,da'jiu
大旧衰,da'jiu'shuai
大口包包,da'kou'bao'bao
大快活,da'kuai'huo
大款,da'kuan
大懒使二懒,da'lan'shi'er'lan
大佬,da'lao
大老倌,da'lao'guan
大粒,da'li
打理,da'li
大粒癦,da'li'me
大粒水,da'li'shui
大粒野,da'li'ye
大辘,da'lu
搭路,da'lu
大辘木,da'lu'mu
大辘竹,da'lu'zhu
打锣距揾,da'luo'ju'wen
大褛,da'lv
打孖,da'ma
大孖疮,da'ma'chuang
打麻雀,da'ma'que
大马站,da'ma'zhan
大卖,da'mai
大懵,da'meng
大命,da'ming
大排檔,da'pai'dang
大炮,da'pao
大泡禾,da'pao'he
搭棚,da'peng
大肶,da'pi
打皮,da'pi
打起,da'qi
打棋子,da'qi'zi
打芡,da'qian
大前日,da'qian'ri
大前晚,da'qian'wan
大日子,da'ri'zi
大肉,da'rou
大嘥,da'sai
打櫼,da'shan
打赏,da'shang
搭上搭,da'shang'da
打蛇随棍上,da'she'sui'gun'shang
大声,da'sheng
大声公,da'sheng'gong
笪生鱼,da'sheng'yu
大使,da'shi
大食,da'shi
搭食,da'shi
耷湿,da'shi
大食懒,da'shi'lan
大石矺死蟹,da'shi'zhe'si'xie
搭手,da'shou
打手板,da'shou'ban
大树菠萝,da'shu'bo'luo
大水喉,da'shui'hou
打水片,da'shui'pian
打水撇,da'shui'pie
搭顺风车,da'shun'feng'che
大餸,da'song
嗒糖,da'tang
搭通,da'tong
打同通,da'tong'tong
耷头耷脑,da'tou'da'nao
大头佛,da'tou'fo
大头狗,da'tou'gou
大头轰,da'tou'hong
耷头佬,da'tou'lao
大头六火,da'tou'liu'huo
打头锣,da'tou'luo
大头虾,da'tou'xia
大头鱼,da'tou'yu
打突兀,da'tu'wu
大团结,da'tuan'jie
大王眼,da'wang'yan
耷尾,da'wei
打雾水,da'wu'shui
大唔透,da'wu'tou
大戏,da'xi
大笑姑婆,da'xiao'gu'po
打醒精神,da'xing'jing'shen
打醒十二分精神,da'xing'shi'er'fen'jing'shen
大牙,da'ya
打牙骹,da'ya'qiao
大眼鸡,da'yan'ji
大烟筒,da'yan'tong
大眼贼,da'yan'zei
大野,da'ye
大姨妈纸,da'yi'ma'zhi
大引,da'yin
打游戏机,da'you'xi'ji
大鱼,da'yu
大早,da'zao
大闸蟹,da'zha'xie
打斋,da'zhai
打战引,da'zhan'yin
打仗仔,da'zhang'zai
大阵仗,da'zhen'zhang
打针纸,da'zhen'zhi
大制,da'zhi
大只,da'zhi
打制,da'zhi
大只骡骡,da'zhi'luo'luo
打种,da'zhong
大种鸡,da'zhong'ji
打桩乒乓声,da'zhuang'ping'pang'sheng
大字,da'zi
大资爷,da'zi'ye
待薄,dai'bo
呆呆铎铎,dai'dai'duo'duo
代代平安,dai'dai'ping'an
待慢,dai'man
带挈,dai'qie
带子,dai'zi
弹叉,dan'cha
蛋茶,dan'cha
单车,dan'che
单车泵,dan'che'beng
担戴,dan'dai
担担唔识转膊,dan'dan'wu'shi'zhuan'bo
弹地波,dan'di'bo
单吊西,dan'diao'xi
淡定,dan'ding
担杆,dan'gan
担竿,dan'gan
担纲,dan'gang
眈高个头,dan'gao'ge'tou
担高头,dan'gao'tou
弹弓,dan'gong
疍家,dan'jia
撢裤袋,dan'ku'dai
蛋拍,dan'pai
单人旁,dan'ren'pang
担润,dan'run
蛋馓,dan'san
担沙塞海,dan'sha'sai'hai
胆生毛,dan'sheng'mao
胆生石,dan'sheng'shi
眈天望地,dan'tian'wang'di
担挑,dan'tiao
单位,dan'wei
但系,dan'xi
弹牙,dan'ya
单眼,dan'yan
单眼仔睇老婆一眼睇晒,dan'yan'zai'di'lao'po'yi'yan'di'shai
单牏墙,dan'yu'qiang
当黑,dang'hei
荡街,dang'jie
檔口,dang'kou
当冇嚟,dang'mao'li
荡失,dang'shi
荡失路,dang'shi'lu
当食生菜,dang'shi'sheng'cai
当衰,dang'shuai
档摊,dang'tan
当堂,dang'tang
当灾,dang'zai
稻草,dao'cao
倒刺,dao'ci
倒翻转,dao'fan'zhuan
倒汗水,dao'han'shui
道行,dao'heng
倒米,dao'mi
倒米寿星,dao'mi'shou'xing
倒模,dao'mo
倒瓤,dao'rang
倒屎,dao'shi
倒屎距早,dao'shi'ju'zao
捣石屎,dao'shi'shi
倒竖葱,dao'shu'cong
倒扱,dao'xi
倒泻箩蟹,dao'xie'luo'xie
倒牙,dao'ya
倒灶,dao'zao
倒掟,dao'zheng
倒掟头,dao'zheng'tou
得吖菜冇肉,de'a'cai'mao'rou
的的扎,de'de'zha
的而且确,de'er'qie'que
得个吉,de'ge'ji
得记,de'ji
得米,de'mi
得戚,de'qi
的起心肝,de'qi'xin'gan
得切,de'qie
得人烦,de'ren'fan
得人惊,de'ren'jing
得人怕,de'ren'pa
得人眅,de'ren'pan
得人中意,de'ren'zhong'yi
的色,de'se
得闲,de'xian
得闲嚟坐,de'xian'li'zuo
得意,de'yi
得滞,de'zhi
得罪人多称呼人少,de'zui'ren'duo'cheng'hu'ren'shao
得把口,dei'ba'kou
得把声,dei'ba'sheng
得把牙,dei'ba'ya
扽气,den'qi
扽虾笼,den'xia'long
瞪眉突眼,deng'mei'tu'yan
戥你,deng'ni
灯扑,deng'pu
戥手,deng'shou
灯筒,deng'tong
灯油火烛,deng'you'huo'zhu
凳仔,deng'zai
等阵,deng'zhen
睇白,di'bai
睇病,di'bing
抵打,di'da
啲打佬,di'da'lao
睇大戏,di'da'xi
滴哒钟,di'da'zhong
弟弟,di'di
睇低,di'di
第啲,di'di
啲啲震,di'di'zhen
睇电视,di'dian'shi
啲多,di'duo
第二啲,di'er'di
第二个,di'er'ge
第二日,di'er'ri
睇法,di'fa
地方窄夹,di'fang'zhai'jia
第个,di'ge
睇化,di'hua
啲距大,di'ju'da
地库,di'ku
底裤,di'ku
睇老婆,di'lao'po
哋嘞,di'le
睇嚟凑,di'li'cou
地庐,di'lu
滴露,di'lu
睇脉,di'mai
籴米,di'mi
睇你班扑街还敢不敢,di'ni'ban'pu'jie'hai'gan'bu'gan
睇牛,di'niu
地盘,di'pan
第日,di'ri
底衫,di'shan
抵谂,di'shen
的士,di'shi
第世,di'shi
第时,di'shi
啲屎距多,di'shi'ju'duo
抵手,di'shou
睇数,di'shu
睇衰,di'shuai
睇水,di'shui
啲水啡啡声喷出来,di'shui'fei'fei'sheng'pen'chu'lai
抵死,di'si
睇死,di'si
地塘,di'tang
地拖,di'tuo
睇戏,di'xi
地线,di'xian
睇小,di'xiao
哋醒,di'xing
地藏,di'zang
睇症,di'zheng
嗲嗲渧,dia'dia'ti
嗲口讲话,dia'kou'jiang'hua
电扒,dian'ba
点办,dian'ban
电笔,dian'bi
电表,dian'biao
腍瘪瘪,dian'bie'bie
电船,dian'chuan
电单车,dian'dan'che
电灯胆,dian'deng'dan
电灯杉,dian'deng'shan
癫癫废废,dian'dian'fei'fei
电饭煲,dian'fan'bao
腍佛,dian'fo
垫肩,dian'jian
点解,dian'jie
腍烂,dian'lan
癫佬,dian'lao
点脉,dian'mai
腍啤啤,dian'pi'pi
垫褥,dian'ru
腍善,dian'shan
点算,dian'suan
点算好,dian'suan'hao
腍甜,dian'tian
电筒,dian'tong
玷吓都唔得,dian'xia'dou'wu'de
电芯,dian'xin
点样,dian'yang
电油,dian'you
点指兵兵,dian'zhi'bing'bing
吊吊揈,diao'diao'hong
吊钉,diao'ding
吊脚公,diao'jiao'gong
吊颈,diao'jing
吊腊鸭,diao'la'ya
刁蛮,diao'man
吊命,diao'ming
叼你,diao'ni
吊起嚟卖,diao'qi'li'mai
吊渠,diao'qu
吊砂煲,diao'sha'bao
吊味,diao'wei
吊尾,diao'wei
吊引,diao'yin
吊钟,diao'zhong
掉转头,diao'zhuan'tou
跌吖银包,die'a'yin'bao
跌打佬,die'da'lao
跌低揦翻拃沙,die'di'la'fan'zha'sha
迭埋心水,die'mai'xin'shui
顶包,ding'bao
叮揼一声跌落水,ding'beng'yi'sheng'die'luo'shui
定当,ding'dang
顶档,ding'dang
顶得顺,ding'de'shun
定点,ding'dian
定窦,ding'dou
顶肚饿,ding'du'e
定工,ding'gong
定过抬油,ding'guo'tai'you
顶夹,ding'jia
顶颈,ding'jing
顶冧,ding'lin
顶笼,ding'long
定螺,ding'luo
定晒形,ding'shai'xing
顶头阵,ding'tou'zhen
丁屋,ding'wu
顶唔顺,ding'wu'shun
定系,ding'xi
丁香,ding'xiang
顶心顶肺,ding'xin'ding'fei
定性,ding'xing
顶硬上,ding'ying'shang
丢架,diu'jia
丢那妈,diu'na'ma
丢时,diu'shi
丢疏,diu'shu
丢眼角,diu'yan'jiao
冻冰冰,dong'bing'bing
东东,dong'dong
戙督企,dong'du'qi
东风螺,dong'feng'luo
冬菇,dong'gu
冬瓜豆腐,dong'gua'dou'fu
冬瓜盅,dong'gua'zhong
冬节,dong'jie
冻紧,dong'jin
动静,dong'jing
戙企,dong'qi
戙起床板,dong'qi'chuang'ban
戙企水鱼,dong'qi'shui'yu
斗大,dou'da
兜底将,dou'di'jiang
豆丁,dou'ding
豆腐,dou'fu
豆腐花,dou'fu'hua
斗负气,dou'fu'qi
豆腐膶,dou'fu'run
斗鸡眼,dou'ji'yan
斗家私,dou'jia'si
窦口,dou'kou
逗利是,dou'li'shi
斗埋,dou'mai
兜踎,dou'mou
斗木,dou'mu
豆泥,dou'ni
豆皮,dou'pi
斗棋,dou'qi
斗气,dou'qi
豆沙,dou'sha
都似,dou'si
唞下,dou'xia
斗张凳,dou'zhang'deng
痘纸,dou'zhi
肚煲,du'bao
笃背脊,du'bei'ji
杜虫,du'chong
毒虫,du'chong
厾刺,du'ci
肚耽,du'dan
厾到鸡屎,du'dao'ji'shi
肚腍,du'dian
肚饿,du'e
度好嘞,du'hao'lei
肚饥,du'ji
读口簧,du'kou'huang
度嚟,du'li
肚闷,du'men
肚腩,du'nan
读破字胆,du'po'zi'dan
度气,du'qi
肚脐泵,du'qi'beng
度窍,du'qiao
独食,du'shi
度叔,du'shu
度数,du'shu
度水,du'shui
独睡,du'shui
杜牙虫,du'ya'chong
嘟长嘴,du'zhang'zui
笃卒,du'zu
短笃笃,duan'du'du
断估,duan'gu
短火,duan'huo
短命种,duan'ming'zhong
短切切,duan'qie'qie
短软,duan'ruan
断市,duan'shi
对不起,dui'bu'qi
对鬼,dui'gui
对时水,dui'shi'shui
堆头,dui'tou
对唔住,dui'wu'zhu
对胸衫,dui'xiong'shan
对烟,dui'yan
炖花旗参,dun'hua'qi'shen
炖品,dun'pin
趸体度,dun'ti'du
炖盅,dun'zhong
趸左体度,dun'zuo'ti'du
多宝格,duo'bao'ge
多得,duo'de
多得晒,duo'de'shai
多计,duo'ji
堕角,duo'jiao
多士,duo'shi
