阿贝尔遍历定理,a'bei'er'bian'li'ding'li
不变分布族,bu'bian'fen'bu'zu
不变估计,bu'bian'gu'ji
不变检验,bu'bian'jian'yan
不变决策函数,bu'bian'jue'ce'han'shu
不变量,bu'bian'liang
不变平均,bu'bian'ping'jun
不等方程,bu'deng'fang'cheng
不定积分,bu'ding'ji'fen
布尔方程,bu'er'fang'cheng
布尔方法,bu'er'fang'fa
布尔规划,bu'er'gui'hua
布尔环,bu'er'huan
不放回抽样,bu'fang'hui'chou'yang
部分和,bu'fen'he
补角,bu'jiao
不尽根,bu'jin'gen
不可达基数,bu'ke'da'ji'shu
不可定向流形,bu'ke'ding'xiang'liu'xing
不可分次数,bu'ke'fen'ci'shu
不可分解模,bu'ke'fen'jie'mo
不可分解模表示,bu'ke'fen'jie'mo'biao'shi
不可公度的,bu'ke'gong'du'de
不可观测子空间,bu'ke'guan'ce'zi'kong'jian
不可解性,bu'ke'jie'xing
不可能事件,bu'ke'neng'shi'jian
不可约表示的舒尔指数,bu'ke'yue'biao'shi'de'shu'er'zhi'shu
布吕阿分解,bu'lv'a'fen'jie
补模数,bu'mo'shu
不平衡运输问题,bu'ping'heng'yun'shu'wen'ti
补图,bu'tu
补子模,bu'zi'mo
猜想,cai'xiang
残差平方和,can'cha'ping'fang'he
参数簇,can'shu'cu
测地流,ce'di'liu
测度,ce'du
测度卷积,ce'du'juan'ji
测度论,ce'du'lun
策略改进迭代,ce'lue'gai'jin'die'dai
测试函数,ce'shi'han'shu
层,ceng
差错率,cha'cuo'lv
差代数,cha'dai'shu
差分表,cha'fen'biao
差集,cha'ji
差积,cha'ji
插值逼近,cha'zhi'bi'jin
插值偶,cha'zhi'ou
插值性质,cha'zhi'xing'zhi
常表示,chang'biao'shi
长短辐圆内摆线,chang'duan'fu'yuan'nei'bai'xian
常返状态,chang'fan'zhuang'tai
常数,chang'shu
常数变易法,chang'shu'bian'yi'fa
常数层,chang'shu'ceng
常数函子,chang'shu'han'zi
超几何分布,chao'ji'he'fen'bu
超幂,chao'mi
超穷基数,chao'qiong'ji'shu
超穷序数,chao'qiong'xu'shu
超图,chao'tu
超线性收敛速率,chao'xian'xing'shou'lian'su'lv
超越数,chao'yue'shu
超越亚纯函数,chao'yue'ya'chun'han'shu
乘法,cheng'fa
成批到达,cheng'pi'dao'da
乘数词头,cheng'shu'ci'tou
乘同余方法,cheng'tong'yu'fang'fa
乘性二次型,cheng'xing'er'ci'xing
乘性同余,cheng'xing'tong'yu
乘性约化,cheng'xing'yue'hua
尺规作图法,chi'gui'zuo'tu'fa
冲激函数,chong'ji'han'shu
重言式,chong'yan'shi
充要条件,chong'yao'tiao'jian
抽象根系,chou'xiang'gen'xi
抽象化,chou'xiang'hua
抽象维纳空间,chou'xiang'wei'na'kong'jian
除,chu
出次数,chu'ci'shu
初等变换,chu'deng'bian'huan
初等等价的,chu'deng'deng'jia'de
初等交换群,chu'deng'jiao'huan'qun
初等矩阵,chu'deng'ju'zhen
初等子模型,chu'deng'zi'mo'xing
初始段,chu'shi'duan
初始流形,chu'shi'liu'xing
出树,chu'shu
除数函数,chu'shu'han'shu
除数问题,chu'shu'wen'ti
初值问题,chu'zhi'wen'ti
传递函数矩阵,chuan'di'han'shu'ju'zhen
传递集,chuan'di'ji
次递归性,ci'di'gui'xing
次连续性,ci'lian'xu'xing
次连续映射,ci'lian'xu'ying'she
次特征射线,ci'te'zheng'she'xian
次梯度,ci'ti'du
次序公理,ci'xu'gong'li
次优,ci'you
次正规列,ci'zheng'gui'lie
次直积,ci'zhi'ji
簇的函数域,cu'de'han'shu'yu
簇定义域,cu'ding'yi'yu
存储容量,cun'chu'rong'liang
达布问题,da'bu'wen'ti
大偏差,da'pian'cha
大筛法,da'shai'fa
大圆,da'yuan
待定系数法,dai'ding'xi'shu'fa
殆分裂序列,dai'fen'lie'xu'lie
带号测度全变差,dai'hao'ce'du'quan'bian'cha
代换性质,dai'huan'xing'zhi
带积范畴,dai'ji'fan'chou
代码,dai'ma
代入消元法,dai'ru'xiao'yuan'fa
代数,dai'shu
代数闭域,dai'shu'bi'yu
代数的,dai'shu'de
代数的分裂扩张,dai'shu'de'fen'lie'kuo'zhang
代数的分裂域,dai'shu'de'fen'lie'yu
代数的根,dai'shu'de'gen
代数的恒等式,dai'shu'de'heng'deng'shi
代数集,dai'shu'ji
代数群的李代数,dai'shu'qun'de'li'dai'shu
代数群的外尔群,dai'shu'qun'de'wai'er'qun
代数群的有理表示,dai'shu'qun'de'you'li'biao'shi
代数数域,dai'shu'shu'yu
代数无关的,dai'shu'wu'guan'de
代数整数环,dai'shu'zheng'shu'huan
单变量系统,dan'bian'liang'xi'tong
单步法,dan'bu'fa
单纯形法,dan'chun'xing'fa
单代数的判别式,dan'dai'shu'de'pan'bie'shi
单调收敛定理,dan'diao'shou'lian'ding'li
单峰函数,dan'feng'han'shu
单模,dan'mo
单切线,dan'qie'xian
单台服务系统,dan'tai'fu'wu'xi'tong
单位矩阵,dan'wei'ju'zhen
单位理想,dan'wei'li'xiang
单位态射,dan'wei'tai'she
单位向量,dan'wei'xiang'liang
单项样条,dan'xiang'yang'tiao
单形的面,dan'xing'de'mian
单演函数,dan'yan'han'shu
单一生成的,dan'yi'sheng'cheng'de
单元刚度矩阵,dan'yuan'gang'du'ju'zhen
单值分支,dan'zhi'fen'zhi
单值化定理,dan'zhi'hua'ding'li
单周期函数,dan'zhou'qi'han'shu
单字长精度,dan'zi'chang'jing'du
倒易蒙特卡罗方法,dao'yi'meng'te'ka'luo'fang'fa
德摩根代数,de'mo'gen'dai'shu
等比数列,deng'bi'shu'lie
等差数列,deng'cha'shu'lie
等待时间,deng'dai'shi'jian
邓福德积分,deng'fu'de'ji'fen
等距同构,deng'ju'tong'gou
等周问题,deng'zhou'wen'ti
第二可数公理,di'er'ke'shu'gong'li
第二类贝塞尔函数,di'er'lei'bei'sai'er'han'shu
第二类不连续点,di'er'lei'bu'lian'xu'dian
第二类错误,di'er'lei'cuo'wu
第二类汉克尔函数,di'er'lei'han'ke'er'han'shu
第二类勒让德函数,di'er'lei'le'rang'de'han'shu
递归边图,di'gui'bian'tu
递归结构,di'gui'jie'gou
递归性,di'gui'xing
底集,di'ji
狄利克雷特征标,di'li'ke'lei'te'zheng'biao
棣莫弗公式,di'mo'fu'gong'shi
迪尼级数,di'ni'ji'shu
第三类椭圆函数,di'san'lei'tuo'yuan'han'shu
底数,di'shu
第一范畴,di'yi'fan'chou
第一范畴集,di'yi'fan'chou'ji
第一类典范坐标,di'yi'lei'dian'fan'zuo'biao
第一类沃尔泰拉积分方程,di'yi'lei'wo'er'tai'la'ji'fen'fang'cheng
点的拉开,dian'de'la'kai
典范赋值,dian'fan'fu'zhi
典范态射,dian'fan'tai'she
点估计,dian'gu'ji
点函数,dian'han'shu
典型复单李代数,dian'xing'fu'dan'li'dai'shu
典型过程,dian'xing'guo'cheng
典型群,dian'xing'qun
迭代法,die'dai'fa
顶点,ding'dian
顶点传递图,ding'dian'chuan'di'tu
顶点次数,ding'dian'ci'shu
顶点的权,ding'dian'de'quan
顶点子图,ding'dian'zi'tu
定二次型,ding'er'ci'xing
定阔曲线,ding'kuo'qu'xian
定理,ding'li
定向胞腔,ding'xiang'bao'qiang
动力学方程,dong'li'xue'fang'cheng
动态规划算法,dong'tai'gui'hua'suan'fa
独立顶点集,du'li'ding'dian'ji
独立偏度,du'li'pian'du
独立试验,du'li'shi'yan
对策的阶段,dui'ce'de'jie'duan
对策元素,dui'ce'yuan'su
对称抽样方法,dui'chen'chou'yang'fang'fa
对称多项式,dui'chen'duo'xiang'shi
对称格,dui'chen'ge
对称核,dui'chen'he
对称区组设计,dui'chen'qu'zu'she'ji
对称算子,dui'chen'suan'zi
对称性,dui'chen'xing
对称张量,dui'chen'zhang'liang
对顶角,dui'ding'jiao
对角优势,dui'jiao'you'shi
对偶变数方法,dui'ou'bian'shu'fang'fa
对偶表示,dui'ou'biao'shi
对偶地图,dui'ou'di'tu
对偶函子,dui'ou'han'zi
对偶空间,dui'ou'kong'jian
对偶曲线,dui'ou'qu'xian
对偶同构,dui'ou'tong'gou
对偶性,dui'ou'xing
对数,dui'shu
对数积分,dui'shu'ji'fen
对象,dui'xiang
对象的余积,dui'xiang'de'yu'ji
钝角三角形,dun'jiao'san'jiao'xing
多参数过程,duo'can'shu'guo'cheng
多重打靶法,duo'chong'da'ba'fa
多重共线性,duo'chong'gong'xian'xing
多重幂级数,duo'chong'mi'ji'shu
多重线性代数,duo'chong'xian'xing'dai'shu
多峰分布,duo'feng'fen'bu
多连通区域,duo'lian'tong'qu'yu
多目标决策,duo'mu'biao'jue'ce
多目标凸规划,duo'mu'biao'tu'gui'hua
多体问题,duo'ti'wen'ti
多维系统,duo'wei'xi'tong
多项式,duo'xiang'shi
多项式的容度,duo'xiang'shi'de'rong'du
多伊林正规形,duo'yi'lin'zheng'gui'xing
多元时间序列,duo'yuan'shi'jian'xu'lie
多元总体,duo'yuan'zong'ti
二重点,er'chong'dian
二重根,er'chong'gen
二重积分,er'chong'ji'fen
二重级数,er'chong'ji'shu
二次超曲面,er'ci'chao'qu'mian
二次互反律,er'ci'hu'fan'lv
二次空间的格,er'ci'kong'jian'de'ge
二次曲线,er'ci'qu'xian
二次型的秩,er'ci'xing'de'zhi
二次域,er'ci'yu
二次元,er'ci'yuan
二阶充分条件,er'jie'chong'fen'tiao'jian
二阶加托微分,er'jie'jia'tuo'wei'fen
二进删除信道,er'jin'shan'chu'xin'dao
二进数群,er'jin'shu'qun
二项式,er'xiang'shi
二值时间序列,er'zhi'shi'jian'xu'lie
罚函数法,fa'han'shu'fa
法平面,fa'ping'mian
反常对策,fan'chang'dui'ce
反称双线性型,fan'chen'shuang'xian'xing'xing
范畴逻辑,fan'chou'luo'ji
范德蒙德行列式,fan'de'meng'de'hang'lie'shi
泛覆叠群,fan'fu'die'qun
反函数,fan'han'shu
反交换,fan'jiao'huan
泛矩阵代数,fan'ju'zhen'dai'shu
反射壁,fan'she'bi
范数,fan'shu
泛同态,fan'tong'tai
泛性质,fan'xing'zhi
反演中心,fan'yan'zhong'xin
反自同构,fan'zi'tong'gou
仿射超平面,fang'she'chao'ping'mian
仿射概形,fang'she'gai'xing
仿射群,fang'she'qun
仿射坐标,fang'she'zuo'biao
仿射坐标环,fang'she'zuo'biao'huan
方向比,fang'xiang'bi
非本原群,fei'ben'yuan'qun
非标准分析,fei'biao'zhun'fen'xi
非标准量词,fei'biao'zhun'liang'ci
非负凸函数的极函,fei'fu'tu'han'shu'de'ji'han
非混合理想,fei'hun'he'li'xiang
非减,fei'jian
非交换环,fei'jiao'huan'huan
非交换群,fei'jiao'huan'qun
非交换整环,fei'jiao'huan'zheng'huan
非齐次的横分解,fei'qi'ci'de'heng'fen'jie
非齐性总体,fei'qi'xing'zong'ti
非奇异双线性型,fei'qi'yi'shuang'xian'xing'xing
非强占型优先权,fei'qiang'zhan'xing'you'xian'quan
菲廷分解,fei'ting'fen'jie
非同余,fei'tong'yu
非凸二次规划,fei'tu'er'ci'gui'hua
非线性薛定谔方程,fei'xian'xing'xue'ding'e'fang'cheng
非线性振动,fei'xian'xing'zhen'dong
费用函数,fei'yong'han'shu
非正则网格,fei'zheng'ze'wang'ge
分步法,fen'bu'fa
分拆函数,fen'chai'han'shu
分次理想,fen'ci'li'xiang
分划格,fen'hua'ge
分块,fen'kuai
分块对角矩阵,fen'kuai'dui'jiao'ju'zhen
分类空间,fen'lei'kong'jian
分离点,fen'li'dian
分离态射,fen'li'tai'she
分离性公理,fen'li'xing'gong'li
分裂李代数,fen'lie'li'dai'shu
分裂因子组,fen'lie'yin'zi'zu
分母,fen'mu
分配格,fen'pei'ge
分批试验法,fen'pi'shi'yan'fa
分式域,fen'shi'yu
分数次导数,fen'shu'ci'dao'shu
分数指数,fen'shu'zhi'shu
分圆单位,fen'yuan'dan'wei
分圆多项式,fen'yuan'duo'xiang'shi
分组码,fen'zu'ma
峰度,feng'du
丰富除子,feng'fu'chu'zi
丰富可逆层,feng'fu'ke'ni'ceng
否定词,fou'ding'ci
负变差,fu'bian'cha
复单连通解析李群,fu'dan'lian'tong'jie'xi'li'qun
覆叠空间,fu'die'kong'jian
负多项分布,fu'duo'xiang'fen'bu
赋范环元的谱,fu'fan'huan'yuan'de'pu
复分析,fu'fen'xi
覆盖的阶,fu'gai'de'jie
负号,fu'hao
符号差,fu'hao'cha
符号计算,fu'hao'ji'suan
复合,fu'he
复合矩阵,fu'he'ju'zhen
复合辛普森公式,fu'he'xin'pu'sen'gong'shi
弗拉蒂尼子群,fu'la'di'ni'zi'qun
弗雷德霍姆择一定理,fu'lei'de'huo'mu'ze'yi'ding'li
傅里叶系数,fu'li'ye'xi'shu
复流形,fu'liu'xing
弗罗贝尼乌斯互反公式,fu'luo'bei'ni'wu'si'hu'fan'gong'shi
弗罗贝尼乌斯态射,fu'luo'bei'ni'wu'si'tai'she
弗罗贝尼乌斯自同构,fu'luo'bei'ni'wu'si'zi'tong'gou
赋值,fu'zhi
赋值等价,fu'zhi'deng'jia
伽罗瓦对应,ga'luo'wa'dui'ying
伽罗瓦论,ga'luo'wa'lun
概率单位模型,gai'lv'dan'wei'mo'xing
概率函数,gai'lv'han'shu
概率距离,gai'lv'ju'li
概率译码,gai'lv'yi'ma
概率坐标纸,gai'lv'zuo'biao'zhi
概形的粘合,gai'xing'de'zhan'he
概形上的射影空间,gai'xing'shang'de'she'ying'kong'jian
概形同构,gai'xing'tong'gou
高阶差分,gao'jie'cha'fen
高阶等差数列,gao'jie'deng'cha'shu'lie
高阶偏导数,gao'jie'pian'dao'shu
高阶微分,gao'jie'wei'fen
高阶线性椭圆型方程,gao'jie'xian'xing'tuo'yuan'xing'fang'cheng
高斯测度,gao'si'ce'du
高斯曲率,gao'si'qu'lv
格,ge
割补阻碍,ge'bu'zu'ai
哥德尔配数法,ge'de'er'pei'shu'fa
格拉斯曼簇,ge'la'si'man'cu
格罗滕迪克群,ge'luo'teng'di'ke'qun
个体变元,ge'ti'bian'yuan
格序线性空间,ge'xu'xian'xing'kong'jian
根环,gen'huan
根基,gen'ji
根式,gen'shi
更比,geng'bi
更换理论,geng'huan'li'lun
更新过程,geng'xin'guo'cheng
共变微分,gong'bian'wei'fen
共变指标,gong'bian'zhi'biao
共轭轴,gong'e'zhou
公分母,gong'fen'mu
公共信道,gong'gong'xin'dao
公开密钥,gong'kai'mi'yao
公理化理论,gong'li'hua'li'lun
公理学,gong'li'xue
公式,gong'shi
共尾性,gong'wei'xing
公因数,gong'yin'shu
构形,gou'xing
骨架,gu'jia
怪球面,guai'qiu'mian
关联系统,guan'lian'xi'tong
惯性群,guan'xing'qun
光滑簇,guang'hua'cu
广群,guang'qun
广义本征值,guang'yi'ben'zheng'zhi
广义多胞体,guang'yi'duo'bao'ti
广义傅里叶积分,guang'yi'fu'li'ye'ji'fen
广义函数卷积,guang'yi'han'shu'juan'ji
广义连续统假设,guang'yi'lian'xu'tong'jia'she
广义三角多项式,guang'yi'san'jiao'duo'xiang'shi
广义四元数群,guang'yi'si'yuan'shu'qun
广义线性模型,guang'yi'xian'xing'mo'xing
轨道,gui'dao
轨道稳定性,gui'dao'wen'ding'xing
规范群,gui'fan'qun
归纳定义,gui'na'ding'yi
轨形,gui'xing
归约,gui'yue
哈密顿圈,ha'mi'dun'quan
行列式展开式,hang'lie'shi'zhan'kai'shi
豪斯多夫维数,hao'si'duo'fu'wei'shu
合成列,he'cheng'lie
合冲,he'chong
赫尔德求和法,he'er'de'qiu'he'fa
赫尔维茨公式,he'er'wei'ci'gong'shi
和校验,he'jiao'yan
赫克算子,he'ke'suan'zi
合式的,he'shi'de
合数,he'shu
恒等式,heng'deng'shi
恒同映射,heng'tong'ying'she
互补几何规划,hu'bu'ji'he'gui'hua
互激点过程,hu'ji'dian'guo'cheng
互信息,hu'xin'xi
环的极大谱,huan'de'ji'da'pu
环的施坦贝格群,huan'de'shi'tan'bei'ge'qun
环的诣零根,huan'de'yi'ling'gen
环籍模的扩张,huan'ji'mo'de'kuo'zhang
环流量,huan'liu'liang
环面,huan'mian
换元积分法,huan'yuan'ji'fen'fa
回归估计,hui'gui'gu'ji
回归系数,hui'gui'xi'shu
汇合型超几何函数,hui'he'xing'chao'ji'he'han'shu
回路,hui'lu
混合边界问题,hun'he'bian'jie'wen'ti
混合策略,hun'he'ce'lue
混合条件,hun'he'tiao'jian
混合外代数,hun'he'wai'dai'shu
混合型边界条件,hun'he'xing'bian'jie'tiao'jian
混合张量代数,hun'he'zhang'liang'dai'shu
混循环小数,hun'xun'huan'xiao'shu
霍尔子群,huo'er'zi'qun
霍姆格伦唯一性定理,huo'mu'ge'lun'wei'yi'xing'ding'li
霍普夫不变量,huo'pu'fu'bu'bian'liang
基本不变式,ji'ben'bu'bian'shi
基本空间,ji'ben'kong'jian
基本区域,ji'ben'qu'yu
积测度空间,ji'ce'du'kong'jian
极大元,ji'da'yuan
极大左理想,ji'da'zuo'li'xiang
积分控制,ji'fen'kong'zhi
积分算子,ji'fen'suan'zi
积分下限,ji'fen'xia'xian
奇函数,ji'han'shu
几何单纯复形,ji'he'dan'chun'fu'xing
几何亏格,ji'he'kui'ge
集合论,ji'he'lun
极化的阿贝尔簇,ji'hua'de'a'bei'er'cu
积极约束,ji'ji'yue'shu
机器误差,ji'qi'wu'cha
及时单纯集,ji'shi'dan'chun'ji
极式分解,ji'shi'fen'jie
级数解,ji'shu'jie
计数问题,ji'shu'wen'ti
计算,ji'suan
计算的不稳定性,ji'suan'de'bu'wen'ding'xing
计算复杂性,ji'suan'fu'za'xing
极限点,ji'xian'dian
极限鞅,ji'xian'yang
极小对,ji'xiao'dui
极小多项式,ji'xiao'duo'xiang'shi
极小极大定理,ji'xiao'ji'da'ding'li
极小解,ji'xiao'jie
机械求体积,ji'xie'qiu'ti'ji
极值,ji'zhi
极值场,ji'zhi'chang
集中控制,ji'zhong'kong'zhi
加法结合律,jia'fa'jie'he'lv
加法消去律,jia'fa'xiao'qu'lv
加权不等式,jia'quan'bu'deng'shi
假设,jia'she
加数,jia'shu
减,jian
简单流,jian'dan'liu
尖点,jian'dian
简化迹,jian'hua'ji
渐近曲线,jian'jin'qu'xian
渐近收敛,jian'jin'shou'lian
箭图的表示,jian'tu'de'biao'shi
箭图的二次空间,jian'tu'de'er'ci'kong'jian
检验函数,jian'yan'han'shu
降链条件,jiang'lian'tiao'jian
降维法,jiang'wei'fa
交换代数,jiao'a'dai'shu
交错代数,jiao'cuo'dai'shu
交错化子,jiao'cuo'hua'zi
角的对边,jiao'de'dui'bian
较多序,jiao'duo'xu
交互规划,jiao'hu'gui'hua
交换巴拿赫代数,jiao'huan'ba'na'he'dai'shu
交换代数,jiao'huan'dai'shu
交换李群,jiao'huan'li'qun
交换图表,jiao'huan'tu'biao
交换子,jiao'huan'zi
交替方向隐格式,jiao'ti'fang'xiang'yin'ge'shi
交无穷分配,jiao'wu'qiong'fen'pei
校验位,jiao'yan'wei
接触定理,jie'chu'ding'li
解的积分表示,jie'de'ji'fen'biao'shi
截断误差,jie'duan'wu'cha
结构函数,jie'gou'han'shu
结构摄动法,jie'gou'she'dong'fa
结式,jie'shi
解析函数元素,jie'xi'han'shu'yuan'su
解析群,jie'xi'qun
解析同态,jie'xi'tong'tai
解析映射,jie'xi'ying'she
捷线,jie'xian
阶跃干扰,jie'yue'gan'rao
紧阿贝尔群,jin'a'bei'er'qun
紧黎曼曲面,jin'li'man'qu'mian
紧群的群环,jin'qun'de'qun'huan
进退构造,jin'tui'gou'zao
紧映射,jin'ying'she
紧元,jin'yuan
晶体群,jing'ti'qun
经验贝叶斯方法,jing'yan'bei'ye'si'fang'fa
经验分布函数,jing'yan'fen'bu'han'shu
经验过程,jing'yan'guo'cheng
纠错码,jiu'cuo'ma
局部表现模,ju'bu'biao'xian'mo
局部参数,ju'bu'can'shu
局部代数,ju'bu'dai'shu
局部单连通,ju'bu'dan'lian'tong
局部解析同构,ju'bu'jie'xi'tong'gou
局部紧空间,ju'bu'jin'kong'jian
局部紧群,ju'bu'jin'qun
局部类域论,ju'bu'lei'yu'lun
局部诺特概形,ju'bu'nuo'te'gai'xing
局部时,ju'bu'shi
局部收敛,ju'bu'shou'lian
局部凸,ju'bu'tu
局部鞅,ju'bu'yang
局部有限覆盖,ju'bu'you'xian'fu'gai
局部域,ju'bu'yu
局部最优化,ju'bu'zui'you'hua
聚合,ju'he
拒绝门限,ju'jue'men'xian
矩形网格,ju'xing'wang'ge
矩阵的对角线,ju'zhen'de'dui'jiao'xian
矩阵的迹,ju'zhen'de'ji
矩阵的元,ju'zhen'de'yuan
矩阵的张量积,ju'zhen'de'zhang'liang'ji
矩阵的正规形,ju'zhen'de'zheng'gui'xing
矩阵的秩,ju'zhen'de'zhi
矩阵收缩,ju'zhen'shou'suo
卷积,juan'ji
卷积码,juan'ji'ma
卷积下确界,juan'ji'xia'que'jie
决策表,jue'ce'biao
决策空间,jue'ce'kong'jian
绝对几何,jue'dui'ji'he
绝对秩,jue'dui'zhi
绝对最优解,jue'dui'zui'you'jie
均差,jun'cha
均方连续,jun'fang'lian'xu
均方收敛,jun'fang'shou'lian
均匀设计,jun'yun'she'ji
卡尔松测度,ka'er'song'ce'du
卡吉耶除子,ka'ji'ye'chu'zi
卡拉泰奥多里测度,ka'la'tai'ao'duo'li'ce'du
卡塞尔斯配对,ka'sai'er'si'pei'dui
开方,kai'fang
开关曲面,kai'guan'qu'mian
开浸入,kai'jin'ru
开区间,kai'qu'jian
开西米尔多项式,kai'xi'mi'er'duo'xiang'shi
开映射,kai'ying'she
开映射定理,kai'ying'she'ding'li
康托尔集,kang'tuo'er'ji
可逼近性,ke'bi'jin'xing
可变参数模型,ke'bian'can'shu'mo'xing
可测集值函数,ke'ce'ji'zhi'han'shu
可定义性,ke'ding'yi'xing
可度量化,ke'du'liang'hua
可分元,ke'fen'yuan
可分张量,ke'fen'zhang'liang
可公度子群,ke'gong'du'zi'qun
可构成性,ke'gou'cheng'xing
可积微分方程组,ke'ji'wei'fen'fang'cheng'zu
可控规范形,ke'kong'gui'fan'xing
柯朗数,ke'lang'shu
可裂短正合序列,ke'lie'duan'zheng'he'xu'lie
克卢斯特曼和,ke'lu'si'te'man'he
可判定性,ke'pan'ding'xing
克氏符号,ke'shi'fu'hao
可数无穷的,ke'shu'wu'qiong'de
可行方向,ke'xing'fang'xiang
可选的,ke'xuan'de
可约表示,ke'yue'biao'shi
肯定的,ken'ding'de
空元运算,kong'yuan'yun'suan
控制变量,kong'zhi'bian'liang
控制变数方法,kong'zhi'bian'shu'fang'fa
库存模型,ku'cun'mo'xing
块的亏数群,kuai'de'kui'shu'qun
亏格,kui'ge
亏量,kui'liang
扩张映射,kuo'zhang'ying'she
拉道求积,la'dao'qiu'ji
拉格朗日必要条件,la'ge'lang'ri'bi'yao'tiao'jian
拉格朗日中值定理,la'ge'lang'ri'zhong'zhi'ding'li
拉普拉斯双曲型方程,la'pu'la'si'shuang'qu'xing'fang'cheng
兰彻斯特方程,lan'che'si'te'fang'cheng
朗斯基行列式,lang'si'ji'hang'lie'shi
勒贝格测度,le'bei'ge'ce'du
勒贝格积分,le'bei'ge'ji'fen
累次积分,lei'ci'ji'fen
类算子,lei'suan'zi
里茨方法,li'ci'fang'fa
李代数的复化,li'dai'shu'de'fu'hua
李代数的解析群,li'dai'shu'de'jie'xi'qun
李代数的扩张,li'dai'shu'de'kuo'zhang
李代数的奇异元,li'dai'shu'de'qi'yi'yuan
李代数的诣零表示,li'dai'shu'de'yi'ling'biao'shi
李代数的中心,li'dai'shu'de'zhong'xin
李代数同构,li'dai'shu'tong'gou
里卡蒂微分方程,li'ka'di'wei'fen'fang'cheng
黎曼积分,li'man'ji'fen
黎曼可积的,li'man'ke'ji'de
力迫关系,li'po'guan'xi
里奇曲率,li'qi'qu'lv
李群,li'qun
李群的表示,li'qun'de'biao'shi
李群的李代数,li'qun'de'li'dai'shu
离散的,li'san'de
离散赋值,li'san'fu'zhi
离散集,li'san'ji
离散谱,li'san'pu
离散系统,li'san'xi'tong
离散最优化,li'san'zui'you'hua
立体,li'ti
立体角,li'ti'jiao
例外若尔当代数,li'wai'ruo'er'dang'dai'shu
理想的积,li'xiang'de'ji
理想的收缩,li'xiang'de'shou'suo
链,lian
连分式逼近,lian'fen'shi'bi'jin
连分数,lian'fen'shu
联合逼近,lian'he'bi'jin
联结词,lian'jie'ci
链群,lian'qun
链式法则,lian'shi'fa'ze
连通代数群,lian'tong'dai'shu'qun
连通环,lian'tong'huan
