暗海晶石,an'hai'jing'shi
海底遗迹,hai'di'yi'ji
海晶灯,hai'jing'deng
海晶砂粒,hai'jing'sha'li
海晶石,hai'jing'shi
海晶石砖,hai'jing'shi'zhuan
海晶碎片,hai'jing'sui'pian
海绵,hai'mian
海滩,hai'tan
河豚,he'tun
黑曜石,hei'yao'shi
黑曜石平台,hei'yao'shi'ping'tai
黑曜石柱,hei'yao'shi'zhu
红蘑菇,hong'mo'gu
红沙,hong'sha
红沙石,hong'sha'shi
红石,hong'shi
红石比较器,hong'shi'bi'jiao'qi
红石灯,hong'shi'deng
红石粉,hong'shi'fen
红石火把,hong'shi'huo'ba
红石块,hong'shi'kuai
红石矿石,hong'shi'kuang'shi
红石中继器,hong'shi'zhong'ji'qi
红砖,hong'zhuan
胡萝卜,hu'luo'bo
胡萝卜钓竿,hu'luo'bo'diao'gan
护腿,hu'tui
花岗岩,hua'gang'yan
花盆,hua'pen
桦树,hua'shu
滑翔翅,hua'xiang'chi
黄绿色染料,huang'lv'se'ran'liao
回复之箭,hui'fu'zhi'jian
灰化土,hui'hua'tu
灰蘑菇,hui'mo'gu
灰色染料,hui'se'ran'liao
火把,huo'ba
活板门,huo'ban'men
活塞,huo'sai
火焰弹,huo'yan'dan
火药,huo'yao
鸡蛋,ji'dan
激活铁轨,ji'huo'tie'gui
鸡骑士,ji'qi'shi
基岩,ji'yan
剪刀,jian'dao
僵尸,jiang'shi
僵尸村民,jiang'shi'cun'min
僵尸的头,jiang'shi'de'tou
僵尸猪人,jiang'shi'zhu'ren
结构方块,jie'gou'fang'kuai
金锭,jin'ding
金合欢船,jin'he'huan'chuan
金合欢树,jin'he'huan'shu
金合欢叶橡树,jin'he'huan'ye'xiang'shu
金胡萝卜,jin'hu'luo'bo
金块,jin'kuai
金矿石,jin'kuang'shi
金粒,jin'li
金苹果,jin'ping'guo
剧毒之箭,ju'du'zhi'jian
巨型蘑菇,ju'xing'mo'gu
巨型生物群戏,ju'xing'sheng'wu'qun'xi
菌丝,jun'si
抗火之箭,kang'huo'zhi'jian
烤马铃薯,kao'ma'ling'shu
可可豆,ke'ke'dou
可可果,ke'ke'guo
空岛,kong'dao
空地图,kong'di'tu
空气,kong'qi
空气方块,kong'qi'fang'kuai
骷髅,ku'lou
骷髅头颅,ku'lou'tou'lu
枯死的灌木,ku'si'de'guan'mu
矿车,kuang'che
矿洞,kuang'dong
矿脉,kuang'mai
盔甲架,kui'jia'jia
拉杆,la'gan
力量之箭,li'liang'zhi'jian
炼药锅,lian'yao'guo
裂石砖,lie'shi'zhuan
烈焰棒,lie'yan'bang
烈焰粉,lie'yan'fen
烈焰人,lie'yan'ren
灵魂沙,ling'hun'sha
龙蛋,long'dan
龙首,long'shou
龙头,long'tou
龙息,long'xi
漏斗,lou'dou
漏斗矿车,lou'dou'kuang'che
楼梯,lou'ti
绿宝石,lv'bao'shi
绿宝石块,lv'bao'shi'kuai
绿宝石矿石,lv'bao'shi'kuang'shi
马鞍,ma'an
马铠,ma'kai
马铃薯,ma'ling'shu
玫瑰,mei'gui
玫瑰红,mei'gui'hong
煤矿石,mei'kuang'shi
煤炭,mei'tan
煤炭块,mei'tan'kuai
面包,mian'bao
命令方块,ming'ling'fang'kuai
命令方块矿车,ming'ling'fang'kuai'kuang'che
命名牌,ming'ming'pai
末地,mo'di
末地传送门,mo'di'chuan'song'men
末地传送门方块,mo'di'chuan'song'men'fang'kuai
末地传送门框架,mo'di'chuan'song'men'kuang'jia
末地石,mo'di'shi
末地石砖,mo'di'shi'zhuan
末地要塞,mo'di'yao'sai
末地折跃门方块,mo'di'zhe'yue'men'fang'kuai
末地烛,mo'di'zhu
蘑菇,mo'gu
蘑菇煲,mo'gu'bao
末路之地,mo'lu'zhi'di
墨囊,mo'nang
末影龙,mo'ying'long
末影螨,mo'ying'man
末影人,mo'ying'ren
末影水晶,mo'ying'shui'jing
末影箱,mo'ying'xiang
末影珍珠,mo'ying'zhen'zhu
末影之眼,mo'ying'zhi'yan
磨制安山岩,mo'zhi'an'shan'yan
磨制花岗岩,mo'zhi'hua'gang'yan
磨制闪长岩,mo'zhi'shan'chang'yan
哞菇,mou'gu
木板,mu'ban
木棍,mu'gun
木炭,mu'tan
木头,mu'tou
南瓜,nan'gua
南瓜灯,nan'gua'deng
南瓜梗,nan'gua'geng
南瓜派,nan'gua'pai
南瓜种子,nan'gua'zhong'zi
泥土,ni'tu
泥土台阶,ni'tu'tai'jie
粘土,nian'tu
黏土块,nian'tu'kuai
粘性活塞,nian'xing'huo'sai
粘液块,nian'ye'kuai
粘液球,nian'ye'qiu
酿造台,niang'zao'tai
牛奶,niu'nai
牛排,niu'pai
女巫,nv'wu
爬行者,pa'xing'zhe
爬行者的头,pa'xing'zhe'de'tou
盆地,pen'di
喷溅药水,pen'jian'yao'shui
皮革,pi'ge
品红色染料,pin'hong'se'ran'liao
苹果,ping'guo
平滑红沙石,ping'hua'hong'sha'shi
平滑沙石,ping'hua'sha'shi
屏障,ping'zhang
蒲公英黄,pu'gong'ying'huang
旗帜,qi'zhi
潜影贝,qian'ying'bei
青花,qing'hua
青金石,qing'jin'shi
青金石块,qing'jin'shi'kuai
青金石矿石,qing'jin'shi'kuang'shi
青色染料,qing'se'ran'liao
区块,qu'kuai
曲奇,qu'qi
染色玻璃,ran'se'bo'li
染色玻璃板,ran'se'bo'li'ban
染色黏土,ran'se'nian'tu
人类的头,ren'lei'de'tou
熔炉,rong'lu
砂砾,sha'li
沙漠神殿,sha'mo'shen'dian
沙漠神庙,sha'mo'shen'miao
沙漠水井,sha'mo'shui'jing
沙石,sha'shi
杀手兔,sha'shou'tu
砂土,sha'tu
沙子,sha'zi
闪长岩,shan'chang'yan
山脉,shan'mai
山丘,shan'qiu
闪烁的西瓜,shan'shuo'de'xi'gua
伤害之箭,shang'hai'zhi'jian
上锁的箱子,shang'suo'de'xiang'zi
深色橡木,shen'se'xiang'mu
深色橡木船,shen'se'xiang'mu'chuan
生鲑鱼,sheng'gui'yu
生鸡肉,sheng'ji'rou
生牛肉,sheng'niu'rou
生兔肉,sheng'tu'rou
生物,sheng'wu
生物群系,sheng'wu'qun'xi
生物头颅,sheng'wu'tou'lu
生羊肉,sheng'yang'rou
生鱼,sheng'yu
生猪排,sheng'zhu'pai
石材切割机,shi'cai'qie'ge'ji
湿海绵,shi'hai'mian
史莱姆,shi'lai'mu
实体,shi'ti
石头,shi'tou
石英块,shi'ying'kuai
石砖,shi'zhuan
守卫者,shou'wei'zhe
熟鲑鱼,shu'gui'yu
熟鸡肉,shu'ji'rou
书架,shu'jia
树苗,shu'miao
熟兔肉,shu'tu'rou
竖纹石英块,shu'wen'shi'ying'kuai
竖纹紫珀块,shu'wen'zi'po'kuai
熟羊肉,shu'yang'rou
树叶,shu'ye
熟鱼,shu'yu
书与笔,shu'yu'bi
熟猪排,shu'zhu'pai
刷怪蛋,shua'guai'dan
刷怪箱,shua'guai'xiang
拴绳,shuan'sheng
霜冰,shuang'bing
双草丛,shuang'cao'cong
水肺之箭,shui'fei'zhi'jian
睡莲,shui'lian
水桶,shui'tong
燧石,sui'shi
台阶,tai'jie
苔石,tai'shi
苔石墙,tai'shi'qiang
苔石砖,tai'shi'zhuan
探测铁轨,tan'ce'tie'gui
藤蔓,teng'wan
梯子,ti'zi
甜菜根,tian'cai'gen
甜菜汤,tian'cai'tang
甜菜种子,tian'cai'zhong'zi
调试模式,tiao'shi'mo'shi
跳跃之箭,tiao'yue'zhi'jian
铁锭,tie'ding
铁轨,tie'gui
铁块,tie'kuai
铁矿石,tie'kuang'shi
铁傀儡,tie'kui'lei
铁栏杆,tie'lan'gan
铁砧,tie'zhen
头盔,tou'kui
投掷器,tou'zhi'qi
兔肉煲,tu'rou'bao
兔子,tu'zi
兔子脚,tu'zi'jiao
兔子皮,tu'zi'pi
玩家,wan'jia
玩家头颅,wan'jia'tou'lu
无草泥土,wu'cao'ni'tu
物品,wu'pin
物品展示框,wu'pin'zhan'shi'kuang
无限水源,wu'xian'shui'yuan
无限岩浆源,wu'xian'yan'jiang'yuan
西瓜,xi'gua
西瓜梗,xi'gua'geng
西瓜片,xi'gua'pian
西瓜种子,xi'gua'zhong'zi
下界,xia'jie
下界传送门,xia'jie'chuan'song'men
下界反应堆,xia'jie'fan'ying'dui
下界反应核,xia'jie'fan'ying'he
下界反应器,xia'jie'fan'ying'qi
下界石英,xia'jie'shi'ying
下界石英矿石,xia'jie'shi'ying'kuang'shi
下界要塞,xia'jie'yao'sai
下界之星,xia'jie'zhi'xing
陷阱箱,xian'jing'xiang
仙人掌,xian'ren'zhang
仙人掌绿,xian'ren'zhang'lv
相机,xiang'ji
橡木船,xiang'mu'chuan
橡树,xiang'shu
箱子,xiang'zi
小丑鱼,xiao'chou'yu
小麦,xiao'mai
小麦种子,xiao'mai'zhong'zi
信标,xin'biao
胸甲,xiong'jia
虚空,xu'kong
虚弱之箭,xu'ruo'zhi'jian
雪块,xue'kuai
雪傀儡,xue'kui'lei
雪球,xue'qiu
雪屋,xue'wu
靴子,xue'zi
迅捷之箭,xun'jie'zhi'jian
压力板,ya'li'ban
烟花火箭,yan'hua'huo'jian
烟火之星,yan'huo'zhi'xing
岩浆,yan'jiang
岩浆膏,yan'jiang'gao
岩浆怪,yan'jiang'guai
岩浆海,yan'jiang'hai
岩浆桶,yan'jiang'tong
阳光传感器,yang'guang'chuan'gan'qi
羊毛,yang'mao
药箭,yao'jian
要塞,yao'sai
药水,yao'shui
夜视之箭,ye'shi'zhi'jian
音符盒,yin'fu'he
隐身之箭,yin'shen'zhi'jian
隐形的基岩,yin'xing'de'ji'yan
隐形基岩,yin'xing'ji'yan
音乐唱片,yin'yue'chang'pian
硬化黏土,ying'hua'nian'tu
萤石,ying'shi
萤石粉,ying'shi'fen
鱿鱼,you'yu
羽毛,yu'mao
远古守卫者,yuan'gu'shou'wei'zhe
圆石,yuan'shi
圆石墙,yuan'shi'qiang
云杉,yun'shan
云杉船,yun'shan'chuan
运输矿车,yun'shu'kuang'che
再生之箭,zai'sheng'zhi'jian
錾制红沙石,zan'zhi'hong'sha'shi
錾制沙石,zan'zhi'sha'shi
錾制石英块,zan'zhi'shi'ying'kuai
錾制石砖,zan'zhi'shi'zhuan
栅栏,zha'lan
栅栏门,zha'lan'men
沼泽树,zhao'ze'shu
沼泽小屋,zhao'ze'xiao'wu
滞留药水,zhi'liu'yao'shui
指南针,zhi'nan'zhen
蜘蛛,zhi'zhu
蜘蛛骑士,zhi'zhu'qi'shi
蜘蛛网,zhi'zhu'wang
蜘蛛眼,zhi'zhu'yan
终末之池,zhong'mo'zhi'chi
种子,zhong'zi
主世界,zhu'shi'jie
砖块,zhuan'kuai
自定义,zi'ding'yi
紫珀块,zi'po'kuai
紫色染料,zi'se'ran'liao
紫影果,zi'ying'guo
紫影花,zi'ying'hua
紫影植物,zi'ying'zhi'wu
钻石,zuan'shi
钻石块,zuan'shi'kuai
钻石矿石,zuan'shi'kuang'shi
