阿尔泰,a'er'tai
夔州,kui'zhou
昆陵都护府,kun'ling'du'hu'fu
昆明,kun'ming
昆吾,kun'wu
昆阳,kun'yang
廓州,kuo'zhou
莱州,lai'zhou
兰陵,lan'ling
狼居胥山,lang'ju'xu'shan
琅邪,lang'xie
朗州,lang'zhou
雷池,lei'chi
理番,li'fan
栗里,li'li
黎阳,li'yang
历阳,li'yang
利州,li'zhou
澧州,li'zhou
濂溪,lian'xi
连州,lian'zhou
廉州,lian'zhou
两江,liang'jiang
梁郡,liang'jun
梁门,liang'men
梁溪,liang'xi
凉州,liang'zhou
梁州,liang'zhou
辽东,liao'dong
辽西,liao'xi
辽阳,liao'yang
辽州,liao'zhou
辽左,liao'zuo
临安,lin'an
临城,lin'cheng
临川,lin'chuan
临汾,lin'fen
临海,lin'hai
临濠,lin'hao
临潢,lin'huang
临江,lin'jiang
临晋,lin'jin
临泾,lin'jing
临邛,lin'qiong
临洮,lin'tao
临湘,lin'xiang
林邑,lin'yi
麟州,lin'zhou
临茁,lin'zhuo
岭北行省,ling'bei'xing'sheng
岭表,ling'biao
岭海,ling'hai
令居,ling'ju
零陵,ling'ling
岭南,ling'nan
岭外,ling'wai
零阳,ling'yang
令支,ling'zhi
灵州,ling'zhou
柳城,liu'cheng
刘家港,liu'jia'gang
柳林,liu'lin
流求,liu'qiu
留县,liu'xian
柳中,liu'zhong
柳州,liu'zhou
龙编,long'bian
龙城,long'cheng
陇川,long'chuan
龙门,long'men
陇西,long'xi
隆兴,long'xing
陇右,long'you
隆中山,long'zhong'shan
楼烦,lou'fan
娄江,lou'jiang
娄县,lou'xian
搂中,lou'zhong
陆浑,lu'hun
庐江,lu'jiang
鲁郡,lu'jun
陆口,lu'kou
绿林山,lu'lin'shan
庐陵,lu'ling
卢龙,lu'long
泸水,lu'shui
鲁阳,lu'yang
庐州,lu'zhou
泸州,lu'zhou
潞州,lu'zhou
滦阳,luan'yang
滦州,luan'zhou
略阳,lue'yang
轮台,lun'tai
雒县,luo'xian
逻些,luo'xie
洛阳,luo'yang
雒邑,luo'yi
律门,lv'men
妈港,ma'gang
马陵,ma'ling
麻六甲,ma'liu'jia
麻沙镇,ma'sha'zhen
马邑,ma'yi
麦城,mai'cheng
买卖城,mai'mai'cheng
满刺加,man'ci'jia
茂州,mao'zhou
美稷,mei'ji
梅李,mei'li
眉山,mei'shan
孟津,meng'jin
孟密,meng'mi
蒙舍城,meng'she'cheng
孟养,meng'yang
孟州,meng'zhou
孟渚,meng'zhu
米国,mi'guo
密州,mi'zhou
绵山,mian'shan
沔阳,mian'yang
沔州,mian'zhou
绵州,mian'zhou
庙街,miao'jie
闽县,min'xian
闽中,min'zhong
岷州,min'zhou
鸣条,ming'tiao
铭州,ming'zhou
明州,ming'zhou
墨尔根,mo'er'gen
秣陵,mo'ling
墨山,mo'shan
莫州,mo'zhou
木骨都束国,mu'gu'dou'shu'guo
牧野,mu'ye
睦州,mu'zhou
南安,nan'an
南都,nan'dou
南海,nan'hai
南剑,nan'jian
南京,nan'jing
南郡,nan'jun
南康,nan'kang
南兰陵,nan'lan'ling
南笼,nan'long
南宁,nan'ning
南徐,nan'xu
南兖,nan'yan
南阳,nan'yang
南越,nan'yue
尼布楚,ni'bu'chu
涅阳,nie'yang
宁波,ning'bo
宁古塔,ning'gu'ta
宁江州,ning'jiang'zhou
宁武关,ning'wu'guan
宁夏,ning'xia
宁远,ning'yuan
宁州,ning'zhou
奴儿干,nu'er'gan
沛郡,pei'jun
湓口城,pen'kou'cheng
彭城,peng'cheng
彭郎矶,peng'lang'ji
彭蠡,peng'li
蓬州,peng'zhou
皮岛,pi'dao
毗陵,pi'ling
毗沙,pi'sha
邳州,pi'zhou
平城,ping'cheng
平地松林,ping'di'song'lin
平江府,ping'jiang'fu
平凉,ping'liang
平卢,ping'lu
平阳,ping'yang
平原,ping'yuan
平州,ping'zhou
鄱阳,po'yang
蒲坂,pu'ban
普洱,pu'er
蒲姑,pu'gu
蒲类,pu'lei
濮阳,pu'yang
蒲州,pu'zhou
蒲子,pu'zi
杞,qi
蕲春,qi'chun
起儿漫,qi'er'man
齐郡,qi'jun
七闽,qi'min
岐山,qi'shan
祁山,qi'shan
蕲水,qi'shui
齐州,qi'zhou
岐州,qi'zhou
祁州,qi'zhou
恰克图,qia'ke'tu
前藏,qian'cang
扦关,qian'guan
钱塘,qian'tang
犍为,qian'wei
黔中,qian'zhong
虔州,qian'zhou
黔州,qian'zhou
乾州,qian'zhou
谯郡,qiao'jun
谯县,qiao'xian
秦,qin
琴川,qin'chuan
秦川,qin'chuan
秦凤,qin'feng
秦中,qin'zhong
钦州,qin'zhou
秦州,qin'zhou
青城,qing'cheng
清河,qing'he
清口,qing'kou
青龙镇,qing'long'zhen
青唐,qing'tang
青溪,qing'xi
庆元,qing'yuan
庆原,qing'yuan
清源军,qing'yuan'jun
青州,qing'zhou
庆州,qing'zhou
清州,qing'zhou
邛州,qiong'zhou
琼州,qiong'zhou
龟兹,qiu'ci
曲阿,qu'a
曲女城,qu'nv'cheng
曲沃,qu'wo
全州,quan'zhou
泉州,quan'zhou
饶乐,rao'le
饶州,rao'zhou
热河,re'he
仁和,ren'he
日南,ri'nan
柔佛,rou'fo
柔玄,rou'xuan
汝南,ru'nan
汝宁,ru'ning
濡须,ru'xu
汝阴,ru'yin
汝州,ru'zhou
瑞州,rui'zhou
润州,run'zhou
萨尔浒,sa'er'hu
三川,san'chuan
三佛齐,san'fo'qi
三关,san'guan
散关,san'guan
三户,san'hu
三受降城,san'shou'xiang'cheng
三元里,san'yuan'li
沙丘,sha'qiu
沙羡,sha'xian
沙州,sha'zhou
善阐,shan'chan
山东,shan'dong
单父,shan'fu
山后,shan'hou
善化,shan'hua
山南,shan'nan
山前,shan'qian
陕西,shan'xi
山西,shan'xi
陕西三边,shan'xi'san'bian
剡县,shan'xian
山阳,shan'yang
山阴,shan'yin
山右,shan'you
鄯州,shan'zhou
陕州,shan'zhou
山左,shan'zuo
上蔡,shang'cai
上党,shang'dang
上都,shang'dou
上谷,shang'gu
上海,shang'hai
上京,shang'jing
上郡,shang'jun
商丘,shang'qiu
商山,shang'shan
上庸,shang'yong
商於,shang'yu
上元,shang'yuan
商州,shang'zhou
芍陂,shao'bei
少梁,shao'liang
邵陵,shao'ling
少陵,shao'ling
绍兴,shao'xing
邵州,shao'zhou
韶州,shao'zhou
歙州,she'zhou
申,shen
身毒,shen'du
沈黎,shen'li
沈州,shen'zhou
深州,shen'zhou
神州,shen'zhou
盛京,sheng'jing
盛乐城,sheng'le'cheng
胜州,sheng'zhou
始安,shi'an
石堡城,shi'bao'cheng
史国,shi'guo
石国,shi'guo
石头城,shi'tou'cheng
始兴,shi'xing
施州,shi'zhou
师子国,shi'zi'guo
寿昌,shou'chang
寿春,shou'chun
受降城,shou'xiang'cheng
寿州,shou'zhou
蜀郡,shu'jun
疏勒,shu'le
舒县,shu'xian
双城子,shuang'cheng'zi
顺昌,shun'chang
顺德,shun'de
顺庆,shun'qing
顺天,shun'tian
朔方,shuo'fang
朔州,shuo'zhou
四川,si'chuan
四大镇,si'da'zhen
思恩,si'en
泗口,si'kou
思南,si'nan
泗水,si'shui
肆州,si'zhou
司州,si'zhou
泗州,si'zhou
松江,song'jiang
松陵,song'ling
松漠,song'mo
宋州,song'zhou
松州,song'zhou
苏禄,su'lu
肃州,su'zhou
苏州,su'zhou
酸枣,suan'zao
隋,sui
遂城,sui'cheng
绥定,sui'ding
睢阳,sui'yang
碎叶,sui'ye
绥远,sui'yuan
睢州,sui'zhou
索,suo
沓中,ta'zhong
邰,tai
泰安,tai'an
台城,tai'cheng
太和,tai'he
太和岭,tai'he'ling
泰宁,tai'ning
太平,tai'ping
台湾,tai'wan
邰阳,tai'yang
太原,tai'yuan
台州,tai'zhou
泰州,tai'zhou
檀州,tan'zhou
潭州,tan'zhou
唐古特,tang'gu'te
唐努乌梁海,tang'nu'wu'liang'hai
堂溪,tang'xi
堂邑,tang'yi
陶,tao
洮州,tao'zhou
滕,teng
腾冲,teng'chong
天方,tian'fang
田横岛,tian'heng'dao
天津,tian'jin
天水,tian'shui
天竺,tian'zhu
条支,tiao'zhi
汀州,ting'zhou
潼川,tong'chuan
铜堤,tong'di
同谷,tong'gu
铜瓦厢,tong'wa'xiang
统万城,tong'wan'cheng
通州,tong'zhou
同州,tong'zhou
图伯特,tu'bo'te
吐火罗,tu'huo'luo
外黄,wai'huang
皖,wan
万里长沙,wan'li'chang'sha
宛陵,wan'ling
万年,wan'nian
宛平,wan'ping
宛县,wan'xian
辋川,wang'chuan
王舍城,wang'she'cheng
魏,wei
魏博,wei'bo
卫藏,wei'cang
卫国,wei'guo
卫辉,wei'hui
魏郡,wei'jun
渭桥,wei'qiao
韦曲,wei'qu
维扬,wei'yang
魏治沔阳,wei'zhi'mian'yang
魏州,wei'zhou
渭州,wei'zhou
维州,wei'zhou
汶山,wen'shan
文州,wen'zhou
温州,wen'zhou
沃野,wo'ye
武昌,wu'chang
乌程,wu'cheng
武川,wu'chuan
武定,wu'ding
武都,wu'du
五国城,wu'guo'cheng
吴会,wu'hui
乌江,wu'jiang
吴郡,wu'jun
乌里雅苏台,wu'li'ya'su'tai
乌林,wu'lin
武林,wu'lin
武陵,wu'ling
吴门,wu'men
乌蒙,wu'meng
吴山,wu'shan
乌思藏,wu'si'cang
武遂,wu'sui
乌孙,wu'sun
吴头楚尾,wu'tou'chu'wei
武威,wu'wei
巫县,wu'xian
武乡,wu'xiang
吴兴,wu'xing
五羊城,wu'yang'cheng
五原,wu'yuan
五岳,wu'yue
五丈原,wu'zhang'yuan
吴州,wu'zhou
婺州,wu'zhou
梧州,wu'zhou
武州,wu'zhou
息,xi
西安,xi'an
西城,xi'cheng
西川,xi'chuan
西鄂,xi'e
西河,xi'he
熙河,xi'he
析津,xi'jin
西京,xi'jing
细柳,xi'liu
西楼,xi'lou
西宁,xi'ning
戏水,xi'shui
西套蒙古,xi'tao'meng'gu
戏亭,xi'ting
西吴,xi'wu
西县,xi'xian
西洋,xi'yang
西州,xi'zhou
下蔡,xia'cai
下港,xia'gang
夏口,xia'kou
峡路,xia'lu
下邳,xia'pi
夏绥,xia'sui
下相,xia'xiang
夏阳,xia'yang
夏州,xia'zhou
峡州,xia'zhou
咸平,xian'ping
咸阳,xian'yang
显州,xian'zhou
相,xiang
祥符,xiang'fu
襄国,xiang'guo
象郡,xiang'jun
象林,xiang'lin
襄平,xiang'ping
项县,xiang'xian
襄阳,xiang'yang
襄州,xiang'zhou
湘州,xiang'zhou
相州,xiang'zhou
小沛,xiao'pei
消遥津,xiao'yao'jin
信安,xin'an
新安,xin'an
新蔡,xin'cai
新城,xin'cheng
信都,xin'dou
新丰,xin'feng
新秦中,xin'qin'zhong
新亭,xin'ting
新息,xin'xi
新阳,xin'yang
新野,xin'ye
信州,xin'zhou
忻州,xin'zhou
邢,xing
兴安,xing'an
兴和,xing'he
兴化,xing'hua
杏花村,xing'hua'cun
兴京,xing'jing
兴庆,xing'qing
荥阳,xing'yang
兴义,xing'yi
兴元,xing'yuan
荥泽,xing'ze
邢州,xing'zhou
兴州,xing'zhou
雄州,xiong'zhou
秀容,xiu'rong
秀水,xiu'shui
秀州,xiu'zhou
许,xu
许昌,xu'chang
须昌,xu'chang
许州,xu'zhou
叙州,xu'zhou
徐州,xu'zhou
宣城,xuan'cheng
宣大,xuan'da
宣府,xuan'fu
悬瓠,xuan'hu
宣化,xuan'hua
宣武,xuan'wu
轩辕,xuan'yuan
宣州,xuan'zhou
薛,xue
薛郡,xue'jun
寻阳,xun'yang
浔阳,xun'yang
循州,xun'zhou
浔州,xun'zhou
雅克萨,ya'ke'sa
雅州,ya'zhou
崖州,ya'zhou
鄢,yan
奄,yan
燕,yan
厌次,yan'ci
延津,yan'jin
燕京,yan'jing
鄢陵,yan'ling
延陵,yan'ling
延平,yan'ping
焉耆,yan'qi
燕然,yan'ran
燕山,yan'shan
延绥,yan'sui
阏与,yan'yu
燕云十六州,yan'yun'shi'liu'zhou
严州,yan'zhou
兖州,yan'zhou
延州,yan'zhou
盐州,yan'zhou
阳城,yang'cheng
阳关,yang'guan
阳湖,yang'hu
羊苴咩城,yang'ju'mie'cheng
杨刘,yang'liu
阳山,yang'shan
阳武,yang'wu
阳夏,yang'xia
阳羡,yang'xian
阳翟,yang'zhai
扬州,yang'zhou
扬子,yang'zi
姚江,yao'jiang
姚州,yao'zhou
邺,ye
冶城,ye'cheng
邺都,ye'dou
夜郎,ye'lang
野王,ye'wang
亦壁,yi'bi
宜昌,yi'chang
伊犁九城,yi'li'jiu'cheng
夷陵,yi'ling
伊逻卢城,yi'luo'lu'cheng
夷门,yi'men
伊阙,yi'que
猗氏,yi'shi
伊吾卢,yi'wu'lu
义兴,yi'xing
弋阳,yi'yang
伊州,yi'zhou
夷洲,yi'zhou
宜州,yi'zhou
懿州,yi'zhou
易州,yi'zhou
沂州,yi'zhou
益州,yi'zhou
阴平,yin'ping
银州,yin'zhou
郢,ying
应,ying
颍昌,ying'chang
应昌,ying'chang
颍川,ying'chuan
营丘,ying'qiu
应天,ying'tian
营州,ying'zhou
郢州,ying'zhou
颍州,ying'zhou
瀛州,ying'zhou
永安,yong'an
永昌,yong'chang
永嘉,yong'jia
永乐,yong'le
雍丘,yong'qiu
勇士川,yong'shi'chuan
永顺,yong'shun
雍县,yong'xian
永兴军,yong'xing'jun
邕州,yong'zhou
雍州,yong'zhou
永州,yong'zhou
右北平,you'bei'ping
右扶风,you'fu'feng
幽蓟十六州,you'ji'shi'liu'zhou
由拳,you'quan
幽州,you'zhou
玉壁城,yu'bi'cheng
鱼复,yu'fu
郁林,yu'lin
榆林,yu'lin
昱岭,yu'ling
于阗,yu'tian
渔阳,yu'yang
豫章,yu'zhang
豫州,yu'zhou
郁洲,yu'zhou
渝州,yu'zhou
禹州,yu'zhou
元城,yuan'cheng
苑川,yuan'chuan
元和,yuan'he
冤句,yuan'ju
袁州,yuan'zhou
原州,yuan'zhou
沅州,yuan'zhou
岳阳,yue'yang
栎阳,yue'yang
月氏,yue'zhi
越州,yue'zhou
岳州,yue'zhou
郧,yun
云间,yun'jian
云南,yun'nan
郧阳,yun'yang
云阳,yun'yang
云中,yun'zhong
云中都护府,yun'zhong'du'hu'fu
郓州,yun'zhou
云州,yun'zhou
甾川,zai'chuan
造阳,zao'yang
泽州,ze'zhou
占城,zhan'cheng
彰德,zhang'de
漳南,zhang'nan
章武,zhang'wu
张掖,zhang'ye
漳州,zhang'zhou
赵城,zhao'cheng
赵郡,zhao'jun
昭莫多,zhao'mo'duo
昭文,zhao'wen
昭义,zhao'yi
赵州,zhao'zhou
浙江东道,zhe'jiang'dong'dao
浙江西道,zhe'jiang'xi'dao
柘林,zhe'lin
柘县,zhe'xian
真定,zhen'ding
镇江,zhen'jiang
镇戎,zhen'rong
振武,zhen'wu
镇州,zhen'zhou
真州,zhen'zhou
郑,zheng
峥嵘洲,zheng'rong'zhou
郑州,zheng'zhou
制,zhi
彘,zhi
直沽,zhi'gu
雉河集,zhi'he'ji
直隶,zhi'li
中都,zhong'du
中京,zhong'jing
钟离,zhong'li
中牟,zhong'mu
中山,zhong'shan
中吴,zhong'wu
中兴,zhong'xing
中州,zhong'zhou
忠州,zhong'zhou
昼,zhou
州来,zhou'lai
邾,zhu
筑,zhu
祝阿,zhu'a
诸罗,zhu'luo
洙泗,zhu'si
朱提,zhu'ti
朱仙镇,zhu'xian'zhen
珠崖,zhu'ya
涿郡,zhuo'jun
涿州,zhuo'zhou
淄青,zi'qing
梓潼,zi'tong
资州,zi'zhou
梓州,zi'zhou
邹,zou
陬,zou
祖州,zu'zhou
槜李,zui'li
遵义,zun'yi
莋都,zuo'dou
左冯翊,zuo'feng'yi
左国城,zuo'guo'cheng
