矮牵牛,ai'qian'niu
蓝雪花,lan'xue'hua
莲叶秋海棠,lian'ye'qiu'hai'tang
量天尺,liang'tian'chi
裂叶秋海棠,lie'ye'qiu'hai'tang
令箭荷花,ling'jian'he'hua
六出花,liu'chu'hua
柳穿鱼,liu'chuan'yu
六丘园报春,liu'qiu'yuan'bao'chun
六月雪,liu'yue'xue
龙船花,long'chuan'hua
龙胆花,long'dan'hua
龙舌兰,long'she'lan
龙吐珠,long'tu'zhu
龙血树,long'xue'shu
耧斗菜,lou'dou'cai
芦荟,lu'hui
轮锋菊,lun'feng'ju
落新妇,luo'xin'fu
马蹄莲,ma'ti'lian
马蹄纹天竺葵,ma'ti'wen'tian'zhu'kui
蟆叶秋海棠,ma'ye'qiu'hai'tang
马樱丹,ma'ying'dan
麦冬,mai'dong
麦杆菊,mai'gan'ju
毛地黄,mao'di'huang
毛蕊花,mao'rui'hua
毛叶秋海棠,mao'ye'qiu'hai'tang
梅花,mei'hua
美丽贝母兰,mei'li'bei'mu'lan
美女樱,mei'nv'ying
美人蕉,mei'ren'jiao
米兰,mi'lan
茉莉花,mo'li'hua
牡丹,mu'dan
木麒麟,mu'qi'lin
木犀草,mu'xi'cao
茑萝,niao'luo
牛舌草,niu'she'cao
蓬蒿菊,peng'hao'ju
萍蓬莲,ping'peng'lian
蒲包花,pu'bao'hua
蒲葵,pu'kui
葡萄风信子,pu'tao'feng'xin'zi
槭葵,qi'kui
牵牛花,qian'niu'hua
千屈莲,qian'qu'lian
千日红,qian'ri'hong
千叶蓍,qian'ye'shi
青紫木,qing'zi'mu
球根秋海棠,qiu'gen'qiu'hai'tang
秋海棠类,qiu'hai'tang'lei
球兰,qiu'lan
热带兰,re'dai'lan
三报春花,san'bao'chun'hua
三角花,san'jiao'hua
三色堇,san'se'jin
散尾葵,san'wei'kui
珊瑚花,shan'hu'hua
芍药,shao'yao
蛇鞭菊,she'bian'ju
蛇目菊,she'mu'ju
麝香百合,she'xiang'bai'he
生石花,sheng'shi'hua
矢车菊,shi'che'ju
石斛,shi'hu
石碱花,shi'jian'hua
石莲花,shi'lian'hua
蜀葵,shu'kui
水葱,shui'cong
睡莲,shui'lian
水仙,shui'xian
四多花报春,si'duo'hua'bao'chun
四季秋海棠,si'ji'qiu'hai'tang
松果菊,song'guo'ju
松叶菊,song'ye'ju
宿根福禄考,su'gen'fu'lu'kao
随意草,sui'yi'cao
昙花,tan'hua
唐菖薄,tang'chang'bao
藤本天竺葵,teng'ben'tian'zhu'kui
天人菊,tian'ren'ju
天竺葵,tian'zhu'kui
天竺葵类,tian'zhu'kui'lei
铁海棠,tie'hai'tang
铁线莲,tie'xian'lian
万带兰,wan'dai'lan
万年青,wan'nian'qing
万寿菊,wan'shou'ju
晚香玉,wan'xiang'yu
王莲,wang'lian
网球花,wang'qiu'hua
文竹,wen'zhu
五单花报春,wu'dan'hua'bao'chun
五色苋,wu'se'xian
勿忘草,wu'wang'cao
西洋滨菊,xi'yang'bin'ju
霞草,xia'cao
虾脊兰,xia'ji'lan
夏堇,xia'jin
虾衣花,xia'yi'hua
仙客来,xian'ke'lai
仙人笔,xian'ren'bi
仙人掌,xian'ren'zhang
向日葵,xiang'ri'kui
香石竹,xiang'shi'zhu
香豌豆,xiang'wan'dou
香雪球,xiang'xue'qiu
香叶天竺葵,xiang'ye'tian'zhu'kui
小苍兰,xiao'cang'lan
肖粉凌霄,xiao'fen'ling'xiao
蟹爪兰,xie'zhao'lan
萱草,xuan'cao
雪滴花,xue'di'hua
亚麻,ya'ma
鸭嘴花,ya'zui'hua
沿阶草,yan'jie'cao
雁来红,yan'lai'hong
夜落金钱,ye'luo'jin'qian
夜香树,ye'xiang'shu
一串红,yi'chuan'hong
一点缨,yi'dian'ying
一品红,yi'pin'hong
一四季报春,yi'si'ji'bao'chun
一叶兰,yi'ye'lan
银边翠,yin'bian'cui
银星竹节秋海棠,yin'xing'zhu'jie'qiu'hai'tang
硬骨凌霄,ying'gu'ling'xiao
郁金香,yu'jin'xiang
雨久花,yu'jiu'hua
虞美人,yu'mei'ren
羽扇豆,yu'shan'dou
玉树珊瑚,yu'shu'shan'hu
鱼尾葵,yu'wei'kui
羽衣甘蓝,yu'yi'gan'lan
玉簪,yu'zan
鸢尾,yuan'wei
鸳鸯茉莉,yuan'yang'mo'li
月季,yue'ji
月见草,yue'jian'cao
栀子花,zhi'zi'hua
中国石竹,zhong'guo'shi'zhu
朱顶红,zhu'ding'hong
诸葛菜,zhu'ge'cai
朱蕉,zhu'jiao
竹节秋海棠,zhu'jie'qiu'hai'tang
紫背万年青,zi'bei'wan'nian'qing
紫罗兰,zi'luo'lan
紫茉莉,zi'mo'li
紫叶鸭跖草,zi'ye'ya'zhi'cao
棕竹,zong'zhu
醉蝶花,zui'die'hua
