掰谎记,bai'huang'ji
贾代善,jia'dai'shan
贾代修,jia'dai'xiu
贾敷,jia'fu
贾瑚,jia'hu
贾环,jia'huan
佳蕙,jia'hui
贾敬,jia'jing
贾兰,jia'lan
贾琏,jia'lian
贾菱,jia'ling
贾敏,jia'min
贾蔷,jia'qiang
贾芹,jia'qin
贾蓉,jia'rong
贾蓉之妻,jia'rong'zhi'qi
贾瑞,jia'rui
贾赦,jia'she
贾探春,jia'tan'chun
贾惜春,jia'xi'chun
甲戌本,jia'xu'ben
贾演,jia'yan
贾迎春,jia'ying'chun
贾雨村,jia'yu'cun
贾源,jia'yuan
贾元春,jia'yuan'chun
贾芸,jia'yun
贾珍,jia'zhen
贾政,jia'zheng
贾珠,jia'zhu
绛云轩,jiang'yun'xuan
绛珠仙草,jiang'zhu'xian'cao
教引嬷嬷,jiao'yin'mo'mo
金钏儿,jin'chuan'er
金陵,jin'ling
金鸳鸯,jin'yuan'yang
靖藏本,jing'cang'ben
警幻仙姑,jing'huan'xian'gu
净虚,jing'xu
葵官,kui'guan
赖大,lai'da
赖大家的,lai'da'jia'de
赖二,lai'er
赖二家的,lai'er'jia'de
赖嬷嬷,lai'mo'mo
赖尚荣,lai'shang'rong
来升,lai'sheng
赖升,lai'sheng
癞头和尚,lai'tou'he'shang
来旺,lai'wang
冷香丸,leng'xiang'wan
李贵,li'gui
李嬷嬷,li'mo'mo
李奶奶,li'nai'nai
李纨,li'wan
莲花儿,lian'hua'er
蓼汀花溆,liao'ting'hua'xu
林黛玉,lin'dai'yu
林红玉,lin'hong'yu
林如海,lin'ru'hai
林之孝,lin'zhi'xiao
林之孝家的,lin'zhi'xiao'jia'de
龄官,ling'guan
刘姥姥,liu'lao'lao
柳嫂,liu'sao
柳五儿,liu'wu'er
卯正三刻,mao'zheng'san'ke
玫瑰花,mei'gui'hua
蒙府本,meng'fu'ben
梦稿本,meng'gao'ben
妙玉,miao'yu
茗烟,ming'yan
那府里,na'fu'li
南京,nan'jing
倪二,ni'er
宁府,ning'fu
宁国府,ning'guo'fu
宁国公,ning'guo'gong
暖香坞,nuan'xiang'wu
藕官,ou'guan
藕香榭,ou'xiang'xie
佩凤,pei'feng
平儿,ping'er
平儿理妆,ping'er'li'zhuang
茜雪,qian'xue
巧姐,qiao'jie
沁芳亭,qin'fang'ting
沁芳闸,qin'fang'zha
秦可卿,qin'ke'qing
秦氏,qin'shi
秦显,qin'xian
秦显家的,qin'xian'jia'de
秦业,qin'ye
秦钟,qin'zhong
晴雯,qing'wen
清虚观,qing'xu'guan
清虚观打醮,qing'xu'guan'da'jiao
秋爽斋,qiu'shuang'zhai
秋桐,qiu'tong
秋纹,qiu'wen
曲径通幽处,qu'jing'tong'you'chu
燃藜图,ran'li'tu
仁清巷,ren'qing'xiang
荣府,rong'fu
荣国府,rong'guo'fu
荣国公,rong'guo'gong
荣庆堂,rong'qing'tang
荣禧堂,rong'xi'tang
入画,ru'hua
蕊官,rui'guan
三更,san'geng
扫红,sao'hong
麝月,she'yue
神瑛侍者,shen'ying'shi'zhe
十里街,shi'li'jie
侍书,shi'shu
史湘云,shi'xiang'yun
水月庵,shui'yue'an
司棋,si'qi
太虚幻境,tai'xu'huan'jing
探春,tan'chun
天香楼,tian'xiang'lou
铁槛寺,tie'kan'si
通灵宝玉,tong'ling'bao'yu
王成,wang'cheng
王短腿,wang'duan'tui
旺儿,wang'er
旺儿家的,wang'er'jia'de
旺儿媳妇,wang'er'xi'fu
王狗儿,wang'gou'er
王嬷嬷,wang'mo'mo
王仁,wang'ren
王熙凤,wang'xi'feng
王子腾,wang'zi'teng
五儿,wu'er
无事忙,wu'shi'mang
吴新登,wu'xin'deng
吴新登家的,wu'xin'deng'jia'de
惜春,xi'chun
西府,xi'fu
袭人,xi'ren
夏金桂,xia'jin'gui
夏婆,xia'po
香菱,xiang'ling
湘云,xiang'yun
湘云眠芍,xiang'yun'mian'shao
小红,xiao'hong
小沙弥,xiao'sha'mi
潇湘妃子,xiao'xiang'fei'zi
潇湘馆,xiao'xiang'guan
偕鸾,xie'luan
杏帘在望,xing'lian'zai'wang
省亲别墅,xing'qin'bie'shu
绣桔,xiu'ju
玄真观,xuan'zhen'guan
薛宝钗,xue'bao'chai
雪雁,xue'yan
丫环,ya'huan
丫鬟,ya'huan
叶妈,ye'ma
怡红快绿,yi'hong'kuai'lv
怡红院,yi'hong'yuan
银蝶,yin'die
迎春,ying'chun
莺儿,ying'er
鹦哥,ying'ge
英莲,ying'lian
尤二姐,you'er'jie
有凤来仪,you'feng'lai'yi
尤老娘,you'lao'niang
尤三姐,you'san'jie
尤氏,you'shi
玉钏儿,yu'chuan'er
余信,yu'xin
元春,yuan'chun
鸳鸯,yuan'yang
葬花吟,zang'hua'yin
詹光,zhan'guang
赵嬷嬷,zhao'mo'mo
甄宝玉,zhen'bao'yu
甄士隐,zhen'shi'yin
枕霞旧友,zhen'xia'jiu'you
正房,zheng'fang
正房大院,zheng'fang'da'yuan
智能儿,zhi'neng'er
脂批,zhi'pi
脂砚斋,zhi'yan'zhai
周瑞,zhou'rui
周瑞家的,zhou'rui'jia'de
坠儿,zhui'er
缀锦楼,zhui'jin'lou
紫鹃,zi'juan
