地风升,di'feng'sheng
火水未济,huo'shui'wei'ji
火天大有,huo'tian'da'you
火泽睽,huo'ze'kui
坎宫八卦属水,kan'gong'ba'gua'shu'shui
坎为水,kan'wei'shui
坤宫八卦属土,kun'gong'ba'gua'shu'tu
坤为地,kun'wei'di
雷地豫,lei'di'yu
雷风恒,lei'feng'heng
雷火丰,lei'huo'feng
雷山小过,lei'shan'xiao'guo
雷水解,lei'shui'jie
雷天大壮,lei'tian'da'zhuang
雷泽归妹,lei'ze'gui'mei
离宫八卦属火,li'gong'ba'gua'shu'huo
离为火,li'wei'huo
六十四卦爻象图,liu'shi'si'gua'yao'xiang'tu
妻财辰土,qi'cai'chen'tu
妻财辰土世,qi'cai'chen'tu'shi
妻财辰土应,qi'cai'chen'tu'ying
妻财丑土,qi'cai'chou'tu
妻财丑土世,qi'cai'chou'tu'shi
妻财丑土应,qi'cai'chou'tu'ying
妻财亥水,qi'cai'hai'shui
妻财亥水应,qi'cai'hai'shui'ying
妻财卯木,qi'cai'mao'mu
妻财卯木世,qi'cai'mao'mu'shi
妻财申金,qi'cai'shen'jin
妻财巳火世,qi'cai'si'huo'shi
妻财未土,qi'cai'wei'tu
妻财未土世,qi'cai'wei'tu'shi
妻财未土应,qi'cai'wei'tu'ying
妻财午火,qi'cai'wu'huo
妻财午火世,qi'cai'wu'huo'shi
妻财午火应,qi'cai'wu'huo'ying
妻财戌土,qi'cai'xu'tu
妻财戌土世,qi'cai'xu'tu'shi
妻财戌土应,qi'cai'xu'tu'ying
妻财寅木,qi'cai'yin'mu
妻财寅木世,qi'cai'yin'mu'shi
妻财酉金,qi'cai'you'jin
妻财酉金应,qi'cai'you'jin'ying
妻财子水,qi'cai'zi'shui
妻财子水世,qi'cai'zi'shui'shi
妻财子水应,qi'cai'zi'shui'ying
乾宫八卦属金,qian'gong'ba'gua'shu'jin
乾为天,qian'wei'tian
山地剥,shan'di'bo
山风蛊,shan'feng'gu
山火贲,shan'huo'ben
山雷颐,shan'lei'yi
山水蒙,shan'shui'meng
山天大蓄,shan'tian'da'xu
山泽损,shan'ze'sun
水地比,shui'di'bi
水风井,shui'feng'jing
水火既济,shui'huo'ji'ji
水雷屯,shui'lei'tun
水山蹇,shui'shan'jian
水天需,shui'tian'xu
水泽节,shui'ze'jie
天地否,tian'di'fou
天风姤,tian'feng'du
天火同人,tian'huo'tong'ren
天雷无妄,tian'lei'wu'wang
天山遁,tian'shan'dun
天水讼,tian'shui'song
天泽履,tian'ze'lv
为泽,wei'ze
兄弟辰土,xiong'di'chen'tu
兄弟辰土世,xiong'di'chen'tu'shi
兄弟丑土,xiong'di'chou'tu
兄弟丑土世,xiong'di'chou'tu'shi
兄弟丑土应,xiong'di'chou'tu'ying
兄弟亥水,xiong'di'hai'shui
兄弟亥水世,xiong'di'hai'shui'shi
兄弟卯木,xiong'di'mao'mu
兄弟卯木世,xiong'di'mao'mu'shi
兄弟卯木应,xiong'di'mao'mu'ying
兄弟申金,xiong'di'shen'jin
兄弟申金世,xiong'di'shen'jin'shi
兄弟申金应,xiong'di'shen'jin'ying
兄弟巳火,xiong'di'si'huo
兄弟巳火世,xiong'di'si'huo'shi
兄弟巳火应,xiong'di'si'huo'ying
兄弟未土,xiong'di'wei'tu
兄弟未土世,xiong'di'wei'tu'shi
兄弟午火,xiong'di'wu'huo
兄弟午火世,xiong'di'wu'huo'shi
兄弟戌土,xiong'di'xu'tu
兄弟戌土应,xiong'di'xu'tu'ying
兄弟寅木,xiong'di'yin'mu
兄弟寅木应,xiong'di'yin'mu'ying
兄弟酉金,xiong'di'you'jin
兄弟酉金世,xiong'di'you'jin'shi
兄弟酉金应,xiong'di'you'jin'ying
兄弟子水,xiong'di'zi'shui
兄弟子水世,xiong'di'zi'shui'shi
兄弟子水应,xiong'di'zi'shui'ying
巽宫八卦属木,xun'gong'ba'gua'shu'mu
巽为风,xun'wei'feng
泽地萃,ze'di'cui
泽风大过,ze'feng'da'guo
泽火革,ze'huo'ge
泽雷随,ze'lei'sui
泽山咸,ze'shan'xian
泽水困,ze'shui'kun
泽天夬,ze'tian'guai
震宫八卦属木,zhen'gong'ba'gua'shu'mu
震为雷,zhen'wei'lei
子孙辰土,zi'sun'chen'tu
子孙辰土世,zi'sun'chen'tu'shi
子孙辰土应,zi'sun'chen'tu'ying
子孙丑土,zi'sun'chou'tu
子孙亥水,zi'sun'hai'shui
子孙亥水世,zi'sun'hai'shui'shi
子孙亥水应,zi'sun'hai'shui'ying
子孙卯木,zi'sun'mao'mu
子孙卯木应,zi'sun'mao'mu'ying
子孙申金,zi'sun'shen'jin
子孙申金世,zi'sun'shen'jin'shi
子孙申金应,zi'sun'shen'jin'ying
子孙巳火,zi'sun'si'huo
子孙巳火应,zi'sun'si'huo'ying
子孙未土,zi'sun'wei'tu
子孙未土应,zi'sun'wei'tu'ying
子孙午火,zi'sun'wu'huo
子孙午火世,zi'sun'wu'huo'shi
子孙午火应,zi'sun'wu'huo'ying
子孙戌土,zi'sun'xu'tu
子孙戌土世,zi'sun'xu'tu'shi
子孙戌土应,zi'sun'xu'tu'ying
子孙寅木,zi'sun'yin'mu
子孙寅木世,zi'sun'yin'mu'shi
子孙酉金,zi'sun'you'jin
子孙酉金世,zi'sun'you'jin'shi
子孙酉金应,zi'sun'you'jin'ying
子孙子水,zi'sun'zi'shui
子孙子水世,zi'sun'zi'shui'shi
