百鬼蝙蝠,bai'gui'bian'fu
明镜回反,ming'jing'hui'fan
明镜乱心,ming'jing'luan'xin
明镜旁观,ming'jing'pang'guan
明镜破灭,ming'jing'po'mie
明镜世界,ming'jing'shi'jie
明镜束缚,ming'jing'shu'fu
明镜乌珠,ming'jing'wu'zhu
明镜止水,ming'jing'zhi'shui
冥雷,ming'lei
冥王兽铠甲,ming'wang'shou'kai'jia
奈落,nai'luo
奈落一族,nai'luo'yi'zu
逆发之结罗,ni'fa'zhi'jie'luo
破魔符,po'mo'fu
破魔之矢,po'mo'zhi'shi
朴仙翁,pu'xian'weng
七宝,qi'bao
奇魂全满,qi'hun'quan'man
千里耳,qian'li'er
强力殴击,qiang'li'ou'ji
秋岚,qiu'lan
去除邪气,qu'chu'xie'qi
驱除邪气,qu'chu'xie'qi
曲灵,qu'ling
犬大将,quan'da'jiang
全身,quan'shen
拳头,quan'tou
犬妖,quan'yao
犬妖族,quan'yao'zu
犬夜叉,quan'ye'cha
犬夜叉的衣服,quan'ye'cha'de'yi'fu
犬族,quan'zu
人见阴刀,ren'jian'yin'dao
人类,ren'lei
人面果,ren'mian'guo
人头杖,ren'tou'zhang
日暮草太,ri'mu'cao'tai
日暮戈薇,ri'mu'ge'wei
肉身菩萨,rou'shen'pu'sa
散魂铁爪,san'hun'tie'zhua
僧侣,seng'lv
杀生丸,sha'sheng'wan
杀生丸大人,sha'sheng'wan'da'ren
杀生丸心腹手下,sha'sheng'wan'xin'fu'shou'xia
珊瑚,shan'hu
扇子,shan'zi
蛇骨,she'gu
蛇骨刀,she'gu'dao
神剑,shen'jian
神久夜,shen'jiu'ye
神乐,shen'le
神无,shen'wu
食骨之井,shi'gu'zhi'jing
守护,shou'hu
睡骨,shui'gu
瞬间移动,shun'jian'yi'dong
死魂虫,si'hun'chong
四魂值,si'hun'zhi
四魂之玉,si'hun'zhi'yu
娑罗,suo'luo
桃果人,tao'guo'ren
桃源乡,tao'yuan'xiang
天生牙,tian'sheng'ya
天生牙恢复,tian'sheng'ya'hui'fu
天生牙结界,tian'sheng'ya'jie'jie
铁碎牙,tie'sui'ya
头发,tou'fa
魍魉丸,wang'liang'wan
亡灵,wang'ling
伪装,wei'zhuang
雾骨,wu'gu
五雷指,wu'lei'zhi
无男,wu'nan
巫女,wu'nv
无女,wu'nv
无声移位,wu'sheng'yi'wei
武田藏乃介,wu'tian'cang'nai'jie
悟心鬼,wu'xin'gui
五月,wu'yue
西国统领,xi'guo'tong'ling
吸收,xi'shou
吸收灵魂,xi'shou'ling'hun
夏岚,xia'lan
小春,xiao'chun
小狐狸,xiao'hu'li
小铃,xiao'ling
小梅,xiao'mei
小胖,xiao'pang
小瞳,xiao'tong
邪见,xie'jian
邪见大人,xie'jian'da'ren
邪见爷爷,xie'jian'ye'ye
邪气无效化,xie'qi'wu'xiao'hua
星黄泉,xing'huang'quan
幸魂全满,xing'hun'quan'man
学生,xue'sheng
血玉珊瑚,xue'yu'shan'hu
炎使用者,yan'shi'yong'zhe
炎蹄,yan'ti
炎珠,yan'zhu
妖怪,yao'guai
妖怪军团首领,yao'guai'jun'tuan'shou'ling
妖狼族,yao'lang'zu
妖力再生,yao'li'zai'sheng
妖灵大圣,yao'ling'da'sheng
妖马,yao'ma
妖气弹,yao'qi'dan
医疗术,yi'liao'shu
依凭公主,yi'ping'gong'zhu
医生,yi'sheng
银骨,yin'gu
银太,yin'tai
音狱鬼,yin'yu'gui
樱花瞬身,ying'hua'shun'shen
影郎丸,ying'lang'wan
佣兵,yong'bing
用毒,yong'du
由加,you'jia
狱龙破,yu'long'po
圆子鼠,yuan'zi'shu
月黄泉,yue'huang'quan
月叶丸,yue'ye'wan
云母,yun'mu
再生,zai'sheng
炸药,zha'yao
斩杀,zhan'sha
战争时期,zhan'zheng'shi'qi
瘴气,zhang'qi
沼渡,zhao'du
召唤最猛胜,zhao'huan'zui'meng'sheng
制造分身,zhi'zao'fen'shen
铸剑师,zhu'jian'shi
猪九戒,zhu'jiu'jie
瞩目之处,zhu'mu'zhi'chu
爪子,zhua'zi
紫织,zi'zhi
诅咒反弹,zu'zhou'fan'tan
