八进制,ba'jin'zhi
换向器,huan'xiang'qi
环氧树脂,huan'yang'shu'zhi
恢复电压,hui'fu'dian'ya
辉光放电,hui'guang'fang'dian
火电厂,huo'dian'chang
火力发电站,huo'li'fa'dian'zhan
集尘室,ji'chen'shi
集成电路,ji'cheng'dian'lu
激磁绕组,ji'ci'rao'zu
继电保护,ji'dian'bao'hu
继电器,ji'dian'qi
继电器屏,ji'dian'qi'ping
集肤效应,ji'fu'xiao'ying
极性效应,ji'xing'xiao'ying
架空线,jia'kong'xian
检测阻抗,jian'ce'zu'kang
监控与数据采集,jian'kong'yu'shu'ju'cai'ji
交联聚乙烯电缆,jiao'lian'ju'yi'xi'dian'lan
交链聚乙烯电缆,jiao'lian'ju'yi'xi'dian'lan
交流电,jiao'liu'dian
交流输电系统,jiao'liu'shu'dian'xi'tong
校准,jiao'zhun
接地,jie'di
接地开关,jie'di'kai'guan
接地线,jie'di'xian
解析的,jie'xi'de
接线端子,jie'xian'duan'zi
介质常数,jie'zhi'chang'shu
介质损耗,jie'zhi'sun'hao
进相运行,jin'xiang'yun'xing
静触头,jing'chu'tou
静电电压表,jing'dian'dian'ya'biao
静态稳定性,jing'tai'wen'ding'xing
静止无功补偿,jing'zhi'wu'gong'bu'chang
局部放电,ju'bu'fang'dian
距离保护,ju'li'bao'hu
巨型水轮发电机,ju'xing'shui'lun'fa'dian'ji
局域网,ju'yu'wang
绝缘,jue'yuan
绝缘配合,jue'yuan'pei'he
绝缘子,jue'yuan'zi
均方根值,jun'fang'gen'zhi
均压环,jun'ya'huan
均匀场,jun'yun'chang
刻度量程,ke'du'liang'cheng
空间电荷,kong'jian'dian'he
空穴腔,kong'xue'qiang
快速傅立叶变换,kuai'su'fu'li'ye'bian'huan
馈线,kui'xian
老化,lao'hua
雷电波,lei'dian'bo
雷电过电压,lei'dian'guo'dian'ya
雷电计数器,lei'dian'ji'shu'qi
励磁系统,li'ci'xi'tong
励磁涌流,li'ci'yong'liu
力矩,li'ju
临界击穿电压,lin'jie'ji'chuan'dian'ya
灵活交流输电系统,ling'huo'jiao'liu'shu'dian'xi'tong
零序电流,ling'xu'dian'liu
流注击穿,liu'zhu'ji'chuan
漏磁通,lou'ci'tong
裸导线,luo'dao'xian
罗可夫斯基线圈,luo'ke'fu'si'ji'xian'quan
灭弧间隙,mie'hu'jian'xi
灭弧室,mie'hu'shi
民用电,min'yong'dian
铭牌,ming'pai
磨煤机,mo'mei'ji
母联断路器,mu'lian'duan'lu'qi
母线,mu'xian
耐受电压,nai'shou'dian'ya
耐压试验,nai'ya'shi'yan
内部放电,nei'bu'fang'dian
内燃机,nei'ran'ji
逆变器,ni'bian'qi
耦合电容,ou'he'dian'rong
爬电距离,pa'dian'ju'li
配电调度中心,pei'dian'diao'du'zhong'xin
配电盘,pei'dian'pan
配电网自动化系统,pei'dian'wang'zi'dong'hua'xi'tong
配电系统,pei'dian'xi'tong
频域,pin'yu
屏蔽,ping'bi
平均分子速度,ping'jun'fen'zi'su'du
平均自由行程,ping'jun'zi'you'xing'cheng
汽包,qi'bao
气动液压,qi'dong'ye'ya
汽轮发电机,qi'lun'fa'dian'ji
汽轮机,qi'lun'ji
气泡击穿,qi'pao'ji'chuan
气体绝缘,qi'ti'jue'yuan
气体绝缘变电站,qi'ti'jue'yuan'bian'dian'zhan
轻水反应堆,qing'shui'fan'ying'dui
球隙,qiu'xi
燃气轮机,ran'qi'lun'ji
绕组,rao'zu
绕组差动保护,rao'zu'cha'dong'bao'hu
热击穿,re'ji'chuan
熔丝,rong'si
闪络,shan'luo
稍不均匀场,shao'bu'jun'yun'chang
少油断路器,shao'you'duan'lu'qi
设备额定值,she'bei'e'ding'zhi
射频,she'pin
升降压变压器,sheng'jiang'ya'bian'ya'qi
示波器,shi'bo'qi
湿度,shi'du
十进制,shi'jin'zhi
失灵,shi'ling
十六进制,shi'liu'jin'zhi
实时电价,shi'shi'dian'jia
时域,shi'yu
视在功率,shi'zai'gong'lv
树枝放电,shu'zhi'fang'dian
数字的,shu'zi'de
数字信号处理,shu'zi'xin'hao'chu'li
甩负荷,shuai'fu'he
衰减系数,shuai'jian'xi'shu
水力发电站,shui'li'fa'dian'zhan
水轮发电机,shui'lun'fa'dian'ji
水轮机,shui'lun'ji
碎煤机,sui'mei'ji
损耗角,sun'hao'jiao
碳化硅,tan'hua'gui
炭刷,tan'shua
陶瓷绝缘子,tao'ci'jue'yuan'zi
套管,tao'guan
套管末屏接地线,tao'guan'mo'ping'jie'di'xian
特高压,te'gao'ya
调幅,tiao'fu
调频,tiao'pin
调谐电路,tiao'xie'dian'lu
调压变压器,tiao'ya'bian'ya'qi
跳闸电路,tiao'zha'dian'lu
跳闸线圈,tiao'zha'xian'quan
铁损,tie'sun
铁芯,tie'xin
同步发电机,tong'bu'fa'dian'ji
同步调相机,tong'bu'tiao'xiang'ji
铜损,tong'sun
同轴电缆,tong'zhou'dian'lan
凸极,tu'ji
退磁,tui'ci
涡流,wo'liu
无功功率,wu'gong'gong'lv
无线干扰,wu'xian'gan'rao
无源滤波器,wu'yuan'lv'bo'qi
西林电桥,xi'lin'dian'qiao
线电压,xian'dian'ya
线路保护,xian'lu'bao'hu
线路限波器,xian'lu'xian'bo'qi
线路走廊,xian'lu'zou'lang
箱体,xiang'ti
相位超前滞后,xiang'wei'chao'qian'zhi'hou
相移,xiang'yi
消弧线圈,xiao'hu'xian'quan
小扰动分析法,xiao'rao'dong'fen'xi'fa
谐波,xie'bo
谐振,xie'zhen
星角变换,xing'jiao'bian'huan
悬式绝缘子,xuan'shi'jue'yuan'zi
氧化锌,yang'hua'xin
氧化锌避雷器,yang'hua'xin'bi'lei'qi
阳极阴极,yang'ji'yin'ji
遥测,yao'ce
异步电机,yi'bu'dian'ji
移相器,yi'xiang'qi
阴极射线示波器,yin'ji'she'xian'shi'bo'qi
有功功率,you'gong'gong'lv
油浸纸绝缘,you'jin'zhi'jue'yuan
有源滤波器,you'yuan'lv'bo'qi
原动机,yuan'dong'ji
运算放大器,yun'suan'fang'da'qi
杂散电感,za'san'dian'gan
杂散电容,za'san'dian'rong
增量差动保护,zeng'liang'cha'dong'bao'hu
针板间隙,zhen'ban'jian'xi
真空断路器,zhen'kong'duan'lu'qi
整流器,zheng'liu'qi
直流保护保护,zhi'liu'bao'hu'bao'hu
直流电,zhi'liu'dian
直流发电机,zhi'liu'fa'dian'ji
支线,zhi'xian
中性点,zhong'xing'dian
主网变电站,zhu'wang'bian'dian'zhan
转分,zhuan'fen
转轴,zhuan'zhou
转子,zhuan'zi
自持放电,zi'chi'fang'dian
自动抄表,zi'dong'chao'biao
自动控制,zi'dong'kong'zhi
自动录波仪,zi'dong'lu'bo'yi
自耦变压器,zi'ou'bian'ya'qi
自藕变压器,zi'ou'bian'ya'qi
组合绝缘,zu'he'jue'yuan
阻抗保护,zu'kang'bao'hu
阻容混合分压器,zu'rong'hun'he'fen'ya'qi
