保卫处,bao'wei'chu
升达经贸管理学院,sheng'da'jing'mao'guan'li'xue'yuan
升达学院,sheng'da'xue'yuan
生物工程系,sheng'wu'gong'cheng'xi
生物系,sheng'wu'xi
数学系,shu'xue'xi
松园,song'yuan
体育系,ti'yu'xi
体育学院,ti'yu'xue'yuan
体院,ti'yuan
土木工程学院,tu'mu'gong'cheng'xue'yuan
土木学院,tu'mu'xue'yuan
团委,tuan'wei
外语学院,wai'yu'xue'yuan
外院,wai'yuan
网管中心,wang'guan'zhong'xin
网络管理中心,wang'luo'guan'li'zhong'xin
网络中心,wang'luo'zhong'xin
文学院,wen'xue'yuan
物工院,wu'gong'yuan
物理工程学院,wu'li'gong'cheng'xue'yuan
五星广场,wu'xing'guang'chang
系统科学与数学系,xi'tong'ke'xue'yu'shu'xue'xi
西亚斯,xi'ya'si
西亚斯国际学院,xi'ya'si'guo'ji'xue'yuan
西亚斯学院,xi'ya'si'xue'yuan
校办,xiao'ban
校办产业管理处,xiao'ban'chan'ye'guan'li'chu
校长办公室,xiao'zhang'ban'gong'shi
信工院,xin'gong'yuan
信管系,xin'guan'xi
新区,xin'qu
新闻与传播学院,xin'wen'yu'chuan'bo'xue'yuan
信息工程学院,xin'xi'gong'cheng'xue'yuan
信息管理系,xin'xi'guan'li'xi
新校区建设办公室,xin'xiao'qu'jian'she'ban'gong'shi
新校区综合管理中心,xin'xiao'qu'zong'he'guan'li'zhong'xin
新郑大,xin'zheng'da
新郑州大学,xin'zheng'zhou'da'xue
新传院,xin'zhuan'yuan
行政楼,xing'zheng'lou
学生处,xue'sheng'chu
学生会,xue'sheng'hui
研究生院,yan'jiu'sheng'yuan
药学院,yao'xue'yuan
医大,yi'da
一期生活区,yi'qi'sheng'huo'qu
一期生活园区,yi'qi'sheng'huo'yuan'qu
一区,yi'qu
医学检验系,yi'xue'jian'yan'xi
医学院,yi'xue'yuan
音乐系,yin'yue'xi
应用科技学院,ying'yong'ke'ji'xue'yuan
远程教育学院,yuan'cheng'jiao'yu'xue'yuan
招生办公室,zhao'sheng'ban'gong'shi
郑大,zheng'da
郑大保卫处,zheng'da'bao'wei'chu
郑大北门,zheng'da'bei'men
郑大北区,zheng'da'bei'qu
郑大北区综合管理中心,zheng'da'bei'qu'zong'he'guan'li'zhong'xin
郑大北校区,zheng'da'bei'xiao'qu
郑大北校区综合管理中心,zheng'da'bei'xiao'qu'zong'he'guan'li'zhong'xin
郑大毕业生就业指导中心,zheng'da'bi'ye'sheng'jiu'ye'zhi'dao'zhong'xin
郑大博雅湖,zheng'da'bo'ya'hu
郑大材料工程学院,zheng'da'cai'liao'gong'cheng'xue'yuan
郑大材料科学与工程学院,zheng'da'cai'liao'ke'xue'yu'gong'cheng'xue'yuan
郑大材料学院,zheng'da'cai'liao'xue'yuan
郑大财务处,zheng'da'cai'wu'chu
郑大成人教育学院,zheng'da'cheng'ren'jiao'yu'xue'yuan
郑大城市学院,zheng'da'cheng'shi'xue'yuan
郑大第二临床学院,zheng'da'di'er'lin'chuang'xue'yuan
郑大第三临床学院,zheng'da'di'san'lin'chuang'xue'yuan
郑大第一临床学院,zheng'da'di'yi'lin'chuang'xue'yuan
郑大电气学院,zheng'da'dian'qi'xue'yuan
郑大东门,zheng'da'dong'men
郑大东区综合管理中心,zheng'da'dong'qu'zong'he'guan'li'zhong'xin
郑大东校区综合管理中心,zheng'da'dong'xiao'qu'zong'he'guan'li'zhong'xin
郑大法学院,zheng'da'fa'xue'yuan
郑大佛罗里达国际学院,zheng'da'fo'luo'li'da'guo'ji'xue'yuan
郑大佛罗里达学院,zheng'da'fo'luo'li'da'xue'yuan
郑大高等教育研究所,zheng'da'gao'deng'jiao'yu'yan'jiu'suo
郑大公共管理学院,zheng'da'gong'gong'guan'li'xue'yuan
郑大公共卫生学院,zheng'da'gong'gong'wei'sheng'xue'yuan
郑大公管院,zheng'da'gong'guan'yuan
郑大工力,zheng'da'gong'li
郑大工学院,zheng'da'gong'xue'yuan
郑大管工系,zheng'da'guan'gong'xi
郑大管理工程,zheng'da'guan'li'gong'cheng
郑大管理工程系,zheng'da'guan'li'gong'cheng'xi
郑大管理系,zheng'da'guan'li'xi
郑大国际交流与合作处,zheng'da'guo'ji'jiao'liu'yu'he'zuo'chu
郑大国际教育学院,zheng'da'guo'ji'jiao'yu'xue'yuan
郑大国有资产管理处,zheng'da'guo'you'zi'chan'guan'li'chu
郑大后备军官选培办,zheng'da'hou'bei'jun'guan'xuan'pei'ban
郑大后勤管理处,zheng'da'hou'qin'guan'li'chu
郑大护理学院,zheng'da'hu'li'xue'yuan
郑大化工学院,zheng'da'hua'gong'xue'yuan
郑大化学工程学院,zheng'da'hua'xue'gong'cheng'xue'yuan
郑大化学系,zheng'da'hua'xue'xi
郑大环境与水利学院,zheng'da'huan'jing'yu'shui'li'xue'yuan
郑大环水学院,zheng'da'huan'shui'xue'yuan
郑大计划生育办公室,zheng'da'ji'hua'sheng'yu'ban'gong'shi
郑大基建处,zheng'da'ji'jian'chu
郑大机械工程学院,zheng'da'ji'xie'gong'cheng'xue'yuan
郑大机械学院,zheng'da'ji'xie'xue'yuan
郑大建筑学院,zheng'da'jian'zhu'xue'yuan
郑大教材供应中心,zheng'da'jiao'cai'gong'ying'zhong'xin
郑大教材中心,zheng'da'jiao'cai'zhong'xin
郑大教务处,zheng'da'jiao'wu'chu
郑大教学评估办公室,zheng'da'jiao'xue'ping'gu'ban'gong'shi
郑大教育技术中心,zheng'da'jiao'yu'ji'shu'zhong'xin
郑大教育学院,zheng'da'jiao'yu'xue'yuan
郑大就业指导中心,zheng'da'jiu'ye'zhi'dao'zhong'xin
郑大就业中心,zheng'da'jiu'ye'zhong'xin
郑大科研处,zheng'da'ke'yan'chu
郑大口腔医学院,zheng'da'kou'qiang'yi'xue'yuan
郑大历史学院,zheng'da'li'shi'xue'yuan
郑大离退休职工工作处,zheng'da'li'tui'xiu'zhi'gong'gong'zuo'chu
郑大临床医学系,zheng'da'lin'chuang'yi'xue'xi
郑大旅管院,zheng'da'lv'guan'yuan
郑大眉湖,zheng'da'mei'hu
郑大美术系,zheng'da'mei'shu'xi
郑大南门,zheng'da'nan'men
郑大南区,zheng'da'nan'qu
郑大南区综合管理中心,zheng'da'nan'qu'zong'he'guan'li'zhong'xin
郑大南校区,zheng'da'nan'xiao'qu
郑大南校区综合管理中心,zheng'da'nan'xiao'qu'zong'he'guan'li'zhong'xin
郑大女性维权中心,zheng'da'nv'xing'wei'quan'zhong'xin
郑大人才交流中心,zheng'da'ren'cai'jiao'liu'zhong'xin
郑大人事处,zheng'da'ren'shi'chu
郑大软件技术学院,zheng'da'ruan'jian'ji'shu'xue'yuan
郑大商学院,zheng'da'shang'xue'yuan
郑大审计处,zheng'da'shen'ji'chu
郑大升达经贸管理学院,zheng'da'sheng'da'jing'mao'guan'li'xue'yuan
郑大升达学院,zheng'da'sheng'da'xue'yuan
郑大生物工程系,zheng'da'sheng'wu'gong'cheng'xi
郑大生物系,zheng'da'sheng'wu'xi
郑大数学系,zheng'da'shu'xue'xi
郑大体育系,zheng'da'ti'yu'xi
郑大体育学院,zheng'da'ti'yu'xue'yuan
郑大体院,zheng'da'ti'yuan
郑大土木工程学院,zheng'da'tu'mu'gong'cheng'xue'yuan
郑大土木学院,zheng'da'tu'mu'xue'yuan
郑大团委,zheng'da'tuan'wei
郑大外语学院,zheng'da'wai'yu'xue'yuan
郑大外院,zheng'da'wai'yuan
郑大网管中心,zheng'da'wang'guan'zhong'xin
郑大网络管理中心,zheng'da'wang'luo'guan'li'zhong'xin
郑大网络中心,zheng'da'wang'luo'zhong'xin
郑大文学院,zheng'da'wen'xue'yuan
郑大物工院,zheng'da'wu'gong'yuan
郑大物理工程学院,zheng'da'wu'li'gong'cheng'xue'yuan
郑大西门,zheng'da'xi'men
郑大系统科学与数学系,zheng'da'xi'tong'ke'xue'yu'shu'xue'xi
郑大西亚斯国际学院,zheng'da'xi'ya'si'guo'ji'xue'yuan
郑大西亚斯学院,zheng'da'xi'ya'si'xue'yuan
郑大校办,zheng'da'xiao'ban
郑大校办产业管理处,zheng'da'xiao'ban'chan'ye'guan'li'chu
郑大校长办公室,zheng'da'xiao'zhang'ban'gong'shi
郑大信工院,zheng'da'xin'gong'yuan
郑大信管系,zheng'da'xin'guan'xi
郑大新区,zheng'da'xin'qu
郑大新区综合管理中心,zheng'da'xin'qu'zong'he'guan'li'zhong'xin
郑大信息工程学院,zheng'da'xin'xi'gong'cheng'xue'yuan
郑大信息管理系,zheng'da'xin'xi'guan'li'xi
郑大新校区,zheng'da'xin'xiao'qu
郑大新校区建设办公室,zheng'da'xin'xiao'qu'jian'she'ban'gong'shi
郑大新校区综合管理中心,zheng'da'xin'xiao'qu'zong'he'guan'li'zhong'xin
郑大新传院,zheng'da'xin'zhuan'yuan
郑大学生处,zheng'da'xue'sheng'chu
郑大学生会,zheng'da'xue'sheng'hui
郑大研究生院,zheng'da'yan'jiu'sheng'yuan
郑大药学院,zheng'da'yao'xue'yuan
郑大医学检验系,zheng'da'yi'xue'jian'yan'xi
郑大医学院,zheng'da'yi'xue'yuan
郑大音乐系,zheng'da'yin'yue'xi
郑大应用科技学院,zheng'da'ying'yong'ke'ji'xue'yuan
郑大远程教育学院,zheng'da'yuan'cheng'jiao'yu'xue'yuan
郑大招生办,zheng'da'zhao'sheng'ban
郑大招生办公室,zheng'da'zhao'sheng'ban'gong'shi
郑大中华园,zheng'da'zhong'hua'yuan
郑大钟楼,zheng'da'zhong'lou
郑大综合管理中心,zheng'da'zong'he'guan'li'zhong'xin
郑工,zheng'gong
郑工大,zheng'gong'da
郑州大学,zheng'zhou'da'xue
郑州大学保卫处,zheng'zhou'da'xue'bao'wei'chu
郑州大学北大门,zheng'zhou'da'xue'bei'da'men
郑州大学北校区,zheng'zhou'da'xue'bei'xiao'qu
郑州大学北校区综合管理中心,zheng'zhou'da'xue'bei'xiao'qu'zong'he'guan'li'zhong'xin
郑州大学毕业生就业指导中心,zheng'zhou'da'xue'bi'ye'sheng'jiu'ye'zhi'dao'zhong'xin
郑州大学博雅湖,zheng'zhou'da'xue'bo'ya'hu
郑州大学材料工程学院,zheng'zhou'da'xue'cai'liao'gong'cheng'xue'yuan
郑州大学材料科学与工程学院,zheng'zhou'da'xue'cai'liao'ke'xue'yu'gong'cheng'xue'yuan
郑州大学材料学院,zheng'zhou'da'xue'cai'liao'xue'yuan
郑州大学财务处,zheng'zhou'da'xue'cai'wu'chu
郑州大学成人教育学院,zheng'zhou'da'xue'cheng'ren'jiao'yu'xue'yuan
郑州大学城市学院,zheng'zhou'da'xue'cheng'shi'xue'yuan
郑州大学第二临床学院,zheng'zhou'da'xue'di'er'lin'chuang'xue'yuan
郑州大学第三临床学院,zheng'zhou'da'xue'di'san'lin'chuang'xue'yuan
郑州大学第一临床学院,zheng'zhou'da'xue'di'yi'lin'chuang'xue'yuan
郑州大学电气工程学院,zheng'zhou'da'xue'dian'qi'gong'cheng'xue'yuan
郑州大学电气学院,zheng'zhou'da'xue'dian'qi'xue'yuan
郑州大学东大门,zheng'zhou'da'xue'dong'da'men
郑州大学东校区,zheng'zhou'da'xue'dong'xiao'qu
郑州大学东校区综合管理中心,zheng'zhou'da'xue'dong'xiao'qu'zong'he'guan'li'zhong'xin
郑州大学法学院,zheng'zhou'da'xue'fa'xue'yuan
郑州大学佛罗里达国际学院,zheng'zhou'da'xue'fo'luo'li'da'guo'ji'xue'yuan
郑州大学佛罗里达学院,zheng'zhou'da'xue'fo'luo'li'da'xue'yuan
郑州大学高等教育研究所,zheng'zhou'da'xue'gao'deng'jiao'yu'yan'jiu'suo
郑州大学工程力学系,zheng'zhou'da'xue'gong'cheng'li'xue'xi
郑州大学公共管理学院,zheng'zhou'da'xue'gong'gong'guan'li'xue'yuan
郑州大学公共卫生学院,zheng'zhou'da'xue'gong'gong'wei'sheng'xue'yuan
郑州大学公管院,zheng'zhou'da'xue'gong'guan'yuan
郑州大学工学院,zheng'zhou'da'xue'gong'xue'yuan
郑州大学管工系,zheng'zhou'da'xue'guan'gong'xi
郑州大学管理工程,zheng'zhou'da'xue'guan'li'gong'cheng
郑州大学管理工程系,zheng'zhou'da'xue'guan'li'gong'cheng'xi
郑州大学管理系,zheng'zhou'da'xue'guan'li'xi
郑州大学国际交流与合作处,zheng'zhou'da'xue'guo'ji'jiao'liu'yu'he'zuo'chu
郑州大学国际教育学院,zheng'zhou'da'xue'guo'ji'jiao'yu'xue'yuan
郑州大学国有资产管理处,zheng'zhou'da'xue'guo'you'zi'chan'guan'li'chu
郑州大学后备军官选培办,zheng'zhou'da'xue'hou'bei'jun'guan'xuan'pei'ban
郑州大学后勤管理处,zheng'zhou'da'xue'hou'qin'guan'li'chu
郑州大学护理学院,zheng'zhou'da'xue'hu'li'xue'yuan
郑州大学化工学院,zheng'zhou'da'xue'hua'gong'xue'yuan
郑州大学化学工程学院,zheng'zhou'da'xue'hua'xue'gong'cheng'xue'yuan
郑州大学化学系,zheng'zhou'da'xue'hua'xue'xi
郑州大学环境与水利学院,zheng'zhou'da'xue'huan'jing'yu'shui'li'xue'yuan
郑州大学环水学院,zheng'zhou'da'xue'huan'shui'xue'yuan
郑州大学计划生育办公室,zheng'zhou'da'xue'ji'hua'sheng'yu'ban'gong'shi
郑州大学基建处,zheng'zhou'da'xue'ji'jian'chu
郑州大学机械工程学院,zheng'zhou'da'xue'ji'xie'gong'cheng'xue'yuan
郑州大学机械学院,zheng'zhou'da'xue'ji'xie'xue'yuan
郑州大学建筑学院,zheng'zhou'da'xue'jian'zhu'xue'yuan
郑州大学教材供应中心,zheng'zhou'da'xue'jiao'cai'gong'ying'zhong'xin
郑州大学教材中心,zheng'zhou'da'xue'jiao'cai'zhong'xin
郑州大学教务处,zheng'zhou'da'xue'jiao'wu'chu
郑州大学教学评估办公室,zheng'zhou'da'xue'jiao'xue'ping'gu'ban'gong'shi
郑州大学教育技术中心,zheng'zhou'da'xue'jiao'yu'ji'shu'zhong'xin
郑州大学教育学院,zheng'zhou'da'xue'jiao'yu'xue'yuan
郑州大学就业指导中心,zheng'zhou'da'xue'jiu'ye'zhi'dao'zhong'xin
郑州大学科研处,zheng'zhou'da'xue'ke'yan'chu
郑州大学口腔医学院,zheng'zhou'da'xue'kou'qiang'yi'xue'yuan
郑州大学历史学院,zheng'zhou'da'xue'li'shi'xue'yuan
郑州大学离退休职工工作处,zheng'zhou'da'xue'li'tui'xiu'zhi'gong'gong'zuo'chu
郑州大学临床医学系,zheng'zhou'da'xue'lin'chuang'yi'xue'xi
郑州大学旅管院,zheng'zhou'da'xue'lv'guan'yuan
郑州大学旅游管理学院,zheng'zhou'da'xue'lv'you'guan'li'xue'yuan
郑州大学眉湖,zheng'zhou'da'xue'mei'hu
郑州大学美术系,zheng'zhou'da'xue'mei'shu'xi
郑州大学南大门,zheng'zhou'da'xue'nan'da'men
郑州大学南校区,zheng'zhou'da'xue'nan'xiao'qu
郑州大学南校区综合管理中心,zheng'zhou'da'xue'nan'xiao'qu'zong'he'guan'li'zhong'xin
郑州大学女性维权中心,zheng'zhou'da'xue'nv'xing'wei'quan'zhong'xin
郑州大学人才交流中心,zheng'zhou'da'xue'ren'cai'jiao'liu'zhong'xin
郑州大学人事处,zheng'zhou'da'xue'ren'shi'chu
郑州大学软件技术学院,zheng'zhou'da'xue'ruan'jian'ji'shu'xue'yuan
郑州大学商学院,zheng'zhou'da'xue'shang'xue'yuan
郑州大学审计处,zheng'zhou'da'xue'shen'ji'chu
郑州大学升达经贸管理学院,zheng'zhou'da'xue'sheng'da'jing'mao'guan'li'xue'yuan
郑州大学升达学院,zheng'zhou'da'xue'sheng'da'xue'yuan
郑州大学生物工程系,zheng'zhou'da'xue'sheng'wu'gong'cheng'xi
郑州大学生物系,zheng'zhou'da'xue'sheng'wu'xi
郑州大学数学系,zheng'zhou'da'xue'shu'xue'xi
郑州大学体育系,zheng'zhou'da'xue'ti'yu'xi
郑州大学体育学院,zheng'zhou'da'xue'ti'yu'xue'yuan
郑州大学土木工程学院,zheng'zhou'da'xue'tu'mu'gong'cheng'xue'yuan
郑州大学土木学院,zheng'zhou'da'xue'tu'mu'xue'yuan
郑州大学团委,zheng'zhou'da'xue'tuan'wei
郑州大学外语学院,zheng'zhou'da'xue'wai'yu'xue'yuan
郑州大学外院,zheng'zhou'da'xue'wai'yuan
郑州大学网管中心,zheng'zhou'da'xue'wang'guan'zhong'xin
郑州大学网络管理中心,zheng'zhou'da'xue'wang'luo'guan'li'zhong'xin
郑州大学网络中心,zheng'zhou'da'xue'wang'luo'zhong'xin
郑州大学文学院,zheng'zhou'da'xue'wen'xue'yuan
郑州大学物工院,zheng'zhou'da'xue'wu'gong'yuan
郑州大学物理工程学院,zheng'zhou'da'xue'wu'li'gong'cheng'xue'yuan
郑州大学西大门,zheng'zhou'da'xue'xi'da'men
郑州大学系统科学与数学系,zheng'zhou'da'xue'xi'tong'ke'xue'yu'shu'xue'xi
郑州大学西亚斯国际学院,zheng'zhou'da'xue'xi'ya'si'guo'ji'xue'yuan
郑州大学西亚斯学院,zheng'zhou'da'xue'xi'ya'si'xue'yuan
郑州大学校办,zheng'zhou'da'xue'xiao'ban
郑州大学校办产业管理处,zheng'zhou'da'xue'xiao'ban'chan'ye'guan'li'chu
郑州大学校长办公室,zheng'zhou'da'xue'xiao'zhang'ban'gong'shi
郑州大学信工院,zheng'zhou'da'xue'xin'gong'yuan
郑州大学信管系,zheng'zhou'da'xue'xin'guan'xi
郑州大学新闻与传播学院,zheng'zhou'da'xue'xin'wen'yu'chuan'bo'xue'yuan
郑州大学信息工程学院,zheng'zhou'da'xue'xin'xi'gong'cheng'xue'yuan
郑州大学信息管理系,zheng'zhou'da'xue'xin'xi'guan'li'xi
郑州大学新校区,zheng'zhou'da'xue'xin'xiao'qu
郑州大学新校区建设办公室,zheng'zhou'da'xue'xin'xiao'qu'jian'she'ban'gong'shi
郑州大学新校区综合管理中心,zheng'zhou'da'xue'xin'xiao'qu'zong'he'guan'li'zhong'xin
郑州大学学生处,zheng'zhou'da'xue'xue'sheng'chu
郑州大学学生会,zheng'zhou'da'xue'xue'sheng'hui
郑州大学研究生院,zheng'zhou'da'xue'yan'jiu'sheng'yuan
郑州大学药学院,zheng'zhou'da'xue'yao'xue'yuan
郑州大学医学检验系,zheng'zhou'da'xue'yi'xue'jian'yan'xi
郑州大学医学院,zheng'zhou'da'xue'yi'xue'yuan
郑州大学音乐系,zheng'zhou'da'xue'yin'yue'xi
郑州大学应用科技学院,zheng'zhou'da'xue'ying'yong'ke'ji'xue'yuan
郑州大学远程教育学院,zheng'zhou'da'xue'yuan'cheng'jiao'yu'xue'yuan
郑州大学招生办,zheng'zhou'da'xue'zhao'sheng'ban
郑州大学招生办公室,zheng'zhou'da'xue'zhao'sheng'ban'gong'shi
郑州大学中华园,zheng'zhou'da'xue'zhong'hua'yuan
郑州大学钟楼,zheng'zhou'da'xue'zhong'lou
郑州大学综合管理中心,zheng'zhou'da'xue'zong'he'guan'li'zhong'xin
郑州工业大学,zheng'zhou'gong'ye'da'xue
中华园,zhong'hua'yuan
钟楼,zhong'lou
综合管理中心,zong'he'guan'li'zhong'xin
