阿波罗格拉斯,a'bo'luo'ge'la'si
大和敢助,da'he'gan'zhu
大泷警官,da'long'jing'guan
大上祝善,da'shang'zhu'shan
大神敬晴,da'shen'jing'qing
大鹰和洋,da'ying'he'yang
岛本须美,dao'ben'xu'mei
岛袋君惠,dao'dai'jun'hui
岛明日香,dao'ming'ri'xiang
岛正和,dao'zheng'he
帝丹公主,di'dan'gong'zhu
荻原,di'yuan
冬城幻阳,dong'cheng'huan'yang
东尾玛丽亚,dong'wei'ma'li'ya
豆垣妙子,dou'yuan'miao'zi
杜松子酒,du'song'zi'jiu
二阶堂,er'jie'tang
二阶堂优次,er'jie'tang'you'ci
妃英理,fei'ying'li
峰莉亚,feng'li'ya
服部静华,fu'bu'jing'hua
服部平藏,fu'bu'ping'cang
服部平次,fu'bu'ping'ci
福井柚嬉,fu'jing'you'xi
芙莎绘,fu'sha'hui
芙莎绘坎贝尔木之下,fu'sha'hui'kan'bei'er'mu'zhi'xia
伏特加,fu'te'jia
冈谷典子,gang'gu'dian'zi
高岛雅罗,gao'dao'ya'luo
高木长介,gao'mu'chang'jie
高木涉,gao'mu'she
高桥厚,gao'qiao'hou
高杉俊彦,gao'shan'jun'yan
高山南,gao'shan'nan
高畑响子,gao'tian'xiang'zi
根岸正树,gen'an'zheng'shu
宫坂裕弥,gong'ban'yu'mi
宫本由美,gong'ben'you'mei
宫村优子,gong'cun'you'zi
工藤新一,gong'teng'xin'yi
工藤有希子,gong'teng'you'xi'zi
工藤优作,gong'teng'you'zuo
宫野艾莲娜,gong'ye'ai'lian'na
宫野爱琳娜,gong'ye'ai'lin'na
宫野厚司,gong'ye'hou'si
宫野明美,gong'ye'ming'mei
宫野志保,gong'ye'zhi'bao
沟端理子,gou'duan'li'zi
谷川登志夫,gu'chuan'deng'zhi'fu
谷晶子,gu'jing'zi
怪盗基德,guai'dao'ji'de
关根光子,guan'gen'guang'zi
广田健三,guang'tian'jian'san
广田明,guang'tian'ming
广田雅美,guang'tian'ya'mei
広田雅美,guang'tian'ya'mei
广田正巳,guang'tian'zheng'si
桧山修之,gui'shan'xiu'zhi
鬼丸,gui'wan
桧原光,gui'yuan'guang
国末照明,guo'mo'zhao'ming
哈迪斯,ha'di'si
黑川智花,hei'chuan'zhi'hua
黑羽盗一,hei'yu'dao'yi
黑羽快斗,hei'yu'kuai'dou
横沟参悟,heng'gou'can'wu
横沟重悟,heng'gou'zhong'wu
鸿上舞衣,hong'shang'wu'yi
后藤贵雄,hou'teng'gui'xiong
虎仓悦子,hu'cang'yue'zi
灰原哀,hui'yuan'ai
基安蒂,ji'an'di
吉诺格拉斯,ji'nuo'ge'la'si
吉田步美,ji'tian'bu'mei
姬野弥生,ji'ye'mi'sheng
榎本杉人,jia'ben'shan'ren
榎本梓,jia'ben'zi
加纳照也,jia'na'zhao'ye
剑崎修,jian'qi'xiu
间熊笃,jian'xiong'du
降谷零,jiang'gu'ling
江户川柯南,jiang'hu'chuan'ke'nan
江户川文代,jiang'hu'chuan'wen'dai
江原时男,jiang'yuan'shi'nan
京极真,jing'ji'zhen
井上和彦,jing'shang'he'yan
酒井夏树,jiu'jing'xia'shu
九十九文乃,jiu'shi'jiu'wen'nai
九条玲子,jiu'tiao'ling'zi
久住舞子,jiu'zhu'wu'zi
居由希子,ju'you'xi'zi
橘真夜,ju'zhen'ye
崛川亮,jue'chuan'liang
卡尔瓦多斯,ka'er'wa'duo'si
科恩,ke'en
克里斯,ke'li'si
苦艾酒,ku'ai'jiu
堀秀行,ku'xiu'xing
堀越由美,ku'yue'you'mei
堀之纪,ku'zhi'ji
跨国犯罪组织,kua'guo'fan'zui'zu'zhi
拉迪修雷伍得,la'di'xiu'lei'wu'de
拉迪修伍雷德,la'di'xiu'wu'lei'de
濑户瑞纪,lai'hu'rui'ji
朗姆,lang'mu
雷卡提斯,lei'ka'ti'si
笠仓那海,li'cang'na'hai
立川千鹤,li'chuan'qian'he
立木文彦,li'mu'wen'yan
立原冬马,li'yuan'dong'ma
立原冬美,li'yuan'dong'mei
林原惠美,lin'yuan'hui'mei
绫城行雄,ling'cheng'xing'xiong
铃木次郎吉,ling'mu'ci'lang'ji
铃木绫子,ling'mu'ling'zi
铃木朋子,ling'mu'peng'zi
铃木史郎,ling'mu'shi'lang
铃木园子,ling'mu'yuan'zi
绫小路文麿,ling'xiao'lu'wen'mi
六田,liu'tian
龙舌兰,long'she'lan
鲁邦三世,lu'bang'san'shi
鹿角刚士,lu'jiao'gang'shi
鹿野修二,lu'ye'xiu'er
鹭沼升,lu'zhao'sheng
绿川库拉拉,lv'chuan'ku'la'la
麻生成实,ma'sheng'cheng'shi
麻生圭二,ma'sheng'gui'er
毛利兰,mao'li'lan
毛利小五郎,mao'li'xiao'wu'lang
茂木遥史,mao'mu'yao'shi
米拉公主,mi'la'gong'zhu
米奈芭格拉斯,mi'nai'ba'ge'la'si
密涅瓦格拉斯,mi'nie'wa'ge'la'si
米原樱子,mi'yuan'ying'zi
鸣滝茧,ming'long'jian
名取深汐,ming'qu'shen'xi
明石宽人,ming'shi'kuan'ren
明智文代,ming'zhi'wen'dai
木岛久,mu'dao'jiu
目暮绿,mu'mu'lv
目暮十三,mu'mu'shi'san
牧树里,mu'shu'li
木下明子,mu'xia'ming'zi
木俣泉,mu'yu'quan
木之下吉郎,mu'zhi'xia'ji'lang
楠田陆道,nan'tian'lu'dao
内田麻美,nei'tian'ma'mei
匹斯可,pi'si'ke
片冈纯,pian'gang'chun
片桐枫,pian'tong'feng
平栋堂次,ping'dong'tang'ci
平良伊江,ping'liang'yi'jiang
坪内勇平,ping'nei'yong'ping
浦思青兰,pu'si'qing'lan
籏本武,qi'ben'wu
籏本夏江,qi'ben'xia'jiang
籏本一郎,qi'ben'yi'lang
七川绚,qi'chuan'xuan
七尾,qi'wei
千草拉拉,qian'cao'la'la
千贺铃,qian'he'ling
千间降代,qian'jian'jiang'dai
前田聪,qian'tian'cong
钱形幸一,qian'xing'xing'yi
千叶警官,qian'ye'jing'guan
千叶一伸,qian'ye'yi'shen
浅沼洋子,qian'zhao'yang'zi
枪田郁美,qiang'tian'yu'mei
琴酒,qin'jiu
青岛全代,qing'dao'quan'dai
青山刚昌,qing'shan'gang'chang
清水丽子,qing'shui'li'zi
晴月光太郎,qing'yue'guang'tai'lang
秋庭怜子,qiu'ting'lian'zi
萩原研二,qiu'yuan'yan'er
犬伏幸姬,quan'fu'xing'ji
仁野环,ren'ye'huan
日向幸,ri'xiang'xing
若松耕平,ruo'song'geng'ping
撒旦鬼冢,sa'dan'gui'zhong
三池苗子,san'chi'miao'zi
三船,san'chuan
三船拓也,san'chuan'tuo'ye
三好麻子,san'hao'ma'zi
三井圭一,san'jing'gui'yi
三上铃,san'shang'ling
三泽,san'ze
三枝夕夏,san'zhi'xi'xia
涩谷夏子,se'gu'xia'zi
森谷帝二,sen'gu'di'er
莎朗,sha'lang
山岸荣,shan'an'rong
杉本优,shan'ben'you
山部浩一,shan'bu'hao'yi
山村操,shan'cun'cao
山村刑事,shan'cun'xing'shi
山口胜平,shan'kou'sheng'ping
山崎和佳奈,shan'qi'he'jia'nai
山森慎三,shan'sen'shen'san
山尾溪介,shan'wei'xi'jie
上木彩矢,shang'mu'cai'shi
上条秀子,shang'tiao'xiu'zi
上原由衣,shang'yuan'you'yi
设乐莲希,she'le'lian'xi
神谷明,shen'gu'ming
榊良辅,shen'liang'fu
神鸟蝶子,shen'niao'die'zi
枡山宪三,sheng'shan'xian'san
石川遥,shi'chuan'yao
时津润哉,shi'jin'run'zai
世良真纯,shi'liang'zhen'chun
守口智,shou'kou'zhi
水谷浩介,shui'gu'hao'jie
水无怜奈,shui'wu'lian'nai
水无伶奈,shui'wu'ling'nai
四井,si'jing
寺井黄之助,si'jing'huang'zhi'zhu
寺原麻理,si'yuan'ma'li
松本清长,song'ben'qing'chang
松本小百合,song'ben'xiao'bai'he
松井菜樱子,song'jing'cai'ying'zi
松田阵平,song'tian'zhen'ping
苏芳红子,su'fang'hong'zi
苏格兰威士忌,su'ge'lan'wei'shi'ji
素江,su'jiang
堂本秋成,tang'ben'qiu'cheng
汤屋墩子,tang'wu'dun'zi
桃井惠子,tao'jing'hui'zi
藤峰有希子,teng'feng'you'xi'zi
藤崎直,teng'qi'zhi
鹈泽恒夫,ti'ze'heng'fu
田布施阳菜,tian'bu'shi'yang'cai
天马纯,tian'ma'chun
天野继美,tian'ye'ji'mei
田中秀幸,tian'zhong'xiu'xing
田中伊和江,tian'zhong'yi'he'jiang
铁剑十郎,tie'jian'shi'lang
铁刃,tie'ren
土井垣琉璃,tu'jing'yuan'liu'li
土门康辉,tu'men'kang'hui
吞口重彦,tun'kou'zhong'yan
丸传次郎,wan'chuan'ci'lang
武藤岳彦,wu'teng'yue'yan
五条,wu'tiao
乌丸莲耶,wu'wan'lian'ye
西村警部,xi'cun'jing'bu
西斯弗洛克哈特,xi'si'fu'luo'ke'ha'te
下川美娜,xia'chuan'mei'na
下笠美奈穗,xia'li'mei'nai'sui
香阪夏美,xiang'ban'xia'mei
香取茜,xiang'qu'qian
香缇,xiang'ti
香田杜夫,xiang'tian'du'fu
香椎由宇,xiang'zhui'you'yu
小岛元太,xiao'dao'yuan'tai
小泉红子,xiao'quan'hong'zi
小山茉美,xiao'shan'mo'mei
小松未步,xiao'song'wei'bu
小田切敏郎,xiao'tian'qie'min'lang
小野田惠太,xiao'ye'tian'hui'tai
小早川公子,xiao'zao'chuan'gong'zi
新出智明,xin'chu'zhi'ming
新名香保里,xin'ming'xiang'bao'li
新庄真纪,xin'zhuang'zhen'ji
星河童吾,xing'he'tong'wu
星野辉美,xing'ye'hui'mei
绪方贤一,xu'fang'xian'yi
鸭井五十吉,ya'jing'wu'shi'ji
亚森罗宾,ya'sen'luo'bin
雅原煌,ya'yuan'huang
盐田平八郎,yan'tian'ping'ba'lang
盐泽兼人,yan'ze'jian'ren
伊达航,yi'da'hang
伊达航榎,yi'da'hang'jia
伊东惠,yi'dong'hui
伊东末彦,yi'dong'mo'yan
伊森本堂,yi'sen'ben'tang
一条成优子,yi'tiao'cheng'you'zi
伊武雅刀,yi'wu'ya'dao
一枝,yi'zhi
伊织,yi'zhi
樱三十郎,ying'san'shi'lang
樱庭佑司,ying'ting'you'si
雨城琉璃,yu'cheng'liu'li
雨宫祥子,yu'gong'xiang'zi
雨宫勇气,yu'gong'yong'qi
羽贺响辅,yu'he'xiang'fu
猿渡秀朗,yuan'du'xiu'lang
圆谷朝美,yuan'gu'chao'mei
圆谷光彦,yuan'gu'guang'yan
原佳佑,yuan'jia'you
远山和叶,yuan'shan'he'ye
远山警官,yuan'shan'jing'guan
远野瑞树,yuan'ye'rui'shu
越水七槻,yue'shui'qi'gui
岳野雪,yue'ye'xue
杂贺又三郎,za'he'you'san'lang
泽春菜穗美,ze'chun'cai'sui'mei
泽木公平,ze'mu'gong'ping
詹姆斯布莱克,zhan'mu'si'bu'lai'ke
沼渊己一郎,zhao'yuan'ji'yi'lang
沼渊已一郎,zhao'yuan'yi'yi'lang
珍妮贝蒂,zhen'ni'bei'di
真田贵大,zhen'tian'gui'da
真田一三,zhen'tian'yi'san
正影,zheng'ying
中北枫,zhong'bei'feng
冢本数美,zhong'ben'shu'mei
中道和志,zhong'dao'he'zhi
中岛英明,zhong'dao'ying'ming
中冈一雅,zhong'gang'yi'ya
中森青子,zhong'sen'qing'zi
中森银三,zhong'sen'yin'san
重松明男,zhong'song'ming'nan
猪保满雄,zhu'bao'man'xiong
茱蒂圣提米利翁,zhu'di'sheng'ti'mi'li'weng
茱蒂斯泰琳,zhu'di'si'tai'lin
诸星登志夫,zhu'xing'deng'zhi'fu
庄堂唯佳,zhuang'tang'wei'jia
紫条丽华,zi'tiao'li'hua
佐久法史,zuo'jiu'fa'shi
佐山明子,zuo'shan'ming'zi
佐藤美和子,zuo'teng'mei'he'zi
