安家庄乡,an'jia'zhuang'xiang
东城街街道,dong'cheng'jie'jie'dao
东城乡,dong'cheng'xiang
董村镇,dong'cun'zhen
东村镇,dong'cun'zhen
东坊城乡,dong'fang'cheng'xiang
董封乡,dong'feng'xiang
东观镇,dong'guan'zhen
东关镇,dong'guan'zhen
东郭镇,dong'guo'zhen
东河南镇,dong'he'nan'zhen
东和乡,dong'he'xiang
东湖乡,dong'hu'xiang
东黄水镇,dong'huang'shui'zhen
东会乡,dong'hui'xiang
东回镇,dong'hui'zhen
东街街道,dong'jie'jie'dao
东井岭乡,dong'jing'ling'xiang
东口乡,dong'kou'xiang
东雷乡,dong'lei'xiang
东粱乡,dong'liang'xiang
东楼乡,dong'lou'xiang
东垆乡,dong'lu'xiang
东马坊乡,dong'ma'fang'xiang
东南街道,dong'nan'jie'dao
东坡底乡,dong'po'di'xiang
东曲街道,dong'qu'jie'dao
东泉镇,dong'quan'zhen
东山乡,dong'shan'xiang
东社街道,dong'she'jie'dao
东社镇,dong'she'zhen
东寺头乡,dong'si'tou'xiang
东小村镇,dong'xiao'cun'zhen
东秀庄乡,dong'xiu'zhuang'xiang
东阳关镇,dong'yang'guan'zhen
东阳镇,dong'yang'zhen
东冶头镇,dong'ye'tou'zhen
东冶镇,dong'ye'zhen
东于镇,dong'yu'zhen
东寨镇,dong'zhai'zhen
东张镇,dong'zhang'zhen
东赵乡,dong'zhao'xiang
东镇镇,dong'zhen'zhen
豆村镇,dou'cun'zhen
豆罗镇,dou'luo'zhen
陡坡乡,dou'po'xiang
杜村乡,du'cun'xiang
杜儿坪街道,du'er'ping'jie'dao
杜家村镇,du'jia'cun'zhen
杜家庄乡,du'jia'zhuang'xiang
杜交曲镇,du'jiao'qu'zhen
杜马乡,du'ma'xiang
独峪乡,du'yu'xiang
杜庄乡,du'zhuang'xiang
段纯镇,duan'chun'zhen
段村镇,duan'cun'zhen
段店乡,duan'dian'xiang
段家堡乡,duan'jia'bao'xiang
段家寨乡,duan'jia'zhai'xiang
段柳乡,duan'liu'xiang
端氏镇,duan'shi'zhen
兑镇镇,dui'zhen'zhen
对竹镇,dui'zhu'zhen
敦化坊街道,dun'hua'fang'jie'dao
夺火乡镇,duo'huo'xiang'zhen
鹅城镇,e'cheng'zhen
恶虎滩乡,e'hu'tan'xiang
峨口镇,e'kou'zhen
鹅屋乡,e'wu'xiang
法中乡,fa'zhong'xiang
繁城镇,fan'cheng'zhen
樊村河乡,fan'cun'he'xiang
范村镇,fan'cun'zhen
樊村镇,fan'cun'zhen
繁峙,fan'shi
繁峙县,fan'shi'xian
方山,fang'shan
方山县,fang'shan'xian
汾城镇,fen'cheng'zhen
汾河街道,fen'he'jie'dao
分水岭乡,fen'shui'ling'xiang
汾西,fen'xi
汾西县,fen'xi'xian
汾阳,fen'yang
汾阳市,fen'yang'shi
凤城乡,feng'cheng'xiang
凤城镇,feng'cheng'zhen
冯村乡,feng'cun'xiang
凤凰城镇,feng'huang'cheng'zhen
凤凰镇,feng'huang'zhen
冯家川乡,feng'jia'chuan'xiang
风陵渡镇,feng'ling'du'zhen
丰润镇,feng'run'zhen
凤山街道,feng'shan'jie'dao
丰宜镇,feng'yi'zhen
峰峪乡,feng'yu'xiang
丰州镇,feng'zhou'zhen
附城镇,fu'cheng'zhen
府城镇,fu'cheng'zhen
浮山,fu'shan
浮山县,fu'shan'xian
福善庄乡,fu'shan'zhuang'xiang
盖家庄乡,gai'jia'zhuang'xiang
甘亭镇,gan'ting'zhen
高城乡,gao'cheng'xiang
高村乡,gao'cun'xiang
高都镇,gao'du'zhen
高家堡乡,gao'jia'bao'xiang
高家村镇,gao'jia'cun'zhen
高家沟乡,gao'jia'gou'xiang
高家会乡,gao'jia'hui'xiang
皋落乡,gao'luo'xiang
皋落镇,gao'luo'zhen
高平,gao'ping
高平市,gao'ping'shi
高山镇,gao'shan'zhen
高石庄乡,gao'shi'zhuang'xiang
高显镇,gao'xian'zhen
高阳镇,gao'yang'zhen
圪达上乡,ge'da'shang'xiang
阁底乡,ge'di'xiang
圪洞镇,ge'dong'zhen
阁上乡,ge'shang'xiang
耿镇镇,geng'zhen'zhen
沟南乡,gou'nan'xiang
古城街道,gu'cheng'jie'dao
古城镇,gu'cheng'zhen
故城镇,gu'cheng'zhen
古店镇,gu'dian'zhen
古韩镇,gu'han'zhen
古绛镇,gu'jiang'zhen
古交,gu'jiao
古交市,gu'jiao'shi
古郊乡,gu'jiao'xiang
古交镇,gu'jiao'zhen
固隆乡,gu'long'xiang
鼓楼街道,gu'lou'jie'dao
鼓楼西街街道,gu'lou'xi'jie'jie'dao
谷前堡镇,gu'qian'bao'zhen
古陶镇,gu'tao'zhen
古魏镇,gu'wei'zhen
古县,gu'xian
故县街道,gu'xian'jie'dao
古县乡,gu'xian'xiang
固贤乡,gu'xian'xiang
固县乡,gu'xian'xiang
故县乡,gu'xian'xiang
古县镇,gu'xian'zhen
故县镇,gu'xian'zhen
古阳镇,gu'yang'zhen
瓜园乡,gua'yuan'xiang
拐儿镇,guai'er'zhen
官地街道,guan'di'jie'dao
官儿乡,guan'er'xiang
管家堡乡,guan'jia'bao'xiang
冠山镇,guan'shan'zhen
官滩乡,guan'tan'xiang
管头镇,guan'tou'zhen
关王庙乡,guan'wang'miao'xiang
光华乡,guang'hua'xiang
光华镇,guang'hua'zhen
广灵,guang'ling
广灵县,guang'ling'xian
光社街道,guang'she'jie'dao
广胜寺镇,guang'sheng'si'zhen
光裕堡乡,guang'yu'bao'xiang
贵石沟街道,gui'shi'gou'jie'dao
郭村镇,guo'cun'zhen
郭道镇,guo'dao'zhen
郭家堡乡,guo'jia'bao'xiang
郭家窑乡,guo'jia'yao'xiang
郭家庄镇,guo'jia'zhuang'zhen
崞阳镇,guo'yang'zhen
海北头乡,hai'bei'tou'xiang
韩北乡,han'bei'xiang
韩店镇,han'dian'zhen
韩洪乡,han'hong'xiang
韩家川乡,han'jia'chuan'xiang
韩家楼乡,han'jia'lou'xiang
寒王乡,han'wang'xiang
汉薛镇,han'xue'zhen
韩阳镇,han'yang'zhen
郝北镇,hao'bei'zhen
郝家庄乡,hao'jia'zhuang'xiang
郝庄乡,hao'zhuang'xiang
郝庄镇,hao'zhuang'zhen
河北镇,he'bei'zhen
河边镇,he'bian'zhen
和川镇,he'chuan'zhen
河底乡,he'di'xiang
河底镇,he'di'zhen
和合乡,he'he'xiang
何家堡乡,he'jia'bao'xiang
贺家会乡,he'jia'hui'xiang
贺家庄乡,he'jia'zhuang'xiang
河津,he'jin
河津市,he'jin'shi
河口乡,he'kou'xiang
河口镇,he'kou'zhen
和平街道,he'ping'jie'dao
和平镇,he'ping'zhen
河曲,he'qu
河曲县,he'qu'xian
河神庙乡,he'shen'miao'xiang
合盛堡乡,he'sheng'bao'xiang
合室乡,he'shi'xiang
和顺,he'shun
和顺县,he'shun'xian
合索乡,he'suo'xiang
河头乡,he'tou'xiang
河西镇,he'xi'zhen
河峪乡,he'yu'xiang
贺职乡,he'zhi'xiang
黑龙关镇,hei'long'guan'zhen
横河镇,heng'he'zhen
横涧乡,heng'jian'xiang
横岭镇,heng'ling'zhen
横桥乡,heng'qiao'xiang
横水镇,heng'shui'zhen
洪池乡,hong'chi'xiang
红道乡,hong'dao'xiang
宏道镇,hong'dao'zhen
洪井乡,hong'jing'xiang
洪善镇,hong'shan'zhen
洪山镇,hong'shan'zhen
红石塄乡,hong'shi'leng'xiang
洪水镇,hong'shui'zhen
虹梯关乡,hong'ti'guan'xiang
洪洞,hong'tong
洪洞县,hong'tong'xian
洪相乡,hong'xiang'xiang
红眼川乡,hong'yan'chuan'xiang
泓芝驿镇,hong'zhi'yi'zhen
候堡镇,hou'bao'zhen
堠北庄镇,hou'bei'zhuang'zhen
侯城乡,hou'cheng'xiang
候村乡,hou'cun'xiang
后宫乡,hou'gong'xiang
侯马,hou'ma
侯马市,hou'ma'shi
后所乡,hou'suo'xiang
虎北乡,hu'bei'xiang
胡村镇,hu'cun'zhen
胡底乡,hu'di'xiang
壶关,hu'guan
壶关县,hu'guan'xian
胡会乡,hu'hui'xiang
壶口镇,hu'kou'zhen
壶泉镇,hu'quan'zhen
胡峪乡,hu'yu'xiang
胡张乡,hu'zhang'xiang
化北屯乡,hua'bei'tun'xiang
华峰乡,hua'feng'xiang
化客头街道,hua'ke'tou'jie'dao
化峪镇,hua'yu'zhen
花园湾屯乡,hua'yuan'wan'tun'xiang
怀道乡,huai'dao'xiang
槐埝乡,huai'nian'xiang
怀仁,huai'ren
怀仁县,huai'ren'xian
皇甫乡,huang'fu'xiang
黄花滩乡,huang'hua'tan'xiang
黄陵街道,huang'ling'jie'dao
黄碾镇,huang'nian'zhen
黄牛蹄乡,huang'niu'ti'xiang
黄山乡,huang'shan'xiang
黄土镇,huang'tu'zhen
黄崖洞镇,huang'ya'dong'zhen
黄寨镇,huang'zhai'zhen
浍滨街道,hui'bin'jie'dao
汇丰街道,hui'feng'jie'dao
会立乡,hui'li'xiang
回龙乡,hui'long'xiang
浑源,hun'yuan
浑源县,hun'yuan'xian
霍州,huo'zhou
霍州市,huo'zhou'shi
吉昌镇,ji'chang'zhen
箕城镇,ji'cheng'zhen
积翠乡,ji'cui'xiang
冀村镇,ji'cun'zhen
集店乡,ji'dian'xiang
稷峰镇,ji'feng'zhen
稷山,ji'shan
稷山县,ji'shan'xian
冀氏镇,ji'shi'zhen
吉县,ji'xian
集义乡,ji'yi'xiang
集义庄乡,ji'yi'zhuang'xiang
季庄乡,ji'zhuang'xiang
贾村乡,jia'cun'xiang
贾得乡,jia'de'xiang
加斗乡,jia'dou'xiang
嘉峰镇,jia'feng'zhen
贾豁乡,jia'huo'xiang
贾家屯乡,jia'jia'tun'xiang
贾家垣乡,jia'jia'yuan'xiang
贾家庄镇,jia'jia'zhuang'zhen
嘉乐泉乡,jia'le'quan'xiang
驾岭乡,jia'ling'xiang
贾令镇,jia'ling'zhen
贾乡,jia'xiang
贾掌镇,jia'zhang'zhen
贾庄乡,jia'zhuang'xiang
建安乡,jian'an'xiang
尖草坪,jian'cao'ping
尖草坪街道,jian'cao'ping'jie'dao
尖草坪区,jian'cao'ping'qu
涧河街道,jian'he'jie'dao
建宁乡,jian'ning'xiang
监漳镇,jian'zhang'zhen
蒋村乡,jiang'cun'xiang
蒋坊乡,jiang'fang'xiang
姜家湾街道,jiang'jia'wan'jie'dao
讲堂乡,jiang'tang'xiang
绛县,jiang'xian
角杯乡,jiao'bei'xiang
交城,jiao'cheng
交城县,jiao'cheng'xian
浇底乡,jiao'di'xiang
交口,jiao'kou
交口街道,jiao'kou'jie'dao
交口县,jiao'kou'xian
交口乡,jiao'kou'xiang
交楼申乡,jiao'lou'shen'xiang
蕉山乡,jiao'shan'xiang
窖洼乡,jiao'wa'xiang
解村乡,jie'cun'xiang
解店镇,jie'dian'zhen
界都乡,jie'dou'xiang
解放路街道,jie'fang'lu'jie'dao
界河口镇,jie'he'kou'zhen
介休,jie'xiu
介休市,jie'xiu'shi
解峪乡,jie'yu'xiang
解原乡,jie'yuan'xiang
解州镇,jie'zhou'zhen
晋昌镇,jin'chang'zhen
晋城,jin'cheng
晋城城区,jin'cheng'cheng'qu
晋城市,jin'cheng'shi
金城镇,jin'cheng'zhen
晋祠镇,jin'ci'zhen
金村镇,jin'cun'zhen
金殿镇,jin'dian'zhen
金岗库乡,jin'gang'ku'xiang
晋华宫街道,jin'hua'gong'jie'dao
晋华街街道,jin'hua'jie'jie'dao
金家庄乡,jin'jia'zhuang'xiang
金井乡,jin'jing'xiang
锦纶街街道,jin'lun'jie'jie'dao
金罗镇,jin'luo'zhen
晋庙铺镇,jin'miao'pu'zhen
金沙滩镇,jin'sha'tan'zhen
金山铺乡,jin'shan'pu'xiang
金胜镇,jin'sheng'zhen
晋源,jin'yuan
晋源街道,jin'yuan'jie'dao
晋源区,jin'yuan'qu
晋中,jin'zhong
晋中市,jin'zhong'shi
晋庄镇,jin'zhuang'zhen
景风乡,jing'feng'xiang
静乐,jing'le
静乐县,jing'le'xian
景毛乡,jing'mao'xiang
井坪镇,jing'ping'zhen
景尚乡,jing'shang'xiang
静升镇,jing'sheng'zhen
经纬街道,jing'wei'jie'dao
静游镇,jing'you'zhen
旧街乡,jiu'jie'xiang
旧县乡,jiu'xian'xiang
旧县镇,jiu'xian'zhen
巨城镇,ju'cheng'zhen
聚乐堡乡,ju'le'bao'xiang
巨轮街道,ju'lun'jie'dao
开城里街道,kai'cheng'li'jie'dao
开栅镇,kai'shan'zhen
开元街道,kai'yuan'jie'dao
开张镇,kai'zhang'zhen
康城镇,kang'cheng'zhen
康家会镇,kang'jia'hui'zhen
康宁镇,kang'ning'zhen
克城镇,ke'cheng'zhen
克虎镇,ke'hu'zhen
岢岚,ke'lan
岢岚县,ke'lan'xian
孔氏乡,kong'shi'xiang
口泉街道,kou'quan'jie'dao
口泉乡,kou'quan'xiang
矿区街道,kuang'qu'jie'dao
来远镇,lai'yuan'zhen
岚城镇,lan'cheng'zhen
兰村乡,lan'cun'xiang
岚水乡,lan'shui'xiang
岚县,lan'xian
岚漪镇,lan'yi'zhen
兰峪乡,lan'yu'xiang
老顶山镇,lao'ding'shan'zhen
老军营街道,lao'jun'ying'jie'dao
老平旺街道,lao'ping'wang'jie'dao
老营镇,lao'ying'zhen
乐昌镇,le'chang'zhen
乐平镇,le'ping'zhen
雷家碛乡,lei'jia'qi'xiang
冷口乡,leng'kou'xiang
李曹镇,li'cao'zhen
黎城,li'cheng
黎城县,li'cheng'xian
犁川镇,li'chuan'zhen
里村镇,li'cun'zhen
李达窑乡,li'da'yao'xiang
李高乡,li'gao'xiang
黎侯镇,li'hou'zhen
李家沟乡,li'jia'gou'xiang
李家坪乡,li'jia'ping'xiang
李家湾乡,li'jia'wan'xiang
李家庄乡,li'jia'zhuang'xiang
栗家庄乡,li'jia'zhuang'xiang
利民镇,li'min'zhen
历山镇,li'shan'zhen
离石,li'shi
离石区,li'shi'qu
离石市,li'shi'shi
里望乡,li'wang'xiang
李阳镇,li'yang'zhen
礼义镇,li'yi'zhen
李元镇,li'yuan'zhen
礼元镇,li'yuan'zhen
李寨乡,li'zhai'xiang
里寨镇,li'zhai'zhen
连福镇,lian'fu'zhen
莲花池街道,lian'hua'chi'jie'dao
两渡镇,liang'du'zhen
梁家坪乡,liang'jia'ping'xiang
粱家焉乡,liang'jia'yan'xiang
梁家寨乡,liang'jia'zhai'xiang
梁家庄乡,liang'jia'zhuang'xiang
良马乡,liang'ma'xiang
梁庄乡,liang'zhuang'xiang
辽阳镇,liao'yang'zhen
烈堡乡,lie'bao'xiang
临汾,lin'fen
临汾经济开发区,lin'fen'jing'ji'kai'fa'qu
临汾市,lin'fen'shi
林家坪镇,lin'jia'ping'zhen
临晋镇,lin'jin'zhen
临泉镇,lin'quan'zhen
临县,lin'xian
临猗,lin'yi
临猗县,lin'yi'xian
林遮峪乡,lin'zhe'yu'xiang
陵川,ling'chuan
陵川县,ling'chuan'xian
岭底乡,ling'di'xiang
凌井店乡,ling'jing'dian'xiang
灵境乡,ling'jing'xiang
灵空山镇,ling'kong'shan'zhen
灵丘,ling'qiu
灵丘县,ling'qiu'xian
灵泉镇,ling'quan'zhen
灵石,ling'shi
灵石县,ling'shi'xian
刘村镇,liu'cun'zhen
柳杜乡,liu'du'xiang
刘胡兰镇,liu'hu'lan'zhen
刘家堡乡,liu'jia'bao'xiang
刘家会镇,liu'jia'hui'zhen
刘家塔镇,liu'jia'ta'zhen
刘家垣镇,liu'jia'yuan'zhen
柳科乡,liu'ke'xiang
柳林,liu'lin
柳林县,liu'lin'xian
柳林镇,liu'lin'zhen
六泉乡,liu'quan'xiang
柳树口镇,liu'shu'kou'zhen
柳巷街道,liu'xiang'jie'dao
留誉镇,liu'yu'zhen
龙凤镇,long'feng'zhen
龙港镇,long'gang'zhen
隆化镇,long'hua'zhen
龙交乡,long'jiao'xiang
龙居镇,long'ju'zhen
龙马乡,long'ma'xiang
龙泉乡,long'quan'xiang
龙泉镇,long'quan'zhen
龙溪镇,long'xi'zhen
龙兴镇,long'xing'zhen
楼板寨乡,lou'ban'zhai'xiang
娄烦,lou'fan
娄烦县,lou'fan'xian
娄烦镇,lou'fan'zhen
楼沟乡,lou'gou'xiang
楼子营镇,lou'zi'ying'zhen
潞城,lu'cheng
潞城市,lu'cheng'shi
潞城镇,lu'cheng'zhen
路村乡,lu'cun'xiang
路东街道,lu'dong'jie'dao
鹿固乡,lu'gu'xiang
潞华街道,lu'hua'jie'dao
路家村镇,lu'jia'cun'zhen
逯家湾镇,lu'jia'wan'zhen
路西街道,lu'xi'jie'dao
路西街街道,lu'xi'jie'jie'dao
罗城街道,luo'cheng'jie'dao
罗村镇,luo'cun'zhen
落水河乡,luo'shui'he'xiang
罗文皂镇,luo'wen'zao'zhen
罗峪口镇,luo'yu'kou'zhen
吕梁,lv'liang
吕梁市,lv'liang'shi
马必乡,ma'bi'xiang
马厂镇,ma'chang'zhen
马村镇,ma'cun'zhen
马道头乡,ma'dao'tou'xiang
麻地会乡,ma'di'hui'xiang
马坊乡,ma'fang'xiang
马坊镇,ma'fang'zhen
马圪当乡,ma'ge'dang'xiang
马和乡,ma'he'xiang
马脊梁街道,ma'ji'liang'jie'dao
马家皂乡,ma'jia'zao'xiang
马家庄乡,ma'jia'zhuang'xiang
马军营乡,ma'jun'ying'xiang
马口街道,ma'kou'jie'dao
马兰镇,ma'lan'zhen
马首乡,ma'shou'xiang
麻田镇,ma'tian'zhen
马头水乡,ma'tou'shui'xiang
马西乡,ma'xi'xiang
马辛庄乡,ma'xin'zhuang'xiang
马营乡,ma'ying'xiang
马营庄乡,ma'ying'zhuang'xiang
马峪乡,ma'yu'xiang
蟒河镇,mang'he'zhen
毛家皂镇,mao'jia'zao'zhen
毛家镇,mao'jia'zhen
么里镇,me'li'zhen
嵋阳镇,mei'yang'zhen
煤峪口街道,mei'yu'kou'jie'dao
门限石乡,men'xian'shi'xiang
萌城镇,meng'cheng'zhen
孟家坪乡,meng'jia'ping'xiang
孟门镇,meng'men'zhen
孟山乡,meng'shan'xiang
米家垣乡,mi'jia'yuan'xiang
米山镇,mi'shan'zhen
米薪湾镇,mi'xin'wan'zhen
米峪镇乡,mi'yu'zhen'xiang
绵山镇,mian'shan'zhen
庙前街道,miao'qian'jie'dao
庙前镇,miao'qian'zhen
庙上乡,miao'shang'xiang
庙湾乡,miao'wan'xiang
苗庄镇,miao'zhuang'zhen
民胜街道,min'sheng'jie'dao
明姜镇,ming'jiang'zhen
明星镇,ming'xing'zhen
墨镫乡,mo'deng'xiang
磨坊乡,mo'fang'xiang
陌南镇,mo'nan'zhen
穆村镇,mu'cun'zhen
木瓜坪乡,mu'gua'ping'xiang
木瓜乡,mu'gua'xiang
南安镇,nan'an'zhen
南白乡,nan'bai'xiang
南堡子乡,nan'bao'zi'xiang
南陈乡,nan'chen'xiang
南城街道,nan'cheng'jie'dao
南城街街道,nan'cheng'jie'jie'dao
南村镇,nan'cun'zhen
南大里乡,nan'da'li'xiang
南凡镇,nan'fan'zhen
南高崖乡,nan'gao'ya'xiang
南关街道,nan'guan'jie'dao
南关镇,nan'guan'zhen
南寒街道,nan'han'jie'dao
南河堡乡,nan'he'bao'xiang
南河沟乡,nan'he'gou'xiang
南河种镇,nan'he'zhong'zhen
南环路街道,nan'huan'lu'jie'dao
南贾镇,nan'jia'zhen
南街街道,nan'jie'jie'dao
南里乡,nan'li'xiang
南梁镇,nan'liang'zhen
南岭乡,nan'ling'xiang
南娄镇,nan'lou'zhen
南泉乡,nan'quan'xiang
南山路街道,nan'shan'lu'jie'dao
南宋乡,nan'song'xiang
南唐乡,nan'tang'xiang
南王乡,nan'wang'xiang
南卫乡,nan'wei'xiang
南武乡,nan'wu'xiang
南辛店乡,nan'xin'dian'xiang
南燕竹镇,nan'yan'zhu'zhen
南阳乡,nan'yang'xiang
南榆林乡,nan'yu'lin'xiang
南垣乡,nan'yuan'xiang
南寨街道,nan'zhai'jie'dao
南张乡,nan'zhang'xiang
南漳镇,nan'zhang'zhen
南政乡,nan'zheng'xiang
南庄乡,nan'zhuang'xiang
南庄镇,nan'zhuang'zhen
泥屯镇,ni'tun'zhen
碾张乡,nian'zhang'xiang
埝掌镇,nian'zhang'zhen
娘子关镇,niang'zi'guan'zhen
娘子神乡,niang'zi'shen'xiang
聂营镇,nie'ying'zhen
宁固镇,ning'gu'zhen
宁武,ning'wu
宁武县,ning'wu'xian
宁兴镇,ning'xing'zhen
牛川乡,niu'chuan'xiang
牛村镇,niu'cun'zhen
牛杜工贸区,niu'du'gong'mao'qu
牛寺乡,niu'si'xiang
牛心堡乡,niu'xin'bao'xiang
暖泉镇,nuan'quan'zhen
蟠龙镇,pan'long'zhen
庞泉沟镇,pang'quan'gou'zhen
裴村乡,pei'cun'xiang
裴沟乡,pei'gou'xiang
