按察官,an'cha'guan
常平仓司,chang'ping'cang'si
常平官,chang'ping'guan
常平广惠仓使者,chang'ping'guang'hui'cang'shi'zhe
常平使,chang'ping'shi
常平使者,chang'ping'shi'zhe
常平司,chang'ping'si
常平司主管,chang'ping'si'zhu'guan
常平主管,chang'ping'zhu'guan
琛台,chen'tai
称铜官,cheng'tong'guan
出卖解盐司,chu'mai'jie'yan'si
催促装纲官,cui'cu'zhuang'gang'guan
催纲,cui'gang
催纲官,cui'gang'guan
措勾,cuo'gou
措置籴便司,cuo'zhi'di'bian'si
措置坑冶铸钱司,cuo'zhi'keng'ye'zhu'qian'si
措置司,cuo'zhi'si
措置铁冶铸钱司,cuo'zhi'tie'ye'zhu'qian'si
大漕,da'cao
大使行府,da'shi'xing'fu
大帅,da'shuai
大帅司,da'shuai'si
点检所,dian'jian'suo
点检行在赡军激赏酒库所,dian'jian'xing'zai'shan'jun'ji'shang'jiu'ku'suo
都漕,dou'cao
都漕司,dou'cao'si
都漕运司,dou'cao'yun'si
都大,dou'da
都大茶马,dou'da'cha'ma
都大催遣辇运,dou'da'cui'qian'nian'yun
都大发运使,dou'da'fa'yun'shi
都大管干成都府等路茶事兼买马,dou'da'guan'gan'cheng'du'fu'deng'lu'cha'shi'jian'mai'ma
都大管勾催遣辇运,dou'da'guan'gou'cui'qian'nian'yun
都大经制,dou'da'jing'zhi
都大经制熙河兰会路边防财用司,dou'da'jing'zhi'xi'he'lan'hui'lu'bian'fang'cai'yong'si
都大经制熙河路边防财用司,dou'da'jing'zhi'xi'he'lu'bian'fang'cai'yong'si
都大坑冶,dou'da'keng'ye
都大提点,dou'da'ti'dian
都大提点坑冶铸钱公事,dou'da'ti'dian'keng'ye'zhu'qian'gong'shi
都大提点坑冶铸钱司,dou'da'ti'dian'keng'ye'zhu'qian'si
都大提点坑冶铸钱司干办公事,dou'da'ti'dian'keng'ye'zhu'qian'si'gan'ban'gong'shi
都大提点银铜铅锡坑冶铸钱公事,dou'da'ti'dian'yin'tong'qian'xi'keng'ye'zhu'qian'gong'shi
都大提举,dou'da'ti'ju
都大提举茶马官,dou'da'ti'ju'cha'ma'guan
都大提举茶马事,dou'da'ti'ju'cha'ma'shi
都大提举茶马司,dou'da'ti'ju'cha'ma'si
都大提举茶事司,dou'da'ti'ju'cha'shi'si
都大提举茶盐司买马监牧司,dou'da'ti'ju'cha'yan'si'mai'ma'jian'mu'si
都大提举辇运,dou'da'ti'ju'nian'yun
都大提举四川茶马司,dou'da'ti'ju'si'chuan'cha'ma'si
都大制置发运使,dou'da'zhi'zhi'fa'yun'shi
都大制置发运司,dou'da'zhi'zhi'fa'yun'si
都大铸钱司,dou'da'zhu'qian'si
都监,dou'jian
都运,dou'yun
都运使,dou'yun'shi
都运司,dou'yun'si
都转运,dou'zhuan'yun
都转运按察使,dou'zhuan'yun'an'cha'shi
都转运使,dou'zhuan'yun'shi
都转运使兼按察使,dou'zhuan'yun'shi'jian'an'cha'shi
都转运使司,dou'zhuan'yun'shi'si
贰漕,er'cao
发副,fa'fu
发干,fa'gan
发运,fa'yun
发运副使,fa'yun'fu'shi
发运判官,fa'yun'pan'guan
发运使,fa'yun'shi
发运使司,fa'yun'shi'si
发运司,fa'yun'si
藩阃,fan'kun
抚参,fu'can
抚干,fu'gan
抚勾,fu'gou
福建路市舶司,fu'jian'lu'shi'bo'si
福建路提举市舶司,fu'jian'lu'ti'ju'shi'bo'si
福建市舶司,fu'jian'shi'bo'si
福建提举市舶司,fu'jian'ti'ju'shi'bo'si
府界,fu'jie
府界三路提举保甲,fu'jie'san'lu'ti'ju'bao'jia
府界提点,fu'jie'ti'dian
府界提举,fu'jie'ti'ju
副使,fu'shi
干官,gan'guan
干茗局,gan'ming'ju
弓箭手指挥,gong'jian'shou'zhi'hui
勾当营田公事,gou'dang'ying'tian'gong'shi
管勾安抚司,guan'gou'an'fu'si
管勾安抚司公事,guan'gou'an'fu'si'gong'shi
管勾官,guan'gou'guan
管勾市舶司公事,guan'gou'shi'bo'si'gong'shi
管勾市舶司使臣,guan'gou'shi'bo'si'shi'chen
管勾学事,guan'gou'xue'shi
管内安抚使,guan'nei'an'fu'shi
广舶司,guang'bo'si
广南舶司,guang'nan'bo'si
广南东路提举市舶司,guang'nan'dong'lu'ti'ju'shi'bo'si
广南市舶司,guang'nan'shi'bo'si
广司,guang'si
杭州市舶务,hang'zhou'shi'bo'wu
河北籴便司,he'bei'di'bian'si
河北四路安抚使司,he'bei'si'lu'an'fu'shi'si
河阴都监,he'yin'du'jian
淮南等路制置发运司,huai'nan'deng'lu'zhi'zhi'fa'yun'si
淮南江浙荆湖都大制置发运使司,huai'nan'jiang'zhe'jing'hu'dou'da'zhi'zhi'fa'yun'shi'si
机幕,ji'mu
计使,ji'shi
计司,ji'si
计台,ji'tai
机宜,ji'yi
机宜文字,ji'yi'wen'zi
检法,jian'fa
检法官,jian'fa'guan
监官,jian'guan
监市舶司使者,jian'shi'bo'si'shi'zhe
监市舶务,jian'shi'bo'wu
监司,jian'si
监司使者,jian'si'shi'zhe
检踏,jian'ta
检踏官,jian'ta'guan
检踏坑冶官,jian'ta'keng'ye'guan
监冶场务,jian'ye'chang'wu
将漕,jiang'cao
将漕司,jiang'cao'si
江淮等路都大提点坑冶,jiang'huai'deng'lu'dou'da'ti'dian'keng'ye
江淮等路发运副使,jiang'huai'deng'lu'fa'yun'fu'shi
江淮等路发运使,jiang'huai'deng'lu'fa'yun'shi
江淮等路经制判官,jiang'huai'deng'lu'jing'zhi'pan'guan
江淮等路经制司,jiang'huai'deng'lu'jing'zhi'si
江淮等路提点坑冶铸钱公事,jiang'huai'deng'lu'ti'dian'keng'ye'zhu'qian'gong'shi
江淮等路提点坑冶铸钱司,jiang'huai'deng'lu'ti'dian'keng'ye'zhu'qian'si
江淮等路运使,jiang'huai'deng'lu'yun'shi
江淮发运使,jiang'huai'fa'yun'shi
江淮荆浙闽广等路经制发运使,jiang'huai'jing'zhe'min'guang'deng'lu'jing'zhi'fa'yun'shi
江淮荆浙闽广路经制使,jiang'huai'jing'zhe'min'guang'lu'jing'zhi'shi
江淮荆浙闽制置发运使,jiang'huai'jing'zhe'min'zhi'zhi'fa'yun'shi
江淮铸钱公事,jiang'huai'zhu'qian'gong'shi
江南淮南荆湖两浙路发运使,jiang'nan'huai'nan'jing'hu'liang'zhe'lu'fa'yun'shi
江南经制司经制副使,jiang'nan'jing'zhi'si'jing'zhi'fu'shi
江南经制司经制使,jiang'nan'jing'zhi'si'jing'zhi'shi
江阴军市舶务,jiang'yin'jun'shi'bo'wu
江浙巡抚使,jiang'zhe'xun'fu'shi
解盐使,jie'yan'shi
解盐司,jie'yan'si
解盐制置使,jie'yan'zhi'zhi'shi
禁军教头,jin'jun'jiao'tou
经制边防财用司,jing'zhi'bian'fang'cai'yong'si
经制财用,jing'zhi'cai'yong
经制财用司,jing'zhi'cai'yong'si
经制发运使,jing'zhi'fa'yun'shi
经制发运使司,jing'zhi'fa'yun'shi'si
经制两浙,jing'zhi'liang'zhe
经制两浙江东路,jing'zhi'liang'zhe'jiang'dong'lu
经制某路常平等公事,jing'zhi'mou'lu'chang'ping'deng'gong'shi
经制使,jing'zhi'shi
经制司,jing'zhi'si
经制熙河兰会路边防财用司,jing'zhi'xi'he'lan'hui'lu'bian'fang'cai'yong'si
经制熙河路边防财用司,jing'zhi'xi'he'lu'bian'fang'cai'yong'si
经总二司,jing'zong'er'si
纠虔之司,jiu'qian'zhi'si
开封府界提点,kai'feng'fu'jie'ti'dian
开封府界提点司,kai'feng'fu'jie'ti'dian'si
开封府界提点县镇官,kai'feng'fu'jie'ti'dian'xian'zhen'guan
开封府界提点诸县公事,kai'feng'fu'jie'ti'dian'zhu'xian'gong'shi
开封府界提举常平司,kai'feng'fu'jie'ti'ju'chang'ping'si
开封府提点司,kai'feng'fu'ti'dian'si
坑冶司,keng'ye'si
坑冶司干官,keng'ye'si'gan'guan
坑冶铸钱司,keng'ye'zhu'qian'si
来远驿,lai'yuan'yi
连帅,lian'shuai
两浙舶司,liang'zhe'bo'si
两浙路市舶官,liang'zhe'lu'shi'bo'guan
两浙路提举市舶司,liang'zhe'lu'ti'ju'shi'bo'si
两浙市舶,liang'zhe'shi'bo
两浙市舶司,liang'zhe'shi'bo'si
两浙提举市舶,liang'zhe'ti'ju'shi'bo
临安府市舶务,lin'an'fu'shi'bo'wu
路察访副使,lu'cha'fang'fu'shi
路察访使,lu'cha'fang'shi
路监司,lu'jian'si
路提点刑狱公事,lu'ti'dian'xing'yu'gong'shi
路提点刑狱司,lu'ti'dian'xing'yu'si
路提举常平广惠仓司,lu'ti'ju'chang'ping'guang'hui'cang'si
路提举市舶司,lu'ti'ju'shi'bo'si
路提举学事官,lu'ti'ju'xue'shi'guan
路提举学事司,lu'ti'ju'xue'shi'si
路提举盐事司,lu'ti'ju'yan'shi'si
路同提点刑狱,lu'tong'ti'dian'xing'yu
路同提点刑狱公事,lu'tong'ti'dian'xing'yu'gong'shi
路宪,lu'xian
路盐事司勾当公事,lu'yan'shi'si'gou'dang'gong'shi
路转运使,lu'zhuan'yun'shi
马司,ma'si
买马司,mai'ma'si
闽司,min'si
明州市舶司,ming'zhou'shi'bo'si
明州市舶务,ming'zhou'shi'bo'wu
辇运使,nian'yun'shi
辇运司,nian'yun'si
臬寄,nie'ji
臬使,nie'shi
臬司,nie'si
臬台,nie'tai
判官,pan'guan
泉舶司,quan'bo'si
权措置,quan'cuo'zhi
权措置财用,quan'cuo'zhi'cai'yong
权发遣转运使,quan'fa'qian'zhuan'yun'shi
泉府,quan'fu
劝农副使兼提点刑狱公事,quan'nong'fu'shi'jian'ti'dian'xing'yu'gong'shi
劝农使兼提点刑狱公事,quan'nong'shi'jian'ti'dian'xing'yu'gong'shi
劝农司,quan'nong'si
泉司,quan'si
权主管安抚大使司公事,quan'zhu'guan'an'fu'da'shi'si'gong'shi
权转运使,quan'zhuan'yun'shi
榷茶司,que'cha'si
润官,run'guan
三门白波都监,san'men'bai'bo'dou'jian
三门白波发运,san'men'bai'bo'fa'yun
三门白波发运使,san'men'bai'bo'fa'yun'shi
三门白波发运司,san'men'bai'bo'fa'yun'si
三门白波黄渭河水路发运使,san'men'bai'bo'huang'wei'he'shui'lu'fa'yun'shi
三门白波辇运司,san'men'bai'bo'nian'yun'si
三门发运使,san'men'fa'yun'shi
陕西路制置解盐使,shan'xi'lu'zhi'zhi'jie'yan'shi
陕西路制置解盐司,shan'xi'lu'zhi'zhi'jie'yan'si
陕西制置解盐司勾当公事,shan'xi'zhi'zhi'jie'yan'si'gou'dang'gong'shi
省计,sheng'ji
市舶,shi'bo
市舶监官,shi'bo'jian'guan
市舶判官,shi'bo'pan'guan
市舶使,shi'bo'shi
市舶司,shi'bo'si
市舶亭,shi'bo'ting
市舶务,shi'bo'wu
市舶务库,shi'bo'wu'ku
使者,shi'zhe
输挽,shu'wan
帅臣,shuai'chen
帅府,shuai'fu
帅干,shuai'gan
帅机,shuai'ji
帅守,shuai'shou
帅司,shuai'si
帅宪,shuai'xian
四川茶马,si'chuan'cha'ma
四川茶马司,si'chuan'cha'ma'si
随军转运,sui'jun'zhuan'yun
随军转运使,sui'jun'zhuan'yun'shi
台府,tai'fu
提舶,ti'bo
提点府界公事,ti'dian'fu'jie'gong'shi
提点纲马驿程,ti'dian'gang'ma'yi'cheng
提点官,ti'dian'guan
提点畿内,ti'dian'ji'nei
提点开封府界公事,ti'dian'kai'feng'fu'jie'gong'shi
提点开封府界诸县镇公事,ti'dian'kai'feng'fu'jie'zhu'xian'zhen'gong'shi
提点开封府县镇公事,ti'dian'kai'feng'fu'xian'zhen'gong'shi
提点开封府诸县镇公事,ti'dian'kai'feng'fu'zhu'xian'zhen'gong'shi
提点坑冶,ti'dian'keng'ye
提点坑冶铸钱,ti'dian'keng'ye'zhu'qian
提点坑冶铸钱公事,ti'dian'keng'ye'zhu'qian'gong'shi
提点坑冶铸钱司,ti'dian'keng'ye'zhu'qian'si
提点司,ti'dian'si
提点刑狱,ti'dian'xing'yu
提点刑狱副使,ti'dian'xing'yu'fu'shi
提点刑狱兼提举义勇,ti'dian'xing'yu'jian'ti'ju'yi'yong
提点刑狱劝农副使,ti'dian'xing'yu'quan'nong'fu'shi
提点刑狱劝农使,ti'dian'xing'yu'quan'nong'shi
提点刑狱司干办公事,ti'dian'xing'yu'si'gan'ban'gong'shi
提点刑狱司干办公事司,ti'dian'xing'yu'si'gan'ban'gong'shi'si
提点刑狱司检法官,ti'dian'xing'yu'si'jian'fa'guan
提点刑狱所,ti'dian'xing'yu'suo
提点铸钱,ti'dian'zhu'qian
提督两浙路市舶事务,ti'du'liang'zhe'lu'shi'bo'shi'wu
提干,ti'gan
提干司,ti'gan'si
提勾,ti'gou
提举,ti'ju
提举保甲司,ti'ju'bao'jia'si
提举茶盐官,ti'ju'cha'yan'guan
提举茶盐司,ti'ju'cha'yan'si
提举常平,ti'ju'chang'ping
提举常平仓农田水利差役,ti'ju'chang'ping'cang'nong'tian'shui'li'chai'yi
提举常平茶盐公事,ti'ju'chang'ping'cha'yan'gong'shi
提举常平茶盐司,ti'ju'chang'ping'cha'yan'si
提举常平茶盐司干办公事,ti'ju'chang'ping'cha'yan'si'gan'ban'gong'shi
提举常平等事,ti'ju'chang'ping'deng'shi
提举常平官,ti'ju'chang'ping'guan
提举常平广惠仓,ti'ju'chang'ping'guang'hui'cang
提举常平司,ti'ju'chang'ping'si
提举常平司勾当公事,ti'ju'chang'ping'si'gou'dang'gong'shi
提举常平司主管官,ti'ju'chang'ping'si'zhu'guan'guan
提举出卖解盐司,ti'ju'chu'mai'jie'yan'si
提举出卖解盐司勾当公事,ti'ju'chu'mai'jie'yan'si'gou'dang'gong'shi
提举籴便司,ti'ju'di'bian'si
提举福建路市舶,ti'ju'fu'jian'lu'shi'bo
提举弓箭手司,ti'ju'gong'jian'shou'si
提举官,ti'ju'guan
提举广南东路市舶官,ti'ju'guang'nan'dong'lu'shi'bo'guan
提举广南东西路坑冶司,ti'ju'guang'nan'dong'xi'lu'keng'ye'si
提举广南路市舶,ti'ju'guang'nan'lu'shi'bo
提举河北籴便粮草司,ti'ju'he'bei'di'bian'liang'cao'si
提举河北籴便司,ti'ju'he'bei'di'bian'si
提举江东淮南路坑冶司,ti'ju'jiang'dong'huai'nan'lu'keng'ye'si
提举江淮等路铜事,ti'ju'jiang'huai'deng'lu'tong'shi
提举江南东路坑冶司,ti'ju'jiang'nan'dong'lu'keng'ye'si
提举解盐司,ti'ju'jie'yan'si
提举荆湖南北路坑冶司,ti'ju'jing'hu'nan'bei'lu'keng'ye'si
提举京西路坑冶司,ti'ju'jing'xi'lu'keng'ye'si
提举开封府界常平等事,ti'ju'kai'feng'fu'jie'chang'ping'deng'shi
提举开封府界诸县镇公事,ti'ju'kai'feng'fu'jie'zhu'xian'zhen'gong'shi
提举坑冶司,ti'ju'keng'ye'si
提举坑冶铸钱司,ti'ju'keng'ye'zhu'qian'si
提举两浙福建坑冶司,ti'ju'liang'zhe'fu'jian'keng'ye'si
提举两浙路市舶官,ti'ju'liang'zhe'lu'shi'bo'guan
提举闽舶,ti'ju'min'bo
提举某路坑冶司,ti'ju'mou'lu'keng'ye'si
提举某路义勇保甲司提点刑狱司,ti'ju'mou'lu'yi'yong'bao'jia'si'ti'dian'xing'yu'si
提举三白渠公事,ti'ju'san'bai'qu'gong'shi
提举三门白波辇运,ti'ju'san'men'bai'bo'nian'yun
提举陕西成都府等路茶盐司,ti'ju'shan'xi'cheng'du'fu'deng'lu'cha'yan'si
提举陕西河东路坑冶司,ti'ju'shan'xi'he'dong'lu'keng'ye'si
提举市舶,ti'ju'shi'bo
提举市舶官,ti'ju'shi'bo'guan
提举市舶司干办公事,ti'ju'shi'bo'si'gan'ban'gong'shi
提举市舶司官,ti'ju'shi'bo'si'guan
提举市舶务,ti'ju'shi'bo'wu
提举司,ti'ju'si
提举熙河等路弓箭手营田藩部司,ti'ju'xi'he'deng'lu'gong'jian'shou'ying'tian'fan'bu'si
提举兴修永兴军三白渠公事,ti'ju'xing'xiu'yong'xing'jun'san'bai'qu'gong'shi
提举学事,ti'ju'xue'shi
提举学事官,ti'ju'xue'shi'guan
提举学士司,ti'ju'xue'shi'si
提举学司,ti'ju'xue'si
提举盐税司,ti'ju'yan'shui'si
提举义勇保甲兼提点刑狱,ti'ju'yi'yong'bao'jia'jian'ti'dian'xing'yu
提举义勇保甲司,ti'ju'yi'yong'bao'jia'si
提举义勇保甲司兼提点刑狱司,ti'ju'yi'yong'bao'jia'si'jian'ti'dian'xing'yu'si
提举制置解盐司,ti'ju'zhi'zhi'jie'yan'si
体量安抚使,ti'liang'an'fu'shi
提领,ti'ling
提领措置财用,ti'ling'cuo'zhi'cai'yong
提领官,ti'ling'guan
提领诸路铸钱官,ti'ling'zhu'lu'zhu'qian'guan
提领诸路铸钱所,ti'ling'zhu'lu'zhu'qian'suo
提领铸钱所,ti'ling'zhu'qian'suo
提司,ti'si
提辖措置坑冶铸钱司,ti'xia'cuo'zhi'keng'ye'zhu'qian'si
提辖措置司,ti'xia'cuo'zhi'si
提刑,ti'xing
提刑司,ti'xing'si
提刑司干官,ti'xing'si'gan'guan
提学,ti'xue
提学司,ti'xue'si
提转,ti'zhuan
同管干,tong'guan'gan
同管勾安抚司,tong'guan'gou'an'fu'si
同管勾安抚司公事,tong'guan'gou'an'fu'si'gong'shi
同管勾经制,tong'guan'gou'jing'zhi
同管勾经制熙河路边防财用事,tong'guan'gou'jing'zhi'xi'he'lu'bian'fang'cai'yong'shi
同管勾经制熙河路边防财用司,tong'guan'gou'jing'zhi'xi'he'lu'bian'fang'cai'yong'si
同经制官,tong'jing'zhi'guan
同经制熙河路边防财利,tong'jing'zhi'xi'he'lu'bian'fang'cai'li
同经制熙河路边防财用司,tong'jing'zhi'xi'he'lu'bian'fang'cai'yong'si
同提点,tong'ti'dian
同提点开封府界诸县镇公事,tong'ti'dian'kai'feng'fu'jie'zhu'xian'zhen'gong'shi
同提点刑狱,tong'ti'dian'xing'yu
同提点刑狱使臣,tong'ti'dian'xing'yu'shi'chen
同提举,tong'ti'ju
同提举茶马,tong'ti'ju'cha'ma
同提刑,tong'ti'xing
同主管经制,tong'zhu'guan'jing'zhi
外台,wai'tai
温州市舶务,wen'zhou'shi'bo'wu
武臣提刑,wu'chen'ti'xing
五路提举保甲,wu'lu'ti'ju'bao'jia
五路提举义勇保甲,wu'lu'ti'ju'yi'yong'bao'jia
武提刑,wu'ti'xing
武宪,wu'xian
熙河经制司,xi'he'jing'zhi'si
熙河路都大经制司,xi'he'lu'dou'da'jing'zhi'si
西宪,xi'xian
宪车,xian'che
宪臣,xian'chen
宪寄,xian'ji
宪将,xian'jiang
宪使,xian'shi
宪司,xian'si
宪台,xian'tai
宪治,xian'zhi
小漕,xiao'cao
刑台,xing'tai
刑狱司,xing'yu'si
行在赡军激赏酒库所,xing'zai'shan'jun'ji'shang'jiu'ku'suo
绣使,xiu'shi
绣衣,xiu'yi
秀州市舶务,xiu'zhou'shi'bo'wu
学事司,xue'shi'si
巡抚,xun'fu
巡抚使,xun'fu'shi
盐勾,yan'gou
沿江三大安抚使司,yan'jiang'san'da'an'fu'shi'si
盐事司,yan'shi'si
盐税司,yan'shui'si
盐司,yan'si
轺车,yao'che
冶司,ye'si
议幕,yi'mu
义勇,yi'yong
庾使,yu'shi
庾司,yu'si
狱司,yu'si
庾台,yu'tai
运副,yun'fu
运干,yun'gan
运勾,yun'gou
运管,yun'guan
运判,yun'pan
运使,yun'shi
运司,yun'si
运盐司,yun'yan'si
帐干,zhang'gan
帐司,zhang'si
帐司官,zhang'si'guan
职司,zhi'si
制置发运判官,zhi'zhi'fa'yun'pan'guan
制置发运使,zhi'zhi'fa'yun'shi
制置解盐使,zhi'zhi'jie'yan'shi
制置解盐司,zhi'zhi'jie'yan'si
钟官,zhong'guan
诸道牧守,zhu'dao'mu'shou
主管,zhu'guan
主管安抚,zhu'guan'an'fu
主管安抚司公事,zhu'guan'an'fu'si'gong'shi
主管茶马,zhu'guan'cha'ma
主管官,zhu'guan'guan
主管某路提举市舶司公事,zhu'guan'mou'lu'ti'ju'shi'bo'si'gong'shi
主管市舶务,zhu'guan'shi'bo'wu
主管学事,zhu'guan'xue'shi
主管学士,zhu'guan'xue'shi
诸路市舶司,zhu'lu'shi'bo'si
诸路铸钱司,zhu'lu'zhu'qian'si
铸钱司,zhu'qian'si
诸州常平管勾官,zhu'zhou'chang'ping'guan'gou'guan
诸州常平主管官,zhu'zhou'chang'ping'zhu'guan'guan
诸州主管官,zhu'zhou'zhu'guan'guan
转漕司,zhuan'cao'si
转判官,zhuan'pan'guan
转使,zhuan'shi
转司,zhuan'si
转运,zhuan'yun
转运按察,zhuan'yun'an'cha
转运副使,zhuan'yun'fu'shi
转运判官,zhuan'yun'pan'guan
转运使兼按察使,zhuan'yun'shi'jian'an'cha'shi
转运使司,zhuan'yun'shi'si
转运司,zhuan'yun'si
转运司干办公事,zhuan'yun'si'gan'ban'gong'shi
转运司勾当公事,zhuan'yun'si'gou'dang'gong'shi
转运司勾当官,zhuan'yun'si'gou'dang'guan
转运司管勾文字,zhuan'yun'si'guan'gou'wen'zi
转运司管勾帐司,zhuan'yun'si'guan'gou'zhang'si
转运司判官,zhuan'yun'si'pan'guan
转运司主管文字,zhuan'yun'si'zhu'guan'wen'zi
转运司主管文字厅,zhuan'yun'si'zhu'guan'wen'zi'ting
转运司主管帐司,zhuan'yun'si'zhu'guan'zhang'si
转运衙,zhuan'yun'ya
准差遣,zhun'chai'qian
准遣,zhun'qian
总制司,zong'zhi'si
佐漕,zuo'cao
