坝陵桥,ba'ling'qiao
大吴村,da'wu'cun
大营盘,da'ying'pan
狄村,di'cun
狄村街西口,di'cun'jie'xi'kou
电机厂,dian'ji'chang
店头,dian'tou
东方机械厂,dong'fang'ji'xie'chang
东华苑,dong'hua'yuan
东缉虎营,dong'ji'hu'ying
东涧河,dong'jian'he
东涧河西,dong'jian'he'xi
东里解,dong'li'jie
董茹,dong'ru
东山水泥厂,dong'shan'shui'ni'chang
东社村,dong'she'cun
东太堡,dong'tai'bao
东站,dong'zhan
敦化坊,dun'hua'fang
二零七招呼站,er'ling'qi'zhao'hu'zhan
二营盘,er'ying'pan
汾东公寓,fen'dong'gong'yu
富康苑小区,fu'kang'yuan'xiao'qu
富士康园区,fu'shi'kang'yuan'qu
富士康招呼站,fu'shi'kang'zhao'hu'zhan
府西街,fu'xi'jie
府西西口,fu'xi'xi'kou
钢材市场,gang'cai'shi'chang
高新开发区,gao'xin'kai'fa'qu
高新区北口,gao'xin'qu'bei'kou
高新区南口,gao'xin'qu'nan'kou
高新区西口,gao'xin'qu'xi'kou
工大宿舍,gong'da'su'she
公交总公司,gong'jiao'zong'gong'si
工具厂,gong'ju'chang
工商学院,gong'shang'xue'yuan
瓜地沟,gua'di'gou
管理站,guan'li'zhan
光华街东口,guang'hua'jie'dong'kou
光社,guang'she
光社北,guang'she'bei
国际大都会,guo'ji'da'du'hui
旱西门,han'xi'men
航空公司,hang'kong'gong'si
河北里,he'bei'li
和平北路西矿街口,he'ping'bei'lu'xi'kuang'jie'kou
和平装饰家园,he'ping'zhuang'shi'jia'yuan
黑土巷,hei'tu'xiang
恒山路批发市场,heng'shan'lu'pi'fa'shi'chang
后北屯,hou'bei'tun
后王村千峰南路,hou'wang'cun'qian'feng'nan'lu
华北广电学校,hua'bei'guang'dian'xue'xiao
化肥厂,hua'fei'chang
化工厂,hua'gong'chang
化客头,hua'ke'tou
华宇购物广场,hua'yu'gou'wu'guang'chang
华宇平阳大卖场,hua'yu'ping'yang'da'mai'chang
火车站,huo'che'zhan
火车站南,huo'che'zhan'nan
机电钢材市场,ji'dian'gang'cai'shi'chang
机修厂宿舍,ji'xiu'chang'su'she
嘉节,jia'jie
尖草坪,jian'cao'ping
涧河办事处,jian'he'ban'shi'chu
涧河小学,jian'he'xiao'xue
监军庄,jian'jun'zhuang
建南汽车站,jian'nan'qi'che'zhan
剪子湾,jian'zi'wan
剪子湾东口,jian'zi'wan'dong'kou
晋机,jin'ji
金胜,jin'sheng
劲松北路,jin'song'bei'lu
劲松路,jin'song'lu
晋阳街口,jin'yang'jie'kou
金阳路口,jin'yang'lu'kou
经济开发区,jing'ji'kai'fa'qu
开城里街口,kai'cheng'li'jie'kou
康乐街,kang'le'jie
康宁街东口,kang'ning'jie'dong'kou
客运西站,ke'yun'xi'zhan
宽银幕,kuan'yin'mu
矿机,kuang'ji
矿机宿舍,kuang'ji'su'she
老军营,lao'jun'ying
丽华苑,li'hua'yuan
林场,lin'chang
零五站,ling'wu'zhan
柳北,liu'bei
刘家堡,liu'jia'bao
柳南,liu'nan
柳溪街,liu'xi'jie
柳溪街口,liu'xi'jie'kou
柳巷,liu'xiang
罗城,luo'cheng
洛阳村,luo'yang'cun
煤炭中心医院,mei'tan'zhong'xin'yi'yuan
棉毛厂,mian'mao'chang
明珠大市场,ming'zhu'da'shi'chang
明珠装饰市场,ming'zhu'zhuang'shi'shi'chang
木器厂,mu'qi'chang
南寒广场,nan'han'guang'chang
南内环长治路口,nan'nei'huan'chang'zhi'lu'kou
南内环东岗路口,nan'nei'huan'dong'gang'lu'kou
南内环东口,nan'nei'huan'dong'kou
南内环街千峰南路口,nan'nei'huan'jie'qian'feng'nan'lu'kou
南内环桥西,nan'nei'huan'qiao'xi
南屯,nan'tun
南屯北,nan'tun'bei
南寨,nan'zhai
牛陀村,niu'tuo'cun
彭村,peng'cun
彭村路,peng'cun'lu
彭西四巷东口,peng'xi'si'xiang'dong'kou
皮革厂,pi'ge'chang
苹果苑小区,ping'guo'yuan'xiao'qu
平阳路八一街口,ping'yang'lu'ba'yi'jie'kou
平阳路长风街口,ping'yang'lu'chang'feng'jie'kou
平阳路平阳西一巷,ping'yang'lu'ping'yang'xi'yi'xiang
平阳路亲贤街口,ping'yang'lu'qin'xian'jie'kou
七府坟,qi'fu'fen
气管厂,qi'guan'chang
千峰南路,qian'feng'nan'lu
桥东街西口,qiao'dong'jie'xi'kou
桥头街,qiao'tou'jie
亲贤街平阳路口,qin'xian'jie'ping'yang'lu'kou
轻工学校,qing'gong'xue'xiao
青年路口,qing'nian'lu'kou
青年路南口,qing'nian'lu'nan'kou
热力公司汾河公园,re'li'gong'si'fen'he'gong'yuan
人民南路,ren'min'nan'lu
肉联厂,rou'lian'chang
芮城,rui'cheng
赛马场,sai'ma'chang
三给村,san'gei'cun
三益公司,san'yi'gong'si
三营盘,san'ying'pan
三营宿舍,san'ying'su'she
森林公园,sen'lin'gong'yuan
沙沟,sha'gou
沙河,sha'he
山大成教院,shan'da'cheng'jiao'yuan
山大二院,shan'da'er'yuan
山大南门,shan'da'nan'men
山大一院,shan'da'yi'yuan
山姆士学府店,shan'mu'shi'xue'fu'dian
山西报社,shan'xi'bao'she
山西大学,shan'xi'da'xue
山针,shan'zhen
上肖墙,shang'xiao'qiang
上庄,shang'zhuang
少年宫,shao'nian'gong
摄乐村,she'le'cun
省电大,sheng'dian'da
省国际商务学院,sheng'guo'ji'shang'wu'xue'yuan
省建机厂,sheng'jian'ji'chang
省建六公司,sheng'jian'liu'gong'si
省警校,sheng'jing'xiao
省局站,sheng'ju'zhan
胜利街,sheng'li'jie
胜利街西口,sheng'li'jie'xi'kou
胜利桥东,sheng'li'qiao'dong
胜利桥西,sheng'li'qiao'xi
省林科所,sheng'lin'ke'suo
省人大,sheng'ren'da
省委党校,sheng'wei'dang'xiao
省政府,sheng'zheng'fu
省直分校,sheng'zhi'fen'xiao
十六中,shi'liu'zhong
市人大,shi'ren'da
十三冶二中,shi'san'ye'er'zhong
十四中,shi'si'zhong
石渣厂,shi'zha'chang
市政府,shi'zheng'fu
双塔南路,shuang'ta'nan'lu
双塔寺,shuang'ta'si
双塔铁路宿舍,shuang'ta'tie'lu'su'she
双语学校,shuang'yu'xue'xiao
水西关西口,shui'xi'guan'xi'kou
水西门,shui'xi'men
水总,shui'zong
司法学院,si'fa'xue'yuan
塑料公司,su'liao'gong'si
太堡街,tai'bao'jie
太纺,tai'fang
太纺宿舍西,tai'fang'su'she'xi
太钢东门,tai'gang'dong'men
太钢二中,tai'gang'er'zhong
太钢五中,tai'gang'wu'zhong
太化二中,tai'hua'er'zhong
太化俱乐部,tai'hua'ju'le'bu
太师学院,tai'shi'xue'yuan
太原飞机场,tai'yuan'fei'ji'chang
桃园二巷,tao'yuan'er'xiang
桃园三巷,tao'yuan'san'xiang
桃园三巷新建路口,tao'yuan'san'xiang'xin'jian'lu'kou
桃园四巷,tao'yuan'si'xiang
桃园一巷,tao'yuan'yi'xiang
体育馆,ti'yu'guan
体育南路,ti'yu'nan'lu
田森超市,tian'sen'chao'shi
田森招呼站,tian'sen'zhao'hu'zhan
铁路局,tie'lu'ju
铁路宿舍,tie'lu'su'she
铁十二局,tie'shi'er'ju
瓦流村,wa'liu'cun
瓦流路口,wa'liu'lu'kou
瓦窑村,wa'yao'cun
万柏林区委,wan'bo'lin'qu'wei
王封,wang'feng
王封煤矿,wang'feng'mei'kuang
王吴,wang'wu
卧虎山公园,wo'hu'shan'gong'yuan
坞城路,wu'cheng'lu
坞城路许坦西街口,wu'cheng'lu'xu'tan'xi'jie'kou
武警医院,wu'jing'yi'yuan
五龙口,wu'long'kou
五一大楼,wu'yi'da'lou
五一机器厂,wu'yi'ji'qi'chang
五一小学,wu'yi'xiao'xue
西草寨,xi'cao'zhai
西宫,xi'gong
西涧河,xi'jian'he
西矿建北宿舍,xi'kuang'jian'bei'su'she
西柳林,xi'liu'lin
西留庄,xi'liu'zhuang
西铭,xi'ming
西铭矿,xi'ming'kuang
西蒲村,xi'pu'cun
西吴村,xi'wu'cun
西吴苑,xi'wu'yuan
西羊市,xi'yang'shi
西羊市口,xi'yang'shi'kou
下岭村,xia'ling'cun
下元,xia'yuan
下元商场,xia'yuan'shang'chang
下庄,xia'zhuang
线材厂,xian'cai'chang
享堂,xiang'tang
向阳店,xiang'yang'dian
小北门,xiao'bei'men
小店,xiao'dian
小店育才小学,xiao'dian'yu'cai'xiao'xue
小东流,xiao'dong'liu
小东门,xiao'dong'men
小井峪,xiao'jing'yu
小井峪街,xiao'jing'yu'jie
小马,xiao'ma
小卧龙,xiao'wo'long
斜坡,xie'po
新郝庄,xin'hao'zhuang
新华化工厂,xin'hua'hua'gong'chang
新建北口,xin'jian'bei'kou
新建路口,xin'jian'lu'kou
新晋汾装饰城,xin'jin'fen'zhuang'shi'cheng
新康隆商城,xin'kang'long'shang'cheng
新民中街,xin'min'zhong'jie
新型建材厂,xin'xing'jian'cai'chang
新营,xin'ying
兴安宾馆,xing'an'bin'guan
兴华南小区,xing'hua'nan'xiao'qu
杏花实验中学,xing'hua'shi'yan'zhong'xue
兴华小区,xing'hua'xiao'qu
休干所,xiu'gan'suo
许东,xu'dong
许坦,xu'tan
许坦北,xu'tan'bei
许西,xu'xi
选煤厂,xuan'mei'chang
学府街长治路口,xue'fu'jie'chang'zhi'lu'kou
学府街平阳路口,xue'fu'jie'ping'yang'lu'kou
学府街西口,xue'fu'jie'xi'kou
雅阁北校广场,ya'ge'bei'xiao'guang'chang
闫家沟,yan'jia'gou
杨家堡,yang'jia'bao
杨家峪,yang'jia'yu
冶金电机厂,ye'jin'dian'ji'chang
移村,yi'cun
一电厂,yi'dian'chang
漪汾桥西,yi'fen'qiao'xi
漪汾小区,yi'fen'xiao'qu
一机床,yi'ji'chuang
义井,yi'jing
义井北,yi'jing'bei
医科大学,yi'ke'da'xue
殷家堡,yin'jia'bao
迎春街,ying'chun'jie
永乐苑,yong'le'yuan
袁家庄,yuan'jia'zhuang
招呼站,zhao'hu'zhan
赵庄,zhao'zhuang
赵庄南,zhao'zhuang'nan
郑村,zheng'cun
制管厂,zhi'guan'chang
支架厂,zhi'jia'chang
制药厂,zhi'yao'chang
重机技校,zhong'ji'ji'xiao
重机宿舍,zhong'ji'su'she
重机学院,zhong'ji'xue'yuan
肿瘤医院,zhong'liu'yi'yuan
中心医院,zhong'xin'yi'yuan
轴承厂,zhou'cheng'chang
