爆破组,bao'po'zu
攻坚器材,gong'jian'qi'cai
攻坚战,gong'jian'zhan
攻克,gong'ke
攻势,gong'shi
攻占,gong'zhan
滚进,gun'jin
航次,hang'ci
合击,he'ji
合围,he'wei
后续任务,hou'xu'ren'wu
换乘,huan'cheng
换乘程序,huan'cheng'cheng'xu
换乘海域,huan'cheng'hai'yu
火力点复活,huo'li'dian'fu'huo
火力突击,huo'li'tu'ji
火力追击,huo'li'zhui'ji
火力准备,huo'li'zhun'bei
火力组,huo'li'zu
集结上船,ji'jie'shang'chuan
集结上船阶段,ji'jie'shang'chuan'jie'duan
急袭,ji'xi
歼击,jian'ji
接敌,jie'di
椄敌运动,jie'di'yun'dong
进攻,jin'gong
进攻出发阵地,jin'gong'chu'fa'zhen'di
进攻地带,jin'gong'di'dai
进攻方向,jin'gong'fang'xiang
进攻速度,jin'gong'su'du
进攻战斗,jin'gong'zhan'dou
进攻战役,jin'gong'zhan'yi
进攻正面,jin'gong'zheng'mian
进攻直前,jin'gong'zhi'qian
进攻准备,jin'gong'zhun'bei
进攻纵深,jin'gong'zong'shen
进入突破口,jin'ru'tu'po'kou
聚歼,ju'jian
卷击,juan'ji
克服障碍,ke'fu'zhang'ai
扩大突破口,kuo'da'tu'po'kou
扩张战果,kuo'zhang'zhan'guo
联合登陆,lian'he'deng'lu
联合登陆兵团,lian'he'deng'lu'bing'tuan
连续攻击,lian'xu'gong'ji
两栖进攻,liang'qi'jin'gong
两栖袭击,liang'qi'xi'ji
两栖佯动,liang'qi'yang'dong
两栖作战,liang'qi'zuo'zhan
两翼卷击,liang'yi'juan'ji
陆上发展进攻,lu'shang'fa'zhan'jin'gong
轮番攻击,lun'fan'gong'ji
平行追击,ping'xing'zhui'ji
匍匐前进,pu'fu'qian'jin
齐头并进,qi'tou'bing'jin
奇袭,qi'xi
钳形突击,qian'xing'tu'ji
牵制,qian'zhi
箝制,qian'zhi
牵制方向,qian'zhi'fang'xiang
箝制方向,qian'zhi'fang'xiang
强渡,qiang'du
强渡江河,qiang'du'jiang'he
强攻,qiang'gong
强击,qiang'ji
抢滩冲击,qiang'tan'chong'ji
抢占,qiang'zhan
屈身前进,qu'shen'qian'jin
任务纵深,ren'wu'zong'shen
三角队形,san'jiao'dui'xing
三面包围,san'mian'bao'wei
扫清外围,sao'qing'wai'wei
上船地域,shang'chuan'di'yu
上船顺序,shang'chuan'shun'xu
渗透,shen'tou
水上巡逻,shui'shang'xun'luo
四面包围,si'mian'bao'wei
肃清残敌,su'qing'can'di
梯形队形,ti'xing'dui'xing
通过通路,tong'guo'tong'lu
偷渡,tou'du
偷袭,tou'xi
突贯,tu'guan
突贯纵深,tu'guan'zong'shen
突击,tu'ji
突击点,tu'ji'dian
突击队,tu'ji'dui
突击方向,tu'ji'fang'xiang
突击力量,tu'ji'li'liang
突击连,tu'ji'lian
突击上陆,tu'ji'shang'lu
突击组,tu'ji'zu
突破,tu'po
突破地段,tu'po'di'duan
突破地区,tu'po'di'qu
突破口,tu'po'kou
突入,tu'ru
围城打援,wei'cheng'da'yuan
围点打援,wei'dian'da'yuan
围而不打,wei'er'bu'da
围攻,wei'gong
尾击,wei'ji
围困,wei'kun
围三缺一,wei'san'que'yi
稳扎稳打,wen'zha'wen'da
袭击,xi'ji
下车战斗,xia'che'zhan'dou
下车战斗地点,xia'che'zhan'dou'di'dian
向心突击,xiang'xin'tu'ji
楔入,xie'ru
掩护部队,yan'hu'bu'dui
佯渡,yang'du
仰攻,yang'gong
佯攻,yang'gong
夜间追击,ye'jian'zhui'ji
翼侧进攻,yi'ce'jin'gong
一路队形,yi'lu'dui'xing
一翼卷击,yi'yi'juan'ji
由岸到岸,you'an'dao'an
由舰到岸,you'jian'dao'an
迂回,yu'hui
迂回包围,yu'hui'bao'wei
预先火力准备,yu'xian'huo'li'zhun'bei
预有准备强渡江河,yu'you'zhun'bei'qiang'du'jiang'he
跃进,yue'jin
运动战战役,yun'dong'zhan'zhan'yi
遭遇战斗,zao'yu'zhan'dou
战场内追击,zhan'chang'nei'zhui'ji
战场外追击,zhan'chang'wai'zhui'ji
战略包围,zhan'lue'bao'wei
战略进攻,zhan'lue'jin'gong
战略突击,zhan'lue'tu'ji
战略突破,zhan'lue'tu'po
战略追击,zhan'lue'zhui'ji
战术包围,zhan'shu'bao'wei
战术突破,zhan'shu'tu'po
战役包围,zhan'yi'bao'wei
战役分割,zhan'yi'fen'ge
战役突破,zhan'yi'tu'po
战役追击,zhan'yi'zhui'ji
正面进攻,zheng'mian'jin'gong
正面突击,zheng'mian'tu'ji
正面之敌,zheng'mian'zhi'di
直身前进,zhi'shen'qian'jin
重点攻击,zhong'dian'gong'ji
中间突破,zhong'jian'tu'po
中央突破,zhong'yang'tu'po
逐岛进攻,zhu'dao'jin'gong
主攻,zhu'gong
助攻,zhu'gong
主攻部队,zhu'gong'bu'dui
助攻部队,zhu'gong'bu'dui
主攻方向,zhu'gong'fang'xiang
助攻方向,zhu'gong'fang'xiang
追击,zhui'ji
追击战斗,zhui'ji'zhan'dou
追击战役,zhui'ji'zhan'yi
追歼,zhui'jian
总攻,zong'gong
总攻击,zong'gong'ji
