安床,an'chuang
天门,tian'men
天盘,tian'pan
天人合一,tian'ren'he'yi
天心十道,tian'xin'shi'dao
天心水,tian'xin'shui
天医,tian'yi
天元龙,tian'yuan'long
天斩煞,tian'zhan'sha
停丧屋,ting'sang'wu
土星,tu'xing
突穴,tu'xue
退财,tui'cai
推车屋,tui'che'wu
退龙,tui'long
退气,tui'qi
旺财,wang'cai
旺丁,wang'ding
旺气,wang'qi
旺山,wang'shan
旺向,wang'xiang
亡字屋,wang'zi'wu
文曲,wen'qu
卧室,wo'shi
窝穴,wo'xue
戊辰,wu'chen
蜈蚣煞,wu'gong'sha
五鬼,wu'gui
五黄煞,wu'huang'sha
忤逆屋,wu'ni'wu
五气,wu'qi
武曲,wu'qu
戊申,wu'shen
戊午,wu'wu
五行,wu'xing
戊戌,wu'xu
戊寅,wu'yin
戊子,wu'zi
西北,xi'bei
西南,xi'nan
下元,xia'yuan
先天,xian'tian
先天八卦,xian'tian'ba'gua
相克,xiang'ke
向山,xiang'shan
相生,xiang'sheng
向星,xiang'xing
小运,xiao'yun
蟹眼,xie'yan
辛丑,xin'chou
辛亥,xin'hai
辛卯,xin'mao
辛巳,xin'si
辛未,xin'wei
辛酉,xin'you
星辰,xing'chen
星峰,xing'feng
行龙,xing'long
形煞,xing'sha
形势,xing'shi
凶兆,xiong'zhao
休门,xiu'men
修屋壤垣,xiu'wu'rang'yuan
修造,xiu'zao
玄关,xuan'guan
玄空飞星,xuan'kong'fei'xing
玄武,xuan'wu
玄武插翅,xuan'wu'cha'chi
血脉,xue'mai
血盆照镜,xue'pen'zhao'jing
旬空,xun'kong
寻龙点穴,xun'long'dian'xue
延年,yan'nian
阳气,yang'qi
仰瓦穴,yang'wa'xue
阳宅,yang'zhai
曜星,yao'xing
乙丑,yi'chou
乙亥,yi'hai
乙卯,yi'mao
乙巳,yi'si
乙未,yi'wei
移徙,yi'xi
乙酉,yi'you
阴气,yin'qi
阴阳,yin'yang
阴阳差错,yin'yang'cha'cuo
阴宅,yin'zhai
右弼,you'bi
有虎无龙,you'hu'wu'long
有龙无虎,you'long'wu'hu
元旦盘,yuan'dan'pan
元运,yuan'yun
栽种,zai'zhong
灶台,zao'tai
择时,ze'shi
宅命盘,zhai'ming'pan
宅相,zhai'xiang
宅形,zhai'xing
宅运,zhai'yun
真龙,zhen'long
镇宅,zhen'zhai
正神,zheng'shen
枝龙,zhi'long
止龙,zhi'long
值日,zhi'ri
中元,zhong'yuan
朱雀,zhu'que
朱雀垂翅,zhu'que'chui'chi
缀杖,zhui'zhang
紫白飞星,zi'bai'fei'xing
子午线,zi'wu'xian
左辅,zuo'fu
坐空朝满,zuo'kong'chao'man
作梁,zuo'liang
坐满朝虚,zuo'man'chao'xu
坐山,zuo'shan
坐实朝空,zuo'shi'chao'kong
