阿笠人偶,a'li'ren'ou
沉默的十五分钟,chen'mo'de'shi'wu'fen'zhong
沉睡的小五郎,chen'shui'de'xiao'wu'lang
赤井的过去,chi'jing'de'guo'qu
赤马的目击者,chi'ma'de'mu'ji'zhe
赤马的主人,chi'ma'de'zhu'ren
赤马之影,chi'ma'zhi'ying
吃人的房屋,chi'ren'de'fang'wu
冲撞王子,chong'zhuang'wang'zi
触动的琴弦,chu'dong'de'qin'xian
初恋再会别离,chu'lian'zai'hui'bie'li
锤子的原形,chui'zi'de'yuan'xing
纯白,chun'bai
春天到了,chun'tian'dao'le
此五郎非彼五郎,ci'wu'lang'fei'bi'wu'lang
从他到她,cong'ta'dao'ta
从天国到地狱,cong'tian'guo'dao'di'yu
从天空到地面,cong'tian'kong'dao'di'mian
从自杀到他杀,cong'zi'sha'dao'ta'sha
催眠瓦斯,cui'mian'wa'si
错误的电话,cuo'wu'de'dian'hua
打不开的窗,da'bu'kai'de'chuang
达尔贝吉塔,da'er'bei'ji'ta
单片眼镜,dan'pian'yan'jing
帝丹小学,di'dan'xiao'xue
第二代怪盗基德,di'er'dai'guai'dao'ji'de
第个的烟囱,di'ge'de'yan'cong
第根线,di'gen'xian
第年的冲击,di'nian'de'chong'ji
电话的真相,dian'hua'de'zhen'xiang
电玩公司职员,dian'wan'gong'si'zhi'yuan
钓饵上有毒,diao'er'shang'you'du
订婚戒指,ding'hun'jie'zhi
钉与蛇,ding'yu'she
东京都米花町,dong'jing'du'mi'hua'ding
东京都米花町五丁目,dong'jing'du'mi'hua'ding'wu'ding'mu
东京风和日丽,dong'jing'feng'he'ri'li
毒物的下落,du'wu'de'xia'luo
短时间的休息,duan'shi'jian'de'xiu'xi
恶灵栖息的屋宇,e'ling'qi'xi'de'wu'yu
俄罗斯蓝猫,e'luo'si'lan'mao
恶魔的呼唤,e'mo'de'hu'huan
恶魔的手段,e'mo'de'shou'duan
恶魔来临,e'mo'lai'lin
恶魔之箭,e'mo'zhi'jian
恶魔之泪,e'mo'zhi'lei
恶意中的行进,e'yi'zhong'de'xing'jin
恶作剧的孩子,e'zuo'ju'de'hai'zi
耳环型手机,er'huan'xing'shou'ji
二十的杀意圣佛尼号,er'shi'de'sha'yi'sheng'fo'ni'hao
二元神秘事件,er'yuan'shen'mi'shi'jian
发不出声,fa'bu'chu'sheng
反击的头绪,fan'ji'de'tou'xu
犯人追踪眼镜,fan'ren'zhui'zong'yan'jing
犯罪的遗物,fan'zui'de'yi'wu
飞天密室,fei'tian'mi'shi
飞行伞,fei'xing'san
分之一的恶魔,fen'zhi'yi'de'e'mo
风的恶作剧,feng'de'e'zuo'ju
封锁和秘密,feng'suo'he'mi'mi
风雪中的复仇,feng'xue'zhong'de'fu'chou
封印,feng'yin
服部平次一筹莫展,fu'bu'ping'ci'yi'chou'mo'zhan
腐烂的苹果,fu'lan'de'ping'guo
负伤的侦探团,fu'shang'de'zhen'tan'tuan
复苏的恶灵,fu'su'de'e'ling
复苏的枪弹,fu'su'de'qiang'dan
复苏的幽灵,fu'su'de'you'ling
感受到你的心,gan'shou'dao'ni'de'xin
感应器视镜,gan'ying'qi'shi'jing
刚好一对,gang'hao'yi'dui
钢琴的诅咒,gang'qin'de'zu'zhou
鸽子,ge'zi
跟踪然后,gen'zong'ran'hou
公司,gong'si
工藤新一登场,gong'teng'xin'yi'deng'chang
工学部博士学位,gong'xue'bu'bo'shi'xue'wei
公主与龙宫城,gong'zhu'yu'long'gong'cheng
怪盗史坦普,guai'dao'shi'tan'pu
怪人二百面相,guai'ren'er'bai'mian'xiang
怪异的时钟,guai'yi'de'shi'zhong
观测星,guan'ce'xing
关东的高中生侦探,guan'dong'de'gao'zhong'sheng'zhen'tan
关西来的线索,guan'xi'lai'de'xian'suo
光天化日下的潜伏,guang'tian'hua'ri'xia'de'qian'fu
诡计和魔术,gui'ji'he'mo'shu
诡密的乘客,gui'mi'de'cheng'ke
鬼婆传说杀人事件,gui'po'chuan'shuo'sha'ren'shi'jian
柜子的秘密,gui'zi'de'mi'mi
滚落的轨迹,gun'luo'de'gui'ji
国际刑警组织,guo'ji'xing'jing'zu'zhi
海滨的杀意,hai'bin'de'sha'yi
海上密室,hai'shang'mi'shi
还有半年,hai'you'ban'nian
好可爱喔,hao'ke'ai'wo
好赚的跟踪,hao'zhuan'de'gen'zong
黑暗的足迹,hei'an'de'zu'ji
黑暗是死亡陷阱之门,hei'an'shi'si'wang'xian'jing'zhi'men
黑暗之中,hei'an'zhi'zhong
黑暗中的无声杀人,hei'an'zhong'de'wu'sheng'sha'ren
黑色的太阳,hei'se'de'tai'yang
黑色的葬礼,hei'se'de'zang'li
黑色光线之谜,hei'se'guang'xian'zhi'mi
黑衣组织,hei'yi'zu'zhi
红莲,hong'lian
红牌,hong'pai
红色的痣,hong'se'de'zhi
红色陷阱,hong'se'xian'jing
花的生命,hua'de'sheng'ming
幻想曲,huan'xiang'qu
荒唐的作战,huang'tang'de'zuo'zhan
会名探侦世纪末告钟音鸣止,hui'ming'tan'zhen'shi'ji'mo'gao'zhong'yin'ming'zhi
回忆的场所,hui'yi'de'chang'suo
回忆的地方,hui'yi'de'di'fang
回忆的网球场,hui'yi'de'wang'qiu'chang
灰原哀的决定,hui'yuan'ai'de'jue'ding
混合的诡计,hun'he'de'gui'ji
婚礼大战,hun'li'da'zhan
婚礼现场的恐慌,hun'li'xian'chang'de'kong'huang
火箭的秘密,huo'jian'de'mi'mi
火焰的羁绊,huo'yan'de'ji'ban
火灾的真相,huo'zai'de'zhen'xiang
即兴曲,ji'xing'qu
记忆中的场所,ji'yi'zhong'de'chang'suo
假面下的真相,jia'mian'xia'de'zhen'xiang
假球迷,jia'qiu'mi
假人,jia'ren
加油园子,jia'you'yuan'zi
坚强的名侦探们,jian'qiang'de'ming'zhen'tan'men
将棋棋手,jiang'qi'qi'shou
脚力增强鞋,jiao'li'zeng'qiang'xie
脚印在哪里,jiao'yin'zai'na'li
姐弟,jie'di
解开个数字之谜,jie'kai'ge'shu'zi'zhi'mi
解开锁定,jie'kai'suo'ding
金苹果,jin'ping'guo
紧迫的联谊会,jin'po'de'lian'yi'hui
紧迫的派对,jin'po'de'pai'dui
金色,jin'se
金色的苹果,jin'se'de'ping'guo
惊愕,jing'e
警官的推理,jing'guan'de'tui'li
精神时光屋,jing'shen'shi'guang'wu
警视厅交通部交通课,jing'shi'ting'jiao'tong'bu'jiao'tong'ke
镜中的真实,jing'zhong'de'zhen'shi
镜子中的真相,jing'zi'zhong'de'zhen'xiang
聚集,ju'ji
巨神像之怒,ju'shen'xiang'zhi'nu
君一助言世中谜方,jun'yi'zhu'yan'shi'zhong'mi'fang
开放的密室,kai'fang'de'mi'shi
开始调查,kai'shi'diao'cha
开锁工具,kai'suo'gong'ju
看不见的恐怖,kan'bu'jian'de'kong'bu
看漏的东西,kan'lou'de'dong'xi
可怜的少女,ke'lian'de'shao'nv
柯南失算了,ke'nan'shi'suan'le
可怕的病毒,ke'pa'de'bing'du
可恶的家伙,ke'wu'de'jia'huo
可疑的球迷,ke'yi'de'qiu'mi
可疑的拥蹙,ke'yi'de'yong'cu
恐怖的女人,kong'bu'de'nv'ren
恐怖的敲门声,kong'bu'de'qiao'men'sheng
恐怖降临,kong'bu'jiang'lin
空降的尸体,kong'jiang'de'shi'ti
恐龙的还击,kong'long'de'huan'ji
空中掉下的人,kong'zhong'diao'xia'de'ren
空中密室,kong'zhong'mi'shi
口罩型变声器,kou'zhao'xing'bian'sheng'qi
狂想曲,kuang'xiang'qu
蜡做的翅膀,la'zuo'de'chi'bang
来访者留下的秘密,lai'fang'zhe'liu'xia'de'mi'mi
来自过去的子弹,lai'zi'guo'qu'de'zi'dan
来自黄泉的杀人者,lai'zi'huang'quan'de'sha'ren'zhe
来自甲子园恶魔的挑战,lai'zi'jia'zi'yuan'e'mo'de'tiao'zhan
兰的推理,lan'de'tui'li
狼人之影,lang'ren'zhi'ying
浪速捐赠表,lang'su'juan'zeng'biao
浪速之剑士,lang'su'zhi'jian'shi
黎明,li'ming
恋爱是冒险惊喜恐惧,lian'ai'shi'mao'xian'jing'xi'kong'ju
猎物上钩了,lie'wu'shang'gou'le
临时推理秀,lin'shi'tui'li'xiu
临终的啊啊,lin'zhong'de'a'a
领结型变声器,ling'jie'xing'bian'sheng'qi
令人叹息的赶海,ling'ren'tan'xi'de'gan'hai
令人兴奋的采访,ling'ren'xing'fen'de'cai'fang
另一个歹徒,ling'yi'ge'dai'tu
另一位名侦探,ling'yi'wei'ming'zhen'tan
六面体的信息,liu'mian'ti'de'xin'xi
留下的足迹,liu'xia'de'zu'ji
露出马脚,lou'chu'ma'jiao
鲁邦专任搜查官,lu'bang'zhuan'ren'sou'cha'guan
录象带中的证据,lu'xiang'dai'zhong'de'zheng'ju
落日,luo'ri
妈妈的心理,ma'ma'de'xin'li
妈妈是对手,ma'ma'shi'dui'shou
埋藏在内心深处,mai'cang'zai'nei'xin'shen'chu
满月之夜,man'yue'zhi'ye
满月之夜与黑色宴席的陷阱,man'yue'zhi'ye'yu'hei'se'yan'xi'de'xian'jing
冒牌货的真相,mao'pai'huo'de'zhen'xiang
冒牌货登场,mao'pai'huo'deng'chang
冒险复活,mao'xian'fu'huo
没有提示,mei'you'ti'shi
美中不足的烧伤,mei'zhong'bu'zu'de'shao'shang
梦中之星,meng'zhong'zhi'xing
迷宫的十字路口,mi'gong'de'shi'zi'lu'kou
秘密的妃英理,mi'mi'de'fei'ying'li
秘密的家访,mi'mi'de'jia'fang
秘密的上学之路,mi'mi'de'shang'xue'zhi'lu
秘密使女人更有女人味,mi'mi'shi'nv'ren'geng'you'nv'ren'wei
秘杀,mi'sha
密室的秘密,mi'shi'de'mi'mi
密室证明,mi'shi'zheng'ming
迷惘之心,mi'wang'zhi'xin
谜一样的缆车,mi'yi'yang'de'lan'che
面具,mian'ju
冥间使者,ming'jian'shi'zhe
明朗的记忆,ming'lang'de'ji'yi
名犬的功劳,ming'quan'de'gong'lao
名探侦柯南,ming'tan'zhen'ke'nan
命样的预言,ming'yang'de'yu'yan
名侦探小兰,ming'zhen'tan'xiao'lan
命中注定的试映会,ming'zhong'zhu'ding'de'shi'ying'hui
名著的陷阱,ming'zhu'de'xian'jing
名字的秘密,ming'zi'de'mi'mi
名字是片假名,ming'zi'shi'pian'jia'ming
魔法的咒文,mo'fa'de'zhou'wen
魔贯光杀炮,mo'guan'guang'sha'pao
魔术师失格,mo'shu'shi'shi'ge
魔术师之馆,mo'shu'shi'zhi'guan
魔术纸牌手枪,mo'shu'zhi'pai'shou'qiang
目暮警官,mu'mu'jing'guan
母亲的遗物,mu'qin'de'yi'wu
那个地方,na'ge'di'fang
那家伙就是这么懦弱,na'jia'huo'jiu'shi'zhe'me'nuo'ruo
那里有危机,na'li'you'wei'ji
那位先生,na'wei'xian'sheng
难以置信的切点,nan'yi'zhi'xin'de'qie'dian
你是何许人,ni'shi'he'xu'ren
你真冷静,ni'zhen'leng'jing
逆转的神秘,ni'zhuan'de'shen'mi
年前的恶梦,nian'qian'de'e'meng
年前的男人,nian'qian'de'nan'ren
鸟取县,niao'qu'xian
钮扣型扩音器,niu'kou'xing'kuo'yin'qi
女子大学教授,nv'zi'da'xue'jiao'shou
偶像的秘密,ou'xiang'de'mi'mi
偶像们的误解,ou'xiang'men'de'wu'jie
叛变的街角,pan'bian'de'jie'jiao
骗局,pian'ju
平次的愤怒,ping'ci'de'fen'nu
平次的回忆,ping'ci'de'hui'yi
平次的叫喊,ping'ci'de'jiao'han
迫近的包围网,po'jin'de'bao'wei'wang
旗本家一族,qi'ben'jia'yi'zu
奇怪的聚会,qi'guai'de'ju'hui
奇怪的移动,qi'guai'de'yi'dong
漆黑的丧葬行列,qi'hei'de'sang'zang'hang'lie
奇幻的尸体,qi'huan'de'shi'ti
奇迹,qi'ji
奇妙的通讯录,qi'miao'de'tong'xun'lu
埼玉県朝霞市,qi'yu'xian'zhao'xia'shi
牵绊的友情,qian'ban'de'you'qing
前锋替补球员,qian'feng'ti'bu'qiu'yuan
千面魔女,qian'mian'mo'nv
前奏曲,qian'zou'qu
枪声的秘密,qiang'sheng'de'mi'mi
巧妙的剑士,qiao'miao'de'jian'shi
窃听器,qie'ting'qi
清纯的香味,qing'chun'de'xiang'wei
青岚,qing'lan
晴了的记忆,qing'le'de'ji'yi
请注意甜美约会,qing'zhu'yi'tian'mei'yue'hui
全日本空手道冠军,quan'ri'ben'kong'shou'dao'guan'jun
确信,que'xin
群马县,qun'ma'xian
染血的绷带,ran'xue'de'beng'dai
热血侦探,re'xue'zhen'tan
任务,ren'wu
人鱼的诅咒,ren'yu'de'zu'zhou
日本大阪府寝屋川市,ri'ben'da'ban'fu'qin'wu'chuan'shi
日本东京都米花市大楼,ri'ben'dong'jing'du'mi'hua'shi'da'lou
日本九州岛福冈县,ri'ben'jiu'zhou'dao'fu'gang'xian
如雷贯耳的嘘声,ru'lei'guan'er'de'xu'sheng
三角滑翔翼,san'jiao'hua'xiang'yi
三条鱼,san'tiao'yu
杀机正浓,sha'ji'zheng'nong
杀人的理由,sha'ren'de'li'you
杀意的咖啡,sha'yi'de'ka'fei
杀意的真相,sha'yi'de'zhen'xiang
闪光弹,shan'guang'dan
少年侦探队,shao'nian'zhen'tan'dui
少年侦探团,shao'nian'zhen'tan'tuan
神秘的世界,shen'mi'de'shi'jie
神秘目光,shen'mi'mu'guang
神器,shen'qi
伸缩吊带,shen'suo'diao'dai
圣诞小子,sheng'dan'xiao'zi
时差的圈套,shi'cha'de'quan'tao
事隔多年的聚会,shi'ge'duo'nian'de'ju'hui
世纪末的魔术师,shi'ji'mo'de'mo'shu'shi
湿毛巾的圈套,shi'mao'jin'de'quan'tao
时效成立,shi'xiao'cheng'li
使用了魔法,shi'yong'le'mo'fa
狮子掉下的东西,shi'zi'diao'xia'de'dong'xi
手表灯,shou'biao'deng
手表型麻醉枪,shou'biao'xing'ma'zui'qiang
首屈一指的女魔术师,shou'qu'yi'zhi'de'nv'mo'shu'shi
手套的罪恶,shou'tao'de'zui'e
暑假的暗号,shu'jia'de'an'hao
谁的推理秀,shui'de'tui'li'xiu
谁都不在了,shui'dou'bu'zai'le
睡美人,shui'mei'ren
说不出口,shuo'bu'chu'kou
说谎的人,shuo'huang'de'ren
四个关键词,si'ge'guan'jian'ci
四辆保时捷,si'liang'bao'shi'jie
死罗神大人,si'luo'shen'da'ren
死人不会说话,si'ren'bu'hui'shuo'hua
死亡岛,si'wang'dao
死亡留言的真正含义,si'wang'liu'yan'de'zhen'zheng'han'yi
太阳能滑板,tai'yang'neng'hua'ban
探长的推理,tan'zhang'de'tui'li
躺下洗脸,tang'xia'xi'lian
逃跑的凶器,tao'pao'de'xiong'qi
逃脱,tao'tuo
逃亡者,tao'wang'zhe
特别篇第卷,te'bie'pian'di'juan
特制溜冰鞋,te'zhi'liu'bing'xie
天空的近道,tian'kong'de'jin'dao
天下人之宝,tian'xia'ren'zhi'bao
天下人之城,tian'xia'ren'zhi'cheng
听天由命,ting'tian'you'ming
同乘者,tong'cheng'zhe
透明人现身,tou'ming'ren'xian'shen
突然的入侵者,tu'ran'de'ru'qin'zhe
推理的答案,tui'li'de'da'an
晚饭的菜单,wan'fan'de'cai'dan
万国惊天掌,wan'guo'jing'tian'zhang
完美解读,wan'mei'jie'du
完全没事,wan'quan'mei'shi
网里面的是,wang'li'mian'de'shi
违背常理的房间,wei'bei'chang'li'de'fang'jian
未获回报的心,wei'huo'hui'bao'de'xin
蔚蓝的灵柩,wei'lan'de'ling'jiu
未说出口的话,wei'shuo'chu'kou'de'hua
危险的来访者,wei'xian'de'lai'fang'zhe
危险的味道,wei'xian'de'wei'dao
危险的相逢,wei'xian'de'xiang'feng
危险的香味,wei'xian'de'xiang'wei
危险的牙医,wei'xian'de'ya'yi
危险讯号,wei'xian'xun'hao
伪者的真实,wei'zhe'de'zhen'shi
伪装,wei'zhuang
伪装的少女,wei'zhuang'de'shao'nv
稳定的时期,wen'ding'de'shi'qi
温暖的大海,wen'nuan'de'da'hai
温暖的海洋,wen'nuan'de'hai'yang
我是个完美主义者,wo'shi'ge'wan'mei'zhu'yi'zhe
无法归来的二人,wu'fa'gui'lai'de'er'ren
无法逃避的目标,wu'fa'tao'bi'de'mu'biao
无法相信的结局,wu'fa'xiang'xin'de'jie'ju
无法消失的证据,wu'fa'xiao'shi'de'zheng'ju
无聊的比赛,wu'liao'de'bi'sai
乌鸦之歌,wu'ya'zhi'ge
吴越同舟,wu'yue'tong'zhou
夕阳与楼梯,xi'yang'yu'lou'ti
狭小密室留下的秘密,xia'xiao'mi'shi'liu'xia'de'mi'mi
现场取证,xian'chang'qu'zheng
限时十五时,xian'shi'shi'wu'shi
线索包围网,xian'suo'bao'wei'wang
显现魔术,xian'xian'mo'shu
像公主的人,xiang'gong'zhu'de'ren
项圈型变声器,xiang'quan'xing'bian'sheng'qi
相同的命运,xiang'tong'de'ming'yun
想隐藏的东西,xiang'yin'cang'de'dong'xi
消不去的回忆,xiao'bu'qu'de'hui'yi
小红帽妹妹,xiao'hong'mao'mei'mei
小兰的眼泪,xiao'lan'de'yan'lei
消失的钝器,xiao'shi'de'dun'qi
消失的光彦,xiao'shi'de'guang'yan
消失的记忆,xiao'shi'de'ji'yi
消失的恋人,xiao'shi'de'lian'ren
消失的男人,xiao'shi'de'nan'ren
消失的尸体,xiao'shi'de'shi'ti
消失的新娘,xiao'shi'de'xin'niang
消失的凶器,xiao'shi'de'xiong'qi
消失的音符,xiao'shi'de'yin'fu
消失在波涛之中,xiao'shi'zai'bo'tao'zhi'zhong
小委托人,xiao'wei'tuo'ren
小五郎大失态,xiao'wu'lang'da'shi'tai
小五郎的选择,xiao'wu'lang'de'xuan'ze
小小的靶子,xiao'xiao'de'ba'zi
小小的目标,xiao'xiao'de'mu'biao
小小的证据,xiao'xiao'de'zheng'ju
小型氧气筒,xiao'xing'yang'qi'tong
些许的不对劲,xie'xu'de'bu'dui'jin
些许的脚印,xie'xu'de'jiao'yin
新兵器,xin'bing'qi
新的老师,xin'de'lao'shi
新的指令,xin'de'zhi'ling
新黑衣成员,xin'hei'yi'cheng'yuan
新婚的悲剧,xin'hun'de'bei'ju
新潟县北泽村,xin'xi'xian'bei'ze'cun
新一的恋人,xin'yi'de'lian'ren
心之所向,xin'zhi'suo'xiang
心中动荡不安,xin'zhong'dong'dang'bu'an
形迹可疑,xing'ji'ke'yi
星星的许愿,xing'xing'de'xu'yuan
星星都知道,xing'xing'dou'zhi'dao
凶器的下落,xiong'qi'de'xia'luo
秀吉转大运,xiu'ji'zhuan'da'yun
袖扣型窃听器,xiu'kou'xing'qie'ting'qi
虚假的爱情,xu'jia'de'ai'qing
虚假的病人,xu'jia'de'bing'ren
虚假的友情,xu'jia'de'you'qing
虚假日期,xu'jia'ri'qi
旋转的凶器,xuan'zhuan'de'xiong'qi
血迹的机关,xue'ji'de'ji'guan
雪女之计,xue'nv'zhi'ji
血染幽灵船,xue'ran'you'ling'chuan
学校的怪事,xue'xiao'de'guai'shi
学校奇谈,xue'xiao'qi'tan
血腥情人节,xue'xing'qing'ren'jie
血型诉说的真相,xue'xing'su'shuo'de'zhen'xiang
巡查部长,xun'cha'bu'zhang
寻找屁股上的印记,xun'zhao'pi'gu'shang'de'yin'ji
岩井由希子,yan'jing'you'xi'zi
验尸官,yan'shi'guan
烟雾弹,yan'wu'dan
伊豆,yi'dou
疑惑的不在场证明,yi'huo'de'bu'zai'chang'zheng'ming
疑惑的咖喱饭,yi'huo'de'ga'li'fan
疑惑的枪声,yi'huo'de'qiang'sheng
疑惑的推理,yi'huo'de'tui'li
疑惑的瑛祐,yi'huo'de'ying'you
疑惑的邮件,yi'huo'de'you'jian
疑惑的真相,yi'huo'de'zhen'xiang
意料之外,yi'liao'zhi'wai
遗漏的东西,yi'lou'de'dong'xi
一去不返的警官,yi'qu'bu'fan'de'jing'guan
艺人总动员,yi'ren'zong'dong'yuan
意外的靶子,yi'wai'de'ba'zi
意外的对手,yi'wai'de'dui'shou
意外的理由,yi'wai'de'li'you
意外的目标,yi'wai'de'mu'biao
意外的启发,yi'wai'de'qi'fa
意外之宝,yi'wai'zhi'bao
意想不到的原因,yi'xiang'bu'dao'de'yuan'yin
饮料瓶之怪,yin'liao'ping'zhi'guai
银色子弹,yin'se'zi'dan
银衣雪女传说,yin'yi'xue'nv'chuan'shuo
隐约的足迹,yin'yue'de'zu'ji
樱田门之变,ying'tian'men'zhi'bian
瑛祐的表白,ying'you'de'biao'bai
影子设计师,ying'zi'she'ji'shi
勇敢的决定,yong'gan'de'jue'ding
勇敢的决断,yong'gan'de'jue'duan
用脚跟制伏了歹徒,yong'jiao'gen'zhi'fu'le'dai'tu
用声音杀人,yong'sheng'yin'sha'ren
幼的目击者,you'de'mu'ji'zhe
有黑痣的女子,you'hei'zhi'de'nv'zi
诱惑的赤马,you'huo'de'chi'ma
幽灵摩天轮,you'ling'mo'tian'lun
幽灵屋之谜,you'ling'wu'zhi'mi
愚蠢的模仿,yu'chun'de'mo'fang
预告函,yu'gao'han
鱼事件,yu'shi'jian
雨中的答案,yu'zhong'de'da'an
雨中的刻印,yu'zhong'de'ke'yin
雨中的似曾相识,yu'zhong'de'si'ceng'xiang'shi
原黑衣组织科学家,yuan'hei'yi'zu'zhi'ke'xue'jia
元太的快速内角球,yuan'tai'de'kuai'su'nei'jiao'qiu
元太的圈套,yuan'tai'de'quan'tao
元太的灾难,yuan'tai'de'zai'nan
原子笔之谜,yuan'zi'bi'zhi'mi
园子的红手绢,yuan'zi'de'hong'shou'juan
月下,yue'xia
再会,zai'hui
炸弹的下落,zha'dan'de'xia'luo
战栗,zhan'li
战栗的总谱,zhan'li'de'zong'pu
詹姆斯约翰,zhan'mu'si'yue'han
招唤死亡的单只手套,zhao'huan'si'wang'de'dan'zhi'shou'tao
照片的下落,zhao'pian'de'xia'luo
这个世上最,zhe'ge'shi'shang'zui
这家伙真无耻,zhe'jia'huo'zhen'wu'chi
这就是真相,zhe'jiu'shi'zhen'xiang
这是真实的,zhe'shi'zhen'shi'de
镇魂曲,zhen'hun'qu
真空的杀人,zhen'kong'de'sha'ren
侦探,zhen'tan
侦探徽章,zhen'tan'hui'zhang
侦探甲子园,zhen'tan'jia'zi'yuan
侦探们的安魂曲,zhen'tan'men'de'an'hun'qu
侦探们的名推理,zhen'tan'men'de'ming'tui'li
侦探团的雪人,zhen'tan'tuan'de'xue'ren
真相的大门,zhen'xiang'de'da'men
真相究明,zhen'xiang'jiu'ming
真正犯人的留言,zhen'zheng'fan'ren'de'liu'yan
证据,zheng'ju
证人生还了,zheng'ren'sheng'huan'le
直球定输赢,zhi'qiu'ding'shu'ying
只有一个目击者,zhi'you'yi'ge'mu'ji'zhe
制造密室,zhi'zao'mi'shi
蜘蛛公馆,zhi'zhu'gong'guan
终点站,zhong'dian'zhan
中头奖,zhong'tou'jiang
重要嫌疑人,zhong'yao'xian'yi'ren
坠落的尸体,zhui'luo'de'shi'ti
追逐兰色小鸟,zhui'zhu'lan'se'xiao'niao
追踪目标,zhui'zong'mu'biao
纵火狂,zong'huo'kuang
走壁滑板,zou'bi'hua'ban
足球腰带,zu'qiu'yao'dai
最初的招呼,zui'chu'de'zhao'hu
最出会恋人,zui'chu'hui'lian'ren
最后的可能性,zui'hou'de'ke'neng'xing
最后的王牌,zui'hou'de'wang'pai
最后的遗言,zui'hou'de'yi'yan
最后一场电影,zui'hou'yi'chang'dian'ying
最后一箭,zui'hou'yi'jian
最终手段,zui'zhong'shou'duan
作梦的地方,zuo'meng'de'di'fang
佐藤的感情,zuo'teng'de'gan'qing
佐藤的胜算,zuo'teng'de'sheng'suan
佐藤的心意,zuo'teng'de'xin'yi
佐藤相亲,zuo'teng'xiang'qin
