阿勃,a'bo
凹地形,ao'di'xing
敖觭,ao'qi
螯形化,ao'xing'hua
螯形化合物,ao'xing'hua'he'wu
巴丹,ba'dan
耙地,ba'di
巴尔得云氏效应,ba'er'de'yun'shi'xiao'ying
拔节,ba'jie
巴拿马草,ba'na'ma'cao
拔取装置,ba'qu'zhuang'zhi
巴氏灭菌,ba'shi'mie'jun
巴氏小体,ba'shi'xiao'ti
拔收,ba'shou
拔亚麻,ba'ya'ma
拔秧,ba'yang
白氨酸,bai'an'suan
白菜,bai'cai
白菜尻腐病,bai'cai'kao'fu'bing
白车轴草,bai'che'zhou'cao
白炽灯,bai'chi'deng
白蛋白,bai'dan'bai
白蛋白定量器,bai'dan'bai'ding'liang'qi
白垩,bai'e
白垩土,bai'e'tu
白粉,bai'fen
白粉病,bai'fen'bing
百分点,bai'fen'dian
白粉蝶,bai'fen'die
百分率,bai'fen'lv
百分数,bai'fen'shu
摆杆步犁,bai'gan'bu'li
百合科蔬菜,bai'he'ke'shu'cai
百合科植物,bai'he'ke'zhi'wu
白喉杆菌,bai'hou'gan'jun
白花的,bai'hua'de
白化体,bai'hua'ti
白化现象,bai'hua'xian'xiang
白肌病,bai'ji'bing
白茧,bai'jian
白碱土,bai'jian'tu
白僵病,bai'jiang'bing
白芥,bai'jie
百斤,bai'jin
百菌清,bai'jun'qing
白蜡树,bai'la'shu
百里香,bai'li'xiang
白米,bai'mi
白米饭,bai'mi'fan
白膜,bai'mo
白内障,bai'nei'zhang
白屈菜中毒,bai'qu'cai'zhong'du
白朊化物,bai'ruan'hua'wu
白三叶草斑点病,bai'san'ye'cao'ban'dian'bing
白三叶草花叶病,bai'san'ye'cao'hua'ye'bing
白色体,bai'se'ti
白色突变体,bai'se'tu'bian'ti
白水,bai'shui
白死卵,bai'si'luan
白细胞减少,bai'xi'bao'jian'shao
白细胞缺乏症,bai'xi'bao'que'fa'zheng
白香草木樨,bai'xiang'cao'mu'xi
白芯大米,bai'xin'da'mi
白血病,bai'xue'bing
败血病,bai'xue'bing
白血病病毒,bai'xue'bing'bing'du
白血球,bai'xue'qiu
白蚁目,bai'yi'mu
败育,bai'yu
败育花粉,bai'yu'hua'fen
白羽扇豆,bai'yu'shan'dou
白云石,bai'yun'shi
白云石粉尘,bai'yun'shi'fen'chen
白昼,bai'zhou
半保留复制,ban'bao'liu'fu'zhi
半变态,ban'bian'tai
半不育性,ban'bu'yu'xing
搬出量,ban'chu'liang
半大陆腐殖质,ban'da'lu'fu'zhi'zhi
半地窖式储存库,ban'di'jiao'shi'chu'cun'ku
斑点,ban'dian
半干旱,ban'gan'han
半干旱地带,ban'gan'han'di'dai
半干旱气候,ban'gan'han'qi'hou
半干青贮,ban'gan'qing'zhu
板固定喷雾器,ban'gu'ding'pen'wu'qi
半固定式喷灌系统,ban'gu'ding'shi'pen'guan'xi'tong
半胱氨酸,ban'guang'an'suan
半合成培养基,ban'he'cheng'pei'yang'ji
半合成饲料,ban'he'cheng'si'liao
瘢痕,ban'hen
瘢痕组织,ban'hen'zu'zhi
瓣花,ban'hua
半寄生物,ban'ji'sheng'wu
半金属,ban'jin'shu
半抗原,ban'kang'yuan
半粒,ban'li
半链轨式拖拉机,ban'lian'gui'shi'tuo'la'ji
斑马,ban'ma
半胚,ban'pei
半染色单体,ban'ran'se'dan'ti
半乳糖,ban'ru'tang
半乳糖醇,ban'ru'tang'chun
半乳糖苷酶,ban'ru'tang'gan'mei
半湿润带,ban'shi'run'dai
半湿润气候,ban'shi'run'qi'hou
半数,ban'shu
半衰期,ban'shuai'qi
半透膜,ban'tou'mo
斑纹,ban'wen
半温床苗床,ban'wen'chuang'miao'chuang
半细毛,ban'xi'mao
半纤维素,ban'xian'wei'su
半纤维素分解细菌,ban'xian'wei'su'fen'jie'xi'jun
半小花的,ban'xiao'hua'de
半悬挂式犁,ban'xuan'gua'shi'li
半悬挂式条播机,ban'xuan'gua'shi'tiao'bo'ji
半血种,ban'xue'zhong
半羽状的,ban'yu'zhuang'de
半月斑,ban'yue'ban
半致死浓度,ban'zhi'si'nong'du
半致死时间,ban'zhi'si'shi'jian
半种,ban'zhong
拌种,ban'zhong
半轴,ban'zhou
板状结构,ban'zhuang'jie'gou
半自动式马铃薯种植机,ban'zi'dong'shi'ma'ling'shu'zhong'zhi'ji
棒状的,bang'zhuang'de
棒状杆菌,bang'zhuang'gan'jun
棒状杆菌病,bang'zhuang'gan'jun'bing
包被,bao'bei
薄壁组织,bao'bi'zu'zhi
薄壁组织的,bao'bi'zu'zhi'de
薄层暗色土,bao'ceng'an'se'tu
薄层干旱土,bao'ceng'gan'han'tu
薄层灰壤,bao'ceng'hui'rang
薄层基岩磐土,bao'ceng'ji'yan'pan'tu
薄层栗钙土,bao'ceng'li'gai'tu
薄层漠境土,bao'ceng'mo'jing'tu
薄层色谱,bao'ceng'se'pu
薄层铁磐灰壤,bao'ceng'tie'pan'hui'rang
薄层土,bao'ceng'tu
保持水,bao'chi'shui
保持系,bao'chi'xi
保存育种,bao'cun'yu'zhong
胞甙,bao'dai
苞的,bao'de
豹蠹蛾,bao'du'e
豹蛾,bao'e
保尔补杀母法,bao'er'bu'sha'mu'fa
胞苷酸,bao'gan'suan
孢梗,bao'geng
雹害,bao'hai
包涵体,bao'han'ti
包涵体肝炎,bao'han'ti'gan'yan
饱和,bao'he
饱和差,bao'he'cha
饱和持水量,bao'he'chi'shui'liang
饱和冲积土,bao'he'chong'ji'tu
饱和粗骨土,bao'he'cu'gu'tu
饱和点,bao'he'dian
饱和度,bao'he'du
饱和灰化土,bao'he'hui'hua'tu
饱和潜育土,bao'he'qian'yu'tu
饱和强风化粘磐土,bao'he'qiang'feng'hua'zhan'pan'tu
饱和溶液,bao'he'rong'ye
饱和始成土,bao'he'shi'cheng'tu
饱和石质土,bao'he'shi'zhi'tu
饱和烃,bao'he'ting
饱和有机土,bao'he'you'ji'tu
饱和粘磐土,bao'he'zhan'pan'tu
饱和脂肪酸,bao'he'zhi'fang'suan
保护地蔬菜,bao'hu'di'shu'cai
保护地园艺,bao'hu'di'yuan'yi
保护反应,bao'hu'fan'ying
保护机制,bao'hu'ji'zhi
保护色,bao'hu'se
保护杀真菌剂,bao'hu'sha'zhen'jun'ji
保护上皮,bao'hu'shang'pi
保护水平,bao'hu'shui'ping
保护行,bao'hu'xing
保护栽培,bao'hu'zai'pei
保护遮板,bao'hu'zhe'ban
保护植物,bao'hu'zhi'wu
保护组织,bao'hu'zu'zhi
保护罪,bao'hu'zui
胞间连丝,bao'jian'lian'si
抱茎的,bao'jing'de
抱茎叶,bao'jing'ye
爆裂种玉米,bao'lie'zhong'yu'mi
苞鳞,bao'lin
抱卵鸡,bao'luan'ji
保姆雌畜,bao'mu'ci'chu
包那病,bao'na'bing
孢囊,bao'nang
胞囊,bao'nang
孢囊群,bao'nang'qun
胞内酶,bao'nei'mei
剥皮,bao'pi
爆破卵,bao'po'luan
保墒,bao'shang
保水力,bao'shui'li
保水性,bao'shui'xing
饱饲,bao'si
胞外的,bao'wai'de
胞外酶,bao'wai'mei
保卫细胞,bao'wei'xi'bao
保温灌溉,bao'wen'guan'gai
包旋形的,bao'xuan'xing'de
胞饮泡,bao'yin'pao
保幼激素,bao'you'ji'su
剥玉米苞叶器,bao'yu'mi'bao'ye'qi
孢原,bao'yuan
胞质分裂,bao'zhi'fen'lie
胞质器,bao'zhi'qi
胞质体,bao'zhi'ti
包装容器,bao'zhuang'rong'qi
胞状腺,bao'zhuang'xian
孢子,bao'zi
孢子虫,bao'zi'chong
抱子甘蓝,bao'zi'gan'lan
孢子果,bao'zi'guo
孢子囊,bao'zi'nang
孢子囊梗,bao'zi'nang'geng
孢子体,bao'zi'ti
孢子形成,bao'zi'xing'cheng
孢子叶,bao'zi'ye
孢子植物,bao'zi'zhi'wu
背膘,bei'biao
被动免疫,bei'dong'mian'yi
被动吸收,bei'dong'xi'shou
背缝,bei'feng
被覆,bei'fu
被覆复合肥料,bei'fu'fu'he'fei'liao
被覆颗粒状肥料,bei'fu'ke'li'zhuang'fei'liao
背负式弥雾器,bei'fu'shi'mi'wu'qi
背负式喷雾器,bei'fu'shi'pen'wu'qi
被覆物,bei'fu'wu
备耕,bei'geng
被害部位,bei'hai'bu'wei
被害量,bei'hai'liang
被害率,bei'hai'lv
被害时期,bei'hai'shi'qi
北极冻土亚带,bei'ji'dong'tu'ya'dai
北极冻原,bei'ji'dong'yuan
北极气候,bei'ji'qi'hou
贝壳粉,bei'ke'fen
被鳞秕的,bei'lin'bi'de
倍硫磷,bei'liu'lin
被膜,bei'mo
被绒毛的,bei'rong'mao'de
贝石灰,bei'shi'hui
被微柔毛的,bei'wei'rou'mao'de
背腺,bei'xian
背斜褶皱,bei'xie'zhe'zhou
备择假设,bei'ze'jia'she
倍增时间,bei'zeng'shi'jian
杯状整枝,bei'zhuang'zheng'zhi
被子的,bei'zi'de
被子植物,bei'zi'zhi'wu
苯胺,ben'an
苯胺蓝,ben'an'lan
苯胺灵,ben'an'ling
苯胺盐,ben'an'yan
苯胺油,ben'an'you
苯丙氨酸,ben'bing'an'suan
苯酚类除草剂,ben'fen'lei'chu'cao'ji
苯甲酸,ben'jia'suan
苯甲酸类除草剂,ben'jia'suan'lei'chu'cao'ji
苯甲腺嘌呤,ben'jia'xian'piao'ling
苯菌灵,ben'jun'ling
奔流,ben'liu
本区,ben'qu
本试验,ben'shi'yan
本文件,ben'wen'jian
本校,ben'xiao
本研究,ben'yan'jiu
苯氧基类除草剂,ben'yang'ji'lei'chu'cao'ji
苯之烯,ben'zhi'xi
绷带,beng'dai
崩塌,beng'ta
比表面积,bi'biao'mian'ji
比对照,bi'dui'zhao
吡哆醇,bi'duo'chun
避钙的,bi'gai'de
闭果,bi'guo
闭合,bi'he
闭花受精,bi'hua'shou'jing
闭花受精的,bi'hua'shou'jing'de
鼻环,bi'huan
比较屠宰法,bi'jiao'tu'zai'fa
鼻疽,bi'ju
鼻孔,bi'kong
秕粒,bi'li
秘鲁胶树,bi'lu'jiao'shu
蓖麻,bi'ma
蓖麻蚕,bi'ma'can
蓖麻蚕品种,bi'ma'can'pin'zhong
蓖麻蚕饲育,bi'ma'can'si'yu
蓖麻害虫,bi'ma'hai'chong
蓖麻菌核病,bi'ma'jun'he'bing
蓖麻叶,bi'ma'ye
蓖麻疫病,bi'ma'yi'bing
蓖麻栽培,bi'ma'zai'pei
蓖麻籽,bi'ma'zi
蓖麻子饼中毒,bi'ma'zi'bing'zhong'du
鼻气管炎,bi'qi'guan'yan
鼻钳,bi'qian
必然事件,bi'ran'shi'jian
必然性,bi'ran'xing
比热,bi're
比色杯,bi'se'bei
比色滴定分析,bi'se'di'ding'fen'xi
比色定量,bi'se'ding'liang
比色分析,bi'se'fen'xi
壁虱,bi'shi
逼熟,bi'shu
闭锁群体,bi'suo'qun'ti
必需氨基酸,bi'xu'an'ji'suan
必需氨基酸指数,bi'xu'an'ji'suan'zhi'shu
必需品,bi'xu'pin
必需元素,bi'xu'yuan'su
必需脂肪酸,bi'xu'zhi'fang'suan
鼻炎,bi'yan
避阳的,bi'yang'de
避雨植物,bi'yu'zhi'wu
比重,bi'zhong
比浊法,bi'zhuo'fa
鼻子,bi'zi
边材,bian'cai
编草袋机,bian'cao'dai'ji
鞭虫,bian'chong
扁豆,bian'dou
扁豆白绢病,bian'dou'bai'juan'bing
扁豆根腐病,bian'dou'gen'fu'bing
扁豆褐斑病,bian'dou'he'ban'bing
扁豆黑霉病,bian'dou'hei'mei'bing
扁豆花叶病,bian'dou'hua'ye'bing
扁豆青枯病,bian'dou'qing'ku'bing
扁豆炭疽病,bian'dou'tan'ju'bing
扁豆叶烧病,bian'dou'ye'shao'bing
变更性,bian'geng'xing
变换表,bian'huan'biao
变换装置,bian'huan'zhuang'zhi
边际,bian'ji
编辑部,bian'ji'bu
边际地,bian'ji'di
边际效应,bian'ji'xiao'ying
扁角鹿,bian'jiao'lu
变量变换,bian'liang'bian'huan
变量表,bian'liang'biao
变率,bian'lv
苄氯菊脂,bian'lv'ju'zhi
鞭毛虫类,bian'mao'chong'lei
鞭毛植物,bian'mao'zhi'wu
变数,bian'shu
变态,bian'tai
变态习性,bian'tai'xi'xing
扁桃,bian'tao
扁桃甙,bian'tao'dai
扁桃体,bian'tao'ti
编委,bian'wei
变温处理,bian'wen'chu'li
变温的,bian'wen'de
变小,bian'xiao
变性,bian'xing
变形虫,bian'xing'chong
变形虫的,bian'xing'chong'de
变形虫样的,bian'xing'chong'yang'de
变形蛋,bian'xing'dan
变性淀粉,bian'xing'dian'fen
变性酒精,bian'xing'jiu'jing
变性淋溶土,bian'xing'lin'rong'tu
变性硫铵,bian'xing'liu'an
变性始成土,bian'xing'shi'cheng'tu
变形体,bian'xing'ti
变性土,bian'xing'tu
变形细胞,bian'xing'xi'bao
变形性关节炎,bian'xing'xing'guan'jie'yan
变形运动,bian'xing'yun'dong
边叶,bian'ye
变异,bian'yi
变异曲线,bian'yi'qu'xian
变异体,bian'yi'ti
变异系数,bian'yi'xi'shu
变异性,bian'yi'xing
变异序列,bian'yi'xu'lie
变应素,bian'ying'su
边缘,bian'yuan
变质岩,bian'zhi'yan
变质酌,bian'zhi'zhuo
变种,bian'zhong
标本,biao'ben
表层施肥,biao'ceng'shi'fei
表层追肥机,biao'ceng'zhui'fei'ji
表观,biao'guan
标记法,biao'ji'fa
标记基因,biao'ji'ji'yin
标记因子,biao'ji'yin'zi
标记原子,biao'ji'yuan'zi
表面耕作,biao'mian'geng'zuo
表面活化剂,biao'mian'huo'hua'ji
表面溃疡,biao'mian'kui'yang
表面喷洒,biao'mian'pen'sa
表面张力,biao'mian'zhang'li
表皮,biao'pi
表皮形成,biao'pi'xing'cheng
表皮原,biao'pi'yuan
标签,biao'qian
表土,biao'tu
表土耕作,biao'tu'geng'zuo
表现度,biao'xian'du
表象,biao'xiang
表型,biao'xing
表型表现,biao'xing'biao'xian
表型迟延现象,biao'xing'chi'yan'xian'xiang
表型方差,biao'xing'fang'cha
表型混和,biao'xing'hun'he
表型可塑性,biao'xing'ke'su'xing
表型群,biao'xing'qun
表型相关,biao'xing'xiang'guan
表型值,biao'xing'zhi
表征,biao'zheng
表中,biao'zhong
标准差,biao'zhun'cha
标准肥料,biao'zhun'fei'liao
标准肥料换算,biao'zhun'fei'liao'huan'suan
标准化,biao'zhun'hua
标准农场,biao'zhun'nong'chang
标准偏回归系数,biao'zhun'pian'hui'gui'xi'shu
标准品种,biao'zhun'pin'zhong
标准乳,biao'zhun'ru
标准施肥量,biao'zhun'shi'fei'liang
标准误,biao'zhun'wu
标准误差,biao'zhun'wu'cha
标准污水,biao'zhun'wu'shui
标准氧化还原电势,biao'zhun'yang'hua'huan'yuan'dian'shi
标准优势,biao'zhun'you'shi
标准正态分布,biao'zhun'zheng'tai'fen'bu
标准种子,biao'zhun'zhong'zi
瘪谷率,bie'gu'lv
滨海土壤,bin'hai'tu'rang
滨海泻湖,bin'hai'xie'hu
濒死,bin'si
彬县,bin'xian
丙氨酸,bing'an'suan
丙氨酸转氨酶,bing'an'suan'zhuan'an'mei
病虫害,bing'chong'hai
病虫害防治,bing'chong'hai'fang'zhi
冰川植物群,bing'chuan'zhi'wu'qun
丙醇,bing'chun
冰点,bing'dian
病毒,bing'du
病毒病,bing'du'bing
病毒检验,bing'du'jian'yan
病毒抗性无性系,bing'du'kang'xing'wu'xing'xi
病毒抗性育种,bing'du'kang'xing'yu'zhong
病毒性,bing'du'xing
病毒学,bing'du'xue
丙二醛,bing'er'quan
病发生,bing'fa'sheng
病害,bing'hai
病害虫,bing'hai'chong
病害防治,bing'hai'fang'zhi
病害预报,bing'hai'yu'bao
病害预察,bing'hai'yu'cha
病害预防,bing'hai'yu'fang
冰核细菌,bing'he'xi'jun
病理,bing'li
病理骨折,bing'li'gu'zhe
病理型,bing'li'xing
丙内酯,bing'nei'zhi
冰碛土,bing'qi'tu
丙醛糖,bing'quan'tang
丙射线,bing'she'xian
冰水,bing'shui
冰水浴,bing'shui'yu
丙酸,bing'suan
丙酸发酵,bing'suan'fa'jiao
丙酸盐,bing'suan'yan
丙酮,bing'tong
丙酮酸,bing'tong'suan
丙酮酸激酶,bing'tong'suan'ji'mei
丙酮酸脱氢酶,bing'tong'suan'tuo'qing'mei
丙酮酸脂羧基酶,bing'tong'suan'zhi'suo'ji'mei
丙酮血症,bing'tong'xue'zheng
丙烯除虫菊,bing'xi'chu'chong'ju
丙烯醛,bing'xi'quan
丙烯酸,bing'xi'suan
冰箱,bing'xiang
冰雪植物,bing'xue'zhi'wu
病原菌类,bing'yuan'jun'lei
病原体,bing'yuan'ti
病原性,bing'yuan'xing
病原性病毒,bing'yuan'xing'bing'du
病原学,bing'yuan'xue
病灶传染,bing'zao'chuan'ran
冰沼潜育土,bing'zhao'qian'yu'tu
病症,bing'zheng
病周期,bing'zhou'qi
病状,bing'zhuang
饼状饲料,bing'zhuang'si'liao
菠菜,bo'cai
菠菜褐斑病,bo'cai'he'ban'bing
菠菜叶斑病,bo'cai'ye'ban'bing
播床,bo'chuang
播床耙平,bo'chuang'ba'ping
薄地,bo'di
搏动,bo'dong
波尔多液,bo'er'duo'ye
簸风选机,bo'feng'xuan'ji
薄荷,bo'he
剥粒,bo'li
玻璃温床,bo'li'wen'chuang
玻璃温室,bo'li'wen'shi
玻璃质暗色土,bo'li'zhi'an'se'tu
播量,bo'liang
波美比重计,bo'mei'bi'zhong'ji
钵苗,bo'miao
薄皮,bo'pi
薄皮茧,bo'pi'jian
播期,bo'qi
播前,bo'qian
博士生,bo'shi'sheng
剥蚀酌,bo'shi'zhuo
薄饲,bo'si
泊松分布,bo'song'fen'bu
波叶的,bo'ye'de
钵栽,bo'zai
钵栽植,bo'zai'zhi
播种,bo'zhong
播种耙,bo'zhong'ba
播种方式,bo'zhong'fang'shi
播种机,bo'zhong'ji
播种量,bo'zhong'liang
播种列,bo'zhong'lie
播种面积,bo'zhong'mian'ji
播种期,bo'zhong'qi
播种前施肥,bo'zhong'qian'shi'fei
播种日期,bo'zhong'ri'qi
播种深度,bo'zhong'shen'du
播种装置,bo'zhong'zhuang'zhi
不安定的,bu'an'ding'de
不饱和冲积土,bu'bao'he'chong'ji'tu
不饱和粗骨土,bu'bao'he'cu'gu'tu
不饱和灰化土,bu'bao'he'hui'hua'tu
不饱和毛管渗透,bu'bao'he'mao'guan'shen'tou
不饱和潜育土,bu'bao'he'qian'yu'tu
不饱和强风化粘磐土,bu'bao'he'qiang'feng'hua'zhan'pan'tu
不饱和始成土,bu'bao'he'shi'cheng'tu
不饱和石质土,bu'bao'he'shi'zhi'tu
不饱和烃,bu'bao'he'ting
不饱和液,bu'bao'he'ye
不饱和有机土,bu'bao'he'you'ji'tu
不饱和粘磐土,bu'bao'he'zhan'pan'tu
不饱和脂肪酸,bu'bao'he'zhi'fang'suan
不变腐殖质,bu'bian'fu'zhi'zhi
不变态,bu'bian'tai
步长,bu'chang
补偿第,bu'chang'di
补偿点,bu'chang'dian
补偿离子层,bu'chang'li'zi'ceng
补偿离子停止层,bu'chang'li'zi'ting'zhi'ceng
补偿能力,bu'chang'neng'li
不超过,bu'chao'guo
补充,bu'chong
补充草地,bu'chong'cao'di
补充发酵,bu'chong'fa'jiao
补充灌溉,bu'chong'guan'gai
不纯净物,bu'chun'jing'wu
不大于,bu'da'yu
步带,bu'dai
步带的,bu'dai'de
步带系,bu'dai'xi
不等叶的,bu'deng'ye'de
不等翼的,bu'deng'yi'de
不低于,bu'di'yu
不定,bu'ding
不定的,bu'ding'de
不定根,bu'ding'gen
不定芽,bu'ding'ya
不动孢子,bu'dong'bao'zi
不动配子,bu'dong'pei'zi
不动姿势,bu'dong'zi'shi
部分排除,bu'fen'pai'chu
不高于,bu'gao'yu
不活动基因,bu'huo'dong'ji'yin
不活性能力,bu'huo'xing'neng'li
不计,bu'ji
不加温温室,bu'jia'wen'wen'shi
不接合,bu'jie'he
布局区域化,bu'ju'qu'yu'hua
不可不,bu'ke'bu
不可否认,bu'ke'fou'ren
不可能事件,bu'ke'neng'shi'jian
不可逆胶体,bu'ke'ni'jiao'ti
不利于,bu'li'yu
补料,bu'liao
不裂的,bu'lie'de
不眠蚕,bu'mian'can
补苗,bu'miao
不能,bu'neng
不能不,bu'neng'bu
不亲和性,bu'qin'he'xing
不全变态,bu'quan'bian'tai
不全角化,bu'quan'jiao'hua
不溶性,bu'rong'xing
哺乳,bu'ru
哺乳动物,bu'ru'dong'wu
哺乳动物学,bu'ru'dong'wu'xue
哺乳母猪,bu'ru'mu'zhu
哺乳羊,bu'ru'yang
捕食,bu'shi
布氏杆菌疫苗,bu'shi'gan'jun'yi'miao
捕食者,bu'shi'zhe
补饲,bu'si
补体,bu'ti
补体结合试验,bu'ti'jie'he'shi'yan
不透水性土壤,bu'tou'shui'xing'tu'rang
不脱皮蚕,bu'tuo'pi'can
不完全发情,bu'wan'quan'fa'qing
不完全花,bu'wan'quan'hua
不完全菌,bu'wan'quan'jun
不完全噬菌体,bu'wan'quan'shi'jun'ti
不完全显性,bu'wan'quan'xian'xing
不完全叶,bu'wan'quan'ye
不稳定性,bu'wen'ding'xing
不显著,bu'xian'zhu
不相上下,bu'xiang'shang'xia
不消化物质,bu'xiao'hua'wu'zhi
不消化有机物质总量,bu'xiao'hua'you'ji'wu'zhi'zong'liang
不小于,bu'xiao'yu
步行的,bu'xing'de
步行足,bu'xing'zu
不言而喻,bu'yan'er'yu
不一定,bu'yi'ding
不育,bu'yu
不育系,bu'yu'xi
不育性,bu'yu'xing
不越年卵,bu'yue'nian'luan
不孕症,bu'yun'zheng
补植,bu'zhi
不知道,bu'zhi'dao
补植空株,bu'zhi'kong'zhu
不至于,bu'zhi'yu
补助剖面,bu'zhu'pou'mian
步足,bu'zu
菜豆,cai'dou
蔡焕杰,cai'huan'jie
采集桑葚,cai'ji'sang'shen
采茧,cai'jian
采精,cai'jing
采精台,cai'jing'tai
采桑,cai'sang
采土器,cai'tu'qi
菜蚜,cai'ya
采样,cai'yang
采样小区,cai'yang'xiao'qu
采叶,cai'ye
菜园,cai'yuan
采摘,cai'zhai
采摘季节,cai'zhai'ji'jie
采种,cai'zhong
菜籽饼,cai'zi'bing
蚕斑纹,can'ban'wen
蚕病,can'bing
蚕病毒性泻病,can'bing'du'xing'xie'bing
蚕病害虫,can'bing'hai'chong
蚕病理,can'bing'li
蚕箔,can'bo
残差,can'cha
残茬堆肥,can'cha'dui'fei
蚕簇,can'cu
残存卵,can'cun'luan
蚕蛋,can'dan
蚕的排泄物,can'de'pai'xie'wu
蚕的生长,can'de'sheng'zhang
蚕的食欲,can'de'shi'yu
蚕豆,can'dou
蚕豆蚜,can'dou'ya
蚕毒气中毒症,can'du'qi'zhong'du'zheng
蚕蛾,can'e
蚕高滤怯齢,can'gao'lv'qie'ling
蚕褐僵病,can'he'jiang'bing
蚕核移植,can'he'yi'zhi
蚕呼吸,can'hu'xi
残积层,can'ji'ceng
蚕寄生虫病,can'ji'sheng'chong'bing
残积物,can'ji'wu
蚕架,can'jia
蚕茧收成,can'jian'shou'cheng
蚕检验,can'jian'yan
蚕茧真空干燥,can'jian'zhen'kong'gan'zao
蚕具,can'ju
蚕具消毒,can'ju'xiao'du
参考书,can'kao'shu
蚕龄,can'ling
残留毒性,can'liu'du'xing
残留量,can'liu'liang
残留性农药,can'liu'xing'nong'yao
蚕卵巢冻结,can'luan'chao'dong'jie
蚕卵检验,can'luan'jian'yan
蚕卵洗落,can'luan'xi'luo
蚕农药中毒症,can'nong'yao'zhong'du'zheng
参评,can'ping
蚕期,can'qi
蚕期消毒,can'qi'xiao'du
蚕人工饲料,can'ren'gong'si'liao
蚕沙,can'sha
残杀威,can'sha'wei
蚕神经系统,can'shen'jing'xi'tong
参试,can'shi
蚕室,can'shi
蚕室消毒,can'shi'xiao'du
参数,can'shu
参数估计,can'shu'gu'ji
蚕丝长,can'si'chang
蚕饲育量,can'si'yu'liang
蚕饲育湿度,can'si'yu'shi'du
蚕饲育温度,can'si'yu'wen'du
蚕体色,can'ti'se
蚕体消毒,can'ti'xiao'du
蚕体重,can'ti'zhong
蚕添加饲料,can'tian'jia'si'liao
蚕网,can'wang
蚕胃液,can'wei'ye
蚕线虫病,can'xian'chong'bing
蚕消化管,can'xiao'hua'guan
蚕血色,can'xue'se
蚕血液循环,can'xue'ye'xun'huan
蚕蛹,can'yong
蚕用草荐,can'yong'cao'jian
残值,can'zhi
蚕种保护,can'zhong'bao'hu
蚕种催青,can'zhong'cui'qing
蚕种冷藏,can'zhong'leng'cang
蚕种生产,can'zhong'sheng'chan
蚕种消毒,can'zhong'xiao'du
蚕座,can'zuo
蚕座密度,can'zuo'mi'du
蚕座消毒,can'zuo'xiao'du
蚕座纸,can'zuo'zhi
苍耳,cang'er
仓鼠,cang'shu
草本植物,cao'ben'zhi'wu
草本植物栽培,cao'ben'zhi'wu'zai'pei
草不绿,cao'bu'lv
草场土壤,cao'chang'tu'rang
草丛密度,cao'cong'mi'du
草达灭,cao'da'mie
草袋,cao'dai
草的,cao'de
草地,cao'di
草地地区,cao'di'di'qu
草地更新,cao'di'geng'xin
草地农业,cao'di'nong'ye
草地喷灌器,cao'di'pen'guan'qi
