挨餐打,ai'can'da
老兜里,lao'dou'li
老子,lao'zi
类死,lei'si
连衣服,lian'yi'fu
两公婆,liang'gong'po
撂,liao
撂得几远,liao'de'ji'yuan
拢衣服,long'yi'fu
裸十子,luo'shi'zi
裸狮子,luo'shi'zi
啰药,luo'yao
落雨,luo'yu
捋圆,luo'yuan
绿,lv
马营子,ma'ying'zi
蛮多冬西,man'duo'dong'xi
蛮朗,man'lang
满四,man'si
蛮跳,man'tiao
蛮吓银,man'xia'yin
蛮于人,man'yu'ren
蛮造孽,man'zao'nie
忙啥哩,mang'sha'li
忙杀哩唧,mang'sha'li'ji
毛得,mao'de
毛个其事,mao'ge'qi'shi
毛零,mao'ling
毛绳,mao'sheng
毛式子,mao'shi'zi
煤狗屎,mei'gou'shi
密姑,mi'gu
灭屎瓜烂,mie'shi'gua'lan
莫个样挖,mo'ge'yang'wa
抹老子,mo'lao'zi
魔其,mo'qi
魔气,mo'qi
默神,mo'shen
男咔人,nan'ka'ren
脑壳上,nao'ke'shang
呢春,ne'chun
泥人,ni'ren
女咔人,nv'ka'ren
女里,nv'li
哦错,o'cuo
盘力,pan'li
泡里,pao'li
辟人股,pi'ren'gu
皮实,pi'shi
披室鬼,pi'shi'gui
披室赖带,pi'shi'lai'dai
匹死尸,pi'si'shi
飘轻,piao'qing
撇外,pie'wai
撇子,pie'zi
婆老人,po'lao'ren
扑到,pu'dao
企到,qi'dao
七骨佬,qi'gu'lao
气伤了,qi'shang'le
掐,qia
恰饭,qia'fan
切,qie
切里货,qie'li'huo
切哪里,qie'na'li
清,qing
清十蛮早,qing'shi'man'zao
雀剥,que'bo
裙立,qun'li
撒,sa
塞赖,sai'lai
赛衣服,sai'yi'fu
散衣服,san'yi'fu
杀辣,sha'la
啥吗,sha'ma
啥么,sha'me
扇别,shan'bie
山冲里,shan'chong'li
扇扇打打,shan'shan'da'da
善头,shan'tou
扇头,shan'tou
扇银,shan'yin
上岭,shang'ling
勺水,shao'shui
舍巴下里,she'ba'xia'li
绳立,sheng'li
斯里八气,si'li'ba'qi
死皮特脸,si'pi'te'lian
斯气,si'qi
死切了毛,si'qie'le'mao
蒜啥力冬西,suan'sha'li'dong'xi
索拉希,suo'la'xi
特今,te'jin
田,tian
天光,tian'guang
挑祸,tiao'huo
条桌,tiao'zhuo
头上,tou'shang
挖笔定,wa'bi'ding
挖比张,wa'bi'zhang
挖假事,wa'jia'shi
挖啥几,wa'sha'ji
哇事,wa'shi
歪肚婆,wai'du'po
捂饭罕菜,wu'fan'han'cai
污面叉嘴,wu'mian'cha'zui
午啥唧,wu'sha'ji
洗朗水澡,xi'lang'shui'zao
细人子,xi'ren'zi
细银挤,xi'yin'ji
下去,xia'qu
下死力,xia'si'li
线车,xian'che
现世,xian'shi
笑,xiao
晓得几好撒几啊,xiao'de'ji'hao'sa'ji'a
笑伤了,xiao'shang'le
消停,xiao'ting
牙里,ya'li
鸭婆,ya'po
牙王口臭,ya'wang'kou'chou
演人,yan'ren
演文,yan'wen
药,yao
叶膀,ye'bang
衣服,yi'fu
银,yin
有肚,you'du
鱼唧,yu'ji
喻四八贴,yu'si'ba'tie
豫四八帖,yu'si'ba'tie
咋挤,za'ji
咋啥挤,za'sha'ji
造孽,zao'nie
灶前,zao'qian
贼姑,zei'gu
招付,zhao'fu
指拇老,zhi'mu'lao
竹立,zhu'li
撞到,zhuang'dao
壮姑子,zhuang'gu'zi
妆演,zhuang'yan
卓劲佬,zhuo'jin'lao
坐班房,zuo'ban'fang
做菜,zuo'cai
作古蛮劲,zuo'gu'man'jin
作揪,zuo'jiu
坐肉,zuo'rou
作死,zuo'si
作死车里,zuo'si'che'li
做田,zuo'tian
作兴,zuo'xing
