爱染锦,ai'ran'jin
黄金花月,huang'jin'hua'yue
黄金万年草,huang'jin'wan'nian'cao
黄丽,huang'li
火祭,huo'ji
鸡蛋莲,ji'dan'lian
姬红小松,ji'hong'xiao'song
姬胧月,ji'long'yue
姬秋丽,ji'qiu'li
吉娃莲,ji'wa'lian
吉娃娃,ji'wa'wa
姬星,ji'xing
姬星美人,ji'xing'mei'ren
姬玉露,ji'yu'lu
尖叶德州景天,jian'ye'de'zhou'jing'tian
介壳虫,jie'qiao'chong
锦化,jin'hua
锦晃星,jin'huang'xing
金钱木,jin'qian'mu
锦上珠,jin'shang'zhu
金手指,jin'shou'zhi
锦司晃,jin'si'huang
金枝玉叶,jin'zhi'yu'ye
静夜,jing'ye
京之华锦,jing'zhi'hua'jin
菊丸,ju'wan
卷绢,juan'juan
快刀乱麻,kuai'dao'luan'ma
阔叶不死鸟,kuo'ye'bu'si'niao
蓝薄雪,lan'bo'xue
兰黛莲,lan'dai'lian
蓝豆,lan'dou
蓝石莲,lan'shi'lian
蓝松,lan'song
蓝万年草,lan'wan'nian'cao
劳尔,lao'er
雷童,lei'tong
丽娜莲,li'na'lian
莲花掌,lian'hua'zhang
猎户座,lie'hu'zuo
林赛,lin'sai
凌娟,ling'juan
绫绢,ling'juan
凌樱,ling'ying
琉璃殿,liu'li'dian
柳叶年华,liu'ye'nian'hua
龙鳞,long'lin
胧月,long'yue
芦荟,lu'hui
鹿角,lu'jiao
鹿角海棠,lu'jiao'hai'tang
露娜莲,lu'na'lian
鲁氏,lu'shi
鲁氏石莲,lu'shi'shi'lian
鲁氏石莲花,lu'shi'shi'lian'hua
露子花,lu'zi'hua
罗密欧,luo'mi'ou
绿薄雪,lv'bo'xue
绿爪,lv'zhao
马齿苋树,ma'chi'xian'shu
毛海星,mao'hai'xing
毛卷娟,mao'juan'juan
美丽莲,mei'li'lian
美尼月迫,mei'ni'yue'po
米兰达,mi'lan'da
密叶莲,mi'ye'lian
明镜,ming'jing
铭月,ming'yue
魔南景天,mo'nan'jing'tian
凝脂菊,ning'zhi'ju
凝脂莲,ning'zhi'lian
钮扣藤,niu'kou'teng
女雏,nv'chu
碰碰香,peng'peng'xiang
皮氏,pi'shi
钱串,qian'chuan
千代田之松,qian'dai'tian'zhi'song
千佛手,qian'fo'shou
千兔耳,qian'tu'er
千羽鹤,qian'yu'he
茜之塔,qian'zhi'ta
青凤凰,qing'feng'huang
清盛锦,qing'sheng'jin
青星美人,qing'xing'mei'ren
秋丽,qiu'li
球松,qiu'song
雀丽,que'li
日本小松,ri'ben'xiao'song
绒针,rong'zhen
瑞典魔南,rui'dian'mo'nan
若歌诗,ruo'ge'shi
若绿,ruo'lv
三角琉璃莲,san'jiao'liu'li'lian
珊瑚珠,shan'hu'zhu
蛇纹十二卷,she'wen'shi'er'juan
神童,shen'tong
神想曲,shen'xiang'qu
生石花,sheng'shi'hua
十二卷,shi'er'juan
石莲,shi'lian
十字星,shi'zi'xing
十字星锦,shi'zi'xing'jin
霜之朝,shuang'zhi'chao
双子座,shuang'zi'zuo
四海波,si'hai'bo
松绿,song'lv
塔洛克,ta'luo'ke
塔松,ta'song
炭疽病,tan'ju'bing
唐印,tang'yin
桃美人,tao'mei'ren
特玉莲,te'yu'lian
天狗之舞,tian'gou'zhi'wu
条纹十二卷,tiao'wen'shi'er'juan
筒叶花月,tong'ye'hua'yue
瓦松,wa'song
万重山,wan'chong'shan
丸叶万年草,wan'ye'wan'nian'cao
丸叶万年草锦,wan'ye'wan'nian'cao'jin
卧牛,wo'niu
五十铃玉,wu'shi'ling'yu
夕山樱,xi'shan'ying
仙女杯,xian'nv'bei
弦月,xian'yue
小和锦,xiao'he'jin
小红衣,xiao'hong'yi
小球玫瑰,xiao'qiu'mei'gui
小人祭,xiao'ren'ji
小松绿,xiao'song'lv
小头,xiao'tou
小仙人球,xiao'xian'ren'qiu
小玉,xiao'yu
新玉坠,xin'yu'zhui
新玉缀,xin'yu'zhui
星美人,xing'mei'ren
星王子,xing'wang'zi
星乙女,xing'yi'nv
熊童子,xiong'tong'zi
熊童子白锦,xiong'tong'zi'bai'jin
锈病,xiu'bing
修女,xiu'nv
秀女,xiu'nv
雪莲,xue'lian
蚜虫,ya'chong
雅乐之舞,ya'yue'zhi'wu
艳日辉,yan'ri'hui
乙女心,yi'nv'xin
银冠,yin'guan
银狐之尾,yin'hu'zhi'wei
银手指,yin'shou'zhi
银霜,yin'shuang
银星,yin'xing
樱水晶,ying'shui'jing
玉吊钟,yu'diao'zhong
玉蝶,yu'die
玉龙观音,yu'long'guan'yin
玉扇,yu'shan
玉树,yu'shu
雨心,yu'xin
玉坠,yu'zhui
原始种,yuan'shi'zhong
圆头玉露,yuan'tou'yu'lu
圆叶景天,yuan'ye'jing'tian
圆叶万年草锦,yuan'ye'wan'nian'cao'jin
月兔耳,yue'tu'er
杂交景天,za'jiao'jing'tian
照波,zhao'bo
珍珠吊兰,zhen'zhu'diao'lan
枝干番杏,zhi'gan'fan'xing
中斑莲花掌,zhong'ban'lian'hua'zhang
朱莲,zhu'lian
蛛丝卷绢,zhu'si'juan'juan
缀化,zhui'hua
子宝,zi'bao
子持白莲,zi'chi'bai'lian
子持莲花,zi'chi'lian'hua
子持年华,zi'chi'nian'hua
紫红牡丹,zi'hong'mu'dan
紫蛮刀,zi'man'dao
紫米粒,zi'mi'li
紫牡丹,zi'mu'dan
紫弦月,zi'xian'yue
紫珍珠,zi'zhen'zhu
紫珍珠锦,zi'zhen'zhu'jin
