矮胖型,ai'pang'xing
肠绒毛,chang'rong'mao
长收肌,chang'shou'ji
长梭形,chang'suo'xing
肠系膜,chang'xi'mo
肠系膜淋巴结,chang'xi'mo'lin'ba'jie
肠系膜上动脉,chang'xi'mo'shang'dong'mai
肠系膜上动脉供血,chang'xi'mo'shang'dong'mai'gong'xue
肠系膜上静脉,chang'xi'mo'shang'jing'mai
肠系膜上下静脉,chang'xi'mo'shang'xia'jing'mai
肠系膜下动脉,chang'xi'mo'xia'dong'mai
肠系膜下静脉,chang'xi'mo'xia'jing'mai
肠腺,chang'xian
肠脂垂,chang'zhi'chui
车轴关节,che'zhou'guan'jie
成对的器官,cheng'dui'de'qi'guan
呈放射状排列,cheng'fang'she'zhuang'pai'lie
成骨细胞,cheng'gu'xi'bao
呈水平位,cheng'shui'ping'wei
尺侧,chi'ce
尺侧副韧带,chi'ce'fu'ren'dai
尺侧腕屈肌,chi'ce'wan'qu'ji
尺侧腕伸肌,chi'ce'wan'shen'ji
尺动脉,chi'dong'mai
尺骨,chi'gu
耻骨,chi'gu
耻骨部,chi'gu'bu
尺骨粗隆,chi'gu'cu'long
耻骨弓,chi'gu'gong
耻骨弓状韧带,chi'gu'gong'zhuang'ren'dai
尺骨冠突,chi'gu'guan'tu
尺骨滑车,chi'gu'hua'che
尺骨滑车切迹,chi'gu'hua'che'qie'ji
耻骨嵴,chi'gu'ji
耻骨肌,chi'gu'ji
耻骨肌线,chi'gu'ji'xian
耻骨间盘,chi'gu'jian'pan
耻骨结节,chi'gu'jie'jie
尺骨茎突,chi'gu'jing'tu
耻骨联合,chi'gu'lian'he
耻骨联合面,chi'gu'lian'he'mian
耻骨前弯,chi'gu'qian'wan
尺骨桡切迹,chi'gu'rao'qie'ji
耻股韧带,chi'gu'ren'dai
耻骨韧带,chi'gu'ren'dai
耻骨上韧带,chi'gu'shang'ren'dai
耻骨上支,chi'gu'shang'zhi
耻骨梳,chi'gu'shu
尺骨体,chi'gu'ti
耻骨体,chi'gu'ti
尺骨头,chi'gu'tou
尺骨下端,chi'gu'xia'duan
耻骨下角,chi'gu'xia'jiao
耻骨下弯,chi'gu'xia'wan
耻骨下支,chi'gu'xia'zhi
尺骨鹰嘴,chi'gu'ying'zui
尺切迹,chi'qie'ji
尺神经,chi'shen'jing
尺神经沟,chi'shen'jing'gou
齿突,chi'tu
齿突凹,chi'tu'ao
齿突尖韧带,chi'tu'jian'ren'dai
齿状核,chi'zhuang'he
齿状回,chi'zhuang'hui
齿状韧带,chi'zhuang'ren'dai
耻坐支不长合,chi'zuo'zhi'bu'chang'he
充盈程度,chong'ying'cheng'du
雏鸡,chu'ji
初级骨化中心,chu'ji'gu'hua'zhong'xin
出脑,chu'nao
处女膜,chu'nv'mo
出人心的大血管,chu'ren'xin'de'da'xue'guan
畜体,chu'ti
传出神经元,chuan'chu'shen'jing'yuan
传导,chuan'dao
传导冲动,chuan'dao'chong'dong
传导路,chuan'dao'lu
传导神经冲动,chuan'dao'shen'jing'chong'dong
传导通路,chuan'dao'tong'lu
传导性,chuan'dao'xing
穿膈肌食管裂孔处,chuan'ge'ji'shi'guan'lie'kong'chu
穿膀胱壁处,chuan'pang'guang'bi'chu
传人神经元,chuan'ren'shen'jing'yuan
锤骨柄,chui'gu'bing
锤骨头,chui'gu'tou
垂体,chui'ti
垂体柄,chui'ti'bing
垂体神经部,chui'ti'shen'jing'bu
垂体窝,chui'ti'wo
垂腕,chui'wan
垂直,chui'zhi
垂直板,chui'zhi'ban
次级骨化中心,ci'ji'gu'hua'zhong'xin
雌激素,ci'ji'su
雌性家禽,ci'xing'jia'qin
从空肠到肛门,cong'kong'chang'dao'gang'men
从口腔到回肠,cong'kou'qiang'dao'hui'chang
从口腔到空肠,cong'kou'qiang'dao'kong'chang
从口腔到十二指肠,cong'kou'qiang'dao'shi'er'zhi'chang
从口腔到食管,cong'kou'qiang'dao'shi'guan
从口腔到胃,cong'kou'qiang'dao'wei
粗蛋白,cu'dan'bai
粗而长,cu'er'chang
粗而短,cu'er'duan
促进精子成熟,cu'jin'jing'zi'cheng'shu
促进囊的收缩,cu'jin'nang'de'shou'suo
粗隆,cu'long
粗线,cu'xian
催产素,cui'chan'su
错误的是,cuo'wu'de'shi
大肠,da'chang
大多角骨,da'duo'jiao'gu
大骨盆,da'gu'pen
大角,da'jiao
大结节,da'jie'jie
大结节嵴,da'jie'jie'ji
大孔,da'kong
大脑,da'nao
大脑半球,da'nao'ban'qiu
大脑大静脉,da'nao'da'jing'mai
大脑大静脉池,da'nao'da'jing'mai'chi
大脑导水管,da'nao'dao'shui'guan
大脑动脉环,da'nao'dong'mai'huan
大脑横裂,da'nao'heng'lie
大脑后动脉,da'nao'hou'dong'mai
大脑后动脉的分支,da'nao'hou'dong'mai'de'fen'zhi
大脑脚,da'nao'jiao
大脑脚底,da'nao'jiao'di
大脑脚脚底,da'nao'jiao'jiao'di
大脑镰,da'nao'lian
大脑皮质,da'nao'pi'zhi
大脑前动脉,da'nao'qian'dong'mai
大脑前动脉的分支,da'nao'qian'dong'mai'de'fen'zhi
大脑上静脉,da'nao'shang'jing'mai
大脑水管,da'nao'shui'guan
大脑外侧窝,da'nao'wai'ce'wo
大脑外侧窝池,da'nao'wai'ce'wo'chi
大脑下静脉,da'nao'xia'jing'mai
大脑中,da'nao'zhong
大脑中动脉,da'nao'zhong'dong'mai
大脑中动脉的分支,da'nao'zhong'dong'mai'de'fen'zhi
大脑中动脉的皮质支,da'nao'zhong'dong'mai'de'pi'zhi'zhi
大脑中动脉的中央支,da'nao'zhong'dong'mai'de'zhong'yang'zhi
大脑中浅静脉,da'nao'zhong'qian'jing'mai
大脑纵裂,da'nao'zong'lie
大脑纵裂池,da'nao'zong'lie'chi
大收肌,da'shou'ji
大腿后伸,da'tui'hou'shen
大腿肌后群,da'tui'ji'hou'qun
大腿旋内,da'tui'xuan'nei
大网膜,da'wang'mo
大循环,da'xun'huan
大翼,da'yi
大阴唇,da'yin'chun
大隐静脉,da'yin'jing'mai
大圆,da'yuan
大圆肌,da'yuan'ji
大转子,da'zhuan'zi
代谢,dai'xie
代谢产物,dai'xie'chan'wu
代谢氮,dai'xie'dan
蛋氨酸,dan'an'suan
蛋白酶,dan'bai'mei
蛋白原,dan'bai'yuan
蛋白质,dan'bai'zhi
蛋白质饲料,dan'bai'zhi'si'liao
单侧收缩使舌尖向同侧,dan'ce'shou'suo'shi'she'jian'xiang'tong'ce
单层,dan'ceng
单层立方上皮,dan'ceng'li'fang'shang'pi
单层柱状上皮,dan'ceng'zhu'zhuang'shang'pi
单动关节,dan'dong'guan'jie
单个,dan'ge
单关节,dan'guan'jie
单核细胞,dan'he'xi'bao
蛋鸡,dan'ji
胆碱,dan'jian
胆囊,dan'nang
胆囊底,dan'nang'di
胆囊动脉,dan'nang'dong'mai
胆囊管,dan'nang'guan
胆囊颈,dan'nang'jing
胆囊切迹,dan'nang'qie'ji
胆囊三角,dan'nang'san'jiao
胆囊体,dan'nang'ti
单宁,dan'ning
单胃,dan'wei
胆汁,dan'zhi
单轴关节,dan'zhou'guan'jie
胆总管,dan'zong'guan
胆总管走行,dan'zong'guan'zou'xing
导水管周围灰质,dao'shui'guan'zhou'wei'hui'zhi
岛叶,dao'ye
岛阈,dao'yu
镫骨,deng'gu
镫骨底,deng'gu'di
第八章,di'ba'zhang
骶丛,di'cong
骶粗隆,di'cu'long
第二肝门,di'er'gan'men
第二个狭窄,di'er'ge'xia'zhai
第二级神经元,di'er'ji'shen'jing'yuan
第二腰椎体,di'er'yao'zhui'ti
第二腰椎体上缘,di'er'yao'zhui'ti'shang'yuan
骶副交感神经核,di'fu'jiao'gan'shen'jing'he
骶骨,di'gu
骶骨底,di'gu'di
骶骨岬,di'gu'jia
骶骨尖,di'gu'jian
骶管,di'guan
骶管裂孔,di'guan'lie'kong
骶后孔,di'hou'kong
骶棘肌,di'ji'ji
骶棘韧带,di'ji'ren'dai
低级中枢,di'ji'zhong'shu
骶岬,di'jia
骶角,di'jiao
骶结节,di'jie'jie
骶结节韧带,di'jie'jie'ren'dai
第六脑室,di'liu'nao'shi
底面的沟回,di'mian'de'gou'hui
骶髂骨间韧带,di'qia'gu'jian'ren'dai
骶髂关节,di'qia'guan'jie
骶髂后韧带,di'qia'hou'ren'dai
骶髂前韧带,di'qia'qian'ren'dai
骶前孔,di'qian'kong
底丘脑,di'qiu'nao
骶曲,di'qu
第三肝门,di'san'gan'men
第三脑室,di'san'nao'shi
第三脑室脉络丛,di'san'nao'shi'mai'luo'cong
第三狭窄,di'san'xia'zhai
第三腰椎体,di'san'yao'zhui'ti
骶神经,di'shen'jing
第十二肋,di'shi'er'lei
第十二胸椎体上缘,di'shi'er'xiong'zhui'ti'shang'yuan
第十胸椎,di'shi'xiong'zhui
第十一胸椎体下缘,di'shi'yi'xiong'zhui'ti'xia'yuan
第四脑室,di'si'nao'shi
第四腰椎体,di'si'yao'zhui'ti
骶外侧动脉,di'wai'ce'dong'mai
第五脑室,di'wu'nao'shi
第五腰椎体,di'wu'yao'zhui'ti
第五跖骨粗隆,di'wu'zhi'gu'cu'long
第一骶椎,di'yi'di'zhui
第一个狭窄,di'yi'ge'xia'zhai
第一肋,di'yi'lei
第一肋骨,di'yi'lei'gu
第一胸椎,di'yi'xiong'zhui
第一腰椎,di'yi'yao'zhui
第一腰椎体,di'yi'yao'zhui'ti
第一章,di'yi'zhang
骶正中嵴,di'zheng'zhong'ji
骶椎,di'zhui
骶椎腰化,di'zhui'yao'hua
骶子宫韧带,di'zi'gong'ren'dai
淀粉酶,dian'fen'mei
电突触,dian'tu'chu
蝶鞍,die'an
蝶顶缝,die'ding'feng
蝶窦,die'dou
蝶腭孔,die'e'kong
蝶骨,die'gu
蝶骨大翼,die'gu'da'yi
蝶骨小翼,die'gu'xiao'yi
蝶筛隐窝,die'shai'yin'wo
叠瓦状,die'wa'zhuang
蝶囟,die'xin
蝶岩软骨结合,die'yan'ruan'gu'jie'he
蝶枕软骨结合,die'zhen'ruan'gu'jie'he
顶盖脊髓束,ding'gai'ji'sui'shu
顶盖前区,ding'gai'qian'qu
顶骨,ding'gu
顶核,ding'he
顶结节,ding'jie'jie
顶孔,ding'kong
顶内沟,ding'nei'gou
顶上小叶,ding'shang'xiao'ye
钉蹄铁,ding'ti'tie
定位标志,ding'wei'biao'zhi
顶下小叶,ding'xia'xiao'ye
顶叶,ding'ye
顶枕沟,ding'zhen'gou
顶枕颞桥束,ding'zhen'nie'qiao'shu
动静脉吻合,dong'jing'mai'wen'he
动脉,dong'mai
动脉导管三角,dong'mai'dao'guan'san'jiao
动脉弓,dong'mai'gong
动脉韧带,dong'mai'ren'dai
动脉血,dong'mai'xue
动脉圆锥,dong'mai'yuan'zhui
动物皮肤,dong'wu'pi'fu
动物体内,dong'wu'ti'nei
动眼神经,dong'yan'shen'jing
动眼神经副核,dong'yan'shen'jing'fu'he
动眼神经核,dong'yan'shen'jing'he
窦房结,dou'fang'jie
窦汇,dou'hui
豆状核,dou'zhuang'he
豆状核的壳,dou'zhuang'he'de'ke
短骨,duan'gu
短厚,duan'hou
断解,duan'jie
端脑,duan'nao
短伸肌,duan'shen'ji
对耳轮,dui'er'lun
对掌运动,dui'zhang'yun'dong
多发性神经炎,duo'fa'xing'shen'jing'yan
多腹肌,duo'fu'ji
多极神经元,duo'ji'shen'jing'yuan
多裂肌,duo'lie'ji
多羽肌,duo'yu'ji
多轴关节,duo'zhou'guan'jie
腭扁桃体,e'bian'tao'ti
腭垂,e'chui
腭大孔,e'da'kong
额窦,e'dou
腭帆,e'fan
腭帆提肌,e'fan'ti'ji
腭帆张肌,e'fan'zhang'ji
腭骨,e'gu
额骨,e'gu
额嵴,e'ji
额结节,e'jie'jie
额鳞,e'lin
额面,e'mian
额内侧回,e'nei'ce'hui
额桥束,e'qiao'shu
额区,e'qu
额上沟,e'shang'gou
额上回,e'shang'hui
腭舌肌,e'she'ji
额神经,e'shen'jing
腭突,e'tu
额突,e'tu
额下沟,e'xia'gou
额下回,e'xia'hui
腭小孔,e'xiao'kong
额囟,e'xin
腭咽肌,e'yan'ji
额叶,e'ye
腭中缝,e'zhong'feng
额中回,e'zhong'hui
额中回后部,e'zhong'hui'hou'bu
耳垂,er'chui
耳大神经,er'da'shen'jing
二分髌骨,er'fen'bin'gu
二腹肌,er'fu'ji
耳郭,er'guo
耳后动脉,er'hou'dong'mai
耳甲腔,er'jia'qiang
耳甲艇,er'jia'ting
二尖瓣,er'jian'ban
耳廓,er'kuo
耳轮,er'lun
耳轮脚,er'lun'jiao
耳颞神经,er'nie'shen'jing
耳屏,er'ping
耳神经节,er'shen'jing'jie
耳蜗,er'wo
二支,er'zhi
耳舟,er'zhou
耳状面,er'zhuang'mian
发音,fa'yin
发育而成,fa'yu'er'cheng
反刍动物,fan'chu'dong'wu
反射,fan'she
反射弧,fan'she'hu
泛酸,fan'suan
返折处,fan'zhe'chu
繁殖,fan'zhi
纺锤形,fang'chui'xing
房间隔,fang'jian'ge
房室瓣,fang'shi'ban
房室交点,fang'shi'jiao'dian
房室结,fang'shi'jie
房室束,fang'shi'shu
房水,fang'shui
方形肩,fang'xing'jian
方形膜,fang'xing'mo
方形小叶,fang'xing'xiao'ye
防止脊柱过度后伸,fang'zhi'ji'zhu'guo'du'hou'shen
防止胫骨后移,fang'zhi'jing'gu'hou'yi
防止躯干后仰,fang'zhi'qu'gan'hou'yang
腓侧,fei'ce
腓侧副热带,fei'ce'fu're'dai
腓侧副韧带,fei'ce'fu'ren'dai
腓肠肌,fei'chang'ji
腓肠内侧皮神经,fei'chang'nei'ce'pi'shen'jing
腓肠神经,fei'chang'shen'jing
腓肠外侧皮神经,fei'chang'wai'ce'pi'shen'jing
肥大细胞,fei'da'xi'bao
肥大细胞分泌,fei'da'xi'bao'fen'mi
肺底,fei'di
肺动脉,fei'dong'mai
肺动脉瓣,fei'dong'mai'ban
肺动脉干,fei'dong'mai'gan
肺动脉干根部,fei'dong'mai'gan'gen'bu
肺动脉口,fei'dong'mai'kou
肺根,fei'gen
肺根后方,fei'gen'hou'fang
腓骨,fei'gu
腓骨长肌,fei'gu'chang'ji
腓骨短肌,fei'gu'duan'ji
腓骨肌上下支持带,fei'gu'ji'shang'xia'zhi'chi'dai
腓骨颈,fei'gu'jing
腓骨上端,fei'gu'shang'duan
腓骨头,fei'gu'tou
腓骨头前韧带,fei'gu'tou'qian'ren'dai
腓骨下端,fei'gu'xia'duan
腓骨下端关节盘,fei'gu'xia'duan'guan'jie'pan
腓关节面,fei'guan'jie'mian
肺尖,fei'jian
肺静脉,fei'jing'mai
肺静脉口,fei'jing'mai'kou
肺门,fei'men
腓浅神经,fei'qian'shen'jing
腓切迹,fei'qie'ji
肺韧带,fei'ren'dai
肺上静脉,fei'shang'jing'mai
肺上下静脉,fei'shang'xia'jing'mai
肺上叶,fei'shang'ye
腓深神经,fei'shen'shen'jing
飞蚊症,fei'wen'zheng
肺下静脉,fei'xia'jing'mai
肺下叶,fei'xia'ye
非营养性添加剂,fei'ying'yang'xing'tian'jia'ji
肥育,fei'yu
腓总神经,fei'zong'shen'jing
分节运动,fen'jie'yun'dong
分两叶,fen'liang'ye
分泌,fen'mi
分泌功能,fen'mi'gong'neng
分泌女性激素,fen'mi'nv'xing'ji'su
分泌液体,fen'mi'ye'ti
分娩,fen'mian
分歧韧带,fen'qi'ren'dai
分支,fen'zhi
丰富的吻合,feng'fu'de'wen'he
缝匠肌,feng'jiang'ji
封套筋膜,feng'tao'jin'mo
腹白线,fu'bai'xian
副半奇静脉,fu'ban'qi'jing'mai
腹壁肌,fu'bi'ji
腹壁浅静脉,fu'bi'qian'jing'mai
腹壁下动脉,fu'bi'xia'dong'mai
腹部,fu'bu
腹侧,fu'ce
附睾,fu'gao
附睾管,fu'gao'guan
附睾头,fu'gao'tou
跗骨,fu'gu
腹股沟部,fu'gu'gou'bu
腹股沟管,fu'gu'gou'guan
腹股沟管皮下环,fu'gu'gou'guan'pi'xia'huan
腹股沟管浅环,fu'gu'gou'guan'qian'huan
腹股沟镰,fu'gu'gou'lian
腹股沟淋巴管,fu'gu'gou'lin'ba'guan
腹股沟淋巴结,fu'gu'gou'lin'ba'jie
腹股沟浅环,fu'gu'gou'qian'huan
腹股沟浅淋巴结,fu'gu'gou'qian'lin'ba'jie
腹股沟韧带,fu'gu'gou'ren'dai
腹股沟韧带内侧半上方,fu'gu'gou'ren'dai'nei'ce'ban'shang'fang
腹股沟韧面深面,fu'gu'gou'ren'mian'shen'mian
跗骨间关节,fu'gu'jian'guan'jie
复关节,fu'guan'jie
跗关节,fu'guan'jie
跗横关节,fu'heng'guan'jie
腹横机,fu'heng'ji
腹横肌,fu'heng'ji
腹横肌腱膜在,fu'heng'ji'jian'mo'zai
腹横筋膜,fu'heng'jin'mo
腹后侧核,fu'hou'ce'he
腹后核,fu'hou'he
腹后内外侧核,fu'hou'nei'wai'ce'he
腹环,fu'huan
腹环至皮下环一段,fu'huan'zhi'pi'xia'huan'yi'duan
副交感节后纤维,fu'jiao'gan'jie'hou'xian'wei
副交感节前纤维,fu'jiao'gan'jie'qian'xian'wei
副交感神经,fu'jiao'gan'shen'jing
浮肋,fu'lei
腹膜,fu'mo
覆膜,fu'mo
腹膜从腹壁,fu'mo'cong'fu'bi
腹膜及会阴,fu'mo'ji'hui'yin
腹膜间位器官,fu'mo'jian'wei'qi'guan
腹膜结构是,fu'mo'jie'gou'shi
腹膜内位器官,fu'mo'nei'wei'qi'guan
腹膜腔,fu'mo'qiang
腹膜腔内,fu'mo'qiang'nei
腹膜鞘突,fu'mo'qiao'tu
腹膜外位器官,fu'mo'wai'wei'qi'guan
腹内斜肌,fu'nei'xie'ji
腹内斜肌和,fu'nei'xie'ji'he
腹内斜肌腱膜,fu'nei'xie'ji'jian'mo
腹内斜肌腱膜后层,fu'nei'xie'ji'jian'mo'hou'ceng
腹内斜肌腱膜前,fu'nei'xie'ji'jian'mo'qian
附脐静脉,fu'qi'jing'mai
腹前核,fu'qian'he
腹前外侧群,fu'qian'wai'ce'qun
腹腔,fu'qiang
腹腔丛,fu'qiang'cong
腹腔动脉,fu'qiang'dong'mai
腹腔干,fu'qiang'gan
腹腔淋巴结,fu'qiang'lin'ba'jie
腹腔全部,fu'qiang'quan'bu
腹腔神经节,fu'qiang'shen'jing'jie
腹上区,fu'shang'qu
辐射,fu'she
辐射冠,fu'she'guan
复肾,fu'shen
副神经,fu'shen'jing
副神经核,fu'shen'jing'he
腹外侧核,fu'wai'ce'he
腹外斜肌,fu'wai'xie'ji
腹外斜肌腱膜,fu'wai'xie'ji'jian'mo
腹下丛,fu'xia'cong
腹泻,fu'xie
附于横结肠和胃大弯,fu'yu'heng'jie'chang'he'wei'da'wan
附肢骨,fu'zhi'gu
附肢骨骼,fu'zhi'gu'ge
附肢骨连结,fu'zhi'gu'lian'jie
跗跖关节,fu'zhi'guan'jie
腹直肌,fu'zhi'ji
腹直肌鞘,fu'zhi'ji'qiao
腹直肌鞘前层,fu'zhi'ji'qiao'qian'ceng
腹中部,fu'zhong'bu
腹主动脉,fu'zhu'dong'mai
腹主动脉的分支,fu'zhu'dong'mai'de'fen'zhi
辅助结构,fu'zhu'jie'gou
副左肾动脉,fu'zuo'shen'dong'mai
盖壁,gai'bi
肝固有动脉,gan'gu'you'dong'mai
肝冠状韧带,gan'guan'zhuang'ren'dai
干骺端,gan'hou'duan
肝静脉,gan'jing'mai
感觉机能,gan'jue'ji'neng
感觉器,gan'jue'qi
感觉上皮,gan'jue'shang'pi
感觉神经元,gan'jue'shen'jing'yuan
感觉系统,gan'jue'xi'tong
感觉性,gan'jue'xing
感觉性语言中枢,gan'jue'xing'yu'yan'zhong'shu
橄榄,gan'lan
橄榄体,gan'lan'ti
肝镰状韧带,gan'lian'zhuang'ren'dai
肝裸区,gan'luo'qu
肝门静脉,gan'men'jing'mai
肝门静脉系,gan'men'jing'mai'xi
肝门静脉右后支,gan'men'jing'mai'you'hou'zhi
肝门静脉右前支,gan'men'jing'mai'you'qian'zhi
肝门静脉右支,gan'men'jing'mai'you'zhi
肝门静脉左支,gan'men'jing'mai'zuo'zhi
肝肾隐窝,gan'shen'yin'wo
肝十二指肠韧带,gan'shi'er'zhi'chang'ren'dai
感受器,gan'shou'qi
肝素,gan'su
肝胃韧带,gan'wei'ren'dai
肝尾叶,gan'wei'ye
肝尾状叶,gan'wei'zhuang'ye
干眼症,gan'yan'zheng
感应性,gan'ying'xing
肝右动静脉,gan'you'dong'jing'mai
肝右静脉,gan'you'jing'mai
肝右前叶,gan'you'qian'ye
肝右叶,gan'you'ye
肝圆韧带,gan'yuan'ren'dai
肝圆韧带裂,gan'yuan'ren'dai'lie
肝圆韧带切迹,gan'yuan'ren'dai'qie'ji
肝中间静脉,gan'zhong'jian'jing'mai
肝中静脉,gan'zhong'jing'mai
肝总动脉,gan'zong'dong'mai
肝总管,gan'zong'guan
肝左动静脉,gan'zuo'dong'jing'mai
肝左静脉,gan'zuo'jing'mai
肝左外叶,gan'zuo'wai'ye
肝左叶,gan'zuo'ye
肝左右管,gan'zuo'you'guan
肛瓣,gang'ban
肛动脉,gang'dong'mai
肛管,gang'guan
肛门,gang'men
肛门括约肌,gang'men'kuo'yue'ji
肛门内外括约肌,gang'men'nei'wai'kuo'yue'ji
肛门外括约肌,gang'men'wai'kuo'yue'ji
肛三角,gang'san'jiao
冈上肌,gang'shang'ji
冈上窝,gang'shang'wo
肛神经,gang'shen'jing
肛提肌,gang'ti'ji
冈下肌,gang'xia'ji
冈下窝,gang'xia'wo
肛柱,gang'zhu
睾丸,gao'wan
睾丸部,gao'wan'bu
睾丸动静脉,gao'wan'dong'jing'mai
睾丸动脉,gao'wan'dong'mai
睾丸间质细胞,gao'wan'jian'zhi'xi'bao
睾丸静脉,gao'wan'jing'mai
睾丸鞘膜,gao'wan'qiao'mo
睾丸鞘膜壁层,gao'wan'qiao'mo'bi'ceng
睾丸鞘膜脏层,gao'wan'qiao'mo'zang'ceng
睾丸网,gao'wan'wang
高脂肪,gao'zhi'fang
膈的食管裂孔,ge'de'shi'guan'lie'kong
膈肌,ge'ji
膈脚,ge'jiao
膈结肠韧带,ge'jie'chang'ren'dai
鸽乳,ge'ru
个乳头孔,ge'ru'tou'kong
膈神经,ge'shen'jing
鸽子,ge'zi
根部,gen'bu
跟腓韧带,gen'fei'ren'dai
跟骨,gen'gu
跟骨结节,gen'gu'jie'jie
跟腱,gen'jian
跟结节,gen'jie'jie
跟骰关节,gen'tou'guan'jie
跟舟足底韧带,gen'zhou'zu'di'ren'dai
肱尺关节,gong'chi'guan'jie
肱动脉,gong'dong'mai
肱二头肌,gong'er'tou'ji
肱二头肌长头腱,gong'er'tou'ji'chang'tou'jian
肱二头肌腱,gong'er'tou'ji'jian
