巴巴,ba'ba
齁心,hou'xin
胡搓,hu'cuo
黄鳝,huang'shan
晃子,huang'zi
几斗处处,ji'dou'chu'chu
脊翎子,ji'ling'zi
鸡着包,ji'zhe'bao
羁作包,ji'zuo'bao
夹道,jia'dao
尖绝,jian'jue
见天,jian'tian
将将儿,jiang'jiang'er
叫唤,jiao'huan
叫驴,jiao'lv
脚丫巴子,jiao'ya'ba'zi
角鯣,jiao'yi
解手,jie'shou
接下壳子,jie'xia'ke'zi
劲窝,jin'wo
妗子,jin'zi
精猫,jing'mao
酒浮糟,jiu'fu'zao
绝户头,jue'hu'tou
嚼血沫子,jue'xue'mo'zi
开水瓶,kai'shui'ping
开悟,kai'wu
看好,kan'hao
扛二蛋,kang'er'dan
克包,ke'bao
客烦,ke'fan
蝌蟆孤子,ke'ma'gu'zi
口,kou
瘌头巴子,la'tou'ba'zi
狼巴子,lang'ba'zi
郎猫,lang'mao
浪瓢,lang'piao
老的,lao'de
老房子,lao'fang'zi
老改敲,lao'gai'qiao
老干娘,lao'gan'niang
老干爷,lao'gan'ye
老鸹,lao'gua
老嗨,lao'hai
老犍,lao'jian
老嫲,lao'ma
老太,lao'tai
老头子,lao'tou'zi
利朗,li'lang
俩口,lia'kou
连襟,lian'jin
两半各,liang'ban'ge
凉来,liang'lai
料田坡,liao'tian'po
螺蛳牞子,luo'si'jiu'zi
落月,luo'yue
马鳖,ma'bie
麻份子,ma'fen'zi
马会儿,ma'hui'er
妈头子,ma'tou'zi
麦罢草了,mai'ba'cao'le
茅厕,mao'ce
猫猴子,mao'hou'zi
猫叽,mao'ji
美死,mei'si
咪猫,mi'mao
命冰,ming'bing
命淋,ming'lin
末疙瘩,mo'ge'da
那,na
那本儿,na'ben'er
那不哋儿,na'bu'di'er
南无天北无地,na'mo'tian'bei'wu'di
那子,na'zi
脑麻勺子,nao'ma'shao'zi
娘儿化的,niang'er'hua'de
尿窑罐,niao'yao'guan
牛血,niu'xue
欧血,ou'xie
扒灰头,pa'hui'tou
排道儿,pai'dao'er
盘,pan
跑肚,pao'du
跑了,pao'le
喷大蛋,pen'da'dan
谝,pian
片子,pian'zi
撇呱,pie'gua
破上,po'shang
俏巴,qiao'ba
曲蟮,qu'shan
缺夏,que'xia
热火燎灶,re'huo'liao'zao
惹万儿,re'wan'er
人家,ren'jia
日它对儿,ri'ta'dui'er
日头,ri'tou
入作,ru'zuo
骚胡,sao'hu
扫帚星,sao'zhou'xing
傻半吊子,sha'ban'diao'zi
刹货,sha'huo
上冻,shang'dong
烧包,shao'bao
潲水,shao'shui
设非,she'fei
十不初一,shi'bu'chu'yi
手电,shou'dian
手绢,shou'juan
手摇子,shou'yao'zi
叔老,shu'lao
刷呱,shua'gua
耍欧血,shua'ou'xue
水牯子,shui'gu'zi
水沙,shui'sha
水羊,shui'yang
说古迹,shuo'gu'ji
笋鸡,sun'ji
胎,tai
太巴,tai'ba
汤巴子,tang'ba'zi
搪孬,tang'nao
堂屋,tang'wu
甜干子,tian'gan'zi
帖,tie
贴微儿,tie'wei'er
土狗子,tu'gou'zi
腿盖包,tui'gai'bao
豚子,tun'zi
歪鬼,wai'gui
崴门子,wai'men'zi
完亲,wan'qin
往过儿,wang'guo'er
窝脓,wo'nong
五黄六月,wu'huang'liu'yue
物先,wu'xian
喜俏,xi'qiao
细作,xi'zuo
挦,xian
香胰子,xiang'yi'zi
小妮子,xiao'ni'zi
小日麦的,xiao'ri'mai'de
小叔子,xiao'shu'zi
歇发,xie'fa
歇一绊,xie'yi'ban
悬乎,xuan'hu
雪,xue
熏,xun
牙棱,ya'leng
牙猪,ya'zhu
燕憋虎子,yan'bie'hu'zi
眼惜,yan'xi
盐子子,yan'zi'zi
秧板,yang'ban
洋道,yang'dao
样定罗弄,yang'ding'luo'nong
爷儿化,ye'er'hua
一丁点儿,yi'ding'dian'er
一火口,yi'huo'kou
一口,yi'kou
一牌,yi'pai
一杂子,yi'za'zi
油果子,you'guo'zi
有抹,you'mo
有喜,you'xi
月白,yue'bai
月婆婆,yue'po'po
杂毛,za'mao
咋味儿来,za'wei'er'lai
杂下水,za'xia'shui
崽头,zai'tou
早曦,zao'xi
这一磨儿,zhe'yi'mo'er
正二八经,zheng'er'ba'jing
正儿八经,zheng'er'ba'jing
主贵珍贵,zhu'gui'zhen'gui
主户,zhu'hu
赚头,zhuan'tou
擢,zhuo
钻窟隆打洞,zuan'ku'long'da'dong
作假,zuo'jia
