饱和,bao'he
中深管井,zhong'shen'guan'jing
注册岩土工程师,zhu'ce'yan'tu'gong'cheng'shi
注册岩土工程师论坛,zhu'ce'yan'tu'gong'cheng'shi'lun'tan
主撑,zhu'cheng
主支撑,zhu'zhi'cheng
柱状,zhu'zhuang
桩撑,zhuang'cheng
桩撑支护,zhuang'cheng'zhi'hu
桩基,zhuang'ji
桩基础,zhuang'ji'chu
桩间距,zhuang'jian'ju
桩锚,zhuang'mao
桩锚支护,zhuang'mao'zhi'hu
桩排,zhuang'pai
自重固结,zi'zhong'gu'jie
综合分析,zong'he'fen'xi
钻孔,zuan'kong
钻孔灌注桩,zuan'kong'guan'zhu'zhuang
钻探,zuan'tan
