阿是穴,a'shi'xue
鼻针,bi'zhen
鼻针麻醉,bi'zhen'ma'zui
闭证,bi'zheng
臂中,bi'zhong
鼻柱,bi'zhu
鼻准,bi'zhun
辨络脉,bian'luo'mai
便秘,bian'mi
扁鹊,bian'que
砭石,bian'shi
便溏,bian'tang
扁桃体,bian'tao'ti
砭针,bian'zhen
辨证,bian'zheng
辨证论治,bian'zheng'lun'zhi
标本,biao'ben
表里,biao'li
表里配穴法,biao'li'pei'xue'fa
表实,biao'shi
表虚,biao'xu
表证,biao'zheng
别穴,bie'xue
秉风,bing'feng
病候,bing'hou
病机,bing'ji
病入膏肓,bing'ru'gao'huang
冰台,bing'tai
病因辨证,bing'yin'bian'zheng
病在中旁取之,bing'zai'zhong'pang'qu'zhi
剥苔,bo'tai
不定穴,bu'ding'xue
补法,bu'fa
步廊,bu'lang
补气,bu'qi
不容,bu'rong
补肾,bu'shen
补生泻成,bu'sheng'xie'cheng
补泻手法,bu'xie'shou'fa
不锈钢针,bu'xiu'gang'zhen
补血,bu'xue
补阳,bu'yang
补阴,bu'yin
不育,bu'yu
不孕,bu'yun
苍龟探穴,cang'gui'tan'xue
苍龙摆尾,cang'long'bai'wei
插花,cha'hua
产后大便难,chan'hou'da'bian'nan
产后乳汁自出,chan'hou'ru'zhi'zi'chu
产后水肿,chan'hou'shui'zhong
产后腰痛,chan'hou'yao'tong
产后遗尿,chan'hou'yi'niao
缠腰火丹,chan'yao'huo'dan
镵针,chan'zhen
长谷,chang'gu
长髎,chang'liao
肠鸣,chang'ming
长平,chang'ping
长强,chang'qiang
长蛇灸,chang'she'jiu
长溪,chang'xi
长夏,chang'xia
肠痈,chang'yong
长针,chang'zhen
潮热,chao're
臣觉,chen'jue
沉脉,chen'mai
承扶,cheng'fu
承光,cheng'guang
承浆,cheng'jiang
承筋,cheng'jin
承灵,cheng'ling
承满,cheng'man
承命,cheng'ming
承泣,cheng'qi
承山,cheng'shan
赤白肉际,chi'bai'rou'ji
豉饼灸,chi'bing'jiu
赤凤迎源,chi'feng'ying'yuan
迟脉,chi'mai
瘈脉,chi'mai
齿衄,chi'nv
尺泽,chi'ze
鍉针,chi'zhen
持针法,chi'zhen'fa
冲道,chong'dao
冲脉,chong'mai
冲脉穴,chong'mai'xue
冲门,chong'men
冲阳,chong'yang
抽添法,chou'tian'fa
触电感,chu'dian'gan
出针,chu'zhen
穿鼻,chuan'bi
川椒饼灸,chuan'jiao'bing'jiu
喘鸣,chuan'ming
喘息,chuan'xi
串雅内外篇,chuan'ya'nei'wai'pian
喘证,chuan'zheng
窗笼,chuang'long
疮疡,chuang'yang
疮疡灸法,chuang'yang'jiu'fa
垂浆,chui'jiang
垂前,chui'qian
垂手,chui'shou
唇里,chun'li
淳于意,chun'yu'yi
唇针,chun'zhen
唇针麻醉,chun'zhen'ma'zui
唇肿,chun'zhong
慈宫,ci'gong
刺激参数,ci'ji'can'shu
刺禁,ci'jin
次髎,ci'liao
磁疗,ci'liao
次门,ci'men
刺血疗法,ci'xue'liao'fa
瓷针,ci'zhen
磁针,ci'zhen
磁珠疗法,ci'zhu'liao'fa
大包,da'bao
大便干结,da'bian'gan'jie
大补大泻,da'bu'da'xie
大肠,da'chang
大肠经,da'chang'jing
大肠俞,da'chang'yu
大冲,da'chong
大都,da'du
大敦,da'dun
大谷,da'gu
大骨空,da'gu'kong
大骨枯槁,da'gu'ku'gao
大赫,da'he
大横,da'heng
大接经法,da'jie'jing'fa
大经,da'jing
大巨,da'ju
大陵,da'ling
大络,da'luo
大门,da'men
大泉,da'quan
大肉陷下,da'rou'xian'xia
大腧,da'shu
大蒜,da'suan
大泻,da'xie
大泻刺,da'xie'ci
大阴脉,da'yin'mai
大迎,da'ying
大羽,da'yu
大针,da'zhen
大钟,da'zhong
大杼,da'zhu
大眦,da'zi
带脉,dai'mai
丹毒,dan'du
胆经,dan'jing
胆囊,dan'nang
单手进针法,dan'shou'jin'zhen'fa
丹田,dan'tian
胆俞,dan'yu
当容,dang'rong
当阳,dang'yang
盗汗,dao'han
导气,dao'qi
导引,dao'yin
捣针,dao'zhen
得气,de'qi
灯草灸,deng'cao'jiu
灯火灸,deng'huo'jiu
地部,di'bu
地仓,di'cang
地合,di'he
地机,di'ji
地卫,di'wei
地五,di'wu
地五会,di'wu'hui
地支,di'zhi
点刺,dian'ci
巅顶痛,dian'ding'tong
癫狂,dian'kuang
电热灸,dian're'jiu
巅上,dian'shang
电兴奋疗法,dian'xing'fen'liao'fa
点穴,dian'xue
电针法,dian'zhen'fa
电针机,dian'zhen'ji
电针麻醉,dian'zhen'ma'zui
定喘,ding'chuan
顶门,ding'men
顶上回毛,ding'shang'hui'mao
动而伸之,dong'er'shen'zhi
东医宝鉴,dong'yi'bao'jian
斗肘,dou'zhou
犊鼻,du'bi
督脊,du'ji
督脉,du'mai
督脉络,du'mai'luo
独阴,du'yin
督俞,du'yu
短刺,duan'ci
兑端,dui'duan
对耳轮,dui'er'lun
对耳轮上脚,dui'er'lun'shang'jiao
对耳轮体部,dui'er'lun'ti'bu
对耳轮下脚,dui'er'lun'xia'jiao
对耳屏,dui'er'ping
兑骨,dui'gu
对屏尖,dui'ping'jian
对应取穴,dui'ying'qu'xue
顿灸,dun'jiu
多汗,duo'han
多梦,duo'meng
夺命,duo'ming
多针浅刺,duo'zhen'qian'ci
额角,e'jiao
鹅口疮,e'kou'chuang
额颅,e'lu
饿马摇铃,e'ma'yao'ling
呃逆,e'ni
二白,er'bai
耳背肺,er'bei'fei
耳背肝,er'bei'gan
耳背沟,er'bei'gou
耳背脾,er'bei'pi
耳背肾,er'bei'shen
耳背心,er'bei'xin
耳垂,er'chui
耳和髎,er'he'liao
耳后发际,er'hou'fa'ji
耳甲,er'jia
耳甲腔,er'jia'qiang
耳甲艇,er'jia'ting
耳尖,er'jian
二间,er'jian
耳壳视诊,er'ke'shi'zhen
耳廓,er'kuo
耳聋,er'long
耳轮,er'lun
耳轮脚,er'lun'jiao
耳轮结节,er'lun'jie'jie
耳轮尾,er'lun'wei
耳门,er'men
耳迷根,er'mi'gen
耳鸣,er'ming
耳屏,er'ping
耳上,er'shang
耳上发际,er'shang'fa'ji
耳神门,er'shen'men
二十七气,er'shi'qi'qi
耳痛,er'tong
耳心痛,er'xin'tong
耳穴贴敷法,er'xue'tie'fu'fa
耳穴综合疗法,er'xue'zong'he'liao'fa
二阳,er'yang
二阴,er'yin
耳针,er'zhen
耳针麻醉,er'zhen'ma'zui
儿枕痛,er'zhen'tong
二趾上,er'zhi'shang
耳中,er'zhong
耳舟,er'zhou
二椎下,er'zhui'xia
发洪,fa'hong
发际,fa'ji
发泡,fa'pao
发泡灸,fa'pao'jiu
发热,fa're
返本还原,fan'ben'huan'yuan
反应点,fan'ying'dian
烦躁,fan'zao
燔针,fan'zhen
飞法,fei'fa
肺合大肠,fei'he'da'chang
飞虎,fei'hu
肺经,fei'jing
飞经走气,fei'jing'zou'qi
飞门,fei'men
肺募,fei'mu
肺肾两虚,fei'shen'liang'xu
飞腾八法,fei'teng'ba'fa
肺系,fei'xi
飞扬,fei'yang
肺俞,fei'yu
肺主气,fei'zhu'qi
分刺,fen'ci
分娩,fen'mian
分肉,fen'rou
分中,fen'zhong
风池,feng'chi
风府,feng'fu
风关,feng'guan
风寒湿痹,feng'han'shi'bi
凤凰展翅,feng'huang'zhan'chi
丰隆,feng'long
风门,feng'men
风热,feng're
风市,feng'shi
风湿,feng'shi
风溪,feng'xi
锋针,feng'zhen
腹哀,fu'ai
浮白,fu'bai
伏冲,fu'chong
浮刺,fu'ci
腹第二侧线,fu'di'er'ce'xian
腹第三侧线,fu'di'san'ce'xian
腹第一侧线,fu'di'yi'ce'xian
附分,fu'fen
腑会,fu'hui
腹结,fu'jie
复溜,fu'liu
浮络,fu'luo
浮脉,fu'mai
腹满,fu'man
浮郄,fu'qie
府舍,fu'she
腹痛,fu'tong
腹通谷,fu'tong'gu
伏兔,fu'tu
扶突,fu'tu
伏羲,fu'xi
跗阳,fu'yang
敷药法,fu'yao'fa
府俞,fu'yu
伏针伏灸,fu'zhen'fu'jiu
扶正固本,fu'zheng'gu'ben
扶正祛邪,fu'zheng'qu'xie
腹正中线,fu'zheng'zhong'xian
辅助手法,fu'zhu'shou'fa
附子饼灸,fu'zi'bing'jiu
肝合胆,gan'he'dan
肝火上炎,gan'huo'shang'yan
干脚气,gan'jiao'qi
肝经,gan'jing
感觉区,gan'jue'qu
干咳,gan'ke
感冒,gan'mao
干呕,gan'ou
肝脾不和,gan'pi'bu'he
肝气,gan'qi
肝肾同源,gan'shen'tong'yuan
肝肾阴虚,gan'shen'yin'xu
肝阳,gan'yang
肝阳上亢,gan'yang'shang'kang
肝郁,gan'yu
肝俞,gan'yu
干针,gan'zhen
干支,gan'zhi
肝主筋,gan'zhu'jin
肛裂,gang'lie
肛门,gang'men
膏肓,gao'huang
膏淋,gao'lin
高武,gao'wu
隔饼灸,ge'bing'jiu
隔葱灸,ge'cong'jiu
膈关,ge'guan
葛洪,ge'hong
隔酱灸,ge'jiang'jiu
隔姜灸,ge'jiang'jiu
隔韭灸,ge'jiu'jiu
革脉,ge'mai
阁门,ge'men
隔蒜灸,ge'suan'jiu
隔盐灸,ge'yan'jiu
膈俞,ge'yu
割治疗法,ge'zhi'liao'fa
根结,gen'jie
根穴,gen'xue
攻补兼施,gong'bu'jian'shi
公孙,gong'sun
骨度,gu'du
骨会,gu'hui
谷气,gu'qi
箍围药,gu'wei'yao
孤穴,gu'xue
股阴,gu'yin
骨针,gu'zhen
刮法,gua'fa
关冲,guan'chong
关刺,guan'ci
关陵,guan'ling
关门,guan'men
关仪,guan'yi
关元,guan'yuan
关元俞,guan'yuan'yu
光剥苔,guang'bo'tai
光明,guang'ming
鬼藏,gui'cang
鬼臣,gui'chen
鬼城,gui'cheng
鬼床,gui'chuang
鬼当,gui'dang
鬼封,gui'feng
鬼宫,gui'gong
鬼哭,gui'ku
归来,gui'lai
鬼垒,gui'lei
鬼路,gui'lu
鬼门,gui'men
鬼受,gui'shou
鬼堂,gui'tang
鬼邪,gui'xie
鬼信,gui'xin
鬼眼,gui'yan
鬼营,gui'ying
鬼枕,gui'zhen
滚筒刺,gun'tong'ci
过梁针,guo'liang'zhen
海底,hai'di
海泉,hai'quan
寒府,han'fu
寒热往来,han're'wang'lai
寒邪,han'xie
颔厌,han'yan
寒则留之,han'ze'liu'zhi
寒者热之,han'zhe're'zhi
寒证,han'zheng
颃颡,hang'sang
毫针,hao'zhen
鹤顶,he'ding
合谷,he'gu
核骨,he'gu
合谷刺,he'gu'ci
鹤膝风,he'xi'feng
合穴,he'xue
合阳,he'yang
横刺,heng'ci
横骨,heng'gu
横纹,heng'wen
横指寸,heng'zhi'cun
洪脉,hong'mai
后顶,hou'ding
后发际,hou'fa'ji
后关,hou'guan
候气,hou'qi
后曲,hou'qu
候时,hou'shi
后溪,hou'xi
后阴,hou'yin
虎口,hu'kou
呼吸补泻,hu'xi'bu'xie
华盖,hua'gai
滑精,hua'jing
滑脉,hua'mai
化脓灸,hua'nong'jiu
滑肉门,hua'rou'men
滑寿,hua'shou
滑胎,hua'tai
化痰开窍,hua'tan'kai'qiao
华佗,hua'tuo
华佗夹脊,hua'tuo'jia'ji
滑泄,hua'xie
环谷,huan'gu
缓脉,huan'mai
患门,huan'men
环跳,huan'tiao
缓则治其本,huan'ze'zhi'qi'ben
环中,huan'zhong
黄疸,huang'dan
黄帝内经,huang'di'nei'jing
皇甫谧,huang'fu'mi
肓门,huang'men
肓募,huang'mu
黄苔,huang'tai
肓俞,huang'yu
回肠,hui'chang
恢刺,hui'ci
会额,hui'e
回发五处,hui'fa'wu'chu
回气,hui'qi
灰苔,hui'tai
会维,hui'wei
回旋灸,hui'xuan'jiu
会穴,hui'xue
会厌,hui'yan
会阳,hui'yang
回阳救逆,hui'yang'jiu'ni
回阳九针穴,hui'yang'jiu'zhen'xue
会阴,hui'yin
会原,hui'yuan
会宗,hui'zong
昏厥,hun'jue
昏愦,hun'kui
魂门,hun'men
昏迷,hun'mi
魂舍,hun'she
昏睡,hun'shui
火罐法,huo'guan'fa
活血化瘀,huo'xue'hua'yu
火针,huo'zhen
火针疗法,huo'zhen'liao'fa
重舌,zhong'she
