阿赖山泛蜥,a'lai'shan'fan'xi
脊蛇属,ji'she'shu
棘蜥属,ji'xi'shu
棘眦海蛇,ji'zi'hai'she
睑虎科,jian'hu'ke
睑虎属,jian'hu'shu
尖喙蛇,jian'hui'she
尖喙蛇属,jian'hui'she'shu
剑蛇属,jian'she'shu
尖尾两头蛇,jian'wei'liang'tou'she
尖吻蝮,jian'wen'fu
尖吻蝮属,jian'wen'fu'shu
绞花林蛇,jiao'hua'lin'she
角原矛头蝮,jiao'yuan'mao'tou'fu
截吻海蛇,jie'wen'hai'she
捷蜥蜴,jie'xi'yi
截趾虎,jie'zhi'hu
截趾虎属,jie'zhi'hu'shu
金花蛇,jin'hua'she
金花蛇属,jin'hua'she'shu
金环蛇,jin'huan'she
锦蛇属,jin'she'shu
金头闭壳龟,jin'tou'bi'ke'gui
颈斑蛇,jing'ban'she
颈斑蛇属,jing'ban'she'shu
颈槽蛇,jing'cao'she
颈槽蛇属,jing'cao'she'shu
井冈山脊蛇,jing'gang'shan'ji'she
颈棱蛇,jing'leng'she
颈棱蛇属,jing'leng'she'shu
九龙颈槽蛇,jiu'long'jing'cao'she
锯尾蜥虎,ju'wei'xi'hu
巨蜥科,ju'xi'ke
巨蜥属,ju'xi'shu
锯缘闭壳龟,ju'yuan'bi'ke'gui
喀什麻蜥,ka'shi'ma'xi
卡西腹链蛇,ka'xi'fu'lian'she
卡西裸趾虎,ka'xi'luo'zhi'hu
坎氏晨蛇,kan'shi'chen'she
康定滑蜥,kang'ding'hua'xi
科克沙尔麻蜥,ke'ke'sha'er'ma'xi
库氏南蜥,ku'shi'nan'xi
快步麻蜥,kuai'bu'ma'xi
宽斑隆趾虎,kuan'ban'long'zhi'hu
宽鼻沙蜥,kuan'bi'sha'xi
蝰科,kui'ke
蝰属,kui'shu
昆明滑蜥,kun'ming'hua'xi
昆明攀蜥,kun'ming'pan'xi
拉达克滑蜥,la'da'ke'hua'xi
蜡皮蜥,la'pi'xi
腊皮蜥属,la'pi'xi'shu
拉萨岩蜥,la'sa'yan'xi
蓝灰扁尾海蛇,lan'hui'bian'wei'hai'she
蓝尾石龙子,lan'wei'shi'long'zi
兰屿壁虎,lan'yu'bi'hu
烙铁头蛇属,lao'tie'tou'she'shu
老挝后棱蛇,lao'wo'hou'leng'she
老挝链蛇,lao'wo'lian'she
棱鳞钝头蛇,leng'lin'dun'tou'she
棱皮龟,leng'pi'gui
棱皮龟科,leng'pi'gui'ke
棱皮龟属,leng'pi'gui'shu
棱蜥属,leng'xi'shu
丽斑麻蜥,li'ban'ma'xi
荔波壁虎,li'bo'bi'hu
荔波睑虎,li'bo'jian'hu
丽龟属,li'gui'shu
丽棘蜥,li'ji'xi
里氏睑虎,li'shi'jian'hu
丽纹腹链蛇,li'wen'fu'lian'she
丽纹攀蜥,li'wen'pan'xi
链蛇属,lian'she'shu
两头蛇属,liang'tou'she'shu
鬣蜥科,lie'xi'ke
林蛇属,lin'she'shu
鳞趾虎属,lin'zhi'hu'shu
菱斑小头蛇,ling'ban'xiao'tou'she
六盘山蝮,liu'pan'shan'fu
琉球攀蜥,liu'qiu'pan'xi
刘氏后棱蛇,liu'shi'hou'leng'she
刘氏链蛇,liu'shi'lian'she
刘氏石龙子,liu'shi'shi'long'zi
龙胜小头蛇,long'sheng'xiao'tou'she
隆趾虎属,long'zhi'hu'shu
陆龟科,lu'gui'ke
陆龟属,lu'gui'shu
绿林蛇,lu'lin'she
鹿野草蜥,lu'ye'cao'xi
裸耳飞蜥,luo'er'fei'xi
裸耳攀蜥,luo'er'pan'xi
瘰鳞蛇,luo'lin'she
瘰鳞蛇科,luo'lin'she'ke
瘰鳞蛇属,luo'lin'she'shu
裸趾虎属,luo'zhi'hu'shu
绿背攀蜥,lv'bei'pan'xi
绿背树蜥,lv'bei'shu'xi
绿蝮,lv'fu
绿海龟,lv'hai'gui
绿蛇,lv'she
绿蛇属,lv'she'shu
绿瘦蛇,lv'shou'she
马来切喙鳄,ma'lai'qie'hui'e
麻蜥属,ma'xi'shu
鳗形蛇科,man'xing'she'ke
蟒科,mang'ke
莽山后棱蛇,mang'shan'hou'leng'she
莽山原矛头蝮,mang'shan'yuan'mao'tou'fu
盲蛇科,mang'she'ke
茂兰原矛头蝮,mao'lan'yuan'mao'tou'fu
美姑脊蛇,mei'gu'ji'she
梅氏壁虎,mei'shi'bi'hu
孟加拉眼镜蛇,meng'jia'la'yan'jing'she
米仓山攀蜥,mi'cang'shan'pan'xi
密点麻蜥,mi'dian'ma'xi
秘纹蛇,mi'wen'she
秘纹蛇属,mi'wen'she'shu
密疣蜥虎,mi'you'xi'hu
缅北腹链蛇,mian'bei'fu'lian'she
缅北蜥虎,mian'bei'xi'hu
缅北原矛头蝮,mian'bei'yuan'mao'tou'fu
缅甸钝头蛇,mian'dian'dun'tou'she
缅甸颈斑蛇,mian'dian'jing'ban'she
缅甸颈槽蛇,mian'dian'jing'cao'she
缅甸棱蜥,mian'dian'leng'xi
缅甸陆龟,mian'dian'lu'gui
庙岛蝮,miao'dao'fu
敏麻蜥,min'ma'xi
漠虎属,mo'hu'shu
墨脱绿蝮,mo'tuo'lv'fu
墨脱树蜥,mo'tuo'shu'xi
墨脱蜓蜥,mo'tuo'ting'xi
墨脱弯脚虎,mo'tuo'wan'jiao'hu
南草蜥,nan'cao'xi
南方链蛇,nan'fang'lian'she
南峰晨蛇,nan'feng'chen'she
南滑蜥,nan'hua'xi
南疆沙蜥,nan'jiang'sha'xi
南蜥属,nan'xi'shu
南亚陆龟属,nan'ya'lu'gui'shu
南亚岩蜥,nan'ya'yan'xi
坭蛇属,ni'she'shu
拟树蜥属,ni'shu'xi'shu
拟水龟属,ni'shui'gui'shu
宁波滑蜥,ning'bo'hua'xi
宁陕线形蛇,ning'shan'xian'xing'she
欧氏摄龟,ou'shi'she'gui
爬行动物,pa'xing'dong'wu
爬行纲,pa'xing'gang
潘氏闭壳龟,pan'shi'bi'ke'gui
攀蜥属,pan'xi'shu
蓬莱草蜥,peng'lai'cao'xi
平颏海蛇,ping'ke'hai'she
平鳞钝头蛇,ping'lin'dun'tou'she
平头腹链蛇,ping'tou'fu'lian'she
凭祥睑虎,ping'xiang'jian'hu
平胸龟,ping'xiong'gui
平胸龟科,ping'xiong'gui'ke
平胸属,ping'xiong'shu
坡普腹链蛇,po'pu'fu'lian'she
蹼趾壁虎,pu'zhi'bi'hu
棋斑水游蛇,qi'ban'shui'you'she
奇台沙蜥,qi'tai'sha'xi
铅色蛇,qian'se'she
铅色蛇属,qian'se'she'shu
秦岭蝮,qin'ling'fu
秦岭滑蜥,qin'ling'hua'xi
青海沙蜥,qing'hai'sha'xi
青环海蛇,qing'huan'hai'she
青灰海蛇,qing'hui'hai'she
青脊蛇,qing'ji'she
球趾虎科,qiu'zhi'hu'ke
蚺科,ran'ke
蚺属,ran'shu
若尔盖锦蛇,ruo'er'gai'jin'she
伞虎属,san'hu'shu
三索蛇,san'suo'she
三索蛇属,san'suo'she'shu
三线闭壳龟,san'xian'bi'ke'gui
沙坝后棱蛇,sha'ba'hou'leng'she
砂鳖,sha'bie
莎车麻蜥,sha'che'ma'xi
沙地泛蜥,sha'di'fan'xi
沙虎属,sha'hu'shu
沙蟒属,sha'mang'shu
沙蜥属,sha'xi'shu
山地麻蜥,shan'di'ma'xi
山滑蜥,shan'hua'xi
山烙铁头蛇,shan'lao'tie'tou'she
闪鳞蛇,shan'lin'she
闪鳞蛇科,shan'lin'she'ke
闪鳞蛇属,shan'lin'she'shu
山坭蛇,shan'ni'she
闪皮蛇科,shan'pi'she'ke
山瑞鳖,shan'rui'bie
山瑞鳖属,shan'rui'bie'shu
山溪后棱蛇,shan'xi'hou'leng'she
蛇岛蝮,she'dao'fu
摄龟属,she'gui'shu
蛇蜥科,she'xi'ke
石龙子科,shi'long'zi'ke
石龙子属,shi'long'zi'shu
史氏蜥虎,shi'shi'xi'hu
饰纹小头蛇,shi'wen'xiao'tou'she
食鱼鳄科,shi'yu'e'ke
瘦蛇属,shou'she'shu
鼠蛇属,shu'she'shu
束纹小头蛇,shu'wen'xiao'tou'she
树蜥属,shu'xi'shu
双斑锦蛇,shuang'ban'jin'she
双带腹链蛇,shuang'dai'fu'lian'she
双全链蛇,shuang'quan'lian'she
双足蜥科,shuang'zu'xi'ke
双足蜥属,shuang'zu'xi'shu
水蛇科,shui'she'ke
水游蛇,shui'you'she
水游蛇属,shui'you'she'shu
四川华蝮,si'chuan'hua'fu
四川攀蜥,si'chuan'pan'xi
四川温泉蛇,si'chuan'wen'quan'she
四线石龙子,si'xian'shi'long'zi
四眼斑水龟,si'yan'ban'shui'gui
四爪陆龟,si'zhao'lu'gui
梭德氏华珊瑚蛇,suo'de'shi'hua'shan'hu'she
太白壁虎,tai'bai'bi'hu
台北腹链蛇,tai'bei'fu'lian'she
泰北小头蛇,tai'bei'xiao'tou'she
泰国圆斑蝰,tai'guo'yuan'ban'kui
太平洋丽龟,tai'ping'yang'li'gui
台湾草蜥,tai'wan'cao'xi
台湾钝头蛇,tai'wan'dun'tou'she
台湾滑蜥,tai'wan'hua'xi
台湾脊蛇,tai'wan'ji'she
台湾颈槽蛇,tai'wan'jing'cao'she
台湾烙铁头蛇,tai'wan'lao'tie'tou'she
台湾攀蜥,tai'wan'pan'xi
台湾蜓蜥,tai'wan'ting'xi
台湾小头蛇,tai'wan'xiao'tou'she
台湾竹叶青蛇,tai'wan'zhu'ye'qing'she
胎蜥,tai'xi
胎蜥属,tai'xi'shu
天山麻蜥,tian'shan'ma'xi
蜓蜥属,ting'xi'shu
筒蛇科,tong'she'ke
筒蛇属,tong'she'shu
铜蜓蜥,tong'ting'xi
吐鲁番沙虎,tu'lu'fan'sha'hu
团花锦蛇,tuan'hua'jin'she
鼍科,tuo'ke
鼍属,tuo'shu
瓦山滑蜥,wa'shan'hua'xi
瓦氏裸趾虎,wa'shi'luo'zhi'hu
瓦屋山腹链蛇,wa'wu'shan'fu'lian'she
湾鳄,wan'e
弯脚虎属,wan'jiao'hu'shu
王锦蛇,wang'jin'she
网纹麻蜥,wang'wen'ma'xi
汶川攀蜥,wen'chuan'pan'xi
温泉蛇,wen'quan'she
温泉蛇属,wen'quan'she'shu
纹尾斜鳞蛇,wen'wei'xie'lin'she
文县壁虎,wen'xian'bi'hu
乌龟,wu'gui
乌华游蛇,wu'hua'you'she
乌拉尔沙蜥,wu'la'er'sha'xi
雾林攀蜥,wu'lin'pan'xi
无颞鳞腹链蛇,wu'nie'lin'fu'lian'she
无蹼壁虎,wu'pu'bi'hu
乌梢蛇,wu'shao'she
吴氏岩蜥,wu'shi'yan'xi
乌苏里蝮,wu'su'li'fu
细白链蛇,xi'bai'lian'she
细脆蛇蜥,xi'cui'she'xi
蠵龟属,xi'gui'shu
蜥虎属,xi'hu'shu
锡金滑蜥,xi'jin'hua'xi
细鳞拟树蜥,xi'lin'ni'shu'xi
喜山钝头蛇,xi'shan'dun'tou'she
喜山腹链蛇属,xi'shan'fu'lian'she'shu
喜山蝮属,xi'shan'fu'shu
喜山过树蛇,xi'shan'guo'shu'she
喜山滑蜥,xi'shan'hua'xi
喜山颈槽蛇,xi'shan'jing'cao'she
喜山攀蜥,xi'shan'pan'xi
喜山小头蛇,xi'shan'xiao'tou'she
喜山岩蜥,xi'shan'yan'xi
喜山原矛头蝮,xi'shan'yuan'mao'tou'fu
溪头攀蜥,xi'tou'pan'xi
蜥蜴科,xi'yi'ke
蜥蜴属,xi'yi'shu
西域滑蜥,xi'yu'hua'xi
西藏裸趾虎,xi'zang'luo'zhi'hu
西藏拟树蜥,xi'zang'ni'shu'xi
西藏沙蜥,xi'zang'sha'xi
西藏喜山蝮,xi'zang'xi'shan'fu
西藏岩蜥,xi'zang'yan'xi
线形蛇属,xian'xing'she'shu
乡城原矛头蝮,xiang'cheng'yuan'mao'tou'fu
香港过树蛇,xiang'gang'guo'shu'she
香港后棱蛇,xiang'gang'hou'leng'she
香港盲蛇,xiang'gang'mang'she
香港双足蜥,xiang'gang'shuang'zu'xi
香格里拉温泉蛇,xiang'ge'li'la'wen'quan'she
小鳖,xiao'bie
小头海蛇,xiao'tou'hai'she
小头坭蛇,xiao'tou'ni'she
小头蛇属,xiao'tou'she'shu
斜鳞蛇属,xie'lin'she'shu
蝎尾蜥虎,xie'wei'xi'hu
新疆漠虎,xin'jiang'mo'hu
新疆沙虎,xin'jiang'sha'hu
新疆岩蜥,xin'jiang'yan'xi
锈链腹链蛇,xiu'lian'fu'lian'she
雪山草蜥,xue'shan'cao'xi
雪山蝮,xue'shan'fu
雅美鳞趾虎,ya'mei'lin'zhi'hu
亚洲蝮属,ya'zhou'fu'shu
岩岸岛蜥,yan'an'dao'xi
眼斑水龟,yan'ban'shui'gui
眼斑水龟属,yan'ban'shui'gui'shu
眼镜蛇科,yan'jing'she'ke
眼镜蛇属,yan'jing'she'shu
眼镜王蛇,yan'jing'wang'she
眼镜王蛇属,yan'jing'wang'she'shu
岩栖蝮,yan'qi'fu
铅山壁虎,yan'shan'bi'hu
蝘蜓属,yan'ting'shu
岩蜥属,yan'xi'shu
扬子鳄,yang'zi'e
叶城沙蜥,ye'cheng'sha'xi
宜宾攀蜥,yi'bin'pan'xi
伊江巨蜥,yi'jiang'ju'xi
宜兰攀蜥,yi'lan'pan'xi
伊犁沙虎,yi'li'sha'hu
伊犁沙蜥,yi'li'sha'xi
异鳞蜥,yi'lin'xi
异鳞蜥属,yi'lin'xi'shu
异色蛇,yi'se'she
异色蛇属,yi'se'she'shu
印度盲蛇属,yin'du'mang'she'shu
隐耳漠虎,yin'er'mo'hu
银环蛇,yin'huan'she
英德睑虎,ying'de'jian'hu
鹰氏壁虎,ying'shi'bi'hu
有鳞目,you'lin'mu
游蛇科,you'she'ke
疣尾蜥虎,you'wei'xi'hu
玉斑蛇,yu'ban'she
玉斑蛇属,yu'ban'she'shu
玉龙攀蜥,yu'long'pan'xi
羽鸟氏华珊瑚蛇,yu'niao'shi'hua'shan'hu'she
圆斑蝰属,yuan'ban'kui'shu
圆斑小头蛇,yuan'ban'xiao'tou'she
圆鼻巨蜥,yuan'bi'ju'xi
原矛头蝮,yuan'mao'tou'fu
原矛头蝮属,yuan'mao'tou'fu'shu
鼋属,yuan'shu
原尾蜥虎,yuan'wei'xi'hu
越南睑虎,yue'nan'jian'hu
越南烙铁头蛇,yue'nan'lao'tie'tou'she
越南石龙子,yue'nan'shi'long'zi
云南半叶趾虎,yun'nan'ban'ye'zhi'hu
云南闭壳龟,yun'nan'bi'ke'gui
云南华游蛇,yun'nan'hua'you'she
云南颈斑蛇,yun'nan'jing'ban'she
云南两头蛇,yun'nan'liang'tou'she
云南绿蝮,yun'nan'lv'fu
云南攀蜥,yun'nan'pan'xi
沼蛇属,zhao'she'shu
赵氏裸趾虎,zhao'shi'luo'zhi'hu
蛰龙睑虎,zhe'long'jian'hu
滞卵蛇属,zhi'luan'she'shu
中国壁虎,zhong'guo'bi'hu
中国钝头蛇,zhong'guo'dun'tou'she
中国棱蜥,zhong'guo'leng'xi
中国石龙子,zhong'guo'shi'long'zi
中国小头蛇,zhong'guo'xiao'tou'she
中国沼蛇,zhong'guo'zhao'she
中华鳖,zhong'hua'bie
中华珊瑚蛇,zhong'hua'shan'hu'she
中华珊瑚蛇属,zhong'hua'shan'hu'she'shu
中介蝮,zhong'jie'fu
忠庆原矛头蝮,zhong'qing'yuan'mao'tou'fu
中趾虎属,zhong'zhi'hu'shu
舟山眼镜蛇,zhou'shan'yan'jing'she
周氏闭壳龟,zhou'shi'bi'ke'gui
珠光蛇,zhu'guang'she
珠光蛇属,zhu'guang'she'shu
侏蜥,zhu'xi
竹叶青属,zhu'ye'qing'shu
紫灰蛇,zi'hui'she
紫灰蛇属,zi'hui'she'shu
紫沙蛇,zi'sha'she
紫沙蛇属,zi'sha'she'shu
紫棕小头蛇,zi'zong'xiao'tou'she
棕背树蜥,zong'bei'shu'xi
棕黑腹链蛇,zong'hei'fu'lian'she
棕黑锦蛇,zong'hei'jin'she
棕脊蛇,zong'ji'she
棕网腹链蛇,zong'wang'fu'lian'she
