安身立本,an'shen'li'ben
继善成性,ji'shan'cheng'xing
蕺山学派,ji'shan'xue'pai
己易,ji'yi
冀元亨,ji'yuan'heng
吉斋漫录,ji'zhai'man'lu
渐改忽改,jian'gai'hu'gai
兼济堂文集,jian'ji'tang'wen'ji
见闻之知与德性所知,jian'wen'zhi'zhi'yu'de'xing'suo'zhi
江东四先生,jiang'dong'si'xian'sheng
江门心学,jiang'men'xin'xue
江润身,jiang'run'shen
讲习,jiang'xi
蒋信,jiang'xin
江永,jiang'yong
蒋元中,jiang'yuan'zhong
蒋重珍,jiang'zhong'zhen
焦竑,jiao'hong
焦循,jiao'xun
焦袁熹,jiao'yuan'xi
借儒谈禅,jie'ru'tan'chan
金华学派,jin'hua'xue'pai
金履祥,jin'lv'xiang
近思录,jin'si'lu
近溪子文集,jin'xi'zi'wen'ji
经礼补逸,jing'li'bu'yi
静明学派,jing'ming'xue'pai
经世致用,jing'shi'zhi'yong
静修先生文集,jing'xiu'xian'sheng'wen'ji
静修学派,jing'xiu'xue'pai
经学五书,jing'xue'wu'shu
泾野子内篇,jing'ye'zi'nei'pian
敬斋箴,jing'zhai'zhen
静者主动者客,jing'zhe'zhu'dong'zhe'ke
九峰学派,jiu'feng'xue'pai
居业录,ju'ye'lu
君民一体,jun'min'yi'ti
君子为学贵博不贵杂,jun'zi'wei'xue'gui'bo'bu'gui'za
康斋文集,kang'zhai'wen'ji
考亭书院,kao'ting'shu'yuan
考亭学派,kao'ting'xue'pai
空同道士邹诉,kong'tong'dao'shi'zou'su
孔元忠,kong'yuan'zhong
困辨录,kun'bian'lu
困学纪闻,kun'xue'ji'wen
困知记,kun'zhi'ji
阆风集,lang'feng'ji
阆山书院,lang'shan'shu'yuan
浪语集,lang'yu'ji
劳史,lao'shi
老子注,lao'zi'zhu
理,li
李翱,li'ao
李柏,li'bai
理本论,li'ben'lun
立本明义,li'ben'ming'yi
理便是天道,li'bian'shi'tian'dao
李材,li'cai
李承箕,li'cheng'ji
李存,li'cun
李大有,li'da'you
李侗,li'dong
李复,li'fu
李绂,li'fu
理根于气,li'gen'yu'qi
李塨,li'gong
李光地,li'guang'di
李光坡,li'guang'po
礼即理也,li'ji'li'ye
理即气之条理,li'ji'qi'zhi'tiao'li
理具于心,li'ju'yu'xin
李坤臣,li'kun'chen
李来章,li'lai'zhang
李楠,li'nan
理气,li'qi
理气之辩,li'qi'zhi'bian
礼书纲目,li'shu'gang'mu
李涛,li'tao
李挺,li'ting
李文炤,li'wen'zhao
离物无知,li'wu'wu'zhi
理学,li'xue
理学类编,li'xue'lei'bian
理学名儒坊,li'xue'ming'ru'fang
理学要旨,li'xue'yao'zhi
理学宗传,li'xue'zong'chuan
理一分殊,li'yi'fen'shu
理依于气而立,li'yi'yu'qi'er'li
李因笃,li'yin'du
李顒,li'yong
李郁,li'yu
理驭气,li'yu'qi
理欲之辩,li'yu'zhi'bian
李元白,li'yuan'bai
李元春,li'yuan'chun
丽泽书院,li'ze'shu'yuan
李缯,li'zeng
李贽,li'zhi
李中,li'zhong
历仲方,li'zhong'fang
濂洛风雅,lian'luo'feng'ya
濂洛关闽,lian'luo'guan'min
濂洛关闽书,lian'luo'guan'min'shu
濂溪学派,lian'xi'xue'pai
濂学,lian'xue
良知,liang'zhi
良知归寂派,liang'zhi'gui'ji'pai
良知日用派,liang'zhi'ri'yong'pai
良知现成派,liang'zhi'xian'cheng'pai
良知修证派,liang'zhi'xiu'zheng'pai
廖德明,liao'de'ming
临川学派,lin'chuan'xue'pai
林春,lin'chun
林光,lin'guang
林之奇,lin'zhi'qi
刘安节,liu'an'jie
刘安上,liu'an'shang
刘邦采,liu'bang'cai
刘辰翁,liu'chen'weng
刘基,liu'ji
六经皆史,liu'jing'jie'shi
六经皆我注脚,liu'jing'jie'wo'zhu'jiao
刘靖之,liu'jing'zhi
刘君举,liu'jun'ju
刘勉之,liu'mian'zhi
刘塙,liu'qiao
刘清之,liu'qing'zhi
刘汋,liu'que
刘恕,liu'shu
刘文敏,liu'wen'min
刘熙载,liu'xi'zai
刘阳,liu'yang
刘因,liu'yin
刘永澄,liu'yong'cheng
刘源渌,liu'yuan'lu
刘元珍,liu'yuan'zhen
刘子翚,liu'zi'hui
刘子全书,liu'zi'quan'shu
刘宗周,liu'zong'zhou
刘左史集,liu'zuo'shi'ji
龙川文集,long'chuan'wen'ji
龙川学派,long'chuan'xue'pai
楼昉,lou'fang
娄谅,lou'liang
陆佃,lu'dian
陆九渊,lu'jiu'yuan
陆奎勋,lu'kui'xun
陆陇其,lu'long'qi
陆世仪,lu'shi'yi
陆王心学,lu'wang'xin'xue
陆王学派,lu'wang'xue'pai
陆学,lu'xue
陆元辅,lu'yuan'fu
鲁斋学派,lu'zhai'xue'pai
鲁斋遗书,lu'zhai'yi'shu
论语说,lun'yu'shuo
论语学案,lun'yu'xue'an
罗从彦,luo'cong'yan
罗洪先,luo'hong'xian
罗伦,luo'lun
罗钦顺,luo'qin'shun
罗汝芳,luo'ru'fang
洛学,luo'xue
罗泽南,luo'ze'nan
吕本中,lv'ben'zhong
吕大钧,lv'da'jun
吕大临,lv'da'lin
吕大忠,lv'da'zhong
吕怀,lv'huai
吕惠卿,lv'hui'qing
吕坤,lv'kun
吕留良,lv'liu'liang
吕柟,lv'nan
吕潜,lv'qian
吕学,lv'xue
吕祖俭,lv'zu'jian
吕祖谦,lv'zu'qian
吕祖泰,lv'zu'tai
马翮飞,ma'he'fei
马理,ma'li
毛奇龄,mao'qi'ling
梅曾亮,mei'ceng'liang
孟超然,meng'chao'ran
孟导,meng'dao
孟化鲤,meng'hua'li
孟秋,meng'qiu
孟猷,meng'you
孟子师说,meng'zi'shi'shuo
孟子字义疏证,meng'zi'zi'yi'shu'zheng
勉斋学派,mian'zhai'xue'pai
妙绝古今,miao'jue'gu'jin
民胞物与,min'bao'wu'yu
闽学,min'xue
闽学开宗之地,min'xue'kai'zong'zhi'di
明初三大家,ming'chu'san'da'jia
明道编,ming'dao'bian
明道学派,ming'dao'xue'pai
明经书院,ming'jing'shu'yuan
明儒王心斋先生遗集,ming'ru'wang'xin'zhai'xian'sheng'yi'ji
明儒学案,ming'ru'xue'an
明善格物,ming'shan'ge'wu
明善知性,ming'shan'zhi'xing
明心致知,ming'xin'zhi'zhi
明夷待访录,ming'yi'dai'fang'lu
明哲保身论,ming'zhe'bao'shen'lun
牟子才,mou'zi'cai
穆孔晖,mu'kong'hui
南康之会,nan'kang'zhi'hui
南雷文案,nan'lei'wen'an
南山书院,nan'shan'shu'yuan
南轩集,nan'xuan'ji
南轩学派,nan'xuan'xue'pai
南轩易说,nan'xuan'yi'shuo
南中学派,nan'zhong'xue'pai
内心与外心,nei'xin'yu'wai'xin
倪朴,ni'pu
倪士毅,ni'shi'yi
聂豹,nie'bao
欧阳德,ou'yang'de
欧阳龙生,ou'yang'long'sheng
欧阳守道,ou'yang'shou'dao
欧阳新,ou'yang'xin
欧阳玄,ou'yang'xuan
耦中有耦,ou'zhong'you'ou
潘景宪,pan'jing'xian
潘平格,pan'ping'ge
潘士藻,pan'shi'zao
彭定求,peng'ding'qiu
彭士望,peng'shi'wang
彭仲刚,peng'zhong'gang
气,qi
气本论,qi'ben'lun
气化,qi'hua
气是本体,qi'shi'ben'ti
气为天地万物之祖,qi'wei'tian'di'wan'wu'zhi'zu
气无终尽,qi'wu'zhong'jin
气有偏盛,qi'you'pian'sheng
气种有定,qi'zhong'you'ding
钱澄之,qian'cheng'zhi
钱德洪,qian'de'hong
钱廓,qian'kuo
钱时,qian'shi
潜书,qian'shu
潜虚,qian'xu
钱一本,qian'yi'ben
乾元三子,qian'yuan'san'zi
乔行简,qiao'xing'jian
谯仲午,qiao'zhong'wu
清江学派,qing'jiang'xue'pai
清容居士集,qing'rong'ju'shi'ji
清学案小识,qing'xue'an'xiao'shi
庆元学禁,qing'yuan'xue'jin
穷理,qiong'li
全祖望,quan'zu'wang
冉觐祖,ran'jin'zu
饶鲁,rao'lu
仁即是觉,ren'ji'shi'jue
人心,ren'xin
人欲,ren'yu
人与天地一本,ren'yu'tian'di'yi'ben
人欲中自有天理,ren'yu'zhong'zi'you'tian'li
日知录,ri'zhi'lu
榕村全集,rong'cun'quan'ji
榕坛问业,rong'tan'wen'ye
儒之异端,ru'zhi'yi'duan
芮长恤,rui'chang'xu
三礼订讹,san'li'ding'e
三原学派,san'yuan'xue'pai
山房集,shan'fang'ji
扇讼一悟,shan'song'yi'wu
剡源集,shan'yuan'ji
上蔡学派,shang'cai'xue'pai
上蔡语录,shang'cai'yu'lu
商山书院,shang'shan'shu'yuan
尚书表注,shang'shu'biao'zhu
尚书丛说,shang'shu'cong'shuo
尚书引义,shang'shu'yin'yi
邵伯温,shao'bo'wen
邵曾可,shao'ceng'ke
邵晋涵,shao'jin'han
邵廷采,shao'ting'cai
邵雍,shao'yong
沈炳,shen'bing
沈大廉,shen'da'lian
慎独即毋自欺,shen'du'ji'wu'zi'qi
沈躬行,shen'gong'xing
沈国模,shen'guo'mo
沈焕,shen'huan
沈佳,shen'jia
深宁集,shen'ning'ji
深宁学派,shen'ning'xue'pai
慎言,shen'yan
沈衍,shen'yan
呻吟语,shen'yin'yu
沈昀,shen'yun
圣学格物通,sheng'xue'ge'wu'tong
生之谓性,sheng'zhi'wei'xing
石范,shi'fan
事功之学,shi'gong'zhi'xue
师古而实自用,shi'gu'er'shi'zi'yong
施璜,shi'huang
诗集传,shi'ji'chuan
石介,shi'jie
石井书院,shi'jing'shu'yuan
十六字心传,shi'liu'zi'xin'chuan
史孟麟,shi'meng'lin
史蒙卿,shi'meng'qing
石坡书院,shi'po'shu'yuan
石丘书院,shi'qiu'shu'yuan
时少章,shi'shao'zhang
史守道,shi'shou'dao
实学,shi'xue
守四事去十害,shou'si'shi'qu'shi'hai
恕谷后集,shu'gu'hou'ji
书集传,shu'ji'chuan
舒鈃,shu'jian
舒津,shu'jin
舒磷,shu'lin
舒岳祥,shu'yue'xiang
水心集,shui'xin'ji
水心学派,shui'xin'xue'pai
税与权,shui'yu'quan
思辨录辑要,si'bian'lu'ji'yao
四存编,si'cun'bian
司马光,si'ma'guang
四书大全,si'shu'da'quan
四书反身录,si'shu'fan'shen'lu
四书集注,si'shu'ji'zhu
四书近指,si'shu'jin'zhi
四书性理字义,si'shu'xing'li'zi'yi
四书章图,si'shu'zhang'tu
四书正误,si'shu'zheng'wu
四无说,si'wu'shuo
宋初三先生,song'chu'san'xian'sheng
宋驹,song'ju
宋濂,song'lian
宋明理学,song'ming'li'xue
宋明新儒学,song'ming'xin'ru'xue
宋学,song'xue
宋仪望,song'yi'wang
宋元学案,song'yuan'xue'an
宋之盛,song'zhi'sheng
宋之源,song'zhi'yuan
苏昞,su'bing
涑水学派,su'shui'xue'pai
苏天爵,su'tian'jue
苏源生,su'yuan'sheng
随处体认天理,sui'chu'ti'ren'tian'li
孙复,sun'fu
孙景烈,sun'jing'lie
孙奇逢,sun'qi'feng
损人欲以复天理,sun'ren'yu'yi'fu'tian'li
孙慎行,sun'shen'xing
所以然者,suo'yi'ran'zhe
太和,tai'he
太极,tai'ji
太极即气,tai'ji'ji'qi
太极图说,tai'ji'tu'shuo
太虚,tai'xu
太虚本动,tai'xu'ben'dong
太虚即气,tai'xu'ji'qi
泰州学派,tai'zhou'xue'pai
汤斌,tang'bin
唐伯元,tang'bo'yuan
汤汉,tang'han
唐鹤征,tang'he'zheng
唐鉴,tang'jian
汤巾,tang'jin
汤千,tang'qian
唐枢,tang'shu
唐顺之,tang'shun'zhi
唐震,tang'zhen
唐甄,tang'zhen
汤之锜,tang'zhi'qi
汤中,tang'zhong
汤子遗书,tang'zi'yi'shu
陶望龄,tao'wang'ling
滕安上,teng'an'shang
滕处厚,teng'chu'hou
滕珙,teng'gong
滕恺,teng'kai
滕璘,teng'lin
天地正气,tian'di'zheng'qi
天地之心,tian'di'zhi'xin
天地自然之道,tian'di'zi'ran'zhi'dao
田间易学,tian'jian'yi'xue
天理,tian'li
天泉证道,tian'quan'zheng'dao
天人一理,tian'ren'yi'li
天下第一教官,tian'xia'di'yi'jiao'guan
天者理也,tian'zhe'li'ye
童居易,tong'ju'yi
通书,tong'shu
同恕,tong'shu
童心,tong'xin
通雅,tong'ya
童子捧茶,tong'zi'peng'cha
图书质疑,tu'shu'zhi'yi
万化一心,wan'hua'yi'xin
万事万物莫非心,wan'shi'wan'wu'mo'fei'xin
万斯大,wan'si'da
万斯同,wan'si'tong
万物唯心,wan'wu'wei'xin
王安国,wang'an'guo
王安礼,wang'an'li
王安石,wang'an'shi
王霸义利之辩,wang'ba'yi'li'zhi'bian
王霸之辩,wang'ba'zhi'bian
王柏,wang'bai
王襞,wang'bi
王昌世,wang'chang'shi
王大受,wang'da'shou
王道,wang'dao
王栋,wang'dong
汪绂,wang'fu
王夫之,wang'fu'zhi
王艮,wang'gen
汪桂月,wang'gui'yue
王鸿儒,wang'hong'ru
王弘撰,wang'hong'zhuan
王厚孙,wang'hou'sun
王畿,wang'ji
王介,wang'jie
汪克宽,wang'ke'kuan
王懋竑,wang'mao'hong
王门四句教,wang'men'si'ju'jiao
王雱,wang'pang
汪叡,wang'rui
王时槐,wang'shi'huai
王时敏,wang'shi'min
王士毅,wang'shi'yi
王守仁,wang'shou'ren
王恕,wang'shu
王廷相,wang'ting'xiang
王万,wang'wan
王文成公全书,wang'wen'cheng'gong'quan'shu
王象祖,wang'xiang'zu
王心敬,wang'xin'jing
王学,wang'xue
王学七派,wang'xue'qi'pai
王学质疑,wang'xue'zhi'yi
王炎,wang'yan
汪炎昶,wang'yan'chang
王炎午,wang'yan'wu
王应凤,wang'ying'feng
王应麟,wang'ying'lin
汪佑,wang'you
王源,wang'yuan
王植,wang'zhi
王之士,wang'zhi'shi
王自中,wang'zi'zhong
魏了翁,wei'le'weng
魏良弼,wei'liang'bi
魏天祐,wei'tian'you
魏文翁,wei'wen'weng
魏象枢,wei'xiang'shu
魏校,wei'xiao
魏裔介,wei'yi'jie
韦斋井,wei'zhai'jing
问辨录,wen'bian'lu
文山集,wen'shan'ji
文天祥,wen'tian'xiang
翁洲书院,weng'zhou'shu'yuan
倭仁,wo'ren
乌本良,wu'ben'liang
吴表臣,wu'biao'chen
吴澄,wu'cheng
乌冲,wu'chong
吴当,wu'dang
吴定翁,wu'ding'weng
无对,wu'dui
五峰集,wu'feng'ji
五峰学派,wu'feng'xue'pai
吴浩,wu'hao
无何集,wu'he'ji
吴垕,wu'hou
无极,wu'ji
无极而太极,wu'ji'er'tai'ji
无极太极之辩,wu'ji'tai'ji'zhi'bian
吴嘉宾,wu'jia'bin
五经大全,wu'jing'da'quan
五经纂言,wu'jing'zuan'yan
吴莱,wu'lai
无理胜理,wu'li'sheng'li
物理小识,wu'li'xiao'shi
无思,wu'si
乌斯道,wu'si'dao
吴思齐,wu'si'qi
吴廷翰,wu'ting'han
物无无对,wu'wu'wu'dui
吴锡畴,wu'xi'chou
吴霞举,wu'xia'ju
婺学,wu'xue
吴翌,wu'yi
武夷精舍,wu'yi'jing'she
吴泳,wu'yong
吴与弼,wu'yu'bi
吴钟峦,wu'zhong'luan
吴子良,wu'zi'liang
西铭,xi'ming
西山蔡氏学派,xi'shan'cai'shi'xue'pai
西山书院,xi'shan'shu'yuan
西山学派,xi'shan'xue'pai
西山真氏学派,xi'shan'zhen'shi'xue'pai
习心,xi'xin
习行,xi'xing
习学记言,xi'xue'ji'yan
夏峰先生集,xia'feng'xian'sheng'ji
夏尚朴,xia'shang'pu
夏庭简,xia'ting'jian
夏廷美,xia'ting'mei
夏炘,xia'xin
先立乎其大者,xian'li'hu'qi'da'zhe
闲闢录,xian'pi'lu
宪世编,xian'shi'bian
先天学,xian'tian'xue
象山精舍,xiang'shan'jing'she
象山书院,xiang'shan'shu'yuan
象山先生,xiang'shan'xian'sheng
象山先生全集,xiang'shan'xian'sheng'quan'ji
象山学派,xiang'shan'xue'pai
象数学,xiang'shu'xue
萧同学派,xiao'tong'xue'pai
小心,xiao'xin
小心斋札记,xiao'xin'zhai'zha'ji
小学,xiao'xue
谢翱,xie'ao
谢枋得,xie'fang'de
谢复,xie'fu
谢良佐,xie'liang'zuo
谢文洊,xie'wen'jian
谢应芳,xie'ying'fang
絜斋集,xie'zhai'ji
心,xin
新安学派,xin'an'xue'pai
新安学系录,xin'an'xue'xi'lu
心本论,xin'ben'lun
新故相除,xin'gu'xiang'chu
心即理,xin'ji'li
心即性也,xin'ji'xing'ye
心统性情,xin'tong'xing'qing
心外无理,xin'wai'wu'li
心外无物,xin'wai'wu'wu
心为人之本,xin'wei'ren'zhi'ben
心无本体,xin'wu'ben'ti
心性图,xin'xing'tu
心学,xin'xue
心犹印板,xin'you'yin'ban
心与理一,xin'yu'li'yi
心者所以治事,xin'zhe'suo'yi'zhi'shi
心之精神是谓圣,xin'zhi'jing'shen'shi'wei'sheng
性即理也,xing'ji'li'ye
性即气即生,xing'ji'qi'ji'sheng
性理大全,xing'li'da'quan
性理字训,xing'li'zi'xun
性生于气,xing'sheng'yu'qi
性说,xing'shuo
性体心用,xing'ti'xin'yong
性以善为体,xing'yi'shan'wei'ti
熊伯龙,xiong'bo'long
熊赐履,xiong'ci'lv
徐爱,xu'ai
许鼎,xu'ding
许孚远,xu'fu'yuan
许衡,xu'heng
徐阶,xu'jie
许景衡,xu'jing'heng
徐霖,xu'lin
虚明无体,xu'ming'wu'ti
许谦,xu'qian
徐世沐,xu'shi'mu
许世卿,xu'shi'qing
须溪集,xu'xi'ji
徐樾,xu'yue
许月卿,xu'yue'qing
徐直方,xu'zhi'fang
学蔀通辨,xue'bu'tong'bian
薛敷教,xue'fu'jiao
薛季宣,xue'ji'xuan
薛甲,xue'jia
薛敬之,xue'jing'zhi
薛侃,xue'kan
学统,xue'tong
薛文清公文集,xue'wen'qing'gong'wen'ji
薛瑄,xue'xuan
薛应旗,xue'ying'qi
巽斋文集,xun'zhai'wen'ji
巽斋学派,xun'zhai'xue'pai
雅述,ya'shu
颜钧,yan'jun
颜李学派,yan'li'xue'pai
延平答问,yan'ping'da'wen
沿途聚讲,yan'tu'ju'jiang
阎循观,yan'xun'guan
阎禹锡,yan'yu'xi
颜元,yan'yuan
验之以物得之于心乃为真知,yan'zhi'yi'wu'dei'zhi'yu'xin'nai'wei'zhen'zhi
