哀情吉语本难双,ai'qing'ji'yu'ben'nan'shuang
曾俸金以助试,ceng'feng'jin'yi'zhu'shi
曾见仙人骑鹤去,ceng'jian'xian'ren'qi'he'qu
曾陪黄菊作重阳,ceng'pei'huang'ju'zuo'chong'yang
曾辟书以求才,ceng'pi'shu'yi'qiu'cai
曾上孤亭听鼓角,ceng'shang'gu'ting'ting'gu'jiao
曾为歌舞场,ceng'wei'ge'wu'chang
插翅虎枷打白秀英,cha'chi'hu'jia'da'bai'xiu'ying
姹女还归本性,cha'nv'hai'gui'ben'xing
姹女求阳,cha'nv'qiu'yang
姹女育阳求配偶,cha'nv'yu'yang'qiu'pei'ou
槎亭,cha'ting
柴进门招天下客,chai'jin'men'zhao'tian'xia'ke
柴进失陷高唐州,chai'jin'shi'xian'gao'tang'zhou
柴进簪花入禁院,chai'jin'zan'hua'ru'jin'yuan
柴郡马大耍行头,chai'jun'ma'da'shua'xing'tou
豺狼丛中争效命,chai'lang'cong'zhong'zheng'xiao'ming
柴娘娘恩义待仇,chai'niang'niang'en'yi'dai'chou
柴桑口卧龙吊丧,chai'sang'kou'wo'long'diao'sang
钗于奁内待时飞,chai'yu'lian'nei'dai'shi'fei
禅到玉华施法会,chan'dao'yu'hua'shi'fa'hui
蟾光如有意,chan'guang'ru'you'yi
忏宿冤凤姐托村妪,chan'su'yuan'feng'jie'tuo'cun'yu
阐羲,chan'xi
禅主吞餐怀鬼孕,chan'zhu'tun'can'huai'gui'yun
长安士女观灯行乐,chang'an'shi'nv'guan'deng'xing'le
长短不吹江月落,chang'duan'bu'chui'jiang'yue'luo
长庚传报魔头狠,chang'geng'chuan'bao'mo'tou'hen
常攻吾短,chang'gong'wu'duan
长江,chang'jiang
长江之南岸,chang'jiang'zhi'nan'an
长槛曲栏随处有,chang'kan'qu'lan'sui'chu'you
倡立,chang'li
怅梁空泥落,chang'liang'kong'ni'luo
阊门,chang'men
长鸣今古英雄恨,chang'ming'jin'gu'ying'xiong'hen
昌明隆盛之邦,chang'ming'long'sheng'zhi'bang
长沙独守几经旬,chang'sha'du'shou'ji'jing'xun
倡议早为天下首,chang'yi'zao'wei'tian'xia'shou
常峙节得钞傲妻儿,chang'zhi'jie'de'chao'ao'qi'er
晁盖梁山小夺泊,chao'gai'liang'shan'xiao'duo'bo
晁天王认义东溪村,chao'tian'wang'ren'yi'dong'xi'cun
晁天王曾头市中箭,chao'tian'wang'zeng'tou'shi'zhong'jian
嘲曾国藩办天津教案,chao'zeng'guo'fan'ban'tian'jin'jiao'an
车迟国猴王显法,che'chi'guo'hou'wang'xian'fa
陈迪南挽左宗棠,chen'di'nan'wan'zuo'zong'tang
陈光蕊赴任逢灾,chen'guang'rui'fu'ren'feng'zai
宸翰,chen'han
陈迹,chen'ji
陈敬济被陷严州府,chen'jing'ji'bei'xian'yan'zhou'fu
陈敬济感旧祭金莲,chen'jing'ji'gan'jiu'ji'jin'lian
陈敬济徼幸得金莲,chen'jing'ji'jiao'xing'de'jin'lian
陈敬济临清逢旧识,chen'jing'ji'lin'qing'feng'jiu'shi
陈敬济弄一得双,chen'jing'ji'nong'yi'de'shuang
陈敬济失钥罚唱,chen'jing'ji'shi'yao'fa'chang
陈灵公袒服戏朝,chen'ling'gong'tan'fu'xi'chao
陈桥驿滴泪斩小卒,chen'qiao'yi'di'lei'zhan'xiao'zu
尘清关陇,chen'qing'guan'long
陈荣捷题撰,chen'rong'jie'ti'zhuan
嗔顽童茗烟闹书房,chen'wan'tong'ming'yan'nao'shu'fang
陈镇均挽左宗棠,chen'zhen'jun'wan'zuo'zong'tang
承恩八戒转山林,cheng'en'ba'jie'zhuan'shan'lin
承福寺唐公生儿,cheng'fu'si'tang'gong'sheng'er
程高,cheng'gao
称功颂德,cheng'gong'song'de
称韩文公,cheng'han'wen'gong
逞豪华门前放烟火,cheng'hao'hua'men'qian'fang'yan'huo
程颢讲学洛阳,cheng'hao'jiang'xue'luo'yang
称奇道妙,cheng'qi'dao'miao
撑起两根穷骨头,cheng'qi'liang'gen'qiong'gu'tou
程颂万,cheng'song'wan
程咬金抱病战王龙,cheng'yao'jin'bao'bing'zhan'wang'long
程咬金单身探地穴,cheng'yao'jin'dan'shen'tan'di'xue
程咬金逢赦回家,cheng'yao'jin'feng'she'hui'jia
程咬金喜纳裴翠云,cheng'yao'jin'xi'na'pei'cui'yun
程咬金戏战罗成,cheng'yao'jin'xi'zhan'luo'cheng
驰骋云路三千,chi'cheng'yun'lu'san'qian
赤发鬼醉卧灵官殿,chi'fa'gui'zui'wo'ling'guan'dian
痴公子杜撰芙蓉誄,chi'gong'zi'du'zhuan'fu'rong'lei
痴公子余痛触前情,chi'gong'zi'yu'tong'chu'qian'qing
持节重游闽越地,chi'jie'chong'you'min'yue'di
痴女儿遗帕惹相思,chi'nv'er'yi'pa're'xiang'si
螭虬,chi'qiu
持三尺剑,chi'san'chi'jian
赤色异星急犯座,chi'se'yi'xing'ji'fan'zuo
赤瑕宫,chi'xia'gong
痴心父母古来多,chi'xin'fu'mu'gu'lai'duo
痴心说因果,chi'xin'shuo'yin'guo
痴丫头误拾绣春囊,chi'ya'tou'wu'shi'xiu'chun'nang
痴子弟争锋毁花院,chi'zi'di'zheng'feng'hui'hua'yuan
吃祖宗饭断子孙粮,chi'zu'zong'fan'duan'zi'sun'liang
充斥,chong'chi
崇祠彰战绩,chong'ci'zhang'zhan'ji
崇道祠,chong'dao'ci
宠虢公周郑交质,chong'guo'gong'zhou'zheng'jiao'zhi
重开宾馆,chong'kai'bin'guan
重来此处看湖山,chong'lai'ci'chu'kan'hu'shan
充满,chong'man
充数沽名,chong'shu'gu'ming
宠胥童晋国火乱,chong'xu'tong'jin'guo'huo'luan
重整乾坤,chong'zheng'qian'kun
筹边曾此地,chou'bian'ceng'ci'di
筹边经此地,chou'bian'jing'ci'di
筹楚饷,chou'chu'xiang
愁海水,chou'hai'shui
楚成王平乱相子文,chu'cheng'wang'ping'luan'xiang'zi'wen
出处动关天下计,chu'chu'dong'guan'tian'xia'ji
楚地风骚,chu'di'feng'sao
除地为坛,chu'di'wei'tan
锄反王杨林划策,chu'fan'wang'yang'lin'hua'ce
出将入相,chu'jiang'ru'xiang
出类拔萃,chu'lei'ba'cui
楚灵王大合诸侯,chu'ling'wang'da'he'zhu'hou
楚灵王挟诈灭陈蔡,chu'ling'wang'xie'zha'mie'chen'cai
出陇上诸葛妆神,chu'long'shang'zhu'ge'zhuang'shen
楚平王娶媳逐世子,chu'ping'wang'qu'xi'zhu'shi'zi
除却曾湘乡,chu'que'ceng'xiang'xiang
楚人伏兵劫盟主,chu'ren'fu'bing'jie'meng'zhu
楚商臣宫中弑父,chu'shang'chen'gong'zhong'shi'fu
出师未捷,chu'shi'wei'jie
出师遗感满沧溟,chu'shi'yi'gan'man'cang'ming
出潼关秦琼赚令箭,chu'tong'guan'qin'qiong'zhuan'ling'jian
楚王杯酒虏息妫,chu'wang'bei'jiu'lu'xi'gui
除凶暴吕布助司徒,chu'xiong'bao'lv'bu'zhu'si'tu
楚熊通僭号称王,chu'xiong'tong'jian'hao'cheng'wang
初援鄂州,chu'yuan'e'zhou
楚昭王弃郢西奔,chu'zhao'wang'qi'ying'xi'ben
楚庄王纳谏复陈,chu'zhuang'wang'na'jian'fu'chen
踹唐营雄信拼命,chuai'tang'ying'xiong'xin'pin'ming
揣知,chuai'zhi
船火儿夜闹浔阳江,chuan'huo'er'ye'nao'xun'yang'jiang
船山祠,chuan'shan'ci
传售,chuan'shou
穿梭镖明收虎将,chuan'suo'biao'ming'shou'hu'jiang
传遗命奸雄数终,chuan'yi'ming'jian'xiong'shu'zhong
创帝业李渊举兵,chuang'di'ye'li'yuan'ju'bing
创稿,chuang'gao
创始问何年,chuang'shi'wen'he'nian
吹成水面文章,chui'cheng'shui'mian'wen'zhang
春殿语从容,chun'dian'yu'cong'rong
春风化雨,chun'feng'hua'yu
春风秋月总关情,chun'feng'qiu'yue'zong'guan'qing
椿龄画蔷痴及局外,chun'ling'hua'qiang'chi'ji'ju'wai
春梅寄柬谐佳会,chun'mei'ji'jian'xie'jia'hui
春梅娇撒西门庆,chun'mei'jiao'sa'xi'men'qing
春梅姐不垂别泪,chun'mei'jie'bu'chui'bie'lei
春梅姐游旧家池馆,chun'mei'jie'you'jiu'jia'chi'guan
春梅姐正色闲邪,chun'mei'jie'zheng'se'xian'xie
春秋绵俎豆,chun'qiu'mian'zu'dou
春闱一战,chun'wei'yi'zhan
春燕,chun'yan
辞鬼谷孙膑下山,ci'gui'gu'sun'bin'xia'shan
刺精忠岳母训子,ci'jing'zhong'yue'mu'xun'zi
此联有资料记载,ci'lian'you'zi'liao'ji'zai
赐同进士出身,ci'tong'jin'shi'chu'shen
刺先克五将乱晋,ci'xian'ke'wu'jiang'luan'jin
慈姨妈爱语慰痴颦,ci'yi'ma'ai'yu'wei'chi'pin
此语吾敢承哉,ci'yu'wu'gan'cheng'zai
从今谁颂落花诗,cong'jin'shui'song'luo'hua'shi
骢马使弹劾平安州,cong'ma'shi'tan'he'ping'an'zhou
从我驰驱,cong'wo'chi'qu
从知谶应天文,cong'zhi'chen'ying'tian'wen
粗蠢,cu'chun
撺掇,cuan'duo
瘁三朝之重寄,cui'san'zhao'zhi'zhong'ji
崔总兵进衣传血诏,cui'zong'bing'jin'yi'chuan'xue'zhao
萃总目至万馀种,cui'zong'mu'zhi'wan'yu'zhong
村老老是信口开河,cun'lao'lao'shi'xin'kou'kai'he
寸磔以报,cun'zhe'yi'bao
错里错以错劝哥哥,cuo'li'cuo'yi'cuo'quan'ge'ge
错认猧儿唤玉狸,cuo'ren'wo'er'huan'yu'li
鹾政点,cuo'zheng'dian
错字讹句,cuo'zi'e'ju
大笔高名海内外,da'bi'gao'ming'hai'nei'wai
大成殿,da'cheng'dian
大成门,da'cheng'men
大抵浮生若梦,da'di'fu'sheng'ruo'meng
大地干戈十二年,da'di'gan'ge'shi'er'nian
打盖郡智多星密筹,da'gai'jun'zhi'duo'xing'mi'chou
大功未竟,da'gong'wei'jing
大观园符水驱妖孽,da'guan'yuan'fu'shui'qu'yao'nie
大观园试才题对额,da'guan'yuan'shi'cai'ti'dui'e
大观园月夜感幽魂,da'guan'yuan'yue'ye'gan'you'hun
大禾人面纹方鼎,da'he'ren'mian'wen'fang'ding
大湖以北,da'hu'yi'bei
大荒山,da'huang'shan
大家今夜极绸缪,da'jia'jin'ye'ji'chou'mou
大江,da'jiang
大江东去,da'jiang'dong'qu
大江流日夜,da'jiang'liu'ri'ye
大酒楼刘二撒泼,da'jiu'lou'liu'er'sa'po
打酒坛福将遇神仙,da'jiu'tan'fu'jiang'yu'shen'xian
大开痴顽,da'kai'chi'wan
打擂台同祭岳王坟,da'lei'tai'tong'ji'yue'wang'fen
打擂台英雄聚会,da'lei'tai'ying'xiong'ju'hui
褡裢,da'lian
打猫儿金莲品玉,da'mao'er'jin'lian'pin'yu
大门,da'men
大名不朽,da'ming'bu'xiu
大名光史册,da'ming'guang'shi'ce
大破金龙阵关铃逞能,da'po'jin'long'zhen'guan'ling'cheng'neng
大圣腾那骗宝贝,da'sheng'teng'na'pian'bao'bei
大圣殷勤拜南海,da'sheng'yin'qin'bai'nan'hai
打碎免战牌岳公子犯今,da'sui'mian'zhan'pai'yue'gong'zi'fan'jin
打铜旗秦琼破阵,da'tong'qi'qin'qiong'po'zhen
大夏扶持,da'xia'fu'chi
大贤之量,da'xian'zhi'liang
大相国寺闲听评话,da'xiang'guo'si'xian'ting'ping'hua
大雅,da'ya
大意,da'yi
大泽深山龙虎气,da'ze'shen'shan'long'hu'qi
大展幻术,da'zhan'huan'shu
大旨,da'zhi
大旨谈情,da'zhi'tan'qing
打足,da'zu
玳安儿密访蜂媒,dai'an'er'mi'fang'feng'mei
玳安儿窃玉成婚,dai'an'er'qie'yu'cheng'hun
玳安嬉游蝴蝶巷,dai'an'xi'you'hu'die'xiang
戴定邦挽左宗棠,dai'ding'bang'wan'zuo'zong'tang
轪侯,dai'hou
代如夫人洗脚,dai'ru'fu'ren'xi'jiao
呆香菱情解石榴裙,dai'xiang'ling'qing'jie'shi'liu'qun
戴宗定计赚萧让,dai'zong'ding'ji'zhuan'xiao'rang
戴宗智取公孙胜,dai'zong'zhi'qu'gong'sun'sheng
但不可或缺之物,dan'bu'ke'huo'que'zhi'wu
但反身争个一壁静,dan'fan'shen'zheng'ge'yi'bi'jing
单福新野遇英主,dan'fu'xin'ye'yu'ying'zhu
淡或如水,dan'huo'ru'shui
但求此日行为,dan'qiu'ci'ri'xing'wei
但问耕耘,dan'wen'geng'yun
当朝正主救婴儿,dang'chao'zheng'zhu'jiu'ying'er
当代郭汾阳,dang'dai'guo'fen'yang
当马快叔宝听差,dang'ma'kuai'shu'bao'ting'chai
当年共读古人书,dang'nian'gong'du'gu'ren'shu
当年笏满床,dang'nian'hu'man'chuang
到处便为家,dao'chu'bian'wei'jia
到此顿惊梁木坏,dao'ci'dun'jing'liang'mu'huai
盗道缠禅静九灵,dao'dao'chan'chan'jing'jiu'ling
道法永远留传后代,dao'fa'yong'yuan'liu'chuan'hou'dai
道府州郡,dao'fu'zhou'jun
道冠古今,dao'guan'gu'jin
悼红轩,dao'hong'xuan
道隆群圣,dao'long'qun'sheng
道昧放心猿,dao'mei'fang'xin'yuan
道若江河,dao'ruo'jiang'he
道丧千载,dao'sang'qian'zai
到头来都是为他人作嫁衣裳,dao'tou'lai'dou'shi'wei'ta'ren'zuo'jia'yi'shang
悼挽左宗棠联,dao'wan'zuo'zong'tang'lian
道续千年丝竹声,dao'xu'qian'nian'si'zhu'sheng
道以人传,dao'yi'ren'chuan
德冠生民,de'guan'sheng'min
德配天地,de'pei'tian'di
得失安之于数,de'shi'an'zhi'yu'shu
得通灵幻境悟仙缘,de'tong'ling'huan'jing'wu'xian'yuan
得一名城,de'yi'ming'cheng
登赫曦台上,deng'he'xi'tai'shang
邓士载偷度阴平,deng'shi'zai'tou'du'yin'ping
邓士载智败姜伯约,deng'shi'zai'zhi'bai'jiang'bo'yue
第八回,di'ba'hui
第八十八回,di'ba'shi'ba'hui
第八十二回,di'ba'shi'er'hui
第八十回,di'ba'shi'hui
第八十九回,di'ba'shi'jiu'hui
第八十六回,di'ba'shi'liu'hui
第八十七回,di'ba'shi'qi'hui
第八十三回,di'ba'shi'san'hui
第八十四回,di'ba'shi'si'hui
第八十五回,di'ba'shi'wu'hui
第八十一回,di'ba'shi'yi'hui
滴翠亭杨妃戏彩蝶,di'cui'ting'yang'fei'xi'cai'die
娣娣姨姨笑语和,di'di'yi'yi'xiao'yu'he
底定关陇回疆,di'ding'guan'long'hui'jiang
第二回,di'er'hui
第二十八回,di'er'shi'ba'hui
第二十二回,di'er'shi'er'hui
第二十回,di'er'shi'hui
第二十九回,di'er'shi'jiu'hui
第二十六回,di'er'shi'liu'hui
第二十七回,di'er'shi'qi'hui
第二十三回,di'er'shi'san'hui
第二十四回,di'er'shi'si'hui
第二十五回,di'er'shi'wu'hui
第二十一回,di'er'shi'yi'hui
地方数百里之间,di'fang'shu'bai'li'zhi'jian
涤垢洗心惟扫塔,di'gou'xi'xin'wei'sao'ta
地接衡湘,di'jie'heng'xiang
地近岳王坟,di'jin'yue'wang'fen
第九回,di'jiu'hui
第九十八回,di'jiu'shi'ba'hui
第九十二回,di'jiu'shi'er'hui
第九十回,di'jiu'shi'hui
第九十九回,di'jiu'shi'jiu'hui
第九十六回,di'jiu'shi'liu'hui
第九十七回,di'jiu'shi'qi'hui
第九十三回,di'jiu'shi'san'hui
第九十四回,di'jiu'shi'si'hui
第九十五回,di'jiu'shi'wu'hui
第九十一回,di'jiu'shi'yi'hui
第六回,di'liu'hui
第六十八回,di'liu'shi'ba'hui
第六十二回,di'liu'shi'er'hui
第六十回,di'liu'shi'hui
第六十九回,di'liu'shi'jiu'hui
第六十六回,di'liu'shi'liu'hui
第六十七回,di'liu'shi'qi'hui
第六十三回,di'liu'shi'san'hui
第六十四回,di'liu'shi'si'hui
第六十五回,di'liu'shi'wu'hui
第六十一回,di'liu'shi'yi'hui
帝命不时,di'ming'bu'shi
第七回,di'qi'hui
第七十八回,di'qi'shi'ba'hui
第七十二回,di'qi'shi'er'hui
第七十回,di'qi'shi'hui
第七十九回,di'qi'shi'jiu'hui
第七十六回,di'qi'shi'liu'hui
第七十七回,di'qi'shi'qi'hui
第七十三回,di'qi'shi'san'hui
第七十四回,di'qi'shi'si'hui
第七十五回,di'qi'shi'wu'hui
第七十一回,di'qi'shi'yi'hui
地仍虎踞龙蟠,di'reng'hu'ju'long'pan
第三回,di'san'hui
第三十八回,di'san'shi'ba'hui
第三十二回,di'san'shi'er'hui
第三十回,di'san'shi'hui
第三十九回,di'san'shi'jiu'hui
第三十六回,di'san'shi'liu'hui
第三十七回,di'san'shi'qi'hui
第三十三回,di'san'shi'san'hui
第三十四回,di'san'shi'si'hui
第三十五回,di'san'shi'wu'hui
第三十一回,di'san'shi'yi'hui
第十八回,di'shi'ba'hui
第十二回,di'shi'er'hui
第十回,di'shi'hui
第十九回,di'shi'jiu'hui
第十六回,di'shi'liu'hui
第十七回,di'shi'qi'hui
第十三回,di'shi'san'hui
第十四回,di'shi'si'hui
第十五回,di'shi'wu'hui
第十一回,di'shi'yi'hui
第四回,di'si'hui
第四十八回,di'si'shi'ba'hui
第四十二回,di'si'shi'er'hui
第四十回,di'si'shi'hui
第四十九回,di'si'shi'jiu'hui
第四十六回,di'si'shi'liu'hui
第四十七回,di'si'shi'qi'hui
第四十三回,di'si'shi'san'hui
第四十四回,di'si'shi'si'hui
第四十五回,di'si'shi'wu'hui
第四十一回,di'si'shi'yi'hui
低头一拜屠羊说,di'tou'yi'bai'tu'yang'shuo
帝王之书法手迹,di'wang'zhi'shu'fa'shou'ji
第五回,di'wu'hui
第五十八回,di'wu'shi'ba'hui
第五十二回,di'wu'shi'er'hui
第五十回,di'wu'shi'hui
第五十九回,di'wu'shi'jiu'hui
第五十六回,di'wu'shi'liu'hui
第五十七回,di'wu'shi'qi'hui
第五十三回,di'wu'shi'san'hui
第五十四回,di'wu'shi'si'hui
第五十五回,di'wu'shi'wu'hui
第五十一回,di'wu'shi'yi'hui
第心主夜间修药物,di'xin'zhu'ye'jian'xiu'yao'wu
第一百回,di'yi'bai'hui
第一回,di'yi'hui
地有百区皆近水,di'you'bai'qu'jie'jin'shui
地舆邦国,di'yu'bang'guo
电击雷轰,dian'ji'lei'hong
奠酌圣湖水,dian'zhuo'sheng'hu'shui
叠膺殊遇,die'ying'shu'yu
定挨光王婆受贿,ding'ai'guang'wang'po'shou'hui
