板南線,ban'nan'xian
南港軟體園區,nan'gang'ruan'ti'yuan'qu
南港線,nan'gang'xian
南港展覽館,nan'gang'zhan'lan'guan
南環段,nan'huan'duan
南京復興,nan'jing'fu'xing
南京三民,nan'jing'san'min
南勢角,nan'shi'jiao
內湖,nei'hu
內湖線,nei'hu'xian
唭哩岸,qi'li'an
奇岩,qi'yan
七張,qi'zhang
橋和,qiao'he
晴光商圈,qing'guang'shang'quan
榮總,rong'zong
瑞光,rui'guang
三重,san'chong
三重國小,san'chong'guo'xiao
三和國中,san'he'guo'zhong
三民高中,san'min'gao'zhong
三民國中,san'min'guo'zhong
三鶯線,san'ying'xian
三張犁,san'zhang'li
善導寺,shan'dao'si
社子,she'zi
社子東西線,she'zi'dong'xi'xian
深坑線,shen'keng'xian
實踐大學,shi'jian'da'xue
士林,shi'lin
士林區公所,shi'lin'qu'gong'suo
石牌,shi'pai
十四張,shi'si'zhang
市政府,shi'zheng'fu
雙連,shuang'lian
雙溪公園,shuang'xi'gong'yuan
松江南京,song'jiang'nan'jing
松山,song'shan
松山機場,song'shan'ji'chang
松山線,song'shan'xian
台北捷運,tai'bei'jie'yun
台北車站,tai'bei'ju'zhan
台北科大,tai'bei'ke'da
台北橋,tai'bei'qiao
台北世貿,tai'bei'shi'mao
臺北小巨蛋,tai'bei'xiao'ju'dan
臺北醫院,tai'bei'yi'yuan
台大醫院,tai'da'yi'yuan
台電大樓,tai'dian'da'lou
台灣大學,tai'wan'da'xue
台灣高速鐵路,tai'wan'gao'su'tie'lu
台灣桃園國際機場捷運,tai'wan'tao'yuan'guo'ji'ji'chang'jie'yun
台灣鐵路管理局縱貫線,tai'wan'tie'lu'guan'li'ju'zong'guan'xian
桃園捷運機場線,tao'yuan'jie'yun'ji'chang'xian
桃園捷運棕線,tao'yuan'jie'yun'zong'xian
頭前庄,tou'qian'zhuang
土城,tu'cheng
土城線,tu'cheng'xian
萬大樹林線,wan'da'shu'lin'xian
萬芳社區,wan'fang'she'qu
萬芳醫院,wan'fang'yi'yuan
萬隆,wan'long
文德,wen'de
文湖線,wen'hu'xian
文山線,wen'shan'xian
五分埔商圈,wu'fen'pu'shang'quan
五股泰山線,wu'gu'tai'shan'xian
五華國小,wu'hua'guo'xiao
西湖,xi'hu
西環段,xi'huan'duan
西門,xi'men
西松,xi'song
下塔悠,xia'ta'you
下灣子,xia'wan'zi
先嗇宮,xian'se'gong
象山,xiang'shan
小碧潭,xiao'bi'tan
小碧潭支線,xiao'bi'tan'zhi'xian
小南門,xiao'nan'men
小南門線,xiao'nan'men'xian
新北產業園區,xin'bei'chan'ye'yuan'qu
新北巿立醫院,xin'bei'fu'li'yi'yuan
新北投,xin'bei'tou
新北投支線,xin'bei'tou'zhi'xian
新店,xin'dian
新店高中,xin'dian'gao'zhong
新店區公所,xin'dian'qu'gong'suo
新店線,xin'dian'xian
辛亥,xin'hai
新埔,xin'pu
新埔民生,xin'pu'min'sheng
信義安和,xin'yi'an'he
信義松德,xin'yi'song'de
信義線,xin'yi'xian
新莊,xin'zhuang
新莊廟街,xin'zhuang'miao'jie
新莊線,xin'zhuang'xian
幸福,xing'fu
行天宮,xing'tian'gong
秀朗橋,xiu'lang'qiao
徐匯中學,xu'hui'zhong'xue
亞東醫院,ya'dong'yi'yuan
永安市場,yong'an'shi'chang
永春,yong'chun
永寧,yong'ning
遠東工業區,yuan'dong'gong'ye'qu
圓山,yuan'shan
樂生,yue'sheng
政大,zheng'da
智慧財產局,zhi'hui'cai'chan'ju
芝山,zhi'shan
中和線,zhong'he'xian
中和新蘆線,zhong'he'xin'lu'xian
中路,zhong'lu
中坡,zhong'po
中山,zhong'shan
中山國小,zhong'shan'guo'xiao
中山國中,zhong'shan'guo'zhong
忠孝敦化,zhong'xiao'dun'hua
忠孝復興,zhong'xiao'fu'xing
忠孝新生,zhong'xiao'xin'sheng
重陽橋,zhong'yang'qiao
忠義,zhong'yi
中原,zhong'yuan
中正紀念堂,zhong'zheng'ji'nian'tang
洲子,zhou'zi
竹圍,zhu'wei
棕線,zong'xian
