安全灯煤矿,an'quan'deng'mei'kuang
粗滤器初滤器,cu'lv'qi'chu'lv'qi
粗磨,cu'mo
粗泥,cu'ni
粗砂,cu'sha
粗筛,cu'shai
粗碎,cu'sui
粗碎机,cu'sui'ji
粗钻屑收集筒,cu'zuan'xie'shou'ji'tong
催化剂,cui'hua'ji
催化酌,cui'hua'zhuo
错车道,cuo'che'dao
打混凝土桩,da'hun'ning'tu'zhuang
大块煤,da'kuai'mei
打捞工具,da'lao'gong'ju
打捞钩,da'lao'gou
带式干燥机,dai'shi'gan'zao'ji
带式运输机胶带,dai'shi'yun'shu'ji'jiao'dai
挡车器,dang'che'qi
导电法,dao'dian'fa
导电性尘末,dao'dian'xing'chen'mo
导火线,dao'huo'xian
捣矿机,dao'kuang'ji
等高线图,deng'gao'xian'tu
澄清桶,deng'qing'tong
低爆热炸药,di'bao're'zha'yao
低槽,di'cao
地层贮水系数,di'ceng'zhu'shui'xi'shu
碲金矿,di'jin'kuang
低温技术,di'wen'ji'shu
电缆敷设,dian'lan'fu'she
电缆故障,dian'lan'gu'zhang
电缆接线盒,dian'lan'jie'xian'he
电缆外壳,dian'lan'wai'ke
电缆芯线,dian'lan'xin'xian
电淋度,dian'lin'du
电路图,dian'lu'tu
电石灯,dian'shi'deng
顶板,ding'ban
顶板崩落,ding'ban'beng'luo
顶板炮眼,ding'ban'pao'yan
顶板岩石,ding'ban'yan'shi
顶部间隙,ding'bu'jian'xi
顶梁,ding'liang
定向钻进,ding'xiang'zuan'jin
定中心,ding'zhong'xin
冻结法,dong'jie'fa
洞室装药,dong'shi'zhuang'yao
堵缝,du'feng
堵塞,du'se
独头巷道,du'tou'hang'dao
断路器,duan'lu'qi
煅烧,duan'shao
煅烧炉,duan'shao'lu
对流,dui'liu
多尘瓦斯矿,duo'chen'wa'si'kuang
多斗挖掘船,duo'dou'wa'jue'chuan
多斗挖掘机,duo'dou'wa'jue'ji
多级压气机,duo'ji'ya'qi'ji
多孔混凝土,duo'kong'hun'ning'tu
多空塑料,duo'kong'su'liao
多室式磨机,duo'shi'shi'mo'ji
垛式支架,duo'shi'zhi'jia
多爪抓斗,duo'zhao'zhua'dou
扼吝圈,e'lin'quan
二氧化碳爆破筒,er'yang'hua'tan'bao'po'tong
帆布桶,fan'bu'tong
帆布通风管道,fan'bu'tong'feng'guan'dao
翻车机,fan'che'ji
反时针方向,fan'shi'zhen'fang'xiang
反时针旋转,fan'shi'zhen'xuan'zhuan
反旋式通风机,fan'xuan'shi'tong'feng'ji
翻转箕斗装置,fan'zhuan'ji'dou'zhuang'zhi
放顶线,fang'ding'xian
防腐,fang'fu
防腐蚀,fang'fu'shi
方解石,fang'jie'shi
放煤溜槽,fang'mei'liu'cao
放炮电路试验器,fang'pao'dian'lu'shi'yan'qi
防蚀剂,fang'shi'ji
房式开采,fang'shi'kai'cai
废碴堆,fei'cha'dui
分级机溢流,fen'ji'ji'yi'liu
分级筛,fen'ji'shai
粉碎球,fen'sui'qiu
分选判据,fen'xuan'pan'ju
封闭结构,feng'bi'jie'gou
封闭式轴承,feng'bi'shi'zhou'cheng
风动发动机,feng'dong'fa'dong'ji
风动扇风机,feng'dong'shan'feng'ji
风动掏锤,feng'dong'tao'chui
风镐,feng'gao
复成岩瘤,fu'cheng'yan'liu
复盖层厚度,fu'gai'ceng'hou'du
复盖岩层,fu'gai'yan'ceng
复盖岩石,fu'gai'yan'shi
复轨器,fu'gui'qi
复合材料,fu'he'cai'liao
复合矿层,fu'he'kuang'ceng
复合矿床,fu'he'kuang'chuang
复合矿石,fu'he'kuang'shi
复合矿物,fu'he'kuang'wu
腐蚀酌,fu'shi'zhuo
浮选机,fu'xuan'ji
浮游选煤,fu'you'xuan'mei
辅助罐笼,fu'zhu'guan'long
辅助竖井,fu'zhu'shu'jing
钙长石,gai'chang'shi
钙化,gai'hua
钙质,gai'zhi
甘汞,gan'gong
甘汞电极,gan'gong'dian'ji
钢筋混凝土井架,gang'jin'hun'ning'tu'jing'jia
钢粒钻头,gang'li'zuan'tou
钢丝绳垂度,gang'si'sheng'chui'du
钢丝绳卷筒,gang'si'sheng'juan'tong
钢丝绳捻向,gang'si'sheng'nian'xiang
钢丝绳运输巷道,gang'si'sheng'yun'shu'hang'dao
钢丝绳钻机,gang'si'sheng'zuan'ji
钢丝绳钻进,gang'si'sheng'zuan'jin
钢丝绳钻眼法,gang'si'sheng'zuan'yan'fa
钢僳环头,gang'su'huan'tou
割链,ge'lian
工业矿石,gong'ye'kuang'shi
工业炸药,gong'ye'zha'yao
共用平巷,gong'yong'ping'xiang
工祖链板输送机,gong'zu'lian'ban'shu'song'ji
钴毕,gu'bi
骨架,gu'jia
关闭阀,guan'bi'fa
关闭矿山,guan'bi'kuang'shan
关闭装置,guan'bi'zhuang'zhi
管道,guan'dao
罐道,guan'dao
灌混凝土,guan'hun'ning'tu
罐笼,guan'long
罐笼层,guan'long'ceng
罐笼电话,guan'long'dian'hua
罐笼断绳保险器,guan'long'duan'sheng'bao'xian'qi
罐笼隔间,guan'long'ge'jian
罐笼门,guan'long'men
罐笼平衡锤,guan'long'ping'heng'chui
罐笼设备,guan'long'she'bei
罐笼提升,guan'long'ti'sheng
罐笼提升机,guan'long'ti'sheng'ji
罐笼提升井,guan'long'ti'sheng'jing
罐笼悬挂装置,guan'long'xuan'gua'zhuang'zhi
罐笼装卸处,guan'long'zhuang'xie'chu
罐笼座,guan'long'zuo
罐托,guan'tuo
光卤石,guang'lu'shi
硅质石灰岩,gui'zhi'shi'hui'yan
辊碎机,gun'sui'ji
蛤斗,ha'dou
蛤斗式挖掘机,ha'dou'shi'wa'jue'ji
含气量,han'qi'liang
含碳矿物,han'tan'kuang'wu
含碳量,han'tan'liang
焊条芯,han'tiao'xin
寒武纪,han'wu'ji
巷道煤柱,hang'dao'mei'zhu
合成应力,he'cheng'ying'li
黑金刚石,hei'jin'gang'shi
黑硫银锡矿,hei'liu'yin'xi'kuang
横挡,heng'dang
横断面视图,heng'duan'mian'shi'tu
横梁,heng'liang
横木,heng'mu
横切面,heng'qie'mian
横巷,heng'xiang
横巷采矿法,heng'xiang'cai'kuang'fa
横向输送机,heng'xiang'shu'song'ji
红砷镍矿,hong'shen'nie'kuang
红玉,hong'yu
后角,hou'jiao
化合水,hua'he'shui
化合物,hua'he'wu
滑环,hua'huan
滑落,hua'luo
化学变化,hua'xue'bian'hua
化学反应,hua'xue'fan'ying
化学分析,hua'xue'fen'xi
化学腐蚀,hua'xue'fu'shi
化学过程,hua'xue'guo'cheng
化学亲和能,hua'xue'qin'he'neng
化学性质,hua'xue'xing'zhi
化学酌,hua'xue'zhuo
化学组成,hua'xue'zu'cheng
换车,huan'che
缓冲爆破,huan'chong'bao'po
换算系数,huan'suan'xi'shu
环形槽,huan'xing'cao
环形带,huan'xing'dai
环形支架,huan'xing'zhi'jia
黄铜矿,huang'tong'kuang
回采率,hui'cai'lv
辉钴矿,hui'gu'kuang
回收率,hui'shou'lv
辉铜矿,hui'tong'kuang
回转中心,hui'zhuan'zhong'xin
混合浮选,hun'he'fu'xuan
混合工子,hun'he'gong'zi
混合支架,hun'he'zhi'jia
混凝土衬砌,hun'ning'tu'chen'qi
混凝土打碎机,hun'ning'tu'da'sui'ji
混凝土风力压送机,hun'ning'tu'feng'li'ya'song'ji
混凝土搅拌机,hun'ning'tu'jiao'ban'ji
混凝土井壁,hun'ning'tu'jing'bi
混凝土砌块,hun'ning'tu'qi'kuai
混凝土砌块支柱,hun'ning'tu'qi'kuai'zhi'zhu
混凝土圬工,hun'ning'tu'wu'gong
混凝土用钢筋,hun'ning'tu'yong'gang'jin
混凝土振捣器,hun'ning'tu'zhen'dao'qi
混凝土枕木,hun'ning'tu'zhen'mu
混凝土镇压器,hun'ning'tu'zhen'ya'qi
混凝土支架,hun'ning'tu'zhi'jia
混凝土贮仓,hun'ning'tu'zhu'cang
火警信号器,huo'jing'xin'hao'qi
活头钎子,huo'tou'qian'zi
集尘器,ji'chen'qi
挤出,ji'chu
基础垛盘,ji'chu'duo'pan
集水圈,ji'shui'quan
极限距离,ji'xian'ju'li
集中荷重,ji'zhong'he'zhong
集中开采,ji'zhong'kai'cai
集中控制,ji'zhong'kong'zhi
集中装药,ji'zhong'zhuang'yao
夹层,jia'ceng
钾钒铀矿,jia'fan'you'kuang
甲酚,jia'fen
夹具,jia'ju
架空死,jia'kong'si
架设木垛,jia'she'mu'duo
夹子,jia'zi
检查地点,jian'cha'di'dian
间格干燥器分室干燥器,jian'ge'gan'zao'qi'fen'shi'gan'zao'qi
坚固稳定岩石,jian'gu'wen'ding'yan'shi
坚固岩层,jian'gu'yan'ceng
尖灭,jian'mie
拣选带,jian'xuan'dai
检验试验,jian'yan'shi'yan
建筑工程,jian'zhu'gong'cheng
建筑木材,jian'zhu'mu'cai
交叉,jiao'cha
交叉捻向,jiao'cha'nian'xiang
交叉捻向钢丝绳,jiao'cha'nian'xiang'gang'si'sheng
交错矿脉,jiao'cuo'kuang'mai
校对取样,jiao'dui'qu'yang
交换齿轮,jiao'huan'chi'lun
胶结物,jiao'jie'wu
绞盘,jiao'pan
胶态,jiao'tai
胶态水泥浆搅拌机,jiao'tai'shui'ni'jiang'jiao'ban'ji
焦炭,jiao'tan
胶体溶液,jiao'ti'rong'ye
焦油木材防腐剂,jiao'you'mu'cai'fang'fu'ji
角锥形掏槽,jiao'zhui'xing'tao'cao
校准曲线,jiao'zhun'qu'xian
截槽速度,jie'cao'su'du
接长输送机,jie'chang'shu'song'ji
接触测井,jie'chu'ce'jing
接触带,jie'chu'dai
接触过滤,jie'chu'guo'lv
接触角,jie'chu'jiao
接触矿脉,jie'chu'kuang'mai
接触面,jie'chu'mian
阶段间矿柱,jie'duan'jian'kuang'zhu
结晶格子,jie'jing'ge'zi
结晶组织,jie'jing'zu'zhi
截链传动部分,jie'lian'chuan'dong'bu'fen
截煤机,jie'mei'ji
截煤机割齿,jie'mei'ji'ge'chi
截煤机截盘,jie'mei'ji'jie'pan
截煤机链,jie'mei'ji'lian
截煤装载机,jie'mei'zhuang'zai'ji
截头,jie'tou
截装机,jie'zhuang'ji
金刚砂轮,jin'gang'sha'lun
紧链器,jin'lian'qi
紧密支架,jin'mi'zhi'jia
井底司罐工,jing'di'si'guan'gong
精浮选,jing'fu'xuan
井颈开凿,jing'jing'kai'zao
井颈塌落,jing'jing'ta'luo
井口建筑物,jing'kou'jian'zhu'wu
净宽,jing'kuan
井框,jing'kuang
井框支架,jing'kuang'zhi'jia
精煤,jing'mei
精煤灰分,jing'mei'hui'fen
精确高差测量仪,jing'que'gao'cha'ce'liang'yi
净水,jing'shui
晶体生长,jing'ti'sheng'zhang
精选机,jing'xuan'ji
精选尾矿,jing'xuan'wei'kuang
晶轴,jing'zhou
局部磨损,ju'bu'mo'sun
聚水池,ju'shui'chi
掘进康拜因,jue'jin'kang'bai'yin
卡巴耐特炸药,ka'ba'nai'te'zha'yao
开采率,kai'cai'lv
康森科型摇床,kang'sen'ke'xing'yao'chuang
抗压强度,kang'ya'qiang'du
可采矿床,ke'cai'kuang'chuang
可采煤层,ke'cai'mei'ceng
可燃成分,ke'ran'cheng'fen
可烧性生物岩,ke'shao'xing'sheng'wu'yan
可碎性系数,ke'sui'xing'xi'shu
可缩性支架,ke'suo'xing'zhi'jia
可缩性支柱,ke'suo'xing'zhi'zhu
空洞现象,kong'dong'xian'xiang
孔口起爆,kong'kou'qi'bao
空穴,kong'xue
孔穴矿脉,kong'xue'kuang'mai
控制爆破,kong'zhi'bao'po
控制程序,kong'zhi'cheng'xu
控制程序块,kong'zhi'cheng'xu'kuai
控制电路,kong'zhi'dian'lu
控制阀,kong'zhi'fa
控制放顶,kong'zhi'fang'ding
控制方式,kong'zhi'fang'shi
控制计算机,kong'zhi'ji'suan'ji
控制设备,kong'zhi'she'bei
控制室,kong'zhi'shi
控制台,kong'zhi'tai
控制系统,kong'zhi'xi'tong
口径,kou'jing
块煤,kuai'mei
矿车,kuang'che
矿车联接,kuang'che'lian'jie
矿井火灾,kuang'jing'huo'zai
矿柱,kuang'zhu
扩槽孔,kuo'cao'kong
拉宋斗机,la'song'dou'ji
滥采,lan'cai
缆耍引,lan'shua'yin
缆摔带运输机,lan'shuai'dai'yun'shu'ji
缆耸车,lan'song'che
缆怂输机,lan'song'shu'ji
缆损重机,lan'sun'zhong'ji
雷管封口器导火线封口器,lei'guan'feng'kou'qi'dao'huo'xian'feng'kou'qi
累计粒度曲线,lei'ji'li'du'qu'xian
冷钢钻粒钻机,leng'gang'zuan'li'zuan'ji
冷气机,leng'qi'ji
冷却介质,leng'que'jie'zhi
冷却面,leng'que'mian
冷却水,leng'que'shui
冷却水泵,leng'que'shui'beng
冷却水循环,leng'que'shui'xun'huan
冷却塔,leng'que'ta
冷却套,leng'que'tao
冷却液,leng'que'ye
冷却装置,leng'que'zhuang'zhi
厘泊,li'bo
离合皮板,li'he'pi'ban
离合撇盘,li'he'pie'pan
离合扑,li'he'pu
厘米克秒单位,li'mi'ke'miao'dan'wei
离心泵,li'xin'beng
离心沉降,li'xin'chen'jiang
离心分级机,li'xin'fen'ji'ji
离心干燥机,li'xin'gan'zao'ji
离心过滤,li'xin'guo'lv
离心过滤机,li'xin'guo'lv'ji
离心空气分选,li'xin'kong'qi'fen'xuan
离心力,li'xin'li
离心浓缩机,li'xin'nong'suo'ji
离心扇风机,li'xin'shan'feng'ji
离心式分离机,li'xin'shi'fen'li'ji
离心式分选,li'xin'shi'fen'xuan
离心式风力分选机,li'xin'shi'feng'li'fen'xuan'ji
离心式磨机,li'xin'shi'mo'ji
离心式送风机,li'xin'shi'song'feng'ji
离心式压缩机,li'xin'shi'ya'suo'ji
离心效应,li'xin'xiao'ying
利用率,li'yong'lv
粒状炸药,li'zhuang'zha'yao
链板输送机,lian'ban'shu'song'ji
链板运输机,lian'ban'yun'shu'ji
链传动,lian'chuan'dong
链斗式扩掘机,lian'dou'shi'kuo'jue'ji
链斗式提升机,lian'dou'shi'ti'sheng'ji
敛缝,lian'feng
连杆,lian'gan
链鼓轮,lian'gu'lun
联合采煤机,lian'he'cai'mei'ji
联合给料机,lian'he'gei'liao'ji
联合开采法,lian'he'kai'cai'fa
联合矿,lian'he'kuang
联合式开采,lian'he'shi'kai'cai
联合钻眼,lian'he'zuan'yan
链滑车,lian'hua'che
链绞车,lian'jiao'che
炼焦煤,lian'jiao'mei
链节,lian'jie
连接槽,lian'jie'cao
联结软管,lian'jie'ruan'guan
连接图,lian'jie'tu
链锯,lian'ju
链轮,lian'lun
链筛,lian'shai
链式给矿机,lian'shi'gei'kuang'ji
链式罐笼座,lian'shi'guan'long'zuo
链式截煤机,lian'shi'jie'mei'ji
链式提升机,lian'shi'ti'sheng'ji
链条运输,lian'tiao'yun'shu
链条张力,lian'tiao'zhang'li
连续采煤机,lian'xu'cai'mei'ji
连续干燥机,lian'xu'gan'zao'ji
连续工祖,lian'xu'gong'zu
连续工祖开采,lian'xu'gong'zu'kai'cai
连续过滤机,lian'xu'guo'lv'ji
连续开采,lian'xu'kai'cai
连续浓缩机,lian'xu'nong'suo'ji
连续生产,lian'xu'sheng'chan
连续提取,lian'xu'ti'qu
连续运输,lian'xu'yun'shu
连续运转,lian'xu'yun'zhuan
连续真空过滤机,lian'xu'zhen'kong'guo'lv'ji
连续装载,lian'xu'zhuang'zai
联轴戚栓,lian'zhou'qi'shuan
梁间距,liang'jian'ju
量系数,liang'xi'shu
临界点,lin'jie'dian
临界电压,lin'jie'dian'ya
临界负载,lin'jie'fu'zai
临界密度,lin'jie'mi'du
临界能量,lin'jie'neng'liang
临界浓度,lin'jie'nong'du
临界深度,lin'jie'shen'du
临界速度,lin'jie'su'du
临界温度,lin'jie'wen'du
临界压力,lin'jie'ya'li
临界值,lin'jie'zhi
临界直径,lin'jie'zhi'jing
临界状态,lin'jie'zhuang'tai
菱锌矿,ling'xin'kuang
溜槽口,liu'cao'kou
溜槽闸门,liu'cao'zha'men
溜井爆破,liu'jing'bao'po
轮廓爆破,lun'kuo'bao'po
轮式铲运机,lun'shi'chan'yun'ji
落顶开采,luo'ding'kai'cai
螺施运输机,luo'shi'yun'shu'ji
螺旋采煤机,luo'xuan'cai'mei'ji
滤饼,lv'bing
履带,lv'dai
履带牵引,lv'dai'qian'yin
履带式起重机,lv'dai'shi'qi'zhong'ji
履带式推土机,lv'dai'shi'tui'tu'ji
履带式挖掘机,lv'dai'shi'wa'jue'ji
履带拖拉机,lv'dai'tuo'la'ji
氯酸盐炸药,lv'suan'yan'zha'yao
蛮石混凝土,man'shi'hun'ning'tu
毛玻璃,mao'bo'li
帽灯,mao'deng
冒落,mao'luo
猫头钢丝绳,mao'tou'gang'si'sheng
毛细管,mao'xi'guan
毛细孔隙,mao'xi'kong'xi
毛细裂缝,mao'xi'lie'feng
毛细现象,mao'xi'xian'xiang
煤包体,mei'bao'ti
煤崩落,mei'beng'luo
煤仓,mei'cang
煤层,mei'ceng
煤产量,mei'chan'liang
煤场,mei'chang
煤车,mei'che
煤尘,mei'chen
煤尘爆炸,mei'chen'bao'zha
煤尘试验,mei'chen'shi'yan
煤堆,mei'dui
煤肺病,mei'fei'bing
煤粉,mei'fen
煤焦油,mei'jiao'you
煤矿,mei'kuang
煤矿工人,mei'kuang'gong'ren
煤矿用炸药,mei'kuang'yong'zha'yao
煤泥,mei'ni
煤水泵,mei'shui'beng
煤损失,mei'sun'shi
煤炭粉磨机,mei'tan'fen'mo'ji
煤炭干燥机,mei'tan'gan'zao'ji
煤炭工业,mei'tan'gong'ye
煤炭矿床,mei'tan'kuang'chuang
煤炭列车,mei'tan'lie'che
煤炭取样,mei'tan'qu'yang
煤田,mei'tian
煤田地质,mei'tian'di'zhi
煤型,mei'xing
煤运输,mei'yun'shu
煤质板岩,mei'zhi'ban'yan
煤质砂岩,mei'zhi'sha'yan
煤柱,mei'zhu
煤砖,mei'zhuan
煤装载,mei'zhuang'zai
煤钻,mei'zuan
猛度试验,meng'du'shi'yan
密闭爆速,mi'bi'bao'su
密闭效应,mi'bi'xiao'ying
密闭殉爆试验,mi'bi'xun'bao'shi'yan
密集钻眼,mi'ji'zuan'yan
磨煤机,mo'mei'ji
木垛,mu'duo
木工,mu'gong
耐腐蚀性,nai'fu'shi'xing
耐寒性,nai'han'xing
内聚力,nei'ju'li
内聚能,nei'ju'neng
逆流,ni'liu
粘附系数,nian'fu'xi'shu
粘结煤,nian'jie'mei
粘结性,nian'jie'xing
碾碎机,nian'sui'ji
粘土拌合机,nian'tu'ban'he'ji
粘土覆盖层,nian'tu'fu'gai'ceng
粘土灰浆,nian'tu'hui'jiang
粘土夹层,nian'tu'jia'ceng
粘土泥,nian'tu'ni
粘土泥灰岩,nian'tu'ni'hui'yan
粘土炮泥,nian'tu'pao'ni
粘土填料,nian'tu'tian'liao
粘土岩,nian'tu'yan
粘性系数,nian'xing'xi'shu
粘着系数,nian'zhuo'xi'shu
尿素尸,niao'su'shi
浓化效应,nong'hua'xiao'ying
浓缩比,nong'suo'bi
爬车机带角链,pa'che'ji'dai'jiao'lian
爬坡能力,pa'po'neng'li
排矸桥,pai'gan'qiao
排水井,pai'shui'jing
膨系数,peng'xi'shu
品位下限,pin'wei'xia'xian
平衡锤,ping'heng'chui
平行平巷,ping'xing'ping'xiang
破碎产品,po'sui'chan'pin
破碎车间,po'sui'che'jian
破碎颚板,po'sui'e'ban
破碎费,po'sui'fei
破碎辊,po'sui'gun
破碎机,po'sui'ji
破碎机颚,po'sui'ji'e
破碎机房,po'sui'ji'fang
破碎机锥头,po'sui'ji'zhui'tou
破碎面,po'sui'mian
破碎能,po'sui'neng
破碎试验,po'sui'shi'yan
破碎蜗杆,po'sui'wo'gan
破碎装置,po'sui'zhuang'zhi
起爆药包,qi'bao'yao'bao
气缸体,qi'gang'ti
气闸,qi'zha
起重定滑轮,qi'zhong'ding'hua'lun
起重机吊杆,qi'zhong'ji'diao'gan
起重机吊钩,qi'zhong'ji'diao'gou
起重机司机,qi'zhong'ji'si'ji
牵引钢丝绳,qian'yin'gang'si'sheng
牵引系数,qian'yin'xi'shu
强斯砂浮法,qiang'si'sha'fu'fa
强斯型圆锥洗煤机,qiang'si'xing'yuan'zhui'xi'mei'ji
切夕,qie'xi
切悉具,qie'xi'ju
切锨,qie'xian
切闲,qie'xian
切腺度,qie'xian'du
切宪力,qie'xian'li
清除器,qing'chu'qi
氰化法,qing'hua'fa
曲柄机构,qu'bing'ji'gou
曲率中心,qu'lv'zhong'xin
曲线回路输送机,qu'xian'hui'lu'shu'song'ji
曲线运动,qu'xian'yun'dong
曲轴压力机,qu'zhou'ya'li'ji
全部充填,quan'bu'chong'tian
全部回采,quan'bu'hui'cai
全采,quan'cai
燃料消耗量,ran'liao'xiao'hao'liang
燃烧带,ran'shao'dai
燃烧温度,ran'shao'wen'du
燃烧效率,ran'shao'xiao'lv
让压板,rang'ya'ban
让压块,rang'ya'kuai
热当量,re'dang'liang
热值,re'zhi
日常维修,ri'chang'wei'xiu
蠕变变形,ru'bian'bian'xing
蠕变强度,ru'bian'qiang'du
蠕变曲线,ru'bian'qu'xian
蠕变试验,ru'bian'shi'yan
蠕变速度,ru'bian'su'du
塞药棒,sai'yao'bang
砂袋垛,sha'dai'duo
筛孔,shai'kong
筛上物,shai'shang'wu
扇形,shan'xing
烧结块,shao'jie'kuai
摄氏标度,she'shi'biao'du
摄氏温度计,she'shi'wen'du'ji
渗碳,shen'tan
渗碳钢,shen'tan'gang
渗碳剂,shen'tan'ji
渗碳体,shen'tan'ti
绳伺力,sheng'ci'li
绳轮,sheng'lun
生石灰,sheng'shi'hui
绳双动,sheng'shuang'dong
生硝,sheng'xiao
事故,shi'gu
石门,shi'men
石门掘进,shi'men'jue'jin
石炭纪,shi'tan'ji
石炭酸,shi'tan'suan
石英质岩石,shi'ying'zhi'yan'shi
十字形,shi'zi'xing
十字凿,shi'zi'zao
十字钻头,shi'zi'zuan'tou
收集输送机,shou'ji'shu'song'ji
收缩裂缝,shou'suo'lie'feng
收缩系数,shou'suo'xi'shu
手选工,shou'xuan'gong
竖井口,shu'jing'kou
竖式转锥磨机,shu'shi'zhuan'zhui'mo'ji
输送机传动装置,shu'song'ji'chuan'dong'zhuang'zhi
输送机化煤矿,shu'song'ji'hua'mei'kuang
输送机拉紧滚筒,shu'song'ji'la'jin'gun'tong
输送机式分级机,shu'song'ji'shi'fen'ji'ji
水灰比,shui'hui'bi
水力采煤,shui'li'cai'mei
水泥灌浆,shui'ni'guan'jiang
水泥灰浆,shui'ni'hui'jiang
水泥浆,shui'ni'jiang
水泥浆灌法,shui'ni'jiang'guan'fa
顺序爆破,shun'xu'bao'po
顺转,shun'zhuan
死,si
四分取样法,si'fen'qu'yang'fa
碎石,sui'shi
碎石混凝土,sui'shi'hun'ning'tu
碎屑岩,sui'xie'yan
缩合法,suo'he'fa
锁环销,suo'huan'xiao
塔式起重机,ta'shi'qi'zhong'ji
碳化钙,tan'hua'gai
碳化酌,tan'hua'zhuo
碳刷,tan'shua
碳素工具钢,tan'su'gong'ju'gang
碳酸,tan'suan
碳酸盐,tan'suan'yan
弹性系数,tan'xing'xi'shu
碳质石灰岩,tan'zhi'shi'hui'yan
碳质页岩,tan'zhi'ye'yan
掏槽深度,tao'cao'shen'du
套管,tao'guan
套管接箍,tao'guan'jie'gu
套管卡,tao'guan'ka
套管矛,tao'guan'mao
套管内切刀,tao'guan'nei'qie'dao
套管鞋,tao'guan'xie
套管柱,tao'guan'zhu
特性方程式,te'xing'fang'cheng'shi
特性曲线,te'xing'qu'xian
特性值,te'xing'zhi
体积膨胀,ti'ji'peng'zhang
体积形变,ti'ji'xing'bian
梯落式辊磨机,ti'luo'shi'gun'mo'ji
提升隔间,ti'sheng'ge'jian
天轮,tian'lun
天青石,tian'qing'shi
天然焦,tian'ran'jiao
填塞,tian'se
填塞质量系数,tian'se'zhi'liang'xi'shu
铜合金,tong'he'jin
铜精矿,tong'jing'kuang
同时充填,tong'shi'chong'tian
同轴电缆,tong'zhou'dian'lan
透闪石,tou'shan'shi
投掷充填,tou'zhi'chong'tian
凸轮,tu'lun
凸轮传动,tu'lun'chuan'dong
凸轮机构,tu'lun'ji'gou
凸轮轮廓,tu'lun'lun'kuo
推车工,tui'che'gong
推车机,tui'che'ji
挖沟机,wa'gou'ji
外部装药爆破,wai'bu'zhuang'yao'bao'po
弯管,wan'guan
完全棚子,wan'quan'peng'zi
完全起爆,wan'quan'qi'bao
完全燃烧,wan'quan'ran'shao
围岩,wei'yan
卧底,wo'di
无端绳,wu'duan'sheng
污浊空气,wu'zhuo'kong'qi
洗涤器,xi'di'qi
洗矿,xi'kuang
细粒结构,xi'li'jie'gou
洗煤,xi'mei
洗煤厂,xi'mei'chang
锡石,xi'shi
吸收系数,xi'shou'xi'shu
系数功率,xi'shu'gong'lv
限流,xian'liu
陷落,xian'luo
相关法,xiang'guan'fa
相关分析,xiang'guan'fen'xi
相关函数,xiang'guan'han'shu
相关系数,xiang'guan'xi'shu
向上弯曲,xiang'shang'wan'qu
箱式计量给料器,xiang'shi'ji'liang'gei'liao'qi
镶碳物硬质合金钻头,xiang'tan'wu'ying'zhi'he'jin'zuan'tou
小型推土机,xiao'xing'tui'tu'ji
斜向平巷,xie'xiang'ping'xiang
新生代,xin'sheng'dai
新鲜空气,xin'xian'kong'qi
形钻头,xing'zuan'tou
