比较法,bi'jiao'fa
共同效果,gong'tong'xiao'guo
共性解释,gong'xing'jie'shi
公因分析,gong'yin'fen'xi
构造类型法,gou'zao'lei'xing'fa
固定答题,gu'ding'da'ti
估计研究,gu'ji'yan'jiu
观察法,guan'cha'fa
归纳,gui'na
归纳逻辑,gui'na'luo'ji
归属系数,gui'shu'xi'shu
函数式陈述,han'shu'shi'chen'shu
横剖调查,heng'pou'diao'cha
宏观研究,hong'guan'yan'jiu
后测,hou'ce
互动效果,hu'dong'xiao'guo
互关矩阵,hu'guan'ju'zhen
还原论,huan'yuan'lun
霍桑试验,huo'sang'shi'yan
几何平均数,ji'he'ping'jun'shu
集体抽样,ji'ti'chou'yang
集中趋势测量法,ji'zhong'qu'shi'ce'liang'fa
假设,jia'she
假设检验法,jia'she'jian'yan'fa
假设检验逻辑,jia'she'jian'yan'luo'ji
简单证伪法,jian'dan'zheng'wei'fa
简化论,jian'hua'lun
间接研究,jian'jie'yan'jiu
间距估计,jian'ju'gu'ji
交互分类,jiao'hu'fen'lei
结构式访问,jie'gou'shi'fang'wen
介入变项,jie'ru'bian'xiang
解释力,jie'shi'li
解释性研究,jie'shi'xing'yan'jiu
净效应,jing'xiao'ying
经验法,jing'yan'fa
经验概括,jing'yan'gai'kuo
经验观察,jing'yan'guan'cha
经验归纳,jing'yan'gui'na
经验推演,jing'yan'tui'yan
聚类分析,ju'lei'fen'xi
举例归纳,ju'li'gui'na
具体因径系数,ju'ti'yin'jing'xi'shu
矩形图,ju'xing'tu
决定系数,jue'ding'xi'shu
绝对零点,jue'dui'ling'dian
均等尽简法,jun'deng'jin'jian'fa
可信程度,ke'xin'cheng'du
可信间距,ke'xin'jian'ju
科学发展阶段论,ke'xue'fa'zhan'jie'duan'lun
科学环,ke'xue'huan
可预测度系数,ke'yu'ce'du'xi'shu
控制变项,kong'zhi'bian'xiang
控制组,kong'zhi'zu
库恩,ku'en
累加百分率,lei'jia'bai'fen'lv
累加次数,lei'jia'ci'shu
累进比,lei'jin'bi
类型法,lei'xing'fa
理论分析法,li'lun'fen'xi'fa
理论架构,li'lun'jia'gou
理论研究,li'lun'yan'jiu
理论证伪法,li'lun'zheng'wei'fa
历史比较研究,li'shi'bi'jiao'yan'jiu
离势测量法,li'shi'ce'liang'fa
两变项分析,liang'bian'xiang'fen'xi
量表法,liang'biao'fa
列联表,lie'lian'biao
列联系数,lie'lian'xi'shu
邻类比,lin'lei'bi
零相关,ling'xiang'guan
逻辑推演,luo'ji'tui'yan
描述性研究,miao'shu'xing'yan'jiu
命题,ming'ti
名义尺度,ming'yi'chi'du
模型理论,mo'xing'li'lun
内容效度,nei'rong'xiao'du
内生变项,nei'sheng'bian'xiang
内在效度,nei'zai'xiao'du
拟合优度,ni'he'you'du
逆相关,ni'xiang'guan
偶遇抽样,ou'yu'chou'yang
排除归纳,pai'chu'gui'na
判别分析,pan'bie'fen'xi
判别函数,pan'bie'han'shu
匹兹堡调查,pi'zi'bao'diao'cha
平均人,ping'jun'ren
普查,pu'cha
前测,qian'ce
潜根,qian'gen
前置变项,qian'zhi'bian'xiang
倾向性解释,qing'xiang'xing'jie'shi
求同法,qiu'tong'fa
求同求异法,qiu'tong'qiu'yi'fa
区分系数,qu'fen'xi'shu
曲解分析,qu'jie'fen'xi
趋势调查,qu'shi'diao'cha
权威法,quan'wei'fa
群体变项,qun'ti'bian'xiang
社会调查,she'hui'diao'cha
社会定义范式,she'hui'ding'yi'fan'shi
社会事实范式,she'hui'shi'shi'fan'shi
社会行为方式,she'hui'xing'wei'fang'shi
社会学研究方法,she'hui'xue'yan'jiu'fang'fa
社会研究,she'hui'yan'jiu
深度访谈,shen'du'fang'tan
升级比,sheng'ji'bi
生态谬误,sheng'tai'miu'wu
剩余法,sheng'yu'fa
试错法,shi'cuo'fa
实地研究,shi'di'yan'jiu
十分位差,shi'fen'wei'cha
十分位值,shi'fen'wei'zhi
实体概念,shi'ti'gai'nian
实验法,shi'yan'fa
实验组,shi'yan'zu
实用效度,shi'yong'xiao'du
实用性调查,shi'yong'xing'diao'cha
实证主义,shi'zheng'zhu'yi
数理分析与模拟法,shu'li'fen'xi'yu'mo'ni'fa
疏离系数,shu'li'xi'shu
双峰曲线,shuang'feng'qu'xian
思辨法,si'bian'fa
思辨理论,si'bian'li'lun
算术平均数,suan'shu'ping'jun'shu
探索性研究,tan'suo'xing'yan'jiu
特征值,te'zheng'zhi
条件百分表,tiao'jian'bai'fen'biao
条件次数表,tiao'jian'ci'shu'biao
条件式陈述,tiao'jian'shi'chen'shu
统计调查研究,tong'ji'diao'cha'yan'jiu
统计分析,tong'ji'fen'xi
统计概括,tong'ji'gai'kuo
同期群调查,tong'qi'qun'diao'cha
图示法,tu'shi'fa
外生变项,wai'sheng'bian'xiang
外在效度,wai'zai'xiao'du
维度,wei'du
微观研究,wei'guan'yan'jiu
微体谬误,wei'ti'miu'wu
伪证理论,wei'zheng'li'lun
问卷法,wen'juan'fa
文献法,wen'xian'fa
误差变项,wu'cha'bian'xiang
线性几率回归,xian'xing'ji'lv'hui'gui
线性结构关系,xian'xing'jie'gou'guan'xi
线性组合,xian'xing'zu'he
相关方向,xiang'guan'fang'xiang
相关关系,xiang'guan'guan'xi
相加效果,xiang'jia'xiao'guo
项目分析,xiang'mu'fen'xi
详析模式,xiang'xi'mo'shi
效标效度,xiao'biao'xiao'du
效度,xiao'du
小前提,xiao'qian'ti
协方差,xie'fang'cha
信度,xin'du
行政性调查,xing'zheng'xing'diao'cha
虚构变项,xu'gou'bian'xiang
叙述统计法,xu'shu'tong'ji'fa
叙述性调查,xu'shu'xing'diao'cha
虚无关系,xu'wu'guan'xi
学术性调查,xue'shu'xing'diao'cha
研究方案,yan'jiu'fang'an
研究方法,yan'jiu'fang'fa
研究课题,yan'jiu'ke'ti
研究类型,yan'jiu'lei'xing
研究目的,yan'jiu'mu'di
研究内容,yan'jiu'nei'rong
研究设计类型,yan'jiu'she'ji'lei'xing
演绎,yan'yi
演绎理论,yan'yi'li'lun
演绎逻辑,yan'yi'luo'ji
演绎三段式,yan'yi'san'duan'shi
异比分层随机抽样,yi'bi'fen'ceng'sui'ji'chou'yang
依变项,yi'bian'xiang
移动平均法,yi'dong'ping'jun'fa
意向性解释,yi'xiang'xing'jie'shi
因变量,yin'bian'liang
因果关系,yin'guo'guan'xi
因果环节,yin'guo'huan'jie
因果解释,yin'guo'jie'shi
因果决定论,yin'guo'jue'ding'lun
因果模型,yin'guo'mo'xing
因果网,yin'guo'wang
因果效果,yin'guo'xiao'guo
因果优先性,yin'guo'you'xian'xing
因子分析,yin'zi'fen'xi
因子负荷,yin'zi'fu'he
应用研究,ying'yong'yan'jiu
预测效度,yu'ce'xiao'du
预期次数,yu'qi'ci'shu
扎根理论,zha'gen'li'lun
折半信度,zhe'ban'xin'du
正相关,zheng'xiang'guan
直接相关,zhi'jie'xiang'guan
指数法,zhi'shu'fa
质异指数,zhi'yi'zhi'shu
中介变量,zhong'jie'bian'liang
众数,zhong'shu
中位数,zhong'wei'shu
中央极限定理,zhong'yang'ji'xian'ding'li
主观主义,zhu'guan'zhu'yi
追踪调查,zhui'zong'diao'cha
准则效度,zhun'ze'xiao'du
自变量,zi'bian'liang
资料分析法,zi'liao'fen'xi'fa
资料收集法,zi'liao'shou'ji'fa
自由度,zi'you'du
纵贯调查,zong'guan'diao'cha
综合指标,zong'he'zhi'biao
组际平方和,zu'ji'ping'fang'he
组距,zu'ju
组下限,zu'xia'xian
组限,zu'xian
组中点,zu'zhong'dian
最大拟然估计,zui'da'ni'ran'gu'ji
最佳拟合线,zui'jia'ni'he'xian
最小平方准则,zui'xiao'ping'fang'zhun'ze
