阿兰娜,a'lan'na
八一三进行曲,ba'yi'san'jin'xing'qu
八月的乡村,ba'yue'de'xiang'cun
白波,bai'bo
白沉,bai'chen
百代乐队,bai'dai'yue'dui
白登云,bai'deng'yun
白发红颜,bai'fa'hong'yan
白光,bai'guang
白虹,bai'hong
百花歌,bai'hua'ge
百花开,bai'hua'kai
白兰花,bai'lan'hua
白兰香,bai'lan'xiang
白浪进行曲,bai'lang'jin'xing'qu
百乐门乐队,bai'le'men'yue'dui
百里红灯,bai'li'hong'deng
白丽珠,bai'li'zhu
白莲花,bai'lian'hua
白鹭,bai'lu
白露明,bai'lu'ming
白幔,bai'man
百鸟朝凰,bai'niao'chao'huang
百鸟和鸣,bai'niao'he'ming
白头吟,bai'tou'yin
白杨,bai'yang
白羊曲,bai'yang'qu
白英,bai'ying
白玉璞,bai'yu'pu
白玉霜画集,bai'yu'shuang'hua'ji
拜月,bai'yue
白云,bai'yun
白云深处,bai'yun'shen'chu
白云塔,bai'yun'ta
白云行凶特刊,bai'yun'xing'xiong'te'kan
半斤油面,ban'jin'you'mian
绊马索,ban'ma'suo
板桥道情及劳动歌,ban'qiao'dao'qing'ji'lao'dong'ge
半夜的私语,ban'ye'de'si'yu
半夜歌声,ban'ye'ge'sheng
傍妆台,bang'zhuang'tai
暴发户来了,bao'fa'hu'lai'le
宝贵的幼年,bao'gui'de'you'nian
保罗罗伯逊,bao'luo'luo'bo'xun
鲍培莉,bao'pei'li
保卫大广东,bao'wei'da'guang'dong
保卫华南,bao'wei'hua'nan
保卫领空,bao'wei'ling'kong
保卫中华,bao'wei'zhong'hua
保我河山,bao'wo'he'shan
宝鸭穿莲,bao'ya'chuan'lian
包庸珍,bao'yong'zhen
暴雨打芙蓉,bao'yu'da'fu'rong
北傍妆台,bei'bang'zhuang'tai
被刺的手,bei'ci'de'shou
悲旦,bei'dan
悲欢离合,bei'huan'li'he
北京大戏院电影周刊,bei'jing'da'xi'yuan'dian'ying'zhou'kan
北京星社,bei'jing'xing'she
杯酒高歌,bei'jiu'gao'ge
悲剧圣手,bei'ju'sheng'shou
蓓蕾,bei'lei
北平贝满女子中学歌咏队,bei'ping'bei'man'nv'zi'zhong'xue'ge'yong'dui
北平电影制片,bei'ping'dian'ying'zhi'pian
北平胡同记,bei'ping'hu'tong'ji
北平乐家,bei'ping'le'jia
北平潞河中学歌咏队,bei'ping'lu'he'zhong'xue'ge'yong'dui
北平育英歌咏队,bei'ping'yu'ying'ge'yong'dui
北平育英中学歌咏队,bei'ping'yu'ying'zhong'xue'ge'yong'dui
北腔三板,bei'qiang'san'ban
悲秋,bei'qiu
北战场精忠录,bei'zhan'chang'jing'zhong'lu
本事高,ben'shi'gao
本塘大猫,ben'tang'da'mao
彼岸婆娑琉璃,bi'an'po'suo'liu'li
碧海青天,bi'hai'qing'tian
壁画词,bi'hua'ci
碧沙窗外,bi'sha'chuang'wai
碧水芙蓉,bi'shui'fu'rong
逼水龙翔,bi'shui'long'xiang
毕业歌,bi'ye'ge
边疆情歌,bian'jiang'qing'ge
标准夫人,biao'zhun'fu'ren
标准美人,biao'zhun'mei'ren
别离情,bie'li'qing
别离与团圆,bie'li'yu'tuan'yuan
别说再见,bie'shuo'zai'jian
别矣巴黎,bie'yi'ba'li
别走得那么快,bie'zou'de'na'me'kuai
别走的那么快,bie'zou'de'na'me'kuai
并蒂莲,bing'di'lian
并肩前进,bing'jian'qian'jin
病中吟,bing'zhong'yin
博爱歌,bo'ai'ge
薄情的女郎,bo'qing'de'nv'lang
伯牙操琴,bo'ya'cao'qin
不变的心,bu'bian'de'xin
步步高,bu'bu'gao
步步娇,bu'bu'jiao
步步莲花,bu'bu'lian'hua
步蟾宫,bu'chan'gong
不成呀约翰,bu'cheng'ya'yue'han
不倒翁,bu'dao'weng
不得了,bu'de'liao
步登无锡景,bu'deng'wu'xi'jing
不好白相,bu'hao'bai'xiang
不堪回首,bu'kan'hui'shou
不老的爸爸,bu'lao'de'ba'ba
不了情,bu'liao'qing
不能忘记你,bu'neng'wang'ji'ni
不求人,bu'qiu'ren
不上钩的鱼,bu'shang'gou'de'yu
不是我硬心肠,bu'shi'wo'ying'xin'chang
卜万苍,bu'wan'cang
不幸的爱,bu'xing'de'ai
不要唱吧,bu'yao'chang'ba
不要吵,bu'yao'chao
不要你,bu'yao'ni
不要说不,bu'yao'shuo'bu
不要想,bu'yao'xiang
不再相见,bu'zai'xiang'jian
不知名的花,bu'zhi'ming'de'hua
不自由的花,bu'zi'you'de'hua
不自在,bu'zi'zai
蔡保罗,cai'bao'luo
采槟榔,cai'bing'lang
采茶,cai'cha
采茶姑娘,cai'cha'gu'niang
采茶曲,cai'cha'qu
蔡楚生,cai'chu'sheng
採佛经,cai'fo'jing
踩高跷,cai'gao'qiao
彩虹,cai'hong
采红菱,cai'hong'ling
采莲歌,cai'lian'ge
采莲花,cai'lian'hua
采莲谣,cai'lian'yao
采棉歌,cai'mian'ge
蔡绍序,cai'shao'xu
猜透了你的心,cai'tou'le'ni'de'xin
采鲜花,cai'xian'hua
蔡一鸣,cai'yi'ming
彩云追月,cai'yun'zhui'yue
残春,can'chun
残红,can'hong
残梦,can'meng
草上坡,cao'shang'po
曹子勋,cao'zi'xun
曾绮萍,ceng'qi'ping
插禾歌,cha'he'ge
茶花歌,cha'hua'ge
茶花女,cha'hua'nv
茶花女及大好河山,cha'hua'nv'ji'da'hao'he'shan
茶山情歌,cha'shan'qing'ge
插秧歌,cha'yang'ge
查渣依尔新孺进行曲,cha'zha'yi'er'xin'ru'jin'xing'qu
拆白党吊膀子,chai'bai'dang'diao'bang'zi
缠锦,chan'jin
唱不完的郎,chang'bu'wan'de'lang
长城落日,chang'cheng'luo'ri
长城特刊,chang'cheng'te'kan
长城谣,chang'cheng'yao
长城怨,chang'cheng'yuan
嫦娥,chang'e
唱歌游戏,chang'ge'you'xi
唱给哥哥听,chang'gei'ge'ge'ting
长恨歌,chang'hen'ge
娼门之子,chang'men'zhi'zi
长期抵抗,chang'qi'di'kang
长生果,chang'sheng'guo
长亭柳,chang'ting'liu
长亭十送,chang'ting'shi'song
长相思,chang'xiang'si
常在我心上,chang'zai'wo'xin'shang
朝元歌,chao'yuan'ge
潮州鼓班,chao'zhou'gu'ban
潮州名尼,chao'zhou'ming'ni
车水歌,che'shui'ge
陈波,chen'bo
陈波儿,chen'bo'er
陈查礼大破黑猫党,chen'cha'li'da'po'hei'mao'dang
陈查礼大破隐身术,chen'cha'li'da'po'yin'shen'shu
陈查礼大破蜘蛛党,chen'cha'li'da'po'zhi'zhu'dang
陈昌寿,chen'chang'shou
陈德滋,chen'de'zi
陈蝶衣,chen'die'yi
陈端桢,chen'duan'zhen
趁芳春,chen'fang'chun
陈歌辛,chen'ge'xin
晨更歌,chen'geng'ge
陈官歉,chen'guan'qian
晨光好,chen'guang'hao
陈浩,chen'hao
陈鹤,chen'he
陈娟娟,chen'juan'juan
陈美光,chen'mei'guang
陈美兰,chen'mei'lan
陈民强,chen'min'qiang
陈琦,chen'qi
陈绮霞,chen'qi'xia
陈茜茜,chen'qian'qian
陈舜华,chen'shun'hua
陈素娟,chen'su'juan
陈万福,chen'wan'fu
晨星,chen'xing
陈彦衡,chen'yan'heng
陈燕燕,chen'yan'yan
陈耀荣,chen'yao'rong
陈玉梅,chen'yu'mei
陈云裳,chen'yun'shang
成都洋琴队,cheng'du'yang'qin'dui
乘风飞去,cheng'feng'fei'qu
乘风破浪,cheng'feng'po'lang
程静子,cheng'jing'zi
城市之光,cheng'shi'zhi'guang
程一姝,cheng'yi'shu
池晗经,chi'han'jing
驰名音乐大家,chi'ming'yin'yue'da'jia
池上曲,chi'shang'qu
池上寓兴,chi'shang'yu'xing
池元又,chi'yuan'you
重重相思债,chong'chong'xiang'si'zhai
重逢,chong'feng
重逢何日,chong'feng'he'ri
臭虫歌,chou'chong'ge
楚霸王,chu'ba'wang
处处吻,chu'chu'wen
初恋,chu'lian
初恋女,chu'lian'nv
出卖影子的人,chu'mai'ying'zi'de'ren
处女的心,chu'nv'de'xin
出人头地,chu'ren'tou'di
出日落雨是主所定,chu'ri'luo'yu'shi'zhu'suo'ding
出水莲,chu'shui'lian
锄头歌,chu'tou'ge
初阳,chu'yang
出征歌,chu'zheng'ge
川岛芳子,chuan'dao'fang'zi
船夫曲,chuan'fu'qu
船歌,chuan'ge
船家女,chuan'jia'nv
船家曲,chuan'jia'qu
串珠帘,chuan'zhu'lian
窗前蜜语,chuang'qian'mi'yu
创造,chuang'zao
创作新生,chuang'zuo'xin'sheng
吹口唇歌,chui'kou'chun'ge
吹喇叭,chui'la'ba
吹泡泡,chui'pao'pao
春残,chun'can
春朝曲,chun'chao'qu
春到人间,chun'dao'ren'jian
春的爱,chun'de'ai
春的烦恼,chun'de'fan'nao
春泛街头,chun'fan'jie'tou
春风,chun'feng
春风带来烦恼,chun'feng'dai'lai'fan'nao
春风的耳语,chun'feng'de'er'yu
春风得意,chun'feng'de'yi
春风回梦记,chun'feng'hui'meng'ji
春风袅娜,chun'feng'niao'nuo
春风秋雨,chun'feng'qiu'yu
春风曲,chun'feng'qu
春风曲西宫怨,chun'feng'qu'xi'gong'yuan
春风杨柳,chun'feng'yang'liu
春风野草,chun'feng'ye'cao
春光好,chun'guang'hao
春光曲,chun'guang'qu
春光舞,chun'guang'wu
春光无限好,chun'guang'wu'xian'hao
春闺梦里人,chun'gui'meng'li'ren
春闺怨,chun'gui'yuan
春花满堂,chun'hua'man'tang
春花秋果,chun'hua'qiu'guo
春花秋月,chun'hua'qiu'yue
春花人面,chun'hua'ren'mian
春花如锦,chun'hua'ru'jin
春花吟,chun'hua'yin
春花圆舞曲,chun'hua'yuan'wu'qu
春回来了,chun'hui'lai'le
春季花,chun'ji'hua
春江花月夜,chun'jiang'hua'yue'ye
春江遗恨,chun'jiang'yi'hen
春郊俪硬,chun'jiao'li'ying
春来了,chun'lai'le
春来人不来,chun'lai'ren'bu'lai
春恋,chun'lian
春满人间,chun'man'ren'jian
春梦曲,chun'meng'qu
春情烈火,chun'qing'lie'huo
春情飘荡,chun'qing'piao'dang
春去不回来,chun'qu'bu'hui'lai
春色凝梦,chun'se'ning'meng
春深了,chun'shen'le
春水情波,chun'shui'qing'bo
春天的花朵,chun'tian'de'hua'duo
春天的降临,chun'tian'de'jiang'lin
春天里,chun'tian'li
春宵曲,chun'xiao'qu
春野情歌,chun'ye'qing'ge
春游,chun'you
春游曲,chun'you'qu
春怨,chun'yuan
春月明,chun'yue'ming
春之晨,chun'zhi'chen
春之花,chun'zhi'hua
春之叫卖,chun'zhi'jiao'mai
春之恋歌,chun'zhi'lian'ge
春之梦,chun'zhi'meng
春之颂,chun'zhi'song
春之舞曲,chun'zhi'wu'qu
慈母心,ci'mu'xin
慈母摇篮歌,ci'mu'yao'lan'ge
慈容显现,ci'rong'xian'xian
从军别爱,cong'jun'bie'ai
从军歌,cong'jun'ge
从军曲,cong'jun'qu
从军行,cong'jun'xing
催氛,cui'fen
翠湖春晚,cui'hu'chun'wan
翠楼吟,cui'lou'yin
催眠曲,cui'mian'qu
崔萍,cui'ping
村姑乐,cun'gu'le
村姑牧牛,cun'gu'mu'niu
村姑娘,cun'gu'niang
村姑之爱,cun'gu'zhi'ai
村晓,cun'xiao
大拜年,da'bai'nian
大饼油条,da'bing'you'tiao
大采茶,da'cai'cha
打柴歌,da'chai'ge
大赐福,da'ci'fu
大大宝宝,da'da'bao'bao
大刀进行曲,da'dao'jin'xing'qu
大地回春,da'di'hui'chun
大地进行曲,da'di'jin'xing'qu
大地影业公司,da'di'ying'ye'gong'si
大地之春,da'di'zhi'chun
大地之歌,da'di'zhi'ge
大都会,da'du'hui
妲妃催花曲,da'fei'cui'hua'qu
大凤,da'feng
大富之家,da'fu'zhi'jia
打更曲,da'geng'qu
大公报星期影画,da'gong'bao'xing'qi'ying'hua
大公鸡,da'gong'ji
大光明影业公司,da'guang'ming'ying'ye'gong'si
打夯歌,da'hang'ge
大红公鸡,da'hong'gong'ji
大华饭店音乐班,da'hua'fan'dian'yin'yue'ban
大华歌咏队,da'hua'ge'yong'dui
大华影讯,da'hua'ying'xun
大家想一番,da'jia'xiang'yi'fan
大家一条心,da'jia'yi'tiao'xin
大姐待嫁,da'jie'dai'jia
大开门,da'kai'men
大乐夏序,da'le'xia'xu
大乐亚尔洛,da'le'ya'er'luo
大路,da'lu
大路歌,da'lu'ge
大陆特刊,da'lu'te'kan
大锣鼓,da'luo'gu
打闹场,da'nao'chang
大闹台,da'nao'tai
大胖子,da'pang'zi
大世界,da'shi'jie
打碎玉栏杆,da'sui'yu'lan'gan
打铁歌,da'tie'ge
大同电影企业公司,da'tong'dian'ying'qi'ye'gong'si
大同乐会,da'tong'le'hui
大无畏歌,da'wu'wei'ge
大学皇后,da'xue'huang'hou
大亚特刊,da'ya'te'kan
大眼妹,da'yan'mei
打渔的姑娘,da'yu'de'gu'niang
大众的歌手,da'zhong'de'ge'shou
大中国影片公司特刊,da'zhong'guo'ying'pian'gong'si'te'kan
大中华百合特刊,da'zhong'hua'bai'he'te'kan
大中口琴队,da'zhong'kou'qin'dui
大众影坛,da'zhong'ying'tan
大众影讯,da'zhong'ying'xun
打砖歌,da'zhuan'ge
待郎,dai'lang
待郎曲,dai'lang'qu
戴良添,dai'liang'tian
黛玲,dai'ling
带着眼泪歌唱,dai'zhe'yan'lei'ge'chang
淡白梅花,dan'bai'mei'hua
丹凤,dan'feng
丹桂飘香,dan'gui'piao'xiang
蛋民歌广东民歌,dan'min'ge'guang'dong'min'ge
单相思,dan'xiang'si
当初见到你,dang'chu'jian'dao'ni
荡湖船,dang'hu'chuan
当你在我身边,dang'ni'zai'wo'shen'bian
党塞林底催眠歌,dang'sai'lin'di'cui'mian'ge
荡小船,dang'xiao'chuan
倒垂帘,dao'chui'lian
到春来,dao'chun'lai
倒春帘,dao'chun'lian
到春雪,dao'chun'xue
到底是个多情郎,dao'di'shi'ge'duo'qing'lang
祷告文,dao'gao'wen
倒骑骡,dao'qi'luo
道情,dao'qing
到夏来,dao'xia'lai
得宝歌,de'bao'ge
得不到的爱情,de'bu'dao'de'ai'qing
得贵子,de'gui'zi
得胜凯歌归,de'sheng'kai'ge'gui
邓白英,deng'bai'ying
邓波儿,deng'bo'er
等待,deng'dai
等待着,deng'dai'zhe
登高,deng'gao
灯红酒绿,deng'hong'jiu'lv
灯花开,deng'hua'kai
等郎,deng'lang
等郎郎不来,deng'lang'lang'bu'lai
邓小萍,deng'xiao'ping
等着你回来,deng'zhe'ni'hui'lai
等着心上人,deng'zhe'xin'shang'ren
第八艺术,di'ba'yi'shu
滴滴泪,di'di'lei
第二春,di'er'chun
第二梦,di'er'meng
敌忾,di'kai
抵抗,di'kang
狄娜窦萍专辑,di'na'dou'ping'zhuan'ji
第一美少年,di'yi'mei'shao'nian
笛奏龙吟,di'zou'long'yin
电化教育,dian'hua'jiao'yu
点秋香,dian'qiu'xiang
电声日报,dian'sheng'ri'bao
点水流江,dian'shui'liu'jiang
点水蜻蜓,dian'shui'qing'ting
电通影片公司,dian'tong'ying'pian'gong'si
电星,dian'xing
电影风,dian'ying'feng
电影故事,dian'ying'gu'shi
电影画报,dian'ying'hua'bao
电影皇帝,dian'ying'huang'di
电影皇后,dian'ying'huang'hou
电影纪事报,dian'ying'ji'shi'bao
电影检查月报,dian'ying'jian'cha'yue'bao
电影漫画,dian'ying'man'hua
电影明星画刊,dian'ying'ming'xing'hua'kan
电影情报,dian'ying'qing'bao
电影圈,dian'ying'quan
电影三日刊,dian'ying'san'ri'kan
电影生活,dian'ying'sheng'huo
电影世界,dian'ying'shi'jie
电影文化,dian'ying'wen'hua
电影文艺,dian'ying'wen'yi
电影小画报,dian'ying'xiao'hua'bao
电影新歌,dian'ying'xin'ge
电影新闻,dian'ying'xin'wen
电影学习,dian'ying'xue'xi
电影艺术,dian'ying'yi'shu
电影与播音,dian'ying'yu'bo'yin
电影与妇女图文周刊,dian'ying'yu'fu'nv'tu'wen'zhou'kan
电影与文艺,dian'ying'yu'wen'yi
电影与戏剧,dian'ying'yu'xi'ju
电影杂志,dian'ying'za'zhi
电影周,dian'ying'zhou
电影周报,dian'ying'zhou'bao
电影周刊,dian'ying'zhou'kan
蝶儿飞,die'er'fei
蝶和蜂,die'he'feng
蝶恋残红,die'lian'can'hong
蝶恋花,die'lian'hua
蝶梦,die'meng
叮叮当太太,ding'ding'dang'tai'tai
丁个儿铃鼓铛,ding'ge'er'ling'gu'dang
丁皓,ding'hao
定军山,ding'jun'shan
叮咛,ding'ning
丁倩,ding'qian
丁善德,ding'shan'de
丁香,ding'xiang
丁香山,ding'xiang'shan
丁香树下,ding'xiang'shu'xia
定远和尚,ding'yuan'he'shang
丁子明,ding'zi'ming
东北电影制片厂,dong'bei'dian'ying'zhi'pian'chang
东方第一老太,dong'fang'di'yi'lao'tai
东方范朋克,dong'fang'fan'peng'ke
洞房花烛,dong'fang'hua'zhu
洞房花烛夜,dong'fang'hua'zhu'ye
东方影讯,dong'fang'ying'xun
东风第一枝,dong'feng'di'yi'zhi
东风多情,dong'feng'duo'qing
东风落桃叶,dong'feng'luo'tao'ye
冬瓜美人,dong'gua'mei'ren
董妮,dong'ni
董佩佩,dong'pei'pei
董世雄,dong'shi'xiong
洞庭月,dong'ting'yue
董筱鹤,dong'xiao'he
董小宛,dong'xiao'wan
东亚影坛,dong'ya'ying'tan
东亚之光,dong'ya'zhi'guang
东瀛老歌,dong'ying'lao'ge
都不应该,dou'bu'ying'gai
都会的早晨,dou'hui'de'zao'chen
都会社,dou'hui'she
都杰,dou'jie
窦金怀,dou'jin'huai
豆蔻姑娘,dou'kou'gu'niang
豆蔻年华,dou'kou'nian'hua
杜甫,du'fu
杜鹃,du'juan
杜鹃啼,du'juan'ti
都市风光,du'shi'feng'guang
都市幻想曲,du'shi'huan'xiang'qu
读书郎,du'shu'lang
读书乐,du'shu'le
杜庭修,du'ting'xiu
杜宇重啼,du'yu'zhong'ti
杜真福,du'zhen'fu
笃志歌咏队,du'zhi'ge'yong'dui
笃志女中,du'zhi'nv'zhong
断肠词,duan'chang'ci
断肠红,duan'chang'hong
断肠曲,duan'chang'qu
短对口,duan'dui'kou
断桥流水,duan'qiao'liu'shui
对歌,dui'ge
多面手,duo'mian'shou
多情舞伴,duo'qing'wu'ban
俄国音乐班,e'guo'yin'yue'ban
娥皇女英,e'huang'nv'ying
恶邻,e'lin
饿马摇铃,e'ma'yao'ling
峨眉山歌,e'mei'shan'ge
蛾眉月,e'mei'yue
阿弥陀佛,e'mi'tuo'fo
恩爱,en'ai
二六板,er'liu'ban
二龙争珠,er'long'zheng'zhu
儿女英雄,er'nv'ying'xiong
二十四孝,er'shi'si'xiao
泛春江,fan'chun'jiang
范里香,fan'li'xiang
反派第一号,fan'pai'di'yi'hao
范雪朋,fan'xue'peng
仿粉红莲,fang'fen'hong'lian
芳华虚度,fang'hua'xu'du
方靜,fang'jing
方静音,fang'jing'yin
防空歌,fang'kong'ge
纺棉花,fang'mian'hua
放羊,fang'yang
方逸华,fang'yi'hua
放在心头,fang'zai'xin'tou
翡翠马,fei'cui'ma
飞花点翠,fei'hua'dian'cui
飞花歌,fei'hua'ge
飞机上结婚,fei'ji'shang'jie'hun
费明仪,fei'ming'yi
飞天筋斗娃,fei'tian'jin'dou'wa
飞行大盗,fei'xing'da'dao
飞行机,fei'xing'ji
妃子笑,fei'zi'xiao
粉蝶吹仔,fen'die'chui'zai
奋斗,fen'dou
粉红莲,fen'hong'lian
粉红色额梦,fen'hong'se'e'meng
粉扑之歌,fen'pu'zhi'ge
奋起救国,fen'qi'jiu'guo
奋勇向前,fen'yong'xiang'qian
风动帘铃,feng'dong'lian'ling
冯凤,feng'feng
凤归魂,feng'gui'hun
风花雪,feng'hua'xue
凤凰台,feng'huang'tai
凤凰特刊,feng'huang'te'kan
凤凰于飞,feng'huang'yu'fei
烽火恋歌,feng'huo'lian'ge
疯狂世界,feng'kuang'shi'jie
疯狂乐队,feng'kuang'yue'dui
凤来仪,feng'lai'yi
风流督军,feng'liu'du'jun
风流歌舞,feng'liu'ge'wu
风流寡妇,feng'liu'gua'fu
风流剑客,feng'liu'jian'ke
风流云散,feng'liu'yun'san
丰年,feng'nian
风弄荷珠,feng'nong'he'zhu
缝穷婆,feng'qiong'po
凤求凰,feng'qiu'huang
逢人哭时背人泪,feng'ren'ku'shi'bei'ren'lei
凤舞,feng'wu
凤阳歌,feng'yang'ge
凤阳花鼓,feng'yang'hua'gu
凤阳花鼓调,feng'yang'hua'gu'tiao
风雨,feng'yu
风雨归舟,feng'yu'gui'zhou
风雨交响曲,feng'yu'jiao'xiang'qu
风雨琴歌,feng'yu'qin'ge
风御雪,feng'yu'xue
风雨中的摇篮歌,feng'yu'zhong'de'yao'lan'ge
风云儿女,feng'yun'er'nv
风云会,feng'yun'hui
佛曲,fo'qu
伏尔加船夫曲,fu'er'jia'chuan'fu'qu
俘虏之歌,fu'lu'zhi'ge
父母子女,fu'mu'zi'nv
夫妻爱情,fu'qi'ai'qing
夫妻相骂,fu'qi'xiang'ma
扶桑曲,fu'sang'qu
腐蚀,fu'shi
浮士德,fu'shi'de
甫索力,fu'suo'li
复兴民族歌,fu'xing'min'zu'ge
浮云,fu'yun
福州音乐会,fu'zhou'yin'yue'hui
告别南洋,gao'bie'nan'yang
高岗上,gao'gang'shang
高金保,gao'jin'bao
高倩苹,gao'qian'ping
高山流水,gao'shan'liu'shui
告诉妈妈,gao'su'ma'ma
告诉他,gao'su'ta
告诉我,gao'su'wo
高亭乐队,gao'ting'yue'dui
高王经,gao'wang'jing
羔羊的安慰,gao'yang'de'an'wei
羔羊的血泪,gao'yang'de'xue'lei
高占非,gao'zhan'fei
高执欧,gao'zhi'ou
歌场春色,ge'chang'chun'se
葛朝祉,ge'chao'zhi
歌的歌,ge'de'ge
哥哥你爱我吧,ge'ge'ni'ai'wo'ba
葛兰,ge'lan
阁楼上的小姐,ge'lou'shang'de'xiao'jie
葛璐丽琪安特刊,ge'lu'li'qi'an'te'kan
葛嫩娘,ge'nen'niang
歌女红牡丹,ge'nv'hong'mu'dan
歌女泪,ge'nv'lei
歌女之歌,ge'nv'zhi'ge
葛铨,ge'quan
歌舞今宵,ge'wu'jin'xiao
歌舞升平,ge'wu'sheng'ping
歌舞引,ge'wu'yin
歌舞之光,ge'wu'zhi'guang
鸽子,ge'zi
给歌郎,gei'ge'lang
给摩登小姊,gei'mo'deng'xiao'zi
给时代的歌手,gei'shi'dai'de'ge'shou
跟你开玩笑,gen'ni'kai'wan'xiao
跟随救主歌,gen'sui'jiu'zhu'ge
恭贺新禧,gong'he'xin'xi
龚家龙,gong'jia'long
龚稼农,gong'jia'nong
龚秋霞,gong'qiu'xia
龚秋香,gong'qiu'xiang
龚莎莎,gong'sha'sha
恭喜大家今年好,gong'xi'da'jia'jin'nian'hao
恭喜大家新年好,gong'xi'da'jia'xin'nian'hao
恭喜恭喜,gong'xi'gong'xi
公益国乐社,gong'yi'guo'yue'she
孤岛天堂,gu'dao'tian'tang
孤儿救祖记,gu'er'jiu'zu'ji
孤儿乐园,gu'er'le'yuan
孤愤,gu'fen
故宫新怨,gu'gong'xin'yuan
顾兰君,gu'lan'jun
鼓浪屿福音堂歌咏团,gu'lang'yu'fu'yin'tang'ge'yong'tuan
鼓浪屿情歌,gu'lang'yu'qing'ge
鼓楼小学学生,gu'lou'xiao'xue'xue'sheng
顾媚,gu'mei
顾梦鹤,gu'meng'he
姑娘好,gu'niang'hao
姑娘十八一朵花,gu'niang'shi'ba'yi'duo'hua
姑苏台,gu'su'tai
古塔奇案,gu'ta'qi'an
故乡曲,gu'xiang'qu
顾小蝉,gu'xiao'chan
孤星吟,gu'xing'yin
顾也鲁,gu'ye'lu
谷莺,gu'ying
古乐升平,gu'yue'sheng'ping
孤舟,gu'zhou
寡妇诉冤,gua'fu'su'yuan
寡妇谈情,gua'fu'tan'qing
挂名的夫妻,gua'ming'de'fu'qi
关不住,guan'bu'zhu
关不住的春,guan'bu'zhu'de'chun
关不住的春光,guan'bu'zhu'de'chun'guang
关不住了,guan'bu'zhu'le
关翠英,guan'cui'ying
关东大侠,guan'dong'da'xia
关华石,guan'hua'shi
关瑞麟,guan'rui'lin
关外高歌,guan'wai'gao'ge
关系问题,guan'xi'wen'ti
广东姑娘,guang'dong'gu'niang
广东音乐研究会,guang'dong'yin'yue'yan'jiu'hui
广陵潮,guang'ling'chao
广州民众御侮救亡会,guang'zhou'min'zhong'yu'wu'jiu'wang'hui
广州青年,guang'zhou'qing'nian
广州小姐,guang'zhou'xiao'jie
归帆,gui'fan
贵妃出浴,gui'fei'chu'yu
贵妃醉酒,gui'fei'zui'jiu
归家喜乐歌,gui'jia'xi'le'ge
归来吧,gui'lai'ba
归来燕,gui'lai'yan
贵人的悲哀,gui'ren'de'bei'ai
贵人的快乐,gui'ren'de'kuai'le
归时,gui'shi
归亚蕾,gui'ya'lei
归燕,gui'yan
归雁,gui'yan
归燕牵愁断,gui'yan'qian'chou'duan
闺中吟,gui'zhong'yin
贵族青年歌,gui'zu'qing'nian'ge
滚出我的心房,gun'chu'wo'de'xin'fang
滚绣球,gun'xiu'qiu
郭沧州,guo'cang'zhou
过大桥,guo'da'qiao
国光特刊,guo'guang'te'kan
国光影讯,guo'guang'ying'xun
国花,guo'hua
国际影讯,guo'ji'ying'xun
过江龙,guo'jiang'long
国联影讯,guo'lian'ying'xun
国难来了,guo'nan'lai'le
国旗,guo'qi
国旗歌,guo'qi'ge
国泰新片特刊,guo'tai'xin'pian'te'kan
国泰影业公司,guo'tai'ying'ye'gong'si
果万林,guo'wan'lin
过新年,guo'xin'nian
郭豫立,guo'yu'li
哈哈哈,ha'ha'ha
