鲅鱼,ba'yu
吉野悠姬,ji'ye'you'ji
纪之国宁宁,ji'zhi'guo'ning'ning
加隈亚衣,jia'wei'ya'yi
煎熬,jian'ao
间岛淳司,jian'dao'chun'si
近藤孝行,jin'teng'xiao'xing
久川绫,jiu'chuan'ling
久我照纪,jiu'wo'zhao'ji
狂犬,kuang'quan
濑户麻沙美,lai'hu'ma'sha'mei
料理,liao'li
料理对决,liao'li'dui'jue
料理分子美食学,liao'li'fen'zi'mei'shi'xue
流浪厨师,liu'lang'chu'shi
柳田淳一,liu'tian'chun'yi
罗兰沙佩尔,luo'lan'sha'pei'er
裸体围裙,luo'ti'wei'qun
茅野爱衣,mao'ye'ai'yi
美作昴,mei'zuo'mao
秘书子,mi'shu'zi
纳豆,na'dou
乃村健次,nai'cun'jian'ci
内田真礼,nei'tian'zhen'li
能登麻美子,neng'deng'ma'mei'zi
女木岛冬辅,nv'mu'dao'dong'fu
普鲁斯普尔勋章,pu'lu'si'pu'er'xun'zhang
千表夏芽,qian'biao'xia'ya
千表嬂嬒,qian'biao'zhi'hui
茜久保桃,qian'jiu'bao'tao
乾日向子,qian'ri'xiang'zi
青木大吾,qing'mu'da'wu
麴料理,qu'liao'li
日高里菜,ri'gao'li'cai
日笠阳子,ri'li'yang'zi
肉类将军,rou'lei'jiang'jun
肉魅,rou'mei
睿山,rui'shan
睿山枝津也,rui'shan'zhi'jin'ye
杉田智和,shan'tian'zhi'he
榊凉子,shen'liang'zi
神之舌,shen'zhi'she
食戟,shi'ji
食戟之灵,shi'ji'zhi'ling
十杰候补,shi'jie'hou'bu
石上静香,shi'shang'jing'xiang
食事处,shi'shi'chu
食医,shi'yi
食之魔王,shi'zhi'mo'wang
水岛裕,shui'dao'yu
水户肉品,shui'hu'rou'pin
水户郁魅,shui'hu'yu'mei
水原冬美,shui'yuan'dong'mei
四宫师父,si'gong'shi'fu
四宫小次郎,si'gong'xiao'ci'lang
四物汤,si'wu'tang
司瑛士,si'ying'shi
松冈祯丞,song'gang'zhen'cheng
塔克米阿尔迪尼,ta'ke'mi'a'er'di'ni
堂岛银,tang'dao'yin
藤井雪代,teng'jing'xue'dai
薙切爱丽丝,ti'qie'ai'li'si
薙切国际科研组,ti'qie'guo'ji'ke'yan'zu
薙切绘里奈,ti'qie'hui'li'nai
薙切蓟,ti'qie'ji
薙切仙左卫门,ti'qie'xian'zuo'wei'men
田所惠,tian'suo'hui
铁腕火龙小姐,tie'wan'huo'long'xiao'jie
丸井善二,wan'jing'shan'er
味觉地平线的开拓者,wei'jue'di'ping'xian'de'kai'tuo'zhe
味觉地平线的探求者,wei'jue'di'ping'xian'de'tan'qiu'zhe
味觉世界的革新者,wei'jue'shi'jie'de'ge'xin'zhe
味之博学博士,wei'zhi'bo'xue'bo'shi
雾屋,wu'wu
雾之女帝,wu'zhi'nv'di
汐见润,xi'jian'run
香料权威,xiang'liao'quan'wei
小金井亚纪,xiao'jin'jing'ya'ji
小林龙胆,xiao'lin'long'dan
小林裕介,xiao'lin'yu'jie
小山力也,xiao'shan'li'ye
小西宽一,xiao'xi'kuan'yi
小野友树,xiao'ye'you'shu
新户绯沙子,xin'hu'fei'sha'zi
新户家,xin'hu'jia
幸平,xing'ping
幸平城一郎,xing'ping'cheng'yi'lang
幸平创真,xing'ping'chuang'zhen
修罗,xiu'luo
雪童子,xue'tong'zi
熏制料理,xun'zhi'liao'li
烟熏贵公子,yan'xun'gui'gong'zi
药膳,yao'shan
药膳菜品的行家,yao'shan'cai'pin'de'hang'jia
药膳料理,yao'shan'liao'li
叶山亮,ye'shan'liang
野兽森林的小红帽,ye'shou'sen'lin'de'xiao'hong'mao
衣襟绽裂,yi'jin'zhan'lie
伊萨米阿尔迪尼,yi'sa'mi'a'er'di'ni
一色慧,yi'se'hui
伊武崎峻,yi'wu'qi'jun
银河万丈,yin'he'wan'zhang
银座日轮,yin'zuo'ri'lun
樱井孝宏,ying'jing'xiao'hong
远月度假村,yuan'yue'du'jia'cun
远月十杰评议会,yuan'yue'shi'jie'ping'yi'hui
远月选拔赛,yuan'yue'xuan'ba'sai
远月学园,yuan'yue'xue'yuan
月天之间,yue'tian'zhi'jian
斋藤综明,zhai'teng'zong'ming
招待不周,zhao'dai'bu'zhou
贞冢奈绪,zhen'zhong'nai'xu
中百舌鸟绢,zhong'bai'she'niao'juan
中村悠一,zhong'cun'you'yi
中枢美食机关,zhong'shu'mei'shi'ji'guan
种田梨沙,zhong'tian'li'sha
庄惠园,zhuang'hui'yuan
追踪者,zhui'zong'zhe
子安武人,zi'an'wu'ren
紫罗兰大道商店街,zi'luo'lan'da'dao'shang'dian'jie
总帅,zong'shuai
诹访部顺一,zou'fang'bu'shun'yi
座敷童子,zuo'fu'tong'zi
佐藤昭二,zuo'teng'zhao'er
