爱达,ai'da
康居里,kang'ju'li
康盛花园,kang'sheng'hua'yuan
昆仑路,kun'lun'lu
来凤街,lai'feng'jie
蓝旗新村,lan'qi'xin'cun
蓝天园,lan'tian'yuan
兰园,lan'yuan
兰园街道,lan'yuan'jie'dao
琅琊路小学,lang'ya'lu'xiao'xue
老山林场,lao'shan'lin'chang
老山森林公园,lao'shan'sen'lin'gong'yuan
理工大,li'gong'da
莲花,lian'hua
莲花桥,lian'hua'qiao
联盟,lian'meng
莲子营,lian'zi'ying
廖家巷,liao'jia'xiang
林场,lin'chang
临江,lin'jiang
灵谷寺,ling'gu'si
刘公巷,liu'gong'xiang
柳塘,liu'tang
柳营,liu'ying
龙福,long'fu
龙江小区,long'jiang'xiao'qu
龙蟠里,long'pan'li
龙蟠路,long'pan'lu
龙泉巷,long'quan'xiang
龙潭,long'tan
龙王庙,long'wang'miao
龙苑新寓,long'yuan'xin'yu
陆家巷,lu'jia'xiang
禄口机场,lu'kou'ji'chang
鹭鸣苑,lu'ming'yuan
庐山,lu'shan
鲁迅园,lu'xun'yuan
路子铺,lu'zi'pu
螺丝桥,luo'si'qiao
落星,luo'xing
绿洲,lv'zhou
马鞍山,ma'an'shan
马标,ma'biao
马道街,ma'dao'jie
马渡,ma'du
马府街,ma'fu'jie
马家店,ma'jia'dian
马家街,ma'jia'jie
马群,ma'qun
马台街,ma'tai'jie
迈皋桥,mai'gao'qiao
迈皋桥街,mai'gao'qiao'jie
梅花山,mei'hua'shan
梅花山庄,mei'hua'shan'zhuang
梅建,mei'jian
梅岭,mei'ling
美龄宫,mei'ling'gong
梅清,mei'qing
梅山,mei'shan
梅欣,mei'xin
梅怡新村,mei'yi'xin'cun
梅苑,mei'yuan
梅园新村,mei'yuan'xin'cun
梦都大街,meng'dou'da'jie
棉鞋营,mian'xie'ying
妙峰庵,miao'feng'an
明故宫,ming'gu'gong
明故宫苑,ming'gu'gong'yuan
明华新村,ming'hua'xin'cun
明孝陵,ming'xiao'ling
明园,ming'yuan
莫愁湖,mo'chou'hu
莫愁路,mo'chou'lu
莫愁新寓,mo'chou'xin'yu
模范马路,mo'fan'ma'lu
模范西路,mo'fan'xi'lu
秣陵,mo'ling
秣陵路,mo'ling'lu
磨盘街,mo'pan'jie
幕府山街道,mu'fu'shan'jie'dao
幕府山庄,mu'fu'shan'zhuang
幕府西路,mu'fu'xi'lu
苜蓿园,mu'xu'yuan
南昌路,nan'chang'lu
南航,nan'hang
南湖,nan'hu
南湖公园,nan'hu'gong'yuan
南化新村,nan'hua'xin'cun
南京,nan'jing
南京财经大学,nan'jing'cai'jing'da'xue
南京财经学校,nan'jing'cai'jing'xue'xiao
南京大学,nan'jing'da'xue
南京工业大学,nan'jing'gong'ye'da'xue
南京林业大学,nan'jing'lin'ye'da'xue
南京农业大学,nan'jing'nong'ye'da'xue
南京师范大学,nan'jing'shi'fan'da'xue
南炼新村,nan'lian'xin'cun
南林,nan'lin
南农大,nan'nong'da
南水新村,nan'shui'xin'cun
南塑,nan'su
南通路,nan'tong'lu
南秀村,nan'xiu'cun
南苑,nan'yuan
南中,nan'zhong
能仁里,neng'ren'li
宁工新寓,ning'gong'xin'yu
宁海路,ning'hai'lu
宁海中学,ning'hai'zhong'xue
宁海中学分校,ning'hai'zhong'xue'fen'xiao
牛市,niu'shi
牛首山,niu'shou'shan
农花,nong'hua
农科院,nong'ke'yuan
盘城,pan'cheng
裴家桥,pei'jia'qiao
琵琶巷,pi'pa'xiang
评事街,ping'shi'jie
普德村,pu'de'cun
浦口,pu'kou
浦口码头,pu'kou'ma'tou
浦六路,pu'liu'lu
浦铁一村,pu'tie'yi'cun
栖化新村,qi'hua'xin'cun
戚家山,qi'jia'shan
七家湾,qi'jia'wan
七里,qi'li
七里村,qi'li'cun
七里街,qi'li'jie
七里桥,qi'li'qiao
麒麟门,qi'lin'men
七桥,qi'qiao
栖霞,qi'xia
栖霞街,qi'xia'jie
栖霞山,qi'xia'shan
栖霞寺,qi'xia'si
钱家渡,qian'jia'du
铅锌银矿,qian'xin'yin'kuang
乔虹苑,qiao'hong'yuan
桥林,qiao'lin
秦淮河,qin'huai'he
秦淮区,qin'huai'qu
青岛路,qing'dao'lu
清河新寓,qing'he'xin'yu
庆华,qing'hua
清江,qing'jiang
清江花苑,qing'jiang'hua'yuan
清江门,qing'jiang'men
清凉门,qing'liang'men
清凉山,qing'liang'shan
青马,qing'ma
青石,qing'shi
青石村,qing'shi'cun
青溪,qing'xi
清溪路,qing'xi'lu
求雨山,qiu'yu'shan
热河路,re'he'lu
热河南路,re'he'nan'lu
热南,re'nan
仁东桥,ren'dong'qiao
戎苑,rong'yuan
绒庄新村,rong'zhuang'xin'cun
如意里,ru'yi'li
瑞金北村,rui'jin'bei'cun
瑞金新村,rui'jin'xin'cun
赛虹桥,sai'hong'qiao
三步两桥,san'bu'liang'qiao
三官,san'guan
三河桥,san'he'qiao
三牌楼,san'pai'lou
三山,san'shan
三山矶,san'shan'ji
三山街,san'shan'jie
三山门,san'shan'men
三条巷,san'tiao'xiang
三条营,san'tiao'ying
扫帚巷,sao'zhou'xiang
沙洲,sha'zhou
扇骨里,shan'gu'li
山西路,shan'xi'lu
山西南村,shan'xi'nan'cun
上坝,shang'ba
商埠街,shang'bu'jie
上方门,shang'fang'men
上浮桥,shang'fu'qiao
上江考棚,shang'jiang'kao'peng
上前,shang'qian
上首,shang'shou
尚书巷,shang'shu'xiang
上新河,shang'xin'he
上怡二村,shang'yi'er'cun
上怡新村,shang'yi'xin'cun
上元门,shang'yuan'men
韶山路,shao'shan'lu
摄山,she'shan
神策门,shen'ce'men
申家巷,shen'jia'xiang
盛世花园,sheng'shi'hua'yuan
升州路,sheng'zhou'lu
石坝,shi'ba
石埠桥,shi'bu'qiao
石城门,shi'cheng'men
时代超市,shi'dai'chao'shi
石佛寺,shi'fo'si
石化村,shi'hua'cun
实辉巷,shi'hui'xiang
世纪花园,shi'ji'hua'yuan
世纪苑,shi'ji'yuan
石门坎,shi'men'kan
石头城,shi'tou'cheng
十月,shi'yue
狮子坝,shi'zi'ba
十字街,shi'zi'jie
狮子岭,shi'zi'ling
狮子山,shi'zi'shan
柿子树,shi'zi'shu
树德里,shu'de'li
双和,shuang'he
双龙巷,shuang'long'xiang
双桥门,shuang'qiao'men
双桥新村,shuang'qiao'xin'cun
双塘,shuang'tang
双闸,shuang'zha
水关桥,shui'guan'qiao
水木秦淮,shui'mu'qin'huai
水上新村,shui'shang'xin'cun
水西门,shui'xi'men
水西门大街,shui'xi'men'da'jie
司背后,si'bei'hou
四段圩,si'duan'xu
四方新村,si'fang'xin'cun
四福巷,si'fu'xiang
四平路,si'ping'lu
四圩,si'xu
颂德里,song'de'li
苏果,su'guo
苏宁,su'ning
苏宁银河,su'ning'yin'he
孙家,sun'jia
孙庄,sun'zhuang
所街村,suo'jie'cun
锁金村,suo'jin'cun
台城,tai'cheng
台城花园,tai'cheng'hua'yuan
太平,tai'ping
太平村,tai'ping'cun
太平门,tai'ping'men
太平苑,tai'ping'yuan
泰山新村,tai'shan'xin'cun
糖坊廊,tang'fang'lang
糖坊桥,tang'fang'qiao
汤泉,tang'quan
汤泉农场,tang'quan'nong'chang
汤山,tang'shan
唐山路,tang'shan'lu
陶谷新村,tao'gu'xin'cun
陶李王巷,tao'li'wang'xiang
桃叶渡,tao'ye'du
桃园,tao'yuan
桃园居,tao'yuan'ju
腾飞园,teng'fei'yuan
藤子,teng'zi
天保,tian'bao
天后,tian'hou
天津新村,tian'jin'xin'cun
天目路,tian'mu'lu
天山路,tian'shan'lu
铁管巷,tie'guan'xiang
铁匠营,tie'jiang'ying
铁心,tie'xin
铁心桥,tie'xin'qiao
铜坊苑,tong'fang'yuan
通济门,tong'ji'men
童卫路,tong'wei'lu
铜作坊,tong'zuo'fang
外沙,wai'sha
万寿,wan'shou
王府南园,wang'fu'nan'yuan
王府园,wang'fu'yuan
网巾市,wang'jin'shi
王子楼,wang'zi'lou
卫桥南航,wei'qiao'nan'hang
文安里,wen'an'li
文昌街,wen'chang'jie
文德里村,wen'de'li'cun
文德桥,wen'de'qiao
文体,wen'ti
翁家营,weng'jia'ying
五百村,wu'bai'cun
吴边,wu'bian
吴村,wu'cun
武定门,wu'ding'men
武定新村,wu'ding'xin'cun
五福家园,wu'fu'jia'yuan
五福街,wu'fu'jie
五间厅,wu'jian'ting
乌江,wu'jiang
五老村,wu'lao'cun
乌龙,wu'long
五旗,wu'qi
五四,wu'si
五所村,wu'suo'cun
五台花园,wu'tai'hua'yuan
五塘村,wu'tang'cun
五塘新村二段,wu'tang'xin'cun'er'duan
五塘新村一段,wu'tang'xin'cun'yi'duan
五条巷,wu'tiao'xiang
五星,wu'xing
武学园,wu'xue'yuan
乌衣巷,wu'yi'xiang
西岗,xi'gang
西葛,xi'ge
西瓜圃桥,xi'gua'pu'qiao
西关头,xi'guan'tou
西湖,xi'hu
西花,xi'hua
西华东村,xi'hua'dong'cun
西街,xi'jie
西康路,xi'kang'lu
西寇,xi'kou
西流湾,xi'liu'wan
西桥,xi'qiao
西善桥,xi'shan'qiao
下坝,xia'ba
下码头,xia'ma'tou
下庙,xia'miao
仙鹤,xian'he
仙鹤门,xian'he'men
仙林,xian'lin
仙林新村,xian'lin'xin'cun
线路新村,xian'lu'xin'cun
仙霞路,xian'xia'lu
象房新村,xiang'fang'xin'cun
香铺营,xiang'pu'ying
象山,xiang'shan
响水桥,xiang'shui'qiao
向阳村,xiang'yang'cun
小安德门,xiao'an'de'men
小行,xiao'hang
小荷花巷,xiao'he'hua'xiang
孝陵卫,xiao'ling'wei
孝陵卫东段,xiao'ling'wei'dong'duan
孝陵卫西段,xiao'ling'wei'xi'duan
小市,xiao'shi
小市村,xiao'shi'cun
小市街,xiao'shi'jie
小市新村,xiao'shi'xin'cun
小卫街,xiao'wei'jie
小西湖,xiao'xi'hu
小驯象门,xiao'xun'xiang'men
小杨村,xiao'yang'cun
小营,xiao'ying
晓庄,xiao'zhuang
新百,xin'bai
新城市广场,xin'cheng'shi'guang'chang
新合,xin'he
新河村,xin'he'cun
新河口,xin'he'kou
新河一村,xin'he'yi'cun
新建,xin'jian
新街口,xin'jie'kou
新街口步行区,xin'jie'kou'bu'xing'qu
新门口,xin'men'kou
新民村,xin'min'cun
新民坊,xin'min'fang
新民门,xin'min'men
新闸,xin'zha
新庄,xin'zhuang
兴达,xing'da
星甸,xing'dian
兴隆,xing'long
兴卫,xing'wei
兴中门,xing'zhong'men
许府巷,xu'fu'xiang
旭光里,xu'guang'li
徐庄,xu'zhuang
玄武湖,xuan'wu'hu
玄武区,xuan'wu'qu
宣闸,xuan'zha
牙檀巷,ya'tan'xiang
盐大街,yan'da'jie
晏公庙,yan'gong'miao
晏公庙村西,yan'gong'miao'cun'xi
沿河,yan'he
燕华山庄,yan'hua'shan'zhuang
燕江路,yan'jiang'lu
燕江园,yan'jiang'yuan
颜料坊,yan'liao'fang
延龄巷,yan'ling'xiang
燕雀湖,yan'que'hu
燕王河,yan'wang'he
胭脂河,yan'zhi'he
胭脂巷,yan'zhi'xiang
燕子矶,yan'zi'ji
杨公井,yang'gong'jing
阳光广场,yang'guang'guang'chang
阳光里,yang'guang'li
洋珠巷,yang'zhu'xiang
尧安新村,yao'an'xin'cun
尧辰,yao'chen
姚坊门,yao'fang'men
尧化,yao'hua
尧化门,yao'hua'men
尧化新村,yao'hua'xin'cun
尧建新村,yao'jian'xin'cun
尧胜,yao'sheng
尧石二村,yao'shi'er'cun
尧新,yao'xin
冶城,ye'cheng
冶山道院,ye'shan'dao'yuan
仪凤门,yi'feng'men
颐和路,yi'he'lu
挹江门,yi'jiang'men
怡景花园,yi'jing'hua'yuan
逸仙桥,yi'xian'qiao
一枝园,yi'zhi'yuan
银城花园,yin'cheng'hua'yuan
殷高巷,yin'gao'xiang
饮虹园,yin'hong'yuan
饮马巷,yin'ma'xiang
尹西,yin'xi
营防,ying'fang
膺福街,ying'fu'jie
樱铁村,ying'tie'cun
樱驼村,ying'tuo'cun
樱驼花园,ying'tuo'hua'yuan
营苑,ying'yuan
永安,yong'an
永定,yong'ding
永丰,yong'feng
永宁,yong'ning
油坊,you'fang
玉带园,yu'dai'yuan
御道街,yu'dao'jie
雨花,yu'hua
雨花村,yu'hua'cun
雨花经济技术开发区,yu'hua'jing'ji'ji'shu'kai'fa'qu
雨花路,yu'hua'lu
雨花门,yu'hua'men
雨花区,yu'hua'qu
雨花台,yu'hua'tai
雨花台区,yu'hua'tai'qu
余家湾,yu'jia'wan
俞家巷,yu'jia'xiang
玉兰里,yu'lan'li
余粮,yu'liang
渊声巷,yuan'sheng'xiang
元通,yuan'tong
月安,yue'an
越城,yue'cheng
月光广场,yue'guang'guang'chang
阅江楼,yue'jiang'lou
月牙湖,yue'ya'hu
月牙巷,yue'ya'xiang
月苑,yue'yuan
云南路,yun'nan'lu
云台山,yun'tai'shan
瞻园,zhan'yuan
张府园,zhang'fu'yuan
漳桥,zhang'qiao
张王庙,zhang'wang'miao
朝阳,zhao'yang
兆园,zhao'yuan
镇江路,zhen'jiang'lu
珍巷里,zhen'xiang'li
珍珠河,zhen'zhu'he
珍珠泉,zhen'zhu'quan
正达,zheng'da
郑和墓,zheng'he'mu
正洪街,zheng'hong'jie
正学路,zheng'xue'lu
正阳门,zheng'yang'men
致和街,zhi'he'jie
芝嘉花园,zhi'jia'hua'yuan
止马营,zhi'ma'ying
中保,zhong'bao
钟阜路,zhong'fu'lu
钟阜门,zhong'fu'men
中国水泥厂,zhong'guo'shui'ni'chang
中和,zhong'he
钟化村,zhong'hua'cun
中华路,zhong'hua'lu
中华门,zhong'hua'men
钟灵街,zhong'ling'jie
中牌楼,zhong'pai'lou
中桥,zhong'qiao
钟山,zhong'shan
中山北路,zhong'shan'bei'lu
中山大道,zhong'shan'da'dao
中山东路,zhong'shan'dong'lu
钟山矿,zhong'shan'kuang
中山陵,zhong'shan'ling
中山路,zhong'shan'lu
中山门,zhong'shan'men
中山植物园,zhong'shan'zhi'wu'yuan
中胜,zhong'sheng
中兴路,zhong'xing'lu
中学新村,zhong'xue'xin'cun
中央商场,zhong'yang'shang'chang
中营,zhong'ying
洲泰,zhou'tai
珠江村,zhu'jiang'cun
朱雀桥,zhu'que'qiao
转龙巷,zhuan'long'xiang
状元境,zhuang'yuan'jing
锥子山,zhui'zi'shan
紫金山,zi'jin'shan
紫霞湖,zi'xia'hu
紫鑫城,zi'xin'cheng
紫竹林,zi'zhu'lin
总统府,zong'tong'fu
