挨次,ai'ci
欠不得子,qian'bu'de'zi
三打哈,san'da'ha
三毛妮,san'mao'ni
散洋子,san'yang'zi
杀猪,sha'zhu
上草窠树,shang'cao'ke'shu
神不伦通,shen'bu'lun'tong
生得贱,sheng'de'jian
失格,shi'ge
手霸子,shou'ba'zi
水老倌,shui'lao'guan
硕的死,shuo'de'si
硕腿,shuo'tui
死嘎哒,si'ga'da
送撮哒,song'cuo'da
送黑哒,song'hei'da
送雷哒,song'lei'da
送磊哒,song'lei'da
送篓哒,song'lou'da
算哒,suan'da
堂客,tang'ke
堂客们,tang'ke'men
讨卵嫌,tao'luan'xian
提篮子,ti'lan'zi
调口味,tiao'kou'wei
调皮,tiao'pi
彤红的,tong'hong'de
桶抹滴,tong'mo'di
偷油伯,tou'you'bo
腿夫子,tui'fu'zi
推上坡,tui'shang'po
驮腿,tuo'tui
卫子,wei'zi
污七八黑,wu'qi'ba'hei
稀释胯烂,xi'shi'kua'lan
稀下的,xi'xia'de
细伢子,xi'ya'zi
呷饭,xia'fan
呷噶饭冇,xia'ga'fan'mao
下家,xia'jia
下皮,xia'pi
现屌,xian'diao
现话得,xian'hua'de
现世宝,xian'shi'bao
乡寸别,xiang'cun'bie
小栗子,xiao'li'zi
醒门子,xing'men'zi
行头,xing'tou
伢老官,ya'lao'guan
伢子,ya'zi
羊毛出在羊身上,yang'mao'chu'zai'yang'shen'shang
杨无六宗,yang'wu'liu'zong
要得,yao'de
要的咯,yao'de'ge
嘢勺,ye'shao
夜瞎子,ye'xia'zi
咦噶,yi'ga
一哈,yi'ha
一喽咯,yi'lou'ge
一浦渣,yi'pu'zha
一筒卵,yi'tong'luan
一线,yi'xian
阴坨子,yin'tuo'zi
有点宝百,you'dian'bao'bai
有狠,you'hen
熨帖,yu'tie
韵味,yun'wei
匝扫把,za'sao'ba
崽啊,zai'a
在屋里,zai'wu'li
造孽,zao'nie
真硕,zhen'shuo
猪块子,zhu'kuai'zi
猪脑壳,zhu'nao'ke
猪头疯,zhu'tou'feng
猪头木寸,zhu'tou'mu'cun
转泛,zhuan'fan
转泛子,zhuan'fan'zi
走水路,zou'shui'lu
做尽哒,zuo'jin'da
作孽,zuo'nie
