阿尔泰鼢鼠,a'er'tai'fen'shu
灰仓鼠,hui'cang'shu
灰腹鼠,hui'fu'shu
灰鼯鼠,hui'wu'shu
金背松鼠,jin'bei'song'shu
景东树鼠,jing'dong'shu'shu
巨泡五趾跳鼠,ju'pao'wu'zhi'tiao'shu
巨松鼠,ju'song'shu
蹶鼠,jue'shu
苛岚绒鼠,ke'lan'rong'shu
克钦绒鼠,ke'qin'rong'shu
克氏田鼠,ke'shi'tian'shu
蓝腹松鼠,lan'fu'song'shu
栗褐鼯鼠,li'he'wu'shu
林旅鼠,lin'lv'shu
林跳鼠,lin'tiao'shu
琉球小家鼠,liu'qiu'xiao'jia'shu
罗氏鼢鼠,luo'shi'fen'shu
马来豪猪,ma'lai'hao'zhu
毛耳飞鼠,mao'er'fei'shu
蒙古兔尾鼠,meng'gu'tu'wei'shu
蒙古羽尾跳鼠,meng'gu'yu'wei'tiao'shu
缅鼠,mian'shu
明纹花松鼠,ming'wen'hua'song'shu
莫氏田鼠,mo'shi'tian'shu
拟家鼠,ni'jia'shu
帕米尔松田鼠,pa'mi'er'song'tian'shu
攀鼠,pan'shu
珀氏长吻松鼠,po'shi'chang'wen'song'shu
普通田鼠,pu'tong'tian'shu
青海田鼠,qing'hai'tian'shu
青毛鼠,qing'mao'shu
狨鼠,rong'shu
三趾跳鼠,san'zhi'tiao'shu
三趾心颅跳鼠,san'zhi'xin'lu'tiao'shu
麝鼠,she'shu
社鼠,she'shu
社田鼠,she'tian'shu
睡鼠,shui'shu
四川毛尾睡鼠,si'chuan'mao'wei'shui'shu
四川田鼠,si'chuan'tian'shu
斯氏鼢鼠,si'shi'fen'shu
松鼠,song'shu
松田鼠,song'tian'shu
台湾田鼠,tai'wan'tian'shu
台湾鼯鼠,tai'wan'wu'shu
洮州绒鼠,tao'zhou'rong'shu
天山黄鼠,tian'shan'huang'shu
条纹松鼠,tiao'wen'song'shu
王鼠,wang'shu
屋顶鼠,wu'ding'shu
五纹松鼠,wu'wen'song'shu
五趾跳鼠,wu'zhi'tiao'shu
五趾心颅跳鼠,wu'zhi'xin'lu'tiao'shu
锡金松田鼠,xi'jin'song'tian'shu
锡金小鼠,xi'jin'xiao'shu
喜马拉雅旱獭,xi'ma'la'ya'han'ta
西南绒鼠,xi'nan'rong'shu
狭颅田鼠,xia'lu'tian'shu
小地兔,xiao'di'tu
小飞鼠,xiao'fei'shu
小林姬鼠,xiao'lin'ji'shu
小毛足鼠,xiao'mao'zu'shu
小泡灰鼠,xiao'pao'hui'shu
小泡巨鼠,xiao'pao'ju'shu
小鼯鼠,xiao'wu'shu
小五趾跳鼠,xiao'wu'zhi'tiao'shu
小竹鼠,xiao'zhu'shu
休氏壮鼠,xiu'shi'zhuang'shu
岩松鼠,yan'song'shu
鼹形田鼠,yan'xing'tian'shu
伊犁田鼠,yi'li'tian'shu
印度地鼠,yin'du'di'shu
印度豪猪,yin'du'hao'zhu
隐纹花松鼠,yin'wen'hua'song'shu
银星竹鼠,yin'xing'zhu'shu
玉龙绒鼠,yu'long'rong'shu
羽尾跳鼠,yu'wei'tiao'shu
原仓鼠,yuan'cang'shu
云南鼯鼠,yun'nan'wu'shu
昭通绒鼠,zhao'tong'rong'shu
针毛鼠,zhen'mao'shu
郑氏沙鼠,zheng'shi'sha'shu
中华鼢鼠,zhong'hua'fen'shu
中华姬鼠,zhong'hua'ji'shu
中华绒鼠,zhong'hua'rong'shu
中华竹鼠,zhong'hua'zhu'shu
帚尾豪猪,zhou'wei'hao'zhu
猪尾鼠,zhu'wei'shu
子午沙鼠,zi'wu'sha'shu
棕色田鼠,zong'se'tian'shu
棕鼯鼠,zong'wu'shu
