阿巴依戴,a'ba'yi'dai
贵蛋白石,gui'dan'bai'shi
硅化木,gui'hua'mu
龟甲,gui'jia
硅孔雀石,gui'kong'que'shi
国际钻石商贸公司,guo'ji'zuan'shi'shang'mao'gong'si
海蓝宝石,hai'lan'bao'shi
海水珠,hai'shui'zhu
汉白玉,han'bai'yu
含角闪石玉,han'jiao'shan'shi'yu
合成宝石,he'cheng'bao'shi
合成尖晶石,he'cheng'jian'jing'shi
合成碳硅石,he'cheng'tan'gui'shi
河磨玉,he'mo'yu
和田玉,he'tian'yu
黑碧玺,hei'bi'xi
黑琥珀,hei'hu'po
黑金刚石,hei'jin'gang'shi
黑玛瑙,hei'ma'nao
黑欧泊,hei'ou'bo
黑珊瑚,hei'shan'hu
黑王子红宝石,hei'wang'zi'hong'bao'shi
黑曜岩,hei'yao'yan
黑玉,hei'yu
黑珍珠,hei'zhen'zhu
红宝石,hong'bao'shi
红玛瑙,hong'ma'nao
红珊瑚,hong'shan'hu
红玉髓,hong'yu'sui
湖北绿松石,hu'bei'lv'song'shi
虎岗石,hu'gang'shi
虎睛石,hu'jing'shi
虎皮玉,hu'pi'yu
琥珀,hu'po
花青种,hua'qing'zhong
花玉,hua'yu
黄独玉,huang'du'yu
黄晶,huang'jing
黄色蓝宝石,huang'se'lan'bao'shi
黄玉,huang'yu
会理玉,hui'li'yu
火彩,huo'cai
火玛瑙,huo'ma'nao
火欧泊,huo'ou'bo
激光处理,ji'guang'chu'li
激光拉曼光谱仪,ji'guang'la'man'guang'pu'yi
尖晶石,jian'jing'shi
解理,jie'li
金伯利岩,jin'bo'li'yan
金刚光泽,jin'gang'guang'ze
金刚石,jin'gang'shi
金格浪,jin'ge'lang
金光浪,jin'guang'lang
金鸡钻,jin'ji'zuan
金精,jin'jing
金克浪,jin'ke'lang
金绿宝石,jin'lv'bao'shi
金珀,jin'po
堇青石,jin'qing'shi
金色绿柱石,jin'se'lv'zhu'shi
金山玉,jin'shan'yu
金狮峰,jin'shi'feng
金属光泽,jin'shu'guang'ze
金丝种,jin'si'zhong
金星石,jin'xing'shi
京白玉,jing'bai'yu
静电效应,jing'dian'xiao'ying
静水称重法,jing'shui'cheng'zhong'fa
晶体,jing'ti
精圆珠,jing'yuan'zhu
久达,jiu'da
酒泉岫玉,jiu'quan'xiu'yu
酒泉玉,jiu'quan'yu
菊花石,ju'hua'shi
莒南玉,ju'nan'yu
喀麦隆珊瑚,ka'mai'long'shan'hu
凯瑟琳蓝,kai'se'lin'lan
康寿之石,kang'shou'zhi'shi
柯巴树脂,ke'ba'shu'zhi
克拉重量,ke'la'zhong'liang
克什米尔蓝宝石,ke'shi'mi'er'lan'bao'shi
坑头石,keng'tou'shi
孔雀石,kong'que'shi
扣珠,kou'zhu
库里南,ku'li'nan
库利南,ku'li'nan
昆仑岫玉,kun'lun'xiu'yu
昆仑玉,kun'lun'yu
拉长石,la'chang'shi
蜡状光泽,la'zhuang'guang'ze
莱索托钻,lai'suo'tuo'zuan
蓝宝石,lan'bao'shi
兰赤,lan'chi
蓝玛瑙,lan'ma'nao
蓝色钻石,lan'se'zuan'shi
蓝珊瑚,lan'shan'hu
蓝水种翡翠,lan'shui'zhong'fei'cui
蓝田玉,lan'tian'yu
蓝纹石,lan'wen'shi
蓝纹玉,lan'wen'yu
老坑种,lao'keng'zhong
老子珠,lao'zi'zhu
立方面心,li'fang'mian'xin
立方氧化锆,li'fang'yang'hua'gao
梨形,li'xing
厘珠,li'zhu
裂理,lie'li
裂隙充填,lie'xi'chong'tian
磷光,lin'guang
灵璧玉,ling'bi'yu
陵川玉,ling'chuan'yu
菱锰矿,ling'meng'kuang
灵珀,ling'po
鹿目格,lu'mu'ge
罗瑟里夫,luo'se'li'fu
绿白独玉,lv'bai'du'yu
绿独玉,lv'du'yu
绿辉石,lv'hui'shi
绿辉石玉,lv'hui'shi'yu
绿玛瑙,lv'ma'nao
绿松石,lv'song'shi
绿玉髓,lv'yu'sui
绿柱石,lv'zhu'shi
马达加斯加海蓝宝石,ma'da'jia'si'jia'hai'lan'bao'shi
马来玉,ma'lai'yu
玛纳斯碧玉,ma'na'si'bi'yu
玛瑙,ma'nao
马牙种,ma'ya'zhong
毛头,mao'tou
猫眼,mao'yan
猫眼石,mao'yan'shi
猫眼效应,mao'yan'xiao'ying
梅花玉,mei'hua'yu
煤精,mei'jing
镁铝榴石,mei'lv'liu'shi
美神莱,mei'shen'lai
煤玉,mei'yu
梦幻之星,meng'huan'zhi'xing
锰铝榴石,meng'lv'liu'shi
蒙素,meng'su
米白玉,mi'bai'yu
蜜蜡黄玉,mi'la'huang'yu
密玉,mi'yu
缅甸红宝石,mian'dian'hong'bao'shi
缅甸抹谷红宝石,mian'dian'mo'gu'hong'bao'shi
命运之石,ming'yun'zhi'shi
抹谷,mo'gu
墨晶,mo'jing
莫桑石,mo'sang'shi
摩氏硬度,mo'shi'ying'du
麽西西,mo'xi'xi
墨玉,mo'yu
木变石,mu'bian'shi
木纹玉,mu'wen'yu
钠长石玉,na'chang'shi'yu
钠铬辉石,na'ge'hui'shi
钠铬辉石玉,na'ge'hui'shi'yu
南方岫玉,nan'fang'xiu'yu
南方玉,nan'fang'yu
南阳玉,nan'yang'yu
尼沙普尔绿松石,ni'sha'pu'er'lv'song'shi
念珠,nian'zhu
宁波石,ning'bo'shi
牛血,niu'xue
女神的泪滴,nv'shen'de'lei'di
欧泊,ou'bo
帕德马蓝宝石,pa'de'ma'lan'bao'shi
抛光,pao'guang
澎湖文石,peng'hu'wen'shi
偏光镜,pian'guang'jing
拼合宝石,pin'he'bao'shi
普列米尔矿,pu'lie'mi'er'kuang
祁连玉,qi'lian'yu
琪源冻,qi'yuan'dong
强玻璃光泽,qiang'bo'li'guang'ze
蔷薇辉石,qiang'wei'hui'shi
青白玉,qing'bai'yu
青独玉,qing'du'yu
青海玉,qing'hai'yu
青金石,qing'jin'shi
青田石,qing'tian'shi
青玉,qing'yu
磬云石,qing'yun'shi
琼格尔钻石,qiong'ge'er'zuan'shi
全深比,quan'shen'bi
染色处理,ran'se'chu'li
染色玉髓,ran'se'yu'sui
热处理,re'chu'li
热导仪,re'dao'yi
热电效应,re'dian'xiao'ying
人工改色,ren'gong'gai'se
人工合成红宝石,ren'gong'he'cheng'hong'bao'shi
人工合成蓝宝石,ren'gong'he'cheng'lan'bao'shi
日本珊瑚,ri'ben'shan'hu
日光石,ri'guang'shi
软玉,ruan'yu
软玉之王,ruan'yu'zhi'wang
塞拉里昂之星,sai'la'li'ang'zhi'xing
铯绿柱石,se'lv'zhu'shi
色散,se'san
色心致色,se'xin'zhi'se
沙赫,sha'he
砂金石,sha'jin'shi
砂金效应,sha'jin'xiao'ying
闪光玛瑙,shan'guang'ma'nao
珊瑚,shan'hu
山上无田黄只有田坑有田黄,shan'shang'wu'tian'huang'zhi'you'tian'keng'you'tian'huang
闪玉,shan'yu
上腰面,shang'yao'mian
歙石,she'shi
蛇纹石玉,she'wen'shi'yu
蛇纹石质玉,she'wen'shi'zhi'yu
歙砚,she'yan
摄政王,she'zheng'wang
生辰石,sheng'chen'shi
石榴子石,shi'liu'zi'shi
石英质玉,shi'ying'zhi'yu
市镇,shi'zhen
手镯,shou'zhuo
树脂光泽,shu'zhi'guang'ze
双影,shuang'ying
双折射率,shuang'zhe'she'lv
水白,shui'bai
水草玛瑙,shui'cao'ma'nao
水胆玛瑙,shui'dan'ma'nao
水胆水晶,shui'dan'shui'jing
水钙铝榴石质玉,shui'gai'lv'liu'shi'zhi'yu
水黄,shui'huang
水晶,shui'jing
水晶猫眼,shui'jing'mao'yan
水晶星光,shui'jing'xing'guang
水晶之王,shui'jing'zhi'wang
水沫子,shui'mo'zi
水热法,shui're'fa
水头,shui'tou
水钻,shui'zuan
丝绢光泽,si'juan'guang'ze
斯里兰卡红宝石,si'li'lan'ka'hong'bao'shi
泰国红宝石,tai'guo'hong'bao'shi
台宽比,tai'kuan'bi
台面,tai'mian
台湾翠,tai'wan'cui
苔藓玛瑙,tai'xian'ma'nao
坦桑石,tan'sang'shi
糖酸处理,tang'suan'chu'li
糖玉,tang'yu
洮河砚,tao'he'yan
洮石,tao'shi
洮砚,tao'yan
天河石,tian'he'shi
天然宝石,tian'ran'bao'shi
天然珍珠,tian'ran'zhen'zhu
天使面,tian'shi'mian
铁龙生,tie'long'sheng
铁铝榴石,tie'lv'liu'shi
铁木尔红宝石,tie'mu'er'hong'bao'shi
亭角,ting'jiao
亭面,ting'mian
亭深比,ting'shen'bi
图章石,tu'zhang'shi
托帕石,tuo'pa'shi
王子之石,wang'zi'zhi'shi
维尔纳叶法,wei'er'na'ye'fa
文石玉,wen'shi'yu
五彩冻,wu'cai'dong
乌钢石,wu'gang'shi
无核养殖珍珠,wu'he'yang'zhi'zhen'zhu
无色水晶,wu'se'shui'jing
乌鸦皮,wu'ya'pi
锡兰红宝石,xi'lan'hong'bao'shi
希望,xi'wang
希望之石,xi'wang'zhi'shi
希望之星,xi'wang'zhi'xing
希望钻石,xi'wang'zuan'shi
下腰面,xia'yao'mian
显晶石英质玉石,xian'jing'shi'ying'zhi'yu'shi
暹罗红宝石,xian'luo'hong'bao'shi
香珀,xiang'po
象牙,xiang'ya
项珠,xiang'zhu
楔形,xie'xing
新疆绿松石,xin'jiang'lv'song'shi
心形,xin'xing
信宜玉,xin'yi'yu
星光红宝石,xing'guang'hong'bao'shi
星光蓝宝石,xing'guang'lan'bao'shi
星光效应,xing'guang'xiao'ying
星刻面,xing'ke'mian
型绿柱石,xing'lv'zhu'shi
星星的碎片,xing'xing'de'sui'pian
胸针,xiong'zhen
岫玉,xiu'yu
血滴石,xue'di'shi
血珀,xue'po
血玉髓,xue'yu'sui
压电效应,ya'dian'xiao'ying
亚历山大石,ya'li'shan'da'shi
压制琥珀,ya'zhi'hu'po
烟处理,yan'chu'li
烟晶,yan'jing
焰熔法,yan'rong'fa
砚石,yan'shi
阳平石,yang'ping'shi
羊脂玉,yang'zhi'yu
养殖珍珠,yang'zhi'zhen'zhu
腰厚比,yao'hou'bi
夜光杯,ye'guang'bei
叶腊石质玉,ye'la'shi'zhi'yu
夜明珠,ye'ming'zhu
印度之星,yin'du'zhi'xing
印章石,yin'zhang'shi
萤光,ying'guang
萤石,ying'shi
鹰眼石,ying'yan'shi
硬玉,ying'yu
有核养殖珍珠,you'he'yang'zhi'zhen'zhu
油青种,you'qing'zhong
友谊之石,you'yi'zhi'shi
油脂光泽,you'zhi'guang'ze
玉雕,yu'diao
雨花石,yu'hua'shi
玉石之冠,yu'shi'zhi'guan
玉髓,yu'sui
鱼眼效应,yu'yan'xiao'ying
月光石,yue'guang'shi
月光效应,yue'guang'xiao'ying
月尾艾绿,yue'wei'ai'lv
月尾石,yue'wei'shi
晕彩,yun'cai
云石,yun'shi
折光仪,zhe'guang'yi
珍珠,zhen'zhu
珍珠光泽,zhen'zhu'guang'ze
珍珠陶土,zhen'zhu'tao'tu
质地,zhi'di
智利玉,zhi'li'yu
中国海南珊瑚,zhong'guo'hai'nan'shan'hu
中国赏石大典,zhong'guo'shang'shi'da'dian
中国玉,zhong'guo'yu
中央销售组织,zhong'yang'xiao'shou'zu'zhi
重液法,zhong'ye'fa
珠宝皇后,zhu'bao'huang'hou
助熔剂,zhu'rong'ji
注塑处理,zhu'su'chu'li
注油处理,zhu'you'chu'li
装饰品,zhuang'shi'pin
坠饰,zhui'shi
紫独玉,zi'du'yu
紫晶,zi'jing
紫外荧光灯,zi'wai'ying'guang'deng
祖母绿,zu'mu'lv
祖母绿形,zu'mu'lv'xing
钻石,zuan'shi
钻石恒久远一颗永流传,zuan'shi'heng'jiu'yuan'yi'ke'yong'liu'chuan
钻石热导仪,zuan'shi're'dao'yi
