安天玄圣大帝,an'tian'xuan'sheng'da'di
长真子,chang'zhen'zi
陈抟,chen'tuan
陈元远,chen'yuan'yuan
城隍,cheng'huang
承天效法后土皇地祗,cheng'tian'xiao'fa'hou'tu'huang'di'zhi
持国天王,chi'guo'tian'wang
赤脚大仙,chi'jiao'da'xian
赤松子,chi'song'zi
蚩尤,chi'you
崇帧,chong'zhen
楚江王,chu'jiang'wang
床公,chuang'gong
床母,chuang'mu
床神,chuang'shen
春神,chun'shen
春瘟,chun'wen
春瘟张元伯,chun'wen'zhang'yuan'bo
崔府君,cui'fu'jun
崔巨卿,cui'ju'qing
崔志旭,cui'zhi'xu
大地战神,da'di'zhan'shen
大地之母,da'di'zhi'mu
大力鬼王,da'li'gui'wang
大力神,da'li'shen
大庭氏,da'ting'shi
丹阳子,dan'yang'zi
道德天尊,dao'de'tian'zun
邓伯温,deng'bo'wen
邓辛张陶,deng'xin'zhang'tao
第二天相宫,di'er'tian'xiang'gong
地府,di'fu
地官,di'guan
帝俊,di'jun
第六天机宫,di'liu'tian'ji'gong
第三天梁宫,di'san'tian'liang'gong
地上天仙表,di'shang'tian'xian'biao
第四天同宫,di'si'tian'tong'gong
氐土貉,di'tu'hao
第五天枢宫,di'wu'tian'shu'gong
地哑,di'ya
第一天府宫,di'yi'tian'fu'gong
地藏菩萨,di'zang'pu'sa
电母,dian'mu
丁丑神,ding'chou'shen
丁亥神,ding'hai'shen
丁卯神,ding'mao'shen
丁未神,ding'wei'shen
丁已神,ding'yi'shen
丁酉神,ding'you'shen
东斗星君,dong'dou'xing'jun
东方崇恩圣帝,dong'fang'chong'en'sheng'di
东方东极,dong'fang'dong'ji
东方东极青华大帝,dong'fang'dong'ji'qing'hua'da'di
东方鬼帝,dong'fang'gui'di
东方朔,dong'fang'shuo
东方岁星,dong'fang'sui'xing
东海龙王敖广,dong'hai'long'wang'ao'guang
东华大帝君,dong'hua'da'di'jun
东极青华大帝,dong'ji'qing'hua'da'di
冬神,dong'shen
东王公,dong'wang'gong
冬瘟,dong'wen
冬瘟钟士贵,dong'wen'zhong'shi'gui
东岳大帝,dong'yue'da'di
东岳帝君,dong'yue'di'jun
东岳泰山,dong'yue'tai'shan
斗魁,dou'kui
斗木獬,dou'mu'xie
痘神,dou'shen
斗枢上相,dou'shu'shang'xiang
度厄星君,du'e'xing'jun
杜康,du'kang
都市王,du'shi'wang
杜子仁,du'zi'ren
多闻天王,duo'wen'tian'wang
娥皇,e'huang
二郎神杨戬,er'lang'shen'yang'jian
二十八星宿,er'shi'ba'xing'xiu
二十诸天,er'shi'zhu'tian
范蠡,fan'li
方角,fang'jiao
房日兔,fang'ri'tu
放勋,fang'xun
纺织神,fang'zhi'shen
房中之祖,fang'zhong'zhi'zu
费长房,fei'zhang'fang
风伯,feng'bo
酆都大帝,feng'dou'da'di
浮黎元始天尊,fu'li'yuan'shi'tian'zun
福禄寿三星,fu'lu'shou'san'xing
辅神,fu'shen
福神,fu'shen
福神天官大帝,fu'shen'tian'guan'da'di
伏羲,fu'xi
扶摇子,fu'yao'zi
敢司连宛屡天宫,gan'si'lian'wan'lv'tian'gong
高克,gao'ke
皋陶,gao'tao
葛洪,ge'hong
耿通,geng'tong
共工,gong'gong
关羽,guan'yu
关元帅,guan'yuan'shuai
广寒仙子,guang'han'xian'zi
广目天王,guang'mu'tian'wang
广宁子,guang'ning'zi
鬼谷子,gui'gu'zi
鬼金羊,gui'jin'yang
鬼门关,gui'men'guan
龟蛇二将,gui'she'er'jiang
鲧,gun
郭璞,guo'pu
海神,hai'shen
韩湘子,han'xiang'zi
汉钟离,han'zhong'li
郝大通,hao'da'tong
贺天祥,he'tian'xiang
何仙姑,he'xian'gu
黑白无常,hei'bai'wu'chang
姮娥仙子,heng'e'xian'zi
后稷,hou'ji
扈文长,hu'wen'chang
华光大帝,hua'guang'da'di
华光天王,hua'guang'tian'wang
花神,hua'shen
华胥氏,hua'xu'shi
淮河,huai'he
黄承乙,huang'cheng'yi
黄道婆,huang'dao'po
黄帝,huang'di
皇娥,huang'e
黄河,huang'he
黄角大仙,huang'jiao'da'xian
诙谐岁星,hui'xie'sui'xing
混沌,hun'dun
混沌天神,hun'dun'tian'shen
火德真君,huo'de'zhen'jun
火神,huo'shen
火星,huo'xing
计都星,ji'dou'xing
稽康,ji'kang
纪雷刚,ji'lei'gang
箕水豹,ji'shui'bao
济水河神,ji'shui'he'shen
甲辰神,jia'chen'shen
甲申神,jia'shen'shen
甲午神,jia'wu'shen
甲戌神,jia'xu'shen
甲寅神,jia'yin'shen
甲子神,jia'zi'shen
监兵神君,jian'bing'shen'jun
江飞捷,jiang'fei'jie
蒋光,jiang'guang
姜子牙,jiang'zi'ya
金蝉氏,jin'chan'shi
金德真君,jin'de'zhen'jun
金光揭谛,jin'guang'jie'di
金光圣母,jin'guang'sheng'mu
金虹氏,jin'hong'shi
金甲神,jin'jia'shen
金天愿圣大帝,jin'tian'yuan'sheng'da'di
金童,jin'tong
金星,jin'xing
金游,jin'you
金吒,jin'zha
井海王,jing'hai'wang
净明教主,jing'ming'jiao'zhu
井木犴,jing'mu'an
精卫鸟,jing'wei'niao
敬之,jing'zhi
九河神女,jiu'he'shen'nv
酒神,jiu'shen
九司,jiu'si
九司三省,jiu'si'san'sheng
九天监生明素真君,jiu'tian'jian'sheng'ming'su'zhen'jun
九天降魔祖师,jiu'tian'jiang'mo'zu'shi
九天雷祖大帝,jiu'tian'lei'zu'da'di
九天杀童大将,jiu'tian'sha'tong'da'jiang
九天卫房圣母天君,jiu'tian'wei'fang'sheng'mu'tian'jun
九天玄女,jiu'tian'xuan'nv
九天应元雷声普化天尊,jiu'tian'ying'yuan'lei'sheng'pu'hua'tian'zun
九尾白狐精,jiu'wei'bai'hu'jing
九曜星,jiu'yao'xing
据比,ju'bi
巨灵神,ju'ling'shen
句芒,ju'mang
巨门星君,ju'men'xing'jun
开天辟地,kai'tian'pi'di
开天辟地之始神,kai'tian'pi'di'zhi'shi'shen
开阳,kai'yang
亢金龙,kang'jin'long
康应,kang'ying
可韩真君,ke'han'zhen'jun
孔雷结,kong'lei'jie
寇谦之,kou'qian'zhi
夸娥氏,kua'e'shi
夸父,kua'fu
奎木狼,kui'mu'lang
蓝采和,lan'cai'he
老童,lao'tong
雷公,lei'gong
雷使者,lei'shi'zhe
雷霆都省,lei'ting'dou'sheng
雷霆都司元命真君,lei'ting'du'si'yuan'ming'zhen'jun
雷霆泰省,lei'ting'tai'sheng
雷霆玄省,lei'ting'xuan'sheng
嫘祖,lei'zu
黎,li
李丙,li'bing
李靖,li'jing
力牧,li'mu
李青天,li'qing'tian
黎山老母,li'shan'lao'mu
梨园神,li'yuan'shen
离珠,li'zhu
廉贞星君,lian'zhen'xing'jun
林大华,lin'da'hua
灵宝天尊,ling'bao'tian'zun
陵光神君,ling'guang'shen'jun
刘安,liu'an
六波天主帝君,liu'bo'tian'zhu'di'jun
刘处玄,liu'chu'xuan
六丁,liu'ding
刘洪,liu'hong
刘吉,liu'ji
六甲,liu'jia
刘俊,liu'jun
刘猛,liu'meng
六天洞渊大帝,liu'tian'dong'yuan'da'di
柳土獐,liu'tu'zhang
六御,liu'yu
刘元达,liu'yuan'da
龙王,long'wang
娄金狗,lou'jin'gou
鲁班,lu'ban
禄存星君,lu'cun'xing'jun
陆吾,lu'wu
陆羽,lu'yu
罗酆六天,luo'feng'liu'tian
罗酆山,luo'feng'shan
罗浮山,luo'fu'shan
罗睺,luo'hou
吕洞宾,lv'dong'bin
吕魁,lv'kui
麻姑,ma'gu
马面,ma'mian
马神,ma'shen
马胜,ma'sheng
马天君,ma'tian'jun
马头娘,ma'tou'niang
马钰,ma'yu
马元帅,ma'yuan'shuai
马赵温关,ma'zhao'wen'guan
马赵温关四大元帅,ma'zhao'wen'guan'si'da'yuan'shuai
昴日鸡,mao'ri'ji
茅山仙祖,mao'shan'xian'zu
梅天顺,mei'tian'shun
门神,men'shen
孟非卿,meng'fei'qing
孟婆神,meng'po'shen
孟章神君,meng'zhang'shen'jun
明晨耐犯武城天宫,ming'chen'nai'fan'wu'cheng'tian'gong
明文章,ming'wen'zhang
摩诃揭谛,mo'he'jie'di
摩利支天,mo'li'zhi'tian
木德真君,mu'de'zhen'jun
木公,mu'gong
木星,mu'xing
木吒,mu'zha
南斗六星君,nan'dou'liu'xing'jun
南斗星君,nan'dou'xing'jun
南方鬼帝,nan'fang'gui'di
南方南极,nan'fang'nan'ji
南方南极长生大帝,nan'fang'nan'ji'chang'sheng'da'di
南方南极观音,nan'fang'nan'ji'guan'yin
南方荧惑,nan'fang'ying'huo
南海龙王敖钦,nan'hai'long'wang'ao'qin
南华真人,nan'hua'zhen'ren
南极长生大帝,nan'ji'chang'sheng'da'di
南极仙翁,nan'ji'xian'weng
南极战神,nan'ji'zhan'shen
南岳衡山,nan'yue'heng'shan
哪吒,ne'zha
牛金牛,niu'jin'niu
牛头,niu'tou
牛头马面,niu'tou'ma'mian
农神,nong'shen
虐鬼,nue'gui
女丑,nv'chou
女皇,nv'huang
女娇,nv'jiao
女寿星,nv'shou'xing
女土蝠,nv'tu'fu
女娃,nv'wa
女娲,nv'wa
女喜,nv'xi
女英,nv'ying
盘古,pan'gu
庞刘荀毕,pang'liu'xun'bi
庞煜,pang'yu
裴航,pei'hang
蓬莱三仙,peng'lai'san'xian
蓬莱水监,peng'lai'shui'jian
彭祖,peng'zu
平等王,ping'deng'wang
破军星君,po'jun'xing'jun
千里眼,qian'li'yan
秦广王,qin'guang'wang
秦叔宝,qin'shu'bao
青帝,qing'di
青华大帝,qing'hua'da'di
清净散人,qing'jing'san'ren
青龙,qing'long
青龙孟章神君,qing'long'meng'zhang'shen'jun
青蛙神,qing'wa'shen
情仙,qing'xian
穷神,qiong'shen
丘处机,qiu'chu'ji
邱弘济,qiu'hong'ji
秋神,qiu'shen
秋瘟,qiu'wen
求仙使者,qiu'xian'shi'zhe
驱蝗神,qu'huang'shen
全真子,quan'zhen'zi
染织二圣,ran'zhi'er'sheng
人中战神,ren'zhong'zhan'shen
日游神,ri'you'shen
蓐收,ru'shou
萨真人,sa'zhen'ren
三岛,san'dao
三岛十洲仙翁东华大帝君,san'dao'shi'zhou'xian'weng'dong'hua'da'di'jun
三官大帝,san'guan'da'di
三皇,san'huang
三茅真君,san'mao'zhen'jun
三清,san'qing
三省,san'sheng
三十六天将,san'shi'liu'tian'jiang
三坛海会大神,san'tan'hai'hui'da'shen
山海经,shan'hai'jing
上古,shang'gu
上古四方天帝与辅神,shang'gu'si'fang'tian'di'yu'fu'shen
上清司命玉府右卿,shang'qing'si'ming'yu'fu'you'qing
上生星君,shang'sheng'xing'jun
少昊,shao'hao
蛇王,she'wang
神皇,shen'huang
神农氏,shen'nong'shi
神荼,shen'tu
神霄八帝,shen'xiao'ba'di
神霄九宸大帝,shen'xiao'jiu'chen'da'di
神霄派诸神,shen'xiao'pai'zhu'shen
十殿,shi'dian
十殿阎王,shi'dian'yan'wang
十二金钗,shi'er'jin'chai
十二元辰,shi'er'yuan'chen
石敢当,shi'gan'dang
室火猪,shi'huo'zhu
时迁,shi'qian
施全,shi'quan
始神,shi'shen
石叔通,shi'shu'tong
史文业,shi'wen'ye
施相公,shi'xiang'gong
蚀星,shi'xing
石远信,shi'yuan'xin
十洲仙翁,shi'zhou'xian'weng
守宫神,shou'gong'shen
首席判官,shou'xi'pan'guan
寿星,shou'xing
寿星南极仙翁,shou'xing'nan'ji'xian'weng
竖亥,shu'hai
水德真君,shui'de'zhen'jun
水府仙伯,shui'fu'xian'bo
水官,shui'guan
水神,shui'shen
水星,shui'xing
舜,shun
顺风耳,shun'feng'er
四大天师,si'da'tian'shi
四大天王,si'da'tian'wang
四大元帅,si'da'yuan'shuai
四渎龙神,si'du'long'shen
四方神,si'fang'shen
四方天帝,si'fang'tian'di
司禄星君,si'lu'xing'jun
司马卿,si'ma'qing
司命星君,si'ming'xing'jun
司天昭圣大帝,si'tian'zhao'sheng'da'di
四值功曹,si'zhi'gong'cao
宋帝王,song'di'wang
送穷鬼,song'qiong'gui
孙不二,sun'bu'er
太白金星,tai'bai'jin'xing
太极真人,tai'ji'zhen'ren
太平教主,tai'ping'jiao'zhu
泰煞谅事宗天宫,tai'sha'liang'shi'zong'tian'gong
泰山王,tai'shan'wang
太上道君,tai'shang'dao'jun
太上道祖,tai'shang'dao'zu
太上老君,tai'shang'lao'jun
太玄火精赤灵尊神,tai'xuan'huo'jing'chi'ling'zun'shen
太玄水精黑灵尊神,tai'xuan'shui'jing'hei'ling'zun'shen
太阳神,tai'yang'shen
太阳星君,tai'yang'xing'jun
太乙救苦天尊,tai'yi'jiu'ku'tian'zun
太乙雷声应化天尊,tai'yi'lei'sheng'ying'hua'tian'zun
太乙天帝,tai'yi'tian'di
太阴星君,tai'yin'xing'jun
太子长琴,tai'zi'chang'qin
谭处端,tan'chu'duan
贪狼星君,tan'lang'xing'jun
唐明皇,tang'ming'huang
陶弘景,tao'hong'jing
梼杌,tao'wu
陶元信,tao'yuan'xin
桃止山,tao'zhi'shan
天地人三皇,tian'di'ren'san'huang
天妃娘娘,tian'fei'niang'niang
天罡大圣,tian'gang'da'sheng
天官,tian'guan
天官大帝,tian'guan'da'di
天皇大帝,tian'huang'da'di
天玑,tian'ji
天空战神,tian'kong'zhan'shen
天雷上相,tian'lei'shang'xiang
天聋,tian'long
天蓬元帅,tian'peng'yuan'shuai
天齐仁圣大帝,tian'qi'ren'sheng'da'di
天权,tian'quan
天杀大神,tian'sha'da'shen
天师,tian'shi
天枢,tian'shu
天吴,tian'wu
天璇,tian'xuan
天佑元帅,tian'you'yuan'shuai
天猷元帅,tian'you'yuan'shuai
恬昭罪气天宫,tian'zhao'zui'qi'tian'gong
铁拐李,tie'guai'li
土德真君,tu'de'zhen'jun
土地神,tu'di'shen
土工祖师神,tu'gong'zu'shi'shen
涂山氏,tu'shan'shi
土星,tu'xing
托塔天王,tuo'ta'tian'wang
万古丹王,wan'gu'dan'wang
王重阳,wang'chong'yang
王处一,wang'chu'yi
魍魉,wang'liang
王母娘娘,wang'mu'niang'niang
王善,wang'shan
王善王灵官,wang'shan'wang'ling'guan
王文卿,wang'wen'qing
王真人,wang'zhen'ren
魏伯阳,wei'bo'yang
尾火虎,wei'huo'hu
胃土彘,wei'tu'zhi
卫玉卿,wei'yu'qing
危月燕,wei'yue'yan
文财神,wen'cai'shen
文昌帝君,wen'chang'di'jun
温琼,wen'qiong
文曲星君,wen'qu'xing'jun
瘟神,wen'shen
文始真人,wen'shi'zhen'ren
温元帅,wen'yuan'shuai
武财神,wu'cai'shen
五大神龙,wu'da'shen'long
武德星君,wu'de'xing'jun
五斗星君,wu'dou'xing'jun
五方鬼帝,wu'fang'gui'di
五方雷霆大帝,wu'fang'lei'ting'da'di
五方雷王,wu'fang'lei'wang
五方力士,wu'fang'li'shi
五方五老,wu'fang'wu'lao
五方谒谛,wu'fang'ye'di
吴刚,wu'gang
仵官王,wu'guan'wang
五鬼,wu'gui
五极战神,wu'ji'zhan'shen
五雷院使君,wu'lei'yuan'shi'jun
五龙氏,wu'long'shi
吴明远,wu'ming'yuan
五炁真君,wu'qi'zhen'jun
武曲星君,wu'qu'xing'jun
五岳,wu'yue
五岳帝君,wu'yue'di'jun
西斗星君,xi'dou'xing'jun
西方鬼帝,xi'fang'gui'di
西方太白,xi'fang'tai'bai
西方太极,xi'fang'tai'ji
西方太极天皇大帝,xi'fang'tai'ji'tian'huang'da'di
西海龙王敖闰,xi'hai'long'wang'ao'run
羲和,xi'he
西陵氏,xi'ling'shi
喜神,xi'shen
西王母,xi'wang'mu
西岳华山,xi'yue'hua'shan
夏瘟,xia'wen
夏瘟刘元达,xia'wen'liu'yuan'da
显化真人,xian'hua'zhen'ren
仙女,xian'nv
项橐,xiang'tuo
小儿神,xiao'er'shen
小张太子,xiao'zhang'tai'zi
辛汉臣,xin'han'chen
心月狐,xin'yue'hu
星日马,xing'ri'ma
行者惠岸,xing'zhe'hui'an
熊光显,xiong'guang'xian
徐福,xu'fu
许旌阳,xu'jing'yang
虚日鼠,xu'ri'shu
许逊,xu'xun
璇,xuan
玄灵斗姆元君,xuan'ling'dou'mu'yuan'jun
玄冥,xuan'ming
玄武,xuan'wu
玄武元帅,xuan'wu'yuan'shuai
玄武执明神君,xuan'wu'zhi'ming'shen'jun
荀雷吉,xun'lei'ji
炎帝,yan'di
阎罗王,yan'luo'wang
延寿星君,yan'shou'xing'jun
阎王,yan'wang
阳城,yang'cheng
杨成,yang'cheng
阳神玉男,yang'shen'yu'nan
杨云,yang'yun
尧,yao
摇光,yao'guang
瑶姬,yao'ji
窑神,yao'shen
窑神太上老君,yao'shen'tai'shang'lao'jun
夜游神,ye'you'shen
羿,yi
翼火蛇,yi'huo'she
翊圣元帅,yi'sheng'yuan'shuai
翊圣真君,yi'sheng'zhen'jun
役使鬼神,yi'shi'gui'shen
益算星君,yi'suan'xing'jun
阴曹,yin'cao
阴曹地府,yin'cao'di'fu
殷郊,yin'jiao
阴神玉女,yin'shen'yu'nv
银头揭谛,yin'tou'jie'di
尹喜,yin'xi
应龙,ying'long
英招,ying'zhao
佑圣真君,you'sheng'zhen'jun
游奕灵官,you'yi'ling'guan
禹,yu
玉蟾,yu'chan
尉迟敬德,yu'chi'jing'de
玉府判府真君,yu'fu'pan'fu'zhen'jun
玉府左右待中,yu'fu'zuo'you'dai'zhong
玉府左右仆谢,yu'fu'zuo'you'pu'xie
玉衡,yu'heng
于吉,yu'ji
玉女,yu'nv
禺强,yu'qiang
玉清真王,yu'qing'zhen'wang
狱神,yu'shen
雨师,yu'shi
玉枢使相,yu'shu'shi'xiang
玉兔,yu'tu
玉阳子,yu'yang'zi
元始天王,yuan'shi'tian'wang
元始天尊,yuan'shi'tian'zun
月孛星,yue'bei'xing
月老,yue'lao
臧文公,zang'wen'gong
贼神,zei'shen
贼神时迁,zei'shen'shi'qian
增长天王,zeng'zhang'tian'wang
展子江,zhan'zi'jiang
张伯端,zhang'bo'duan
张道陵,zhang'dao'ling
张果老,zhang'guo'lao
张衡,zhang'heng
张三丰,zhang'san'feng
张帅,zhang'shuai
张文通,zhang'wen'tong
张元伯,zhang'yuan'bo
张月鹿,zhang'yue'lu
赵公明,zhao'gong'ming
赵文和,zhao'wen'he
赵玄坛,zhao'xuan'tan
赵元帅,zhao'yuan'shuai
赵子玉,zhao'zi'yu
轸水蚓,zhen'shui'yin
真武大帝,zhen'wu'da'di
镇元子,zhen'yuan'zi
执明神君,zhi'ming'shen'jun
值年神,zhi'nian'shen
值年神李丙,zhi'nian'shen'li'bing
值日神,zhi'ri'shen
值日神周登,zhi'ri'shen'zhou'deng
值时神,zhi'shi'shen
值时神刘洪,zhi'shi'shen'liu'hong
值月神,zhi'yue'shen
值月神黄承乙,zhi'yue'shen'huang'cheng'yi
重,zhong
中斗星君,zhong'dou'xing'jun
重华,zhong'hua
钟魁,zhong'kui
钟士贵,zhong'shi'gui
中天崇圣大帝,zhong'tian'chong'sheng'da'di
中天紫微大帝,zhong'tian'zi'wei'da'di
中瘟,zhong'wen
中央鬼帝,zhong'yang'gui'di
中央黄极,zhong'yang'huang'ji
中央黄极黄角大仙,zhong'yang'huang'ji'huang'jiao'da'xian
中央天宫仙位表,zhong'yang'tian'gong'xian'wei'biao
中央玉皇大帝妻,zhong'yang'yu'huang'da'di'qi
中央镇星,zhong'yang'zhen'xing
钟英,zhong'ying
中岳嵩山,zhong'yue'song'shan
周登,zhou'deng
纣绝阴天宫,zhou'jue'yin'tian'gong
周乞,zhou'qi
周青远,zhou'qing'yuan
猪八戒,zhu'ba'jie
竹林狂士,zhu'lin'kuang'shi
朱雀,zhu'que
朱雀陵光神君,zhu'que'ling'guang'shen'jun
祝融,zhu'rong
朱天大帝,zhu'tian'da'di
朱彦,zhu'yan
烛阴,zhu'yin
转轮王,zhuan'lun'wang
颛顼,zhuan'xu
庄子,zhuang'zi
子丑寅卯,zi'chou'yin'mao
紫姑,zi'gu
紫炁星,zi'qi'xing
紫微北极大帝,zi'wei'bei'ji'da'di
紫阳真人,zi'yang'zhen'ren
总管,zong'guan
总管中瘟史文业,zong'guan'zhong'wen'shi'wen'ye
纵横始祖,zong'heng'shi'zu
宗灵非天宫,zong'ling'fei'tian'gong
觜火猴,zui'huo'hou
左辅右弼,zuo'fu'you'bi
