白虎通义,bai'hu'tong'yi
太平清领书,tai'ping'qing'ling'shu
太清导引养生经,tai'qing'dao'yin'yang'sheng'jing
太清神鉴,tai'qing'shen'jian
太清石壁记,tai'qing'shi'bi'ji
太清调气经,tai'qing'tiao'qi'jing
太清真人络命诀,tai'qing'zhen'ren'luo'ming'jue
太清中黄真经,tai'qing'zhong'huang'zhen'jing
太上洞房内经注,tai'shang'dong'fang'nei'jing'zhu
太上洞渊神咒经,tai'shang'dong'yuan'shen'zhou'jing
太上黄庭外景玉经,tai'shang'huang'ting'wai'jing'yu'jing
太上九要心印妙经,tai'shang'jiu'yao'xin'yin'miao'jing
太上老君养生诀,tai'shang'lao'jun'yang'sheng'jue
太上秘法镇宅灵符,tai'shang'mi'fa'zhen'zhai'ling'fu
太上三洞神咒,tai'shang'san'dong'shen'zhou
太上太清天童护命妙经注,tai'shang'tai'qing'tian'tong'hu'ming'miao'jing'zhu
太上养生胎息气经,tai'shang'yang'sheng'tai'xi'qi'jing
太素脉法,tai'su'mai'fa
太玄,tai'xuan
太乙金镜式经,tai'yi'jin'jing'shi'jing
太易象数钩深图,tai'yi'xiang'shu'gou'shen'tu
天宫道藏,tian'gong'dao'zang
田家五行,tian'jia'wu'xing
天老神光经,tian'lao'shen'guang'jing
天仙金丹心法,tian'xian'jin'dan'xin'fa
天仙直理真论,tian'xian'zhi'li'zhen'lun
天隐子养生书,tian'yin'zi'yang'sheng'shu
铜牌记,tong'pai'ji
图纬,tu'wei
推背图,tui'bei'tu
推九宫行年法,tui'jiu'gong'xing'nian'fa
推十二时人命相属法,tui'shi'er'shi'ren'ming'xiang'shu'fa
万历续道藏,wan'li'xu'dao'cang
万寿道藏,wan'shou'dao'zang
五星占,wu'xing'zhan
悟真篇,wu'zhen'pian
西山群仙会真记,xi'shan'qun'xian'hui'zhen'ji
仙经,xian'jing
先天金丹大道玄奥口诀,xian'tian'jin'dan'da'dao'xuan'ao'kou'jue
相理衡真,xiang'li'heng'zhen
相书,xiang'shu
相雨书,xiang'yu'shu
相掌金龟卦,xiang'zhang'jin'gui'gua
相冢书,xiang'zhong'shu
协纪辨方书,xie'ji'bian'fang'shu
心传述证录,xin'chuan'shu'zheng'lu
新订指明心法,xin'ding'zhi'ming'xin'fa
心相篇,xin'xiang'pian
星历考原,xing'li'kao'yuan
性命圭旨,xing'ming'gui'zhi
星命溯源,xing'ming'su'yuan
星平会海,xing'ping'hui'hai
星学大成,xing'xue'da'cheng
修真精义杂论,xiu'zhen'jing'yi'za'lun
修真十书,xiu'zhen'shi'shu
修真太极混元图,xiu'zhen'tai'ji'hun'yuan'tu
修真太极混元玄图,xiu'zhen'tai'ji'hun'yuan'xuan'tu
徐氏珞琭子赋注,xu'shi'luo'lu'zi'fu'zhu
续仙传,xu'xian'chuan
玄女经,xuan'nv'jing
玄品录,xuan'pin'lu
鸦经,ya'jing
延陵先生集新旧服气经,yan'ling'xian'sheng'ji'xin'jiu'fu'qi'jing
演禽通纂,yan'qin'tong'zuan
养生方导引法,yang'sheng'fang'dao'yin'fa
养生论,yang'sheng'lun
养生要集,yang'sheng'yao'ji
养生月览,yang'sheng'yue'lan
养性延命录,yang'xing'yan'ming'lu
易传,yi'chuan
易汉学,yi'han'xue
易筋经,yi'jin'jing
易经,yi'jing
易林,yi'lin
疑龙经,yi'long'jing
易数钩隐图,yi'shu'gou'yin'tu
易图通变,yi'tu'tong'bian
医心方,yi'xin'fang
易学象数论,yi'xue'xiang'shu'lun
阴道,yin'dao
引书,yin'shu
阴阳书,yin'yang'shu
阴真君还丹歌注,yin'zhen'jun'hai'dan'ge'zhu
墉城集仙录,yong'cheng'ji'xian'lu
酉阳杂俎,you'yang'za'zu
玉房秘诀,yu'fang'mi'jue
玉管照神局,yu'guan'zhao'shen'ju
御女损益篇,yu'nv'sun'yi'pian
玉女隐微,yu'nv'yin'wei
玉清金笥青华秘文金宝内炼丹诀,yu'qing'jin'si'qing'hua'mi'wen'jin'bao'nei'lian'dan'jue
玉照定真经,yu'zhao'ding'zhen'jing
渊海子平,yuan'hai'zi'ping
月波洞中记,yue'bo'dong'zhong'ji
云笈七签,yun'ji'qi'qian
运命论,yun'ming'lun
葬法倒杖,zang'fa'dao'zhang
葬经,zang'jing
葬书,zang'shu
葬书注,zang'shu'zhu
宅经,zhai'jing
占卜书,zhan'bu'shu
占梦经,zhan'meng'jing
占梦书,zhan'meng'shu
占命书,zhan'ming'shu
真诰,zhen'gao
真龙虎九仙经,zhen'long'hu'jiu'xian'jing
真仙直指语录,zhen'xian'zhi'zhi'yu'lu
真一金丹诀,zhen'yi'jin'dan'jue
真元妙道要略,zhen'yuan'miao'dao'yao'lue
枕中方,zhen'zhong'fang
枕中鸿宝苑秘书,zhen'zhong'hong'bao'yuan'mi'shu
枕中记,zhen'zhong'ji
枕中书,zhen'zhong'shu
正一法文修真旨要,zheng'yi'fa'wen'xiu'zhen'zhi'yao
钟吕传道集,zhong'lv'chuan'dao'ji
中山玉柜服气经,zhong'shan'yu'gui'fu'qi'jing
众术类,zhong'shu'lei
周公卜法,zhou'gong'bo'fa
周公解梦书,zhou'gong'jie'meng'shu
肘后神经大全,zhou'hou'shen'jing'da'quan
周易参同契,zhou'yi'can'tong'qi
诸杂略得要抄子,zhu'za'lue'de'yao'chao'zi
诸真内丹集要,zhu'zhen'nei'dan'ji'yao
诸真圣胎神用诀,zhu'zhen'sheng'tai'shen'yong'jue
诸真玄奥集成,zhu'zhen'xuan'ao'ji'cheng
紫团丹经,zi'tuan'dan'jing
紫微斗数,zi'wei'dou'shu
遵生八笺,zun'sheng'ba'jian
坐忘论,zuo'wang'lun
