阿里不哥,a'li'bu'ge
苻洪,fu'hong
苻健,fu'jian
苻坚,fu'jian
福临,fu'lin
苻丕,fu'pi
苻生,fu'sheng
鲋祀,fu'si
福王,fu'wang
甘露,gan'lu
感天后,gan'tian'hou
高从诲,gao'cong'hui
高贵乡公,gao'gui'xiang'gong
高恒,gao'heng
高后,gao'hou
高继冲,gao'ji'chong
高季兴,gao'ji'xing
高纬,gao'wei
高辛,gao'xin
高演,gao'yan
高延宗,gao'yan'zong
高洋,gao'yang
高云,gao'yun
高湛,gao'zhan
高祖,gao'zu
更始,geng'shi
更始帝,geng'shi'di
更元,geng'yuan
庚子,geng'zi
拱化,gong'hua
公孙轩辕,gong'sun'xuan'yuan
恭懿王,gong'yi'wang
勾践,gou'jian
购由,gou'you
姑容,gu'rong
光宝,guang'bao
光初,guang'chu
光大,guang'da
光定,guang'ding
光和,guang'he
光始,guang'shi
光寿,guang'shou
广顺,guang'shun
光天,guang'tian
光武帝,guang'wu'di
光熹,guang'xi
光兴,guang'xing
光绪,guang'xu
广运,guang'yun
妫鲍,gui'bao
妫杵臼,gui'chu'jiu
妫皋羊,gui'gao'yang
妫款,gui'kuan
妫林,gui'lin
妫灵,gui'ling
妫柳,gui'liu
妫满,gui'man
妫宁,gui'ning
妫平国,gui'ping'guo
妫弱,gui'ruo
妫说,gui'shuo
妫朔,gui'shuo
妫突,gui'tu
妫佗,gui'tuo
桂王,gui'wang
妫午,gui'wu
妫吴,gui'wu
妫犀侯,gui'xi'hou
妫孝,gui'xiao
妫燮,gui'xie
妫圉,gui'yu
妫圉戎,gui'yu'rong
妫越,gui'yue
郭威,guo'wei
海陵王,hai'ling'wang
海山,hai'shan
海阳王,hai'yang'wang
汉哀帝,han'ai'di
韩哀侯,han'ai'hou
汉安,han'an
汉安帝,han'an'di
韩安王,han'an'wang
汉昌,han'chang
汉成帝,han'cheng'di
汉冲帝,han'chong'di
汉高祖,han'gao'zu
汉和帝,han'he'di
汉桓帝,han'huan'di
韩桓惠王,han'huan'hui'wang
汉惠帝,han'hui'di
汉景帝,han'jing'di
韩景侯,han'jing'hou
韩烈侯,han'lie'hou
韩林儿,han'lin'er
汉灵帝,han'ling'di
汉明帝,han'ming'di
汉平帝,han'ping'di
韩山童,han'shan'tong
汉殇帝,han'shang'di
汉少帝,han'shao'di
汉顺帝,han'shun'di
汉文帝,han'wen'di
韩文侯,han'wen'hou
汉武帝,han'wu'di
韩僖王,han'xi'wang
汉献帝,han'xian'di
韩襄王,han'xiang'wang
汉兴,han'xing
汉宣帝,han'xuan'di
韩宣惠王,han'xuan'hui'wang
韩懿侯,han'yi'hou
汉元帝,han'yuan'di
汉章帝,han'zhang'di
汉昭帝,han'zhao'di
韩昭侯,han'zhao'hou
汉质帝,han'zhi'di
河旦甲,he'dan'jia
和帝,he'di
赫连勃勃,he'lian'bo'bo
赫连昌,he'lian'chang
赫连定,he'lian'ding
阖闾,he'lv
和平,he'ping
和世梀,he'shi'su
弘昌,hong'chang
弘光,hong'guang
弘历,hong'li
洪天贵福,hong'tian'gui'fu
洪武,hong'wu
洪熙,hong'xi
洪宪,hong'xian
洪秀全,hong'xiu'quan
弘治,hong'zhi
后废帝,hou'fei'di
后汉,hou'han
后金,hou'jin
后晋,hou'jin
后凉,hou'liang
后梁,hou'liang
后秦,hou'qin
后蜀,hou'shu
后唐,hou'tang
后燕,hou'yan
后赵,hou'zhao
后周,hou'zhou
后主,hou'zhu
忽必列,hu'bi'lie
胡亥,hu'hai
桓子,huan'zi
桓宗,huan'zong
黄初,huang'chu
皇初,huang'chu
黄帝,huang'di
皇建,huang'jian
皇庆,huang'qing
皇始,huang'shi
皇泰,huang'tai
皇太极,huang'tai'ji
皇统,huang'tong
黄武,huang'wu
会昌,hui'chang
惠帝,hui'di
惠懿帝,hui'yi'di
惠宗,hui'zong
姬敖,ji'ao
姬班,ji'ban
济北王,ji'bei'wang
姬濞,ji'bi
姬辟方,ji'bi'fang
姬扁,ji'bian
姬彪,ji'biao
姬伯,ji'bo
姬伯禽,ji'bo'qin
姬虿,ji'chai
姬昌,ji'chang
姬赤,ji'chi
姬丑,ji'chou
姬仇,ji'chou
姬稠,ji'chou
姬骀,ji'dai
姬旦,ji'dan
姬定,ji'ding
姬度,ji'du
姬恶,ji'e
姬发,ji'fa
姬费,ji'fei
姬费王,ji'fei'wang
姬奋,ji'fen
姬封,ji'feng
姬弗,ji'fu
姬福,ji'fu
姬负刍,ji'fu'chu
姬弗湟,ji'fu'huang
姬服人,ji'fu'ren
姬匄,ji'gai
姬共伯,ji'gong'bo
姬宫湦,ji'gong'sheng
姬贾,ji'gu
姬光,ji'guang
姬贵,ji'gui
姬诡诸,ji'gui'zhu
姬黑肱,ji'hei'gong
姬黑臀,ji'hei'tun
姬侯,ji'hou
姬胡,ji'hu
姬胡齐,ji'hu'qi
姬欢,ji'huan
姬毁,ji'hui
姬籍,ji'ji
姬嘉,ji'jia
姬囏,ji'jian
姬坚,ji'jian
姬将,ji'jiang
姬角,ji'jiao
姬骄,ji'jiao
姬踕,ji'jie
姬介,ji'jie
姬晋,ji'jin
姬静,ji'jing
姬纠,ji'jiu
姬具,ji'ju
姬据,ji'ju
姬俱酒,ji'ju'jiu
姬掘突,ji'jue'tu
姬开,ji'kai
姬康,ji'kang
姬哙,ji'kuai
姬蒯聩,ji'kuai'kui
姬兰,ji'lan
姬阆,ji'lang
姬林,ji'lin
姬露,ji'lu
姬婨,ji'lun
姬满,ji'man
姬寐生,ji'mei'sheng
姬猛,ji'meng
姬缗,ji'min
姬宁,ji'ning
姬宁族,ji'ning'zu
姬脾,ji'pi
姬平,ji'ping
姬起,ji'qi
姬启,ji'qi
姬黔,ji'qian
姬黔牟,ji'qian'mou
姬强,ji'qiang
姬酋,ji'qiu
姬秋,ji'qiu
姬去疾,ji'qu'ji
姬仁,ji'ren
姬壬臣,ji'ren'chen
姬殇叔,ji'shang'shu
姬申,ji'shen
姬胜,ji'sheng
姬奭,ji'shi
姬寿,ji'shou
姬寿曼,ji'shou'man
姬叔,ji'shu
姬朔,ji'shuo
姬兕,ji'si
姬嗣君,ji'si'jun
姬司徒,ji'si'tu
姬诵,ji'song
姬宋,ji'song
姬苏,ji'su
姬速,ji'su
姬通,ji'tong
姬同,ji'tong
姬突,ji'tu
姬颓,ji'tui
姬屯,ji'tun
姬佗,ji'tuo
姬妥,ji'tuo
姬完,ji'wan
姬嵬,ji'wei
姬午,ji'wu
姬武,ji'wu
姬郗,ji'xi
姬喜,ji'xi
姬息,ji'xi
姬戏,ji'xi
姬熙,ji'xi
姬夕姑,ji'xi'gu
姬瑕,ji'xia
姬显,ji'xian
姬襄,ji'xiang
姬小子,ji'xiao'zi
姬燮,ji'xie
姬泄心,ji'xie'xin
姬邤,ji'xin
姬兴,ji'xing
姬须,ji'xu
姬训,ji'xun
姬衍,ji'yan
姬偃,ji'yan
姬延,ji'yan
姬扬,ji'yang
姬野,ji'ye
姬乙,ji'yi
姬夷,ji'yi
姬宜,ji'yi
姬已,ji'yi
姬抑,ji'yi
姬易,ji'yi
姬夷皋,ji'yi'gao
姬夷宫,ji'yi'gong
姬医扈,ji'yi'hu
姬宜臼,ji'yi'jiu
姬夷吾,ji'yi'wu
姬友,ji'you
姬虞,ji'yu
姬瑜,ji'yu
姬元,ji'yuan
姬云,ji'yun
姬允,ji'yun
姬恽,ji'yun
姬宰,ji'zai
姬臧,ji'zang
姬凿,ji'zao
姬祭仲,ji'zhai'zhong
姬钊,ji'zhao
姬辄,ji'zhe
姬振铎,ji'zhen'duo
姬郑,ji'zheng
姬止,ji'zhi
姬重耳,ji'zhong'er
姬终生,ji'zhong'sheng
姬周,ji'zhou
姬擢,ji'zhuo
姬子宜,ji'zi'yi
姬子婴,ji'zi'ying
嘉靖,jia'jing
嘉庆,jia'qing
嘉佐,jia'zuo
建安,jian'an
建初,jian'chu
建国,jian'guo
建和,jian'he
间见,jian'jian
建康公,jian'kang'gong
建隆,jian'long
建明,jian'ming
建宁,jian'ning
建平,jian'ping
建始,jian'shi
建文,jian'wen
简文帝,jian'wen'di
建武,jian'wu
建熙,jian'xi
建兴,jian'xing
建炎,jian'yan
建义,jian'yi
建元,jian'yuan
建中,jian'zhong
蒋介石,jiang'jie'shi
姜烈山,jiang'lie'shan
节闵帝,jie'min'di
晋哀帝,jin'ai'di
晋哀侯,jin'ai'hou
晋安帝,jin'an'di
晋成帝,jin'cheng'di
晋成公,jin'cheng'gong
晋成侯,jin'cheng'hou
晋出公,jin'chu'gong
晋悼公,jin'dao'gong
晋定公,jin'ding'gong
晋鄂侯,jin'e'hou
晋废帝,jin'fei'di
晋恭帝,jin'gong'di
晋侯,jin'hou
晋怀帝,jin'huai'di
晋桓公,jin'huan'gong
晋惠帝,jin'hui'di
晋惠公,jin'hui'gong
晋静公,jin'jing'gong
晋敬公,jin'jing'gong
晋景公,jin'jing'gong
晋靖侯,jin'jing'hou
晋康帝,jin'kang'di
晋厉公,jin'li'gong
晋厉侯,jin'li'hou
晋烈公,jin'lie'gong
晋灵公,jin'ling'gong
晋愍帝,jin'min'di
晋闵公,jin'min'gong
晋明帝,jin'ming'di
晋穆帝,jin'mu'di
晋穆侯,jin'mu'hou
晋平公,jin'ping'gong
晋顷公,jin'qing'gong
晋殇叔,jin'shang'shu
晋唐叔,jin'tang'shu
晋文公,jin'wen'gong
晋文侯,jin'wen'hou
晋武帝,jin'wu'di
晋武侯,jin'wu'hou
晋僖侯,jin'xi'hou
晋献公,jin'xian'gong
晋献侯,jin'xian'hou
晋襄公,jin'xiang'gong
晋孝侯,jin'xiao'hou
晋孝武帝,jin'xiao'wu'di
晋小子,jin'xiao'zi
晋幽公,jin'you'gong
晋元帝,jin'yuan'di
晋昭公,jin'zhao'gong
晋昭侯,jin'zhao'hou
敬悼公,jing'dao'gong
景德,jing'de
敬帝,jing'di
景福,jing'fu
靖康,jing'kang
敬烈公,jing'lie'gong
景明,jing'ming
荆南,jing'nan
景平,jing'ping
景泰,jing'tai
景王,jing'wang
景炎,jing'yan
景元,jing'yuan
景云,jing'yun
景宗,jing'zong
沮渠安固,ju'qu'an'gu
沮渠蒙逊,ju'qu'meng'xun
沮渠牧犍,ju'qu'mu'jian
沮渠无讳,ju'qu'wu'hui
居摄,ju'she
开封公,kai'feng'gong
开皇,kai'huang
开平,kai'ping
开熙,kai'xi
康丁,kang'ding
康王,kang'wang
康熙,kang'xi
康宗,kang'zong
孔甲,kong'jia
会稽王,kuai'ji'wang
李安全,li'an'quan
李昂,li'ang
李秉常,li'bing'chang
李忱,li'chen
李纯,li'chun
李纯祐,li'chun'you
李从厚,li'cong'hou
李从珂,li'cong'ke
李漼,li'cui
李存勖,li'cun'xu
李旦,li'dan
李德旺,li'de'wang
李暠,li'hao
李亨,li'heng
李恒,li'heng
李璟,li'jing
李克用,li'ke'yong
李适,li'kuo
李谅祚,li'liang'zuo
李隆基,li'long'ji
李期,li'qi
李乾顺,li'qian'shun
李仁孝,li'ren'xiao
李昇,li'sheng
李势,li'shi
李世民,li'shi'min
李寿,li'shou
李嗣源,li'si'yuan
李肃,li'su
李特,li'te
厉王,li'wang
李显,li'xian
李睍,li'xian
李歆,li'xin
李雄,li'xiong
李儇,li'xuan
李恂,li'xun
李炎,li'yan
李晔,li'ye
李豫,li'yu
李煜,li'yu
李渊,li'yuan
李元昊,li'yuan'hao
黎元洪,li'yuan'hong
李湛,li'zhan
李治,li'zhi
李重茂,li'zhong'mao
李拀,li'zhu
李自成,li'zi'cheng
李遵顼,li'zun'xu
凉公,liang'gong
梁惠王,liang'hui'wang
梁末帝,liang'mo'di
梁武帝,liang'wu'di
烈宗,lie'zong
烈祖,lie'zu
廪辛,lin'xin
灵帝,ling'di
刘骜,liu'ao
刘邦,liu'bang
刘保,liu'bao
刘备,liu'bei
刘辨,liu'bian
刘炳,liu'bing
刘粲,liu'can
刘鋹,liu'chang
刘彻,liu'che
刘承祐,liu'cheng'you
刘聪,liu'cong
刘炟,liu'da
刘玢,liu'fen
刘弗陵,liu'fu'ling
刘恒,liu'heng
刘宏,liu'hong
刘祜,liu'hu
刘继元,liu'ji'yuan
刘钧,liu'jun
刘骏,liu'jun
刘衎,liu'kan
刘隆,liu'long
刘旻,liu'min
刘启,liu'qi
刘劬,liu'qu
刘禅,liu'shan
刘晟,liu'sheng
刘奭,liu'shi
刘协,liu'xie
刘欣,liu'xin
刘秀,liu'xiu
刘玄,liu'xuan
刘询,liu'xun
刘岩,liu'yan
刘曜,liu'yao
刘义符,liu'yi'fu
刘义隆,liu'yi'long
刘隐,liu'yin
刘婴,liu'ying
刘盈,liu'ying
刘裕,liu'yu
刘彧,liu'yu
刘昱,liu'yu
刘渊,liu'yuan
刘肇,liu'zhao
刘志,liu'zhi
刘知远,liu'zhi'yuan
刘莊,liu'zhuang
刘準,liu'zhun
刘子业,liu'zi'ye
刘缵,liu'zuan
隆安,long'an
隆昌,long'chang
隆和,long'he
龙纪,long'ji
龙启,long'qi
隆庆,long'qing
龙昇,long'sheng
隆武,long'wu
隆兴,long'xing
鲁哀公,lu'ai'gong
鲁成公,lu'cheng'gong
鲁悼公,lu'dao'gong
鲁定公,lu'ding'gong
鲁公,lu'gong
鲁共公,lu'gong'gong
鲁桓公,lu'huan'gong
鲁惠公,lu'hui'gong
鲁景公,lu'jing'gong
鲁康公,lu'kang'gong
鲁考公,lu'kao'gong
鲁厉公,lu'li'gong
鲁闵公,lu'min'gong
鲁穆公,lu'mu'gong
鲁平公,lu'ping'gong
鲁顷公,lu'qing'gong
鲁魏公,lu'wei'gong
鲁文公,lu'wen'gong
鲁武公,lu'wu'gong
鲁僖公,lu'xi'gong
鲁献公,lu'xian'gong
鲁襄公,lu'xiang'gong
鲁孝公,lu'xiao'gong
鲁宣公,lu'xuan'gong
鲁炀公,lu'yang'gong
鲁懿公,lu'yi'gong
鲁隐公,lu'yin'gong
鲁幽公,lu'you'gong
鲁元公,lu'yuan'gong
鲁昭公,lu'zhao'gong
鲁真公,lu'zhen'gong
鲁庄公,lu'zhuang'gong
吕骜,lv'ao
吕不辰,lv'bu'chen
吕赤,lv'chi
吕杵臼,lv'chu'jiu
吕慈母,lv'ci'mu
吕贷,lv'dai
吕得,lv'de
吕购,lv'gou
吕光,lv'guang
吕及,lv'ji
吕积,lv'ji
吕静,lv'jing
吕隆,lv'long
吕禄甫,lv'lu'fu
吕潘,lv'pan
吕球,lv'qiu
吕山,lv'shan
吕尚,lv'shang
吕商人,lv'shang'ren
吕寿,lv'shou
吕脱,lv'tuo
吕王,lv'wang
吕无忌,lv'wu'ji
吕无野,lv'wu'ye
吕小白,lv'xiao'bai
吕晏孺子,lv'yan'ru'zi
吕阳生,lv'yang'sheng
吕元,lv'yuan
吕昭,lv'zhao
吕雉,lv'zhi
吕诸儿,lv'zhu'er
吕纂,lv'zuan
马希范,ma'xi'fan
马希声,ma'xi'sheng
孟昶,meng'chang
蒙哥,meng'ge
蒙古,meng'gu
孟知祥,meng'zhi'xiang
闵帝,min'di
旻宁,min'ning
明昌,ming'chang
明成祖,ming'cheng'zu
明代宗,ming'dai'zong
明德,ming'de
明帝,ming'di
明光宗,ming'guang'zong
明惠帝,ming'hui'di
明穆宗,ming'mu'zong
明仁宗,ming'ren'zong
明神宗,ming'shen'zong
明升,ming'sheng
明世宗,ming'shi'zong
明思宗,ming'si'zong
明太祖,ming'tai'zu
明王,ming'wang
明武宗,ming'wu'zong
明熹宗,ming'xi'zong
明宪宗,ming'xian'zong
明孝宗,ming'xiao'zong
明宣帝,ming'xuan'di
明英宗,ming'ying'zong
明玉珍,ming'yu'zhen
明元帝,ming'yuan'di
明宗,ming'zong
末帝,mo'di
末主,mo'zhu
穆林王,mu'lin'wang
慕容超,mu'rong'chao
慕容冲,mu'rong'chong
慕容垂,mu'rong'chui
慕容德,mu'rong'de
慕容泓,mu'rong'hong
慕容皝,mu'rong'huang
慕容儁,mu'rong'jun
慕容凯,mu'rong'kai
慕容麟,mu'rong'lin
慕容盛,mu'rong'sheng
慕容实,mu'rong'shi
慕容暐,mu'rong'wei
慕容熙,mu'rong'xi
慕容详,mu'rong'xiang
慕容瑶,mu'rong'yao
慕容永,mu'rong'yong
慕容忠,mu'rong'zhong
穆宗,mu'zong
南安王,nan'an'wang
南朝,nan'chao
南庚,nan'geng
南汉,nan'han
南凉,nan'liang
南明,nan'ming
南平,nan'ping
南宋,nan'song
南唐,nan'tang
南燕,nan'yan
宁康,ning'kang
努尔哈赤,nu'er'ha'chi
盘庚,pan'geng
平康王,ping'kang'wang
普泰,pu'tai
溥仪,pu'yi
齐哀公,qi'ai'gong
杞哀公,qi'ai'gong
齐成公,qi'cheng'gong
杞出公,qi'chu'gong
齐悼公,qi'dao'gong
杞悼公,qi'dao'gong
杞德公,qi'de'gong
齐丁公,qi'ding'gong
乞伏炽盘,qi'fu'chi'pan
乞伏国仁,qi'fu'guo'ren
乞伏暮末,qi'fu'mu'mo
乞伏乾归,qi'fu'qian'gui
杞共公,qi'gong'gong
齐癸公,qi'gui'gong
齐胡公,qi'hu'gong
齐桓公,qi'huan'gong
杞桓公,qi'huan'gong
齐惠公,qi'hui'gong
齐简公,qi'jian'gong
杞简公,qi'jian'gong
齐景公,qi'jing'gong
杞靖公,qi'jing'gong
齐康公,qi'kang'gong
齐厉公,qi'li'gong
齐厘公,qi'li'gong
齐灵公,qi'ling'gong
杞闵公,qi'min'gong
齐闵王,qi'min'wang
杞谋娶公,qi'mou'qu'gong
齐平公,qi'ping'gong
杞平公,qi'ping'gong
齐顷公,qi'qing'gong
齐太公,qi'tai'gong
杞题公,qi'ti'gong
齐田,qi'tian
齐王,qi'wang
齐威王,qi'wei'wang
齐文公,qi'wen'gong
杞文公,qi'wen'gong
齐武公,qi'wu'gong
杞武公,qi'wu'gong
杞僖公,qi'xi'gong
齐献公,qi'xian'gong
齐襄公,qi'xiang'gong
齐襄王,qi'xiang'wang
齐孝公,qi'xiao'gong
杞孝公,qi'xiao'gong
齐宣公,qi'xuan'gong
齐宣王,qi'xuan'wang
齐晏孺子,qi'yan'ru'zi
齐乙公,qi'yi'gong
齐懿公,qi'yi'gong
杞隐公,qi'yin'gong
齐昭公,qi'zhao'gong
齐庄公,qi'zhuang'gong
钱俶,qian'chu
乾道,qian'dao
乾德,qian'de
乾定,qian'ding
乾符,qian'fu
钱弘倧,qian'hong'zong
钱弘佐,qian'hong'zuo
乾化,qian'hua
乾隆,qian'long
乾明,qian'ming
乾统,qian'tong
乾祐,qian'you
钱子瓘,qian'zi'guan
秦哀公,qin'ai'gong
秦成公,qin'cheng'gong
秦出公,qin'chu'gong
秦出子,qin'chu'zi
秦悼公,qin'dao'gong
秦德公,qin'de'gong
秦二世,qin'er'shi
秦共公,qin'gong'gong
秦怀公,qin'huai'gong
秦桓公,qin'huan'gong
秦惠公,qin'hui'gong
秦惠文王,qin'hui'wen'wang
秦简公,qin'jian'gong
秦景公,qin'jing'gong
秦康公,qin'kang'gong
秦厉共公,qin'li'gong'gong
秦灵公,qin'ling'gong
秦穆公,qin'mu'gong
秦宁公,qin'ning'gong
秦始皇,qin'shi'huang
秦王,qin'wang
秦文公,qin'wen'gong
秦武公,qin'wu'gong
秦武王,qin'wu'wang
秦宪公,qin'xian'gong
秦献公,qin'xian'gong
秦襄公,qin'xiang'gong
秦孝公,qin'xiao'gong
秦孝文王,qin'xiao'wen'wang
秦宣公,qin'xuan'gong
秦躁公,qin'zao'gong
秦昭王,qin'zhao'wang
秦仲,qin'zhong
秦庄公,qin'zhuang'gong
秦庄襄王,qin'zhuang'xiang'wang
清德宗,qing'de'zong
清高宗,qing'gao'zong
青龙,qing'long
清穆宗,qing'mu'zong
清宁,qing'ning
清仁宗,qing'ren'zong
清圣祖,qing'sheng'zu
清世宗,qing'shi'zong
清世祖,qing'shi'zu
清泰,qing'tai
清文宗,qing'wen'zong
清宣宗,qing'xuan'zong
庆元,qing'yuan
冉闵,ran'min
仁宗,ren'zong
孺子,ru'zi
睿帝,rui'di
睿宗,rui'zong
三国,san'guo
殇帝,shang'di
上元,shang'yuan
商纣王,shang'zhou'wang
少康,shao'kang
绍泰,shao'tai
绍武,shao'wu
绍熙,shao'xi
绍兴,shao'xing
少主,shao'zhu
神册,shen'ce
神鼎,shen'ding
神尔,shen'er
神龙,shen'long
神宗,shen'zong
盛昌,sheng'chang
昇明,sheng'ming
昇天,sheng'tian
圣宗,sheng'zong
石袛,shi'di
始光,shi'guang
十国,shi'guo
石弘,shi'hong
石虎,shi'hu
石鉴,shi'jian
石敬瑭,shi'jing'tang
石勒,shi'le
十六国,shi'liu'guo
始元,shi'yuan
石重贵,shi'zhong'gui
世宗,shi'zong
世祖,shi'zu
始祖,shi'zu
寿光,shou'guang
收国,shou'guo
寿梦,shou'meng
庶人,shu'ren
鼠石与,shu'shi'yu
顺义,shun'yi
顺治,shun'zhi
硕德八刺,shuo'de'ba'ci
司空,si'kong
司马炽,si'ma'chi
司马聃,si'ma'dan
司马德文,si'ma'de'wen
司马德宗,si'ma'de'zong
司马丕,si'ma'pi
司马睿,si'ma'rui
司马绍,si'ma'shao
司马衍,si'ma'yan
司马炎,si'ma'yan
司马曜,si'ma'yao
司马业,si'ma'ye
司马奕,si'ma'yi
司马昱,si'ma'yu
司马岳,si'ma'yue
司马衷,si'ma'zhong
姒启,si'qi
嗣圣,si'sheng
姒文命,si'wen'ming
宋辟公,song'bi'gong
宋成公,song'cheng'gong
宋戴公,song'dai'gong
宋悼公,song'dao'gong
宋丁公,song'ding'gong
宋度宗,song'du'zong
宋端宗,song'duan'zong
宋高宗,song'gao'zong
宋公,song'gong
宋恭帝,song'gong'di
宋共公,song'gong'gong
宋光宗,song'guang'zong
宋桓公,song'huan'gong
宋惠公,song'hui'gong
宋徽宗,song'hui'zong
宋景公,song'jing'gong
宋厉公,song'li'gong
宋理宗,song'li'zong
宋闵公,song'min'gong
宋穆公,song'mu'gong
宋宁宗,song'ning'zong
宋平公,song'ping'gong
宋钦宗,song'qin'zong
宋仁宗,song'ren'zong
宋殇公,song'shang'gong
宋少帝,song'shao'di
宋神宗,song'shen'zong
宋顺帝,song'shun'di
宋太宗,song'tai'zong
宋太祖,song'tai'zu
宋微仲,song'wei'zhong
宋微子,song'wei'zi
宋文帝,song'wen'di
宋文公,song'wen'gong
宋武帝,song'wu'di
宋武公,song'wu'gong
宋僖公,song'xi'gong
宋襄公,song'xiang'gong
