艾叶青,ai'ye'qing
墨角癞麒麟,mo'jiao'lai'qi'lin
墨麒麟,mo'qi'lin
挠头狮子登山雪,nao'tou'shi'zi'deng'shan'xue
挠头狮子黑,nao'tou'shi'zi'hei
挠头狮子雪,nao'tou'shi'zi'xue
撵月白龙驹,nian'yue'bai'long'ju
麒麟马,qi'lin'ma
千里豹,qian'li'bao
千里赤,qian'li'chi
千里独行一盏灯,qian'li'du'xing'yi'zhan'deng
千里火龙驹,qian'li'huo'long'ju
千里火焰驹,qian'li'huo'yan'ju
千里乌云豹,qian'li'wu'yun'bao
千里橡皮驹,qian'li'xiang'pi'ju
千里雪肋一盏灯,qian'li'xue'lei'yi'zhan'deng
千里胭脂雪,qian'li'yan'zhi'xue
千里一盏灯,qian'li'yi'zhan'deng
千里一丈青,qian'li'yi'zhang'qing
千里一阵风,qian'li'yi'zhen'feng
千里银河白龙驹,qian'li'yin'he'bai'long'ju
千里银河一点白,qian'li'yin'he'yi'dian'bai
千里银河一点红,qian'li'yin'he'yi'dian'hong
千里追风白龙马,qian'li'zhui'feng'bai'long'ma
青骢马,qing'cong'ma
青风紫,qing'feng'zi
青花骢,qing'hua'cong
青花马,qing'hua'ma
青龙驹,qing'long'ju
青泉兽,qing'quan'shou
青煞兽,qing'sha'shou
青砂兽,qing'sha'shou
青头金眼兽,qing'tou'jin'yan'shou
青云兽,qing'yun'shou
青鬃马,qing'zong'ma
青鬃兽,qing'zong'shou
青鬃追风驹,qing'zong'zhui'feng'ju
日月骦霄马,ri'yue'shuang'xiao'ma
日月骕骦马,ri'yue'su'shuang'ma
日月骁骦特,ri'yue'xiao'shuang'te
赛风追日千里驹,sai'feng'zhui'ri'qian'li'ju
赛鹿铁豹骅,sai'lu'tie'bao'hua
赛鹿铁花豹,sai'lu'tie'hua'bao
闪电白龙驹,shan'dian'bai'long'ju
闪电黄龙驹,shan'dian'huang'long'ju
闪电虬龙驹,shan'dian'qiu'long'ju
闪电乌龙驹,shan'dian'wu'long'ju
闪电鹰爪驹,shan'dian'ying'zhao'ju
闪电追风驹,shan'dian'zhui'feng'ju
山后雪,shan'hou'xue
狮吼兽,shi'hou'shou
狮子花,shi'zi'hua
双角麒麟兽,shuang'jiao'qi'lin'shou
四不象,si'bu'xiang
踏雪红鬃兽,ta'xue'hong'zong'shou
踏雪火龙驹,ta'xue'huo'long'ju
踏雪胭脂马,ta'xue'yan'zhi'ma
踏雪追风马,ta'xue'zhui'feng'ma
汤合驹,tang'he'ju
桃红马金眼玉花虬,tao'hong'ma'jin'yan'yu'hua'qiu
腾云马,teng'yun'ma
踢雪乌骓马,ti'xue'wu'zhui'ma
蹄血玉狮子,ti'xue'yu'shi'zi
铁甲枣骝驹,tie'jia'zao'liu'ju
铁脚枣骝驹,tie'jiao'zao'liu'ju
铁梨花,tie'li'hua
铁骊青,tie'li'qing
铁青马,tie'qing'ma
铁头金眼龙,tie'tou'jin'yan'long
铁腿枣骝驹,tie'tui'zao'liu'ju
铁血枣红马,tie'xue'zao'hong'ma
铁叶青,tie'ye'qing
铁鬃马,tie'zong'ma
透骨龙,tou'gu'long
透骨兽,tou'gu'shou
透骨乌龙骓,tou'gu'wu'long'zhui
透骨银龙驹,tou'gu'yin'long'ju
万里雪花白,wan'li'xue'hua'bai
万里烟云兽,wan'li'yan'yun'shou
万里烟云罩,wan'li'yan'yun'zhao
万里一盏灯,wan'li'yi'zhan'deng
万里追风麒麟烟海兽,wan'li'zhui'feng'qi'lin'yan'hai'shou
五点斑豹驹,wu'dian'ban'bao'ju
五靛花斑豹,wu'dian'hua'ban'bao
五朵葵花兽,wu'duo'kui'hua'shou
乌花豹,wu'hua'bao
五花金钱马,wu'hua'jin'qian'ma
五花驹,wu'hua'ju
五花追风马,wu'hua'zhui'feng'ma
乌龙雪爪驹,wu'long'xue'zhao'ju
乌龙追风驹,wu'long'zhui'feng'ju
五色斑豹铁骅骝,wu'se'ban'bao'tie'hua'liu
乌獬豸,wu'xie'zhi
乌云豹,wu'yun'bao
乌骓赛风驹,wu'zhui'sai'feng'ju
象皮癞麒麟,xiang'pi'lai'qi'lin
雪花银鬃马,xue'hua'yin'zong'ma
雪里白,xue'li'bai
雪里红,xue'li'hong
雪里站,xue'li'zhan
雪里钻,xue'li'zuan
雪骐驹,xue'qi'ju
雪蹄青骢马,xue'ti'qing'cong'ma
雪蹄乌骓马,xue'ti'wu'zhui'ma
雪中霜,xue'zhong'shuang
烟云兽,yan'yun'shou
胭脂红,yan'zhi'hong
一丈黑,yi'zhang'hei
一丈雪,yi'zhang'xue
一字板肋玉麒麟,yi'zi'ban'lei'yu'qi'lin
一字墨角癞麒麟,yi'zi'mo'jiao'lai'qi'lin
一字墨麒麟,yi'zi'mo'qi'lin
银钩马,yin'gou'ma
银河驹,yin'he'ju
银色拳花马,yin'se'quan'hua'ma
银蹄金鬃呼雷豹,yin'ti'jin'zong'hu'lei'bao
银线汤合驹,yin'xian'tang'he'ju
银獬豸,yin'xie'zhi
银雪豹,yin'xue'bao
银云豹,yin'yun'bao
银鬃马,yin'zong'ma
银鬃兽,yin'zong'shou
玉白驹,yu'bai'ju
玉骢马,yu'cong'ma
玉顶扳肋墨云雕,yu'ding'ban'lei'mo'yun'diao
玉顶红,yu'ding'hong
玉顶火龙驹,yu'ding'huo'long'ju
玉顶骥,yu'ding'ji
玉顶乌骓马,yu'ding'wu'zhui'ma
玉顶西凉驹,yu'ding'xi'liang'ju
玉花骢,yu'hua'cong
玉面紫骅骝,yu'mian'zi'hua'liu
玉狮子,yu'shi'zi
玉雪麒麟驹,yu'xue'qi'lin'ju
月照千里白,yue'zhao'qian'li'bai
云霞兽,yun'xia'shou
枣红马,zao'hong'ma
皂缭马,zao'liao'ma
枣骝马,zao'liu'ma
照夜红,zhao'ye'hong
照夜狮子马,zhao'ye'shi'zi'ma
照夜狮子千里雪,zhao'ye'shi'zi'qian'li'xue
照夜玉狮子,zhao'ye'yu'shi'zi
照夜玉狻猊,zhao'ye'yu'suan'ni
抓地虎,zhua'di'hu
追风白点万里龙驹马,zhui'feng'bai'dian'wan'li'long'ju'ma
追风白尾驹,zhui'feng'bai'wei'ju
追风骠,zhui'feng'biao
追风赶电白龙驹,zhui'feng'gan'dian'bai'long'ju
追风荷花豹,zhui'feng'he'hua'bao
追风呼雷豹,zhui'feng'hu'lei'bao
追风菊花马,zhui'feng'ju'hua'ma
追风闪电梅花兽,zhui'feng'shan'dian'mei'hua'shou
追风玉狮子,zhui'feng'yu'shi'zi
追风逐日千里乌骓马,zhui'feng'zhu'ri'qian'li'wu'zhui'ma
追日赛风驹,zhui'ri'sai'feng'ju
紫电喷云兽,zi'dian'pen'yun'shou
紫骅骝,zi'hua'liu
紫骝驹,zi'liu'ju
紫燕骝,zi'yan'liu
