爱龄奇医院,ai'ling'qi'yi'yuan
吉平宾馆,ji'ping'bin'guan
家俱市场,jia'ju'shi'chang
建设局,jian'she'ju
健身场,jian'shen'chang
建校,jian'xiao
建银大厦,jian'yin'da'sha
结核医院,jie'he'yi'yuan
金源公司,jin'yuan'gong'si
经贸学校,jing'mao'xue'xiao
净业莲寺,jing'ye'lian'si
九洲派出所,jiu'zhou'pai'chu'suo
救助站,jiu'zhu'zhan
巨丰,ju'feng
军体校,jun'ti'xiao
客车厂,ke'che'chang
口腔医院,kou'qiang'yi'yuan
老城,lao'cheng
立业,li'ye
联合化,lian'he'hua
联合化工厂,lian'he'hua'gong'chang
六马路,liu'ma'lu
六马路小学,liu'ma'lu'xiao'xue
留学生公寓,liu'xue'sheng'gong'yu
六中,liu'zhong
隆泰汽车中心,long'tai'qi'che'zhong'xin
马车房子,ma'che'fang'zi
棉纺厂,mian'fang'chang
奶牛合作社,nai'niu'he'zuo'she
南湖,nan'hu
南湖公园,nan'hu'gong'yuan
南三市场,nan'san'shi'chang
南四纬,nan'si'wei
农业工程学校,nong'ye'gong'cheng'xue'xiao
农业银行,nong'ye'yin'hang
欧亚九州城,ou'ya'jiu'zhou'cheng
啤酒厂,pi'jiu'chang
平东二小,ping'dong'er'xiao
平东粮库,ping'dong'liang'ku
平东派出所,ping'dong'pai'chu'suo
平东医院,ping'dong'yi'yuan
平西乡,ping'xi'xiang
汽车公司,qi'che'gong'si
清华苑小区,qing'hua'yuan'xiao'qu
人防办,ren'fang'ban
人民剧场,ren'min'ju'chang
仁兴商厦,ren'xing'shang'sha
三粮库,san'liang'ku
三马路,san'ma'lu
三中,san'zhong
山门,shan'men
商场,shang'chang
商业大厦,shang'ye'da'sha
少年宫,shao'nian'gong
省脑科医院,sheng'nao'ke'yi'yuan
师大附中,shi'da'fu'zhong
师大社区,shi'da'she'qu
师大幼儿园,shi'da'you'er'yuan
市委,shi'wei
实验中学,shi'yan'zhong'xue
市医院,shi'yi'yuan
市政府,shi'zheng'fu
收割机,shou'ge'ji
收割机厂,shou'ge'ji'chang
收割机转盘,shou'ge'ji'zhuan'pan
水利局,shui'li'ju
水泥厂,shui'ni'chang
四开电气,si'kai'dian'qi
四马路,si'ma'lu
四平宾馆,si'ping'bin'guan
四平火车站,si'ping'huo'che'zhan
四平巨能药业,si'ping'ju'neng'yao'ye
四平职业大学,si'ping'zhi'ye'da'xue
孙家店,sun'jia'dian
糖酒大厦,tang'jiu'da'sha
天城,tian'cheng
天成玉米,tian'cheng'yu'mi
条子河乡,tiao'zi'he'xiang
铁东法院,tie'dong'fa'yuan
铁东广场,tie'dong'guang'chang
铁东环卫处,tie'dong'huan'wei'chu
铁东检察院,tie'dong'jian'cha'yuan
铁西交警大队,tie'xi'jiao'jing'da'dui
王小店,wang'xiao'dian
卫校,wei'xiao
武警,wu'jing
钨钼丝,wu'mu'si
下三台,xia'san'tai
香格里拉,xiang'ge'li'la
新华大街,xin'hua'da'jie
新华医院,xin'hua'yi'yuan
馨客商店,xin'ke'shang'dian
鑫源机械,xin'yuan'ji'xie
押运公司,ya'yun'gong'si
烟厂路,yan'chang'lu
盐业公司,yan'ye'gong'si
杨木林,yang'mu'lin
腰沟,yao'gou
仪表厂,yi'biao'chang
移动公司,yi'dong'gong'si
医护学校,yi'hu'xue'xiao
医疗器械厂,yi'liao'qi'xie'chang
一商店,yi'shang'dian
一中,yi'zhong
英雄广场,ying'xiong'guang'chang
政府宾馆,zheng'fu'bin'guan
中西药房,zhong'xi'yao'fang
中西医结合医院,zhong'xi'yi'jie'he'yi'yuan
中心医院,zhong'xin'yi'yuan
中医院,zhong'yi'yuan
住房公积金,zhu'fang'gong'ji'jin
