安家庄,an'jia'zhuang
侯城,hou'cheng
后里明甫,hou'li'ming'fu
后彭头,hou'peng'tou
后儒林,hou'ru'lin
后屯,hou'tun
后赵七子,hou'zhao'qi'zi
后祖祥,hou'zu'xiang
胡士庄,hu'shi'zhuang
槐树,huai'shu
纪庄,ji'zhuang
家庄,jia'zhuang
蒋家庄,jiang'jia'zhuang
教公,jiao'gong
晋州镇,jin'zhou'zhen
孔目庄,kong'mu'zhuang
兰庄,lan'zhuang
雷陈,lei'chen
李家庄,li'jia'zhuang
利民,li'min
留村,liu'cun
刘家庄,liu'jia'zhuang
刘靳庄,liu'jin'zhuang
龙泉固,long'quan'gu
龙头,long'tou
楼底,lou'di
鲁家庄,lu'jia'zhuang
吕家营,lv'jia'ying
吕家庄,lv'jia'zhuang
马坊,ma'fang
马坊头,ma'fang'tou
马坊营,ma'fang'ying
马家庄,ma'jia'zhuang
马于,ma'yu
马于镇,ma'yu'zhen
毛家寨,mao'jia'zhai
茂源,mao'yuan
孟家庄,meng'jia'zhuang
秘家庄,mi'jia'zhuang
鸣鹤庄,ming'he'zhuang
南白水,nan'bai'shui
南白滩,nan'bai'tan
南冻光,nan'dong'guang
南古底,nan'gu'di
南鼓家庄,nan'gu'jia'zhuang
南关,nan'guan
南寺阎,nan'si'yan
南田,nan'tian
南旺,nan'wang
南王家庄,nan'wang'jia'zhuang
南位家口,nan'wei'jia'kou
南小吾,nan'xiao'wu
南新街,nan'xin'jie
南辛庄,nan'xin'zhuang
南张里,nan'zhang'li
南赵庄,nan'zhao'zhuang
泥安,ni'an
泥马,ni'ma
聂村,nie'cun
盘石,pan'shi
庞表,pang'biao
庞村,pang'cun
彭光,peng'guang
彭召,peng'zhao
平安,ping'an
祁底,qi'di
七给,qi'gei
前里明甫,qian'li'ming'fu
前彭头,qian'peng'tou
前七子,qian'qi'zi
前儒林,qian'ru'lin
前屯,qian'tun
前祖祥,qian'zu'xiang
泉渡,quan'du
仁义,ren'yi
茹家寨,ru'jia'zhai
善里,shan'li
商贸里,shang'mao'li
邵庄,shao'zhuang
射佛头,she'fo'tou
十里铺,shi'li'pu
束李庄,shu'li'zhuang
四常,si'chang
寺头,si'tou
宋家庄,song'jia'zhuang
宋庄,song'zhuang
宿村,su'cun
宿生,su'sheng
孙家庄,sun'jia'zhuang
塔鲁,ta'lu
塔上,ta'shang
桃园,tao'yuan
桃园镇,tao'yuan'zhen
田村,tian'cun
屯尚,tun'shang
万庄,wan'zhuang
王家庄,wang'jia'zhuang
王石碑庄,wang'shi'bei'zhuang
武邱,wu'qiu
西曹,xi'cao
西大留,xi'da'liu
西钓鱼台,xi'diao'yu'tai
西关,xi'guan
西贾庄,xi'jia'zhuang
西街,xi'jie
西李家庄,xi'li'jia'zhuang
西里庄,xi'li'zhuang
西龙化,xi'long'hua
西南涅盘,xi'nan'nie'pan
西平乡,xi'ping'xiang
西石村,xi'shi'cun
西寺,xi'si
西旺,xi'wang
西小留,xi'xiao'liu
西张口,xi'zhang'kou
西赵家庄,xi'zhao'jia'zhuang
西赵庄,xi'zhao'zhuang
西卓宿,xi'zhuo'su
西子城,xi'zi'cheng
相古庄,xiang'gu'zhuang
相邱,xiang'qiu
小彭,xiao'peng
小铺,xiao'pu
小樵,xiao'qiao
小樵镇,xiao'qiao'zhen
小沙庄,xiao'sha'zhuang
小尚,xiao'shang
小石家庄,xiao'shi'jia'zhuang
新风,xin'feng
新民道,xin'min'dao
盐厂,yan'chang
盐厂寨,yan'chang'zhai
阎村,yan'cun
杨家营,yang'jia'ying
杨家庄,yang'jia'zhuang
姚家庄,yao'jia'zhuang
尹家庄,yin'jia'zhuang
营里,ying'li
永丰,yong'feng
于家庄,yu'jia'zhuang
袁家庄,yuan'jia'zhuang
元头,yuan'tou
枣园,zao'yuan
张家庄,zhang'jia'zhuang
张十字庄,zhang'shi'zi'zhuang
张庄,zhang'zhuang
赵八庄,zhao'ba'zhuang
赵村,zhao'cun
赵家庄,zhao'jia'zhuang
赵魏,zhao'wei
阵庄,zhen'zhuang
中街,zhong'jie
中作,zhong'zuo
周村,zhou'cun
周家庄三,zhou'jia'zhuang'san
周家庄四,zhou'jia'zhuang'si
周家庄五,zhou'jia'zhuang'wu
周头,zhou'tou
周元方,zhou'yuan'fang
庄合寨,zhuang'he'zhai
总十庄,zong'shi'zhuang
