愛心信心決心,ai'xin'xin'xin'jue'xin
表面裝飾成型課,biao'mian'zhuang'shi'cheng'xing'ke
表面裝飾工程課,biao'mian'zhuang'shi'gong'cheng'ke
表面裝飾加工部,biao'mian'zhuang'shi'jia'gong'bu
表面裝飾模修課,biao'mian'zhuang'shi'mo'xiu'ke
表面裝飾印刷課,biao'mian'zhuang'shi'yin'shua'ke
標准件支援組,biao'zhun'jian'zhi'yuan'qu
標准系統化,biao'zhun'xi'tong'hua
病假,bing'jia
病逝,bing'shi
並行開發,bing'xing'kai'bo
病休,bing'xiu
發包管理組,bo'bao'guan'li'qu
發包組,bo'bao'qu
薄材沖壓廠,bo'cai'chong'ya'chang
薄材模修,bo'cai'mo'xiu
發貨組,bo'huo'qu
薄膜成形課,bo'mo'cheng'xing'ke
薄膜成形組,bo'mo'cheng'xing'qu
薄膜印刷,bo'mo'yin'shua
薄膜印刷課,bo'mo'yin'shua'ke
博士,bo'shi
發外包倉儲班,bo'wai'bao'cang'chu'ban
不良品倉,bu'liang'pin'cang
不良品倉組,bu'liang'pin'cang'qu
不良品處理組,bu'liang'pin'chu'li'qu
不良品管理班,bu'liang'pin'guan'li'ban
不良品組,bu'liang'pin'qu
不良品帳務線,bu'liang'pin'zhang'wu'xian
部門功能,bu'men'gong'neng
部門類型,bu'men'lei'xing
部門助理,bu'men'zhu'li
不銓敘,bu'quan'xu
不銓敘培訓中心,bu'quan'xu'pei'xun'zhong'xin
布人力,bu'ren'li
不銹剛組,bu'xiu'gang'qu
不住公司宿舍,bu'zhu'gong'si'su'she
彩鍍線,cai'du'xian
采購,cai'gou
採購,cai'gou
采購部,cai'gou'bu
採購成本績效課,cai'gou'cheng'ben'ji'xiao'ke
采購成本與績效,cai'gou'cheng'ben'yu'ji'xiao
採購成本與績效,cai'gou'cheng'ben'yu'ji'xiao
采購成本與績效組,cai'gou'cheng'ben'yu'ji'xiao'qu
採購成本與績效組,cai'gou'cheng'ben'yu'ji'xiao'qu
採購付款流程管理課,cai'gou'fu'kuan'liu'cheng'guan'li'ke
採購付款流程組,cai'gou'fu'kuan'liu'cheng'qu
採購管理,cai'gou'guan'li
採購管理課,cai'gou'guan'li'ke
採購管理組,cai'gou'guan'li'qu
採購結報組,cai'gou'ji'bao'qu
采購稽核組,cai'gou'ji'he'qu
採購稽核組,cai'gou'ji'he'qu
采購及物控組,cai'gou'ji'wu'kong'qu
採購交易數據統計,cai'gou'jiao'yi'shu'ju'tong'ji
采購課,cai'gou'ke
采購课,cai'gou'ke
採購課,cai'gou'ke
采購組,cai'gou'qu
採購組,cai'gou'qu
採購商情分析組,cai'gou'shang'qing'fen'xi'qu
採購審價組,cai'gou'shen'jia'qu
採購統計與商情分析課,cai'gou'tong'ji'yu'shang'qing'fen'xi'ke
采購物控組,cai'gou'wu'kong'qu
採購系統整合課,cai'gou'xi'tong'zheng'he'ke
採購支援管理部,cai'gou'zhi'yuan'guan'li'bu
採購支援管理組,cai'gou'zhi'yuan'guan'li'qu
採購支援課,cai'gou'zhi'yuan'ke
採購專案管理部,cai'gou'zhuan'an'guan'li'bu
採購專案管理處,cai'gou'zhuan'an'guan'li'chu
采購總處,cai'gou'zong'chu
采購作業,cai'gou'zuo'ye
彩盒包三,cai'he'bao'san
彩盒包一,cai'he'bao'yi
彩盒包裝班,cai'he'bao'zhuang'ban
財會,cai'hui
材料,cai'liao
材料分析課,cai'liao'fen'xi'ke
材料工程,cai'liao'gong'cheng
材料工程研發處,cai'liao'gong'cheng'yan'bo'chu
材料檢測工程,cai'liao'jian'ce'gong'cheng
材料檢測作業,cai'liao'jian'ce'zuo'ye
材料品管課,cai'liao'pin'guan'ke
材料試驗課,cai'liao'shi'yan'ke
材料實驗課,cai'liao'shi'yan'ke
材料試驗組,cai'liao'shi'yan'qu
材料實驗組,cai'liao'shi'yan'qu
材料實驗室,cai'liao'shi'yan'shi
裁切,cai'qie
裁切廠採購組,cai'qie'chang'cai'gou'qu
裁切組,cai'qie'qu
財務,cai'wu
財務部,cai'wu'bu
財務處,cai'wu'chu
財務管理組,cai'wu'guan'li'qu
財務會計,cai'wu'hui'ji
財務會計部,cai'wu'hui'ji'bu
財務會計課,cai'wu'hui'ji'ke
財務課,cai'wu'ke
財務審計課,cai'wu'shen'ji'ke
餐飲,can'yin
餐飲課,can'yin'ke
餐飲宿管課,can'yin'su'guan'ke
倉儲,cang'chu
倉儲安全組,cang'chu'an'quan'qu
倉儲班,cang'chu'ban
倉儲管理部,cang'chu'guan'li'bu
倉儲管理課,cang'chu'guan'li'ke
倉儲管理組,cang'chu'guan'li'qu
倉儲管理組組,cang'chu'guan'li'qu'qu
倉儲管制組,cang'chu'guan'zhi'qu
倉儲規劃管理課,cang'chu'gui'hua'guan'li'ke
倉儲及包材回收組,cang'chu'ji'bao'cai'hui'shou'qu
倉儲課,cang'chu'ke
倉儲組,cang'chu'qu
倉儲物流,cang'chu'wu'liu
倉儲物流課課,cang'chu'wu'liu'ke'ke
倉儲物流組,cang'chu'wu'liu'qu
倉儲物流線,cang'chu'wu'liu'xian
倉儲線,cang'chu'xian
倉儲作業,cang'chu'zuo'ye
倉儲作業員,cang'chu'zuo'ye'yuan
倉管,cang'guan
倉管課,cang'guan'ke
倉管組,cang'guan'qu
倉管物流組,cang'guan'wu'liu'qu
倉管員,cang'guan'yuan
倉庫,cang'ku
倉庫管理,cang'ku'guan'li
倉庫管理流程組,cang'ku'guan'li'liu'cheng'qu
倉庫組,cang'ku'qu
倉庫物控組,cang'ku'wu'kong'qu
倉庫帳務管理,cang'ku'zhang'wu'guan'li
倉庫帳務管理組,cang'ku'zhang'wu'guan'li'qu
操作技工,cao'zuo'ji'gong
操作線,cao'zuo'xian
策劃策劃組,ce'hua'ce'hua'qu
策略決心方法,ce'lue'jue'xin'fang'fa
策略是什麽,ce'lue'shi'shen'me
測試,ce'shi
測試操作組,ce'shi'cao'zuo'qu
測試分析部,ce'shi'fen'xi'bu
測試分析組,ce'shi'fen'xi'qu
測試夾具管理課,ce'shi'ga'ju'guan'li'ke
測試工程,ce'shi'gong'cheng
測試工程部,ce'shi'gong'cheng'bu
測試工程課,ce'shi'gong'cheng'ke
測試工程組,ce'shi'gong'cheng'qu
測試機構課,ce'shi'ji'gou'ke
測試技朮課,ce'shi'ji'shu'ke
測試開發,ce'shi'kai'bo
測試開發部,ce'shi'kai'bo'bu
測試開發課,ce'shi'kai'bo'ke
測試開發組,ce'shi'kai'bo'qu
測試課,ce'shi'ke
測試美工,ce'shi'mei'gong
測試美工課,ce'shi'mei'gong'ke
測試組,ce'shi'qu
測試軟體工程組,ce'shi'ruan'ti'gong'cheng'qu
測試設備開發課,ce'shi'she'bei'kai'bo'ke
測試設備開發組,ce'shi'she'bei'kai'bo'qu
測試設備組,ce'shi'she'bei'qu
測試設備維護,ce'shi'she'bei'wei'hu
測試維護,ce'shi'wei'hu
測試維護班,ce'shi'wei'hu'ban
測試維護組,ce'shi'wei'hu'qu
測試系統工程部,ce'shi'xi'tong'gong'cheng'bu
測試系統維護課,ce'shi'xi'tong'wei'hu'ke
測試線,ce'shi'xian
測試線體系統維護組,ce'shi'xian'ti'xi'tong'wei'hu'qu
叉車班,cha'che'ban
叉車司機,cha'che'si'ji
叉車司機保養,cha'che'si'ji'bao'yang
叉車維修作業員,cha'che'wei'xiu'zuo'ye'yuan
產發,chan'bo
產發部,chan'bo'bu
產發處,chan'bo'chu
產發二部,chan'bo'er'bu
產發工程部,chan'bo'gong'cheng'bu
產發工程二部,chan'bo'gong'cheng'er'bu
產發工程課,chan'bo'gong'cheng'ke
產發工程三部,chan'bo'gong'cheng'san'bu
產發工程一部,chan'bo'gong'cheng'yi'bu
產發課,chan'bo'ke
產發七部,chan'bo'qi'bu
產發三處,chan'bo'san'chu
產發四部,chan'bo'si'bu
產發五部,chan'bo'wu'bu
產發一部,chan'bo'yi'bu
產發一處,chan'bo'yi'chu
產發運籌中心,chan'bo'yun'chou'zhong'xin
單機臺組立,chan'ji'tai'qu'li
單機臺組立組,chan'ji'tai'qu'li'qu
單機臺設計組,chan'ji'tai'she'ji'qu
產檢假,chan'jian'jia
產險維護組,chan'jian'wei'hu'qu
產能規劃課,chan'neng'gui'hua'ke
產能規劃組,chan'neng'gui'hua'qu
產能與系統規劃課,chan'neng'yu'xi'tong'gui'hua'ke
產品,chan'pin
產品保証部,chan'pin'bao'zheng'bu
產品處,chan'pin'chu
產品打樣,chan'pin'da'yang
產品打樣組,chan'pin'da'yang'qu
產品工程,chan'pin'gong'cheng
產品工程部,chan'pin'gong'cheng'bu
產品工程處,chan'pin'gong'cheng'chu
產品工程二部,chan'pin'gong'cheng'er'bu
產品工程課,chan'pin'gong'cheng'ke
產品工程組,chan'pin'gong'cheng'qu
產品工程三部,chan'pin'gong'cheng'san'bu
產品工程一部,chan'pin'gong'cheng'yi'bu
產品管理,chan'pin'guan'li
產品管理處,chan'pin'guan'li'chu
產品管理暨開發處,chan'pin'guan'li'ji'kai'bo'chu
產品管理課,chan'pin'guan'li'ke
產品價格管理,chan'pin'jia'ge'guan'li
產品開發,chan'pin'kai'bo
產品開發八部,chan'pin'kai'bo'ba'bu
產品開發部,chan'pin'kai'bo'bu
產品開發處,chan'pin'kai'bo'chu
產品開發二部,chan'pin'kai'bo'er'bu
產品開發二處,chan'pin'kai'bo'er'chu
產品開發工程部,chan'pin'kai'bo'gong'cheng'bu
產品開發工程二部,chan'pin'kai'bo'gong'cheng'er'bu
產品開發管理部,chan'pin'kai'bo'guan'li'bu
產品開發管理處,chan'pin'kai'bo'guan'li'chu
產品開發課,chan'pin'kai'bo'ke
產品開發六部,chan'pin'kai'bo'liu'bu
產品開發流程管理課,chan'pin'kai'bo'liu'cheng'guan'li'ke
產品開發組,chan'pin'kai'bo'qu
產品開發一部,chan'pin'kai'bo'yi'bu
產品開發支援處,chan'pin'kai'bo'zhi'yuan'chu
產品開發中心,chan'pin'kai'bo'zhong'xin
産品品保部,chan'pin'pin'bao'bu
產品品質保証課,chan'pin'pin'zhi'bao'zheng'ke
產品企劃部,chan'pin'qi'hua'bu
產品企劃工程,chan'pin'qi'hua'gong'cheng
產品企劃及專案管理處,chan'pin'qi'hua'ji'zhuan'an'guan'li'chu
產品群,chan'pin'qun
產品認證部,chan'pin'ren'zheng'bu
產品設計,chan'pin'she'ji
產品設計部,chan'pin'she'ji'bu
產品設計工程處,chan'pin'she'ji'gong'cheng'chu
產品設計課,chan'pin'she'ji'ke
產品設計流程管理課,chan'pin'she'ji'liu'cheng'guan'li'ke
產品設計專案管理部,chan'pin'she'ji'zhuan'an'guan'li'bu
产品生技,chan'pin'sheng'ji
產品生技組,chan'pin'sheng'ji'qu
產品四大策略,chan'pin'si'da'ce'lue
產品外觀設計,chan'pin'wai'guan'she'ji
產品性能驗証課,chan'pin'xing'neng'yan'zheng'ke
產品制造工程流程管理課,chan'pin'zhi'zao'gong'cheng'liu'cheng'guan'li'ke
產品專案,chan'pin'zhuan'an
產品專案管理,chan'pin'zhuan'an'guan'li
產品專案組,chan'pin'zhuan'an'qu
產維,chan'wei
產線維護,chan'xian'wei'hu
產線維護課,chan'xian'wei'hu'ke
產線維護組,chan'xian'wei'hu'qu
產線支持組,chan'xian'zhi'chi'qu
產銷平衡,chan'xiao'ping'heng
產銷平衡課,chan'xiao'ping'heng'ke
單証管理組,chan'zheng'guan'li'qu
單證管理組,chan'zheng'guan'li'qu
廠部,chang'bu
廠部用戶,chang'bu'yong'hu
廠房規划課,chang'fang'gui'hua'ke
廠房規劃組,chang'fang'gui'hua'qu
廠內車輛管理組,chang'na'che'liang'guan'li'qu
廠內稽查,chang'na'ji'cha
廠區代碼,chang'ou'dai'ma
廠區工務部,chang'ou'gong'wu'bu
廠區管理員,chang'ou'guan'li'yuan
廠區環境推動組,chang'ou'huan'jing'tui'dong'qu
廠商管理課,chang'shang'guan'li'ke
廠外稽查,chang'wai'ji'cha
廠務,chang'wu
廠務管控課,chang'wu'guan'kong'ke
廠務管理課,chang'wu'guan'li'ke
廠務管理組,chang'wu'guan'li'qu
廠務規劃組,chang'wu'gui'hua'qu
廠務課,chang'wu'ke
廠務企劃課,chang'wu'qi'hua'ke
廠務組,chang'wu'qu
廠務維護組,chang'wu'wei'hu'qu
廠務維修,chang'wu'wei'xiu
廠務維修組,chang'wu'wei'xiu'qu
廠務行政管理課,chang'wu'xing'zheng'guan'li'ke
超聲波清洗線,chao'sheng'bo'qing'xi'xian
超聲波制程開發組,chao'sheng'bo'zhi'cheng'kai'bo'qu
抄研究創造發明,chao'yan'jiu'chuang'zao'bo'ming
車保中心,che'bao'zhong'xin
車調管理組,che'diao'guan'li'qu
車調課,che'diao'ke
車調組,che'diao'qu
車調庶務組,che'diao'shu'wu'qu
車輛被備品管理組,che'liang'bei'bei'pin'guan'li'qu
車輛調度課,che'liang'diao'du'ke
車輛調度組,che'liang'diao'du'qu
車輛維修組,che'liang'wei'xiu'qu
成本,cheng'ben
成本費用管理流程組,cheng'ben'fei'yong'guan'li'liu'cheng'qu
成本分析管理組,cheng'ben'fen'xi'guan'li'qu
成本分析組,cheng'ben'fen'xi'qu
成本管控組,cheng'ben'guan'kong'qu
成本管理課,cheng'ben'guan'li'ke
成本管理組,cheng'ben'guan'li'qu
成本規劃課,cheng'ben'gui'hua'ke
成本規划組,cheng'ben'gui'hua'qu
成本及庫存管理課,cheng'ben'ji'ku'cun'guan'li'ke
成本組,cheng'ben'qu
成本線,cheng'ben'xian
成本與報價管理,cheng'ben'yu'bao'jia'guan'li
成本與報價管理組,cheng'ben'yu'bao'jia'guan'li'qu
成本賬務組,cheng'ben'zhang'wu'qu
成本帳務組,cheng'ben'zhang'wu'qu
成本中心,cheng'ben'zhong'xin
成功的人找方法,cheng'gong'de'ren'zhao'fang'fa
成功的途徑,cheng'gong'de'tu'jing
成功三部曲,cheng'gong'san'bu'qu
成品班,cheng'pin'ban
成品包裝,cheng'pin'bao'zhuang
成品包裝線,cheng'pin'bao'zhuang'xian
成品倉,cheng'pin'cang
成品倉儲管理組,cheng'pin'cang'chu'guan'li'qu
成品倉儲組,cheng'pin'cang'chu'qu
成品倉管理組,cheng'pin'cang'guan'li'qu
成品倉組,cheng'pin'cang'qu
成品倉諸專案,cheng'pin'cang'zhu'zhuan'an
成品出貨線,cheng'pin'chu'huo'xian
成品檢驗,cheng'pin'jian'yan
成品交貨組,cheng'pin'jiao'huo'qu
成品量試倉,cheng'pin'liang'shi'cang
成品組,cheng'pin'qu
成品入庫線,cheng'pin'ru'ku'xian
成品線,cheng'pin'xian
成品帳務組,cheng'pin'zhang'wu'qu
程設,cheng'she
程式開發組,cheng'shi'kai'bo'qu
程式組,cheng'shi'qu
程式製作,cheng'shi'zhi'zuo
程式製作維護組,cheng'shi'zhi'zuo'wei'hu'qu
成型,cheng'xing
成形,cheng'xing
成型倉管組,cheng'xing'cang'guan'qu
成型廠,cheng'xing'chang
成型改善組,cheng'xing'gai'shan'qu
成型機台操作,cheng'xing'ji'tai'cao'zuo
成型機台主機手,cheng'xing'ji'tai'zhu'ji'shou
成型技委會,cheng'xing'ji'wei'hui
成型課,cheng'xing'ke
成型模修課,cheng'xing'mo'xiu'ke
成型模具繪圖,cheng'xing'mu'ju'gui'tu
成型模具設計,cheng'xing'mu'ju'she'ji
成型模具維修,cheng'xing'mu'ju'wei'xiu
成型模具製造,cheng'xing'mu'ju'zhi'zao
成型品工組,cheng'xing'pin'gong'qu
成型品管課,cheng'xing'pin'guan'ke
成型品管組,cheng'xing'pin'guan'qu
成型品質工程課,cheng'xing'pin'zhi'gong'cheng'ke
成型組,cheng'xing'qu
成型設備維護組,cheng'xing'she'bei'wei'hu'qu
成型生產,cheng'xing'sheng'chan
成型生產部,cheng'xing'sheng'chan'bu
成型生產二部,cheng'xing'sheng'chan'er'bu
成型生產課,cheng'xing'sheng'chan'ke
成型生產組,cheng'xing'sheng'chan'qu
成型生產一部,cheng'xing'sheng'chan'yi'bu
成型生管,cheng'xing'sheng'guan
成型生管課,cheng'xing'sheng'guan'ke
成型生技組,cheng'xing'sheng'ji'qu
成型維護課,cheng'xing'wei'hu'ke
成型銑削加工組,cheng'xing'xi'xue'jia'gong'qu
成型研削加工組,cheng'xing'yan'xue'jia'gong'qu
成型作業,cheng'xing'zuo'ye
尺寸檢測組,chi'cun'jian'ce'qu
尺寸量測及量具管理課,chi'cun'liang'ce'ji'liang'ju'guan'li'ke
尺寸量測課,chi'cun'liang'ce'ke
尺寸量測組,chi'cun'liang'ce'qu
沖件開發,chong'jian'kai'bo
沖件開發課,chong'jian'kai'bo'ke
沖件零件倉儲組,chong'jian'ling'jian'cang'chu'qu
沖件品工課,chong'jian'pin'gong'ke
沖件企划部,chong'jian'qi'hua'bu
沖件制程開發組,chong'jian'zhi'cheng'kai'bo'qu
沖模服務課,chong'mo'fu'wu'ke
沖模技術服務課,chong'mo'ji'shu'fu'wu'ke
沖模技術支援組,chong'mo'ji'shu'zhi'yuan'qu
沖模開發部,chong'mo'kai'bo'bu
沖模開發處,chong'mo'kai'bo'chu
沖模開發課,chong'mo'kai'bo'ke
沖模組立課,chong'mo'qu'li'ke
沖模設計,chong'mo'she'ji
沖模設計部,chong'mo'she'ji'bu
沖模設計課,chong'mo'she'ji'ke
沖模設計與技術研發部,chong'mo'she'ji'yu'ji'shu'yan'bo'bu
沖模制造,chong'mo'zhi'zao
沖模制造部,chong'mo'zhi'zao'bu
沖模制造開發部,chong'mo'zhi'zao'kai'bo'bu
沖模制造課,chong'mo'zhi'zao'ke
沖型,chong'xing
沖型加工課,chong'xing'jia'gong'ke
沖型生技組,chong'xing'sheng'ji'qu
沖型整理,chong'xing'zheng'li
衝壓,chong'ya
沖壓,chong'ya
沖壓廠,chong'ya'chang
衝壓承接組,chong'ya'cheng'jie'qu
沖壓改善,chong'ya'gai'shan
沖壓技委會,chong'ya'ji'wei'hui
衝壓加工,chong'ya'jia'gong
沖壓加工二廠,chong'ya'jia'gong'er'chang
沖壓件組,chong'ya'jian'qu
沖壓課,chong'ya'ke
衝壓模具繪圖,chong'ya'mu'ju'gui'tu
衝壓模具設計,chong'ya'mu'ju'she'ji
衝壓模具維修,chong'ya'mu'ju'wei'xiu
衝壓模具製造,chong'ya'mu'ju'zhi'zao
沖壓模具中心,chong'ya'mu'ju'zhong'xin
沖壓品工,chong'ya'pin'gong
沖壓品管班,chong'ya'pin'guan'ban
沖壓品管薄材組,chong'ya'pin'guan'bo'cai'qu
沖壓品管厚材組,chong'ya'pin'guan'hou'cai'qu
衝壓品管課,chong'ya'pin'guan'ke
沖壓品管課,chong'ya'pin'guan'ke
沖壓品管課品管,chong'ya'pin'guan'ke'pin'guan
沖壓品管組,chong'ya'pin'guan'qu
沖壓企劃課,chong'ya'qi'hua'ke
沖壓清洗生管課,chong'ya'qing'xi'sheng'guan'ke
沖壓清洗生技課,chong'ya'qing'xi'sheng'ji'ke
沖壓組,chong'ya'qu
衝壓設備維護課,chong'ya'she'bei'wei'hu'ke
沖壓設備維護組,chong'ya'she'bei'wei'hu'qu
沖壓生產,chong'ya'sheng'chan
沖壓生產課,chong'ya'sheng'chan'ke
沖壓生管組,chong'ya'sheng'guan'qu
沖壓生技組,chong'ya'sheng'ji'qu
沖壓維護組,chong'ya'wei'hu'qu
沖壓制造處,chong'ya'zhi'zao'chu
出差支援組,chu'chai'zhi'yuan'qu
出貨包裝,chu'huo'bao'zhuang
出貨包裝部,chu'huo'bao'zhuang'bu
出貨管制,chu'huo'guan'zhi
出貨管制課,chu'huo'guan'zhi'ke
出貨檢包,chu'huo'jian'bao
出貨檢查課,chu'huo'jian'cha'ke
出貨組,chu'huo'qu
出口集拼倉儲組,chu'kou'ji'pin'cang'chu'qu
出口組,chu'kou'qu
出口退稅組,chu'kou'tui'shui'qu
出口文件組,chu'kou'wen'jian'qu
出口物流組,chu'kou'wu'liu'qu
除名,chu'ming
儲運,chu'yun
初中,chu'zhong
純廢水管理組,chun'fa'shui'guan'li'qu
辭退,ci'tui
辭職,ci'zhi
打包組,da'bao'qu
打標,da'biao
打標組,da'biao'qu
打標生技,da'biao'sheng'ji
打標線,da'biao'xian
大功,da'gong
大過,da'guo
打磨線,da'mo'xian
大網印,da'wang'yin
大網印貼膜線,da'wang'yin'tie'mo'xian
打樣組,da'yang'qu
大中華物流運籌規劃部,da'zhong'hua'wu'liu'yun'chou'gui'hua'bu
大專,da'zhuan
代班長,dai'ban'chang
待處理班,dai'chu'li'ban
代帶領班,dai'dai'ling'ban
代副課長,dai'fu'ke'chang
代副課長組長,dai'fu'ke'chang'qu'chang
