哀江头,ai'jiang'tou
解释春风无限恨,jie'shi'chun'feng'wu'xian'hen
借问汉宫谁得似,jie'wen'han'gong'shui'de'si
金昊,jin'hao
金阙西厢叩玉扃,jin'que'xi'xiang'kou'yu'jiong
尽日君王看不足,jin'ri'jun'wang'kan'bu'zu
金屋妆成娇侍夜,jin'wu'zhuang'cheng'jiao'shi'ye
惊鸿记,jing'hong'ji
惊鸿舞,jing'hong'wu
惊破霓裳羽衣曲,jing'po'ni'shang'yu'yi'qu
旌旗无光日色薄,jing'qi'wu'guang'ri'se'bo
景阳宫井又何人,jing'yang'gong'jing'you'he'ren
九重城阙烟尘生,jiu'chong'cheng'que'yan'chen'sheng
九华帐里梦魂惊,jiu'hua'zhang'li'meng'hun'jing
九龙汤,jiu'long'tang
旧唐书,jiu'tang'shu
君臣相顾尽沾衣,jun'chen'xiang'gu'jin'zhan'yi
君王掩面救不得,jun'wang'yan'mian'jiu'bu'de
开元,kai'yuan
开元盛世,kai'yuan'sheng'shi
开元之治,kai'yuan'zhi'zhi
可怜飞燕倚新妆,ke'lian'fei'yan'yi'xin'zhuang
可怜光彩生门户,ke'lian'guang'cai'sheng'men'hu
揽衣推枕起徘徊,lan'yi'tui'zhen'qi'pai'huai
李白,li'bai
李旦,li'dan
骊宫高处入青云,li'gong'gao'chu'ru'qing'yun
李光弼,li'guang'bi
李亨,li'heng
梨花一枝春带雨,li'hua'yi'zhi'chun'dai'yu
李隆基,li'long'ji
李瑁,li'mao
黎明,li'ming
李清,li'qing
李三郎,li'san'lang
骊山温泉,li'shan'wen'quan
骊山有感咏杨妃,li'shan'you'gan'yong'yang'fei
李商隐,li'shang'yin
李琬,li'wan
李宪,li'xian
李琰,li'yan
李瑛,li'ying
梨园,li'yuan
梨园弟子白发新,li'yuan'di'zi'bai'fa'xin
莲花汤,lian'hua'tang
两处茫茫皆不见,liang'chu'mang'mang'jie'bu'jian
晾发,liang'fa
凉发亭,liang'fa'ting
临别殷勤重寄词,lin'bie'yin'qin'chong'ji'ci
临邛道士,lin'qiong'dao'shi
临邛道士鸿都客,lin'qiong'dao'shi'hong'dou'ke
林则徐,lin'ze'xu
凌波曲,ling'bo'qu
六宫粉黛无颜色,liu'gong'fen'dai'wu'yan'se
六军不发无奈何,liu'jun'bu'fa'wu'nai'he
刘禹锡,liu'yu'xi
楼阁玲珑五云起,lou'ge'ling'long'wu'yun'qi
露浓笑,lu'nong'xiao
论诗词曲杂著,lun'shi'ci'qu'za'zhu
洛阳,luo'yang
落叶满阶红不扫,luo'ye'man'jie'hong'bu'sao
罗隐,luo'yin
马嵬坡,ma'wei'po
马嵬坡下泥土中,ma'wei'po'xia'ni'tu'zhong
马嵬事变,ma'wei'shi'bian
马嵬行,ma'wei'xing
马嵬驿,ma'wei'yi
梅妃,mei'fei
梅精,mei'jing
名花倾国两相欢,ming'hua'qing'guo'liang'xiang'huan
明皇,ming'huang
磨尘鉴,mo'chen'jian
能以精诚致魂魄,neng'yi'jing'cheng'zhi'hun'po
霓裳一曲千峰上,ni'chang'yi'qu'qian'feng'shang
霓裳羽衣曲,ni'shang'yu'yi'qu
霓裳羽衣舞,ni'shang'yu'yi'wu
娘子,niang'zi
宁静,ning'jing
宁王,ning'wang
凝脂胭华,ning'zhi'yan'hua
排空驭气奔如电,pai'kong'yu'qi'ben'ru'dian
裴力士,pei'li'shi
蓬莱宫中日月长,peng'lai'gong'zhong'ri'yue'chang
骠骑大将军,piao'qi'da'jiang'jun
蒲州永乐,pu'zhou'yong'le
齐国公,qi'guo'gong
七圣殿,qi'sheng'dian
七夕盟誓,qi'xi'meng'shi
七月七日长生殿,qi'yue'qi'ri'chang'sheng'dian
其中绰约多仙子,qi'zhong'chuo'yue'duo'xian'zi
千乘万骑西南行,qian'sheng'wan'qi'xi'nan'xing
秦国夫人,qin'guo'fu'ren
秦怡,qin'yi
勤政楼,qin'zheng'lou
清平词三首,qing'ping'ci'san'shou
清平调,qing'ping'diao
清平调词,qing'ping'diao'ci
清平调三首,qing'ping'diao'san'shou
秋雨梧桐叶落时,qiu'yu'wu'tong'ye'luo'shi
曲江,qu'jiang
全唐诗,quan'tang'shi
容州,rong'zhou
容州普宁县杨妃碑记,rong'zhou'pu'ning'xian'yang'fei'bei'ji
若非群玉山头见,ruo'fei'qun'yu'shan'tou'jian
三千宠爱,san'qian'chong'ai
三千宠爱在一身,san'qian'chong'ai'zai'yi'shen
三镇节度使,san'zhen'jie'du'shi
山顶千门次第开,shan'ding'qian'men'ci'di'kai
陕西华阴,shan'xi'hua'yin
山西永济,shan'xi'yong'ji
山在虚无缥缈间,shan'zai'xu'wu'piao'miao'jian
上穷碧落下黄泉,shang'qiong'bi'luo'xia'huang'quan
上阳东宫,shang'yang'dong'gong
邵力子,shao'li'zi
神鬼八阵图,shen'gui'ba'zhen'tu
盛唐,sheng'tang
升天入地求之遍,sheng'tian'ru'di'qiu'zhi'bian
圣武,sheng'wu
圣主朝朝暮暮情,sheng'zhu'zhao'zhao'mu'mu'qing
史朝义,shi'chao'yi
侍儿扶起娇无力,shi'er'fu'qi'jiao'wu'li
始是新承恩泽时,shi'shi'xin'cheng'en'ze'shi
史思明,shi'si'ming
寿王,shou'wang
寿王妃,shou'wang'fei
寿王府,shou'wang'fu
蜀江水碧蜀山青,shu'jiang'shui'bi'shu'shan'qing
数骑渔阳探使回,shu'qi'yu'yang'tan'shi'hui
蜀中,shu'zhong
蜀州,shu'zhou
蜀州司户,shu'zhou'si'hu
四川成都,si'chuan'cheng'du
遂教方士殷勤觅,sui'jiao'fang'shi'yin'qin'mi
遂令天下父母心,sui'ling'tian'xia'fu'mu'xin
睢阳之战,sui'yang'zhi'zhan
太清宫,tai'qing'gong
太上皇,tai'shang'huang
太尉,tai'wei
太液芙蓉未央柳,tai'ye'fu'rong'wei'yang'liu
太真,tai'zhen
太真阁胜景园,tai'zhen'ge'sheng'jing'yuan
太真宫,tai'zhen'gong
太真外传,tai'zhen'wai'zhuan
太真血染马蹄尽,tai'zhen'xue'ran'ma'ti'jin
唐朝,tang'chao
唐代宫廷,tang'dai'gong'ting
唐明皇,tang'ming'huang
唐明皇秋夜梧桐雨,tang'ming'huang'qiu'ye'wu'tong'yu
唐明皇与杨贵妃,tang'ming'huang'yu'yang'gui'fei
汤泉宫,tang'quan'gong
唐玄宗,tang'xuan'zong
唐玄宗贵妃杨氏墓,tang'xuan'zong'gui'fei'yang'shi'mu
唐杨氏贵妃之墓,tang'yang'shi'gui'fei'zhi'mu
天宝,tian'bao
天宝之乱,tian'bao'zhi'luan
天长地久有时尽,tian'chang'di'jiu'you'shi'jin
天上人间会相见,tian'shang'ren'jian'hui'xiang'jian
天生丽质难自弃,tian'sheng'li'zhi'nan'zi'qi
天师钟馗之杨贵妃,tian'shi'zhong'kui'zhi'yang'gui'fei
天下第一泉,tian'xia'di'yi'quan
天旋地转回龙驭,tian'xuan'di'zhuan'hui'long'yu
天子寻龙,tian'zi'xun'long
潼关,tong'guan
屠洪纲,tu'hong'gang
突厥,tu'jue
屠隆,tu'long
托君休洗莲花血,tuo'jun'xiu'xi'lian'hua'xue
万国笙歌醉太平,wan'guo'sheng'ge'zui'tai'ping
宛转蛾眉马前死,wan'zhuan'e'mei'ma'qian'si
王朝的女人,wang'chao'de'nv'ren
王朝的女人杨贵妃,wang'chao'de'nv'ren'yang'gui'fei
望春宫,wang'chun'gong
望湖楼,wang'hu'lou
魏方进,wei'fang'jin
为感君王辗转思,wei'gan'jun'wang'zhan'zhuan'si
韦见素,wei'jian'su
惟将旧物表深情,wei'jiang'jiu'wu'biao'shen'qing
韦昭训,wei'zhao'xun
闻道汉家天子使,wen'dao'han'jia'tian'zi'shi
温泉水滑洗凝脂,wen'quan'shui'hua'xi'ning'zhi
温庭筠,wen'ting'yun
文章,wen'zhang
吴刚,wu'gang
武惠妃,wu'hui'fei
舞霓裳,wu'ni'chang
舞破中原始下来,wu'po'zhong'yuan'shi'xia'lai
无人知是荔枝来,wu'ren'zhi'shi'li'zhi'lai
吴世美,wu'shi'mei
梧桐雨,wu'tong'yu
吴越,wu'yue
吴尊,wu'zun
西出都门百余里,xi'chu'dou'men'bai'yu'li
夕殿萤飞思悄然,xi'dian'ying'fei'si'qiao'ran
西宫南内多秋草,xi'gong'nan'nei'duo'qiu'cao
鲜荔枝,xian'li'zhi
先天,xian'tian
咸宜公主,xian'yi'gong'zhu
仙乐风飘处处闻,xian'yue'feng'piao'chu'chu'wen
相府,xiang'fu
新丰绿树起黄埃,xin'feng'lv'shu'qi'huang'ai
新唐书,xin'tang'shu
行宫见月伤心色,xing'gong'jian'yue'shang'xin'se
兴庆宫,xing'qing'gong
羞花,xiu'hua
玄宗回马杨妃死,xuan'zong'hui'ma'yang'fei'si
雪肤花貌参差是,xue'fu'hua'mao'cen'ci'shi
雪花娘,xue'hua'niang
雪花女,xue'hua'nv
燕政权,yan'zheng'quan
杨贵妃,yang'gui'fei
杨贵妃后传,yang'gui'fei'hou'zhuan
杨贵妃秘史,yang'gui'fei'mi'shi
杨贵妃墓,yang'gui'fei'mu
杨国忠,yang'guo'zhong
杨家有女初长成,yang'jia'you'nv'chu'zhang'cheng
杨令本,yang'ling'ben
杨尚希,yang'shang'xi
杨太真,yang'tai'zhen
杨太真红玉青,yang'tai'zhen'hong'yu'qing
杨太真外传,yang'tai'zhen'wai'zhuan
杨通幽,yang'tong'you
杨汪,yang'wang
杨暄,yang'xuan
杨玄珪,yang'xuan'gui
杨玄璬,yang'xuan'jiao
杨玄琰,yang'xuan'yan
杨玉,yang'yu
杨玉环,yang'yu'huan
养在深闺人未识,yang'zai'shen'gui'ren'wei'shi
杨钊,yang'zhao
杨真,yang'zhen
杨震,yang'zhen
杨志谦,yang'zhi'qian
杨仲昌,yang'zhong'chang
杨仲嗣,yang'zhong'si
夜半无人私语时,ye'ban'wu'ren'si'yu'shi
邺城之战,ye'cheng'zhi'zhan
掖廷,ye'ting
夜雨闻铃肠断声,ye'yu'wen'ling'chang'duan'sheng
一别音容两渺茫,yi'bie'yin'rong'liang'miao'mang
一斛珠,yi'hu'zhu
一骑红尘妃子笑,yi'ji'hong'chen'fei'zi'xiao
一品夫人,yi'pin'fu'ren
倚天楼殿月分明,yi'tian'lou'dian'yue'fen'ming
一朝选在君王侧,yi'zhao'xuan'zai'jun'wang'ce
一枝红艳露凝香,yi'zhi'hong'yan'lu'ning'xiang
益州大都督,yi'zhou'da'du'du
音律,yin'lv
鹦鹉冢,ying'wu'zhong
犹似霓裳羽衣舞,you'si'ni'shang'yu'yi'wu
右相,you'xiang
悠悠生死别经年,you'you'sheng'si'bie'jing'nian
玉环羞花,yu'huan'xiu'hua
玉楼宴罢醉和春,yu'lou'yan'ba'zui'he'chun
玉娘,yu'niang
玉奴,yu'nu
俞平伯,yu'ping'bo
玉容寂寞泪阑干,yu'rong'ji'mo'lei'lan'gan
渔阳鼙鼓动地来,yu'yang'pi'gu'dong'di'lai
御宇多年求不得,yu'yu'duo'nian'qiu'bu'de
御苑,yu'yuan
鸳鸯瓦冷霜华重,yuan'yang'wa'leng'shuang'hua'zhong
云鬓半偏新睡觉,yun'bin'ban'pian'xin'shui'jiao
云鬓花颜金步摇,yun'bin'hua'yan'jin'bu'yao
云想衣裳花想容,yun'xiang'yi'shang'hua'xiang'rong
云雨难忘日月新,yun'yu'nan'wang'ri'yue'xin
云雨巫山枉断肠,yun'yu'wu'shan'wang'duan'chang
云栈萦纡登剑阁,yun'zhan'ying'yu'deng'jian'ge
云中乱拍禄山舞,yun'zhong'luan'pai'lu'shan'wu
在地愿为连理枝,zai'di'yuan'wei'lian'li'zhi
在天愿作比翼鸟,zai'tian'yuan'zuo'bi'yi'niao
赠张云容舞,zeng'zhang'yun'rong'wu
长得君王带笑看,zhang'de'jun'wang'dai'xiao'kan
张韬光,zhang'tao'guang
张佑,zhang'you
赵长令,zhao'chang'ling
昭阳殿里恩爱绝,zhao'yang'dian'li'en'ai'jue
贞顺皇后,zhen'shun'huang'hou
郑畋,zheng'tian
终是圣明天子事,zhong'shi'sheng'ming'tian'zi'shi
中有一人字太真,zhong'you'yi'ren'zi'tai'zhen
珠箔银屏迤逦开,zhu'bo'yin'ping'yi'li'kai
转教小玉报双成,zhuan'jiao'xiao'yu'bao'shuang'cheng
姊妹弟兄皆列土,zi'mei'di'xiong'jie'lie'tu
紫玉笛,zi'yu'di
资治通鉴,zi'zhi'tong'jian
醉杨妃,zui'yang'fei
