啊阿下萨嘛哈,a'a'xia'sa'ma'ha
观音菩萨灭业障真言,guan'yin'pu'sa'mie'ye'zhang'zhen'yan
观音菩萨治病真言,guan'yin'pu'sa'zhi'bing'zhen'yan
光明真言,guang'ming'zhen'yan
黑财神咒,hei'cai'shen'zhou
红财神心咒,hong'cai'shen'xin'zhou
怀柔佛母咒,huai'rou'fo'mu'zhou
欢喜大悲咒,huan'xi'da'bei'zhou
黄财神咒,huang'cai'shen'zhou
吉祥偈,ji'xiang'ji
吉祥天母,ji'xiang'tian'mu
加持咒,jia'chi'zhou
金刚界大日如来心咒,jin'gang'jie'da'ri'ru'lai'xin'zhou
金刚萨埵心咒,jin'gang'sa'duo'xin'zhou
净土陀罗尼,jing'tu'tuo'luo'ni
九本尊心咒,jiu'ben'zun'xin'zhou
开经偈,kai'jing'ji
楞严咒,leng'yan'zhou
莲花生大师心咒,lian'hua'sheng'da'shi'xin'zhou
六道金刚咒,liu'dao'jin'gang'zhou
六字大明咒,liu'zi'da'ming'zhou
六字弥陀,liu'zi'mi'tuo
轮回,lun'hui
绿财神心咒,lv'cai'shen'xin'zhou
绿度母心咒,lv'du'mu'xin'zhou
嘛嘛郭林萨敏达,ma'ma'guo'lin'sa'min'da
梦幻人世间,meng'huan'ren'shi'jian
妙音天女心咒,miao'yin'tian'nv'xin'zhou
南无大势至菩萨摩诃萨,na'mo'da'shi'zhi'pu'sa'mo'he'sa
南无阿弥陀佛,na'mo'e'mi'tuo'fo
南无观世音菩萨摩诃萨,na'mo'guan'shi'yin'pu'sa'mo'he'sa
南无清净大海众菩萨摩诃萨,na'mo'qing'jing'da'hai'zhong'pu'sa'mo'he'sa
毗卢遮那佛咒,pi'lu'zhe'na'fo'zhou
普巴金剛,pu'ba'jin'gang
普巴金刚心咒梵唱,pu'ba'jin'gang'xin'zhou'fan'chang
七佛灭罪真言,qi'fo'mie'zui'zhen'yan
祈愿往生净土陀罗尼,qi'yuan'wang'sheng'jing'tu'tuo'luo'ni
千手千眼觀音大悲咒,qian'shou'qian'yan'guan'yin'da'bei'zhou
伽蓝尊者咒,qie'lan'zun'zhe'zhou
劝世佛歌,quan'shi'fo'ge
如来十号,ru'lai'shi'hao
如意宝轮王陀罗尼,ru'yi'bao'lun'wang'tuo'luo'ni
如意轮咒,ru'yi'lun'zhou
三宝歌,san'bao'ge
三世因果歌,san'shi'yin'guo'ge
善女天咒,shan'nv'tian'zhou
生命的禮物,sheng'ming'de'li'wu
释迦牟尼佛灭一切恶趣王咒,shi'jia'mou'ni'fo'mie'yi'qie'e'qu'wang'zhou
释迦牟尼佛心咒,shi'jia'mou'ni'fo'xin'zhou
时轮金刚心咒,shi'lun'jin'gang'xin'zhou
十小咒,shi'xiao'zhou
十一面观音根本咒,shi'yi'mian'guan'yin'gen'ben'zhou
四臂观音六字大明咒,si'bi'guan'yin'liu'zi'da'ming'zhou
送别,song'bie
往生咒,wang'sheng'zhou
文殊八字咒,wen'shu'ba'zi'zhou
文殊菩萨心咒,wen'shu'pu'sa'xin'zhou
文殊一字咒,wen'shu'yi'zi'zhou
嗡阿吽班渣古鲁贝嘛悉地吽,weng'a'hong'ban'zha'gu'lu'bei'ma'xi'di'hong
嗡班渣尔萨埵吽,weng'ban'zha'er'sa'duo'hong
嗡嘟噜嘟噜渣雅穆克娑哈,weng'du'lu'du'lu'zha'ya'mu'ke'suo'ha
嗡嘛呢呗美吽,weng'ma'ne'bei'mei'hong
嗡清嘻惹渣吽,weng'qing'xi're'zha'hong
嗡三陀拉伽陀娑婆诃,weng'san'tuo'la'jia'tuo'suo'po'he
五会念佛,wu'hui'nian'fo
无量寿佛心咒,wu'liang'shou'fo'xin'zhou
无量寿如来陀罗尼,wu'liang'shou'ru'lai'tuo'luo'ni
西湖,xi'hu
心咒,xin'zhou
虚空藏菩萨真言,xu'kong'cang'pu'sa'zhen'yan
药师佛心咒,yao'shi'fo'xin'zhou
药师灌顶真言,yao'shi'guan'ding'zhen'yan
药师光如来心咒,yao'shi'guang'ru'lai'xin'zhou
药师琉璃光如来灌顶咒,yao'shi'liu'li'guang'ru'lai'guan'ding'zhou
叶衣佛母心咒,ye'yi'fo'mu'xin'zhou
缘悲藏,yuan'bei'cang
藏传大悲咒,zang'chuan'da'bei'zhou
治病真言,zhi'bing'zhen'yan
准提咒,zhun'ti'zhou
宗喀巴心咒,zong'ka'ba'xin'zhou
