阿茂,a'mao
鸡心柿,ji'xin'shi
鸡翼袖,ji'yi'xiu
鸡仔媒人,ji'zai'mei'ren
咭纸,ji'zhi
积滞,ji'zhi
假膊,jia'bo
夹档,jia'dang
架基冷,jia'ji'leng
夹衲,jia'na
家婆,jia'po
家山,jia'shan
家私,jia'si
夹万,jia'wan
间尺,jian'chi
枧粉,jian'fen
剑花,jian'hua
枧沙,jian'sha
见周公,jian'zhou'gong
箭猪,jian'zhu
尖嘴鸡,jian'zui'ji
姜芽,jiang'ya
脚坳,jiao'ao
脚板,jiao'ban
脚板底,jiao'ban'di
胶擦,jiao'ca
郊菜,jiao'cai
搅肠痧,jiao'chang'sha
脚肚,jiao'du
较飞,jiao'fei
胶箍,jiao'gu
脚骨,jiao'gu
脚瓜,jiao'gua
脚甲,jiao'jia
铰剪,jiao'jian
觉觉猪,jiao'jiao'zhu
姣婆,jiao'po
茭笋,jiao'sun
脚踏,jiao'ta
脚眼,jiao'yan
脚踭,jiao'zheng
脚趾罅,jiao'zhi'xia
街喉,jie'hou
芥兰,jie'lan
芥兰头,jie'lan'tou
喼纸,jie'zhi
金埕,jin'cheng
金鈪,jin'e
金牛,jin'niu
金钱龟,jin'qian'gui
金丝划,jin'si'hua
金塔,jin'ta
金银纸,jin'yin'zhi
襟章,jin'zhang
金猪,jin'zhu
金竹,jin'zhu
颈喉,jing'hou
镜架,jing'jia
颈渴,jing'ke
颈链,jing'lian
精仔,jing'zai
韭黄,jiu'huang
酒精灯,jiu'jing'deng
酒米,jiu'mi
舅仔,jiu'zai
舅仔鞋,jiu'zai'xie
焗炉,ju'lu
焗盅,ju'zhong
朘朘,juan'juan
莙荙菜,jun'da'cai
卡式机,ka'shi'ji
开裆裤,kai'dang'ku
开荒牛,kai'huang'niu
开胃,kai'wei
开心果,kai'xin'guo
冚床布,kan'chuang'bu
冚盅,kan'zhong
糠耳,kang'er
瞌眼昏,ke'yan'hun
口唇膏,kou'chun'gao
口淡,kou'dan
口干,kou'gan
口苦,kou'ku
口水花,kou'shui'hua
口水尾,kou'shui'wei
口嚡脷素,kou'xie'li'su
扣针,kou'zhen
口窒窒,kou'zhi'zhi
口盅,kou'zhong
苦瓜干,ku'gua'gan
裤脚,ku'jiao
裤头,ku'tou
裤头带,ku'tou'dai
葵扇,kui'shan
拉柴,la'chai
腊肠裤,la'chang'ku
拉臣,la'chen
濑尿虾,lai'niao'xia
烂喉痧,lan'hou'sha
烂昏,lan'hun
烂昏猪,lan'hun'zhu
烂口角,lan'kou'jue
懒佬椅,lan'lao'yi
烂生,lan'sheng
烂仔,lan'zai
唥钟,lang'zhong
老表,lao'biao
老衬,lao'chen
老虎乸,lao'hu'na
老虎蟹,lao'hu'xie
捞家,lao'jia
老举,lao'ju
捞佬,lao'lao
老懵懂,lao'meng'dong
老泥,lao'ni
老千,lao'qian
老亲,lao'qin
老鼠斑,lao'shu'ban
老兀兀,lao'wu'wu
老西,lao'xi
老行专,lao'xing'zhuan
叻币,le'bi
嘞革番薯,le'ge'fan'shu
叻女,le'nv
叻仔,le'zai
雷公,lei'gong
雷公蛇,lei'gong'she
擂棍,lei'gun
擂浆棍,lei'jiang'gun
冷紧,leng'jin
荔浦芋,li'pu'yu
笠衫,li'shan
厘士,li'shi
利是封,li'shi'feng
脷苔,li'tai
立体声,li'ti'sheng
莲花,lian'hua
链冚,lian'kan
莲藕,lian'ou
僆仔,lian'zai
两公婆,liang'gong'po
两撇鸡,liang'pie'ji
两头蛇,liang'tou'she
两仔乸,liang'zai'na
两仔爷,liang'zai'ye
寮屋,liao'wu
灵灰,ling'hui
菱角,ling'jiao
灵屋,ling'wu
流蚊饭,liu'wen'fan
龙趸,long'dun
龙牙蕉,long'ya'jiao
龙舟水,long'zhou'shui
漏口,lou'kou
辘架床,lu'jia'chuang
碌柚,lu'you
挛毛,luan'mao
乱葬岗,luan'zang'gang
论尽,lun'jin
萝卜头,luo'bo'tou
萝卜仔,luo'bo'zai
落膈,luo'ge
罗伞帐,luo'san'zhang
椤柚,luo'you
绿背,lv'bei
褛裙,lv'qun
马达,ma'da
马鲛郎,ma'jiao'lang
马经,ma'jing
马骝精,ma'liu'jing
孖女,ma'nv
麻雀,ma'que
孖生,ma'sheng
麻石,ma'shi
麻糖鸡,ma'tang'ji
马蹄,ma'ti
马伍,ma'wu
孖烟筒,ma'yan'tong
孖仔,ma'zai
马仔,ma'zai
马札,ma'zha
孖指,ma'zhi
盲肠炎,mang'chang'yan
盲公,mang'gong
盲公竹,mang'gong'zhu
芒萁,mang'qi
盲眼,mang'yan
冇饭瘾,mao'fan'yin
毛巾毡,mao'jin'zhan
茅寮,mao'liao
猫女,mao'nv
冇牙老虎,mao'ya'lao'hu
猫鱼,mao'yu
猫仔,mao'zai
茅竹,mao'zhu
霉黕亸,mei'dan'duo
煤气,mei'qi
煤气罐,mei'qi'guan
煤气喉,mei'qi'hou
煤碳屎,mei'tan'shi
门口狗,men'kou'gou
盟鼻,meng'bi
蒙查查,meng'cha'cha
掹姜,meng'jiang
猛人,meng'ren
咪高峰,mi'gao'feng
蜜蜡,mi'la
密实姑娘,mi'shi'gu'niang
咪头,mi'tou
咪纸,mi'zhi
面裤,mian'ku
棉衲,mian'na
面盆,mian'pen
面衫,mian'shan
棉胎,mian'tai
面珠墩,mian'zhu'dun
明虾,ming'xia
墨笔,mo'bi
墨超,mo'chao
摩罗叉,mo'luo'cha
墨水笔,mo'shui'bi
墨鱼,mo'yu
木栊,mu'long
木虱,mu'shi
木梳化,mu'shu'hua
乸形,na'xing
孻女,nai'nv
孻仔,nai'zai
男人婆,nan'ren'po
南枣,nan'zao
脑充血,nao'chong'xue
脑囟,nao'xin
泥水佬,ni'shui'lao
泥鸭,ni'ya
尿壶,niao'hu
拧螺,ning'luo
纽公,niu'gong
扭计师爷,niu'ji'shi'ye
扭计星,niu'ji'xing
纽门,niu'men
纽乸,niu'na
牛头裤,niu'tou'ku
牛油果,niu'you'guo
暖水壶,nuan'shui'hu
呕电,ou'dian
藕瓜,ou'gua
藕筒,ou'tong
沤仔婆,ou'zai'po
爬齿萝卜,pa'chi'luo'bo
怕丑草,pa'chou'cao
啪纽,pa'niu
拍檔,pai'dang
派士钵,pai'shi'bo
拍纸簿,pai'zhi'bu
棚寮,peng'liao
皮喼,pi'jie
啤酒肚,pi'jiu'du
啤梨,pi'li
脾胃,pi'wei
频婆,pin'po
婆孙,po'sun
坡纸,po'zhi
浦头,pu'tou
汽车大灯,qi'che'da'deng
乞嗤,qi'chi
契弟,qi'di
乞儿,qi'er
契家婆,qi'jia'po
骑喱,qi'li
骑咧,qi'lie
企领,qi'ling
蜞乸,qi'na
企身煲,qi'shen'bao
企身柜,qi'shen'gui
起水,qi'shui
企堂,qi'tang
起心,qi'xin
奇异果,qi'yi'guo
铅笔刨,qian'bi'bao
钱罂,qian'ying
桥凳,qiao'deng
荞头,qiao'tou
茄哩啡,qie'li'fei
揿钉,qin'ding
蠄蟧丝网,qin'liao'si'wang
青菜,qing'cai
青干,qing'gan
青口,qing'kou
青蛘,qing'yang
青竹蛇,qing'zhu'she
球证,qiu'zheng
屈头鸡,qu'tou'ji
雀仔,que'zi
裙褂,qun'gua
蚺蛇,ran'she
热痱,re'fei
热积,re'ji
热裤,re'ku
人板,ren'ban
人精,ren'jing
人渣,ren'zha
日字凳,ri'zi'deng
榕树须,rong'shu'xu
肉酸,rou'suan
肉蟹,rou'xie
入地金牛,ru'di'jin'niu
乳鸽,ru'ge
软脚蟹,ruan'jiao'xie
散春,san'chun
三姑六婆,san'gu'liu'po
三索线,san'suo'xian
散仔,san'zai
散纸,san'zhi
扫把,sao'ba
扫鼠,sao'shu
骚鼠,sao'shu
色狼,se'lang
森树,sen'shu
沙煲,sha'bao
沙煲罂罉,sha'bao'ying'cheng
沙蝉,sha'chan
沙虫,sha'chong
沙丁鱼,sha'ding'yu
沙发床,sha'fa'chuang
沙葛,sha'ge
沙冚,sha'kan
砂盆,sha'pen
沙虱,sha'shi
沙田柚,sha'tian'you
煞制,sha'zhi
纱纸,sha'zhi
山坟,shan'fen
骟鸡,shan'ji
山坑,shan'keng
闪靓,shan'liang
山窿,shan'long
山窿山罅,shan'long'shan'xia
山稔,shan'ren
山瑞,shan'rui
闪闪靓,shan'shan'liang
衫尾,shan'wei
商家佬,shang'jia'lao
绍菜,shao'cai
哨牙,shao'ya
蛇果,she'guo
猞猁眼,she'li'yan
摄青鬼,she'qing'gui
摄铁,she'tie
蛇脱,she'tuo
蛇王,she'wang
神经,shen'jing
神仙肚,shen'xian'du
神仙脚,shen'xian'jiao
身焮,shen'xin
神主牌,shen'zhu'pai
生虫,sheng'chong
生螆,sheng'ci
生螆猫,sheng'ci'mao
圣诞花,sheng'dan'hua
生飞螆,sheng'fei'ci
生勾勾,sheng'gou'gou
生积,sheng'ji
生鸡,sheng'ji
生猛,sheng'meng
升气球,sheng'qi'qiu
声沙,sheng'sha
生沙淋,sheng'sha'lin
生蛇,sheng'she
生鉎,sheng'sheng
生水,sheng'shui
生意人,sheng'yi'ren
生鱼,sheng'yu
生仔,sheng'zai
湿包,shi'bao
世伯,shi'bo
士钵裇,shi'bo'xu
湿柴,shi'chai
时辰钟,shi'chen'zhong
石春,shi'chun
失打,shi'da
士担,shi'dan
士的,shi'de
石蛤,shi'ge
饰柜,shi'gui
世界仔,shi'jie'zai
石螺,shi'luo
虱乸,shi'na
湿热,shi're
湿热菜,shi're'cai
屎塔,shi'ta
士挞胆,shi'ta'dan
屎眼,shi'yan
十月火归天,shi'yue'huo'gui'tian
湿滞,shi'zhi
手板,shou'ban
手板心,shou'ban'xin
手背,shou'bei
手抽,shou'chou
受得,shou'de
手鈪,shou'e
手骨,shou'gu
瘦骨仙,shou'gu'xian
手瓜,shou'gua
手甲,shou'jia
瘦马,shou'ma
手面,shou'mian
手信,shou'xin
寿星公,shou'xing'gong
手袖,shou'xiu
手眼,shou'yan
手踭,shou'zheng
手作仔,shou'zuo'zai
书虫,shu'chong
梳化,shu'hua
梳化椅,shu'hua'yi
叔记,shu'ji
疏堂,shu'tang
树头,shu'tou
薯头,shu'tou
叔仔,shu'zai
薯仔,shu'zai
树仔头,shu'zai'tou
衰公,shuai'gong
衰女,shuai'nv
衰婆,shuai'po
衰人,shuai'ren
衰神,shuai'shen
水煲,shui'bao
水草,shui'cao
水螆,shui'ci
水大,shui'da
水凼,shui'dang
水粉,shui'fen
水浮莲,shui'fu'lian
水干,shui'gan
水横枝,shui'heng'zhi
水喉,shui'hou
水喉通,shui'hou'tong
水喉制,shui'hou'zhi
水壶,shui'hu
水蛱蚱,shui'jia'zha
水铰剪,shui'jiao'jian
水客,shui'ke
水律,shui'lv
水黾,shui'min
水柿,shui'shi
水桶袋,shui'tong'dai
水线,shui'xian
水蟹,shui'xie
水鱼,shui'yu
水曱甴,shui'yue'you
思嗌,si'ai
死铲,si'chan
四方木,si'fang'mu
四方竹,si'fang'zhu
四脚蛇,si'jiao'she
四块半,si'kuai'ban
死女包,si'nv'bao
四人头,si'ren'tou
死人头,si'ren'tou
死蛇烂鳝,si'she'lan'shan
四眼妹,si'yan'mei
四眼田鸡,si'yan'tian'ji
松柴,song'chai
松蒿菜,song'hao'cai
松鸡仔,song'ji'zai
松毛,song'mao
粟米,su'mi
酸味草,suan'wei'cao
酸味仔,suan'wei'zai
蒜心,suan'xin
蒜子,suan'zi
随身带,sui'shen'dai
碎纸,sui'zhi
损手烂脚,sun'shou'lan'jiao
锁匙,suo'shi
缩头乌龟,suo'tou'wu'gui
挞沙鱼,ta'sha'yu
台布,tai'bu
太空褛,tai'kong'lv
台台凳凳,tai'tai'deng'deng
太子爷,tai'zi'ye
痰罐,tan'guan
摊直,tan'zhi
碳纸,tan'zhi
烫斗,tang'dou
唐蒿,tang'hao
螗蝞,tang'mei
塘虱,tang'shi
塘鱼,tang'yu
唐装衫,tang'zhuang'shan
藤喼,teng'jie
藤条,teng'tiao
锑煲,ti'bao
田鸡,tian'ji
甜尿,tian'niao
天然白虎汤,tian'ran'bai'hu'tang
条友,tiao'you
通胜,tong'sheng
通心菜,tong'xin'cai
童子鸡,tong'zi'ji
头壳,tou'ke
头壳顶,tou'ke'ding
头毛,tou'mao
头泥,tou'ni
头皮,tou'pi
土狗,tu'gou
土鲮鱼,tu'ling'yu
褪肠头,tui'chang'tou
吞那鱼,tun'na'yu
拖板,tuo'ban
佗表,tuo'biao
拖线,tuo'xian
瓦煲,wa'bao
瓦罉,wa'cheng
哇鬼,wa'gui
外家,wai'jia
外甥女,wai'sheng'nv
腕表,wan'biao
碗布,wan'bu
挽手,wan'shou
碗碗碟碟,wan'wan'die'die
丸仔,wan'zai
微菌,wei'jun
尾龙骨,wei'long'gu
为食,wei'shi
尾指,wei'zhi
蚊螆,wen'ci
蚊饭,wen'fan
文化衫,wen'hua'shan
揾周公,wen'zhou'gong
瓮缸,weng'gang
窝篮,wo'lan
唔哋醒,wu'di'xing
唔该,wu'gai
唔该晒,wu'gai'shai
乌龟,wu'gui
乌龙王,wu'long'wang
乌眉瞌睡,wu'mei'ke'shui
屋企,wu'qi
屋契,wu'qi
五筒柜,wu'tong'gui
乌头,wu'tou
乌蝇,wu'ying
五爪金龙,wu'zhao'jin'long
细豆芽菜,xi'dou'ya'cai
洗发精,xi'fa'jing
戏飞,xi'fei
细个,xi'ge
细鬼,xi'gui
细姐,xi'jie
西兰花,xi'lan'hua
细佬,xi'lao
细妹,xi'mei
戏桥,xi'qiao
西芹,xi'qin
洗衫枧,xi'shan'jian
细食,xi'shi
细细个,xi'xi'ge
西斜月,xi'xie'yue
西洋菜,xi'yang'cai
西纸,xi'zhi
戏子佬,xi'zi'lao
虾春,xia'chun
虾公,xia'gong
虾瘌,xia'la
虾毛,xia'mao
下爬,xia'pa
虾眼水,xia'yan'shui
蚬壳,xian'ke
咸粒,xian'li
线络,xian'luo
咸湿佬,xian'shi'lao
咸水鱼,xian'shui'yu
蚬鸭,xian'ya
香波,xiang'bo
香港脚,xiang'gang'jiao
香瓜,xiang'gua
香鸡,xiang'ji
香鸡脚,xiang'ji'jiao
香枧,xiang'jian
橡筋,xiang'jin
橡筋箍,xiang'jin'gu
香炉墩,xiang'lu'dun
香蕈,xiang'xun
香牙蕉,xiang'ya'jiao
小肠气,xiao'chang'qi
小学鸡,xiao'xue'ji
蟹爪笔,xie'zhua'bi
心肝椗,xin'gan'ding
信咭,xin'ji
心口,xin'kou
信肉,xin'rou
新闻纸,xin'wen'zhi
醒昏,xing'hun
行雷,xing'lei
杏领,xing'ling
行埋,xing'mai
须刨,xu'bao
裇衫,xu'shan
雪耳,xue'er
雪柜,xue'gui
雪蛤膏,xue'ha'gao
雪梨,xue'li
雪褛,xue'lv
学生哥,xue'sheng'ge
学生妹,xue'sheng'mei
牙擦仔,ya'ca'zai
鸭乸蹄,ya'na'ti
牙肉,ya'rou
牙软,ya'ruan
牙屎,ya'shi
哑仔,ya'zai
眼肚,yan'du
眼核,yan'he
烟灰罂,yan'hui'ying
烟灰盅,yan'hui'zhong
眼昏,yan'hun
眼架,yan'jia
眼镜髀,yan'jing'bi
眼眉跳,yan'mei'tiao
檐蛇,yan'she
眼屎,yan'shi
烟屎牙,yan'shi'ya
芫荽葱,yan'sui'cong
眼挑针,yan'tiao'zhen
眼尾,yan'wei
眼檐,yan'yan
眼影,yan'ying
烟仔,yan'zai
羊咩,yang'mie
羊咩须,yang'mie'xu
洋烛,yang'zhu
腰骨,yao'gu
药枧,yao'jian
腰围,yao'wei
椰菜,ye'cai
椰菜花,ye'cai'hua
爷孙,ye'sun
椰衣,ye'yi
夜游,ye'you
夜游鹤,ye'you'he
一哥,yi'ge
姨妈巾,yi'ma'jin
薏米,yi'mi
姨甥女,yi'sheng'nv
医生证明,yi'sheng'zheng'ming
姨仔,yi'zai
饮大咗,yin'da'zuo
银脚带,yin'jiao'dai
银稔,yin'ren
饮衫,yin'shan
印水纸,yin'shui'zhi
银芽,yin'ya
银仔,yin'zai
银纸,yin'zhi
有吖,you'a
油螆,you'ci
油耳,you'er
油麦菜,you'mai'cai
有身己,you'shen'ji
鱿鱼,you'yu
油脂装,you'zhi'zhuang
玉鈪,yu'e
瘀黑,yu'hei
雨褛,yu'lv
鱼茜,yu'qian
渔丝袋,yu'si'dai
鱼腥草,yu'xing'cao
怨痛,yuan'tong
