板块运动,ban'kuai'yun'dong
零漂改正,ling'piao'gai'zheng
卯酉圈,mao'you'quan
卯酉圈曲率半径,mao'you'quan'qu'lv'ban'jing
莫洛坚斯基理论,mo'luo'jian'si'ji'li'lun
莫洛竖斯基公式,mo'luo'shu'si'ji'gong'shi
拟稳平差,ni'wen'ping'cha
庞加莱改正,pang'jia'lai'gai'zheng
旁折光差,pang'zhe'guang'cha
偏近点角,pian'jin'dian'jiao
频偏,pin'pian
频漂,pin'piao
平差值,ping'cha'zhi
平衡潮,ping'heng'chao
平极,ping'ji
平近点角,ping'jin'dian'jiao
平均地球椭球,ping'jun'di'qiu'tuo'qiu
平均曲率半径,ping'jun'qu'lv'ban'jing
平均误差,ping'jun'wu'cha
平均运动,ping'jun'yun'dong
平时式时号,ping'shi'shi'shi'hao
平行圈,ping'xing'quan
平移参数,ping'yi'can'shu
铅垂线,qian'chui'xian
权,quan
权矩阵,quan'ju'zhen
权逆阵,quan'ni'zhen
权系数,quan'xi'shu
扰动位,rao'dong'wei
扰动重力,rao'dong'zhong'li
人仪差,ren'yi'cha
日月引力摄动,ri'yue'yin'li'she'dong
容许误差,rong'xu'wu'cha
三角测量,san'jiao'ce'liang
三角点,san'jiao'dian
三角高程测量,san'jiao'gao'cheng'ce'liang
三角高程网,san'jiao'gao'cheng'wang
三角锁,san'jiao'suo
三角网,san'jiao'wang
闪烁误差,shan'shuo'wu'cha
扇谐系数,shan'xie'xi'shu
摄动函数,she'dong'han'shu
摄动力,she'dong'li
甚长基线干涉测量,shen'chang'ji'xian'gan'she'ce'liang
时号,shi'hao
时号改正数,shi'hao'gai'zheng'shu
世界时,shi'jie'shi
世界重力基点,shi'jie'zhong'li'ji'dian
施赖伯全组合测角法,shi'lai'bo'quan'zu'he'ce'jiao'fa
受摄轨道,shou'she'gui'dao
收时,shou'shi
双频信标,shuang'pin'xin'biao
水平折光差,shui'ping'zhe'guang'cha
水准点,shui'zhun'dian
水准路线,shui'zhun'lu'xian
水准面,shui'zhun'mian
水准椭球,shui'zhun'tuo'qiu
瞬时极,shun'shi'ji
似大地水准面,si'da'di'shui'zhun'mian
斯托克斯公式,si'tuo'ke'si'gong'shi
斯托克斯理论,si'tuo'ke'si'li'lun
随机误差,sui'ji'wu'cha
塔尔科特测纬度法,ta'er'ke'te'ce'wei'du'fa
太阳光压摄动,tai'yang'guang'ya'she'dong
天顶距,tian'ding'ju
天球坐标系,tian'qiu'zuo'biao'xi
天文大地垂线偏差,tian'wen'da'di'chui'xian'pian'cha
天文大地网,tian'wen'da'di'wang
天文大地网平差,tian'wen'da'di'wang'ping'cha
天文点,tian'wen'dian
天文方位角,tian'wen'fang'wei'jiao
天文经度,tian'wen'jing'du
天文年历,tian'wen'nian'li
天文水准,tian'wen'shui'zhun
天文纬度,tian'wen'wei'du
天文重力水准,tian'wen'zhong'li'shui'zhun
天文坐标,tian'wen'zuo'biao
田谐系数,tian'xie'xi'shu
条件方程,tiao'jian'fang'cheng
条件平差,tiao'jian'ping'cha
同步观测,tong'bu'guan'ce
同步平面,tong'bu'ping'mian
图形权倒数,tu'xing'quan'dao'shu
椭球扁率,tuo'qiu'bian'lv
椭球长半径,tuo'qiu'chang'ban'jing
椭球面大地测量学,tuo'qiu'mian'da'di'ce'liang'xue
椭球偏心率,tuo'qiu'pian'xin'lv
伪距测量,wei'ju'ce'liang
维宁曼乃兹公式,wei'ning'man'nai'zi'gong'shi
卫星测高,wei'xing'ce'gao
卫星大地测量动力法,wei'xing'da'di'ce'liang'dong'li'fa
卫星大地测量几何法,wei'xing'da'di'ce'liang'ji'he'fa
卫星大地测量学,wei'xing'da'di'ce'liang'xue
卫星多普勒定位,wei'xing'duo'pu'le'ding'wei
卫星高度,wei'xing'gao'du
卫星跟踪卫星技术,wei'xing'gen'zong'wei'xing'ji'shu
卫星跟踪站,wei'xing'gen'zong'zhan
卫星共振分析,wei'xing'gong'zhen'fen'xi
卫星光行差,wei'xing'guang'xing'cha
卫星轨道,wei'xing'gui'dao
卫星轨道参数,wei'xing'gui'dao'can'shu
卫星轨道改进,wei'xing'gui'dao'gai'jin
卫星轨道根数,wei'xing'gui'dao'gen'shu
卫星轨道近地点,wei'xing'gui'dao'jin'di'dian
卫星轨道近地点幅角,wei'xing'gui'dao'jin'di'dian'fu'jiao
卫星轨道偏心率,wei'xing'gui'dao'pian'xin'lv
卫星轨道倾角,wei'xing'gui'dao'qing'jiao
卫星轨道升交点,wei'xing'gui'dao'sheng'jiao'dian
卫星轨道长半径,wei'xing'gui'dao'zhang'ban'jing
卫星过近地点时刻,wei'xing'guo'jin'di'dian'shi'ke
卫星激光测距,wei'xing'ji'guang'ce'ju
卫星三角测量,wei'xing'san'jiao'ce'liang
卫星射电干涉测量,wei'xing'she'dian'gan'she'ce'liang
卫星升交点赤经,wei'xing'sheng'jiao'dian'chi'jing
卫星相位差,wei'xing'xiang'wei'cha
卫星星下点,wei'xing'xing'xia'dian
卫星运动方程,wei'xing'yun'dong'fang'cheng
卫星重力梯度测量,wei'xing'zhong'li'ti'du'ce'liang
微重力测量,wei'zhong'li'ce'liang
稳健估计,wen'jian'gu'ji
误差方程,wu'cha'fang'cheng
误差放大因子,wu'cha'fang'da'yin'zi
误差检验,wu'cha'jian'yan
误差理论,wu'cha'li'lun
物理大地测量学,wu'li'da'di'ce'liang'xue
相对论改正,xiang'dui'lun'gai'zheng
相对重力测量,xiang'dui'zhong'li'ce'liang
相关平差,xiang'guan'ping'cha
相位滞后,xiang'wei'zhi'hou
协方差函数,xie'fang'cha'han'shu
协调世界时,xie'tiao'shi'jie'shi
协调世界时时号,xie'tiao'shi'jie'shi'shi'hao
星径曲率改正,xing'jing'qu'lv'gai'zheng
行星测量学,xing'xing'ce'liang'xue
序贯平差,xu'guan'ping'cha
旋转参数,xuan'zhuan'can'shu
一阶摄动,yi'jie'she'dong
引潮力,yin'chao'li
引潮位,yin'chao'wei
引力,yin'li
引力位,yin'li'wei
月面测量学,yue'mian'ce'liang'xue
运动方程分析解,yun'dong'fang'cheng'fen'xi'jie
运动方程数值解,yun'dong'fang'cheng'shu'zhi'jie
载荷潮,zai'he'chao
站心坐标系,zhan'xin'zuo'biao'xi
照相观测,zhao'xiang'guan'ce
真近点角,zhen'jin'dian'jiao
真误差,zhen'wu'cha
正常高,zheng'chang'gao
正常椭球,zheng'chang'tuo'qiu
正常引力位,zheng'chang'yin'li'wei
正常重力,zheng'chang'zhong'li
正常重力公式,zheng'chang'zhong'li'gong'shi
正常重力位,zheng'chang'zhong'li'wei
正常重力线,zheng'chang'zhong'li'xian
正高,zheng'gao
整体大地测量,zheng'ti'da'di'ce'liang
秩亏网平差,zhi'kui'wang'ping'cha
钟差,zhong'cha
重力,zhong'li
重力测量,zhong'li'ce'liang
重力潮汐改正,zhong'li'chao'xi'gai'zheng
重力垂线偏差,zhong'li'chui'xian'pian'cha
重力垂直梯度,zhong'li'chui'zhi'ti'du
重力点,zhong'li'dian
重力归算,zhong'li'gui'suan
重力基线,zhong'li'ji'xian
重力水平梯度,zhong'li'shui'ping'ti'du
重力梯度测量,zhong'li'ti'du'ce'liang
重力位,zhong'li'wei
重力异常,zhong'li'yi'chang
重力异常阶方差,zhong'li'yi'chang'jie'fang'cha
钟速,zhong'su
中天法,zhong'tian'fa
中央子午线,zhong'yang'zi'wu'xian
轴颈误差,zhou'jing'wu'cha
状态向量,zhuang'tai'xiang'liang
子午面,zi'wu'mian
子午圈,zi'wu'quan
子午圈曲率半径,zi'wu'quan'qu'lv'ban'jing
最小二乘法,zui'xiao'er'cheng'fa
最小二乘拟合推估法,zui'xiao'er'cheng'ni'he'tui'gu'fa
最小二乘配置法,zui'xiao'er'cheng'pei'zhi'fa
坐标方位角,zuo'biao'fang'wei'jiao
