暗血双卫,an'xue'shuang'wei
成败得失,cheng'bai'de'shi
成与败,cheng'yu'bai
赤灵猿猴,chi'ling'yuan'hou
痴情种,chi'qing'zhong
赤熊,chi'xiong
重生,chong'sheng
重生之始,chong'sheng'zhi'shi
除魔联盟,chu'mo'lian'meng
穿天诀,chuan'tian'jue
翠屏谷,cui'ping'gu
存乎一心,cun'hu'yi'xin
大巫师赫哲,da'wu'shi'he'zhe
大修罗眼,da'xiu'luo'yan
丹华山,dan'hua'shan
丹青剑侠许苍海,dan'qing'jian'xia'xu'cang'hai
丹心照日,dan'xin'zhao'ri
当挚爱之人远走,dang'zhi'ai'zhi'ren'yuan'zou
刀疤狼,dao'ba'lang
道非子,dao'fei'zi
道火三昧,dao'huo'san'mei
道家法诀,dao'jia'fa'jue
道家太玄裂天道,dao'jia'tai'xuan'lie'tian'dao
道邪残剑,dao'xie'can'jian
道园,dao'yuan
道园已灭,dao'yuan'yi'mie
等级,deng'ji
地二,di'er
地灵,di'ling
敌我互换,di'wo'hu'huan
敌我交锋,di'wo'jiao'feng
地邪煞夺魂鬼道,di'xie'sha'duo'hun'gui'dao
地阴天煞,di'yin'tian'sha
地阴现,di'yin'xian
地阴现世,di'yin'xian'shi
地阴邪恶,di'yin'xie'e
地阴邪灵,di'yin'xie'ling
定天宫主,ding'tian'gong'zhu
东海定天宫,dong'hai'ding'tian'gong
东海鬼谷深渊,dong'hai'gui'gu'shen'yuan
洞庭湖,dong'ting'hu
洞庭李铁拐,dong'ting'li'tie'guai
杜力,du'li
断眉剑尊,duan'mei'jian'zun
端木奇,duan'mu'qi
二转体,er'zhuan'ti
法果大师,fa'guo'da'shi
法济长老,fa'ji'zhang'lao
法戒大师,fa'jie'da'shi
法戒无相,fa'jie'wu'xiang
法轮大师,fa'lun'da'shi
法普长老,fa'pu'zhang'lao
法相长老,fa'xiang'zhang'lao
法性大师,fa'xing'da'shi
翻天诀,fan'tian'jue
方寸心间,fang'cun'xin'jian
方星,fang'xing
飞仙诀,fei'xian'jue
非祥即邪,fei'xiang'ji'xie
分合有数,fen'he'you'shu
焚天,fen'tian
分云诀,fen'yun'jue
风动天下,feng'dong'tian'xia
丰都鬼城,feng'du'gui'cheng
凤凰归巢,feng'huang'gui'chao
凤凰涅磐,feng'huang'nie'pan
凤凰山,feng'huang'shan
凤凰书院,feng'huang'shu'yuan
风雷真诀,feng'lei'zhen'jue
风雷真君,feng'lei'zhen'jun
凤舞九天,feng'wu'jiu'tian
封印,feng'yin
风远扬,feng'yuan'yang
风云百变身法,feng'yun'bai'bian'shen'fa
佛光普照,fo'guang'pu'zhao
佛火大日,fo'huo'da'ri
佛火难渡,fo'huo'nan'du
佛魔由心,fo'mo'you'xin
佛圣道仙,fo'sheng'dao'xian
佛宗法诀,fo'zong'fa'jue
佛宗心剑无痕,fo'zong'xin'jian'wu'hen
伏龙谷,fu'long'gu
附体,fu'ti
浮云山,fu'yun'shan
高手,gao'shou
各显威严,ge'xian'wei'yan
怪人师傅,guai'ren'shi'fu
关帝山,guan'di'shan
关山岭,guan'shan'ling
鬼兵,gui'bing
鬼刀将军,gui'dao'jiang'jun
归凤山,gui'feng'shan
鬼海三大凶物,gui'hai'san'da'xiong'wu
鬼将,gui'jiang
鬼临人间,gui'lin'ren'jian
鬼灵,gui'ling
龟灵尊者,gui'ling'zun'zhe
鬼魅,gui'mei
鬼神阻,gui'shen'zu
鬼帅,gui'shuai
鬼帅幻魅,gui'shuai'huan'mei
鬼帅无魄,gui'shuai'wu'po
鬼帅阴历,gui'shuai'yin'li
鬼王,gui'wang
鬼物,gui'wu
归无道长,gui'wu'dao'zhang
鬼舞化魂,gui'wu'hua'hun
鬼无颜,gui'wu'yan
鬼仙,gui'xian
归仙,gui'xian
鬼域,gui'yu
鬼域法诀,gui'yu'fa'jue
鬼域三大凶煞,gui'yu'san'da'xiong'sha
鬼域十三煞邪,gui'yu'shi'san'sha'xie
归于虚无,gui'yu'xu'wu
鬼域之旅,gui'yu'zhi'lv
鬼宗化魂大法,gui'zong'hua'hun'da'fa
还虚,hai'xu
海域,hai'yu
海域阵法,hai'yu'zhen'fa
海域之秘,hai'yu'zhi'mi
寒若华,han'ruo'hua
寒鹰,han'ying
浩劫乾坤,hao'jie'qian'kun
浩气长存,hao'qi'chang'cun
浩然山河,hao'ran'shan'he
浩然天罡,hao'ran'tian'gang
浩然正气,hao'ran'zheng'qi
浩天府,hao'tian'fu
浩天府主文不名,hao'tian'fu'zhu'wen'bu'ming
浩云居士,hao'yun'ju'shi
何处寻,he'chu'xun
何人知晓,he'ren'zhi'xiao
黑暗界,hei'an'jie
黑暗星空,hei'an'xing'kong
黑暗尊主,hei'an'zun'zhu
黑海,hei'hai
黑河刀无敌,hei'he'dao'wu'di
黑河鬼王,hei'he'gui'wang
黑河间,hei'he'jian
黑河间锁魂井,hei'he'jian'suo'hun'jing
黑莲,hei'lian
黑魔岭,hei'mo'ling
黑魔神,hei'mo'shen
黑煞虎王,hei'sha'hu'wang
黑煞剑魂,hei'sha'jian'hun
黑煞术,hei'sha'shu
黑水尊者,hei'shui'zun'zhe
黑域秘境,hei'yu'mi'jing
红海,hong'hai
红霞岭,hong'xia'ling
红叶岭,hong'ye'ling
红云古洞,hong'yun'gu'dong
红云老祖,hong'yun'lao'zu
红云太子,hong'yun'tai'zi
后人评述,hou'ren'ping'shu
后羿临天,hou'yi'lin'tian
护教长老,hu'jiao'zhang'lao
化魂池底碑文,hua'hun'chi'di'bei'wen
化魂池守护阵法,hua'hun'chi'shou'hu'zhen'fa
化魂大法,hua'hun'da'fa
华山,hua'shan
华山之上,hua'shan'zhi'shang
幻兽洞天,huan'shou'dong'tian
黄天,huang'tian
黄天之母,huang'tian'zhi'mu
黄土高原,huang'tu'gao'yuan
慧觉神尼,hui'jue'shen'ni
毁灭之端,hui'mie'zhi'duan
灰山黑熊,hui'shan'hei'xiong
回首处,hui'shou'chu
慧一,hui'yi
浑沌魔脑,hun'dun'mo'nao
火狐媚儿,huo'hu'mei'er
火灵神猿,huo'ling'shen'yuan
祸乱人间,huo'luan'ren'jian
或许传说,huo'xu'chuan'shuo
火焰山,huo'yan'shan
火云,huo'yun
火云诀,huo'yun'jue
极北,ji'bei
极北三大秘派,ji'bei'san'da'mi'pai
几番起伏,ji'fan'qi'fu
祭符,ji'fu
寂灭禅主,ji'mie'chan'zhu
寂灭重生,ji'mie'chong'sheng
剑诀,jian'jue
奸商贾正,jian'shang'jia'zheng
剑无尘,jian'wu'chen
尖嘴,jian'zui
蒋国彬,jiang'guo'bin
江南才子,jiang'nan'cai'zi
江天九,jiang'tian'jiu
戒禅,jie'chan
金笛芙蓉郭巧丽,jin'di'fu'rong'guo'qiao'li
金洞,jin'dong
金刚圣佛,jin'gang'sheng'fo
金魂,jin'hun
金剑客,jin'jian'ke
金炼,jin'lian
金石,jin'shi
今世现,jin'shi'xian
金天,jin'tian
金长老,jin'zhang'lao
经脉,jing'mai
惊天之战,jing'tian'zhi'zhan
静月大师,jing'yue'da'shi
九大巫师,jiu'da'wu'shi
九宫剑阵,jiu'gong'jian'zhen
九华山,jiu'hua'shan
九江,jiu'jiang
九天虚无界,jiu'tian'xu'wu'jie
九头蛇,jiu'tou'she
九玄定天阵,jiu'xuan'ding'tian'zhen
九阴地灵散仙,jiu'yin'di'ling'san'xian
九阴门,jiu'yin'men
九阴女绿蛾,jiu'yin'nv'lv'e
九阴圣母,jiu'yin'sheng'mu
九幽晶兰,jiu'you'jing'lan
九幽令主,jiu'you'ling'zhu
九幽凝魂大法,jiu'you'ning'hun'da'fa
九幽摄魂术,jiu'you'she'hun'shu
九幽使者,jiu'you'shi'zhe
九幽玄冥洞府,jiu'you'xuan'ming'dong'fu
九转命,jiu'zhuan'ming
九转无极,jiu'zhuan'wu'ji
聚灵,ju'ling
巨灵魔煞,ju'ling'mo'sha
聚天灵诀,ju'tian'ling'jue
绝命刀客,jue'ming'dao'ke
绝神灭仙阵,jue'shen'mie'xian'zhen
绝天大峡谷,jue'tian'da'xia'gu
绝阴谷,jue'yin'gu
绝阴谷妖月洞天,jue'yin'gu'yao'yue'dong'tian
君不悔,jun'bu'hui
坎坷之途,kan'ke'zhi'tu
空间跳跃,kong'jian'tiao'yue
空灵鸟,kong'ling'niao
枯木尊者,ku'mu'zun'zhe
坤院,kun'yuan
泪几许,lei'ji'xu
雷神诀,lei'shen'jue
冷残缺,leng'can'que
冷家豪,leng'jia'hao
李长河,li'chang'he
厉鬼炼神大法,li'gui'lian'shen'da'fa
离恨天宫,li'hen'tian'gong
离恨天宫使者,li'hen'tian'gong'shi'zhe
离恨天尊,li'hen'tian'zun
李宏飞,li'hong'fei
李明,li'ming
利器虽坚,li'qi'sui'jian
李玄风,li'xuan'feng
李云龙,li'yun'long
炼魂大法,lian'hun'da'fa
炼魂洞天,lian'hun'dong'tian
炼魂四使,lian'hun'si'shi
炼器,lian'qi
炼心除恶,lian'xin'chu'e
两极空间,liang'ji'kong'jian
梁山,liang'shan
烈火灵叟,lie'huo'ling'sou
烈火天罡剑诀,lie'huo'tian'gang'jian'jue
烈火五灵剑阵,lie'huo'wu'ling'jian'zhen
烈日龙枪,lie'ri'long'qiang
裂山诀,lie'shan'jue
临尘诀,lin'chen'jue
林云枫,lin'yun'feng
灵豹尊者,ling'bao'zun'zhe
灵风,ling'feng
凌天,ling'tian
凌云天剑,ling'yun'tian'jian
灵尊,ling'zun
六盘水,liu'pan'shui
柳星魂,liu'xing'hun
六院,liu'yuan
六院风云,liu'yuan'feng'yun
六院聚,liu'yuan'ju
六院联盟,liu'yuan'lian'meng
六院烟灭,liu'yuan'yan'mie
六园烟灭后,liu'yuan'yan'mie'hou
六转气,liu'zhuan'qi
龙魔战线,long'mo'zhan'xian
庐山不归路,lu'shan'bu'gui'lu
陆文宇,lu'wen'yu
陆云,lu'yun
陆云法诀,lu'yun'fa'jue
轮回百世,lun'hui'bai'shi
轮回重现,lun'hui'chong'xian
轮回转,lun'hui'zhuan
洛阳城,luo'yang'cheng
绿袍双煞,lv'pao'shuang'sha
绿莹,lv'ying
绿竹翁,lv'zhu'weng
迷人心眼,mi'ren'xin'yan
迷失森林,mi'shi'sen'lin
灭魂刀,mie'hun'dao
灭魂刀法,mie'hun'dao'fa
灭神殿,mie'shen'dian
灭神剑,mie'shen'jian
灭神剑诀,mie'shen'jian'jue
灭神诀,mie'shen'jue
灭天诀,mie'tian'jue
冥界,ming'jie
鸣萧阁,ming'xiao'ge
鸣萧阁主,ming'xiao'ge'zhu
命运之轮终于开始转动,ming'yun'zhi'lun'zhong'yu'kai'shi'zhuan'dong
命运之钥,ming'yun'zhi'yao
漠北天星客,mo'bei'tian'xing'ke
魔刀流星,mo'dao'liu'xing
魔刀屠神,mo'dao'tu'shen
魔佛,mo'fo
魔幻界,mo'huan'jie
魔幻尊主,mo'huan'zun'zhu
魔金尊者,mo'jin'zun'zhe
魔灵,mo'ling
魔龙出,mo'long'chu
魔乱天下,mo'luan'tian'xia
魔门已现,mo'men'yi'xian
魔灭其心,mo'mie'qi'xin
魔煞,mo'sha
魔神,mo'shen
魔神残无月,mo'shen'can'wu'yue
魔神寒星,mo'shen'han'xing
魔神屠灭,mo'shen'tu'mie
魔神啸风,mo'shen'xiao'feng
魔神炎血,mo'shen'yan'xue
魔神夜魅,mo'shen'ye'mei
魔神斩玉,mo'shen'zhan'yu
魔神炙天,mo'shen'zhi'tian
魔神宗,mo'shen'zong
魔天界,mo'tian'jie
摩天岭,mo'tian'ling
魔天尊主,mo'tian'zun'zhu
魔童瑶光,mo'tong'yao'guang
魔陀,mo'tuo
魔王复出,mo'wang'fu'chu
魔王甲现,mo'wang'jia'xian
魔物,mo'wu
魔仙,mo'xian
魔心乱志,mo'xin'luan'zhi
魔影千幻,mo'ying'qian'huan
魔域,mo'yu
魔域法诀,mo'yu'fa'jue
魔域冷宿,mo'yu'leng'su
魔域血界,mo'yu'xue'jie
魔云神兽,mo'yun'shen'shou
魔宗心欲无痕,mo'zong'xin'yu'wu'hen
魔尊,mo'zun
木华,mu'hua
奈何现,nai'he'xian
南海,nan'hai
南海琉璃宫,nan'hai'liu'li'gong
南荒莽龙九缺老怪,nan'huang'mang'long'jiu'que'lao'guai
南疆,nan'jiang
南疆三大门派,nan'jiang'san'da'men'pai
逆天九转,ni'tian'jiu'zhuan
逆天途,ni'tian'tu
逆天相逢,ni'tian'xiang'feng
逆天之命,ni'tian'zhi'ming
逆天之子,ni'tian'zhi'zi
逆天终现,ni'tian'zhong'xian
逆天子,ni'tian'zi
逆转天轮,ni'zhuan'tian'lun
凝香,ning'xiang
怒火尊者,nu'huo'zun'zhe
怒斩荆,nu'zhan'jing
欧阳云天,ou'yang'yun'tian
抛却过往,pao'que'guo'wang
霹雳雷豹,pi'li'lei'bao
飘香,piao'xiang
破天诀,po'tian'jue
菩提落叶,pu'ti'luo'ye
菩提学院,pu'ti'xue'yuan
奇峰岭,qi'feng'ling
七海,qi'hai
七界传说,qi'jie'chuan'shuo
七界风波,qi'jie'feng'bo
七界归无,qi'jie'gui'wu
七界浩劫,qi'jie'hao'jie
七界哭,qi'jie'ku
七界连通,qi'jie'lian'tong
七界始乱,qi'jie'shi'luan
七界无,qi'jie'wu
七界争雄,qi'jie'zheng'xiong
棋局,qi'ju
其他门派,qi'ta'men'pai
七星倒转,qi'xing'dao'zhuan
七玄真人,qi'xuan'zhen'ren
泣血还魂大法,qi'xue'huan'hun'da'fa
泣血魔魅,qi'xue'mo'mei
泣血乾坤大法,qi'xue'qian'kun'da'fa
七叶真人,qi'ye'zhen'ren
其缘难定,qi'yuan'nan'ding
七转魂,qi'zhuan'hun
千幻鬼魈,qian'huan'gui'xiao
千幻岭,qian'huan'ling
千魂灭神之术,qian'hun'mie'shen'zhi'shu
乾坤玉壁,qian'kun'yu'bi
千年浩劫,qian'nian'hao'jie
千年基业一朝飞灰,qian'nian'ji'ye'yi'zhao'fei'hui
千年易园,qian'nian'yi'yuan
千山,qian'shan
千世爱,qian'shi'ai
千世封印,qian'shi'feng'yin
千世劫,qian'shi'jie
千世轮回定,qian'shi'lun'hui'ding
千世血咒,qian'shi'xue'zhou
千世缘,qian'shi'yuan
千星夺魄阵,qian'xing'duo'po'zhen
千妖灭神阵,qian'yao'mie'shen'zhen
千影血魅,qian'ying'xue'mei
乾院,qian'yuan
乾元真人,qian'yuan'zhen'ren
千重斩,qian'zhong'zhan
巧手郎君,qiao'shou'lang'jun
秦川,qin'chuan
情变华山,qing'bian'hua'shan
青儿,qing'er
青锋,qing'feng
清风道长,qing'feng'dao'zhang
清木道长,qing'mu'dao'zhang
青巫大圣,qing'wu'da'sheng
青巫二圣,qing'wu'er'sheng
青巫老三,qing'wu'lao'san
青巫三圣,qing'wu'san'sheng
清虚道长,qing'xu'dao'zhang
青竹阵,qing'zhu'zhen
驱妖逐魔,qu'yao'zhu'mo
去与不去都是同样的结局,qu'yu'bu'qu'dou'shi'tong'yang'de'jie'ju
染尘缘,ran'chen'yuan
燃灯佛印,ran'deng'fo'yin
燃灯古佛预,ran'deng'gu'fo'yu
燃灯古寺,ran'deng'gu'si
人间界,ren'jian'jie
人间阵法,ren'jian'zhen'fa
人三,ren'san
人生如棋,ren'sheng'ru'qi
人邪煞不死天童,ren'xie'sha'bu'si'tian'tong
肉身,rou'shen
儒家法诀,ru'jia'fa'jue
儒家浩然天罡,ru'jia'hao'ran'tian'gang
儒侠,ru'xia
儒园,ru'yuan
儒园难逃,ru'yuan'nan'tao
如云大师,ru'yun'da'shi
三才邪煞,san'cai'xie'sha
三大门派,san'da'men'pai
三大秘派,san'da'mi'pai
三大邪凶兵器,san'da'xie'xiong'bing'qi
三大幽灵使者,san'da'you'ling'shi'zhe
三大诅咒,san'da'zu'zhou
三间动荡,san'jian'dong'dang
三间七界,san'jian'qi'jie
三绝笔左毅,san'jue'bi'zuo'yi
三目灵羊,san'mu'ling'yang
三派避世,san'pai'bi'shi
三色幽兰,san'se'you'lan
三生情,san'sheng'qing
三使老大,san'shi'lao'da
三头灵蛇,san'tou'ling'she
散仙,san'xian
三眼龙狼,san'yan'long'lang
三转形,san'zhuan'xing
煞气盈头,sha'qi'ying'tou
杀人害己,sha'ren'hai'ji
煞血阎罗,sha'xue'yan'luo
善孽缘灭,shan'nie'yuan'mie
神兵利器,shen'bing'li'qi
神将,shen'jiang
神魔洞天,shen'mo'dong'tian
胜败一方,sheng'bai'yi'fang
生死间,sheng'si'jian
生死相随,sheng'si'xiang'sui
生死玄机,sheng'si'xuan'ji
生死之间,sheng'si'zhi'jian
胜者瞬间,sheng'zhe'shun'jian
胜者无笑,sheng'zhe'wu'xiao
十二神将,shi'er'shen'jiang
十二天王,shi'er'tian'wang
十二凶煞阵,shi'er'xiong'sha'zhen
师傅,shi'fu
十岭峰,shi'ling'feng
是孽是缘,shi'nie'shi'yuan
逝水流,shi'shui'liu
十万大山,shi'wan'da'shan
是为逆天,shi'wei'ni'tian
噬心剑,shi'xin'jian
师兄,shi'xiong
首席护法,shou'xi'hu'fa
首座,shou'zuo
孰是孰非,shu'shi'shu'fei
数世之后,shu'shi'zhi'hou
水晶天地,shui'jing'tian'di
水麒麟天王,shui'qi'lin'tian'wang
水麒麟天王玄夜,shui'qi'lin'tian'wang'xuan'ye
谁人抵挡,shui'ren'di'dang
谁人胜负,shui'ren'sheng'fu
谁笑苍穹,shui'xiao'cang'qiong
谁主沉浮,shui'zhu'chen'fu
瞬间转移大法,shun'jian'zhuan'yi'da'fa
瞬移法诀,shun'yi'fa'jue
四大绝地,si'da'jue'di
四大神将,si'da'shen'jiang
四大隐派,si'da'yin'pai
四大长老,si'da'zhang'lao
死海,si'hai
四灵群妖阵,si'ling'qun'yao'zhen
四灵神兽,si'ling'shen'shou
司徒晨风,si'tu'chen'feng
四象极煞之地,si'xiang'ji'sha'zhi'di
四转精,si'zhuan'jing
宋君力,song'jun'li
松林岗,song'lin'gang
宿命摆布,su'ming'bai'bu
宿命的相逢,su'ming'de'xiang'feng
宿命逢,su'ming'feng
宿命之子,su'ming'zhi'zi
宿世前定,su'shi'qian'ding
随心所欲,sui'xin'suo'yu
所向无匹,suo'xiang'wu'pi
太玄后山送仙岭,tai'xuan'hou'shan'song'xian'ling
太玄裂天剑诀,tai'xuan'lie'tian'jian'jue
太玄山,tai'xuan'shan
太玄山黄河之畔,tai'xuan'shan'huang'he'zhi'pan
太乙不灭心法,tai'yi'bu'mie'xin'fa
太阴蔽日,tai'yin'bi'ri
太阴即出,tai'yin'ji'chu
太阴既出,tai'yin'ji'chu
太阴逆转,tai'yin'ni'zhuan
太阴日,tai'yin'ri
太阴始出,tai'yin'shi'chu
太阴现,tai'yin'xian
太阴之后,tai'yin'zhi'hou
太阴之劫,tai'yin'zhi'jie
太阴之日,tai'yin'zhi'ri
太阴之日既出,tai'yin'zhi'ri'ji'chu
天残宗,tian'can'zong
天苍道长,tian'cang'dao'zhang
天苍山,tian'cang'shan
天痴道长,tian'chi'dao'zhang
天大阵,tian'da'zhen
天灯大师,tian'deng'da'shi
天地苍茫,tian'di'cang'mang
天地浩劫,tian'di'hao'jie
天地灵脉,tian'di'ling'mai
天地乱,tian'di'luan
天地门,tian'di'men
天地奇兽,tian'di'qi'shou
天地三大奇花,tian'di'san'da'qi'hua
天地同春,tian'di'tong'chun
天地万物,tian'di'wan'wu
天地无极,tian'di'wu'ji
天都峰,tian'dou'feng
天风洞,tian'feng'dong
天蛊门,tian'gu'men
天蛊门三使,tian'gu'men'san'shi
天浩道长,tian'hao'dao'zhang
天河群星阵,tian'he'qun'xing'zhen
天幻邪云,tian'huan'xie'yun
天火洞,tian'huo'dong
天火老祖,tian'huo'lao'zu
天剑洞,tian'jian'dong
天剑九诀,tian'jian'jiu'jue
天剑客慕容剑秋,tian'jian'ke'mu'rong'jian'qiu
天剑院,tian'jian'yuan
天剑院前掌教李长河,tian'jian'yuan'qian'zhang'jiao'li'chang'he
天剑折翅,tian'jian'zhe'chi
天绝邪神朱喜,tian'jue'xie'shen'zhu'xi
天绝斩法,tian'jue'zhan'fa
天狼谷,tian'lang'gu
天灵,tian'ling
天龙灵脉,tian'long'ling'mai
天魔教,tian'mo'jiao
天魔教祖师,tian'mo'jiao'zu'shi
天魔九变,tian'mo'jiu'bian
天穆风,tian'mu'feng
天鹏洞,tian'peng'dong
天禽仙宗,tian'qin'xian'zong
天煞出,tian'sha'chu
天煞厉魄,tian'sha'li'po
天煞临空,tian'sha'lin'kong
天煞凌空,tian'sha'ling'kong
天煞凄苦,tian'sha'qi'ku
天煞阴阳奇术,tian'sha'yin'yang'qi'shu
天宿道长,tian'su'dao'zhang
天外洞天,tian'wai'dong'tian
天下离,tian'xia'li
天下同归,tian'xia'tong'gui
天邪魔魂刀,tian'xie'mo'hun'dao
天邪刃,tian'xie'ren
天邪煞骷髅和尚,tian'xie'sha'ku'lou'he'shang
天邪宗,tian'xie'zong
天星灵脉,tian'xing'ling'mai
天玄洞,tian'xuan'dong
天妖,tian'yao
天一,tian'yi
天鹰洞,tian'ying'dong
天宇山,tian'yu'shan
天之都,tian'zhi'du
天之三界,tian'zhi'san'jie
天之三界法诀,tian'zhi'san'jie'fa'jue
天钟道长,tian'zhong'dao'zhang
铁竹锋,tie'zhu'feng
同归于尽,tong'gui'yu'jin
通灵鸟,tong'ling'niao
通灵之物,tong'ling'zhi'wu
徒弟,tu'di
屠龙门,tu'long'men
屠龙斩,tu'long'zhan
土魔尊,tu'mo'zun
屠天,tu'tian
万佛洞天,wan'fo'dong'tian
万佛宗,wan'fo'zong
万灵神殿,wan'ling'shen'dian
万灭古洞,wan'mie'gu'dong
万灭徒,wan'mie'tu
万灭相逢,wan'mie'xiang'feng
万灭祖,wan'mie'zu
万魔复苏,wan'mo'fu'su
万魔之刀,wan'mo'zhi'dao
万魔之王,wan'mo'zhi'wang
万物从头,wan'wu'cong'tou
万物皆显,wan'wu'jie'xian
万象玄尊,wan'xiang'xuan'zun
万元归一,wan'yuan'gui'yi
忘尘,wang'chen
忘尘道长,wang'chen'dao'zhang
亡魂血界,wang'hun'xue'jie
亡灵诅咒,wang'ling'zu'zhou
亡灵尊主,wang'ling'zun'zhu
忘却前事,wang'que'qian'shi
王学峰,wang'xue'feng
为红颜,wei'hong'yan
为人衣裳,wei'ren'yi'shang
文不名,wen'bu'ming
闻凤,wen'feng
文生,wen'sheng
五彩仙兰,wu'cai'xian'lan
五彩仙兰守护阵法,wu'cai'xian'lan'shou'hu'zhen'fa
五大洞天,wu'da'dong'tian
五大邪兵之主,wu'da'xie'bing'zhi'zhu
无魂鬼王,wu'hun'gui'wang
无魂间,wu'hun'jian
无魂间血池,wu'hun'jian'xue'chi
无魂阴罗,wu'hun'yin'luo
无间鬼煞,wu'jian'gui'sha
五雷正天诀,wu'lei'zheng'tian'jue
五派,wu'pai
五派六院,wu'pai'liu'yuan
无人可避,wu'ren'ke'bi
无人座,wu'ren'zuo
无人座行,wu'ren'zuo'xing
巫神,wu'shen
巫师,wu'shi
巫师火魅,wu'shi'huo'mei
巫师金石,wu'shi'jin'shi
巫师九野,wu'shi'jiu'ye
巫师青华,wu'shi'qing'hua
无妄,wu'wang
无为道派,wu'wei'dao'pai
无限延伸,wu'xian'yan'shen
无心,wu'xin
五行,wu'xing
五行大阵,wu'xing'da'zhen
五行剑法,wu'xing'jian'fa
五行门,wu'xing'men
五行七绝阵,wu'xing'qi'jue'zhen
五行真人,wu'xing'zhen'ren
五行尊者,wu'xing'zun'zhe
无欲则静,wu'yu'ze'jing
五转意,wu'zhuan'yi
巫族,wu'zu
巫族九大巫师,wu'zu'jiu'da'wu'shi
西海,xi'hai
西海银龙柳残红,xi'hai'yin'long'liu'can'hong
西山,xi'shan
西蜀剑阁,xi'shu'jian'ge
西蜀秦川,xi'shu'qin'chuan
西域不夜城,xi'yu'bu'ye'cheng
仙剑九元,xian'jian'jiu'yuan
仙剑门,xian'jian'men
仙霞岭,xian'xia'ling
相逢日,xiang'feng'ri
相见在人间,xiang'jian'zai'ren'jian
啸天,xiao'tian
啸月天狼,xiao'yue'tian'lang
邪兵,xie'bing
邪魔当道,xie'mo'dang'dao
邪器,xie'qi
邪心书生,xie'xin'shu'sheng
心禅不灭诀,xin'chan'bu'mie'jue
心儿,xin'er
心佛,xin'fo
心欲魔眼,xin'yu'mo'yan
星辉,xing'hui
星锁天元大法,xing'suo'tian'yuan'da'fa
修罗绝天阵,xiu'luo'jue'tian'zhen
修罗林中,xiu'luo'lin'zhong
修齐老道,xiu'qi'lao'dao
修真法诀,xiu'zhen'fa'jue
修真界五大邪魔,xiu'zhen'jie'wu'da'xie'mo
修真境界,xiu'zhen'jing'jie
修真门派,xiu'zhen'men'pai
修真十境,xiu'zhen'shi'jing
许洁,xu'jie
须弥山黑龙潭缥缈峰,xu'mi'shan'hei'long'tan'piao'miao'feng
虚无出,xu'wu'chu
虚无空痕,xu'wu'kong'hen
虚无令,xu'wu'ling
虚无令现,xu'wu'ling'xian
虚无天尊,xu'wu'tian'zun
旋风斧,xuan'feng'fu
旋风斧李云龙,xuan'feng'fu'li'yun'long
玄风门,xuan'feng'men
玄风特使,xuan'feng'te'shi
玄鬼真人,xuan'gui'zhen'ren
玄灵聚神诀,xuan'ling'ju'shen'jue
玄木大师,xuan'mu'da'shi
玄宿,xuan'su
玄天鉴,xuan'tian'jian
玄天剑阵,xuan'tian'jian'zhen
玄天镜,xuan'tian'jing
玄天镜内,xuan'tian'jing'nei
玄天神剑,xuan'tian'shen'jian
玄天之镜,xuan'tian'zhi'jing
玄心剑尊,xuan'xin'jian'zun
玄夜,xuan'ye
玄阴女白如霜,xuan'yin'nv'bai'ru'shuang
