阿忽令,a'hu'ling
帮人帮到底救人救个活,bang'ren'bang'dao'di'jiu'ren'jiu'ge'huo
棒头生孝子娇惯养逆儿,bang'tou'sheng'xiao'zi'jiao'guan'yang'ni'er
邦以民为本,bang'yi'min'wei'ben
宝贝疙瘩,bao'bei'ge'da
薄饼从上揭,bao'bing'cong'shang'jie
保得一人保不得一刀,bao'de'yi'ren'bao'bu'de'yi'dao
宝鼎篆烟埋,bao'ding'zhuan'yan'mai
保国莫若安民,bao'guo'mo'ruo'an'min
饱汉不知饿汉饥,bao'han'bu'zhi'e'han'ji
鲍焦,bao'jiao
鲍老儿,bao'lao'er
鲍老衮,bao'lao'gun
鲍老三台衮,bao'lao'san'tai'gun
宝颜堂秘笈,bao'yan'tang'mi'ji
宝月圆如镜,bao'yue'yuan'ru'jing
保重将息,bao'zhong'jiang'xi
包子有肉不在褶上,bao'zi'you'rou'bu'zai'zhe'shang
被儿底梦难成,bei'er'di'meng'nan'cheng
北京法源寺,bei'jing'fa'yuan'si
被师傅削去了头发,bei'shi'fu'xiao'qu'le'tou'fa
北宋词人,bei'song'ci'ren
北雁南飞,bei'yan'nan'fei
本朝四十九科矣,ben'chao'si'shi'jiu'ke'yi
本利对相思若不还,ben'li'dui'xiang'si'ruo'bu'hai
笨人先起身笨鸟早出林,ben'ren'xian'qi'shen'ben'niao'zao'chu'lin
本诗,ben'shi
本调煞,ben'tiao'sha
碧玻璃,bi'bo'li
碧波深处一时抛,bi'bo'shen'chu'yi'shi'pao
彼汾一曲,bi'fen'yi'qu
避虎狼,bi'hu'lang
碧鸡漫志,bi'ji'man'zhi
秕糠榨不出油来,bi'kang'zha'bu'chu'you'lai
闭口深藏舌安身处处牢,bi'kou'shen'cang'she'an'shen'chu'chu'lao
碧里杂存,bi'li'za'cun
碧潋瑶翻映歌扇,bi'lian'yao'fan'ying'ge'shan
碧纱窗外风弄雨昔留昔零打芭蕉,bi'sha'chuang'wai'feng'nong'yu'xi'liu'xi'ling'da'ba'jiao
碧纱窗外静无人,bi'sha'chuang'wai'jing'wu'ren
比上不足比下有余,bi'shang'bu'zu'bi'xia'you'yu
碧锁暮云间,bi'suo'mu'yun'jian
避席畏闻文字狱,bi'xi'wei'wen'wen'zi'yu
碧玉箫,bi'yu'xiao
碧云暮合,bi'yun'mu'he
碧云天,bi'yun'tian
鼻子大于脸,bi'zi'da'yu'lian
鼻子底下就是路,bi'zi'di'xia'jiu'shi'lu
便把贼来探,bian'ba'zei'lai'tan
编词条,bian'ci'tiao
便读草堂诗余,bian'du'cao'tang'shi'yu
便将小姐央,bian'jiang'xiao'jie'yang
遍体浑身都是毛,bian'ti'hun'shen'dou'shi'mao
弁言,bian'yan
便有那扁鹊来,bian'you'na'bian'que'lai
便重不便轻,bian'zhong'bu'bian'qing
便做陈抟睡不着,bian'zuo'chen'tuan'shui'bu'zhao
表壮不如里壮,biao'zhuang'bu'ru'li'zhuang
别来宽褪缕金衣,bie'lai'kuan'tui'lv'jin'yi
别离易,bie'li'yi
别情,bie'qing
别人吃馒头他管烧火,bie'ren'chi'man'tou'ta'guan'shao'huo
别时方知情重,bie'shi'fang'zhi'qing'zhong
鬓鸦,bin'ya
鬓云懒理松金凤,bin'yun'lan'li'song'jin'feng
兵不厌诈将贵知机,bing'bu'yan'zha'jiang'gui'zhi'ji
兵贵奇不贵众,bing'gui'qi'bu'gui'zhong
兵久则变生事苦则虑易,bing'jiu'ze'bian'sheng'shi'ku'ze'lv'yi
兵可千日而不用,bing'ke'qian'ri'er'bu'yong
兵来将迎水来土堰,bing'lai'jiang'ying'shui'lai'tu'yan
秉兰芳,bing'lan'fang
兵马未动粮草先行,bing'ma'wei'dong'liang'cao'xian'xing
兵强则灭木强则折,bing'qiang'ze'mie'mu'jiang'ze'zhe
病在膏肓怎疗治,bing'zai'gao'huang'zen'liao'zhi
拨不断,bo'bu'duan
播海令,bo'hai'ling
波静如横练,bo'jing'ru'heng'lian
薄媚,bo'mei
波面澄澄鸭绿添,bo'mian'cheng'cheng'ya'lu'tian
薄情忘却神前咒,bo'qing'wang'que'shen'qian'zhou
薄设设被儿单,bo'she'she'bei'er'dan
波涛如怒,bo'tao'ru'nu
跛者不忘履盲者不忘视,bo'zhe'bu'wang'lv'mang'zhe'bu'wang'shi
播种者胡适,bo'zhong'zhe'hu'shi
不挨骂长不大,bu'ai'ma'zhang'bu'da
不拜门,bu'bai'men
不比不知道一比吓一跳,bu'bi'bu'zhi'dao'yi'bi'xia'yi'tiao
不比等闲墙外花,bu'bi'deng'xian'qiang'wai'hua
步步娇,bu'bu'jiao
步蟾宫,bu'chan'gong
不承望今番又,bu'cheng'wang'jin'fan'you
不承望今番做的漏斗,bu'cheng'wang'jin'fan'zuo'de'lou'dou
不吃鱼口不腥,bu'chi'yu'kou'bu'xing
步春溪,bu'chun'xi
不打不骂是仇人,bu'da'bu'ma'shi'chou'ren
不打不骂是祸害,bu'da'bu'ma'shi'huo'hai
不达时皆笑屈原非,bu'da'shi'jie'xiao'qu'yuan'fei
不到黄河心不死,bu'dao'huang'he'xin'bu'si
捕得老鼠打破油瓮,bu'de'lao'shu'da'po'you'weng
不吊上也无一步远,bu'diao'shang'ye'wu'yi'bu'yuan
不放才郎夜看书,bu'fang'cai'lang'ye'kan'shu
不甫能盼的他来到,bu'fu'neng'pan'de'ta'lai'dao
不关情处也伤心,bu'guan'qing'chu'ye'shang'xin
不忽木,bu'hu'mu
不见棺材不掉泪,bu'jian'guan'cai'bu'diao'lei
不仅仅为了面包,bu'jin'jin'wei'le'mian'bao
卜金钱,bu'jin'qian
不可一日不备,bu'ke'yi'ri'bu'bei
布朗宁,bu'lang'ning
不理梁皇忏,bu'li'liang'huang'chan
不免插金钗,bu'mian'cha'jin'chai
不念法华经,bu'nian'fa'hua'jing
不怕骂就怕站,bu'pa'ma'jiu'pa'zhan
不怕明处枪和棍,bu'pa'ming'chu'qiang'he'gun
不怕贼偷就怕贼惦记,bu'pa'zei'tou'jiu'pa'zei'dian'ji
不强如西厢和月等,bu'qiang'ru'xi'xiang'he'yue'deng
不如归,bu'ru'gui
不识字烟波钓叟,bu'shi'zi'yan'bo'diao'sou
不受苦中苦难为人上人,bu'shou'ku'zhong'ku'nan'wei'ren'shang'ren
不说纣王无道,bu'shuo'zhou'wang'wu'dao
不似汉皋空解珮,bu'si'han'gao'kong'jie'pei
不索寻吴越,bu'suo'xun'wu'yue
不羡日夕佳,bu'xian'ri'xi'jia
不销魂怎得不销魂,bu'xiao'hun'zen'de'bu'xiao'hun
不信如今铁石心,bu'xin'ru'jin'tie'shi'xin
不醒时有甚思,bu'xing'shi'you'shen'si
不忆李暮偷曲去,bu'yi'li'mu'tou'qu'qu
不因酒困因诗困,bu'yin'jiu'kun'yin'shi'kun
不用当风立有麝自然香,bu'yong'dang'feng'li'you'she'zi'ran'xiang
不由人不断魂,bu'you'ren'bu'duan'hun
不在红娘下,bu'zai'hong'niang'xia
不遭人嫉是庸才,bu'zao'ren'ji'shi'yong'cai
不知天高地厚,bu'zhi'tian'gao'di'hou
不踬于山踬于垤,bu'zhi'yu'shan'zhi'yu'die
不知者不罪,bu'zhi'zhe'bu'zui
采茶歌,cai'cha'ge
才妇录,cai'fu'lu
才高必狂艺高必傲,cai'gao'bi'kuang'yi'gao'bi'ao
才郎一去信音疏,cai'lang'yi'qu'xin'yin'shu
菜里虫菜里死,cai'li'chong'cai'li'si
采菱人语隔秋烟,cai'ling'ren'yu'ge'qiu'yan
彩楼春,cai'lou'chun
彩袖不曾扶,cai'xiu'bu'ceng'fu
彩云扶下长生殿,cai'yun'fu'xia'chang'sheng'dian
财者食之源,cai'zhe'shi'zhi'yuan
财重六亲轻,cai'zhong'liu'qin'qing
残花酝酿蜂儿蜜,can'hua'yun'niang'feng'er'mi
惨乱旌旗指望贤,can'luan'jing'qi'zhi'wang'xian
蚕丝作茧自缚其身,can'si'zuo'jian'zi'fu'qi'shen
残霞在,can'xia'zai
仓廪实知礼节,cang'lin'shi'zhi'li'jie
藏一话腴,cang'yi'hua'yu
苍蝇不钻没缝儿的蛋,cang'ying'bu'zuan'mei'feng'er'de'dan
苍蝇偏向臭边飞,cang'ying'pian'xiang'chou'bian'fei
草池春,cao'chi'chun
曹光甫,cao'guang'fu
曹景行,cao'jing'xing
曹聚仁,cao'ju'ren
草堂诗余,cao'tang'shi'yu
草堂诗馀,cao'tang'shi'yu
草堂诗余别录,cao'tang'shi'yu'bie'lu
草堂诗余隽,cao'tang'shi'yu'juan
草堂诗余评林,cao'tang'shi'yu'ping'lin
草堂诗余续集,cao'tang'shi'yu'xu'ji
草堂诗余正集,cao'tang'shi'yu'zheng'ji
曹以斋,cao'yi'zhai
曹子真,cao'zi'zhen
侧耳听琴,ce'er'ting'qin
侧砖儿,ce'zhuan'er
参差竹笋抽簪,cen'ci'zhu'sun'chou'zan
岑嘉州诗笺注,cen'jia'zhou'shi'jian'zhu
曾得含饴弄,ceng'de'han'yi'nong
曾揆,ceng'kui
曾瑞,ceng'rui
曾与明皇捧砚来,ceng'yu'ming'huang'peng'yan'lai
茶饭未成,cha'fan'wei'cheng
插入概述,cha'ru'gai'shu
插入基本信息栏,cha'ru'ji'ben'xin'xi'lan
钗插凤凰金,chai'cha'feng'huang'jin
拆东墙补西墙,chai'dong'qiang'bu'xi'qiang
柴虎臣,chai'hu'chen
柴米油盐酱醋茶,chai'mi'you'yan'jiang'cu'cha
蟾宫曲,chan'gong'qu
馋口涎空咽,chan'kou'xian'kong'yan
蝉破庄周梦,chan'po'zhuang'zhou'meng
掺土也似姨夫斗侵,chan'tu'ye'si'yi'fu'dou'qin
颤巍巍插翠花,chan'wei'wei'cha'cui'hua
常被吟魂恼醉魂,chang'bei'yin'hun'nao'zui'hun
畅道引臂员扇,chang'dao'yin'bi'yuan'shan
长调官好做家常饭好吃,chang'diao'guan'hao'zuo'jia'chang'fan'hao'chi
畅哥,chang'ge
苌弘,chang'hong
长记承天门上宴,chang'ji'cheng'tian'men'shang'yan
长记上皇和泪听,chang'ji'shang'huang'he'lei'ting
肠里出来肠里热,chang'li'chu'lai'chang'li're
长使此心违,chang'shi'ci'xin'wei
长叹吁,chang'tan'xu
常相会,chang'xiang'hui
唱新行大德歌,chang'xin'hang'da'de'ge
长疑好事是虚事,chang'yi'hao'shi'shi'xu'shi
长醉后方何碍,chang'zui'hou'fang'he'ai
朝还暮,chao'hai'mu
朝来致有,chao'lai'zhi'you
朝里有人好做官,chao'li'you'ren'hao'zuo'guan
朝天子,chao'tian'zi
朝天子犯,chao'tian'zi'fan
朝元乐,chao'yuan'le
陈仓老米,chen'cang'lao'mi
陈草庵,chen'cao'an
陈谷子烂芝麻,chen'gu'zi'lan'zhi'ma
陈国宝,chen'guo'bao
陈继儒,chen'ji'ru
陈景沂,chen'jing'yi
陈老莲,chen'lao'lian
陈霆,chen'ting
陈廷焯,chen'ting'chao
尘土已消红粉艳,chen'tu'yi'xiao'hong'fen'yan
陈文茜四十岁寿诗,chen'wen'qian'si'shi'sui'shou'shi
陈无妄,chen'wu'wang
趁西风折桂枝,chen'xi'feng'zhe'gui'zhi
陈耀文,chen'yao'wen
陈以仁,chen'yi'ren
陈寅恪,chen'yin'que
陈郁,chen'yu
沉醉东风,chen'zui'dong'feng
澄澄水如蓝,cheng'cheng'shui'ru'lan
城狐不灌社鼠不熏,cheng'hu'bu'guan'she'shu'bu'xun
成就了风流喘豫章,cheng'jiu'le'feng'liu'chuan'yu'zhang
称了他风流愿,cheng'le'ta'feng'liu'yuan
城门失火殃及池鱼,cheng'men'shi'huo'yang'ji'chi'yu
成事不足败事有余,cheng'shi'bu'zu'bai'shi'you'yu
成双,cheng'shuang
成也萧何败也萧何,cheng'ye'xiao'he'bai'ye'xiao'he
成姻眷,cheng'yin'juan
成则为王败则为贼,cheng'ze'wei'wang'bai'ze'wei'zei
尺璧非宝寸阴是竞,chi'bi'fei'bao'cun'yin'shi'jing
吃饭防噎走路防跌,chi'fan'fang'ye'zou'lu'fang'die
痴汉不让人让人不痴汉,chi'han'bu'rang'ren'rang'ren'bu'chi'han
尺蠖之屈以求信也,chi'huo'zhi'qu'yi'qiu'xin'ye
池深一尺城高一丈,chi'shen'yi'chi'cheng'gao'yi'zhang
痴心女子负心汉,chi'xin'nv'zi'fu'xin'han
蚩尤,chi'you
吃纣王俸禄,chi'zhou'wang'feng'lu
丑陋的中国人研究,chou'lou'de'zhong'guo'ren'yan'jiu
仇人相见分外眼红,chou'ren'xiang'jian'fen'wai'yan'hong
丑如驴,chou'ru'lv
搊杀银筝字不真,chou'sha'yin'zheng'zi'bu'zhen
愁上更添愁,chou'shang'geng'tian'chou
愁则愁月缺花残,chou'ze'chou'yue'que'hua'can
初不羡鱼轩,chu'bu'xian'yu'xuan
处处有路透长安,chu'chu'you'lu'tou'chang'an
楚辞补注,chu'ci'bu'zhu
出队子,chu'dui'zi
出凤城闲游玩,chu'feng'cheng'xian'you'wan
雏凤清于老凤声,chu'feng'qing'yu'lao'feng'sheng
初嫁从亲再嫁由身,chu'jia'cong'qin'zai'jia'you'shen
出降,chu'jiang
楚江秋,chu'jiang'qiu
初交腊,chu'jiao'la
除了死法有活法,chu'le'si'fa'you'huo'fa
出门看天气进门看脸色,chu'men'kan'tian'qi'jin'men'kan'lian'se
出门三步远又是一层天,chu'men'san'bu'yuan'you'shi'yi'ceng'tian
初生牛犊不怕虎,chu'sheng'niu'du'bu'pa'hu
初生月儿,chu'sheng'yue'er
处事少时烦恼少,chu'shi'shao'shi'fan'nao'shao
楚天都市报,chu'tian'du'shi'bao
楚天秋,chu'tian'qiu
楚天遥,chu'tian'yao
出头椽子先烂,chu'tou'chuan'zi'xian'lan
楚王好细腰宫中多饿死,chu'wang'hao'xi'yao'gong'zhong'duo'e'si
初问口,chu'wen'kou
楚阳台朝暮云,chu'yang'tai'zhao'mu'yun
除一恶长十善,chu'yi'e'chang'shi'shan
川拨棹,chuan'bo'zhao
船不摇水不浑,chuan'bu'yao'shui'bu'hun
穿窗月,chuan'chuang'yue
船破又遇当头风,chuan'po'you'yu'dang'tou'feng
传统下的独白,chuan'tong'xia'de'du'bai
传语风光莫流转,chuan'yu'feng'guang'mo'liu'zhuan
窗儿上一枝梅弄影,chuang'er'shang'yi'zhi'mei'nong'ying
床头吵架床尾和,chuang'tou'chao'jia'chuang'wei'he
窗外晓莺啼,chuang'wai'xiao'ying'ti
创业非容易,chuang'ye'fei'rong'yi
吹断繁华一梦空,chui'duan'fan'hua'yi'meng'kong
垂丝钓,chui'si'diao
吹一个,chui'yi'ge
春风吹水涨平湖,chun'feng'chui'shui'zhang'ping'hu
春风翠髻金翘,chun'feng'cui'ji'jin'qiao
春风佳可游,chun'feng'jia'ke'you
春风料峭透香闺,chun'feng'liao'qiao'tou'xiang'gui
春风桃李繁,chun'feng'tao'li'fan
春风宜试马,chun'feng'yi'shi'ma
春服初成靓妆莹,chun'fu'chu'cheng'jing'zhuang'ying
春归犯,chun'gui'fan
春闺怨,chun'gui'yuan
春花秋月何时了,chun'hua'qiu'yue'he'shi'liao
春将去,chun'jiang'qu
春暖花香,chun'nuan'hua'xiang
春去也,chun'qu'ye
春日郊园,chun'ri'jiao'yuan
春色横眉黛,chun'se'heng'mei'dai
春山暖日和风,chun'shan'nuan'ri'he'feng
春睡殢人甜,chun'shui'ti'ren'tian
春意两丝牵,chun'yi'liang'si'qian
春意透酥胸,chun'yi'tou'su'xiong
词北偶谈,ci'bei'ou'tan
词辩坻,ci'bian'di
词的,ci'de
词鹄,ci'hu
词菁,ci'jing
此句,ci'ju
辞柯霜叶,ci'ke'shuang'ye
词林纪事,ci'lin'ji'shi
词律,ci'lv
词品,ci'pin
慈亲康健说谁家,ci'qin'kang'jian'shuo'shui'jia
此日筵前一杯捧,ci'ri'yan'qian'yi'bei'peng
词条人物,ci'tiao'ren'wu
词学通论,ci'xue'tong'lun
词源,ci'yuan
词苑丛谈,ci'yuan'cong'tan
词综偶评,ci'zong'ou'ping
从今看取,cong'jin'kan'qu
从今只望,cong'jin'zhi'wang
从来好事天生俭,cong'lai'hao'shi'tian'sheng'jian
从他绿鬓斑,cong'ta'lv'bin'ban
簇豪家一代英贤,cu'hao'jia'yi'dai'ying'xian
醋葫芦,cu'hu'lu
翠盖银瓶醉时捧,cui'gai'yin'ping'zui'shi'peng
催花乐,cui'hua'le
翠立数峰寒,cui'li'shu'feng'han
催拍子,cui'pai'zi
翠盘秋,cui'pan'qiu
翠裙腰,cui'qun'yao
翠拥秋千柱,cui'yong'qiu'qian'zhu
村里秀才,cun'li'xiu'cai
村里迓鼓,cun'li'ya'gu
大安乐,da'an'le
大拜门,da'bai'men
大德歌,da'de'ge
大德乐,da'de'le
大抵为人图甚么,da'di'wei'ren'tu'shen'me
大公报,da'gong'bao
大陆译,da'lu'yi
大清帝国北大荒,da'qing'di'guo'bei'da'huang
大圈圈,da'quan'quan
大圣乐,da'sheng'yue
打是亲骂是爱,da'shi'qin'ma'shi'ai
打是亲骂是恩,da'shi'qin'ma'shi'en
大石调,da'shi'tiao
大喜人心,da'xi'ren'xin
大限来时各自飞,da'xian'lai'shi'ge'zi'fei
大雅集,da'ya'ji
大鱼吃小鱼小鱼吃虾米,da'yu'chi'xiao'yu'xiao'yu'chi'xia'mi
大丈夫何患无妻,da'zhang'fu'he'huan'wu'qi
代表名句,dai'biao'ming'ju
代表作品,dai'biao'zuo'pin
待不梳妆怕娘左猜,dai'bu'shu'zhuang'pa'niang'zuo'cai
呆骨朵,dai'gu'duo
戴善夫,dai'shan'fu
歹戏拖棚,dai'xi'tuo'peng
带赚煞,dai'zhuan'sha
但犯着死处休言,dan'fan'zhe'si'chu'xiu'yan
但教康健,dan'jiao'kang'jian
但开口只是长吁,dan'kai'kou'zhi'shi'chang'xu
丹妹子,dan'mei'zi
丹尼尔布恩,dan'ni'er'bu'en
担捧笼叫须奴趁圈,dan'peng'long'jiao'xu'nu'chen'quan
胆瓶内温水浸梅花,dan'ping'nei'wen'shui'jin'mei'hua
淡烟衰草孤村,dan'yan'shuai'cao'gu'cun
弹一个,dan'yi'ge
但知音尽说陶潜是,dan'zhi'yin'jin'shuo'tao'qian'shi
当取不取过后莫悔,dang'qu'bu'qu'guo'hou'mo'hui
当时奢侈今何处,dang'shi'she'chi'jin'he'chu
道别后意如何,dao'bie'hou'yi'ru'he
倒大风流,dao'da'feng'liu
倒大无忧患,dao'da'wu'you'huan
叨叨令,dao'dao'ling
到底成何济,dao'di'cheng'he'ji
道高一尺魔高一丈,dao'gao'yi'chi'mo'gao'yi'zhang
道和,dao'he
倒教我拜做哥哥,dao'jiao'wo'bai'zuo'ge'ge
倒了葡萄架,dao'le'pu'tao'jia
捣练子,dao'lian'zi
道上,dao'shang
道是春归人未归,dao'shi'chun'gui'ren'wei'gui
道是你无钱怎奈何,dao'shi'ni'wu'qian'zen'nai'he
捣碎我心头,dao'sui'wo'xin'tou
倒影奇峰坠,dao'ying'qi'feng'zhui
倒赚他鸳鸯比翼,dao'zhuan'ta'yuan'yang'bi'yi
得了便宜卖乖,de'le'pian'yi'mai'guai
得磨陀处且磨陀,de'mo'tuo'chu'qie'mo'tuo
得饶人处且饶人,de'rao'ren'chu'qie'rao'ren
得人恩情千年记,de'ren'en'qing'qian'nian'ji
得胜的欣然,de'sheng'de'xin'ran
得胜乐,de'sheng'le
德胜乐,de'sheng'le
得胜令,de'sheng'ling
得势便猖狂,de'shi'bian'chang'kuang
等到月儿斜,deng'dao'yue'er'xie
等的他酒醒时,deng'de'ta'jiu'xing'shi
邓家基,deng'jia'ji
灯下姿姿观觑了,deng'xia'zi'zi'guan'qu'le
等闲携酒却成欢,deng'xian'xie'jiu'que'cheng'huan
邓小平文选,deng'xiao'ping'wen'xuan
邓玉宾,deng'yu'bin
灯月交辉,deng'yue'jiao'hui
滴滴金,di'di'jin
第二册,di'er'ce
缔构成功,di'gou'cheng'gong
低过金盏儿,di'guo'jin'zhan'er
第三册,di'san'ce
帝舜,di'shun
第四册,di'si'ce
第五册,di'wu'ce
帝尧,di'yao
第一册,di'yi'ce
地狱无门却自投,di'yu'wu'men'que'zi'tou
颠不剌见了万千,dian'bu'la'jian'le'wan'qian
典春衫,dian'chun'shan
电检,dian'jian
点绛唇,dian'jiang'chun
殿前欢,dian'qian'huan
殿前喜,dian'qian'xi
点秋江白鹭沙鸥,dian'qiu'jiang'bai'lu'sha'ou
典狱,dian'yu
雕刺鸪,diao'ci'gu
雕剌鸡,diao'la'ji
雕阑外夜气清,diao'lan'wai'ye'qi'qing
蝶恋花,die'lian'hua
丁大卫,ding'da'wei
定风波,ding'feng'bo
定光的人来赛,ding'guang'de'ren'lai'sai
丢人的胜利者,diu'ren'de'sheng'li'zhe
东阁玳筵开,dong'ge'dai'yan'kai
董穀,dong'gu
董解元,dong'jie'yuan
洞里瑶华自高韵,dong'li'yao'hua'zi'gao'yun
董其昌,dong'qi'chang
东山卧,dong'shan'wo
冬天易晚,dong'tian'yi'wan
洞庭湖寄阎九,dong'ting'hu'ji'yan'jiu
动相思,dong'xiang'si
冬雪白梅绽,dong'xue'bai'mei'zhan
东原乐,dong'yuan'le
东注无还,dong'zhu'wu'hai
斗鹌鹑,dou'an'chun
都把发春闲懊恼,dou'ba'fa'chun'xian'ao'nao
都隔断落红尘土,dou'ge'duan'luo'hong'chen'tu
斗虾蟆,dou'ha'ma
陡恁的无滋味,dou'nen'de'wu'zi'wei
都下送辛大之鄂,dou'xia'song'xin'da'zhi'e
豆叶儿,dou'ye'er
豆叶黄,dou'ye'huang
独白下的传统,du'bai'xia'de'chuan'tong
渡边定静,du'bian'ding'jing
渡边华山,du'bian'hua'shan
赌场出疯子,du'chang'chu'feng'zi
读词偶记,du'ci'ou'ji
杜甫文集,du'fu'wen'ji
杜将军风威勇敢,du'jiang'jun'feng'wei'yong'gan
杜鹃声在散花楼,du'juan'sheng'zai'san'hua'lou
度柳穿花,du'liu'chuan'hua
杜牧集系年校注,du'mu'ji'xi'nian'jiao'zhu
赌棋山庄词话,du'qi'shan'zhuang'ci'hua
独入罗帏淹泪眼,du'ru'luo'wei'yan'lei'yan
杜善夫,du'shan'fu
杜诗详注,du'shi'xiang'zhu
独倚危阑,du'yi'wei'lan
独自跋涉,du'zi'ba'she
独自寝,du'zi'qin
独自走,du'zi'zou
断肠词,duan'chang'ci
断肠人一断肠人,duan'chang'ren'yi'duan'chang'ren
断肠声无了无休,duan'chang'sheng'wu'le'wu'xiu
端正好,duan'zheng'hao
对人娇杏花,dui'ren'jiao'xing'hua
对玉环,dui'yu'huan
敦煌经部文献合集,dun'huang'jing'bu'wen'xian'he'ji
敦煌曲子词,dun'huang'qu'zi'ci
敦煌石室地志残卷考释,dun'huang'shi'shi'di'zhi'can'juan'kao'shi
顿使我愁不寐,dun'shi'wo'chou'bu'mei
