爱力所及,ai'li'suo'ji
龟蛇静,gui'she'jing
龟蛇锁大江,gui'she'suo'da'jiang
过了黄洋界,guo'le'huang'yang'jie
过眼滔滔云共雾,guo'yan'tao'tao'yun'gong'wu
国有疑难可问谁,guo'you'yi'nan'ke'wen'shui
还看今朝,hai'kan'jin'zhao
还有吃的,hai'you'chi'de
汉奸何多,han'jian'he'duo
汗漫东皋上,han'man'dong'gao'shang
杭州一望空,hang'zhou'yi'wang'kong
好八连,hao'ba'lian
好亲至爱,hao'qin'zhi'ai
何敌不倾,he'di'bu'qing
和郭沫若同志,he'guo'mo'ruo'tong'zhi
赫赫始祖,he'he'shi'zu
和柳亚子先生,he'liu'ya'zi'xian'sheng
和平堡垒拥苏联,he'ping'bao'lei'yong'su'lian
合其人格,he'qi'ren'ge
何时缚住苍龙,he'shi'fu'zhu'cang'long
贺新郎,he'xin'lang
何以为家,he'yi'wei'jia
和云翥,he'yun'zhu
和周世钊同志,he'zhou'shi'zhao'tong'zhi
黑手高悬地主鞭,hei'shou'gao'xuan'di'zhu'bian
恨偏所在,hen'pian'suo'zai
横空出世,heng'kong'chu'shi
横扫千军各卷席,heng'sao'qian'jun'ge'juan'xi
衡阳雁声彻,heng'yang'yan'sheng'che
红军不怕远征难,hong'jun'bu'pa'yuan'zheng'nan
红军队里每相违,hong'jun'dui'li'mei'xiang'wei
红旗卷起农奴戟,hong'qi'juan'qi'nong'nu'ji
红旗漫卷西风,hong'qi'man'juan'xi'feng
红旗跃过汀江,hong'qi'yue'guo'ting'jiang
红霞万朵百重衣,hong'xia'wan'duo'bai'zhong'yi
红雨随心翻作浪,hong'yu'sui'xin'fan'zuo'lang
后来有千日,hou'lai'you'qian'ri
后有言陈,hou'you'yan'chen
忽报人间曾伏虎,hu'bao'ren'jian'ceng'fu'hu
虎距龙盘今胜昔,hu'ju'long'pan'jin'sheng'xi
华佗无奈小虫何,hua'tuo'wu'nai'xiao'chong'he
换了人间,huan'le'ren'jian
唤起工农千百万,huan'qi'gong'nong'qian'bai'wan
环球同此凉热,huan'qiu'tong'ci'liang're
还我河山,huan'wo'he'shan
浣溪沙,huan'xi'sha
欢迎有晚莺,huan'ying'you'wan'ying
黄鹤知何去,huang'he'zhi'he'qu
皇天后土,huang'tian'hou'tu
黄洋界上,huang'yang'jie'shang
黄洋界上炮声隆,huang'yang'jie'shang'pao'sheng'long
会昌,hui'chang
会昌城外高峰,hui'chang'cheng'wai'gao'feng
挥斥方遒,hui'chi'fang'qiu
挥手从兹去,hui'shou'cong'zi'qu
回首峰峦入莽苍,hui'shou'feng'luan'ru'mang'cang
或多劳瘁,huo'duo'lao'cui
或属素恩,huo'shu'su'en
火树银花不夜天,huo'shu'yin'hua'bu'ye'tian
纪大团结这盛况云尔,ji'da'tuan'jie'zhe'sheng'kuang'yun'er
记得当年草上飞,ji'de'dang'nian'cao'shang'fei
即东民覃,ji'dong'min'qin
几行陈迹,ji'hang'chen'ji
祭黄帝陵,ji'huang'di'ling
纪律好,ji'lv'hao
寂寞嫦娥舒广袖,ji'mo'chang'e'shu'guang'xiu
极目楚天舒,ji'mu'chu'tian'shu
祭母文,ji'mu'wen
几声抽泣,ji'sheng'chou'qi
几声凄历,ji'sheng'qi'li
几十年,ji'shi'nian
激扬文字,ji'yang'wen'zi
建此伟业,jian'ci'wei'ye
剑屦俱奋,jian'ju'ju'fen
坚决抵抗,jian'jue'di'kang
艰苦斗争,jian'ku'dou'zheng
艰辛备历,jian'xin'bei'li
减字木兰花,jian'zi'mu'lan'hua
蒋桂战争,jiang'gui'zhan'zheng
江海翻波浪,jiang'hai'fan'bo'lang
江河横溢,jiang'he'heng'yi
将军赋采薇,jiang'jun'fu'cai'wei
江山如此多妖,jiang'shan'ru'ci'duo'yao
江山如画,jiang'shan'ru'hua
江天水一泓,jiang'tian'shui'yi'hong
搅得周天寒彻,jiao'de'zhou'tian'han'che
教育及时堪赞赏,jiao'yu'ji'shi'kan'zan'shang
郊原血,jiao'yuan'xue
皆伴亲时,jie'ban'qin'shi
皆报恩时,jie'bao'en'shi
截断巫山云雨,jie'duan'wu'shan'yun'yu
解放军,jie'fang'jun
洁净之风,jie'jing'zhi'feng
皆伤心史,jie'shang'xin'shi
借问君去何方,jie'wen'jun'qu'he'fang
借问瘟神欲何往,jie'wen'wen'shen'yu'he'wang
皆有条理,jie'you'tiao'li
介在青黄,jie'zai'qing'huang
尽此一觞,jin'ci'yi'shang
金猴奋起千钧棒,jin'hou'fen'qi'qian'jun'bang
今日长缨在手,jin'ri'chang'ying'zai'shou
今日得宽馀,jin'ri'de'kuan'yu
今日欢呼孙大圣,jin'ri'huan'hu'sun'da'sheng
今日武将军,jin'ri'wu'jiang'jun
今日向何方,jin'ri'xiang'he'fang
金沙水拍云崖暖,jin'sha'shui'pai'yun'ya'nuan
今也言长,jin'ye'yan'chang
今又重阳,jin'you'chong'yang
今则欲言,jin'ze'yu'yan
今朝更好看,jin'zhao'geng'hao'kan
今朝霜重东门路,jin'zhao'shuang'zhong'dong'men'lu
惊回首,jing'hui'shou
旌旗奋,jing'qi'fen
敬遣代表林祖涵,jing'qian'dai'biao'lin'zu'han
精禽大海,jing'qin'da'hai
精神痛苦,jing'shen'tong'ku
精逃白骨累三遭,jing'tao'bai'gu'lei'san'zao
经武整军,jing'wu'zheng'jun
救国良方,jiu'guo'liang'fang
旧貌变新颜,jiu'mao'bian'xin'yan
九死一生如昨,jiu'si'yi'sheng'ru'zuo
九万里,jiu'wan'li
九嶷山上白云飞,jiu'yi'shan'shang'bai'yun'fei
久有凌云志,jiu'you'ling'yun'zhi
拒腐蚀,ju'fu'shi
遽然而死,ju'ran'er'si
俱往矣,ju'wang'yi
橘子洲头,ju'zi'zhou'tou
倦极身无恁,juan'ji'shen'wu'nen
均待报赍,jun'dai'bao'ji
军阀重开战,jun'fa'chong'kai'zhan
军叫工农革命,jun'jiao'gong'nong'ge'ming
君今不幸离人世,jun'jin'bu'xing'li'ren'shi
军民团结如一人,jun'min'tuan'jie'ru'yi'ren
军事好,jun'shi'hao
君行吾为发浩歌,jun'xing'wu'wei'fa'hao'ge
恺恻慈祥,kai'ce'ci'xiang
开天辟地君真健,kai'tian'pi'di'jun'zhen'jian
看红装素裹,kan'hong'zhuang'su'guo
看万山红遍,kan'wan'shan'hong'bian
可上九天揽月,ke'shang'jiu'tian'lan'yue
可下五洋捉鳖,ke'xia'wu'yang'zhuo'bie
枯木朽株齐努力,ku'mu'xiu'zhu'qi'nu'li
苦情重诉,ku'qing'zhong'su
快马加鞭未下鞍,kuai'ma'jia'bian'wei'xia'an
匡庐一带不停留,kuang'lu'yi'dai'bu'ting'liu
昆鸡长笑老鹰飞,kun'ji'chang'xiao'lao'ying'fei
鲲鹏击浪从兹始,kun'peng'ji'lang'cong'zi'shi
鲲鹏展翅,kun'peng'zhan'chi
喇叭声咽,la'ba'sheng'yan
赖以拄其间,lai'yi'zhu'qi'jian
浪遏飞舟,lang'e'fei'zhou
浪淘沙,lang'tao'sha
浪下三吴起白烟,lang'xia'san'wu'qi'bai'yan
牢骚太胜防肠断,lao'sao'tai'sheng'fang'chang'duan
泪飞顿作倾盆雨,lei'fei'dun'zuo'qing'pen'yu
冷去对美人,leng'qu'dui'mei'ren
冷眼向洋看世界,leng'yan'xiang'yang'kan'shi'jie
离别这个地方已有三十二周年了,li'bie'zhe'ge'di'fang'yi'you'san'shi'er'zhou'nian'le
离天三尺,li'tian'san'chi
连续在怀仁堂,lian'xu'zai'huai'ren'tang
两万之众,liang'wan'zhi'zhong
良宵盛会喜空前,liang'xiao'sheng'hui'xi'kong'qian
辽海燕冀,liao'hai'yan'ji
寥廓江天万里霜,liao'kuo'jiang'tian'wan'li'shuang
列嶂青且倩,lie'zhang'qing'qie'qian
临江仙,lin'jiang'xian
零落匪所思,ling'luo'fei'suo'si
灵则万古,ling'ze'wan'gu
流遍了,liu'bian'le
六盘山,liu'pan'shan
六盘山上高峰,liu'pan'shan'shang'gao'feng
琉台不守,liu'tai'bu'shou
柳亚子先生即席赋浣溪沙,liu'ya'zi'xian'sheng'ji'xi'fu'huan'xi'sha
六言诗,liu'yan'shi
六亿神州尽舜尧,liu'yi'shen'zhou'jin'shun'yao
娄山关,lou'shan'guan
路隘林深苔滑,lu'ai'lin'shen'tai'hua
乱云飞渡仍从容,luan'yun'fei'du'reng'cong'rong
略输文采,lue'shu'wen'cai
落花时节读华章,luo'hua'shi'jie'du'hua'zhang
绿水青山枉自多,lv'shui'qing'shan'wang'zi'duo
绿荫树下养精神,lv'yin'shu'xia'yang'jing'shen
马蹄声碎,ma'ti'sheng'sui
蚂蚁槐夸大树,ma'yi'huai'kua'da'shu
漫江碧透,man'jiang'bi'tou
漫天皆白,man'tian'jie'bai
莽昆仑,mang'kun'lun
茫茫九派流中国,mang'mang'jiu'pai'liu'zhong'guo
梅花欢喜漫天雪,mei'hua'huan'xi'man'tian'xue
每闻欺大鸟,mei'wen'qi'da'niao
妙香山上战旗妍,miao'xiang'shan'shang'zhan'qi'yan
民主共和,min'zhu'gong'he
民族阵线,min'zu'zhen'xian
鸣鸡一声唱,ming'ji'yi'sheng'chang
命令昨颁,ming'ling'zuo'ban
名世于今五百年,ming'shi'yu'jin'wu'bai'nian
命世之英,ming'shi'zhi'ying
莫道君行早,mo'dao'jun'xing'zao
莫道昆明池水浅,mo'dao'kun'ming'chi'shui'qian
莫干山,mo'gan'shan
莫叹韶华容易逝,mo'tan'shao'hua'rong'yi'shi
暮色苍茫看劲松,mu'se'cang'mang'kan'jin'song
母终未死,mu'zhong'wei'si
哪个虫儿敢作声,na'ge'chong'er'gan'zuo'sheng
哪容百族共骈阗,na'rong'bai'zu'gong'pian'tian
乃其大端,nai'qi'da'duan
男女并驾,nan'nv'bing'jia
能分析,neng'fen'xi
念奴娇,nian'nu'jiao
年少峥嵘屈贾才,nian'shao'zheng'rong'qu'jia'cai
念兹在兹,nian'zi'zai'zi
鸟儿问答,niao'er'wen'da
宁化,ning'hua
牛郎欲问瘟神事,niu'lang'yu'wen'wen'shen'shi
农民个个同仇,nong'min'ge'ge'tong'chou
欧阳倩予编剧,ou'yang'qian'yu'bian'ju
炮火连天,pao'huo'lian'tian
蚍蜉撼树谈何易,pi'fu'han'shu'tan'he'yi
劈理分情,pi'li'fen'qing
霹雳一声暴动,pi'li'yi'sheng'bao'dong
骗了无涯过客,pian'le'wu'ya'guo'ke
频年苦斗,pin'nian'ku'dou
凭割断愁丝恨缕,ping'ge'duan'chou'si'hen'lv
平浪官前友谊多,ping'lang'guan'qian'you'yi'duo
菩萨蛮,pu'sa'man
七百里驱十五日,qi'bai'li'qu'shi'wu'ri
汽笛一声肠已断,qi'di'yi'sheng'chang'yi'duan
其二,qi'er
奇儿女,qi'er'nv
七古,qi'gu
旗号镰刀斧头,qi'hao'lian'dao'fu'tou
起宏图,qi'hong'tu
七绝,qi'jue
七律,qi'lv
七律二首,qi'lv'er'shou
岂其苗裔,qi'qi'miao'yi
凄清如许,qi'qing'ru'xu
其三,qi'san
齐声唤,qi'sheng'huan
其他不育,qi'ta'bu'yu
其一,qi'yi
七子余三,qi'zi'yu'san
恰同学少年,qia'tong'xue'shao'nian
千百里,qian'bai'li
千村薜荔人遗矢,qian'cun'bi'li'ren'yi'shi
千刀万剐唐僧肉,qian'dao'wan'gua'tang'seng'rou
千里冰封,qian'li'bing'feng
千里来寻故地,qian'li'lai'xun'gu'di
千秋功罪,qian'qiu'gong'zui
前头捉了张辉瓒,qian'tou'zhuo'le'zhang'hui'zan
枪林逼,qiang'lin'bi
强邻蔑德,qiang'lin'mie'de
俏也不争春,qiao'ye'bu'zheng'chun
秦皇岛外打鱼船,qin'huang'dao'wai'da'yu'chuan
琴绝最伤情,qin'jue'zui'shang'qing
沁园春,qin'yuan'chun
倾地一角,qing'di'yi'jiao
清流,qing'liu
清平乐,qing'ping'le
青山着意化为桥,qing'shan'zhuo'yi'hua'wei'qiao
秋收起义,qiu'shou'qi'yi
秋收时节暮云愁,qiu'shou'shi'jie'mu'yun'chou
躯壳虽隳,qu'qiao'sui'hui
去去思君深,qu'qu'si'jun'shen
驱倭棠吉归,qu'wo'tang'ji'gui
区宇以宁,qu'yu'yi'ning
屈指行程二万,qu'zhi'xing'cheng'er'wan
全军民,quan'jun'min
全无敌,quan'wu'di
雀儿答道,que'er'da'dao
冉冉望君来,ran'ran'wang'jun'lai
让其沦胥,rang'qi'lun'xu
热风吹雨洒江天,re'feng'chui'yu'sa'jiang'tian
热来寻扇子,re'lai'xun'shan'zi
热泪欲零还住,re'lei'yu'ling'hai'zhu
人或为鱼鳖,ren'huo'wei'yu'bie
人间变了,ren'jian'bian'le
人间正道是沧桑,ren'jian'zheng'dao'shi'cang'sang
人类今闻上太空,ren'lei'jin'wen'shang'tai'kong
人民解放军占领南京,ren'min'jie'fang'jun'zhan'ling'nan'jing
人民抗日红军,ren'min'kang'ri'hong'jun
人民五亿不团圆,ren'min'wu'yi'bu'tuan'yuan
人生易老天难老,ren'sheng'yi'lao'tian'nan'lao
人世难逢开口笑,ren'shi'nan'feng'kai'kou'xiao
人妖颠倒是非淆,ren'yao'dian'dao'shi'fei'xiao
人有病,ren'you'bing
人猿相揖别,ren'yuan'xiang'yi'bie
人执笞绳,ren'zhi'chi'sheng
日落衡云西,ri'luo'heng'yun'xi
如果未熟,ru'guo'wei'shu
如坚壁,ru'jian'bi
如梦令,ru'meng'ling
如霹雳,ru'pi'li
如日方东,ru'ri'fang'dong
如松柏,ru'song'bai
如在上焉,ru'zai'shang'yan
如早望云,ru'zao'wang'yun
卅年仍到赫曦台,sa'nian'reng'dao'he'xi'tai
飒爽英姿五尺枪,sa'shuang'ying'zi'wu'chi'qiang
洒向人间都是怨,sa'xiang'ren'jian'dou'shi'yuan
三纲之末,san'gang'zhi'mo
三韩为墟,san'han'wei'xu
三军过后尽开颜,san'jun'guo'hou'jin'kai'yan
三千毛瑟精兵,san'qian'mao'se'jing'bing
三上北高峰,san'shang'bei'gao'feng
三十八年看过去,san'shi'ba'nian'kan'guo'qu
三十一年还旧国,san'shi'yi'nian'hai'jiu'guo
僧是愚氓犹可训,seng'shi'yu'meng'you'ke'xun
沙场竟殒命,sha'chang'jing'yun'ming
山川奇气曾钟此,shan'chuan'qi'qi'ceng'zhong'ci
山高路远坑深,shan'gao'lu'yuan'keng'shen
山头鼓角相闻,shan'tou'gu'jiao'xiang'wen
山舞银蛇,shan'wu'yin'she
山下,shan'xia
山下旌旗在望,shan'xia'jing'qi'zai'wang
上参天,shang'can'tian
上疆场彼此弯弓月,shang'jiang'chang'bi'ci'wan'gong'yue
尚飨,shang'xiang
稍逊风骚,shao'xun'feng'sao
谁人曾与评说,shei'ren'ceng'yu'ping'shuo
谁与共平生,shei'yu'gong'ping'sheng
神女应无恙,shen'nv'ying'wu'yang
身心表里,shen'xin'biao'li
盛德所辉,sheng'de'suo'hui
胜似春光,sheng'si'chun'guang
胜似闲庭信步,sheng'si'xian'ting'xin'bu
生有七子,sheng'you'qi'zi
剩有游人处,sheng'you'you'ren'chu
世变沧桑,shi'bian'cang'sang
师称机械化,shi'cheng'ji'xie'hua
实鉴临之,shi'jian'lin'zhi
试看天地翻覆,shi'kan'tian'di'fan'fu
试看天下谁能敌,shi'kan'tian'xia'shui'neng'di
十六字令三首,shi'liu'zi'ling'san'shou
是人寰,shi'ren'huan
诗人兴会更无前,shi'ren'xing'hui'geng'wu'qian
世上无难事,shi'shang'wu'nan'shi
世事纷纭何足理,shi'shi'fen'yun'he'zu'li
