被控设备名称,bei'kong'she'bei'ming'cheng
冷却水进出水电动蝶阀状态,leng'que'shui'jin'chu'shui'dian'dong'die'fa'zhuang'tai
冷却水流量,leng'que'shui'liu'liang
冷却水系统,leng'que'shui'xi'tong
冷却塔,leng'que'ta
冷热水,leng're'shui
冷水机组,leng'shui'ji'zu
流量变送器,liu'liang'bian'song'qi
楼控,lou'kong
楼控系统图,lou'kong'xi'tong'tu
楼控原理图,lou'kong'yuan'li'tu
楼宇自控,lou'yu'zi'kong
楼宇自控系统监控点表,lou'yu'zi'kong'xi'tong'jian'kong'dian'biao
滤网阻塞报警,lv'wang'zu'se'bao'jing
满管流,man'guan'liu
暖通系统,nuan'tong'xi'tong
排风机,pai'feng'ji
排风机故障,pai'feng'ji'gu'zhang
排风机故障报警,pai'feng'ji'gu'zhang'bao'jing
排风机启停控制,pai'feng'ji'qi'ting'kong'zhi
排风机手自动状态,pai'feng'ji'shou'zi'dong'zhuang'tai
排风机运行状态,pai'feng'ji'yun'xing'zhuang'tai
排风机状态,pai'feng'ji'zhuang'tai
排风湿度,pai'feng'shi'du
排风温度,pai'feng'wen'du
旁通阀,pang'tong'fa
膨胀水箱,peng'zhang'shui'xiang
启停,qi'ting
启停控制,qi'ting'kong'zhi
强电柜,qiang'dian'gui
强电井,qiang'dian'jing
强电竖井,qiang'dian'shu'jing
热泵,re'beng
热水泵,re'shui'beng
热水循环泵,re'shui'xun'huan'beng
软化水箱,ruan'hua'shui'xiang
软化水装置,ruan'hua'shui'zhuang'zhi
弱电柜,ruo'dian'gui
弱电井,ruo'dian'jing
弱电竖井,ruo'dian'shu'jing
三相电流变送器,san'xiang'dian'liu'bian'song'qi
三相电压变送器,san'xiang'dian'ya'bian'song'qi
生活水电动蝶阀控制,sheng'huo'shui'dian'dong'die'fa'kong'zhi
生活水电动蝶阀状态,sheng'huo'shui'dian'dong'die'fa'zhuang'tai
生活水供水温度,sheng'huo'shui'gong'shui'wen'du
生活水供水压力,sheng'huo'shui'gong'shui'ya'li
生活水回水温度,sheng'huo'shui'hui'shui'wen'du
生活水回水压力,sheng'huo'shui'hui'shui'ya'li
生活水流量,sheng'huo'shui'liu'liang
生活水系统,sheng'huo'shui'xi'tong
室外照明,shi'wai'zhao'ming
手自动,shou'zi'dong
手自动状态,shou'zi'dong'zhuang'tai
水冷机组,shui'leng'ji'zu
水流开关,shui'liu'kai'guan
水流状态,shui'liu'zhuang'tai
水温传感器,shui'wen'chuan'gan'qi
送风机,song'feng'ji
送风机故障,song'feng'ji'gu'zhang
送风机故障报警,song'feng'ji'gu'zhang'bao'jing
送风机启停控制,song'feng'ji'qi'ting'kong'zhi
送风机手自动状态,song'feng'ji'shou'zi'dong'zhuang'tai
送风机运行状态,song'feng'ji'yun'xing'zhuang'tai
送风机状态,song'feng'ji'zhuang'tai
送风湿度,song'feng'shi'du
送风温度,song'feng'wen'du
送排风,song'pai'feng
送排风机,song'pai'feng'ji
送排风系统,song'pai'feng'xi'tong
缩径,suo'jing
温度传感器,wen'du'chuan'gan'qi
污水泵,wu'shui'beng
污水坑,wu'shui'keng
污水系统,wu'shui'xi'tong
新风比,xin'feng'bi
新风换气机,xin'feng'huan'qi'ji
新风全热交换器,xin'feng'quan're'jiao'huan'qi
新风湿度,xin'feng'shi'du
新风温度,xin'feng'wen'du
压差开关,ya'cha'kai'guan
压力变送器,ya'li'bian'song'qi
压力测量,ya'li'ce'liang
液位开关,ye'wei'kai'guan
一次水,yi'ci'shui
一次水泵,yi'ci'shui'beng
一次水循环泵,yi'ci'shui'xun'huan'beng
运行状态,yun'xing'zhuang'tai
照明回路,zhao'ming'hui'lu
制冷机组,zhi'leng'ji'zu
中水水箱,zhong'shui'shui'xiang
中水系统,zhong'shui'xi'tong
组合式空调机组,zu'he'shi'kong'tiao'ji'zu
