爱酒一樽常在旁,ai'jiu'yi'zun'chang'zai'pang
家祭无忘告乃翁,jia'ji'wu'wang'gao'nai'weng
夹路桑麻行不尽,jia'lu'sang'ma'xing'bu'jin
嘉瑞天教及岁除,jia'rui'tian'jiao'ji'sui'chu
家在钓台西住,jia'zai'diao'tai'xi'zhu
家住苍烟落照间,jia'zhu'cang'yan'luo'zhao'jian
剑门道中遇微雨,jian'men'dao'zhong'yu'wei'yu
江边渔父,jiang'bian'yu'fu
江湖浪迹一沙鸥,jiang'hu'lang'ji'yi'sha'ou
江湖上,jiang'hu'shang
将军不战空临边,jiang'jun'bu'zhan'kong'lin'bian
江头日暮痛饮,jiang'tou'ri'mu'tong'yin
江头月底,jiang'tou'yue'di
僵卧孤村不自哀,jiang'wo'gu'cun'bu'zi'ai
江左占形胜,jiang'zuo'zhan'xing'sheng
交亲散落如云,jiao'qin'san'luo'ru'yun
截断烟津,jie'duan'yan'jin
截虎平川,jie'hu'ping'chuan
结友尽豪英,jie'you'jin'hao'ying
金错刀行,jin'cuo'dao'xing
尽道锦里繁华,jin'dao'jin'li'fan'hua
今年摧颓最堪笑,jin'nian'cui'tui'zui'kan'xiao
锦书难托,jin'shu'nan'tuo
今朝一岁大家添,jin'zhao'yi'sui'da'jia'tian
惊残孤梦,jing'can'gu'meng
镜湖元自属闲人,jing'hu'yuan'zi'shu'xian'ren
京华结交尽奇士,jing'hua'jie'jiao'jin'qi'shi
镜里流年两鬓残,jing'li'liu'nian'liang'bin'can
镜里朱颜,jing'li'zhu'yan
井梧摇落故园秋,jing'wu'yao'luo'gu'yuan'qiu
惊壮志成虚,jing'zhuang'zhi'cheng'xu
厩马肥死弓断弦,jiu'ma'fei'si'gong'duan'xian
酒如清露鲊如花,jiu'ru'qing'lu'zha'ru'hua
旧社凋零,jiu'she'diao'ling
旧俗方储药,jiu'su'fang'chu'yao
酒徒一半取封侯,jiu'tu'yi'ban'qu'feng'hou
卷罢黄庭卧看山,juan'ba'huang'ting'wo'kan'shan
绝知此事要躬行,jue'zhi'ci'shi'yao'gong'xing
君恩赐与,jun'en'ci'yu
看重阳药市,kan'chong'yang'yao'shi
看龙蛇飞落蛮笺,kan'long'she'fei'luo'man'jian
堪笑愚公不自量,kan'xiao'yu'gong'bu'zi'liang
空怅望,kong'chang'wang
鲙美菰香,kuai'mei'gu'xiang
况半世,kuang'ban'shi
况肯到红尘深处,kuang'ken'dao'hong'chen'shen'chu
蜡封夜半传檄,la'feng'ye'ban'chuan'xi
懒向青门学种瓜,lan'xiang'qing'men'xue'zhong'gua
狼烽夜举,lang'feng'ye'ju
浪淘沙,lang'tao'sha
老去形容虽变改,lao'qu'xing'rong'sui'bian'gai
老却英雄似等闲,lao'que'ying'xiong'si'deng'xian
老子犹堪绝大漠,lao'zi'you'kan'jue'da'mo
泪痕红浥鲛绡透,lei'hen'hong'yi'jiao'xiao'tou
泪空流,lei'kong'liu
羸躯亦点丹,lei'qu'yi'dian'dan
利欲驱人万火牛,li'yu'qu'ren'wan'huo'niu
连山如画,lian'shan'ru'hua
列圣仁恩深雨露,lie'sheng'ren'en'shen'yu'lu
临安春雨初霁,lin'an'chun'yu'chu'ji
淋漓醉墨,lin'li'zui'mo
林莺巢燕总无声,lin'ying'chao'yan'zong'wu'sheng
零落成泥碾作尘,ling'luo'cheng'ni'nian'zuo'chen
柳暗花明又一村,liu'an'hua'ming'you'yi'cun
榴花忽已繁,liu'hua'hu'yi'fan
流年改,liu'nian'gai
漏声断,lou'sheng'duan
舻呕哑,lu'ou'ya
露沾草,lu'zhan'cao
绿树暗长亭,lv'shu'an'chang'ting
绿云堆一枕,lv'yun'dui'yi'zhen
卖鱼生怕近城门,mai'yu'sheng'pa'jin'cheng'men
漫悲歌,man'bei'ge
满城春色宫墙柳,man'cheng'chun'se'gong'qiang'liu
茫茫梦境,mang'mang'meng'jing
茅檐人静,mao'yan'ren'jing
梅花绝句,mei'hua'jue'ju
梦断故国山川,meng'duan'gu'guo'shan'chuan
梦断香消四十年,meng'duan'xiang'xiao'si'shi'nian
梦破南楼,meng'po'nan'lou
明朝甑复空,ming'chao'zeng'fu'kong
名与汉江流,ming'yu'han'jiang'liu
磨灭游人无数,mo'mie'you'ren'wu'shu
莫年身世寄农桑,mo'nian'shen'shi'ji'nong'sang
莫笑农家腊酒浑,mo'xiao'nong'jia'la'jiu'hun
木笔犹开第一花,mu'bi'you'kai'di'yi'hua
木兰花,mu'lan'hua
暮烟千嶂,mu'yan'qian'zhang
母子相持哭,mu'zi'xiang'chi'ku
南邻更可念,nan'lin'geng'ke'nian
南山晓雪玉嶙峋,nan'shan'xiao'xue'yu'lin'xun
南望王师又一年,nan'wang'wang'shi'you'yi'nian
南乡子,nan'xiang'zi
逆胡未灭心未平,ni'hu'wei'mie'xin'wei'ping
念此际,nian'ci'ji
念累累枯冢,nian'lei'lei'ku'zhong
年年自分着花迟,nian'nian'zi'fen'zhe'hua'chi
蓬窗灯暗,peng'chuang'deng'an
匹马戍梁州,pi'ma'shu'liang'zhou
片片轻鸥落晚沙,pian'pian'qing'ou'luo'wan'sha
飘然羁旅,piao'ran'ji'lv
凭高酹酒,ping'gao'lei'jiu
平章风月,ping'zhang'feng'yue
破尽青衫尘满帽,po'jin'qing'shan'chen'man'mao
破驿梦回灯欲死,po'yi'meng'hui'deng'yu'si
骑驴两脚欲到地,qi'lv'liang'jiao'yu'dao'di
欹帽垂鞭,qi'mao'chui'bian
岂惟涨沟溪,qi'wei'zhang'gou'xi
岂有逆胡传子孙,qi'you'ni'hu'chuan'zi'sun
岂有堂堂中国空无人,qi'you'tang'tang'zhong'guo'kong'wu'ren
千里曜戈甲,qian'li'yao'ge'jia
前年脍鲸东海上,qian'nian'kuai'jing'dong'hai'shang
千年史册耻无名,qian'nian'shi'ce'chi'wu'ming
千耦还从父老耕,qian'ou'hai'cong'fu'lao'geng
沁园春,qin'yuan'chun
清愁自醉,qing'chou'zi'zui
晴窗细乳戏分茶,qing'chuang'xi'ru'xi'fen'cha
青海际,qing'hai'ji
清泪浥罗巾,qing'lei'yi'luo'jin
青门俊游谁记,qing'men'jun'you'shui'ji
青衫初入九重城,qing'shan'chu'ru'jiu'chong'cheng
清商怨,qing'shang'yuan
轻舟八尺,qing'zhou'ba'chi
秋波媚,qiu'bo'mei
秋到边城角声哀,qiu'dao'bian'cheng'jiao'sheng'ai
秋风又起,qiu'feng'you'qi
秋思,qiu'si
秋夜将晓出篱门迎凉有感二首,qiu'ye'jiang'xiao'chu'li'men'ying'liang'you'gan'er'shou
曲江池馆,qu'jiang'chi'guan
去年射虎南山秋,qu'nian'she'hu'nan'shan'qiu
却泛扁舟吴楚,que'fan'pian'zhou'wu'chu
却恐他乡胜故乡,que'kong'ta'xiang'sheng'gu'xiang
鹊桥仙,que'qiao'xian
染尽湖边树,ran'jin'hu'bian'shu
冉冉年华留不住,ran'ran'nian'hua'liu'bu'zhu
人空瘦,ren'kong'shou
任是春风不管,ren'shi'chun'feng'bu'guan
任衰残,ren'shuai'can
人误许,ren'wu'xu
日长似岁闲方觉,ri'chang'si'sui'xian'fang'jue
日斜吾事毕,ri'xie'wu'shi'bi
三冬暂就儒生学,san'dong'zan'jiu'ru'sheng'xue
三年流落巴山道,san'nian'liu'luo'ba'shan'dao
三十从军今白发,san'shi'cong'jun'jin'bai'fa
三万里河东入海,san'wan'li'he'dong'ru'hai
三月十七日夜醉中作,san'yue'shi'qi'ri'ye'zui'zhong'zuo
沙头空照征人骨,sha'tou'kong'zhao'zheng'ren'gu
山重水复疑无路,shan'chong'shui'fu'yi'wu'lu
山盟虽在,shan'meng'sui'zai
山驿凄凉,shan'yi'qi'liang
伤怀吊古,shang'huai'diao'gu
尚时时流涕尊前,shang'shi'shi'liu'ti'zun'qian
尚思为国戍轮台,shang'si'wei'guo'shu'lun'tai
伤心桥下春波绿,shang'xin'qiao'xia'chun'bo'lv
少读诗书陋汉唐,shao'du'shi'shu'lou'han'tang
少壮工夫老始成,shao'zhuang'gong'fu'lao'shi'cheng
身老沧洲,shen'lao'cang'zhou
身如西瀼渡头云,shen'ru'xi'rang'du'tou'yun
身是行人,shen'shi'xing'ren
神仙须是闲人做,shen'xian'xu'shi'xian'ren'zuo
深巷明朝卖杏花,shen'xiang'ming'chao'mai'xing'hua
沈园二首,shen'yuan'er'shou
沈园非复旧池台,shen'yuan'fei'fu'jiu'chi'tai
沈园柳老不吹绵,shen'yuan'liu'lao'bu'chui'mian
事大如天醉亦休,shi'da'ru'tian'zui'yi'xiu
试戴银旛判醉倒,shi'dai'yin'fan'pan'zui'dao
示儿,shi'er
十分冷淡心肠,shi'fen'leng'dan'xin'chang
使君宏放,shi'jun'hong'fang
诗情将略,shi'qing'jiang'lue
时人错把比严光,shi'ren'cuo'ba'bi'yan'guang
世味年来薄似纱,shi'wei'nian'lai'bo'si'sha
势已卷平陆,shi'yi'juan'ping'lu
时易失,shi'yi'shi
十一月四日风雨大作二首,shi'yi'yue'si'ri'feng'yu'da'zuo'er'shou
十月二十八日风雨大作,shi'yue'er'shi'ba'ri'feng'yu'da'zuo
始知身是太平人,shi'zhi'shen'shi'tai'ping'ren
识字粗堪供赋役,shi'zi'cu'kan'gong'fu'yi
书愤二首,shu'fen'er'shou
书愤五首,shu'fen'wu'shou
戍楼刁斗催落月,shu'lou'diao'dou'cui'luo'yue
叔子独千载,shu'zi'du'qian'zai
衰迟罢试戎衣窄,shuai'chi'ba'shi'rong'yi'zhai
双鬓向人无再青,shuang'bin'xiang'ren'wu'zai'qing
双双新燕飞春岸,shuang'shuang'xin'yan'fei'chun'an
双头莲,shuang'tou'lian
水调歌头,shui'diao'ge'tou
谁记当年豪举,shui'ji'dang'nian'hao'ju
睡觉寒灯里,shui'jiao'han'deng'li
睡来谁共午瓯茶,shui'lai'shui'gong'wu'ou'cha
谁料如今袖手看,shui'liao'ru'jin'xiu'shou'kan
谁令骑马客京华,shui'ling'qi'ma'ke'jing'hua
水满有时观下鹭,shui'man'you'shi'guan'xia'lu
水驿江程去路长,shui'yi'jiang'cheng'qu'lu'chang
谁知得酒尚能狂,shui'zhi'de'jiu'shang'neng'kuang
丝毫尘事不相关,si'hao'chen'shi'bu'xiang'guan
死去犹能作鬼雄,si'qu'you'neng'zuo'gui'xiong
死去元知万事空,si'qu'yuan'zhi'wan'shi'kong
四山声作海涛翻,si'shan'sheng'zuo'hai'tao'fan
素衣莫起风尘叹,su'yi'mo'qi'feng'chen'tan
诉衷情,su'zhong'qing
岁方秋,sui'fang'qiu
所望明年熟,suo'wang'ming'nian'shu
他时相遇知何处,ta'shi'xiang'yu'zhi'he'chu
太行王屋何由动,tai'hang'wang'wu'he'you'dong
太息燕然未勒铭,tai'xi'yan'ran'wei'le'ming
叹官闲昼永,tan'guan'xian'zhou'yong
叹流年,tan'liu'nian
叹往事,tan'wang'shi
叹围腰带剩,tan'wei'yao'dai'sheng
叹息老来交旧尽,tan'xi'lao'lai'jiao'jiu'jin
贪啸傲,tan'xiao'ao
谈笑洗尽古今愁,tan'xiao'xi'jin'gu'jin'chou
弹压江山,tan'ya'jiang'shan
桃花落,tao'hua'luo
特地暮云开,te'di'mu'yun'kai
提刀独立顾八荒,ti'dao'du'li'gu'ba'huang
天意宁知一日回,tian'yi'ning'zhi'yi'ri'hui
迢迢天汉西南落,tiao'tiao'tian'han'xi'nan'luo
铁马冰河入梦来,tie'ma'bing'he'ru'meng'lai
铁骑无声望似水,tie'qi'wu'sheng'wang'si'shui
颓垣夜月洛阳宫,tui'yuan'ye'yue'luo'yang'gong
箨龙已过头番笋,tuo'long'yi'guo'tou'fan'sun
脱帽向人时大叫,tuo'mao'xiang'ren'shi'da'jiao
万灶宿貔貅,wan'zao'su'pi'xiu
王侯蝼蚁,wang'hou'lou'yi
望秦关何处,wang'qin'guan'he'chu
王师北定中原日,wang'shi'bei'ding'zhong'yuan'ri
往事忆孙刘,wang'shi'yi'sun'liu
闻道梅花坼晓风,wen'dao'mei'hua'che'xiao'feng
闻歌感旧,wen'ge'gan'jiu
闻武均州报已复西京,wen'wu'jun'zhou'bao'yi'fu'xi'jing
卧闻新雁落寒汀,wo'wen'xin'yan'luo'han'ting
喔喔邻鸡一再鸣,wo'wo'lin'ji'yi'zai'ming
我与狸奴不出门,wo'yu'li'nu'bu'chu'men
我自是无名渔父,wo'zi'shi'wu'ming'yu'fu
吾何恨,wu'he'hen
五千仞岳上摩天,wu'qian'ren'yue'shang'mo'tian
五穷故相逐,wu'qiong'gu'xiang'zhu
无意苦争春,wu'yi'ku'zheng'chun
无语只凄凉,wu'yu'zhi'qi'liang
溪柴火软蛮毡暖,xi'chai'huo'ruan'man'zhan'nuan
西京昨夜捷书来,xi'jing'zuo'ye'jie'shu'lai
溪友为邻,xi'you'wei'lin
细雨春芜上林苑,xi'yu'chun'wu'shang'lin'yuan
细雨骑驴入剑门,xi'yu'qi'lv'ru'jian'men
闲池阁,xian'chi'ge
闲看村童谢晚晴,xian'kan'cun'tong'xie'wan'qing
想见芳洲初系缆,xiang'jian'fang'zhou'chu'xi'lan
消残壮志,xiao'can'zhuang'zhi
箫鼓追随春社近,xiao'gu'zhui'sui'chun'she'jin
小楼一夜听春雨,xiao'lou'yi'ye'ting'chun'yu
笑儒冠,xiao'ru'guan
萧条病骥,xiao'tiao'bing'ji
笑指船儿此是家,xiao'zhi'chuan'er'ci'shi'jia
谢池春,xie'chi'chun
辛勤蓺宿麦,xin'qin'yi'su'mai
新诗旧梦,xin'shi'jiu'meng
心未死,xin'wei'si
心在天山,xin'zai'tian'shan
幸眼明身健,xing'yan'ming'shen'jian
悬知寒食朝陵使,xuan'zhi'han'shi'chao'ling'shi
雪堆遍满四山中,xue'dui'bian'man'si'shan'zhong
雪晓清笳乱起,xue'xiao'qing'jia'luan'qi
雪压青毡,xue'ya'qing'zhan
寻花巷陌,xun'hua'xiang'mo
烟波无际,yan'bo'wu'ji
雁门西,yan'men'xi
阳关常恨不堪闻,yang'guan'chang'hen'bu'kan'wen
腰间羽箭久凋零,yao'jian'yu'jian'jiu'diao'ling
夜泊水村,ye'bo'shui'cun
也曾先识东皇,ye'ceng'xian'shi'dong'huang
夜穿窗扉出光芒,ye'chuan'chuang'fei'chu'guang'mang
夜归急雪满貂裘,ye'gui'ji'xue'man'diao'qiu
夜阑卧听风吹雨,ye'lan'wo'ting'feng'chui'yu
夜游宫,ye'you'gong
一饱正自艰,yi'bao'zheng'zi'jian
一竿风月,yi'gan'feng'yue
一个飘零身世,yi'ge'piao'ling'shen'shi
遗恨黯难收,yi'hen'an'nan'shou
忆呼鹰古垒,yi'hu'ying'gu'lei
一怀愁绪,yi'huai'chou'xu
一江离恨恰平分,yi'jiang'li'hen'qia'ping'fen
一句丁宁君记取,yi'ju'ding'ning'jun'ji'qu
驿路梨花处处开,yi'lu'li'hua'chu'chu'kai
乙卯重五诗,yi'mao'chong'wu'shi
遗民泪尽胡尘里,yi'min'lei'jin'hu'chen'li
遗民忍死望恢复,yi'min'ren'si'wang'hui'fu
一片丹心报天子,yi'pian'dan'xin'bao'tian'zi
意气相期共生死,yi'qi'xiang'qi'gong'sheng'si
一任群芳妒,yi'ren'qun'fang'du
衣上征尘杂酒痕,yi'shang'zheng'chen'za'jiu'hen
一身报国有万死,yi'shen'bao'guo'you'wan'si
一时才气超然,yi'shi'cai'qi'chao'ran
已是黄昏独自愁,yi'shi'huang'hun'du'zi'chou
一树梅花一放翁,yi'shu'mei'hua'yi'fang'weng
一蓑烟雨,yi'suo'yan'yu
驿外断桥边,yi'wai'duan'qiao'bian
一笑向杯盘,yi'xiao'xiang'bei'pan
一夜清霜,yi'ye'qing'shuang
应待人来,ying'dai'ren'lai
鹦鹉杯深君莫诉,ying'wu'bei'shen'jun'mo'su
拥雕戈西戍,yong'diao'ge'xi'shu
又成虚度,you'cheng'xu'du
犹吊遗踪一泫然,you'diao'yi'zong'yi'xuan'ran
忧愤张巡嚼齿空,you'fen'zhang'xun'jiao'chi'kong
幽谷那堪更北枝,you'gu'na'kan'geng'bei'zhi
犹及清明可到家,you'ji'qing'ming'ke'dao'jia
又拣深枝飞去,you'jian'shen'zhi'fei'qu
幽居初夏,you'ju'chu'xia
犹课蝇头二万言,you'ke'ying'tou'er'wan'yan
又岂料如今馀此身,you'qi'liao'ru'jin'yu'ci'shen
游山西村,you'shan'xi'cun
有谁知,you'shui'zhi
有渔翁共醉,you'yu'weng'gong'zui
幽姿不入少年场,you'zi'bu'ru'shao'nian'chang
雨暴欲掀屋,yu'bao'yu'xian'wu
雨点堕车轴,yu'dian'duo'che'zhou
羽箭雕弓,yu'jian'diao'gong
禹庙兰亭今古路,yu'miao'lan'ting'jin'gu'lu
欲舒老眼无高处,yu'shu'lao'yan'wu'gao'chu
雨余溪水掠堤平,yu'yu'xi'shui'lue'di'ping
鸳机新寄断锦,yuan'ji'xin'ji'duan'jin
远戍十年临的博,yuan'shu'shi'nian'lin'de'bo
元夕灯山,yuan'xi'deng'shan
远游无处不消魂,yuan'you'wu'chu'bu'xiao'hun
元知造物心肠别,yuan'zhi'zao'wu'xin'chang'bie
月斜窗纸,yue'xie'chuang'zhi
再过辽天,zai'guo'liao'tian
载酒园林,zai'jiu'yuan'lin
乍雪晴犹凛,zha'xue'qing'you'lin
占断苹洲烟雨,zhan'duan'ping'zhou'yan'yu
丈夫五十功未立,zhang'fu'wu'shi'gong'wei'li
鹧鸪天,zhe'gu'tian
遮回疏放,zhe'hui'shu'fang
斟残玉瀣行穿竹,zhen'can'yu'xie'xing'chuan'zhu
砧杵敲残深巷月,zhen'chu'qiao'can'shen'xiang'yue
阵云高,zhen'yun'gao
正是层冰积雪时,zheng'shi'ceng'bing'ji'xue'shi
知何时东逝,zhi'he'shi'dong'shi
只将渔钓送年华,zhi'jiang'yu'diao'song'nian'hua
志难城,zhi'nan'cheng
只凭天地鉴孤忠,zhi'ping'tian'di'jian'gu'zhong
纸上得来终觉浅,zhi'shang'de'lai'zhong'jue'qian
只有香如故,zhi'you'xiang'ru'gu
纸鸢跋扈挟风鸣,zhi'yuan'ba'hu'xie'feng'ming
重到故乡交旧少,zhong'dao'gu'xiang'jiao'jiu'shao
中兴赦令疾风雷,zhong'xing'she'ling'ji'feng'lei
中原干戈古亦闻,zhong'yuan'gan'ge'gu'yi'wen
诸君何至泣新亭,zhu'jun'he'zhi'qi'xin'ting
竹马踉蹡冲淖去,zhu'ma'liang'qiang'chong'nao'qu
朱门沉沉按歌舞,zhu'men'chen'chen'an'ge'wu
拄门那敢开,zhu'men'na'gan'kai
朱颜青鬓,zhu'yan'qing'bin
拄杖无时夜叩门,zhu'zhang'wu'shi'ye'kou'men
壮岁从戎,zhuang'sui'cong'rong
壮图万里战皋兰,zhuang'tu'wan'li'zhan'gao'lan
壮心未与年俱老,zhuang'xin'wei'yu'nian'ju'lao
壮志病来消欲尽,zhuang'zhi'bing'lai'xiao'yu'jin
自嘲,zi'chao
自来多误,zi'lai'duo'wu
自许封侯在万里,zi'xu'feng'hou'zai'wan'li
粽包分两髻,zong'bao'fen'liang'ji
纵有楚柁吴樯,zong'you'chu'duo'wu'qiang
醉来意气尚轩昂,zui'lai'yi'qi'shang'xuan'ang
醉弄扁舟,zui'nong'pian'zhou
最数古徐州,zui'shu'gu'xu'zhou
作个闲人样,zuo'ge'xian'ren'yang
