阿鹤,a'he
荻少将,di'shao'jiang
荻神官,di'shen'guan
滴血飞烟,di'xue'fei'yan
地藏大如,di'zang'da'ru
靛魂,dian'hun
点松涛,dian'song'tao
靛羽风莲,dian'yu'feng'lian
刁不同,diao'bu'tong
凋凛,diao'lin
迭云,die'yun
定风愁,ding'feng'chou
定浑,ding'hun
定天律,ding'tian'lv
鼎天拳,ding'tian'quan
东方鼎立,dong'fang'ding'li
东宫神玺,dong'gong'shen'xi
东陵少主,dong'ling'shao'zhu
东无君,dong'wu'jun
东霞,dong'xia
独步寻花,du'bu'xun'hua
毒赤磷,du'chi'lin
独孤遗恨,du'gu'yi'hen
渡鹤影,du'he'ying
渡江修,du'jiang'xiu
杜九烟,du'jiu'yan
杜龙吟,du'long'yin
渡迷航,du'mi'hang
读千经,du'qian'jing
渡入迷,du'ru'mi
渡生剑,du'sheng'jian
渡香蝶,du'xiang'die
独笑寒丰,du'xiao'han'feng
独夜人,du'ye'ren
杜一苇,du'yi'wei
段忍,duan'ren
断雁西风,duan'yan'xi'feng
恶太夫,e'tai'fu
法朝官,fa'chao'guan
发剑无痕,fa'jian'wu'hen
伐千军,fa'qian'jun
法无吾,fa'wu'wu
法云子,fa'yun'zi
梵剎伽蓝,fan'cha'qie'lan
方界老童,fang'jie'lao'tong
非常女,fei'chang'nv
非恩,fei'en
非凡公子,fei'fan'gong'zi
飞疆,fei'jiang
非妙,fei'miao
废人,fei'ren
飞梭空渡,fei'suo'kong'du
非懿氏叶,fei'yi'shi'ye
分不开,fen'bu'kai
风不知,feng'bu'zhi
风采铃,feng'cai'ling
风飞沙,feng'fei'sha
风桦,feng'hua
风凌韵,feng'ling'yun
风满袖,feng'man'xiu
疯魔恶盗,feng'mo'e'dao
疯魔乱道,feng'mo'luan'dao
凤飘飘,feng'piao'piao
凤栖梧,feng'qi'wu
风泣血,feng'qi'xue
封千机,feng'qian'ji
枫神官,feng'shen'guan
风随行,feng'sui'xing
凤无首,feng'wu'shou
风牙鬼师,feng'ya'gui'shi
奉夜之能,feng'ye'zhi'neng
凤昭容,feng'zhao'rong
风之痕,feng'zhi'hen
佛剑分说,fo'jian'fen'shuo
负平生,fu'ping'sheng
芙蓉骨,fu'rong'gu
富山高,fu'shan'gao
覆天殇,fu'tian'shang
伏天塘,fu'tian'tang
伏婴师,fu'ying'shi
浮悠圣子,fu'you'sheng'zi
腹中首,fu'zhong'shou
嘎库喽契,ga'ku'lou'qi
戤戮狂狶,gai'lu'kuang'xi
干司徒,gan'si'tu
钢翼飞猿,gang'yi'fei'yuan
高三甲,gao'san'jia
哥库喽契,ge'ku'lou'qi
宫布衣,gong'bu'yi
宫楼雪,gong'lou'xue
公孙月,gong'sun'yue
宫紫玄,gong'zi'xuan
公子雨,gong'zi'yu
勾媚魇笙,gou'mei'yan'sheng
骨长锁,gu'chang'suo
孤愁先生,gu'chou'xian'sheng
骨刀,gu'dao
孤独缺,gu'du'que
蛊皇,gu'huang
孤迹苍狼,gu'ji'cang'lang
骨冷笑,gu'leng'xiao
蛊量,gu'liang
孤女贫婆,gu'nv'pin'po
鼓琴人,gu'qin'ren
骨箫,gu'xiao
姑射女神,gu'ye'nv'shen
孤影,gu'ying
管城子,guan'cheng'zi
贯刀石,guan'dao'shi
棺读影,guan'du'ying
观世寂莲,guan'shi'ji'lian
观世局,guan'shi'ju
关足天,guan'zu'tian
广寒子,guang'han'zi
光明尊者,guang'ming'zun'zhe
广目天,guang'mu'tian
鬼笔神匠,gui'bi'shen'jiang
鬼次郎,gui'ci'lang
鬼帝,gui'di
鬼祭宗煌,gui'ji'zong'huang
鬼藜,gui'li
鬼梁飞宇,gui'liang'fei'yu
鬼梁天下,gui'liang'tian'xia
鬼伶仃,gui'ling'ding
鬼聆盲剑,gui'ling'mang'jian
鬼面具,gui'mian'ju
鬼神将,gui'shen'jiang
鬼矢,gui'shi
鬼头鳗,gui'tou'man
鬼王棺,gui'wang'guan
鬼隐,gui'yin
归元圣童,gui'yuan'sheng'tong
鬼罩墙,gui'zhao'qiang
鬼针叟,gui'zhen'sou
鬼知,gui'zhi
鬼祚师,gui'zuo'shi
郭财临,guo'cai'lin
海咪咪,hai'mi'mi
海殇君,hai'shang'jun
骇形矫骨,hai'xing'jiao'gu
还月祖师,hai'yue'zu'shi
寒凌霜,han'ling'shuang
寒沙鬼蜮,han'sha'gui'yu
寒山意,han'shan'yi
寒天放,han'tian'fang
寒铁衣,han'tie'yi
旱邪关,han'xie'guan
寒雨梦中人,han'yu'meng'zhong'ren
寒月蝉,han'yue'chan
航谷风,hang'gu'feng
号昆仑,hao'kun'lun
赫丹,he'dan
何三色,he'san'se
赫沙,he'sha
贺卫宇,he'wei'yu
赫歆,he'xin
赫瑶,he'yao
黑白郎君,hei'bai'lang'jun
黑发剑者,hei'fa'jian'zhe
黑木兰,hei'mu'lan
黑心泣儒,hei'xin'qi'ru
黑玄离,hei'xuan'li
黑夜奔雷,hei'ye'ben'lei
黑衣剑少,hei'yi'jian'shao
黑鹰,hei'ying
黑珠犽,hei'zhu'ya
恨不逢,hen'bu'feng
恨刀英雄,hen'dao'ying'xiong
蘅佛子,heng'fo'zi
横梁黄羽,heng'liang'huang'yu
横千秋,heng'qian'qiu
红叶夫人,hong'ye'fu'ren
红寅,hong'yin
后九翎,hou'jiu'ling
虎贲,hu'ben
蝴蝶君,hu'die'jun
笏君卿,hu'jun'qing
呼拉,hu'la
呼雷战神,hu'lei'zhan'shen
虎嬷,hu'mo
呼三叹,hu'san'tan
虎帅,hu'shuai
花伴月,hua'ban'yue
化丑,hua'chou
花非花,hua'fei'hua
华鹤仙者,hua'he'xian'zhe
画魂,hua'hun
花爵百炼生,hua'jue'bai'lian'sheng
华琉衣,hua'liu'yi
花信风,hua'xin'feng
华颜无道,hua'yan'wu'dao
花影人,hua'ying'ren
华羽火鸡,hua'yu'huo'ji
怀百礼,huai'bai'li
患,huan
幻化上人,huan'hua'shang'ren
幻魅执法首,huan'mei'zhi'fa'shou
患无救,huan'wu'jiu
欢喜佛,huan'xi'fo
幻臆流鸿,huan'yi'liu'hong
寰宇奇藏,huan'yu'qi'cang
幻云斋,huan'yun'zhai
皇甫定涛,huang'fu'ding'tao
黄泉吊命,huang'quan'diao'ming
黄商子,huang'shang'zi
荒童狫,huang'tong'dong
惠比寿,hui'bi'shou
蕙茗,hui'ming
晦王,hui'wang
回影断魂丧,hui'ying'duan'hun'sang
火狐,huo'hu
火狮子,huo'shi'zi
极刀双痴,ji'dao'shuang'chi
极道天权,ji'dao'tian'quan
继断离,ji'duan'li
姬孤穷,ji'gu'qiong
寂寞侯,ji'mo'hou
集释尊者,ji'shi'zun'zhe
纪腾云,ji'teng'yun
姬无花,ji'wu'hua
汲无踪,ji'wu'zong
稽咸璚叶,ji'xian'jue'ye
姬小双,ji'xiao'shuang
冀小棠,ji'xiao'tang
集音堡主,ji'yin'bao'zhu
积云,ji'yun
贾命公,jia'ming'gong
贾子方,jia'zi'fang
剑傲流,jian'ao'liu
剑苍意,jian'cang'yi
剑经武,jian'jing'wu
剑君十二恨,jian'jun'shi'er'hen
剑理,jian'li
剑墨书,jian'mo'shu
剑僧玄莲,jian'seng'xuan'lian
剑圣,jian'sheng
剑十地,jian'shi'di
剑邪,jian'xie
剑寻千步痕,jian'xun'qian'bu'hen
箭翊,jian'yi
剑中求,jian'zhong'qiu
剑子骞,jian'zi'qian
剑子仙迹,jian'zi'xian'ji
江封岳,jiang'feng'yue
姜媻嬷嬷,jiang'pan'mo'mo
江仲逸,jiang'zhong'yi
焦粕衣,jiao'po'yi
筊童欲爱,jiao'tong'yu'ai
椒图,jiao'tu
截颅,jie'lu
戒神老者,jie'shen'lao'zhe
解玉龙,jie'yu'long
金八珍,jin'ba'zhen
金包银,jin'bao'yin
金不换,jin'bu'huan
金苍龙,jin'cang'long
金次,jin'ci
金蛾人,jin'e'ren
金瓜孙,jin'gua'sun
金棺,jin'guan
金冠日,jin'guan'ri
金角战牛,jin'jiao'zhan'niu
金盔幡甲,jin'kui'fan'jia
金少爷,jin'shao'ye
金无患,jin'wu'huan
金吾术,jin'wu'shu
金蜥,jin'xi
金犀武座,jin'xi'wu'zuo
金小开,jin'xiao'kai
金小侠,jin'xiao'xia
金兄弟,jin'xiong'di
金妍华妃,jin'yan'hua'fei
今雨客,jin'yu'ke
金战战,jin'zhan'zhan
金子陵,jin'zi'ling
惊虹留恨,jing'hong'liu'hen
京极鬼彦,jing'ji'gui'yan
荆轲无命,jing'ke'wu'ming
惊雷狂枭,jing'lei'kuang'xiao
净琉璃,jing'liu'li
经天子,jing'tian'zi
镜玄宗,jing'xuan'zong
镜中花,jing'zhong'hua
九方墀,jiu'fang'chi
九肱,jiu'gong
九祸,jiu'huo
九江春,jiu'jiang'chun
九齐桓,jiu'qi'huan
九千宵,jiu'qian'xiao
九曲邪君,jiu'qu'xie'jun
酒僧不醒,jiu'seng'bu'xing
九锡君,jiu'xi'jun
九弦断天刃,jiu'xian'duan'tian'ren
九幽,jiu'you
九云冶,jiu'yun'ye
九章伏藏,jiu'zhang'fu'cang
拒生郎,ju'sheng'lang
绢刀,juan'dao
卷三宗,juan'san'zong
卷云,juan'yun
诀尘衣,jue'chen'yi
绝凌笙,jue'ling'sheng
绝鸣子,jue'ming'zi
绝情师太,jue'qing'shi'tai
绝崖孤鸠,jue'ya'gu'jiu
绝烨,jue'ye
君枫白,jun'feng'bai
君夫人,jun'fu'ren
君莫笑,jun'mo'xiao
军神,jun'shen
亢无后,kang'wu'hou
寇刀飞殇,kou'dao'fei'shang
苦力人狼,ku'li'ren'lang
哭麻衣,ku'ma'yi
苦释尊者,ku'shi'zun'zhe
枯树天,ku'shu'tian
苦行者,ku'xing'zhe
枯叶,ku'ye
蒯独渺,kuai'du'miao
狂叱,kuang'chi
狂龙一声笑,kuang'long'yi'sheng'xiao
夔萝,kui'luo
来世道君,lai'shi'dao'jun
蓝蟾,lan'chan
蓝带,lan'dai
蓝晶人,lan'jing'ren
蓝首华颜,lan'shou'hua'yan
蓝衣人,lan'yi'ren
蓝英,lan'ying
浪迹潇雨,lang'ji'xiao'yu
狼女,lang'nv
浪千山,lang'qian'shan
琅山先生,lang'shan'xian'sheng
姥无艳,lao'wu'yan
乐波君,le'bo'jun
乐真子,le'zhen'zi
雷公婴,lei'gong'ying
泪痕,lei'hen
雷邪,lei'xie
雷战魈,lei'zhan'xiao
冷封尘,leng'feng'chen
冷观,leng'guan
冷海东郎,leng'hai'dong'lang
冷剑白狐,leng'jian'bai'hu
冷泉少,leng'quan'shao
冷霜城,leng'shuang'cheng
冷霜真,leng'shuang'zhen
冷水心,leng'shui'xin
冷四卦,leng'si'gua
冷香书客,leng'xiang'shu'ke
冷滟,leng'yan
冷艳色,leng'yan'se
冷指花魂,leng'zhi'hua'hun
冷醉,leng'zui
离经叛道,li'jing'pan'dao
力山,li'shan
厉邪天,li'xie'tian
练峨眉,lian'e'mei
廉清君,lian'qing'jun
炼无心,lian'wu'xin
炼邪师,lian'xie'shi
良峰贞义,liang'feng'zhen'yi
梁堂百回枪,liang'tang'bai'hui'qiang
獠娜,liao'na
烈阳神,lie'yang'shen
蔺无双,lin'wu'shuang
凌沧水,ling'cang'shui
令狐神逸,ling'hu'shen'yi
凌罗寐影,ling'luo'mei'ying
灵山小叹,ling'shan'xiao'tan
凌威,ling'wei
柳别鹤,liu'bie'he
六丑废人,liu'chou'fei'ren
流川飘渺,liu'chuan'piao'miao
六聪天乞,liu'cong'tian'qi
柳飞絮,liu'fei'xu
六分刀,liu'fen'dao
六祸苍龙,liu'huo'cang'long
流剑谈月,liu'jian'tan'yue
柳鹪,liu'jiao
流浪者,liu'lang'zhe
柳千韵,liu'qian'yun
留三分,liu'san'fen
柳神官,liu'shen'guan
柳无色,liu'wu'se
柳湘音,liu'xiang'yin
流星君,liu'xing'jun
柳依依,liu'yi'yi
龙阁梭罗,long'ge'suo'luo
龙末九,long'mo'jiu
龙琴一品,long'qin'yi'pin
龙虬髯,long'qiu'ran
龙王鱽,long'wang'dao
龙武剑客,long'wu'jian'ke
龙骧,long'xiang
龙斋十三介,long'zhai'shi'san'jie
楼沉沉,lou'chen'chen
楼更雨,lou'geng'yu
陆华娥,lu'hua'e
路斜阳,lu'xie'yang
路中犰,lu'zhong'qiu
乱世狂刀,luan'shi'kuang'dao
掠食者,lue'shi'zhe
罗观大僧正,luo'guan'da'seng'zheng
落日潮,luo'ri'chao
落日飘迹,luo'ri'piao'ji
落日一笑,luo'ri'yi'xiao
罗修王,luo'xiu'wang
落烟霞,luo'yan'xia
罗衣宫主,luo'yi'gong'zhu
洛子商,luo'zi'shang
玛衣宫主,ma'yi'gong'zhu
麦十细,mai'shi'xi
曼陀,man'tuo
曼无歆,man'wu'xin
盲夫子,mang'fu'zi
猫大人,mao'da'ren
梅郎,mei'lang
梅神官,mei'shen'guan
梅挽香,mei'wan'xiang
眉笑佬,mei'xiao'lao
孟德文,meng'de'wen
孟极,meng'ji
蒙山飞燕,meng'shan'fei'yan
迷达,mi'da
迷蝶,mi'die
秘颅,mi'lu
迷罗涅印,mi'luo'nie'yin
苗飞飞,miao'fei'fei
苗逢春,miao'feng'chun
苗蜜,miao'mi
妙如诗,miao'ru'shi
玅筑玄华,miao'zhu'xuan'hua
灭定师太,mie'ding'shi'tai
灭轮回,mie'lun'hui
灭释尊者,mie'shi'zun'zhe
灭业,mie'ye
冥河画匠,ming'he'hua'jiang
冥见,ming'jian
冥界裁判官,ming'jie'cai'pan'guan
明镜秋霜,ming'jing'qiu'shuang
冥轮法魁,ming'lun'fa'kui
命七天,ming'qi'tian
冥伞鬼娘,ming'san'gui'niang
命世风流,ming'shi'feng'liu
洺双锖叶,ming'shuang'qiang'ye
命随刀,ming'sui'dao
明月心,ming'yue'xin
名战,ming'zhan
谬龄儿,miu'ling'er
莫沧桑,mo'cang'sang
末苍云,mo'cang'yun
墨尘音,mo'chen'yin
魔刺儿,mo'ci'er
殁锋,mo'feng
莫干邪,mo'gan'xie
摩诃戒者,mo'he'jie'zhe
殁惑之眼,mo'huo'zhi'yan
磨镜僧,mo'jing'seng
魔魁,mo'kui
魔魁之女,mo'kui'zhi'nv
魔龙祭天,mo'long'ji'tian
万俟焉,mo'qi'yan
陌上尘,mo'shang'chen
莫松罕,mo'song'han
殁算虚空,mo'suan'xu'kong
魔天斗相,mo'tian'dou'xiang
默言歆,mo'yan'xin
墨阳子,mo'yang'zi
墨渊水莲,mo'yuan'shui'lian
莫召奴,mo'zhao'nu
牟尼上师,mou'ni'shang'shi
目残,mu'can
木苍,mu'cang
牧剑子,mu'jian'zi
木姥姥,mu'lao'lao
沐流尘,mu'liu'chen
慕容婵,mu'rong'chan
慕容灵犀,mu'rong'ling'xi
慕少艾,mu'shao'ai
慕天洲,mu'tian'zhou
穆仙凤,mu'xian'feng
牧云高,mu'yun'gao
沐紫瑛,mu'zi'ying
南无君,na'mo'jun
拏弦音,na'xian'yin
南宫布仁,nan'gong'bu'ren
南宫笑,nan'gong'xiao
南华清君,nan'hua'qing'jun
南柯补梦,nan'ke'bu'meng
南陵渡,nan'ling'du
南冥道真,nan'ming'dao'zhen
脑还颠,nao'hai'dian
能熊,neng'xiong
猊戬傩叶,ni'jian'nuo'ye
逆乾坤,ni'qian'kun
逆头僧,ni'tou'seng
聂求刑,nie'qiu'xing
聂商,nie'shang
弄潮生,nong'chao'sheng
弄三平,nong'san'ping
怒鞭邪猿,nu'bian'xie'yuan
怒鸣飞雁,nu'ming'fei'yan
怒杀,nu'sha
女萝辟命,nv'luo'pi'ming
女煞神,nv'sha'shen
女琊,nv'ya
女阴阳师,nv'yin'yang'shi
欧阳上智,ou'yang'shang'zhi
欧阳胜天,ou'yang'sheng'tian
盼梦圆,pan'meng'yuan
盘提法轮,pan'ti'fa'lun
蟠凶,pan'xiong
裴千己,pei'qian'ji
裴元,pei'yuan
毘非笑,pi'fei'xiao
皮鼓师,pi'gu'shi
披魂纱,pi'hun'sha
霹雳兵燹,pi'li'bing'xian
霹雳兵燹之刀戟戡魔录,pi'li'bing'xian'zhi'dao'ji'kan'mo'lu
霹雳刀锋,pi'li'dao'feng
霹雳风暴,pi'li'feng'bao
霹雳烽火录,pi'li'feng'huo'lu
霹雳封灵岛,pi'li'feng'ling'dao
霹雳烽云,pi'li'feng'yun
霹雳皇朝之龙城圣影,pi'li'huang'chao'zhi'long'cheng'sheng'ying
霹雳皇朝之铡龑史,pi'li'huang'chao'zhi'zha'yan'shi
霹雳皇龙纪,pi'li'huang'long'ji
霹雳剑魂,pi'li'jian'hun
霹雳剑踪,pi'li'jian'zong
霹雳劫,pi'li'jie
霹雳劫之末世录,pi'li'jie'zhi'mo'shi'lu
霹雳劫之阇城血印,pi'li'jie'zhi'she'cheng'xue'yin
霹雳金光,pi'li'jin'guang
霹靂金光,pi'li'jin'guang
霹雳九皇座,pi'li'jiu'huang'zuo
霹雳开疆纪,pi'li'kai'jiang'ji
霹雳孔雀令,pi'li'kong'que'ling
霹雳狂刀,pi'li'kuang'dao
霹雳狂刀之创世狂人,pi'li'kuang'dao'zhi'chuang'shi'kuang'ren
霹雳雷霆,pi'li'lei'ting
霹雳谜城,pi'li'mi'cheng
霹雳奇象,pi'li'qi'xiang
霹雳神州,pi'li'shen'zhou
霹雳神州纪之苍玄泣,pi'li'shen'zhou'ji'zhi'cang'xuan'qi
霹雳天命,pi'li'tian'ming
霹雳天阙,pi'li'tian'que
霹雳图腾,pi'li'tu'teng
霹雳外传之叶小钗传奇,pi'li'wai'zhuan'zhi'ye'xiao'chai'chuan'qi
霹雳王朝,pi'li'wang'chao
霹雳眼,pi'li'yan
霹靂眼,pi'li'yan
霹雳异数,pi'li'yi'shu
霹雳异数之龙图霸业,pi'li'yi'shu'zhi'long'tu'ba'ye
霹雳异数之万里征途,pi'li'yi'shu'zhi'wan'li'zheng'tu
霹雳英雄榜,pi'li'ying'xiong'bang
霹雳英雄榜之风起云涌二,pi'li'ying'xiong'bang'zhi'feng'qi'yun'yong'er
霹雳英雄榜之风起云涌一,pi'li'ying'xiong'bang'zhi'feng'qi'yun'yong'yi
霹雳英雄榜之江湖血路,pi'li'ying'xiong'bang'zhi'jiang'hu'xue'lu
霹雳英雄榜之争王记,pi'li'ying'xiong'bang'zhi'zheng'wang'ji
霹雳幽灵箭第二部,pi'li'you'ling'jian'di'er'bu
霹雳幽灵箭第一部,pi'li'you'ling'jian'di'yi'bu
霹雳至尊,pi'li'zhi'zun
霹靂至尊,pi'li'zhi'zun
霹雳紫脉线,pi'li'zi'mai'xian
飘雪银貂,piao'xue'yin'diao
飘茵,piao'yin
飘舟神隐,piao'zhou'shen'yin
平凡人,ping'fan'ren
平剑江湖,ping'jian'jiang'hu
平江逸,ping'jiang'yi
破军独魁,po'jun'du'kui
破军天幕,po'jun'tian'mu
破玄奇,po'xuan'qi
普九年,pu'jiu'nian
菩提学院院主,pu'ti'xue'yuan'yuan'zhu
菩提因,pu'ti'yin
普雨,pu'yu
七重冥王,qi'chong'ming'wang
耆耋耄,qi'die'mao
奇蛊夫,qi'gu'fu
七海游僧,qi'hai'you'seng
七海游霞,qi'hai'you'xia
泣花魂,qi'hua'hun
崎路人,qi'lu'ren
七巧神驼,qi'qiao'shen'tuo
七杀火羚,qi'sha'huo'ling
奇中葩,qi'zhong'pa
千层雪,qian'ceng'xue
千浮浪,qian'fu'lang
千流影,qian'liu'ying
千山樵老,qian'shan'qiao'lao
千叶先生,qian'ye'xian'sheng
巧夺天工,qiao'duo'tian'gong
乔飞,qiao'fei
秦假仙,qin'jia'xian
琴绝弦,qin'jue'xian
琴魔,qin'mo
擒天刀,qin'tian'dao
清兵卫,qing'bing'wei
情海过客,qing'hai'guo'ke
倾君怜,qing'jun'lian
青蚵嫂,qing'ke'sao
青琨璚叶,qing'kun'jue'ye
擎浪天,qing'lang'tian
黥烈,qing'lie
顷千踪,qing'qian'zong
情杀,qing'sha
倾天红,qing'tian'hong
青阳子,qing'yang'zi
青衣宫主,qing'yi'gong'zhu
清夷师太,qing'yi'shi'tai
穷八极,qiong'ba'ji
琼玦,qiong'jue
穷奇,qiong'qi
秋风之刀,qiu'feng'zhi'dao
邱霍蛉叶,qiu'huo'ling'ye
秋末悲歌,qiu'mo'bei'ge
秋阙主少,qiu'que'zhu'shao
屈刀武林,qu'dao'wu'lin
屈世途,qu'shi'tu
曲云,qu'yun
权妃,quan'fei
拳皇,quan'huang
权九江,quan'jiu'jiang
权门宗矩,quan'men'zong'ju
犬若丸,quan'ruo'wan
权右将军,quan'you'jiang'jun
燃灯,ran'deng
染飞烟,ran'fei'yan
任沉浮,ren'chen'fu
任飞扬,ren'fei'yang
人海大如,ren'hai'da'ru
任剑谁,ren'jian'shui
刃双飞,ren'shuang'fei
认吾师,ren'wu'shi
人邪,ren'xie
人形师,ren'xing'shi
认字僧,ren'zi'seng
容衣,rong'yi
如月影,ru'yue'ying
三教罪人,san'jiao'zui'ren
三口剑,san'kou'jian
三昧,san'mei
三阴巫姥,san'yin'wu'lao
桑道凉,sang'dao'liang
色无极,se'wu'ji
瑟云,se'yun
沙伯,sha'bo
沙虫,sha'chong
沙呵七相,sha'he'qi'xiang
沙罗,sha'luo
沙人畏,sha'ren'wei
杀身老,sha'shen'lao
纱四郎,sha'si'lang
沙舟一字师,sha'zhou'yi'zi'shi
善法天子,shan'fa'tian'zi
山涛君,shan'tao'jun
上官奇缘,shang'guan'qi'yuan
