阿凡提的故事,a'fan'ti'de'gu'shi
嫁令阔,jia'ling'kuo
剪剪花,jian'jian'hua
讲经文,jiang'jing'wen
讲史,jiang'shi
江西道情,jiang'xi'dao'qing
叫果子,jiao'guo'zi
叫卖调,jiao'mai'tiao
节令歌,jie'ling'ge
节日传说,jie'ri'chuan'shuo
晋北道情,jin'bei'dao'qing
锦歌,jin'ge
金钱板,jin'qian'ban
靖德木偶壮戏,jing'de'mu'ou'zhuang'xi
京东大鼓,jing'dong'da'gu
京韵大鼓,jing'yun'da'gu
酒歌,jiu'ge
卷帘格,juan'lian'ge
开天辟地神话,kai'tian'pi'di'shen'hua
抗暴神话,kang'bao'shen'hua
客家山歌,ke'jia'shan'ge
苦歌,ku'ge
哭嫁歌,ku'jia'ge
快板,kuai'ban
傀儡戏,kui'lei'xi
昆明调,kun'ming'tiao
拉场戏,la'chang'xi
拉法,la'fa
拉夜,la'ye
拉伊,la'yi
拦路歌,lan'lu'ge
狼外婆型故事,lang'wai'po'xing'gu'shi
劳动号子,lao'dong'hao'zi
老郎,lao'lang
乐亭大鼓,lao'ting'da'gu
乐亭影,lao'ting'ying
勒,le
乐昌花鼓戏,le'chang'hua'gu'xi
勒来,le'lai
乐腔,le'qiang
雷剧,lei'ju
雷依巧,lei'yi'qiao
李白的传说,li'bai'de'chuan'shuo
李冰的传说,li'bing'de'chuan'shuo
梨花大鼓,li'hua'da'gu
梨花格,li'hua'ge
礼俗歌,li'su'ge
俚语,li'yu
李自成起义传说,li'zi'cheng'qi'yi'chuan'shuo
连璧格,lian'bi'ge
莲花落,lian'hua'lao
连环格,lian'huan'ge
两兄弟型故事,liang'xiong'di'xing'gu'shi
两兄弟做长工,liang'xiong'di'zuo'chang'gong
聊城八角鼓,liao'cheng'ba'jiao'gu
嘹歌,liao'ge
临剧,lin'ju
林区号子,lin'qu'hao'zi
柳腔,liu'qiang
柳子戏,liu'zi'xi
龙江剧,long'jiang'ju
龙女型故事,long'nv'xing'gu'shi
龙溪布袋木偶戏,long'xi'bu'dai'mu'ou'xi
龙溪铁枝戏,long'xi'tie'zhi'xi
鲁,lu
鲁班的传说,lu'ban'de'chuan'shuo
庐剧,lu'ju
轮灯调,lun'deng'tiao
罗江怨,luo'jiang'yuan
落帽格,luo'mao'ge
马隘壮戏,ma'ai'zhuang'xi
马灯调,ma'deng'tiao
漫瀚调,man'han'tiao
冒呃,mao'e
毛两子梳调,mao'liang'zi'shu'tiao
茂腔,mao'qiang
梅葛调,mei'ge'tiao
梅花大鼓,mei'hua'da'gu
眉剧,mei'ju
门歌,men'ge
门墙歌,men'qiang'ge
孟姜女调,meng'jiang'nv'tiao
谜底,mi'di
谜格,mi'ge
谜歌,mi'ge
米果库,mi'guo'ku
谜面,mi'mian
谜语构成的别解法,mi'yu'gou'cheng'de'bie'jie'fa
谜语构成的诡词法,mi'yu'gou'cheng'de'gui'ci'fa
谜语构成的会意法,mi'yu'gou'cheng'de'hui'yi'fa
谜语构成的夸张法,mi'yu'gou'cheng'de'kua'zhang'fa
谜语构成的连缀体描写法,mi'yu'gou'cheng'de'lian'zhui'ti'miao'xie'fa
谜语构成的矛盾法,mi'yu'gou'cheng'de'mao'dun'fa
谜语构成的描写法,mi'yu'gou'cheng'de'miao'xie'fa
谜语构成的拟人法,mi'yu'gou'cheng'de'ni'ren'fa
谜语构成的排除法,mi'yu'gou'cheng'de'pai'chu'fa
谜语构成的谐音法,mi'yu'gou'cheng'de'xie'yin'fa
谜语构成的增损离合法,mi'yu'gou'cheng'de'zeng'sun'li'he'fa
民歌,min'ge
民间传说,min'jian'chuan'shuo
民间故事,min'jian'gu'shi
民间谜语,min'jian'mi'yu
民间说唱,min'jian'shuo'chang
民间文学,min'jian'wen'xue
民间小戏,min'jian'xiao'xi
民间叙事诗,min'jian'xu'shi'shi
民间谚语,min'jian'yan'yu
民间逸闻,min'jian'yi'wen
名女传说,ming'nv'chuan'shuo
名胜古迹传说,ming'sheng'gu'ji'chuan'shuo
摩顶格,mo'ding'ge
茉莉花,mo'li'hua
莫伦,mo'lun
睦剧,mu'ju
目连戏,mu'lian'xi
木偶戏,mu'ou'xi
纳赛音朝克图与民间文学,na'sai'yin'chao'ke'tu'yu'min'jian'wen'xue
奶幼畜歌,nai'you'chu'ge
南昌采茶戏,nan'chang'cai'cha'xi
南戏,nan'xi
南音,nan'yin
呢呐呢,ne'na'ne
内蒙道情,nei'meng'dao'qing
捻军起义传说,nian'jun'qi'yi'chuan'shuo
牛歌,niu'ge
牛娘剧,niu'niang'ju
农民起义传说,nong'min'qi'yi'chuan'shuo
农事号子,nong'shi'hao'zi
爬山歌,pa'shan'ge
排筏号子,pai'fa'hao'zi
俳优,pai'you
牌子曲,pai'zi'qu
琵琶歌,pi'pa'ge
琵琶弹唱,pi'pa'tan'chang
评话,ping'hua
评书,ping'shu
评弹,ping'tan
契的传说,qi'de'chuan'shuo
祁太秧歌,qi'tai'yang'ge
巧媳妇的故事,qiao'xi'fu'de'gu'shi
琴书,qin'shu
情歌,qing'ge
清官传说,qing'guan'chuan'shuo
青勒,qing'le
青领格,qing'ling'ge
清音戏,qing'yin'xi
穷耶,qiong'ye
求凰格,qiu'huang'ge
秋千格,qiu'qian'ge
屈原的传说,qu'yuan'de'chuan'shuo
泉州提线木偶,quan'zhou'ti'xian'mu'ou
人类起源神话,ren'lei'qi'yuan'shen'hua
人名谜,ren'ming'mi
人事寓言,ren'shi'yu'yan
人物传说,ren'wu'chuan'shuo
瑞河戏,rui'he'xi
萨满歌,sa'man'ge
三句半,san'ju'ban
丧歌,sang'ge
陕北道情,shan'bei'dao'qing
山的传说,shan'de'chuan'shuo
山东快书,shan'dong'kuai'shu
山东琴书,shan'dong'qin'shu
山东四平调,shan'dong'si'ping'diao
山歌,shan'ge
蛇郎型故事,she'lang'xing'gu'shi
射日神话,she'ri'shen'hua
神话,shen'hua
神话的分类,shen'hua'de'fen'lei
神话的起源与本质,shen'hua'de'qi'yuan'yu'ben'zhi
神奇宝物型故事,shen'qi'bao'wu'xing'gu'shi
神仙传说,shen'xian'chuan'shuo
神医传说,shen'yi'chuan'shuo
生产经验故事,sheng'chan'jing'yan'gu'shi
生产谚,sheng'chan'yan
生活歌,sheng'huo'ge
生活故事,sheng'huo'gu'shi
生活谚,sheng'huo'yan
师道戏,shi'dao'xi
诗话,shi'hua
诗句谜,shi'ju'mi
事理谚,shi'li'yan
时令谚,shi'ling'yan
事谜,shi'mi
使砌,shi'qi
史诗,shi'shi
史事传说,shi'shi'chuan'shuo
十兄弟型故事,shi'xiong'di'xing'gu'shi
书法家传说,shu'fa'jia'chuan'shuo
数花,shu'hua
书会,shu'hui
书会先生,shu'hui'xian'sheng
数来宝,shu'lai'bao
书名谜,shu'ming'mi
竖牌坊的故事,shu'pai'fang'de'gu'shi
拴相歌,shuan'xiang'ge
双歌,shuang'ge
水的传说,shui'de'chuan'shuo
舜的传说,shun'de'chuan'shuo
说参请,shuo'can'qing
说话,shuo'hua
说理歌,shuo'li'ge
四川评书,si'chuan'ping'shu
四川清音,si'chuan'qing'yin
四川扬琴,si'chuan'yang'qin
祀典歌,si'dian'ge
四季调,si'ji'tiao
泗州调,si'zhou'tiao
泗州戏,si'zhou'xi
宋杂剧,song'za'ju
廋词,sou'ci
俗赋,su'fu
苏武牧羊,su'wu'mu'yang
俗语,su'yu
苏州评话,su'zhou'ping'hua
苏州弹词,su'zhou'tan'ci
碎锦格,sui'jin'ge
抬木号子,tai'mu'hao'zi
太平天国传说,tai'ping'tian'guo'chuan'shuo
太阳神话,tai'yang'shen'hua
弹词,tan'ci
弹词开篇,tan'ci'kai'pian
滩簧,tan'huang
逃婚歌,tao'hun'ge
陶真,tao'zhen
天鹅仙女型故事,tian'e'xian'nv'xing'gu'shi
填海神话,tian'hai'shen'hua
天旱神话,tian'han'shen'hua
天津快板,tian'jin'kuai'ban
天津时调,tian'jin'shi'tiao
田林壮戏,tian'lin'zhuang'xi
田螺姑娘型故事,tian'luo'gu'niang'xing'gu'shi
天沔花鼓戏,tian'mian'hua'gu'xi
天气谚,tian'qi'yan
天文谚,tian'wen'yan
调声,tiao'sheng
铁骑儿,tie'qi'er
僮子戏,tong'zi'xi
土特产传说,tu'te'chan'chuan'shuo
脱靴格,tuo'xue'ge
瓦子勾栏,wa'zi'gou'lan
皖南花鼓戏,wan'nan'hua'gu'xi
文南词,wen'nan'ci
文学家传说,wen'xue'jia'chuan'shuo
温州鼓词,wen'zhou'gu'ci
武安落子,wu'an'lao'zi
武安平调,wu'an'ping'diao
物产传说,wu'chan'chuan'shuo
舞春,wu'chun
五更调,wu'geng'tiao
武林故事,wu'lin'gu'shi
物谜,wu'mi
乌热热,wu're're
乌纱格,wu'sha'ge
无锡景,wu'xi'jing
五音戏,wu'yin'xi
梧州歌,wu'zhou'ge
西,xi
析朵,xi'duo
习惯传说,xi'guan'chuan'shuo
锡剧,xi'ju
系铃格,xi'ling'ge
西王母的传说,xi'wang'mu'de'chuan'shuo
下河调,xia'he'tiao
香火戏,xiang'huo'xi
香哩歌,xiang'li'ge
相声,xiang'sheng
小调,xiao'diao
小放牛,xiao'fang'niu
小歌,xiao'ge
笑话,xiao'hua
小九连环,xiao'jiu'lian'huan
小说,xiao'shuo
谐,xie
歇后语,xie'hou'yu
歇后语构成的对比法,xie'hou'yu'gou'cheng'de'dui'bi'fa
歇后语构成的假想法,xie'hou'yu'gou'cheng'de'jia'xiang'fa
歇后语构成的借代法,xie'hou'yu'gou'cheng'de'jie'dai'fa
歇后语构成的夸张法,xie'hou'yu'gou'cheng'de'kua'zhang'fa
歇后语构成的描述法,xie'hou'yu'gou'cheng'de'miao'shu'fa
歇后语构成的拟人法,xie'hou'yu'gou'cheng'de'ni'ren'fa
歇后语构成的析字法,xie'hou'yu'gou'cheng'de'xi'zi'fa
谢缙的传说,xie'jin'de'chuan'shuo
谐隐,xie'yin
新人新事传说,xin'ren'xin'shi'chuan'shuo
新生活故事,xin'sheng'huo'gu'shi
信天游,xin'tian'you
新笑话,xin'xiao'hua
星辰神话,xing'chen'shen'hua
行船号子,xing'chuan'hao'zi
雄辩会,xiong'bian'hui
修辞谚,xiu'ci'yan
绣荷包,xiu'he'bao
修建号子,xiu'jian'hao'zi
绣金匾,xiu'jin'bian
徐妃格,xu'fei'ge
徐文长故事,xu'wen'chang'gu'shi
涯词,ya'ci
宴席曲,yan'xi'qu
谚语的构成方法,yan'yu'de'gou'cheng'fang'fa
秧歌戏,yang'ge'xi
杨家将的传说,yang'jia'jiang'de'chuan'shuo
杨柳青,yang'liu'qing
扬州评话,yang'zhou'ping'hua
扬州清曲,yang'zhou'qing'qu
扬州弹词,yang'zhou'tan'ci
摇船歌,yao'chuan'ge
尧的传说,yao'de'chuan'shuo
摇儿歌,yao'er'ge
姚剧,yao'ju
义和团运动传说,yi'he'tuan'yun'dong'chuan'shuo
依拉嗬,yi'la'he
伊啦嘿,yi'la'hei
仪式歌,yi'shi'ge
隐语,yin'yu
银字儿,yin'zi'er
影剧名谜,ying'ju'ming'mi
影戏,ying'xi
英雄传说,ying'xiong'chuan'shuo
英雄神话,ying'xiong'shen'hua
英雄史诗,ying'xiong'shi'shi
英雄叙事诗,ying'xiong'xu'shi'shi
甬剧,yong'ju
游春戏,you'chun'xi
幽默笑话,you'mo'xiao'hua
禹的传说,yu'de'chuan'shuo
渔歌,yu'ge
渔鼓,yu'gu
虞美人,yu'mei'ren
寓言,yu'yan
寓言笑话,yu'yan'xiao'hua
粤北采茶戏,yue'bei'cai'cha'xi
岳飞的传说,yue'fei'de'chuan'shuo
月拉,yue'la
月亮神话,yue'liang'shen'hua
月伦,yue'lun
乐器传说,yue'qi'chuan'shuo
粤西白戏,yue'xi'bai'xi
岳阳花鼓戏,yue'yang'hua'gu'xi
云南车灯,yun'nan'che'deng
云南花灯戏,yun'nan'hua'deng'xi
耘田歌,yun'tian'ge
杂歌,za'ge
杂曲,za'qu
赞哈,zan'ha
扎恩达勒,zha'en'da'le
战争神话,zhan'zheng'shen'hua
找幸福型故事,zhao'xing'fu'xing'gu'shi
招子,zhao'zi
哲理寓言,zhe'li'yu'yan
治水神话,zhi'shui'shen'hua
植物传说,zhi'wu'chuan'shuo
中草药传说,zhong'cao'yao'chuan'shuo
中国三大英雄史诗,zhong'guo'san'da'ying'xiong'shi'shi
中国四大民间故事,zhong'guo'si'da'min'jian'gu'shi
诸宫调,zhu'gong'diao
烛龙神话,zhu'long'shen'hua
主疫神话,zhu'yi'shen'hua
赚词,zhuan'ci
转踏,zhuan'ta
追日神话,zhui'ri'shen'hua
子弟书,zi'di'shu
字谜,zi'mi
走唱,zou'chang
作坊号子,zuo'fang'hao'zi
作家与民间文学,zuo'jia'yu'min'jian'wen'xue
