靶标,ba'biao
液压马达驱动发电机,ye'ya'ma'da'qu'dong'fa'dian'ji
仪表板传感器,yi'biao'ban'chuan'gan'qi
仪表着陆系统,yi'biao'zhuo'lu'xi'tong
易用燃油,yi'yong'ran'you
音频控制板,yin'pin'kong'zhi'ban
迎角探头,ying'jiao'tan'tou
远台,yuan'tai
章动,zhang'dong
真空速,zhen'kong'su
整流罩,zheng'liu'zhao
指令,zhi'ling
中央维护计算机,zhong'yang'wei'hu'ji'suan'ji
主飞行显示,zhu'fei'xing'xian'shi
自动定向机,zi'dong'ding'xiang'ji
自动飞行控制系统,zi'dong'fei'xing'kong'zhi'xi'tong
自动驾驶,zi'dong'jia'shi
自动驾驶仪,zi'dong'jia'shi'yi
自动刹车控制组件,zi'dong'sha'che'kong'zhi'zu'jian
自动油门,zi'dong'you'men
自动油门系统,zi'dong'you'men'xi'tong
自检测试,zi'jian'ce'shi
姿态指示器,zi'tai'zhi'shi'qi
综合飞行系统附属组件,zong'he'fei'xing'xi'tong'fu'shu'zu'jian
总温探头,zong'wen'tan'tou
座舱压力控制器,zuo'cang'ya'li'kong'zhi'qi
