阿部美幸,a'bu'mei'xing
高速狂情,gao'su'kuang'qing
高危险游戏,gao'wei'xian'you'xi
高永雏子,gao'yong'chu'zi
高远春加,gao'yuan'chun'jia
高远琉加,gao'yuan'liu'jia
高圆寺葵子,gao'yuan'si'kui'zi
高月祭,gao'yue'ji
高之原翠,gao'zhi'yuan'cui
高座朗,gao'zuo'lang
葛井美鸟,ge'jing'mei'niao
革命日,ge'ming'ri
给睡王子的吻,gei'shui'wang'zi'de'wen
给天使的蔷薇花束,gei'tian'shi'de'qiang'wei'hua'shu
宫本佳野,gong'ben'jia'ye
宫本夕生,gong'ben'xi'sheng
谷崎泉,gu'qi'quan
古张乃莉,gu'zhang'nai'li
寡默之华,gua'mo'zhi'hua
贵族与平民,gui'zu'yu'ping'min
过激的爱,guo'ji'de'ai
果桃,guo'tao
国王陛下的恋爱学,guo'wang'bi'xia'de'lian'ai'xue
国枝彩香,guo'zhi'cai'xiang
海盗风云,hai'dao'feng'yun
海色的波澜万丈之恋,hai'se'de'bo'lan'wan'zhang'zhi'lian
海上花,hai'shang'hua
海上迷情,hai'shang'mi'qing
海神的彼方,hai'shen'de'bi'fang
海之苍空之蓝,hai'zhi'cang'kong'zhi'lan
孩子的领域,hai'zi'de'ling'yu
寒冷前线指挥官,han'leng'qian'xian'zhi'hui'guan
豪德寺薰子,hao'de'si'xun'zi
豪华客船开始的恋情,hao'hua'ke'chuan'kai'shi'de'lian'qing
好友游戏,hao'you'you'xi
合格祈愿,he'ge'qi'yuan
贺茂保宪,he'mao'bao'xian
和泉桂,he'quan'gui
河上樱子,he'shang'ying'zi
禾田满,he'tian'man
黑暗的美德,hei'an'de'mei'de
黑江律子,hei'jiang'lv'zi
黑领带革命,hei'ling'dai'ge'ming
黑猫王子,hei'mao'wang'zi
黑色纳西斯,hei'se'na'xi'si
红泪,hong'lei
虹之丽人,hong'zhi'li'ren
后宫骑士,hou'gong'qi'shi
后藤信,hou'teng'xin
后藤星,hou'teng'xing
花归葬,hua'gui'zang
花嫁,hua'jia
花降楼,hua'jiang'lou
花郎藤子,hua'lang'teng'zi
华丽的迷宫,hua'li'de'mi'gong
花鸟风月,hua'niao'feng'yue
华藤,hua'teng
花信风,hua'xin'feng
化学室里的春天,hua'xue'shi'li'de'chun'tian
华炎,hua'yan
花夜叉,hua'ye'cha
花衣沙久罗,hua'yi'sha'jiu'luo
华之暗,hua'zhi'an
花之都,hua'zhi'du
坏人志愿,huai'ren'zhi'yuan
坏心眼的那家伙,huai'xin'yan'de'na'jia'huo
幻惑的鼓动,huan'huo'de'gu'dong
幻神之家,huan'shen'zhi'jia
欢迎来到大饭店,huan'ying'lai'dao'da'fan'dian
欢迎来到天堂酒吧,huan'ying'lai'dao'tian'tang'jiu'ba
幻月楼奇谈,huan'yue'lou'qi'tan
幻之眼,huan'zhi'yan
皇林学院,huang'lin'xue'yuan
洄游鱼的孤独,hui'you'yu'de'gu'du
灰与钻石,hui'yu'zuan'shi
霍克事件簿,huo'ke'shi'jian'bu
极道情缘,ji'dao'qing'yuan
激斗阴阳城,ji'dou'yin'yang'cheng
寂寞的金鱼,ji'mo'de'jin'yu
极上的恋人,ji'shang'de'lian'ren
吉田秋生,ji'tian'qiu'sheng
吉田珠姬,ji'tian'zhu'ji
吉祥寺咖啡屋,ji'xiang'si'ka'fei'wu
吉野千秋,ji'ye'qian'qiu
吉永史,ji'yong'shi
吉原理惠子,ji'yuan'li'hui'zi
加地佳鹿,jia'di'jia'lu
架空庭院,jia'kong'ting'yuan
加纳邑,jia'na'yi
加藤知子,jia'teng'zhi'zi
榎田尤利,jia'tian'you'li
家庭主夫,jia'ting'zhu'fu
家族的肖像,jia'zu'de'xiao'xiang
剑解,jian'jie
菅野彰,jian'ye'zhang
剑与翔平系列,jian'yu'xiang'ping'xi'lie
间之楔,jian'zhi'xie
江森备,jiang'sen'bei
江上冴子,jiang'shang'hu'zi
叫做卡尔西亚的男人,jiao'zuo'ka'er'xi'ya'de'nan'ren
结城一美,jie'cheng'yi'mei
街角男孩,jie'jiao'nan'hai
禁断毒天使,jin'duan'du'tian'shi
金环蚀,jin'huan'shi
禁忌的游戏,jin'ji'de'you'xi
金色的该隐,jin'se'de'gai'yin
今生无悔星少年,jin'sheng'wu'hui'xing'shao'nian
