阿步,a'bu
不动峰,bu'dong'feng
不二,bu'er
不二由美子,bu'er'you'mei'zi
不二裕太,bu'er'yu'tai
不二周助,bu'er'zhou'zhu
部分倍化术,bu'fen'bei'hua'shu
不合群,bu'he'qun
不合群者,bu'he'qun'zhe
不怀疑吗,bu'huai'yi'ma
步君,bu'jun
不可能犯罪,bu'ke'neng'fan'zui
不良商人,bu'liang'shang'ren
布玛,bu'ma
不协调的感觉,bu'xie'tiao'de'gan'jue
不知火玄间,bu'zhi'huo'xuan'jian
不知火玄马,bu'zhi'huo'xuan'ma
擦肩而过的两人,ca'jian'er'guo'de'liang'ren
彩虹婴儿,cai'hong'ying'er
彩虹之子,cai'hong'zhi'zi
财前,cai'qian
财前光,cai'qian'guang
蚕蚕,can'can
残像拳,can'xiang'quan
残影拳,can'ying'quan
苍火坠,cang'huo'zhui
苍角王子,cang'jiao'wang'zi
藏之介,cang'zhi'jie
草壁,cao'bi
草鹿,cao'lu
草鹿八千流,cao'lu'ba'qian'liu
草鹿八千留,cao'lu'ba'qian'liu
草帽君,cao'mao'jun
草莓君,cao'mei'jun
草忍,cao'ren
草忍村,cao'ren'cun
草雉剑,cao'zhi'jian
茶渡,cha'du
茶渡泰虎,cha'du'tai'hu
茶风林,cha'feng'lin
查克拉,cha'ke'la
查克拉手术刀,cha'ke'la'shou'shu'dao
茶之国,cha'zhi'guo
侘助,cha'zhu
柴田杏花,chai'tian'xing'hua
柴田勇一,chai'tian'yong'yi
长岛茂雄,chang'dao'mao'xiong
长岛雄一,chang'dao'xiong'yi
长嶝高士,chang'deng'gao'shi
敞开心扉,chang'kai'xin'fei
长门,chang'men
长太郎,chang'tai'lang
超大玉螺旋丸,chao'da'yu'luo'xuan'wan
超级欢乐,chao'ji'huan'le
朝孔雀,chao'kong'que
超兽伪画,chao'shou'wei'hua
超越时空,chao'yue'shi'kong
超直感,chao'zhi'gan
车谷善之助,che'gu'shan'zhi'zhu
沉默的环状线,chen'mo'de'huan'zhuang'xian
沉默的剑士,chen'mo'de'jian'shi
沉睡的小五郎,chen'shui'de'xiao'wu'lang
城成湘南,cheng'cheng'xiang'nan
城岛犬,cheng'dao'quan
惩罚茶,cheng'fa'cha
城君,cheng'jun
澄空学园,cheng'kong'xue'yuan
澄空字幕组,cheng'kong'zi'mu'zu
成田剑,cheng'tian'jian
池波静华,chi'bo'jing'hua
赤火炮,chi'huo'pao
赤井秀一,chi'jing'xiu'yi
赤砂之蝎,chi'sha'zhi'xie
池田秀一,chi'tian'xiu'yi
赤丸,chi'wan
赤星,chi'xing
赤炎之矢,chi'yan'zhi'shi
赤也,chi'ye
赤泽,chi'ze
赤泽吉朗,chi'ze'ji'lang
冲矢昴,chong'shi'mao
冲田一,chong'tian'yi
冲野洋子,chong'ye'yang'zi
紬屋雨,chou'wu'yu
初代,chu'dai
初代火影,chu'dai'huo'ying
初代首领,chu'dai'shou'ling
雏森桃,chu'sen'tao
畜生道,chu'sheng'dao
初舞,chu'wu
初雾,chu'wu
初舞月白,chu'wu'yue'bai
初云,chu'yun
穿击炮,chuan'ji'pao
穿界门,chuan'jie'men
川上友子,chuan'shang'you'zi
创造再生,chuang'zao'zai'sheng
椿鬼,chun'gui
春奈,chun'nai
蠢牛,chun'niu
春天到了,chun'tian'dao'le
春野樱,chun'ye'ying
慈郎,ci'lang
次郎坊,ci'lang'fang
慈楼坊,ci'lou'fang
次舞,ci'wu
从属官,cong'shu'guan
从天而降的男人,cong'tian'er'jiang'de'nan'ren
丛云,cong'yun
村井,cun'jing
错误的电话,cuo'wu'de'dian'hua
打不开的窗,da'bu'kai'de'chuang
大成功,da'cheng'gong
大川透,da'chuan'tou
达尔行星,da'er'xing'xing
大谷育江,da'gu'yu'jiang
大和,da'he
大红莲冰轮丸,da'hong'lian'bing'lun'wan
大红莲氷轮丸,da'hong'lian'bing'lun'wan
大界王,da'jie'wang
大界王神,da'jie'wang'shen
大空指环,da'kong'zhi'huan
大泷警官,da'long'jing'guan
大乱斗,da'luan'dou
大瀑布术,da'pu'bu'shu
大瀑布之术,da'pu'bu'zhi'shu
大前田,da'qian'tian
大前田希千代,da'qian'tian'xi'qian'dai
大人蓝波,da'ren'lan'bo
大人一平,da'ren'yi'ping
大蛇丸,da'she'wan
大石秀一郎,da'shi'xiu'yi'lang
大突破,da'tu'po
大虚,da'xu
大玉螺旋丸,da'yu'luo'xuan'wan
大原,da'yuan
大猿猴,da'yuan'hou
大冢芳忠,da'zhong'fang'zhong
大冢明夫,da'zhong'ming'fu
达兹纳,da'zi'na
大作战,da'zuo'zhan
戴斯拉,dai'si'la
带土,dai'tu
戴雅,dai'ya
岛本须美,dao'ben'xu'mei
倒计数,dao'ji'shu
倒数计时,dao'shu'ji'shi
的顶点,de'ding'dian
等我一下吧,deng'wo'yi'xia'ba
迪达拉,di'da'la
地达罗,di'da'luo
帝丹高中,di'dan'gao'zhong
帝丹小学,di'dan'xiao'xue
第二代火影,di'er'dai'huo'ying
第二番队,di'er'fan'dui
第二十席,di'er'shi'xi
地缚灵,di'fu'ling
地陆,di'lu
迪罗伊,di'luo'yi
地马,di'ma
迪诺,di'nuo
第七席,di'qi'xi
第三代火影,di'san'dai'huo'ying
第三个选择,di'san'ge'xuan'ze
第三席,di'san'xi
第三只眼,di'san'zhi'yan
第十四番的目标,di'shi'si'fan'de'mu'biao
第十四个目标,di'shi'si'ge'mu'biao
第四代火影,di'si'dai'huo'ying
第四席,di'si'xi
荻堂春信,di'tang'chun'xin
帝王攻,di'wang'gong
第五代火影,di'wu'dai'huo'ying
地雅,di'ya
第一代火影,di'yi'dai'huo'ying
第一个受害者,di'yi'ge'shou'hai'zhe
地狱道,di'yu'dao
荻原,di'yuan
迪云,di'yun
荻之介,di'zhi'jie
地之书,di'zhi'shu
电狐,dian'hu
电击角,dian'ji'jiao
电气角,dian'qi'jiao
电视台的恶魔,dian'shi'tai'de'e'mo
电视台杀人事件,dian'shi'tai'sha'ren'shi'jian
电梯杀人事件,dian'ti'sha'ren'shi'jian
叮咚响,ding'dong'xiang
钉宫,ding'gong
钉宫病,ding'gong'bing
钉宫理恵,ding'gong'li'hui
钉宫理惠,ding'gong'li'hui
订婚戒指,ding'hun'jie'zhi
冬德恰卡,dong'de'qia'ka
东方雅美,dong'fang'ya'mei
东界王,dong'jie'wang
洞窟内的侦探团,dong'ku'nei'de'zhen'tan'tuan
东仙,dong'xian
东仙要,dong'xian'yao
冻云,dong'yun
都大人,dou'da'ren
渡边修,du'bian'xiu
杜尔,du'er
杜门,du'men
都市的乌鸦,du'shi'de'wu'ya
毒物的下落,du'wu'de'xia'luo
独眼罩,du'yan'zhao
断地风,duan'de'feng
断界,duan'jie
端坐于霜天吧,duan'zuo'yu'shuang'tian'ba
队长大人,dui'zhang'da'ren
盾舜六花,dun'shun'liu'hua
多重影分身术,duo'chong'ying'fen'shen'shu
多重影分身之术,duo'chong'ying'fen'shen'zhi'shu
多多利亚,duo'duo'li'ya
多斯,duo'si
多由也,duo'you'ye
饿鬼道,e'gui'dao
恶魔的呼唤,e'mo'de'hu'huan
恶魔的左臂,e'mo'de'zuo'bi
恶魔来临,e'mo'lai'lin
恶魔之箭,e'mo'zhi'jian
恶魔之泪,e'mo'zhi'lei
恶魔之音,e'mo'zhi'yin
厄运大奖,e'yun'da'jiang
二大仙人,er'da'xian'ren
二代火影,er'dai'huo'ying
二番队,er'fan'dui
二阶堂老师,er'jie'tang'lao'shi
二阶堂悠,er'jie'tang'you
二十倍界王拳,er'shi'bei'jie'wang'quan
二尾猫又,er'wei'mao'you
二叶,er'ye
发不出声,fa'bu'chu'sheng
发不出声音,fa'bu'chu'sheng'yin
发动语,fa'dong'yu
法庭上的对决,fa'ting'shang'de'dui'jue
繁吹雨,fan'chui'yu
反鬼相杀,fan'gui'xiang'sha
反膜,fan'mo
反膜之匪,fan'mo'zhi'fei
饭田利信,fan'tian'li'xin
房江,fang'jiang
飞段,fei'duan
狒狒王蛇尾丸,fei'fei'wang'she'wei'wan
飞镰脚,fei'lian'jiao
飞梅,fei'mei
绯色晴空,fei'se'qing'kong
飞田展男,fei'tian'zhan'nan
废炎,fei'yan
妃英理,fei'ying'li
妃英理律师之恋,fei'ying'li'lv'shi'zhi'lian
绯真,fei'zhen
愤怒之火,fen'nu'zhi'huo
凤长太郎,feng'chang'tai'lang
风遁,feng'dun
风遁螺旋手里剑,feng'dun'luo'xuan'shou'li'jian
风遁之术,feng'dun'zhi'shu
风华神乐,feng'hua'shen'le
风花水月,feng'hua'shui'yue
封火法印,feng'huo'fa'yin
风纪委员会,feng'ji'wei'yuan'hui
风纪委员长,feng'ji'wei'yuan'zhang
蜂家,feng'jia
凤镜夜,feng'jing'ye
凤梨头,feng'li'tou
凤梨王子,feng'li'wang'zi
风林火山,feng'lin'huo'shan
风魔手里剑,feng'mo'shou'li'jian
丰崎爱生,feng'qi'ai'sheng
凤桥楼十郎,feng'qiao'lou'shi'lang
蜂梢绫,feng'shao'ling
风水缚止,feng'shui'fu'zhi
风太,feng'tai
凤仙火之术,feng'xian'huo'zhi'shu
封邪法印,feng'xie'fa'yin
风影,feng'ying
风云姬,feng'yun'ji
风之国,feng'zhi'guo
风之刃,feng'zhi'ren
服部静华,fu'bu'jing'hua
服部平藏,fu'bu'ping'cang
服部平次,fu'bu'ping'ci
复仇者监狱,fu'chou'zhe'jian'yu
缚道,fu'dao
复活社,fu'huo'she
福利多,fu'li'duo
弗利沙,fu'li'sha
浮露,fu'lu
富美子,fu'mei'zi
敷面膜杀人事件,fu'mian'mo'sha'ren'shi'jian
浮萍拐,fu'ping'guai
福山润,fu'shan'run
附身弹,fu'shen'tan
伏特加,fu'te'jia
浮竹,fu'zhu
浮竹队长,fu'zhu'dui'zhang
浮竹十四郎,fu'zhu'shi'si'lang
抚子,fu'zi
盖洛博士,gai'luo'bo'shi
改造魂魄,gai'zao'hun'po
绀碧之馆,gan'bi'zhi'guan
绀碧之棺,gan'bi'zhi'guan
干柿鬼鲛,gan'shi'gui'jiao
甘笋,gan'sun
冈本信彦,gang'ben'xin'yan
刚好一对,gang'hao'yi'dui
纲吉,gang'ji
纲君,gang'jun
纲手,gang'shou
纲手婆婆,gang'shou'po'po
钢楔,gang'xie
钢子铁,gang'zi'tie
高岛雅罗,gao'dao'ya'luo
高木涉,gao'mu'she
高桥广树,gao'qiao'guang'shu
高桥広树,gao'qiao'guang'shu
高三元,gao'san'yuan
高山南,gao'shan'nan
高中生名侦探,gao'zhong'sheng'ming'zhen'tan
歌呗,ge'bai
戈君,ge'jun
格君,ge'jun
哥拉莫斯卡,ge'la'mo'si'ka
葛力姆乔,ge'li'mu'qiao
葛露,ge'lu
戈少,ge'shao
个嫌疑犯,ge'xian'yi'fan
葛织,ge'zhi
格子大,ge'zi'da
鸽子君,ge'zi'jun
给兰的情书,gei'lan'de'qing'shu
给小兰的情书,gei'xiao'lan'de'qing'shu
跟踪目标,gen'zong'mu'biao
跟踪然后,gen'zong'ran'hou
跟踪术,gen'zong'shu
更木队长,geng'mu'dui'zhang
更木剑八,geng'mu'jian'ba
宫本由美,gong'ben'you'mei
宫村优子,gong'cun'you'zi
恭弥,gong'mi
弓亲,gong'qin
工藤新一,gong'teng'xin'yi
工藤有希子,gong'teng'you'xi'zi
工藤优作,gong'teng'you'zuo
宫田幸季,gong'tian'xing'ji
宫野厚司,gong'ye'hou'si
宫野明美,gong'ye'ming'mei
宫野志保,gong'ye'zhi'bao
公寓坠落事件,gong'yu'zhui'luo'shi'jian
古尔多,gu'er'duo
古兰兹,gu'lan'zi
古泽彻,gu'ze'che
瓜君,gua'jun
怪盗基德,guai'dao'ji'de
怪屋大冒险,guai'wu'da'mao'xian
掴趾追雀,guai'zhi'zhui'que
关西狼,guan'xi'lang
观月,guan'yue
观月初,guan'yue'chu
光明女神,guang'ming'nv'shen
广田雅美,guang'tian'ya'mei
光之女神,guang'zhi'nv'shen
鬼道,gui'dao
鬼道众,gui'dao'zhong
鬼灯满月,gui'deng'man'yue
鬼灯水月,gui'deng'shui'yue
鬼灯丸,gui'deng'wan
鬼鬼祟祟的人,gui'gui'sui'sui'de'ren
鬼郎丸,gui'lang'wan
归刃,gui'ren
桧山修之,gui'shan'xiu'zhi
鬼童丸,gui'tong'wan
鬼丸,gui'wan
鬼屋杀人事件,gui'wu'sha'ren'shi'jian
鬼之国,gui'zhi'guo
桧佐木修兵,gui'zuo'mu'xiu'bing
国分优香里,guo'fen'you'xiang'li
国枝铃,guo'zhi'ling
蛤蟆短刀斩,ha'ma'duan'dao'zhan
蛤蟆吉,ha'ma'ji
蛤蟆健,ha'ma'jian
蛤蟆龙,ha'ma'long
蛤蟆文太,ha'ma'wen'tai
蛤蟆油炎弹,ha'ma'you'yan'tan
蛤蟆忠,ha'ma'zhong
还差得远呢,hai'cha'de'yuan'ne
骸大,hai'da
骸殿,hai'dian
骸纲,hai'gang
海猴,hai'hou
海君,hai'jun
海老藏,hai'lao'cang
海露,hai'lu
海堂,hai'tang
海堂薰,hai'tang'xun
海棠薰,hai'tang'xun
海燕大,hai'yan'da
海燕大人,hai'yan'da'ren
骸样,hai'yang
海野伊鲁卡,hai'ye'yi'lu'ka
骸鹰,hai'ying
还有半年,hai'you'ban'nian
骸云,hai'yun
骸云王道,hai'yun'wang'dao
汉我流,han'wo'liu
豪火球之术,hao'huo'qiu'zhi'shu
浩平,hao'ping
豪斯登堡的新娘,hao'si'deng'bao'de'xin'niang
好运男子的历险,hao'yun'nan'zi'de'li'xian
河村隆,he'cun'long
赫丽贝儿,he'li'bei'er
赫丽贝尔,he'li'bei'er
鹤仙人,he'xian'ren
和叶,he'ye
黑暗宝石,hei'an'bao'shi
黑暗行之术,hei'an'xing'zhi'shu
黑暗之中,hei'an'zhi'zhong
黑暗中的杀手,hei'an'zhong'de'sha'shou
黑白君,hei'bai'jun
黑草莓,hei'cao'mei
黑川花,hei'chuan'hua
黑川智花,hei'chuan'zhi'hua
黑棺,hei'guan
黒棺,hei'guan
黑龙暴风雪,hei'long'bao'feng'xue
黑麦酒,hei'mai'jiu
黑魔咒,hei'mo'zhou
黑崎,hei'qi
黑崎草莓,hei'qi'cao'mei
黑崎君,hei'qi'jun
黑崎同学,hei'qi'tong'xue
黑崎夏梨,hei'qi'xia'li
黑崎一护,hei'qi'yi'hu
黒崎一护,hei'qi'yi'hu
黑崎一心,hei'qi'yi'xin
黑崎游子,hei'qi'you'zi
黒崎游子,hei'qi'you'zi
黑色的太阳,hei'se'de'tai'yang
黑色的葬礼,hei'se'de'zang'li
黑色山猫,hei'se'shan'mao
黑绳天谴明王,hei'sheng'tian'qian'ming'wang
黑丸,hei'wan
黑曜,hei'yao
黑曜篇,hei'yao'pian
黑曜中学,hei'yao'zhong'xue
黑衣女郎,hei'yi'nv'lang
黑衣骑士,hei'yi'qi'shi
黑衣组织,hei'yi'zu'zhi
黑羽春风,hei'yu'chun'feng
黑羽盗一,hei'yu'dao'yi
黑羽快斗,hei'yu'kuai'dou
黑之月,hei'zhi'yue
横沟参悟,heng'gou'can'wu
横沟重悟,heng'gou'zhong'wu
红白黄色,hong'bai'huang'se
红色的痣,hong'se'de'zhi
红色陷阱,hong'se'xian'jing
红与黑的碰撞,hong'yu'hei'de'peng'zhuang
后宫术,hou'gong'shu
后宫之术,hou'gong'zhi'shu
候君,hou'jun
后篇,hou'pian
虎彻,hu'che
虎彻清音,hu'che'qing'yin
虎彻勇音,hu'che'yong'yin
虎次郎,hu'ci'lang
护额,hu'e
呼唤你的名字,hu'huan'ni'de'ming'zi
胡狼桑原,hu'lang'sang'yuan
护庭十三队,hu'ting'shi'san'dui
虎音,hu'yin
华村葵,hua'cun'kui
花的生命,hua'de'sheng'ming
桦地,hua'di
桦地崇弘,hua'di'chong'hong
花太郎,hua'tai'lang
花天狂骨,hua'tian'kuang'gu
花香杀人事件,hua'xiang'sha'ren'shi'jian
花椰菜怪物,hua'ye'cai'guai'wu
坏甜心,huai'tian'xin
幻海牛,huan'hai'niu
幻龙九封尽,huan'long'jiu'feng'jin
幻龙九封印,huan'long'jiu'feng'yin
幻骑士,huan'qi'shi
幻术士,huan'shu'shi
幻幽丸,huan'you'wan
黄金王子,huang'jin'wang'zi
荒卷真木造,huang'juan'zhen'mu'zao
黄泉沼,huang'quan'zhao
惠比寿,hui'bi'shou
惠比斯,hui'bi'si
会飞的人,hui'fei'de'ren
绘琉,hui'liu
灰猫,hui'mao
灰绳,hui'sheng
秽土转生,hui'tu'zhuan'sheng
回忆的地方,hui'yi'de'di'fang
回忆事件,hui'yi'shi'jian
灰原哀,hui'yuan'ai
混吃混喝帮,hun'chi'hun'he'bang
婚礼大战,hun'li'da'zhan
浑身发热,hun'shen'fa're
魂吸,hun'xi
魂葬,hun'zang
火遁,huo'dun
火龙炎弹,huo'long'yan'tan
火龙之术,huo'long'zhi'shu
火山兽,huo'shan'shou
火无菊,huo'wu'ju
火焰中的红马,huo'yan'zhong'de'hong'ma
火之国,huo'zhi'guo
火走,huo'zou
迹部,ji'bu
迹部景吾,ji'bu'jing'wu
基德,ji'de
基德和水晶之母,ji'de'he'shui'jing'zhi'mu
基德与水晶之母,ji'de'yu'shui'jing'zhi'mu
几斗,ji'dou
激斗忍者大战,ji'dou'ren'zhe'da'zhan
基尔巴特,ji'er'ba'te
吉尔加,ji'er'jia
吉拉比,ji'la'bi
吉朗,ji'lang
基力安,ji'li'an
吉良,ji'liang
吉良井鹤,ji'liang'jing'he
吉良伊鹤,ji'liang'yi'he
吉罗晓彦,ji'luo'xiao'yan
计时引爆摩天楼,ji'shi'yin'bao'mo'tian'lou
计算机杀人事件,ji'suan'ji'sha'ren'shi'jian
吉田步美,ji'tian'bu'mei
吉田仁美,ji'tian'ren'mei
极限飞车,ji'xian'fei'che
极限赛车表演,ji'xian'sai'che'biao'yan
极限太阳,ji'xian'tai'yang
加百罗涅,jia'bai'luo'nie
加百罗涅家族,jia'bai'luo'nie'jia'zu
加地葵,jia'di'kui
甲斐裕次郎,jia'fei'yu'ci'lang
家光,jia'guang
家教吧,jia'jiao'ba
贾卡杰克,jia'ka'jie'ke
夹克鲁,jia'ke'lu
甲罗,jia'luo
假寐之术,jia'mei'zhi'shu
假面军团,jia'mian'jun'tuan
假球迷,jia'qiu'mi
加藤胜郎,jia'teng'sheng'lang
剑八,jian'ba
间岛淳司,jian'dao'chun'si
剑帝,jian'di
健根,jian'gen
间宫,jian'gong
歼景,jian'jing
歼景千本樱景严,jian'jing'qian'ben'ying'jing'yan
剑太郎,jian'tai'lang
将贵,jiang'gui
浆果君,jiang'guo'jun
江户川柯南,jiang'hu'chuan'ke'nan
讲谈社,jiang'tan'she
匠之国,jiang'zhi'guo
鲛冲击,jiao'chong'ji
角都,jiao'dou
脚力增强鞋,jiao'li'zeng'qiang'xie
脚印在哪里,jiao'yin'zai'na'li
饺子拳,jiao'zi'quan
解除限定,jie'chu'xian'ding
芥川,jie'chuan
芥川慈郎,jie'chuan'ci'lang
解开锁定,jie'kai'suo'ding
结木,jie'mu
结木弥耶,jie'mu'mi'ye
结印,jie'yin
戒指争夺战,jie'zhi'zheng'duo'zhan
津村,jin'cun
尽敌螫杀,jin'di'shi'sha
金恩,jin'en
津嘉,jin'jia
津奈美,jin'nai'mei
金色的苹果,jin'se'de'ping'guo
金色疋杀地藏,jin'se'pi'sha'di'zang
金色小春,jin'se'xiao'chun
禁术,jin'shu
近藤隆,jin'teng'long
津田健次郎,jin'tian'jian'ci'lang
金田一郎,jin'tian'yi'lang
金彦,jin'yan
净恶之心,jing'e'zhi'xin
京极真,jing'ji'zhen
京介,jing'jie
京乐春水,jing'le'chun'shui
京楽春水,jing'le'chun'shui
静灵廷,jing'ling'ting
井露,jing'lu
镜门,jing'men
惊门,jing'men
景门,jing'men
井上公主,jing'shang'gong'zhu
井上和彦,jing'shang'he'yan
井上优,jing'shang'you
井上织姬,jing'shang'zhi'ji
精神时光屋,jing'shen'shi'guang'wu
精神体,jing'shen'ti
精市,jing'shi
景吾,jing'wu
井野,jing'ye
京乐队长,jing'yue'dui'chang
京子,jing'zi
酒饱,jiu'bao
久保大人,jiu'bao'da'ren
久保带人,jiu'bao'dai'ren
久保宣章,jiu'bao'xuan'zhang
久川绫,jiu'chuan'ling
九番队,jiu'fan'dui
究极觉醒,jiu'ji'jue'xing
久南白,jiu'nan'bai
九尾妖狐,jiu'wei'yao'hu
剧二,ju'er
橘桔平,ju'ju'ping
拘流,ju'liu
桔平,ju'ping
剧三,ju'san
拘突,ju'tu
菊丸,ju'wan
菊丸英二,ju'wan'ying'er
橘杏,ju'xing
剧一,ju'yi
崛川亮,jue'chuan'liang
绝对硬度,jue'dui'ying'du
军粮丸,jun'liang'wan
君麻吕,jun'ma'lv
卡迪谢,ka'di'xie
卡多,ka'duo
卡卡罗特,ka'ka'luo'te
卡鲁宾,ka'lu'bin
卡罗特,ka'luo'te
铠甲武士,kai'jia'wu'shi
看不见的恐怖,kan'bu'jian'de'kong'bu
看不见的凶器,kan'bu'jian'de'xiong'qi
勘九郎,kan'jiu'lang
堪九郎,kan'jiu'lang
柯哀,ke'ai
可乐尼洛,ke'le'ni'luo
可乐尼诺,ke'le'ni'nuo
可怜的少女,ke'lian'de'shao'nv
柯南和怪盗基德,ke'nan'he'guai'dao'ji'de
可怕的病毒,ke'pa'de'bing'du
恐怖的女人,kong'bu'de'nv'ren
恐怖降临,kong'bu'jiang'lin
空海,kong'hai
空鹤,kong'he
空鹤大姐,kong'he'da'jie
空间忍术,kong'jian'ren'shu
空中密室,kong'zhong'mi'shi
扣君,kou'jun
苦艾酒,ku'ai'jiu
酷毙火辣,ku'bi'huo'la
库洛姆,ku'luo'mu
库洛姆髑髅,ku'luo'mu'du'lou
库洛姆骷髅,ku'luo'mu'ku'lou
库塔,ku'ta
堀尾聪史,ku'wei'cong'shi
苦无,ku'wu
堀秀行,ku'xiu'xing
快逃走,kuai'tao'zou
盔甲骑士,kui'jia'qi'shi
葵剑太郎,kui'jian'tai'lang
傀儡术,kui'lei'shu
蛞蝓,kuo'yu
拉帝兹,la'di'zi
拉米拉,la'mi'la
蜡做的翅膀,la'zuo'de'chi'bang
蓝波,lan'bo
蓝波大人,lan'bo'da'ren
蓝大,lan'da
兰戈,lan'ge
兰菌,lan'jun
懒菌,lan'jun
懒君,lan'jun
蓝露,lan'lu
兰奇亚,lan'qi'ya
兰恰,lan'qia
蓝染,lan'ran
蓝染总右介,lan'ran'zong'you'jie
蓝染惣右介,lan'ran'zong'you'jie
蓝少,lan'shao
蓝桃,lan'tao
兰桃,lan'tao
兰丸,lan'wan
兰小姐,lan'xiao'jie
岚之守护者,lan'zhi'shou'hu'zhe
岚之指环,lan'zhi'zhi'huan
狼之影,lang'zhi'ying
老海,lao'hai
老教练,lao'jiao'lian
乐君,le'jun
雷遁,lei'dun
雷吼炮,lei'hou'pao
雷梦雷人,lei'meng'lei'ren
雷切,lei'qie
雷忍,lei'ren
雷忍村,lei'ren'cun
雷守,lei'shou
雷牙,lei'ya
雷影,lei'ying
雷之国,lei'zhi'guo
雷指环,lei'zhi'huan
